pu	pl	dipLogR	neg_mb	homdel_mb	na_mb	loglik	sample
1	2	0	0	0	150	-235.317590432904	Normal1
0.36	1.98	0.0052	0	0	150	-159.915837778356	LN1
0.22	2	0	0	0	150	-175.398627144589	LN2
0.35	2.02	-0.005	0	0	150	-170.812311679849	LN3
0.36	1.96	0.0104	0	0	150	-196.968166171518	LN4
0.23	2	0	0	0	150	-161.825405538489	LN5
0.15	2	0	0	0	150	-152.661341581809	LN6
0.675	1.95	0.0246	0	0	150	-161.776545746013	Liv1
0.321	2.09	-0.0207	0	0	150	-175.411778811792	PT1
0.57	1.97	0.0124	0	0	150	-133.864960941595	PT3
0.38	2.04	-0.0109	0	0	150	-170.340214808655	PT4
0.384	2.11	-0.0302	0	0	150	-190.423221950325	PT5
0.33	2.03	-0.0071	0	0	150	-138.930309322171	PT7
0.53	2	0	0	18	150	-186.890836773047	PT8
0.15	2	0	0	0	150	-215.042137289046	PT9
0.225	2.15	-0.0241	0	0	150	-173.591113186185	Per1
0.175	2.1	-0.0126	0	0	150	-165.240033710869	Per10
0.3	2.1	-0.0215	0	0	150	-208.368331407764	Per11
0.2	2	0	0	0	150	-173.194442563378	Per12
0.2	2.1	-0.0144	0	0	150	-185.432841250312	Per14
0.22	2	0	0	0	150	-180.004192878157	Per15
0.24	2.06	-0.0104	0	0	150	-162.832496221821	Per16
0.175	2.1	-0.0126	0	50.5	150	-172.977781598647	Per17
0.15	2.05	-0.0054	7.379895	0	150	-171.152217635255	Per18
0.2	2.05	-0.0072	7.379895	0	150	-175.491526355099	Per19
0.25	2.05	-0.009	0	0	150	-195.097094958276	Per2
0.175	2	0	0	0	150	-197.768254010173	Per21
0.204	2.07	-0.0103	0	0	150	-178.75269941436	Per3
0.25	2.05	-0.009	0	50.5	150	-138.249488201879	Per4
0.23	2.05	-0.0083	0	0	150	-173.831988903241	Per6
0.35	2.01	-0.0025	0	0	150	-192.183896777595	Per8
0.17	2.05	-0.0061	0	0	150	-184.432067406514	Per9
0.575	2	0	0	0	150	-131.638336072167	TD1
0.15	2	0	0	0	150	-165.185827447648	TD3
0.15	2	0	0	0	150	-156.273025794389	TD4
