E4B10_3	E4B11_3	E4B12_3	E4B13_3	E4B14_3	E4B15_3	E4B16_3	E4B17_3	E4B18_2	E4B19_3	E4B1_3	E4B20_3	E4B21_2	E4B22_3	E4B2_3	E4B3_3	E4B5_3	E4B6_3	E4B7_1	E4B8_3	E4B9_3	E4H1_1	E4L10_1	E4L11_3	E4L1_3	E4L2_3	E4L3_3	E4L4_2	E4L5_3	E4L7_2	E4L8_3	E4L9_3	E4N1_3	E4N3_3	E4O1_3	E4O2_3	E4P10_2	E4P11_2	E4P14_2	E4P1_2	E4P2_2	E4P3_2	E4P5_3	E4P7_3	E4P9_3
423	401	393	350	332	256	314	374	642	519	183	438	486	326	357	444	480	446	233	455	428	99	289	232	418	350	300	215	364	317	535	317	350	288	170	312	189	367	356	358	329	256	342	461	733
1282	1302	1430	900	1232	1029	1043	1411	1942	1603	634	1353	1441	1042	1372	1454	1632	1554	904	1391	1441	373	809	728	1294	1131	946	829	1123	1136	1359	1127	922	933	526	876	699	1290	1115	1033	972	652	1085	1221	1934
3157	3314	3592	2311	3043	2759	3148	3921	4348	3880	1436	3279	3221	2584	3380	3302	3999	3955	2075	3346	3539	823	2115	1777	3317	3059	2329	1801	2934	2448	3602	2748	2595	2584	1225	2088	2148	3387	3077	2856	2605	1689	2799	2793	4271
6920	6488	6877	5234	6431	5777	6226	7614	9322	8688	3273	6907	6322	5560	6956	6922	8804	8808	4367	7332	6953	2008	4292	3914	7262	6144	4935	3930	6789	5425	7875	6626	5829	5241	2616	5008	5412	7308	7212	5929	6035	4044	6103	5988	9561
13186	12296	14144	10359	13509	11950	12950	15740	16557	17217	6008	13512	12026	11385	13513	13575	17506	17080	8698	13846	14281	3501	8236	7367	13296	11667	9721	7282	12584	9618	14653	11574	11273	9886	4979	9125	9449	14127	13699	11783	11770	7287	11026	10278	16873
17233	15339	18167	13634	18009	15702	16975	20474	21101	23118	7250	16912	15106	15028	16970	17305	22207	21836	11223	18298	18284	4245	10491	9512	17521	14850	12694	9331	16309	12394	19057	14288	15072	12556	6334	11548	11538	18430	17664	15469	15266	9129	13931	13098	20602
16530	14625	17611	12758	17187	14524	16232	19633	19046	21954	6665	16101	14679	14115	16198	16233	20676	20166	10938	17628	17159	3856	9952	8867	16631	13854	11960	8747	15585	11719	17734	12941	14640	11932	5919	10450	10493	16988	16141	14362	14224	8334	13044	11676	18490
11869	10001	13207	8909	12651	10803	11818	14137	14303	15634	4777	11276	10459	10452	11508	11605	14868	14223	7943	12528	12364	2545	7095	6555	12479	9831	8858	5894	11785	8798	12114	8642	11256	8853	4471	6901	7095	11744	10524	9797	9759	5315	9489	8044	12481
7127	5165	8273	5040	7875	6513	7369	8181	8902	8717	3014	6331	6039	6292	6412	6718	8864	7945	4868	7491	7464	1087	4223	4135	8220	5507	4753	2933	7775	5700	5887	4366	7724	5644	2928	3120	3536	5851	4548	4887	5024	2177	6177	4341	6000
4515	3239	5782	3252	5344	4254	4790	5523	5765	5530	2051	4611	4815	4240	4447	4772	5502	4994	3189	4440	5571	604	2866	2860	5675	3308	2575	1789	4769	3925	3856	2950	5018	4124	1998	1854	2099	3719	2531	3114	2988	1077	4059	2806	3878
2597	1875	3585	1796	2829	2365	2813	3359	3267	2935	1117	2460	2487	2303	2569	2649	3193	2765	1693	2630	2923	237	1681	1650	3086	1917	1219	995	2964	2118	1863	1396	2835	2352	1199	811	1036	1982	1262	1650	1506	493	2449	1444	1854
915	563	1311	533	1057	757	844	1109	1198	1040	364	912	891	757	922	1035	999	909	690	929	1127	85	475	606	1208	634	422	295	1133	844	680	540	1064	865	413	296	411	582	413	670	560	193	901	545	559
