E4B10_1	E4B11_1	E4B12_3	E4B13_1	E4B14_1	E4B15_1	E4B16_1	E4B17_1	E4B18_1	E4B19_1	E4B1_2	E4B20_1	E4B21_1	E4B22_1	E4B2_2	E4B3_3	E4B5_2	E4B6_1	E4B7_1	E4B8_1	E4B9_1	E4H1_2	E4L10_1	E4L11_3	E4L1_1	E4L2_1	E4L3_1	E4L4_1	E4L5_3	E4L7_2	E4L8_2	E4L9_2	E4N1_3	E4N3_1	E4O1_1	E4O2_1	E4P10_3	E4P11_1	E4P14_1	E4P1_3	E4P2_3	E4P3_1	E4P5_1	E4P7_1	E4P9_1
1743	1579	918	764	1064	715	890	754	573	1527	541	768	651	730	949	1089	1003	1099	1313	1074	1204	986	1191	764	1072	1552	1850	1521	1539	804	1232	1025	430	296	374	506	1803	1532	2042	1127	1316	1289	876	1219	3302
3971	4195	2872	2333	2984	2139	2332	2411	2122	4249	2158	2605	2069	2351	3142	3150	3079	3161	3222	2932	3289	4007	3193	2189	3162	4079	5665	3899	3640	2672	3940	2985	1679	1469	1169	2038	4271	4372	5371	3172	3921	4415	2802	3582	6284
7984	9175	7170	5843	6709	5220	4729	5321	4856	10663	5195	6022	5242	5734	7066	8229	7866	7402	6494	6740	6903	8630	6470	4853	6059	8576	12104	8768	7232	5758	9325	7689	4448	4380	3478	5558	8259	11391	12823	8145	8213	10044	5399	7455	10855
10253	11330	10747	7973	9519	6915	6932	7283	6612	13944	6879	9582	7618	7855	9747	11022	10339	10347	9200	8614	8890	7646	8591	6330	8854	10500	11947	10297	9918	8986	12396	8290	5950	6376	4731	5388	10636	14438	15572	10576	11460	11213	8669	9111	13252
12287	13406	14459	11394	13141	9477	9736	9694	8700	15683	8975	12524	9909	10957	12846	12899	13791	13221	12341	11033	11915	6044	11236	8182	11799	12513	11111	11203	12502	12333	15113	9699	9320	9404	7211	5592	12542	16958	16537	12020	13852	10856	12380	10475	15488
14675	14852	18088	14314	17310	12361	12659	12564	10087	15287	11356	14390	10954	12695	15651	15177	16816	14702	15050	13112	15227	4997	13630	10783	14355	14113	9338	11832	15212	15624	16102	11013	13296	13172	10104	6092	12516	17411	14722	12522	14951	8810	15498	10748	14225
13538	12258	16922	12021	15607	11466	13095	11942	8910	11795	10879	11565	8904	11242	14077	13519	15173	11640	12992	11696	14204	3085	12462	10660	13897	13017	6229	10081	13530	14509	13491	9388	13611	13073	9824	4753	10142	13424	9858	9698	12091	5711	15053	8723	10478
8189	6456	9946	6822	9319	6716	8196	7038	4796	6722	6581	6218	4568	6335	8390	8169	8742	6476	7348	7279	8798	1714	7835	6592	8736	8155	3650	5527	8104	7986	7757	5576	8875	8172	6175	2816	5912	6952	4866	5501	6824	3224	9140	5150	5919
2759	2333	3094	1824	2567	1894	2628	2164	1600	1741	2179	2008	1351	1866	2630	2322	2621	1888	1999	2406	2874	606	2590	2045	2823	2791	1265	2036	2673	2622	2285	1734	2169	2321	1659	948	2192	2268	1543	1563	2258	1065	3075	1859	2116
666	466	590	331	476	372	538	470	427	269	473	359	251	362	562	528	527	352	379	550	616	229	453	523	696	567	325	465	407	597	439	376	352	535	343	242	411	477	307	389	453	230	735	462	516
