E4B10_3	E4B11_1	E4B12_1	E4B13_1	E4B14_1	E4B15_1	E4B16_1	E4B17_1	E4B18_3	E4B19_1	E4B1_3	E4B20_1	E4B21_1	E4B22_1	E4B2_1	E4B3_2	E4B5_2	E4B6_1	E4B7_1	E4B8_2	E4B9_1	E4H1_1	E4L10_2	E4L11_1	E4L1_3	E4L2_1	E4L3_1	E4L4_1	E4L5_1	E4L7_2	E4L8_2	E4L9_1	E4N1_3	E4N3_1	E4O1_3	E4O2_3	E4P10_1	E4P11_1	E4P14_3	E4P1_1	E4P2_1	E4P3_1	E4P5_1	E4P7_2	E4P9_1
730	958	943	545	658	518	568	554	505	770	541	622	462	676	767	684	701	805	735	663	876	418	626	545	618	715	1067	857	959	538	753	655	571	575	370	641	1073	1094	1126	1041	843	888	693	598	991
1998	2642	2706	2001	1878	1852	2043	2026	1806	2578	1578	2288	1986	1989	2341	2309	2397	3078	2703	2316	2547	1472	2022	2001	2168	2721	3192	2621	3076	1890	2721	2579	1616	1778	1348	2163	3003	3524	3791	3309	3024	2895	2276	2174	3257
5535	7291	6618	5078	5317	5288	4903	5669	5089	7385	3800	6521	5659	5736	6915	6588	6379	8995	6993	6178	7237	5102	5306	5035	5810	7410	10074	7410	7818	4918	8151	8556	4693	4815	3280	6572	8430	10314	12105	9880	9145	8780	6439	6919	9442
14068	16127	17386	12868	14155	13808	13680	14651	11300	18249	9707	15966	14496	15642	16192	16372	14321	20584	17495	15098	19090	9935	13230	12572	13933	17321	20314	16049	19123	11203	17447	17304	12878	12986	8474	13258	17110	21517	23533	21127	20331	16574	15547	14864	19051
18424	20346	24108	16851	19105	18516	19297	19254	14508	24550	13380	20412	19349	20946	21734	21729	18339	25694	23591	21077	25306	11327	17197	17600	19870	22160	22893	19288	24561	15018	21321	20778	18713	18251	11730	16322	20913	26234	26691	25643	25869	18734	20395	18397	22794
17209	17957	23302	15236	18689	17689	19530	18251	13075	22538	13965	19031	17756	20529	20010	20167	17099	22998	22475	20189	25299	9160	16741	17156	19699	20252	18434	17566	23642	14651	18682	18152	19155	18967	11975	13552	18033	23295	22506	22716	22688	15324	20015	16183	19514
11819	10914	16490	10133	13242	11957	13817	12122	8480	14220	10270	12214	11383	13964	13360	13717	11235	14820	15181	13891	18554	4596	11205	12070	13841	13093	9632	10842	15647	10256	11157	10768	14300	14312	8910	7698	10466	14220	12349	13151	13991	8171	13781	10017	11018
5361	3968	7954	4209	6250	5228	6660	5093	3582	5591	5216	5315	4824	6009	5737	5859	5130	5971	6870	6292	9210	1327	4877	5905	6866	5791	2999	4498	7315	4858	4624	4339	7840	7273	4579	2586	4581	5800	4281	5461	5508	2812	6768	3958	4228
2465	1801	3751	1914	2688	1991	2730	2126	1328	2592	2154	2313	2385	2363	2574	2545	2163	2440	2493	2609	3839	435	2128	2690	2763	2456	1224	2057	3407	2119	1804	1741	2557	3029	1987	1225	2190	2309	1520	2518	2115	1082	2800	1598	1939
574	349	996	507	632	529	783	649	303	576	656	578	635	662	706	713	589	720	534	818	859	114	571	699	616	850	254	893	855	659	460	522	730	918	486	274	594	594	453	667	526	324	763	398	528
