MSS1E5_2	MSS1E533_1	MSS1E53311_1	MSS1E53315_1	MSS1E6_1	MSS1E633_2	MSS1E63313_2	MSS1E6332A_1	MSS1E63336_2	MSS1G6_2	MSS1G623_1	MSS1G62332_1	MSS1G62333_2	MSS1G62335_3	MSS1M3_3
770	1093	818	999	1127	813	872	927	295	761	1094	1025	787	803	955
1186	1623	1392	1509	1553	1320	1242	1459	559	1287	1534	1715	1202	1126	1392
1884	2605	1683	2110	2351	1996	1864	2174	744	1665	2471	2626	1793	1549	2144
3479	4737	3325	4031	4259	3504	3619	3858	1419	3335	4400	4692	3290	3127	4017
3362	4602	3520	3904	4062	3519	3680	3808	1606	3369	4243	4623	3456	3120	3988
2965	4103	2979	3322	3437	3263	3154	3450	1440	2964	3732	4096	3159	2655	3407
3139	4341	3284	3527	3576	3486	3548	3709	1609	3260	4013	4428	3409	2879	3676
1654	2460	1751	1832	1919	1949	1862	2091	956	1743	2184	2380	1902	1455	2098
947	1576	1212	1304	1266	1221	1214	1349	516	1193	1563	1462	1218	1142	1359
1057	1532	1179	1133	1309	1357	1281	1477	478	1333	1513	1765	1228	1078	1376
359	502	397	396	338	479	412	396	169	372	478	460	424	384	447
