	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.00852218676207257	0.00903763270569156	0.00837397733428962	0.00870615582005848	0.0145898759745532	0.0131945658681547	0.0105900163630653	0.00978542666460775	0.0117977460351984	0.0141213279296953	0.00978705511730639	0.0118234981394855	0.0107173660217536	0.0123769729916259	0.00990549316034005	0.0104053116016872	0.00973510923279007	0.0111342351789748	0.012066183208821	0.0108969457154218	0.0113737408367959	0.0144365281033486	0.0120767015170465	0.0110629452770148	0.00914273519640989	0.0114280309614242	0.0152291226603271	0.0106962364144458	0.017215178400715	0.0102497211285894
A549_G1_1B	0.00852218676207257	0	0.00598485916969851	0.00908190729399281	0.0101596149590645	0.0151483375436353	0.0141787203357861	0.0118471350761764	0.00803610908003477	0.00911381012075307	0.011512531097315	0.0091583738983507	0.0109516878353124	0.0123185593114573	0.0143879821706675	0.0100569890904634	0.0113257661290217	0.00987782142917387	0.00858014890989547	0.0105035504691815	0.00981966865594327	0.0122430421762475	0.0171103318473096	0.0108297665231799	0.010053561055459	0.00757983546112294	0.00988347880553542	0.0141526160746793	0.0110306270825241	0.0169406451398086	0.00953349179298273
A549_G1_1C	0.00903763270569156	0.00598485916969851	0	0.0097466975473234	0.0104587435274434	0.0152282592548726	0.0145338222460463	0.0119101366430503	0.0100317931911838	0.0100201166156811	0.0124866398676116	0.0092454339008721	0.0119774479555257	0.0125853887656288	0.0153727172194869	0.00856112686246544	0.0104325586131267	0.00969845102780334	0.00839746601593549	0.00904008926024135	0.00894276308895141	0.0112862452465784	0.0172336916431044	0.011054708770871	0.0102015798252945	0.00874536376422552	0.010587116379132	0.013972549598153	0.0110188842598001	0.0193580347603891	0.0114115742123637
A549_G1_1D	0.00837397733428962	0.00908190729399281	0.0097466975473234	0	0.00803438588519921	0.0139451353150554	0.0138672322179138	0.00985240421150256	0.00927142551718539	0.0111762157963982	0.0119377569750387	0.00861183409601879	0.0121490345825514	0.0115455260017348	0.0121584246778843	0.0100716857826061	0.0107502630980578	0.00997228405294949	0.00994230802375355	0.0124112076314014	0.0113001587370413	0.0105909314148525	0.0161564371984655	0.0101168227796533	0.00999517844545928	0.010344255917338	0.00939207620307913	0.0132093510737908	0.0106131675055647	0.0152795892838949	0.0099524947879201
A549_G1_1E	0.00870615582005848	0.0101596149590645	0.0104587435274434	0.00803438588519921	0	0.0148591788839886	0.0127225392533567	0.00937823228312793	0.0106146527584347	0.0108016767033874	0.0134722951303575	0.0079074449671666	0.0103343627445736	0.00996935558807716	0.012000704756583	0.0102307662255629	0.010065435781836	0.0119212849689364	0.0109597354841648	0.0127709914680802	0.00901904955394633	0.00889481909587653	0.0133160992503864	0.00947008470041293	0.00908069982847805	0.00922834723775698	0.00880728513421091	0.0123294510370221	0.00851511267670219	0.0152080303473621	0.00898993764377546
A549_G1_1F	0.0145898759745532	0.0151483375436353	0.0152282592548726	0.0139451353150554	0.0148591788839886	0	0.01977847424054	0.0165266709273327	0.0165689941015906	0.0163041906993634	0.0201571814116825	0.013698141898092	0.0173153017844785	0.0170185984182141	0.0168162769917989	0.0173754768795207	0.0173280997259061	0.0151334059344383	0.0147408436572696	0.0172275652857987	0.0148319552073754	0.0154091340110234	0.0210333461859785	0.0162588733026355	0.0165080036314327	0.0155269723620784	0.0169475657206056	0.0200537404895079	0.0155023854596983	0.0208092459874485	0.0152865702122191
A549_G1_1G	0.0131945658681547	0.0141787203357861	0.0145338222460463	0.0138672322179138	0.0127225392533567	0.01977847424054	0	0.011307354997999	0.0131254488089478	0.013528229508272	0.0177808994583095	0.0138964038889935	0.0151740257594123	0.0140026795357475	0.0112769497152058	0.0158798374239518	0.015188962022144	0.0171329345123597	0.0165257871279766	0.0177980344734477	0.0165373719128972	0.0140844474969903	0.00954503502727396	0.012476688088439	0.0155932409992907	0.0137277756563191	0.0149656062031619	0.0155490365276571	0.0125458402957729	0.0142419027607565	0.0127959412443545
A549_G1_1H	0.0105900163630653	0.0118471350761764	0.0119101366430503	0.00985240421150256	0.00937823228312793	0.0165266709273327	0.011307354997999	0	0.0105719824216184	0.0117454690903763	0.015251828707133	0.00951572289518919	0.0117389685574849	0.0117798562089571	0.0118987748747655	0.011573437631642	0.0116143624560052	0.0139046042953568	0.0123479665968772	0.013973712047875	0.013197048830818	0.0102026656257536	0.0121451471046279	0.00780932871320542	0.0116008502267899	0.0114799982351525	0.0111363424572574	0.012641994228503	0.00954624462076402	0.0145544260677411	0.0109229129436532
A549_G1_2A	0.00978542666460775	0.00803610908003477	0.0100317931911838	0.00927142551718539	0.0106146527584347	0.0165689941015906	0.0131254488089478	0.0105719824216184	0	0.00927107302459681	0.0112549078806788	0.00918255405156366	0.0115163420165534	0.0116728474940299	0.0136689739334167	0.00997976094862088	0.0116773168879563	0.0124997833329482	0.00991554055267985	0.0114506836723864	0.0122392854467759	0.012482690962868	0.0136002543795382	0.00956954283989535	0.0112798383942744	0.0079876046988542	0.0104019403911238	0.0123796268095811	0.0109844574994711	0.0159427480657121	0.0103613470582676
A549_G1_2B	0.0117977460351984	0.00911381012075307	0.0100201166156811	0.0111762157963982	0.0108016767033874	0.0163041906993634	0.013528229508272	0.0117454690903763	0.00927107302459681	0	0.0128966505504087	0.0104341841182076	0.0129161588243076	0.0137446356729025	0.014371931322329	0.011454799122971	0.0118701092535888	0.0129843814040761	0.0123474356233719	0.0121896690418437	0.0122645517853976	0.0137462425363858	0.0166012918211584	0.0110558542845255	0.010423423718914	0.00892573055058408	0.0101089467301012	0.0130558434144881	0.0117202527902282	0.0171114982082374	0.0101429060379836
A549_G1_2C	0.0141213279296953	0.011512531097315	0.0124866398676116	0.0119377569750387	0.0134722951303575	0.0201571814116825	0.0177808994583095	0.015251828707133	0.0112549078806788	0.0128966505504087	0	0.0115756058410977	0.0129130172670099	0.0156474423650134	0.0189502882761393	0.014814508552439	0.0159141865133793	0.0124296073895431	0.0112948389124575	0.0130876338002162	0.0131045118526078	0.0151031494211591	0.0186016478835683	0.0141545324470902	0.0127994369895321	0.00971148190596425	0.0109663140246766	0.0146664874152706	0.0142174062408549	0.0205319890816751	0.0155100668306097
A549_G1_2D	0.00978705511730639	0.0091583738983507	0.0092454339008721	0.00861183409601879	0.0079074449671666	0.013698141898092	0.0138964038889935	0.00951572289518919	0.00918255405156366	0.0104341841182076	0.0115756058410977	0	0.0100058274322197	0.011473017554798	0.0131396702416477	0.0093882239248909	0.0118463532650324	0.0115965633093817	0.00860021610340884	0.0117924875366171	0.0090766735560643	0.00928462877107355	0.0150297911056134	0.00831585005178707	0.0101012827001296	0.00928327676741842	0.00888934610145289	0.0116988180701384	0.00902405665594369	0.0164132170404613	0.0102524754925282
A549_G1_2E	0.0118234981394855	0.0109516878353124	0.0119774479555257	0.0121490345825514	0.0103343627445736	0.0173153017844785	0.0151740257594123	0.0117389685574849	0.0115163420165534	0.0129161588243076	0.0129130172670099	0.0100058274322197	0	0.0106472232038282	0.0162226196187638	0.0121704959333732	0.0136341992671988	0.01179764328398	0.0118899768987242	0.0132158528027857	0.00974139276783068	0.00989513671975436	0.01558699911242	0.0115400503787456	0.0123104596081817	0.0100563647769937	0.0089433367915794	0.012963638165683	0.00946929133171449	0.0191712188462406	0.0123273539606915
A549_G1_2F	0.0107173660217536	0.0123185593114573	0.0125853887656288	0.0115455260017348	0.00996935558807716	0.0170185984182141	0.0140026795357475	0.0117798562089571	0.0116728474940299	0.0137446356729025	0.0156474423650134	0.011473017554798	0.0106472232038282	0	0.0147963082111078	0.0120885998559432	0.0136439139623203	0.012746435456113	0.0134959710138776	0.0132943012776938	0.00987670835845277	0.00983134857347944	0.0147310522460844	0.0106296554793785	0.0131196866157407	0.0116767652321586	0.0121205033156048	0.0123047559285168	0.00969853095940292	0.0171474964102924	0.0114564099601589
A549_G2_2A	0.0123769729916259	0.0143879821706675	0.0153727172194869	0.0121584246778843	0.012000704756583	0.0168162769917989	0.0112769497152058	0.0118987748747655	0.0136689739334167	0.014371931322329	0.0189502882761393	0.0131396702416477	0.0162226196187638	0.0147963082111078	0	0.0132439161946221	0.0145491261829087	0.016698369163584	0.015714678013586	0.0182141004869799	0.0165082293823358	0.0134642240719383	0.0128576513499416	0.0126446011617523	0.0143198521872554	0.0142575846358438	0.0159977683897991	0.0179503604053609	0.014387646345012	0.0108709883304006	0.00962199444158259
A549_G2_2B	0.00990549316034005	0.0100569890904634	0.00856112686246544	0.0100716857826061	0.0102307662255629	0.0173754768795207	0.0158798374239518	0.011573437631642	0.00997976094862088	0.011454799122971	0.014814508552439	0.0093882239248909	0.0121704959333732	0.0120885998559432	0.0132439161946221	0	0.0108767475258064	0.0129377656585328	0.0102413338166747	0.0114203100543441	0.0109250641038374	0.011160391489254	0.016851666400287	0.010620904728522	0.0110158483231844	0.0105915135457912	0.0110114581617736	0.0136360482508577	0.0117284973399577	0.0176590004835561	0.0113443292455861
