Sample	JSDistance_A549Root1	JF01_A549_0.01_selected	JF01_A549_0.01_JSD	JF06_A549_0.01_selected	JF06_A549_0.01_JSD	JF21_A549_0.01_selected	JF21_A549_0.01_JSD	JF27_A549_0.01_selected	JF27_A549_0.01_JSD	Nax30_A549_0.01_selected	Nax30_A549_0.01_JSD	Nax4_A549_0.01_selected	Nax4_A549_0.01_JSD	Nax40_A549_0.01_selected	Nax40_A549_0.01_JSD	Nax47_A549_0.01_selected	Nax47_A549_0.01_JSD	Nax49_A549_0.01_selected	Nax49_A549_0.01_JSD	Nax50_A549_0.01_selected	Nax50_A549_0.01_JSD	Nax51_A549_0.01_selected	Nax51_A549_0.01_JSD	Nax55_A549_0.01_selected	Nax55_A549_0.01_JSD	Nax56LA_A549_0.01_selected	Nax56LA_A549_0.01_JSD	Nax56UA_A549_0.01_selected	Nax56UA_A549_0.01_JSD	Nax68_A549_0.01_selected	Nax68_A549_0.01_JSD	S1-17_A549_0.01_selected	S1-17_A549_0.01_JSD	S1124_A549_0.01_selected	S1124_A549_0.01_JSD	S14-51_A549_0.01_selected	S14-51_A549_0.01_JSD	Sal21_A549_0.01_selected	Sal21_A549_0.01_JSD	Sal22_A549_0.01_selected	Sal22_A549_0.01_JSD	Sal46_A549_0.01_selected	Sal46_A549_0.01_JSD	Sal58_A549_0.01_selected	Sal58_A549_0.01_JSD	Sal66_A549_0.01_selected	Sal66_A549_0.01_JSD	Sal74_A549_0.01_selected	Sal74_A549_0.01_JSD	Sal78_A549_0.01_selected	Sal78_A549_0.01_JSD	Sal87_A549_0.01_selected	Sal87_A549_0.01_JSD
A549_G1_1A	0.441222365921198	A549_G1_1A_3	0.0357650637766866	A549_G1_1A_1	0.0108429059033243	A549_G1_1A_1	0.00801621672894299	A549_G1_1A_3	0.0077277911647151	A549_G1_1A_1	0.0116317460789955	A549_G1_1A_2	0.0215116233355527	A549_G1_1A_2	0.0285554555927186	A549_G1_1A_2	0.0787632287553409	A549_G1_1A_2	0.0068799621199172	A549_G1_1A_1	0.0145696540461436	A549_G1_1A_1	0.00443122086008627	A549_G1_1A_2	0.0192065692178776	A549_G1_1A_2	0.010776836474617	A549_G1_1A_2	0.0208075510189581	A549_G1_1A_3	0.00523354737380443	A549_G1_1A_1	0.00213627233857154	A549_G1_1A_1	0.0162473909757315	A549_G1_1A_2	0.0102241565017914	A549_G1_1A_1	0.023892158816444	A549_G1_1A_2	0.0322082151417251	A549_G1_1A_2	0.0105385020733528	A549_G1_1A_2	0.00888769864635529	A549_G1_1A_1	0.022147231079374	A549_G1_1A_3	0.0166412303221368	A549_G1_1A_2	0.00525449234767338	A549_G1_1A_1	0.00832564523036159
A549_G1_1B	0.446755472498644	A549_G1_1B_2	0.0400188687737963	A549_G1_1B_2	0.0232393440034299	A549_G1_1B_3	0.00380614174479646	A549_G1_1B_2	0.0254349132852442	A549_G1_1B_1	0.00893294866834208	A549_G1_1B_2	0.0153761618060069	A549_G1_1B_1	0.0225859477089724	A549_G1_1B_2	0.0790477849261675	A549_G1_1B_1	0.00619324654400677	A549_G1_1B_2	0.028287585036482	A549_G1_1B_2	0.0050870248213323	A549_G1_1B_2	0.0133430732729284	A549_G1_1B_1	0.00564400921806042	A549_G1_1B_1	0.0110073272628103	A549_G1_1B_3	0.00637073829330801	A549_G1_1B_2	0.00607024886657088	A549_G1_1B_1	0.0216633657429851	A549_G1_1B_1	0.0113206567646192	A549_G1_1B_3	0.0178140918222689	A549_G1_1B_2	0.030421333548289	A549_G1_1B_2	0.00662396234828847	A549_G1_1B_2	0.012859765915315	A549_G1_1B_2	0.0098890799095528	A549_G1_1B_2	0.0244027557026174	A549_G1_1B_2	0.00655740314189575	A549_G1_1B_1	0.00475769337055736
A549_G1_1C	0.519419102423865	A549_G1_1C_3	0.0466365943975946	A549_G1_1C_3	0.0354682334141365	A549_G1_1C_3	0.00664763724039432	A549_G1_1C_3	0.0241918583052149	A549_G1_1C_1	0.00949506850481252	A549_G1_1C_3	0.02294491758971	A549_G1_1C_2	0.0236680695467125	A549_G1_1C_1	0.0814296084019012	A549_G1_1C_1	0.00818253019515599	A549_G1_1C_2	0.0223379695046595	A549_G1_1C_1	0.00564803009482448	A549_G1_1C_3	0.0238452482799568	A549_G1_1C_2	0.0159283176328954	A549_G1_1C_2	0.0150968743469151	A549_G1_1C_1	0.00743317761377681	A549_G1_1C_3	0.0105784882285745	A549_G1_1C_1	0.0155924792627611	A549_G1_1C_2	0.0102757171822936	A549_G1_1C_2	0.0216166608301041	A549_G1_1C_2	0.0349063656179335	A549_G1_1C_2	0.0127674968310318	A549_G1_1C_2	0.00757134550281839	A549_G1_1C_3	0.0106171515317738	A549_G1_1C_3	0.0328307106958481	A549_G1_1C_3	0.00151527653732856	A549_G1_1C_2	0.012193275134737
A549_G1_1D	0.39175492919654	A549_G1_1D_3	0.0349118043854292	A549_G1_1D_1	0.00976519709916696	A549_G1_1D_3	0.00321360203479617	A549_G1_1D_3	0.00565536906150256	A549_G1_1D_1	0.00617524529034536	A549_G1_1D_1	0.0156793479824924	A549_G1_1D_1	0.024838401529893	A549_G1_1D_1	0.0898612007955891	A549_G1_1D_1	0.00032652063100874	A549_G1_1D_1	0.0145653980625154	A549_G1_1D_2	0.00330319496310696	A549_G1_1D_2	0.0168274081682514	A549_G1_1D_2	0.00935295456304441	A549_G1_1D_1	0.0191115698328479	A549_G1_1D_1	0.00688993021289968	A549_G1_1D_1	0.0148751856195222	A549_G1_1D_2	0.0065493755287493	A549_G1_1D_2	0.00563399243416066	A549_G1_1D_2	0.0231450079980464	A549_G1_1D_1	0.021383796885034	A549_G1_1D_1	0.0160965356693109	A549_G1_1D_3	0.0106337027705737	A549_G1_1D_3	0.0139802851762345	A549_G1_1D_2	0.014442947444569	A549_G1_1D_3	0.00092425411649266	A549_G1_1D_1	0.00361270094095777
A549_G1_1E	0.390748866431868	A549_G1_1E_1	0.0216971173657137	A549_G1_1E_3	0.0105481077478167	A549_G1_1E_3	0.00589844099999298	A549_G1_1E_1	0.0165510261457467	A549_G1_1E_1	0.00553279696427306	A549_G1_1E_1	0.0119898542350934	A549_G1_1E_1	0.0244208221993227	A549_G1_1E_3	0.088790278055777	A549_G1_1E_1	0.00267506742982531	A549_G1_1E_2	0.0155299980762984	A549_G1_1E_1	0.00123914549806572	A549_G1_1E_1	0.0287600702355281	A549_G1_1E_2	0.0111168234490872	A549_G1_1E_1	0.014518956341782	A549_G1_1E_1	0.00491598526609517	A549_G1_1E_1	0.00823553811490164	A549_G1_1E_2	0.00732864600863174	A549_G1_1E_1	0.0130803618291895	A549_G1_1E_3	0.0213679082604366	A549_G1_1E_1	0.0270806985459865	A549_G1_1E_1	0.00904686082964571	A549_G1_1E_3	0.00969172355001349	A549_G1_1E_1	0.00867473601696152	A549_G1_1E_3	0.0172067301669825	A549_G1_1E_3	0.00234146242280067	A549_G1_1E_2	0.00250971067590054
A549_G1_1F	0.520231149686213	A549_G1_1F_2	0.0283915448652224	NA	NA	A549_G1_1F_1	0.00131550011328579	A549_G1_1F_3	0.0258800643260585	A549_G1_1F_3	0.0156986024784114	A549_G1_1F_2	0.0327536152525348	A549_G1_1F_1	0.0258900133361501	A549_G1_1F_3	0.105745434943907	A549_G1_1F_1	0.000736846799743156	A549_G1_1F_1	0.0240533196301672	A549_G1_1F_2	0.0203032123529977	A549_G1_1F_3	0.0246386961998175	A549_G1_1F_3	0.0161927792175914	A549_G1_1F_1	0.0189095421571577	A549_G1_1F_3	0.00327002764847782	A549_G1_1F_1	0.013120883486259	A549_G1_1F_3	0.0203552891679411	A549_G1_1F_2	0.00656908147554656	A549_G1_1F_3	0.0212375693362569	A549_G1_1F_3	0.0490263282340181	A549_G1_1F_3	0.0122356702833522	A549_G1_1F_3	0.00642243974148788	A549_G1_1F_3	0.0192336384788179	A549_G1_1F_3	0.0149954924089656	A549_G1_1F_3	0.00347675351945021	A549_G1_1F_1	0.009778804232595
A549_G1_1G	0.368119140468869	A549_G1_1G_2	0.0213288378918764	A549_G1_1G_2	0.0120715714499562	A549_G1_1G_1	0.00404149452282474	A549_G1_1G_2	0.0101065297584054	A549_G1_1G_1	0.0102062300507267	A549_G1_1G_1	0.0226538287424624	A549_G1_1G_2	0.0280497560600538	A549_G1_1G_3	0.0330960772324434	A549_G1_1G_2	0.00232087326442443	A549_G1_1G_3	0.00325366005395387	A549_G1_1G_2	0.00188952005782437	A549_G1_1G_3	0.0284845000192357	A549_G1_1G_1	0.00911144216758556	A549_G1_1G_2	0.0110313797496626	A549_G1_1G_2	0.014264621041087	A549_G1_1G_2	0.0105859068558029	A549_G1_1G_1	0.00665288619349144	A549_G1_1G_3	0.0282199155791189	A549_G1_1G_1	0.0118550788404488	A549_G1_1G_3	0.0331684655363116	A549_G1_1G_3	0.0110098357658748	A549_G1_1G_1	0.0131681710042678	A549_G1_1G_1	0.0131576889070928	A549_G1_1G_3	0.0156812082399562	A549_G1_1G_3	0.0028430686316985	A549_G1_1G_2	0.00986659285228236
A549_G1_1H	0.3738469219764	A549_G1_1H_2	0.00764491893551487	A549_G1_1H_1	0.00998627028287417	A549_G1_1H_2	0.00241309691507863	A549_G1_1H_3	0.0124036424158338	A549_G1_1H_1	0.00726732480814101	A549_G1_1H_2	0.0206902066217201	A549_G1_1H_1	0.0289040726825448	A549_G1_1H_3	0.0893632011611348	A549_G1_1H_2	0.00333872371694126	A549_G1_1H_2	0.00265329150047992	A549_G1_1H_2	0.00609889532631593	A549_G1_1H_3	0.0152179096343401	A549_G1_1H_2	0.0199275869385566	A549_G1_1H_2	0.00661204324630139	A549_G1_1H_3	0.00883623092660626	A549_G1_1H_2	0.0152400669055018	A549_G1_1H_2	0.00998116989862462	A549_G1_1H_1	0.0153554876798188	A549_G1_1H_2	0.0128597484227528	A549_G1_1H_3	0.0278300323162381	A549_G1_1H_3	0.0157290016313563	A549_G1_1H_3	0.00568939635164388	A549_G1_1H_3	0.0127481548808604	A549_G1_1H_2	0.00776753451706918	A549_G1_1H_2	0.00753910443652986	A549_G1_1H_1	0.00174980982362098
A549_G1_2A	0.419902557195056	A549_G1_2A_3	0.0371629214166207	A549_G1_2A_3	0.0213338555522531	A549_G1_2A_2	0.00893168158274074	A549_G1_2A_2	0.016738734337958	A549_G1_2A_3	0.00878212799913637	A549_G1_2A_1	0.00857365391658355	A549_G1_2A_3	0.0175992026832964	A549_G1_2A_3	0.0821102556960649	A549_G1_2A_1	0.0120466154192354	A549_G1_2A_2	0.0235357933681112	A549_G1_2A_2	0.000725479932722423	A549_G1_2A_2	0.0104973625442831	A549_G1_2A_1	0.00439404874702409	A549_G1_2A_1	0.00336414224677383	A549_G1_2A_2	0.0110703789132877	A549_G1_2A_2	0.0144637433363216	A549_G1_2A_1	0.011538525623869	A549_G1_2A_1	0.0234406712254941	A549_G1_2A_2	0.0247750294469467	A549_G1_2A_2	0.0178633210332866	A549_G1_2A_2	0.0188916418269622	A549_G1_2A_2	0.00769977543414788	A549_G1_2A_2	0.00656020797961959	A549_G1_2A_2	0.0134977463774437	A549_G1_2A_3	0.00640668486752655	A549_G1_2A_2	0.00789895568734655
A549_G1_2B	0.451808815000821	A549_G1_2B_1	0.0284011370728048	A549_G1_2B_3	0.0240213597948863	A549_G1_2B_3	0.0104568304149159	A549_G1_2B_2	0.0233186958243995	A549_G1_2B_1	0.0106578972648408	A549_G1_2B_1	0.0149202763182767	A549_G1_2B_1	0.0220869303689737	A549_G1_2B_2	0.0784898784331291	A549_G1_2B_1	0.00599772146848979	A549_G1_2B_2	0.0284748898011504	A549_G1_2B_2	0.00128335287918406	A549_G1_2B_2	0.0231837228821703	A549_G1_2B_1	0.00668603990712005	A549_G1_2B_2	0.0248702019240288	A549_G1_2B_2	0.020578182175977	A549_G1_2B_2	0.010355203619976	A549_G1_2B_2	0.00674314985346404	A549_G1_2B_3	0.026378309291833	A549_G1_2B_1	0.00999461385150399	A549_G1_2B_2	0.0239696606576238	A549_G1_2B_1	0.0105998620532663	A549_G1_2B_3	0.00330248697727743	A549_G1_2B_1	0.00583773459593826	A549_G1_2B_1	0.0125632293323561	A549_G1_2B_3	0.00128705463248966	A549_G1_2B_2	0.0173503936047452
