Sample	Marker	Overlap_Score
A549_G1_1A	JF01_A549_0.01	0.0403859780121698
A549_G1_1A	JF06_A549_0.01	0.00859441061369834
A549_G1_1A	JF21_A549_0.01	0.00893382025106593
A549_G1_1A	JF27_A549_0.01	0.00805727600532138
A549_G1_1A	Nax30_A549_0.01	0.0119773845214486
A549_G1_1A	Nax4_A549_0.01	0.0230754171195767
A549_G1_1A	Nax40_A549_0.01	0.0310681147194184
A549_G1_1A	Nax47_A549_0.01	0.0726514591041201
A549_G1_1A	Nax49_A549_0.01	0.00781686556850991
A549_G1_1A	Nax50_A549_0.01	0.0135825615861105
A549_G1_1A	Nax51_A549_0.01	0.00497376647320619
A549_G1_1A	Nax55_A549_0.01	0.019824405504627
A549_G1_1A	Nax56LA_A549_0.01	0.00888549823178045
A549_G1_1A	Nax56UA_A549_0.01	0.0231230115673171
A549_G1_1A	Nax68_A549_0.01	0.00477562158884171
A549_G1_1A	S1-17_A549_0.01	0.00188268410528999
A549_G1_1A	S1124_A549_0.01	0.0149605389925893
A549_G1_1A	S14-51_A549_0.01	0.0116781599215872
A549_G1_1A	Sal21_A549_0.01	0.0237339696958578
A549_G1_1A	Sal22_A549_0.01	0.0275309199439982
A549_G1_1A	Sal46_A549_0.01	0.0123985787743865
A549_G1_1A	Sal58_A549_0.01	0.0103690665010441
A549_G1_1A	Sal66_A549_0.01	0.0220832184717835
A549_G1_1A	Sal74_A549_0.01	0.0182710624475091
A549_G1_1A	Sal78_A549_0.01	0.00599166456110983
A549_G1_1A	Sal87_A549_0.01	0.00778375308881768
A549_G1_1B	JF01_A549_0.01	0.0440903940085817
A549_G1_1B	JF06_A549_0.01	0.0204587233622837
A549_G1_1B	JF21_A549_0.01	0.00373235139108485
A549_G1_1B	JF27_A549_0.01	0.0182229440819773
A549_G1_1B	Nax30_A549_0.01	0.00956422282314134
A549_G1_1B	Nax4_A549_0.01	0.0166207828699579
A549_G1_1B	Nax40_A549_0.01	0.0246551835936921
A549_G1_1B	Nax47_A549_0.01	0.0708646744583157
A549_G1_1B	Nax49_A549_0.01	0.00703818446411952
A549_G1_1B	Nax50_A549_0.01	0.0264370005861819
A549_G1_1B	Nax51_A549_0.01	0.00533389487520913
A549_G1_1B	Nax55_A549_0.01	0.0127301982818176
A549_G1_1B	Nax56LA_A549_0.01	0.00659115065429663
A549_G1_1B	Nax56UA_A549_0.01	0.0117003910042259
A549_G1_1B	Nax68_A549_0.01	0.00716418432553634
A549_G1_1B	S1-17_A549_0.01	0.00676597403193807
A549_G1_1B	S1124_A549_0.01	0.0197101704610197
A549_G1_1B	S14-51_A549_0.01	0.0103663264989609
A549_G1_1B	Sal21_A549_0.01	0.0166428787073846
A549_G1_1B	Sal22_A549_0.01	0.025886897810115
A549_G1_1B	Sal46_A549_0.01	0.00779527669700053
A549_G1_1B	Sal58_A549_0.01	0.01501240934922
A549_G1_1B	Sal66_A549_0.01	0.00998654295235776
A549_G1_1B	Sal74_A549_0.01	0.0251228247233378
A549_G1_1B	Sal78_A549_0.01	0.00748029548078605
A549_G1_1B	Sal87_A549_0.01	0.00522669274764737
A549_G1_1C	JF01_A549_0.01	0.0495080008995552
A549_G1_1C	JF06_A549_0.01	0.0377334256991078
A549_G1_1C	JF21_A549_0.01	0.00654606000200883
A549_G1_1C	JF27_A549_0.01	0.0168361800576745
A549_G1_1C	Nax30_A549_0.01	0.0103576071844387
A549_G1_1C	Nax4_A549_0.01	0.0247375898884383
A549_G1_1C	Nax40_A549_0.01	0.0258520340496901
A549_G1_1C	Nax47_A549_0.01	0.0766611091139147
A549_G1_1C	Nax49_A549_0.01	0.00929291102524599
A549_G1_1C	Nax50_A549_0.01	0.0223195464142754
A549_G1_1C	Nax51_A549_0.01	0.00635775527364485
A549_G1_1C	Nax55_A549_0.01	0.0219594412948848
A549_G1_1C	Nax56LA_A549_0.01	0.017748530049294
A549_G1_1C	Nax56UA_A549_0.01	0.0149061400969291
A549_G1_1C	Nax68_A549_0.01	0.00802868232716497
A549_G1_1C	S1-17_A549_0.01	0.0118005233764148
A549_G1_1C	S1124_A549_0.01	0.0163626540187009
A549_G1_1C	S14-51_A549_0.01	0.0108144022822065
A549_G1_1C	Sal21_A549_0.01	0.019888031402992
A549_G1_1C	Sal22_A549_0.01	0.031832276281083
A549_G1_1C	Sal46_A549_0.01	0.0149337145226961
A549_G1_1C	Sal58_A549_0.01	0.00883145881225561
A549_G1_1C	Sal66_A549_0.01	0.00996413613332567
A549_G1_1C	Sal74_A549_0.01	0.0344108406453636
A549_G1_1C	Sal78_A549_0.01	0.00172589137812473
A549_G1_1C	Sal87_A549_0.01	0.0134213007865528
A549_G1_1D	JF01_A549_0.01	0.0386636155773231
A549_G1_1D	JF06_A549_0.01	0.0109880859568051
A549_G1_1D	JF21_A549_0.01	0.00342904747105516
A549_G1_1D	JF27_A549_0.01	0.00498879555430974
A549_G1_1D	Nax30_A549_0.01	0.00687965912709887
A549_G1_1D	Nax4_A549_0.01	0.0159454101267223
A549_G1_1D	Nax40_A549_0.01	0.0272888273257987
A549_G1_1D	Nax47_A549_0.01	0.0850677437513678
A549_G1_1D	Nax49_A549_0.01	0.000371754528298185
A549_G1_1D	Nax50_A549_0.01	0.0139327710634648
A549_G1_1D	Nax51_A549_0.01	0.00336836250256639
A549_G1_1D	Nax55_A549_0.01	0.0183215406452704
A549_G1_1D	Nax56LA_A549_0.01	0.00817514501011571
A549_G1_1D	Nax56UA_A549_0.01	0.0212351993405276
A549_G1_1D	Nax68_A549_0.01	0.00774204773878578
A549_G1_1D	S1-17_A549_0.01	0.0171636410035435
A549_G1_1D	S1124_A549_0.01	0.00609272478188766
A549_G1_1D	S14-51_A549_0.01	0.00600117028402489
A549_G1_1D	Sal21_A549_0.01	0.0197937194280557
A549_G1_1D	Sal22_A549_0.01	0.0155204201122596
A549_G1_1D	Sal46_A549_0.01	0.0181511997628573
A549_G1_1D	Sal58_A549_0.01	0.012409480477468
A549_G1_1D	Sal66_A549_0.01	0.0130850862368463
A549_G1_1D	Sal74_A549_0.01	0.0159391307021295
A549_G1_1D	Sal78_A549_0.01	0.00105252823130197
A549_G1_1D	Sal87_A549_0.01	0.003421022977285
A549_G1_1E	JF01_A549_0.01	0.0229366958984203
A549_G1_1E	JF06_A549_0.01	0.00999775071211151
A549_G1_1E	JF21_A549_0.01	0.00549752255466734
A549_G1_1E	JF27_A549_0.01	0.0134312292240584
A549_G1_1E	Nax30_A549_0.01	0.00593785424455745
A549_G1_1E	Nax4_A549_0.01	0.0126741574490808
A549_G1_1E	Nax40_A549_0.01	0.0269847321998895
A549_G1_1E	Nax47_A549_0.01	0.0813849342848865
A549_G1_1E	Nax49_A549_0.01	0.00304341931134267
A549_G1_1E	Nax50_A549_0.01	0.0153943366301606
A549_G1_1E	Nax51_A549_0.01	0.00121682163960241
A549_G1_1E	Nax55_A549_0.01	0.029432748013528
A549_G1_1E	Nax56LA_A549_0.01	0.0117829055277511
A549_G1_1E	Nax56UA_A549_0.01	0.0157692928857182
A549_G1_1E	Nax68_A549_0.01	0.00526180539785423
A549_G1_1E	S1-17_A549_0.01	0.00905006320237561
A549_G1_1E	S1124_A549_0.01	0.00725416247804309
A549_G1_1E	S14-51_A549_0.01	0.0124149208992668
A549_G1_1E	Sal21_A549_0.01	0.0193466742052321
A549_G1_1E	Sal22_A549_0.01	0.0203253292874914
A549_G1_1E	Sal46_A549_0.01	0.0105354862374055
A549_G1_1E	Sal58_A549_0.01	0.0113085339678305
A549_G1_1E	Sal66_A549_0.01	0.00876027602371465
A549_G1_1E	Sal74_A549_0.01	0.0189253943614151
A549_G1_1E	Sal78_A549_0.01	0.00266758974624598
A549_G1_1E	Sal87_A549_0.01	0.00238489770483311
A549_G1_1F	JF01_A549_0.01	0.024991222338065
A549_G1_1F	JF06_A549_0.01	NA
A549_G1_1F	JF21_A549_0.01	0.00128251226243445
A549_G1_1F	JF27_A549_0.01	0.0287197392112101
A549_G1_1F	Nax30_A549_0.01	0.0141449650809105
A549_G1_1F	Nax4_A549_0.01	0.035844117707945
A549_G1_1F	Nax40_A549_0.01	0.0279446770898256
A549_G1_1F	Nax47_A549_0.01	0.0936960785394478
A549_G1_1F	Nax49_A549_0.01	0.000839200557063879
A549_G1_1F	Nax50_A549_0.01	0.0237693447618286
A549_G1_1F	Nax51_A549_0.01	0.0222740007458395
A549_G1_1F	Nax55_A549_0.01	0.0224147600273322
A549_G1_1F	Nax56LA_A549_0.01	0.0159254034341562
A549_G1_1F	Nax56UA_A549_0.01	0.020515335603979
A549_G1_1F	Nax68_A549_0.01	0.00356719788285351
A549_G1_1F	S1-17_A549_0.01	0.0123572825950871
A549_G1_1F	S1124_A549_0.01	0.0166473267973128
A549_G1_1F	S14-51_A549_0.01	0.00652922361975472
A549_G1_1F	Sal21_A549_0.01	0.0205509613584661
A549_G1_1F	Sal22_A549_0.01	0.0413564269080078
A549_G1_1F	Sal46_A549_0.01	0.0139228254313117
A549_G1_1F	Sal58_A549_0.01	0.00748995190360385
A549_G1_1F	Sal66_A549_0.01	0.0182698863106894
A549_G1_1F	Sal74_A549_0.01	0.0163454874785702
A549_G1_1F	Sal78_A549_0.01	0.00395383441982322
A549_G1_1F	Sal87_A549_0.01	0.00865278929663893
A549_G1_1G	JF01_A549_0.01	0.0196238233390945
A549_G1_1G	JF06_A549_0.01	0.0119940597422483
A549_G1_1G	JF21_A549_0.01	0.00389188814113905
A549_G1_1G	JF27_A549_0.01	0.0112195264483011
A549_G1_1G	Nax30_A549_0.01	0.0111847768505511
A549_G1_1G	Nax4_A549_0.01	0.0228528212139169
A549_G1_1G	Nax40_A549_0.01	0.0305241381390395
A549_G1_1G	Nax47_A549_0.01	0.0273257622572561
A549_G1_1G	Nax49_A549_0.01	0.00264074696066829
A549_G1_1G	Nax50_A549_0.01	0.00327319854954727
A549_G1_1G	Nax51_A549_0.01	0.00189042537300799
A549_G1_1G	Nax55_A549_0.01	0.0255060964987423
A549_G1_1G	Nax56LA_A549_0.01	0.00796281484976888
A549_G1_1G	Nax56UA_A549_0.01	0.0107291229970188
A549_G1_1G	Nax68_A549_0.01	0.014208132225812
A549_G1_1G	S1-17_A549_0.01	0.0120344106301553
A549_G1_1G	S1124_A549_0.01	0.00756783445897799
