	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_2	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0247469090407387	0.0347498957023478	0.0178259798107027	0.0388948376293644	0.0717651208785825	0.0505539539846218	0.0409644983811438	0.0454243410565427	0.0258445878499902	0.03375766071178	0.0204981802620183	0.0199541031264641	0.038735981502813	0.0269736423194622	0.00752997431702995	0.02160409615311	0.0220525956065297	0.00702899152927485	0.00643971996190852	0.0163815397646732	0.0259126523315945	0.0085056769262526	0.0360075917903338	0.0269062131254087	0.0229796842139914	0.034398463331718	0.0115291232845916	0.0298732233331724	0.0403065212763861	0.0208844423901084	0.035706101435176	0.0195686218539193	0.0189002803715035	0.0166198794566903	0.0306405898296629	0.0105010181444261	0.0173075743325985	0.0189127918396735	0.0267802316167322	0.0437652862775198	0.0517735687399575	0.0419834036893886	0.0373178945530392	0.0210977572820305	0.0503615685575939	0.0418697427054559	0.0397752106014509	0.0459410665439202	0.042071838942803	0.0435612111816332	0.0559421563344915	0.0283305231417624	0.0230134121486768	0.0511045519352999	0.0244459282552002	0.0170164881345689	0.046123835275151	0.0105709494319925	0.0138709775512567	0.0118343905190444	0.00770197928178343	0.0114493633998178	0.0331712973642166	0.0108480836336336	0.0279416120404328	0.00871955932238805	0.0189901664864726	0.0352247860407035	0.0340544605497249	0.0241267152348359	0.0255306328702737	0.00585956396855838	0.0240813289549836	0.0169046566876037	0.0135746068163155	0.0329731966706961	0.00162304809355219	0.00237483200542746	0.0199831725963202	0.0198417479554877	0.0207798533487625	0.0387557327689629
A549_G1_1A_2	0.0247469090407387	0	0.0119290564364077	0.00735233026868116	0.0157546999127335	0.0485470276798673	0.0274183640389466	0.0182558063496454	0.0228633382280305	0.0128976051349168	0.00932139484906218	0.0116172477142491	0.0115374061510452	0.0146430073576439	0.0147081945853208	0.0300781613446942	0.0410276039177657	0.00944370603538622	0.0280750897306181	0.0246755838051179	0.00965518132308499	0.00608484951803565	0.0176479095385986	0.0129741082345718	0.0125977130953548	0.00861073717697696	0.0109292306290526	0.0178947021921228	0.00996112317357618	0.0162590974520572	0.00462845232012045	0.0140119143943691	0.00990454236615369	0.0104592891191005	0.0102764220627806	0.00649066600733347	0.0313946307667849	0.014549897990056	0.0384774983820526	0.0078833650520741	0.022233954302313	0.0294722422140827	0.0194477760558775	0.0139894840307156	0.0036602839673194	0.0274727262345215	0.0197810982259753	0.0181582798016174	0.0227907622204003	0.017966132376959	0.0211306826268586	0.0327549344492303	0.00901671558702901	0.00513162789089745	0.0287524008189321	0.0089431164034378	0.0137845141423731	0.0226828740677583	0.0346969761281878	0.0347279656456387	0.0142765190894747	0.0292449172032255	0.0206853555105043	0.010722800419322	0.0225494422814724	0.00524196605674803	0.0261558188443413	0.00783533638940078	0.0150829137071519	0.0133759401949303	0.00255733251728165	0.0039536792402234	0.0206272216869538	0.0191391664939724	0.00920471898274113	0.019535215546269	0.00995442284726244	0.025836908925629	0.0226076954093345	0.0107684442039184	0.010102297729421	0.0123398037905549	0.0165785120198659
A549_G1_1A_3	0.0347498957023478	0.0119290564364077	0	0.0173572389875222	0.00539338878565833	0.0374707693324397	0.0163380756780018	0.00873369010441663	0.0130288389299834	0.0145131552462129	0.00670187116572696	0.0232266906919227	0.0206081980880779	0.00610355106217629	0.0168518548179517	0.0407398923332908	0.0526486372082159	0.0143889010521417	0.0384174115331759	0.0354708732044951	0.0197937086812044	0.00965041738938967	0.0287651888886365	0.00439312937580341	0.0171337662007387	0.0166229185147919	0.00439729905648756	0.0295572564649046	0.0126866754281812	0.00630830812293157	0.0145561520467216	0.0113938627666685	0.0159330725598363	0.0202668270274417	0.0182653252361016	0.00692315707996258	0.0423231854606061	0.0236608860479925	0.0500473677812643	0.0116759088398451	0.0117112600655331	0.0184812274010968	0.00795649650816901	0.00672697752713671	0.0150443784086765	0.0175237689180047	0.00788387401567714	0.0123663059714414	0.0112523458687778	0.00974312772633291	0.0117902340374766	0.0225594571614862	0.00714381760831487	0.0117532587180505	0.0170035725086617	0.0135721891679733	0.0234696191973212	0.0118459295550057	0.0451554531140344	0.0460545331957388	0.0255612731704074	0.040180320300441	0.0317032980116553	0.014200512657839	0.0332367884999222	0.01086837422835	0.0373638394339927	0.01717438291413	0.00653502096454779	0.00679209609199552	0.0124705234025787	0.0139109774676748	0.0315680437005997	0.0302793770500477	0.0202164712559627	0.0298912950281251	0.00613018472893715	0.0357650637766866	0.0328193249653955	0.0225665975249825	0.018699838979598	0.0206372674485288	0.00484060387567154
A549_G1_1B_1	0.0178259798107027	0.00735233026868116	0.0173572389875222	0	0.021755437395378	0.0547153309133429	0.0334724828808553	0.0242485749570438	0.0288729150908142	0.0135998213921393	0.0163895508050747	0.0114766474744772	0.0108499237067841	0.0213016084150541	0.0159238699005758	0.0234247975046113	0.0357466106874744	0.00684974528670603	0.0212346095576481	0.0188093880442819	0.00569271850334569	0.00950994696389089	0.0117224601595282	0.0189722015107534	0.0151285057064081	0.0102740275763717	0.0172097059679742	0.0132075318528004	0.0150869239252534	0.0227118470853569	0.00432435179784351	0.0200946695136153	0.00653785971665104	0.00920780363116763	0.00433377258245566	0.0132999743448751	0.0255720064567953	0.0121020361764047	0.0330898043843196	0.0117125281777631	0.0275387664497818	0.0352161408215686	0.025004844489542	0.0203972646633247	0.00407604585039289	0.0337040925954098	0.0248278590985005	0.0241099734590999	0.028561901319994	0.0248008555060653	0.0271118541330187	0.0391157397195772	0.011949975548402	0.00587410158570502	0.0342220555936057	0.0105987433284663	0.0113442077964528	0.0288776160471388	0.0280742917966949	0.0288298791812675	0.00849541765093227	0.0231290940609106	0.0162109643859303	0.0175277686792537	0.0178026756279139	0.0104647802391456	0.0206448949549694	0.00576627939641056	0.0193129750081708	0.0180892265785339	0.00743992249904624	0.00964050647289229	0.0143097570582836	0.0187520628742031	0.00610815677810867	0.0156954834810513	0.0161343731810987	0.018814562361865	0.0158434903192311	0.0102154381601925	0.00913448025891215	0.0119147564264881	0.0217743849399686
A549_G1_1B_2	0.0388948376293644	0.0157546999127335	0.00539338878565833	0.021755437395378	0	0.0330767602754737	0.0118028509509879	0.00348582891873188	0.00772290922403982	0.0163560122683798	0.00783470087045289	0.0261688953878532	0.0228683577423384	0.00337704228277989	0.017703528944748	0.0450449527146893	0.0562877786008238	0.0195027524318377	0.0429460382781873	0.0390719919362283	0.0232609652642138	0.0130362334964574	0.0326754636802687	0.00308000921039658	0.0178159741929542	0.0187327706410952	0.00500355747704031	0.0331983736919963	0.0130792196848974	0.00373707865322041	0.01836813050029	0.00930537836490482	0.0198711629573496	0.022908191128186	0.0225200870319157	0.0095307285557023	0.0458805010783123	0.0260848919693097	0.053729642180198	0.013546943173076	0.0072531451909525	0.0137547085408498	0.00418569163963531	0.00374260273725032	0.0190313812648481	0.0122627008097396	0.00687653711166904	0.0083513663669465	0.00842587758712374	0.0054487151236542	0.00649883885183829	0.0174834937226614	0.0112453601502756	0.0161429657257202	0.0134088692427039	0.0158550359797494	0.0260272097111724	0.00725298818457337	0.0491667319630556	0.0499947541241178	0.0297248637290979	0.043984655164037	0.034808952862144	0.0145017469995635	0.0362907785885881	0.0152498978683046	0.0409270709073735	0.0205007976628944	0.00653030257908842	0.00651919224436989	0.0158132325375465	0.0166670573900337	0.0356321331054885	0.0334244484585561	0.023615688169681	0.0326211870847488	0.00677643637054666	0.0400188687737963	0.0368800921362183	0.0258536205540243	0.0212706415833604	0.022635119023786	0.00371722400353471
A549_G1_1B_3	0.0717651208785825	0.0485470276798673	0.0374707693324397	0.0547153309133429	0.0330767602754737	0	0.0212908108397209	0.0311622929149673	0.0269310332651884	0.0474315095142409	0.0396321569558517	0.0581800037051941	0.0550228139691812	0.0339944317461769	0.047896112780012	0.0780269080518872	0.0890326547723539	0.0514402826265687	0.0758111126286308	0.071944968484267	0.0562084112597053	0.0459902436274928	0.0657064967326762	0.0360386138082387	0.0485378325553683	0.050985663985436	0.0378866845669881	0.0660500236693266	0.0443256390484969	0.0324040164710049	0.0514297518005016	0.0385242831358161	0.0523747017597518	0.0554005205236776	0.0552689228887205	0.042220190476153	0.0786922773410954	0.0581973880702512	0.0865356925908773	0.045949018943826	0.0283992540266038	0.0203272940246935	0.0298710547081924	0.0352152437242929	0.0519856911793146	0.0223241149080245	0.0307775871293867	0.0342479723195533	0.0266416627826856	0.0311558514965854	0.0289158543243897	0.0169210503452878	0.0435928782404677	0.0490429004824786	0.0212041586289789	0.0481602458195199	0.0583212865808884	0.0259135747410231	0.0820649504304677	0.0829695509593958	0.0627011561810518	0.0769381738674206	0.0674093096148552	0.043922167458279	0.0688091343140543	0.0468882114691987	0.0737942819227833	0.0534127786510744	0.036832082571454	0.0379987519660534	0.0487528624983114	0.0489908497057332	0.0686715507406047	0.0641738281204502	0.0565389376039638	0.0648991532092116	0.0394420592739273	0.0728637147889686	0.069812313906822	0.058037389682287	0.0537154195290354	0.0545091920235907	0.0332280183892982
A549_G1_1C_1	0.0505539539846218	0.0274183640389466	0.0163380756780018	0.0334724828808553	0.0118028509509879	0.0212908108397209	0	0.0101933960931223	0.00685451215607906	0.0268283634478655	0.018782837599516	0.0374963852805176	0.0341915186476538	0.0130863640966628	0.0277020748285242	0.0567856881520866	0.0679978205216135	0.0305317743292879	0.0546144641553609	0.0507819962600067	0.0349965499304752	0.0247336100266575	0.0444683550329012	0.0147943125584203	0.0282319057015747	0.0300895421285005	0.0166881783717317	0.0449359975869164	0.0237582274931572	0.0115830802296104	0.0301649455964166	0.0184152453401959	0.0312542797612895	0.0344212528250767	0.0340715826684757	0.0211165543999637	0.0575719144750339	0.0373814612807197	0.0654598194877256	0.0249287861615645	0.00824301128086589	0.00405158411290417	0.00873707680924521	0.0142424816597262	0.0307844593652217	0.00506584700174404	0.0106264875107186	0.0146980556484177	0.00677967097031343	0.0108998139572799	0.0086920287054401	0.00712265922997311	0.0224556052750823	0.027794931502993	0.00457253791025336	0.0271578398609597	0.0374346712209404	0.00478811859026803	0.0608620973266564	0.0617767446848194	0.0414917293812872	0.0557351210657229	0.0464124449806283	0.0241333574312246	0.0478419945755675	0.0261735412136946	0.052657143838191	0.0322088727520185	0.0160061216691533	0.0170156366808285	0.0275687900523183	0.0280952873061135	0.0474178996944895	0.044168151219919	0.0353652968129793	0.0440479118296201	0.0183114928463582	0.0516602926494086	0.0485807793128456	0.0372618352432905	0.0327254970111742	0.0337908784404026	0.0121918605216925
A549_G1_1C_2	0.0409644983811438	0.0182558063496454	0.00873369010441663	0.0242485749570438	0.00348582891873188	0.0311622929149673	0.0101933960931223	0	0.00464602130974387	0.0172119577835229	0.0100752723302153	0.0280412701963912	0.0240262644616568	0.00550020813423749	0.017911548689886	0.0472768335484529	0.0581385482379644	0.0224061129002577	0.0453469126717955	0.0408324991367898	0.0251176618317336	0.0151053022356215	0.0347522151001641	0.0053865755517497	0.0181153940409098	0.0199479190072306	0.00736522690923707	0.0351946187521443	0.0136851683552488	0.00610572279973557	0.0205795881187244	0.00878635245401202	0.021925963057999	0.024318517245366	0.0247748404940132	0.0118989963763228	0.0475799028174368	0.0272095209288464	0.0556047126631822	0.0148094843865246	0.00502344361392239	0.011467035540696	0.00466452628471265	0.00463512549820288	0.0214412820133773	0.00948824564898565	0.00866344843791065	0.00607320508273644	0.0090484035284643	0.00522039521491112	0.00309283654183292	0.0150050310914476	0.0136834632871217	0.0186650564516058	0.0124782041059745	0.0171220214977707	0.0272785203973466	0.00625145626635435	0.0511162416922238	0.0520191193852293	0.0320582008856393	0.0458681176914492	0.0363428424507769	0.0156157809433349	0.0377289451777944	0.0183068343345341	0.0427078970159711	0.0223130989350291	0.0076388884924809	0.00739716000883889	0.017957089228529	0.0186637830407492	0.0377687194095105	0.0355802463480963	0.0255115762375619	0.0338916787308875	0.008507289381644	0.0421588920526176	0.0389207110363615	0.0279454549703756	0.022602094014641	0.0236022971142726	0.0061300986008743
A549_G1_1C_3	0.0454243410565427	0.0228633382280305	0.0130288389299834	0.0288729150908142	0.00772290922403982	0.0269310332651884	0.00685451215607906	0.00464602130974387	0	0.0210318999687838	0.0143940166863321	0.0323607523340132	0.0281523679462898	0.00933613229786193	0.0213736008553823	0.0518173613150484	0.0625177669441065	0.0268969093014171	0.0499265147083481	0.045201313419708	0.0295758369539988	0.0196510386545277	0.0392695662230542	0.0100242632324336	0.0217599920116334	0.0241464604121302	0.0119730868684645	0.0396683637113695	0.0176201888958194	0.00921528535217592	0.0251666066664475	0.0121180166294401	0.0263240470482755	0.0285809529444701	0.0292775729624349	0.0164598993158017	0.0519069241718893	0.0312874491577704	0.0600021743284936	0.0191063309843583	0.00411627216275146	0.00732437385215138	0.00647373939842052	0.00900351392827837	0.0260593352460066	0.00499226493341612	0.0104346225392829	0.00799912219704778	0.00900736407785801	0.00728845603956655	0.00199616225572087	0.0105977279932182	0.0181072578895354	0.0232687319845578	0.00993090590217611	0.0213484499812387	0.0314342392863591	0.00498658900130427	0.0555325202937947	0.0564930891560687	0.0366531410940714	0.0502853634734787	0.0406115795471462	0.0192310867270351	0.0419412577478567	0.022773088366674	0.0470876925534503	0.0267641719816328	0.0113533332113836	0.0115454185455272	0.022525945858851	0.023086146171351	0.042298819278885	0.0397906007834284	0.0299853217627763	0.0380208437069186	0.0130578670149909	0.0466365943975946	0.0433870306702153	0.0323575357503199	0.0268355491640857	0.0276177171307902	0.00945799478699711
A549_G1_1D_1	0.0258445878499902	0.0128976051349168	0.0145131552462129	0.0135998213921393	0.0163560122683798	0.0474315095142409	0.0268283634478655	0.0172119577835229	0.0210318999687838	0	0.0150064065864101	0.0199027640779234	0.0114891374779037	0.017562420030933	0.00411627019176191	0.0329394511782526	0.0443984817523805	0.014121546625313	0.031465121135416	0.0259766607907139	0.0120292579089468	0.00737067346945795	0.0213598611672074	0.0137823178247826	0.00837506367221199	0.00926018891127287	0.0132601104377199	0.0229154754305738	0.010097981369668	0.0193073586938243	0.010512954054009	0.0135143052403877	0.00826960279233109	0.0119465607074055	0.011571017810376	0.0125551873013793	0.0325547489701713	0.0129702227677973	0.0417809981744003	0.00671023876179782	0.0190699611713817	0.0271145773151736	0.0189121990537646	0.0150053495524917	0.0129979438945865	0.0259236053476741	0.0202697690595501	0.0158544732694868	0.0239870711931752	0.0202248019326098	0.0192002336002099	0.0315429295176481	0.00878829430787257	0.0100046429398113	0.027633184118201	0.00459174898320513	0.013650996714212	0.0230562016276308	0.0357009006104422	0.0379259035631188	0.0202129767032301	0.0310716266057052	0.0224800078006878	0.0178101170213551	0.023153029061366	0.0168894259340415	0.0284545711830329	0.00965995438450648	0.0113354671285489	0.00999302527645061	0.0108907578670279	0.0137821451106933	0.0239886754077471	0.0293832873009457	0.013699197987078	0.0196704169117897	0.0116824743684738	0.0271358539201713	0.0239993443664921	0.0199283537234689	0.00932010860216625	0.0107164121966422	0.0164952645994386
