	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1H_1	A549_G1_1H_2	A549_G1_2A_3	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_3	A549_G1_2D_3	A549_G1_2E_3	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3F_3	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0213128386337311	0.0113728350948538	0.0196899146488687	0.0132317112230848	0.00680996506412049	0.039805610379042	0.00742168754598518	0.00876632431411098	0.0263655343305614	0.0103693911052839	0.00799994571545016	0.0102815789938922	0.0112405262920258	0.0159187779922067	0.00724809376739851	0.0148136933889856	0.0266238422719071	0.0118442427278929	0.0130848988443164	0.0483189400031791	0.0128088980087087	0.0197472093652334	0.0177753495850141	0.0251850038877803	0.0099006951107617	0.0126918108953633	0.0142016831288266	0.0143493571459501	0.00567540705247097	0.0141033669908724	0.0112631671485993	0.0271212085844012	0.00713671667083895	0.0419671686818827	0.00837212015990242	0.0300387526008611	0.0126752686864674	0.00831350211160489	0.0336025286026335	0.0111880195838689	0.0130658895473194	0.0211510273560189	0.0194544996413992	0.0104286591697755	0.00671650703527283	0.0291431618201947	0.0127208580419102	0.0143558213970334	0.00901587310412552	0.0169618287761368	0.00695915302245869	0.0266473528111895	0.0168533485877558	0.00931360148311141	0.021995618739683	0.0369877916733787	0.0121208426398781	0.00600831056201082	0.0108429059033243	0.00509478062586476	0.018268270036855	0.0189110807260339	0.00894424043395649
A549_G1_1A_2	0.0213128386337311	0	0.0319231567593868	0.00573728954656605	0.0336784237518266	0.0192210470554564	0.0385302555337993	0.0210860938111749	0.0129632311269763	0.0470575303766384	0.0120815743695865	0.0216791643058382	0.0115587256918484	0.0216272402058243	0.0127324890583277	0.0267602291358578	0.0326470745010486	0.0300369825519266	0.027958814697003	0.0312662664257129	0.0695353258793303	0.0236107843662093	0.00579156138072248	0.00559837224615282	0.0151843249669045	0.0131994733114408	0.0321642259469546	0.028641387246426	0.0119279596984516	0.0225558802141433	0.0101623246398396	0.0118910265237488	0.0380782507372818	0.0267944091825584	0.0601155549008933	0.0234788218488271	0.0473430560914433	0.028579040598626	0.0166325481559679	0.0519635533244676	0.0312211021985867	0.0119645068342491	0.0247150673120799	0.00401301574052313	0.029817633390894	0.0225455442759329	0.0111868234696321	0.0165251769819459	0.00776484699241208	0.0161907881012184	0.00911568568708968	0.0169752274353923	0.0155621755304747	0.0319223656682027	0.0153023363128988	0.0420610732128959	0.0161683999827577	0.00970301142529351	0.0171236026667368	0.0114026163080568	0.0188137917958177	0.00937376890720132	0.00559740023528045	0.01955688416477
A549_G1_1A_3	0.0113728350948538	0.0319231567593868	0	0.0292129955599028	0.0105492884249772	0.0151730154830328	0.0450216264287997	0.0128683489790495	0.0195707560031944	0.0172860435846309	0.0205563440151163	0.0140532926474099	0.0215011507959309	0.0184247320240338	0.0267424584253415	0.00548899121271182	0.0105614481541659	0.0314849366017666	0.0155500030734606	0.0106264686136599	0.0387612393051966	0.0175384087068125	0.0308261345233298	0.0280619666811147	0.0353165045219252	0.0201451294204536	0.00881538257862155	0.0142969525074523	0.0232630000554792	0.00986170508363374	0.0237557430348777	0.0225578139683574	0.0273609288478224	0.0102319902999125	0.0353514691841337	0.0122646379526675	0.0239876001563839	0.0112840311729694	0.0190263750656766	0.0276608147576716	0.00478520827749041	0.021690254240708	0.0267001713241416	0.0295623220140662	0.0114573027038161	0.0129502696082892	0.0385672788294297	0.0224684115834884	0.0253476237567915	0.0166906599281639	0.0281084271305874	0.0153438290865569	0.0366711537385374	0.0154134747717849	0.0189927209500434	0.0151045877341867	0.0478481645905653	0.0224913468438728	0.0152944104890839	0.0209825790068718	0.0141414371330258	0.0274085085448004	0.0285384847754136	0.0141667412732516
A549_G1_1B_1	0.0196899146488687	0.00573728954656605	0.0292129955599028	0	0.0326967811684081	0.0178680433796486	0.0399425250907868	0.0185170575915181	0.0121539099836292	0.0450665965057555	0.0102458036103565	0.0200685726753972	0.0116696009498684	0.0215183852594575	0.0154878303137173	0.0238964877128091	0.0304011582284458	0.0306531689761987	0.0278398175183864	0.0295108341949414	0.0676282349221297	0.0224639987198075	0.0102627970528343	0.00514712877656886	0.0188883052450883	0.0124080056910339	0.0304013899131623	0.0266299656571458	0.00878656163612923	0.0196811640622755	0.00878937748050636	0.0127786013082915	0.0375651360757556	0.0257547801843928	0.0589250597019963	0.0213954266696765	0.0456457924512795	0.0260240899426465	0.0170550933666866	0.050915502547579	0.0285195792488352	0.00841924893570326	0.0246715575261036	0.0029455730089456	0.0291076576756439	0.0212176345350878	0.0119466721252242	0.0176150343964304	0.00911763132145727	0.012651139918254	0.0124510529225814	0.0141795004125603	0.0191762287159054	0.0300977300528147	0.0144615257285032	0.0405451964024003	0.0201657193535449	0.00851320849607342	0.0150409762308192	0.00986298591057045	0.0166731229017724	0.00776190288067254	0.00169297133251058	0.0157968380537463
A549_G1_1B_2	0.0132317112230848	0.0336784237518266	0.0105492884249772	0.0326967811684081	0	0.0162563257613786	0.0421953077964339	0.016787918973467	0.0209279336776996	0.0154608794831176	0.0234100561745838	0.0153479994026373	0.0223489445276622	0.0163568709852948	0.0249326310561945	0.0130683250216303	0.0125589713939444	0.0289099260689519	0.0095809660147279	0.010252971863278	0.0363977169735757	0.0175186126248013	0.0308749867220743	0.030620799397253	0.0336079174176787	0.0214018911717948	0.00797756694797325	0.0158326644892546	0.0274106208600765	0.0153888310641587	0.0259826819022727	0.0227118683207307	0.0242482358770705	0.00731977879007104	0.0310054270199522	0.0147594598060654	0.0218812841766784	0.0150472119538977	0.0176585115319453	0.0225487937684914	0.0122968237225645	0.0256527628434716	0.0256696822604421	0.0323545863986614	0.00458449182231454	0.0132191075703868	0.0410821128982923	0.0205992914054927	0.0261259930064197	0.0217025185953463	0.0273303877618018	0.0194278442147284	0.0352699239786338	0.015744299153912	0.01992894732309	0.0108734848182743	0.0488246709236622	0.0245999261479412	0.0181299207615503	0.0232393440034299	0.0176460934692534	0.0300641789086228	0.0317653144320111	0.0203754073648724
A549_G1_1B_3	0.00680996506412049	0.0192210470554564	0.0151730154830328	0.0178680433796486	0.0162563257613786	0	0.0333267964662378	0.00450378055459289	0.00682136169916967	0.0281807405006959	0.0114225043646724	0.00277549089876986	0.0101124109922181	0.00591598272533229	0.0125622680080824	0.0117099184826355	0.0137004883103529	0.0203128443885048	0.0107268103462183	0.012056012751232	0.0513476428944831	0.00685909373304233	0.0169696956933981	0.0172823372991057	0.0202345672227057	0.00604168632897986	0.0130623196833158	0.0104747511878203	0.0157045375539325	0.00719686605596264	0.0100622814837235	0.0117107518963128	0.0224363370445937	0.00895441736688122	0.0412731582214253	0.00487266822364673	0.0285158114583039	0.01039352986246	0.00639390445554915	0.0331228849891887	0.0166498644690553	0.0103864272234834	0.0145065569840991	0.0181512735921221	0.0122499927943595	0.00341275819684824	0.0250643248352389	0.00802657914125726	0.0120245728416614	0.00881272120446696	0.0141649288113946	0.00609029289746166	0.0215273981242192	0.0135688254638386	0.0041650775068669	0.0230584664752691	0.0350581263297788	0.00974679761718131	0.00398098119327024	0.0081173477913939	0.00987355974987746	0.0139169504672781	0.0166226126833304	0.00902226411873786
A549_G1_1C_3	0.039805610379042	0.0385302555337993	0.0450216264287997	0.0399425250907868	0.0421953077964339	0.0333267964662378	0	0.0354399007158869	0.0358374320984077	0.0482558305929923	0.0411496092341838	0.0326269103241931	0.0381720467516695	0.0288007425168703	0.0311473058101845	0.0437882412229826	0.0361511710720671	0.013611393556191	0.0331988294062079	0.0352858625234672	0.069750041823995	0.0279906848495961	0.034644173935652	0.0417260964196072	0.0251877754231905	0.0335791923130747	0.0376923781173036	0.0312785307089354	0.0445966712493606	0.0394047393292973	0.0332167397796314	0.0390982702210385	0.0223730028678394	0.037614243710744	0.047286777703353	0.0338433857876506	0.0381657354374559	0.0347420185537339	0.0342096706115715	0.0426656896592182	0.0483227992347169	0.0365857854259181	0.01908484728259	0.0406933660189044	0.038314568842667	0.0337245198416208	0.0349782459729641	0.0292159411620939	0.0354127007769934	0.039519999911485	0.0334272003237894	0.0377904059060617	0.0247236041641068	0.0310572295302268	0.0323497437367004	0.0425557672566683	0.0464469400866689	0.0359772230770818	0.0362886190244462	0.0354682334141365	0.0428292913306518	0.0325300036958239	0.0383106445013841	0.0399233756488865
A549_G1_1D_1	0.00742168754598518	0.0210860938111749	0.0128683489790495	0.0185170575915181	0.016787918973467	0.00450378055459289	0.0354399007158869	0	0.00933492458835902	0.0269286086440539	0.012382924234661	0.0039489381017381	0.0126568870287595	0.00961507166711563	0.0165801819999233	0.00925422435655466	0.0119359621335748	0.0224187765737672	0.0132423435822954	0.0112958830141322	0.0501886544514561	0.00816314777255264	0.019902059997113	0.0185948480665995	0.0236906623730067	0.00877930813778879	0.0122822335389881	0.00925825471909818	0.0157602864556542	0.00409319775517803	0.0116039389110398	0.0145040712856689	0.0232351323319623	0.0100959803550236	0.0409156007034838	0.00340724336268656	0.0276198047127526	0.00784737617070419	0.0105437959919734	0.0330230741268217	0.0146684620378042	0.0102427342798872	0.0163651319233535	0.0193237881184796	0.0135591196305181	0.00526153909051392	0.0262186772848965	0.0123307652004636	0.0147105439216253	0.00732519604588651	0.0176412297614561	0.00511216050680805	0.0247748945891679	0.0126638500627506	0.00743294793544592	0.022498470713149	0.0372115353474449	0.0115047659413573	0.00462817467428884	0.00976519709916696	0.00982255421633989	0.0149540969214421	0.0174363121085076	0.00586754212188821
A549_G1_1D_2	0.00876632431411098	0.0129632311269763	0.0195707560031944	0.0121539099836292	0.0209279336776996	0.00682136169916967	0.0358374320984077	0.00933492458835902	0	0.0341304950261155	0.00567791409178307	0.00953980530498244	0.00368882332395958	0.0106436565277515	0.00909297450789225	0.014884923167772	0.020311435914474	0.0239619068834231	0.0158527160406651	0.0186785084852534	0.0566910111906523	0.0128640434779483	0.0112866553786796	0.0106579932240863	0.0176018832813076	0.00242668574396215	0.01932769773439	0.0171542446765321	0.0102064447942442	0.0106655146496188	0.00608429994282966	0.00571243411332343	0.0284170196093486	0.0139108549983894	0.0478469351381077	0.0113473464419213	0.0353067018339724	0.0167878007391182	0.00538103346157752	0.0395714107195654	0.0195288732248724	0.00694860932139195	0.0180546564647041	0.0118125599302162	0.0171047457020491	0.00990463306860015	0.0206967887946835	0.0079919326351418	0.00580532198554864	0.00723718440393492	0.00904095777621909	0.00595745359018136	0.0188869243308695	0.0203453046105071	0.00410267572712363	0.0291701414983733	0.0288093470453424	0.0037529376183502	0.00490454092368649	0.00286793526239284	0.00830387787231963	0.0103435193470772	0.0110764589967934	0.00987266335619612
A549_G1_1D_3	0.0263655343305614	0.0470575303766384	0.0172860435846309	0.0450665965057555	0.0154608794831176	0.0281807405006959	0.0482558305929923	0.0269286086440539	0.0341304950261155	0	0.0365993190155327	0.0261527174856734	0.0363082582664636	0.0281019838058916	0.0388090024546608	0.0225793596994223	0.0163496088540872	0.0359742092052864	0.0220124247462493	0.0168455649440215	0.0238628778128177	0.0268039742620816	0.0446686274782657	0.0439933126603159	0.0462390797943924	0.0341125574734675	0.0151794329127587	0.0219002931906555	0.0400015305913574	0.0256330340667111	0.0380663232409676	0.0371155497823319	0.0263268535383579	0.0207973253956317	0.0198912925348497	0.0244868338488263	0.0140078345043054	0.020975586059336	0.0316717662348482	0.0136617746686297	0.0204916871102886	0.0370570852942326	0.0339604849503074	0.0453900009623322	0.0187800966301099	0.024876278341045	0.0528121617484783	0.033666116455049	0.0397123228751576	0.0328486616559653	0.0413096327089374	0.0309205924166274	0.0476584080212994	0.01979551659364	0.0323124202182087	0.00645543053921885	0.0628407345973589	0.0374388484256475	0.0301479643461339	0.0358196150163034	0.0304538858901316	0.0415982384697242	0.0440983614119363	0.0302803651049968
