	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.0132317112230848	0.039805610379042	0.00742168754598518	0.00799994571545016	NA	0.0112405262920258	0.0159187779922067	0.0148136933889856	0.0266238422719071	0.0118442427278929	0.0483189400031791	0.0128088980087087	0.0197472093652334	0.0251850038877803	0.0142016831288266	0.0112631671485993	0.00713671667083895	0.00837212015990242	0.00831350211160489	0.0130658895473194	0.0104286591697755	0.0143558213970334	0.0169618287761368	0.00695915302245869	0.0266473528111895	0.0168533485877558	0.00931360148311141	0.0369877916733787	0.0108429059033243	0.018268270036855
A549_G1_1B	0.0132317112230848	0	0.0421953077964339	0.016787918973467	0.0153479994026373	NA	0.0163568709852948	0.0249326310561945	0.0125589713939444	0.0289099260689519	0.0095809660147279	0.0363977169735757	0.0175186126248013	0.0308749867220743	0.0336079174176787	0.0158326644892546	0.0227118683207307	0.00731977879007104	0.0147594598060654	0.0176585115319453	0.0256527628434716	0.00458449182231454	0.0261259930064197	0.0273303877618018	0.0194278442147284	0.0352699239786338	0.015744299153912	0.01992894732309	0.0488246709236622	0.0232393440034299	0.0300641789086228
A549_G1_1C	0.039805610379042	0.0421953077964339	0	0.0354399007158869	0.0326269103241931	NA	0.0288007425168703	0.0311473058101845	0.0361511710720671	0.013611393556191	0.0331988294062079	0.069750041823995	0.0279906848495961	0.034644173935652	0.0251877754231905	0.0312785307089354	0.0390982702210385	0.037614243710744	0.0338433857876506	0.0342096706115715	0.0365857854259181	0.038314568842667	0.0354127007769934	0.0334272003237894	0.0377904059060617	0.0247236041641068	0.0310572295302268	0.0323497437367004	0.0464469400866689	0.0354682334141365	0.0325300036958239
A549_G1_1D	0.00742168754598518	0.016787918973467	0.0354399007158869	0	0.0039489381017381	NA	0.00961507166711563	0.0165801819999233	0.0119359621335748	0.0224187765737672	0.0132423435822954	0.0501886544514561	0.00816314777255264	0.019902059997113	0.0236906623730067	0.00925825471909818	0.0145040712856689	0.0100959803550236	0.00340724336268656	0.0105437959919734	0.0102427342798872	0.0135591196305181	0.0147105439216253	0.0176412297614561	0.00511216050680805	0.0247748945891679	0.0126638500627506	0.00743294793544592	0.0372115353474449	0.00976519709916696	0.0149540969214421
A549_G1_1E	0.00799994571545016	0.0153479994026373	0.0326269103241931	0.0039489381017381	0	NA	0.00584079380061638	0.0148130302071075	0.0111326844919339	0.0193393567054672	0.00992334814646799	0.0495938777826412	0.00497930421429083	0.0194398176783111	0.0218277162153515	0.00770621241883012	0.0144722178209932	0.0083351550005066	0.00246678221163688	0.0088148460085593	0.0121827151586051	0.0114735466577927	0.0146389683574475	0.0166507318653309	0.00770546436352947	0.0230503274117435	0.0108339519822182	0.00653589479084701	0.0375166845278979	0.0105481077478167	0.0156086863606784
A549_G1_1F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A549_G1_1G	0.0112405262920258	0.0163568709852948	0.0288007425168703	0.00961507166711563	0.00584079380061638	NA	0	0.0117585973138812	0.0142442732032235	0.0156377993529744	0.00788419180847661	0.0512388594763069	0.00510654252495696	0.0179743707849289	0.0182156128484449	0.0103870810065934	0.0144611670376766	0.00981927958922587	0.00795232047715361	0.00750435646672477	0.0149035787389223	0.0118361039442334	0.0142660184471535	0.0146365662051789	0.0119092638398327	0.0196405516457238	0.0124683610331033	0.00723645920390421	0.0364811308089256	0.0120715714499562	0.0163221579327411
A549_G1_1H	0.0159187779922067	0.0249326310561945	0.0311473058101845	0.0165801819999233	0.0148130302071075	NA	0.0117585973138812	0	0.0254364231685554	0.0210526810601291	0.0174446331595497	0.0611621047306771	0.0156286725475438	0.00749609813325693	0.0101572657512203	0.0214918167019925	0.00881566550046632	0.0184378429111682	0.0172375380040189	0.00783610516722326	0.0138107585257753	0.020597983037795	0.00678896007693337	0.00375169383321753	0.0147547365781755	0.0119083632602319	0.0240358270560014	0.00925521773208124	0.025594709357204	0.00998627028287417	0.0124135764219273
A549_G1_2A	0.0148136933889856	0.0125589713939444	0.0361511710720671	0.0119359621335748	0.0111326844919339	NA	0.0142442732032235	0.0254364231685554	0	0.0229679749912436	0.0122230218643414	0.0401687439538164	0.0113699005153849	0.0305605442030498	0.0318871357272839	0.00581645967177156	0.0247577777600045	0.0106383630517921	0.00917189541519961	0.0189287899367883	0.0220676430135615	0.0114232203391474	0.0257082280323863	0.0276449019973867	0.0168080028431884	0.0330473773131233	0.00521710348152057	0.0176666353679805	0.0485922221246794	0.0213338555522531	0.0259515239830043
A549_G1_2B	0.0266238422719071	0.0289099260689519	0.013611393556191	0.0224187765737672	0.0193393567054672	NA	0.0156377993529744	0.0210526810601291	0.0229679749912436	0	0.0200053412054803	0.0585421222526427	0.0145944509054748	0.0260209263147508	0.0192773938194364	0.0180480620712204	0.0277961270737349	0.0241156469483023	0.0204927600163779	0.0219478576587711	0.0254996152814179	0.0249670285910783	0.0250348409190799	0.0238605763141026	0.0252976511983966	0.0196688188463244	0.0180767068215157	0.0201230053979128	0.041735940630935	0.0240213597948863	0.0231900239173318
