	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00554269978278509	0.0117894849339574	0.0155565594906085	0.00934190274068646	0.00970369579307125	0.00657507896865446	0.0106511446848263	0.0112677627073195	0.00600239168446489	0.00991519853510203	0.00574930720547679	0.00102698798356644	0.0111542222297169	0.00738230444824884	0.0084982330747873	0.00636640581917402	0.00677971072410347	0.0102625214537246	0.0123615005778963	0.00556984308420799	0.0130526318520082	0.00837195522720386	0.0125712180890191	0.0147882625188108	0.0147448391312847	0.0122231765261558	0.0238382651280202	0.00284127146156571	0.0182319852528772	0.0167308526818703	0.0104594280178568	0.0176981081067165	0.0094424960301834	0.00769861844339215	0.0110639083149926	0.0141167955610844	0.00512114662660322	0.00780046951899549	0.0113343862721617	0.00614803569893273	0.00433769174407511	0.00682266959869903	0.00656570049830829	0.00759417042496334	0.00455438064497053	0.00738015045081809	0.00552495072077348	0.00754121238219711	0.0055744858096236	0.00623318601491061	0.00261539295512116	0.00224967533199024	0.0218561261155569	0.0191562744086273	0.0224991662487849	0.00432861008190993	0.00350344120555292	0.00713503141785274	0.00324926541319421	0.00792650118869542	0.00705837805836979	0.00664890723911128	0.00270060010967603	0.00805851768443649	0.0107385549992921	0.0138802772106075	0.0145886029598919	0.0145504419975492	0.00767524262643869	0.00704752549507743	0.00508694074296166	0.0108757525014259	0.011712051615349	0.00815163156987797	0.0126708407399787	0.0150597909617453	0.00911733383525854	0.00926380555909727	0.00949703047242145	0.00459904474882436	0.00781023650451356	0.00471636325315315	0.00684040955148802	0.00964291515479843	0.00817865854931003	0.00801621672894299	0.00312579120266952	0.0111986179026564	0.00625975192886125
A549_G1_1A_2	0.00554269978278509	0	0.00808591765627131	0.010280037529157	0.00382186152707417	0.00595544115078849	0.00795509594160464	0.00678158911439974	0.00851367817027087	0.00175848796601261	0.0047854147598259	0.000799518767303457	0.00530576176075862	0.00661445233497698	0.0041052928601924	0.00379504742984979	0.00383638756470753	0.00146436805368318	0.00635866117508764	0.00890260199811159	0.00447132772826727	0.0104006702805619	0.00436321155157827	0.00710613647002917	0.00929923434724837	0.0113238440258787	0.0157692639036981	0.0216534489374289	0.00441003277630947	0.013259549701562	0.0138876670680522	0.00668479440035058	0.0150692752917175	0.0074139225095352	0.00256269665872231	0.00588392005556844	0.00862046259073127	0.00550973303472896	0.00271526562858995	0.010343790730969	0.00191821599655226	0.00272803218429959	0.00136573563029554	0.00742267784644781	0.00647465196458388	0.00135125075724201	0.00406592544534434	0.00808305171162739	0.0022152041974407	0.00442088034599351	0.00374071385442249	0.00412853659234514	0.007703684269724	0.0185327629202143	0.0136141800358672	0.0171853187454143	0.00886209920991549	0.00420302968761934	0.00798910089143621	0.00568009432737581	0.00324553978550436	0.0106127146428982	0.00380192006660234	0.00435210804129724	0.0104145314609352	0.00545199410626125	0.0086460176873376	0.0130989866383624	0.0100206254054598	0.0056479862115183	0.00180652580278882	0.00417406903702191	0.00614547449282743	0.00822294234989408	0.00521949688658853	0.00713913346702235	0.00964283635986751	0.00646873514318427	0.00477450905687955	0.00451056944168989	0.00170565625287641	0.00228429343504086	0.00638230437710819	0.00132466607877892	0.00416499252271907	0.0111686524427727	0.00280946421953823	0.00555725371076137	0.0064781747047214	0.00351909136751831
A549_G1_1A_3	0.0117894849339574	0.00808591765627131	0	0.00651987527095292	0.00763886474886	0.002172688667255	0.01601419454372	0.00130720283521989	0.00206793969061349	0.00648995915737245	0.00967944239122597	0.00871679004147622	0.0109575346015353	0.011959235636336	0.0116195555652504	0.00443241776480295	0.00542338441231394	0.00840620672863074	0.00172804992500491	0.000920348415906801	0.0125452328332605	0.00308246527116177	0.00374281236580144	0.00919661354261106	0.0101999154026414	0.00324103985627745	0.0235468399716472	0.0138461063774075	0.0120851978912484	0.00749115758770852	0.00594951592141513	0.00141079696780194	0.00720522624455413	0.00356901301885583	0.00579238977970477	0.00443957308183421	0.00969764440469641	0.007471092884504	0.00906148428045676	0.00569423572184235	0.00630884182255441	0.0107750008152944	0.00707124702808522	0.015503886481237	0.0144104238795463	0.00934125448299978	0.0115700256155092	0.0159602505708354	0.00629908208632275	0.0124932244251956	0.0116639443308635	0.0117146693191591	0.0139470283599136	0.0104537321551521	0.0120899893001271	0.0124790554567605	0.0159997090084629	0.0120815743385258	0.0160739483379987	0.00946417364973881	0.0098860131947645	0.0182946199628873	0.00515160443842783	0.00918373947875468	0.0184091524700309	0.00493493771205899	0.00531926843340406	0.00664087681965298	0.00340666844135864	0.0134135874551784	0.00646108247487573	0.0122597585003006	0.00297227899166664	0.000498822253466161	0.0126495221075713	0.00727118265006505	0.00708780391896668	0.0138093428487753	0.00345274591509898	0.00430528920927123	0.00766861506272385	0.00696110051804844	0.0143378461668258	0.00783169114863162	0.00613954006126454	0.0190456748120465	0.00572167750942616	0.0132321118758032	0.0115323490880846	0.0114112900052961
A549_G1_1B_1	0.0155565594906085	0.010280037529157	0.00651987527095292	0	0.0072349165227004	0.00716988227406076	0.0175055131291114	0.00654471670079641	0.00858459358817448	0.00956420087218201	0.00846552973552608	0.0104626200601619	0.0150229470955235	0.0100480605914624	0.0119146136632548	0.00714765636263277	0.00997034047926209	0.00959096863833831	0.00666597930238295	0.00702693607653625	0.0138274279764079	0.00908188978637649	0.007694097618029	0.00602216613696145	0.00549587829004818	0.00748551541885521	0.0256734127212395	0.0172127097901532	0.01465588539982	0.00350016358485048	0.0100946368703476	0.00678724892400821	0.0113011461503416	0.00987293100630919	0.00786948656009338	0.00449472312265219	0.00537836477971105	0.0126886819678124	0.00936296543858866	0.0122044453052972	0.00942856225383925	0.0127501158608718	0.00891446288002111	0.0168274420311841	0.0149069958076067	0.011585261027099	0.0118658537142595	0.018061171989525	0.0080927210740638	0.0137700752710699	0.0125832592487226	0.0143991354610985	0.0177992827911065	0.012148495866321	0.00566050026594934	0.006943559040876	0.0191410044352033	0.0143499082533606	0.0172678294398431	0.0142745428114794	0.00995896044110021	0.0207063928766471	0.00961497771776259	0.0134674297434158	0.0200826442034058	0.00484120058247664	0.00168389771192191	0.0125810616817231	0.00378326662833727	0.0136925558084396	0.00856220362291041	0.013770448051944	0.005046511189099	0.00700670773662667	0.012577717161248	0.00406207487672508	0.00133403545320629	0.0133703758549084	0.00661410889708599	0.00608952886190151	0.0109610671708804	0.00808037373003925	0.0163216929993464	0.00922534997253574	0.00619493889934424	0.0210448326212406	0.00756185787115177	0.0157746612683518	0.00953822063883564	0.0123221341933245
A549_G1_1B_2	0.00934190274068646	0.00382186152707417	0.00763886474886	0.0072349165227004	0	0.00606501860459475	0.0102735568693868	0.00647203130850142	0.0089296625478395	0.00425062652261302	0.0020547941274802	0.00363931365839232	0.00912547714623401	0.00436429689090051	0.00472912003844005	0.00369277071810616	0.00606445240692549	0.00262254730233671	0.00614023063679408	0.00855905643551054	0.00660478142651426	0.0105859137529806	0.00490175936907133	0.00331183875413339	0.00548121091465167	0.0106635637011992	0.0184567151445114	0.0214223409387114	0.00777033076699526	0.0105762981888922	0.013524962732896	0.00651781502413679	0.0148038229934955	0.00867036200896905	0.00281371770436475	0.00365164239627021	0.00480064747987711	0.00858058679089138	0.00212896543545291	0.0117902361643466	0.00424330422978937	0.00574450160906464	0.00274024559859531	0.00959301133086322	0.00774138628198499	0.00485754144783957	0.00467892881524743	0.0108968148673981	0.00249191506511625	0.00654761481595061	0.00534917971085795	0.00758943964823139	0.0114537467290675	0.0174536371848191	0.0098423350735201	0.013890494010519	0.0122974660918458	0.00735287609319736	0.0100367149272207	0.00927607125992906	0.00275960133903963	0.0135701870089419	0.00581497831630799	0.00804433299044408	0.0128515335631827	0.00305472860078065	0.0058053465463399	0.0138948166351846	0.00821162420983282	0.00655508395195582	0.0028937342155393	0.00657954828279797	0.00478487102797047	0.00798247867917797	0.00552250565421016	0.00351768245994576	0.00632066175872668	0.00650788118557254	0.00440719980289123	0.0033562079640462	0.00523590292734266	0.00175190303552313	0.00916494923296529	0.00250423706990235	0.00152539450612685	0.0138347878944322	0.0025901093165371	0.00881134535136505	0.003980645790928	0.00508893631349238
A549_G1_1B_3	0.00970369579307125	0.00595544115078849	0.002172688667255	0.00716988227406076	0.00606501860459475	0	0.0138575209306243	0.000947499970377854	0.00287044360274392	0.00432462361662085	0.0081137527608993	0.0066182979095788	0.00891280703326949	0.0104267815423957	0.00964057036387809	0.00249263481498072	0.00336254795698524	0.0064014976982227	0.000583176049177228	0.00294840838376372	0.010425538936277	0.00462212248881614	0.00159236605353204	0.00824322007064476	0.00965571731855254	0.00538239755337962	0.0213783766743919	0.0157879052876942	0.00991311849945922	0.00895090701251052	0.00795317625968949	0.000769755475668076	0.00916271736884816	0.00298943328316817	0.00380941336621082	0.00365638104994765	0.00906496271667958	0.00573384495008163	0.00718725210475025	0.0059530677536561	0.00414379361851021	0.00862190107915701	0.00502779649163747	0.0133584865016298	0.0123496584700143	0.00718617679419464	0.0095923103028596	0.0137878671580417	0.00432575183050929	0.01037459721247	0.00959576524470145	0.00954359968779183	0.0118936139712346	0.0126139343493225	0.0123573490520794	0.0137327788366145	0.0138693406027873	0.00991081936536467	0.0139339024488522	0.00759342998878578	0.00801231726998523	0.016128227629193	0.00305870334504386	0.0071583042880833	0.0162407097040025	0.00394411016813201	0.00563870109230862	0.00783028821909063	0.00497836548081541	0.0113964315835156	0.00441253682767702	0.0101242731708301	0.00230569377973936	0.00226763174253407	0.0107025926994537	0.00664279139882726	0.00735118974086666	0.0118964236782649	0.00165875762060142	0.00277493899393757	0.00549856891101542	0.00507377104256713	0.0121685152634625	0.00582142947260209	0.00468728373220649	0.0168733244185889	0.00380614174479646	0.0110610768228681	0.0100438227177542	0.0093492434446246
A549_G1_1C_1	0.00657507896865446	0.00795509594160464	0.01601419454372	0.0175055131291114	0.0102735568693868	0.0138575209306243	0	0.0147169012737101	0.0162038660262245	0.00953583488250523	0.00946439831131793	0.00742386833341082	0.00750470857255284	0.00923644947645958	0.0057512227878222	0.0117404087630788	0.0111136964849058	0.00806228203508758	0.0142929942988151	0.0168002361367559	0.00369140739204772	0.0180996926050688	0.0122726396382815	0.0125220635773056	0.0145780396096502	0.0192391915713835	0.00820892620113881	0.0293029357765104	0.00433344145650369	0.0207878602702989	0.0216974658446303	0.0146054510592846	0.0228260407659148	0.0147466985363427	0.0104466293118185	0.0134950355433228	0.0140362468739717	0.0111218237272538	0.00814466424908539	0.0172258791064508	0.00971605593933209	0.00524061301599682	0.00914083684320305	0.000744805946476039	0.00323427501437076	0.00667344357948662	0.00579367315698255	0.00166010167414978	0.0100100301420457	0.00374879703304402	0.00492549790829805	0.00474037801474226	0.00654257751774218	0.026465661600749	0.0193024897414576	0.024083685397835	0.00471456478112801	0.00406948704344661	0.000784008162265343	0.00965111966130484	0.00760652125407669	0.0038577553894168	0.0112418352210245	0.00861909842226433	0.00257826504476297	0.0129642106745444	0.0160240877776974	0.0203339450715661	0.0178880609429899	0.00433285697541278	0.00970151391093502	0.00383519426857189	0.014026633883886	0.0161167605788883	0.00551129584258393	0.0136795950808359	0.0165702211084725	0.00553385358289957	0.0127266290655297	0.0123486392411141	0.00851753878610037	0.00966789602366167	0.00192398974343701	0.00854560181829091	0.0114138916087078	0.00364902880580021	0.0106349755025907	0.00350241181481892	0.00957076407655061	0.00518474320435093
A549_G1_1C_2	0.0106511446848263	0.00678158911439974	0.00130720283521989	0.00654471670079641	0.00647203130850142	0.000947499970377854	0.0147169012737101	0	0.00260112767444928	0.00520424393801412	0.00852493458536182	0.00740963527277494	0.00985847142226339	0.0108247213416688	0.0103302296843562	0.00313668548615253	0.00430681132833417	0.0071089475233839	0.000423984928241554	0.00217446074054259	0.0112387062348466	0.00411636912152872	0.00245417036194691	0.00831619410608089	0.00953799500231425	0.00454818806927208	0.0222957961305526	0.0151099217810044	0.0108230357026607	0.00809544834685179	0.00722761575614871	0.00024861810732303	0.00846888469012187	0.00335049238980982	0.00449483257916152	0.00357438999155948	0.00898526766753593	0.00660633283119083	0.00779684059889086	0.00604230549362298	0.00502306346322637	0.00947676839965055	0.00576701927088208	0.0142017136519818	0.0131066807816893	0.00804463926768696	0.0102809621959858	0.0146877749813237	0.0050044248109548	0.0111866201362084	0.010358819888966	0.0104579987179878	0.0128402711109417	0.0117535614851592	0.0119063275179114	0.0129454930997968	0.0148116970168343	0.0108014386917653	0.0147702370338167	0.00850726598749218	0.00862297100314214	0.0170500205697616	0.00400573211822789	0.00810136898538911	0.0171230754285464	0.00398315665529503	0.00511193370333394	0.0075290345579142	0.00407534136696424	0.0121168910908882	0.00515586578286047	0.0109554038164892	0.00208705633828367	0.00153437630939107	0.0113688363661272	0.00654074792689956	0.00687008869641549	0.0125388833474972	0.00217168544404945	0.0031159014975502	0.0064185891456049	0.00568767221786367	0.013053838745483	0.0065328707920032	0.00500805500184569	0.0177767228110992	0.00443696289753116	0.0119749314640809	0.0104151498537351	0.0101067878530529
A549_G1_1C_3	0.0112677627073195	0.00851367817027087	0.00206793969061349	0.00858459358817448	0.0089296625478395	0.00287044360274392	0.0162038660262245	0.00260112767444928	0	0.00677709553469725	0.0109809259814888	0.00924113343984021	0.0103415906438657	0.013293125340557	0.0123901074203687	0.00534499907221938	0.00512859032554926	0.00915500008710292	0.00283756281389671	0.00173432252461305	0.0129499634268502	0.00189845725486017	0.00429167914888522	0.0109169090631045	0.0121011664441816	0.00360202317851498	0.023347448594652	0.0131501265596756	0.0120480005554084	0.00931737393951133	0.00553073187078708	0.00247791804575957	0.00662425810155004	0.00201034555504053	0.00661791475377005	0.00617157926020876	0.0115639332587744	0.00646193604130441	0.0100172566601763	0.00362669820643314	0.00660646055339686	0.0110432889926683	0.00776190860028234	0.0157679459430233	0.014984195590709	0.00962181292732724	0.0123432664038293	0.015936953896815	0.00713163748629331	0.0129024875686746	0.0122376582058581	0.0116534189082968	0.0132978022064623	0.0105895132104553	0.0141555994364741	0.0143602333648685	0.0155805333633853	0.0121602707996668	0.0163622667576225	0.00855453175876694	0.0108383002768702	0.0180925387618231	0.00496765206946436	0.00857363794067244	0.018467572689934	0.00658275542617361	0.00737316822073733	0.0049708590123861	0.00529926416529771	0.0140966074112098	0.00715327959960127	0.0126018176422026	0.00467794330617017	0.00157793362107747	0.0134727771459033	0.00911997403400904	0.00914525955403826	0.0146854701745567	0.00452342005268757	0.00560535929054375	0.00768785502335983	0.00791292342678977	0.0144152680795158	0.00857704361113771	0.00752231685934587	0.018974762073027	0.00664763724039432	0.0131488984055365	0.0129047167883671	0.0120031065716574
A549_G1_1D_1	0.00600239168446489	0.00175848796601261	0.00648995915737245	0.00956420087218201	0.00425062652261302	0.00432462361662085	0.00953583488250523	0.00520424393801412	0.00677709553469725	0	0.00577838094251383	0.0025323152771059	0.00547045982876508	0.00787164017994267	0.00582009275106569	0.0025247213670577	0.00216138548562941	0.00279046595905354	0.004781175069121	0.00726501971779995	0.0061751520370895	0.00867017281811197	0.00275016842361235	0.00750427223894169	0.00956965531381726	0.0097057678796658	0.0171255205355394	0.0199250726826465	0.0056473517691718	0.0122659045334869	0.0121972460853081	0.00507920113983427	0.0133607907407743	0.00566138311424474	0.00178728430124536	0.00506964044262397	0.00888623149044951	0.00434694135411863	0.00398190692005178	0.00862529259455844	0.000181196452641167	0.00430788518133303	0.00161526310158617	0.00904963592903832	0.00822667743315207	0.0028722872238628	0.00577820507850218	0.00948955443034806	0.00183029614565315	0.00612713253616383	0.00549871099542848	0.00529804739074143	0.00825083538739094	0.0169380894901432	0.0135348806869364	0.0165058554653149	0.00984494196781826	0.00559812903685118	0.00963229949453871	0.00512382218642904	0.00468221375839848	0.0118989858102725	0.00207379921370154	0.00403575517955587	0.0119204176222308	0.00478060573708952	0.00788416143822759	0.0113423981218351	0.0087465833833375	0.00740442968411106	0.00136565456376133	0.00583975227683929	0.00494065082061168	0.00658144248343429	0.00693323314711474	0.007010247553586	0.00913580909491831	0.00817995399626839	0.00339235463853991	0.00349490675812149	0.0014050203759729	0.00250257241067976	0.00784997752842686	0.00231568602945977	0.00393118684447222	0.0125813393634125	0.00211919976345141	0.00680716168392673	0.00765026918552177	0.00527745588285192
