	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_3	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_3	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0248750107785592	0.0184975207231563	0.0161781628527271	0.0334761694421039	0.030293347008942	0.0187657025969071	0.0300218607058373	0.0318999719139625	0.00592732429155151	0.0189214365698222	0.014156809127044	0.00771987003023042	0.0315855714499801	0.0347538163821282	0.0160324477730288	0.0104499728238389	0.00685200881326679	0.0251288425567071	0.0270683916465346	0.0200288889280612	0.0329931767050483	0.0248137212901189	0.0243502349697228	0.033187074701813	0.0353149801343754	0.0129132961964376	0.0278038288164073	0.00926819812296958	0.0248333003964074	0.0405013756687136	0.025329953517894	0.0101145912172234	0.0274281652287819	0.023108811370365	0.00483603153115822	0.017341125968335	0.0159415801302385	0.010521367568306	0.0142978296864642	0.0363052524742155	0.0333334657749589	0.00796829996424832	0.0308978946689956	0.0310648012856481	0.0102482198592855	0.0287011686798653	0.0188571634145194	0.034377996542269	0.0256362918777931	0.0261225830347136	0.0289996702063854	0.0282955653325671	0.0343435400081462	0.013356643098842	0.0179187730468666	0.0162536268606486	0.00900641890508271	0.0200243202215437	0.0232733894113809	0.0192187242525918	0.0198937607075352	0.0113627818448244	0.0114155028744494	0.0153872257224399	0.0116496784696075	0.0324344283286845	0.0193664234971063	0.0253272546695741	0.0240105604760424	0.0259714124283937	0.00915774764327068	0.0147880886911524	0.0209832789364775	0.00976128939934739	0.0124194703266012	0.0108760488949295	0.00637949004881536	0.0156100809535464	0.0217564998757756
A549_G1_1A_2	0.0248750107785592	0	0.0122115412357894	0.0214192720911599	0.0107069676002451	0.008642431313197	0.0227941483749268	0.00526191531826947	0.0107991819668388	0.0283335592911809	0.00928276672364235	0.0107551297350801	0.0314538559603245	0.0194657008370742	0.0242049746744482	0.0130444772689719	0.0172491606395621	0.0281086880099745	0.00455848071816441	0.00651907562321339	0.0108876220216962	0.0136842644766501	0.00513451422082279	0.0131913675237709	0.0085027186809003	0.0115452053862099	0.0156698880956893	0.0108761792755273	0.015954560254404	0.00370518684829758	0.0165311151671491	0.0115861289567457	0.016114058085906	0.0166750641716731	0.0227537332069945	0.0230905220127477	0.026824050626714	0.0133680213333364	0.0143756228025664	0.0294169197345913	0.0116592592408832	0.0100689146046325	0.0257459101426134	0.00995965788294568	0.00988371312474715	0.0175296072286292	0.00528664534328667	0.0138558366011454	0.00982746131791712	0.0115396471987965	0.0127210002310661	0.0070490522921665	0.00807403767813742	0.0209775822657918	0.0143216390519447	0.02639419685303	0.0326359150579486	0.0176111126617928	0.0367804493247907	0.0231823633768165	0.00847639685723745	0.0439979791875056	0.0158824416267563	0.0327640050794331	0.0150862992313898	0.0236378890648651	0.00783187611766765	0.0279769517029034	0.0124960520007045	0.00952781460739919	0.0497815431956261	0.0160649043467	0.0143589412331379	0.037376992033028	0.0196007437814284	0.0135117361880277	0.0155558159566188	0.0202091433433962	0.0213294496210087	0.00957972359072897
A549_G1_1A_3	0.0184975207231563	0.0122115412357894	0	0.0162834843459342	0.0224715776496909	0.0140089766723229	0.0232063557244012	0.0157077045636578	0.0221009872841402	0.0204468758032415	0.0113563527658996	0.00843828901801973	0.0235750263428066	0.02454300377789	0.0212413017600438	0.0155720403592349	0.016027537764828	0.0228522264398166	0.0140037908084066	0.0155144863905999	0.0126012878549605	0.0157469413971209	0.0146993381211031	0.00804029658011511	0.0181150151289529	0.0208368244323909	0.00592194471351674	0.0183942461748066	0.0120539782639878	0.0107610499221795	0.0274446992722644	0.0138928801518223	0.0113315782336297	0.024625835247693	0.0217998807750346	0.0186568367609384	0.0216119255844857	0.0164832229792834	0.0102112766092905	0.0233600310712442	0.0210521198243459	0.0216379421164705	0.0201262940755826	0.0164009215361474	0.0216711266463715	0.0115641244179105	0.0135915834973399	0.0120316506294692	0.0195011678233533	0.0201158749086609	0.0165890598664653	0.0176552755944164	0.0119270883073466	0.026430299203798	0.0103337622413244	0.0218296103539351	0.0262433023683987	0.0127096654708335	0.031404011782702	0.017549188235508	0.014200245986488	0.0353693707359412	0.0109738265176494	0.0255289535025768	0.0094121037247599	0.0173760132878106	0.0194363766377335	0.0262762039130872	0.020583022932895	0.0167328131610094	0.0423316458478031	0.0119790371532995	0.0130783809158807	0.0328269205934699	0.0170945429426964	0.0114935687701414	0.0077277911647151	0.0166503763616425	0.017464672482845	0.00879526279113113
A549_G1_1B_1	0.0161781628527271	0.0214192720911599	0.0162834843459342	0	0.0312685092883542	0.0274172118787357	0.0116770364104028	0.0257505192833237	0.0257206269419902	0.0207122529253393	0.0219874678119423	0.0144980551675549	0.0177197783033432	0.0190472996831382	0.0213381689676499	0.0208973107936859	0.0184209612091279	0.0148903834953098	0.0244736931057759	0.0198342596553003	0.0114687023568931	0.0304465439064498	0.0244539644072639	0.016018321541917	0.028281192489825	0.0275331534957522	0.0152086834842708	0.0187146991836719	0.012233618622861	0.019239157467111	0.033358249388872	0.0143653043201932	0.00979541117121823	0.0217620046496761	0.00857392128842933	0.018701520505702	0.00567584129902216	0.0194639587631815	0.0135094037040262	0.00956594509958628	0.0300597593082876	0.0272613513784186	0.010609018506436	0.030039054843521	0.0262712981480111	0.00797231640395901	0.0227344780315551	0.00801311657242997	0.0280276283317967	0.0201017866125431	0.0148537957029499	0.0224241043968308	0.021009809161597	0.0214860290350091	0.00844687011656608	0.00563895711658196	0.0124620697562686	0.00947053443394582	0.0169034866664317	0.0312736687354167	0.0176759823625457	0.0283595149028322	0.0187472080492323	0.0156552464372797	0.0213017374966764	0.00534597342573798	0.0277053477021681	0.0117210142751152	0.0197025078851003	0.0170897596080662	0.0326760536692434	0.0121062812192664	0.00875137537616093	0.0181997759067069	0.0108228499986946	0.0177445206689689	0.0129305636128668	0.0137771245716058	0.0267234120785369	0.0133541879007341
A549_G1_1B_2	0.0334761694421039	0.0107069676002451	0.0224715776496909	0.0312685092883542	0	0.0126445253361997	0.0298870787845154	0.0083875458615492	0.00991331571953012	0.0368870821378184	0.0158832443868454	0.0201742298288299	0.0406364760741879	0.0242930519101332	0.0322879572212287	0.0184893880286384	0.0240619326718605	0.0365879821219414	0.00915974023676924	0.0128913763758713	0.0200205495189244	0.0171646363561916	0.00900764742197181	0.0231408243180469	0.00889368001689912	0.0122945282579492	0.0255543359963686	0.0161639807343606	0.0249304660999886	0.013604837097046	0.0119704262963245	0.0201782939908772	0.0256511722528788	0.018776665735118	0.0310047671721945	0.0306438113639404	0.0363561024691269	0.0188917985127552	0.0234924072272638	0.0388865885046711	0.0106526038176751	0.00815538369184976	0.0348196682108471	0.0109360941021274	0.00789544423749843	0.0273933078748452	0.0120059642161746	0.0236090560500976	0.010155459919158	0.0149395655300861	0.020188829785529	0.0106780850904192	0.0160203425136528	0.0250932875428808	0.024212759730492	0.0357332046645564	0.0421136664126406	0.0270071938583226	0.0457052592207544	0.0287798803770494	0.0153374306375278	0.0531833319757856	0.0240001634499266	0.0421015732656092	0.0230049887236006	0.0334188321593902	0.00595628558592225	0.0357624117380967	0.0160230750960055	0.0157071537599402	0.0585777921430191	0.0250937282902498	0.0234979723280356	0.0458756435758501	0.0279048973443342	0.0213688563465395	0.0254349132852442	0.0283724886174805	0.0271006794516433	0.0198224955524957
A549_G1_1B_3	0.030293347008942	0.008642431313197	0.0140089766723229	0.0274172118787357	0.0126445253361997	0	0.030909867938878	0.00622149429148468	0.0165906777948405	0.0324949945479672	0.0134538494890061	0.0168244150170458	0.0365999535884246	0.0258184106948779	0.0248015989204243	0.019439760141346	0.023536653848235	0.0345695726159206	0.00898865274265422	0.0131900039061894	0.0182077717189619	0.00525811500127192	0.0102806824763871	0.0143989289992102	0.00668216878072009	0.0124143405550552	0.0187808640472739	0.0177414785276447	0.0222838094565961	0.00930291150450553	0.0175571266883537	0.0169306817424682	0.0223506373520755	0.0249161166767015	0.0295996542292155	0.0287096213634756	0.0330621848291946	0.0206775627182347	0.0202516138978434	0.0356726200758181	0.00994444591397498	0.0140469063897222	0.0321558164481333	0.0045305959157954	0.0158017937938103	0.0234383009598295	0.00737935061996043	0.0202044182374657	0.00948489259959744	0.0198112620014689	0.018973639123881	0.013238811290586	0.00880711425889438	0.0267194524260508	0.0207227836412778	0.0328433020768943	0.0387867151106921	0.0239173189572122	0.0434550689983258	0.0215029241824099	0.0167875504068587	0.0487779425055418	0.0199741097874924	0.0385429383389095	0.0171555537238777	0.0296596908057768	0.0100020894657601	0.035658922547348	0.0208434180268301	0.0177341808705404	0.0554597169979052	0.0223438653901971	0.0217058554548004	0.0444084346562591	0.0268813288750597	0.0190142938793451	0.020076043342669	0.0268156749162079	0.0236193126946059	0.0145355064613552
A549_G1_1C_1	0.0187657025969071	0.0227941483749268	0.0232063557244012	0.0116770364104028	0.0298870787845154	0.030909867938878	0	0.0272525671219036	0.0231636149968079	0.0246324179632239	0.0233970323444163	0.0172128903175479	0.0217153390377085	0.0169149003089658	0.0293263944457405	0.0194232857475321	0.017555182261546	0.015332558193956	0.0250968938376136	0.0201809116825972	0.013195138429565	0.0352363888555163	0.0245015541904674	0.0237182386487601	0.0299618732310305	0.0286396234249515	0.0217026273894897	0.0176417840322089	0.0144506759137459	0.0219345990564002	0.0323581292027634	0.0178062136615147	0.0136075509317396	0.0145788856957946	0.00943962526255447	0.019274601235949	0.0119951223385184	0.0167824038709717	0.0163451523071572	0.01387788443952	0.0315426012340779	0.0259889338635476	0.0130534267408291	0.0324771677762383	0.0235652983490116	0.0136633587733565	0.025288866522034	0.0129785321043479	0.0294058504216258	0.0156881990774974	0.0161563338350431	0.0218486540101359	0.0253070430170961	0.0196904462271101	0.013021927240285	0.0108693620526507	0.0163765601805008	0.0130364292989648	0.0177124244187845	0.0362067684248473	0.015998143256584	0.0320767544616377	0.0217915473464928	0.0192280566328252	0.0254743105387071	0.0125052072206086	0.0276759647151148	0.00616727528704509	0.0147437466896513	0.0150318920403308	0.0341922965570349	0.0145016443627865	0.0102178930113413	0.0171184027193361	0.00963737456626819	0.0191642532452232	0.0186026675187985	0.0138399222378797	0.028974176822465	0.0184457406428446
A549_G1_1C_2	0.0300218607058373	0.00526191531826947	0.0157077045636578	0.0257505192833237	0.0083875458615492	0.00622149429148468	0.0272525671219036	0	0.0103747380816105	0.0332353369984512	0.0134018907672088	0.0158944219020535	0.0365252016193972	0.0209274111598095	0.0245103210455405	0.0177416194162296	0.0223222623197054	0.0333312587132051	0.00696014388886199	0.00810889191895856	0.0150498513165094	0.011275019229192	0.00781252255428	0.0151035126120251	0.00327500425337035	0.00797125996561708	0.020032850514583	0.0125601226650276	0.0211701136385816	0.00656999368388311	0.0127106216892886	0.0138526893162389	0.0212230033980953	0.0193420024001185	0.0263489981121309	0.0282149200265004	0.0312324503154772	0.018211328280729	0.0195291305301344	0.0342053100869148	0.00673412311150461	0.00794159601638926	0.030858382350458	0.00782704722980789	0.00970004836094797	0.0224920281505637	0.00397380174091265	0.0179144332188867	0.00529029272435848	0.0143884898437673	0.0149844887444484	0.0073779777036568	0.00779472173734516	0.0217995120620162	0.0192314848033388	0.0307624881242816	0.0374070817175477	0.0227392097237906	0.0415799540388317	0.0255253204072824	0.0133577224227413	0.0490171080601869	0.0205791851385421	0.0378102756961213	0.01904312690877	0.0284263997499805	0.00418824416657886	0.032495847967039	0.0154875761943709	0.0128519028655588	0.0549171216125209	0.021272558250311	0.0192498076975719	0.0421965560777477	0.0247835174264842	0.01849962994892	0.0203548618663264	0.0254663613041008	0.0252224693132984	0.0129201934041749
A549_G1_1C_3	0.0318999719139625	0.0107991819668388	0.0221009872841402	0.0257206269419902	0.00991331571953012	0.0165906777948405	0.0231636149968079	0.0103747380816105	0	0.0364308765686158	0.0184479065838053	0.0189421723680895	0.0382198254924789	0.0147566071889152	0.0271030619771117	0.0192184533597064	0.0236502330163947	0.03332421296166	0.0127869419165729	0.00720732525149786	0.0144651477342514	0.0215872643548725	0.0124653785862458	0.0205416932428765	0.0113601095176817	0.00932123377638241	0.0252093326347955	0.00779507323724325	0.0227862046440049	0.0116779152936111	0.00985751423202746	0.0139471821841065	0.0227903184495515	0.0112270464989361	0.0232365364846884	0.0299414648386133	0.0303352951351128	0.0181850974218262	0.0220667098246398	0.0337104732660607	0.011532894743444	0.00364524015169819	0.0309381807799758	0.0174143077199548	0.00262140611425317	0.0241380197855701	0.0109790387710026	0.0181626702522554	0.00997993506711168	0.00789282655861683	0.0126276123833872	0.0047055997678603	0.0141247050387872	0.0154877436761234	0.0205690265910137	0.0294516688662247	0.0368514425505921	0.0239763366431726	0.0399206137016555	0.0335672593956767	0.0129454999151887	0.0506418875571471	0.0248831026651909	0.0383407177575264	0.0251814846623189	0.0288380635132244	0.00738605714221711	0.0289637292365518	0.00889037824266217	0.00888953645598631	0.0550719741408576	0.0229385103077928	0.0188711382096342	0.0398996947822412	0.0241267064365839	0.0215981882049055	0.0241918583052149	0.0260633174594063	0.0303769687784695	0.0158872650540532
A549_G1_1D_1	0.00592732429155151	0.0283335592911809	0.0204468758032415	0.0207122529253393	0.0368870821378184	0.0324949945479672	0.0246324179632239	0.0332353369984512	0.0364308765686158	0	0.0213875882635373	0.0178597955509635	0.0081175961092645	0.0368587497460295	0.0377566915881842	0.0195707677933649	0.0143452677740394	0.0114398013309789	0.0281432754529788	0.0313558135459345	0.0247858588650293	0.034445219789892	0.0279695150447787	0.0270380542596058	0.0363057153981706	0.0390987840998206	0.0145414885759976	0.0326244101279273	0.013951073956265	0.028378557219278	0.044538654845536	0.0296466184843343	0.0148028946353331	0.0328931510433486	0.028331190835061	0.00827010191352516	0.0217769909338569	0.0202067623645135	0.0144736761292396	0.0183083932983752	0.0396290933072162	0.0374876541616396	0.0129561586560992	0.0328841547568203	0.0354372869814956	0.0147651707823879	0.0320657269203911	0.0234477145335919	0.0378398167344535	0.0307189862100265	0.0308639342034361	0.0332787930549072	0.0314665951153959	0.0395475370410043	0.017932465866454	0.0225887149833466	0.0196649806665693	0.0139904881044384	0.0235153258694521	0.0213161380046753	0.0237042089532877	0.0179925206822212	0.0131496184062375	0.0136288816193643	0.0160806359249139	0.0161272106872779	0.0360482202650153	0.0248434106907242	0.0305257847740629	0.0289346828242082	0.0254171351707703	0.0138241137731772	0.0199404000267289	0.0247909789084797	0.0155918710175039	0.0155671212045788	0.013725748175732	0.0119743833986326	0.0147793728668808	0.0255340677867983
