	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_3	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2E_2	A549_G1_2F_1	A549_G1_2F_2	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_1	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2F_1	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_1	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00442876541316347	0.0156416149506634	0.0136170644168229	0.0100648621411015	0.016449556387761	0.0134349946227828	0.0176731055926252	0.015940625009711	0.0179053642960753	0.00833568691834282	0.0312476532766511	0.0146893156715322	0.0226999131550846	0.026583709945311	0.0141669375953569	0.00889647935378701	0.0304829128658389	0.00484506034674203	0.0100180506475536	0.0269971954698779	0.0135680757636152	0.0159770622826896	0.00145576533419807	0.0248617177196899	0.0265006000587145	0.0247416929045904	0.0113452552020574	0.0229321572452853	0.0206294937025088	0.0090382136077001	0.0179252165406531	0.00501080384783802	0.0100851696804514	0.01573317979476	0.00841950830345173	0.0154124037150874	0.0235943657614597	0.00869329500193987	0.0182444651817138	0.0208720772744286	0.0153417098240588	0.0135830542478009	0.020477942147098	0.0142650210258225	0.0129897888087884	0.0204313383098805	0.0202235812603757	0.0199652794109469	0.0367635645254428	0.0233051674901161	0.0221515966755874	0.00606416530283317	0.00611341552157438	0.0229577913429906	0.0238469676196355	0.00755382059745262	0.0299961454359767	0.015348998103272	0.0173227452857284	0.0165259477485199	0.00690036051424566	0.0183471123497483	0.01618380517044	0.0186754910923247	0.0163572028997021	0.00683312967323998	0.0160706957381845	0.00891784273871226	0.0198378452478664	0.0116317460789955	0.0331484313589576	0.015392739105455	0.02123489611086	0.0356784338231361
A549_G1_1A_2	0.00442876541316347	0	0.0117220615124603	0.00971190361166867	0.00880303093522768	0.012521990199746	0.0105328291207076	0.0140046743553221	0.0128312946049635	0.014210989371651	0.00514807387651882	0.0275060531283531	0.0103723943456501	0.0190861495930098	0.0235104383114484	0.00989752743997573	0.00493939116845701	0.0266022382167337	0.0030582057939769	0.00882140043587893	0.0234780137861827	0.00946418321847014	0.0117918719778055	0.00301230336074978	0.0212919990356193	0.0222271122635315	0.0212127892005567	0.00691749718944877	0.0186034729257356	0.0162084687328896	0.00622069550727433	0.0141454328698124	0.00395951279980568	0.00662506461744007	0.0131867594397274	0.00686673238112415	0.0120248663513523	0.0198405943572025	0.00539520975373848	0.015583649885059	0.0176753682923498	0.0116428871076356	0.00946515620132222	0.0171325601166647	0.0109151509409696	0.00982501751933664	0.0169760567754307	0.0164535058143978	0.0166236596181413	0.0329561553458748	0.019439393423212	0.0185480098400788	0.00424208349415159	0.00746533519998312	0.0195623857907247	0.0198662456371735	0.00647891536016538	0.0264014826162479	0.0114499520175211	0.0134560081659234	0.0125781956311701	0.00339865085899697	0.0155761818207024	0.0123353148936294	0.0148065303171339	0.0134995388354615	0.00450139003979197	0.012272822830195	0.00640240975267415	0.0167100939781782	0.0100241232856662	0.0295756850766966	0.0114311788577685	0.0174737667694577	0.0320192027404593
A549_G1_1B_1	0.0156416149506634	0.0117220615124603	0	0.00202639028438531	0.00974931421250579	0.000808051976122133	0.00499376016585637	0.00269776257481373	0.00433133006510167	0.00279914090049394	0.00749274187815785	0.015802765209048	0.00353442963514201	0.00756125964817006	0.0128142052272847	0.00318339396624784	0.00680525906265765	0.0148889855136914	0.0110179302096638	0.00989361813789009	0.0119893554131041	0.00249314093013846	0.00206835261948784	0.0144677986327636	0.0097771714694464	0.0114073076011978	0.00975697436844193	0.00711312996693962	0.00841857903981562	0.00818320798593616	0.00728517512853836	0.00254001599731622	0.0113234313658751	0.00572151648072028	0.00660547055651651	0.00944698055474916	0.00292315378412104	0.00815510037499693	0.00710146103398147	0.00738110164373889	0.00719522398250934	0.00133288588577109	0.00253974123068871	0.00631021496309924	0.0031636849849414	0.00424805728603931	0.00588234228409665	0.00478961264973383	0.00588196100000596	0.0212383029174341	0.0077183736916554	0.00705444095251491	0.010196496135539	0.0141831380089306	0.00840905239135805	0.00820692368469457	0.0104082562469647	0.0147972819744109	0.000312553695458034	0.00174963529993866	0.000893935495347666	0.00874254306364372	0.00699532002732437	0.000741180205178751	0.0030880393931357	0.00557412907611185	0.00931144242665853	0.000916070918851637	0.00776297487152673	0.00660520593955438	0.00893294866834208	0.0179712749226268	0.000388423328364778	0.00580370122374259	0.0203459562151159
A549_G1_1B_2	0.0136170644168229	0.00971190361166867	0.00202639028438531	0	0.00831965381005444	0.00283415596458903	0.00425828348681213	0.00441492193386209	0.00472425246671178	0.0045855839435197	0.00552127727250668	0.0177984752879098	0.00327764808103667	0.0094558877270833	0.0144285755429559	0.0026135070243426	0.00478448111475463	0.0169107256553978	0.00901865792976846	0.00846018769293596	0.0138816887846714	0.00121642339861371	0.00298170605404896	0.0124420372160152	0.0116747587984528	0.0132647046266132	0.011629043840011	0.00569425499776698	0.0100720413725577	0.00920390796186416	0.00543719746144587	0.00445292548556966	0.00936122509316819	0.00377665918014249	0.00659151427809169	0.00774319225382267	0.00332591521807738	0.0101361179044778	0.00512673899495528	0.00800411500054511	0.00864664778910941	0.00215530946630676	0.00131218176927008	0.00787971008179236	0.00281092733548493	0.00323158023074312	0.00756249506271963	0.00675243428240516	0.00740539181192299	0.0232510865496542	0.00973561371881279	0.00893173942135761	0.00824794780726776	0.012378856556704	0.0101483672605369	0.0102315698937323	0.0086479939291496	0.0167421323948032	0.00174176024698943	0.00374485349356145	0.00290942477310917	0.00671909890292302	0.00772376159849907	0.00262618456031425	0.00509740246857902	0.00591331906459385	0.00736586756594011	0.00259295279216963	0.00596904096182087	0.00788854229069517	0.00777276752382207	0.0199187562030582	0.00178677569317162	0.00777232954624088	0.0223255149936868
A549_G1_1B_3	0.0100648621411015	0.00880303093522768	0.00974931421250579	0.00831965381005444	0	0.0103902279134607	0.00516666625635021	0.0104332204872726	0.00753170429075446	0.0107090228427707	0.00487633566703037	0.0231826230570788	0.0112798952454863	0.0147195848856454	0.0173253205044169	0.0105511930230903	0.00681125088327292	0.02286511495977	0.00589795698859832	0.000144851011149985	0.0185374362958783	0.00918589020541258	0.0112889772418391	0.00970947939631097	0.0166258706209082	0.0209704868439773	0.0164134251299499	0.0110391704934276	0.0181654987809155	0.0175109623187217	0.00382879651403109	0.011011253990697	0.00525830390107548	0.00537546629728697	0.00633072843170449	0.00193941191010208	0.0078065549905041	0.0159487136890138	0.00502680096625189	0.00878491877794942	0.0120797852590926	0.00870667605327074	0.0092667875150388	0.0120237795823073	0.00686980056164519	0.00554824591551987	0.0122376729976706	0.0129478515626145	0.011549140964823	0.0287306754732234	0.0160491179436501	0.0141871103326336	0.00458464025033781	0.00546239543014852	0.014430862534789	0.0169776979203437	0.00253119370368816	0.0215985811438359	0.00945295986830743	0.0108364444226018	0.0105330189351207	0.00610291193862597	0.00903052557668742	0.00987369896176388	0.0119603514285245	0.00737785713626624	0.00436524769528056	0.00959882838353895	0.00321783823053503	0.0109935363325623	0.00165031097134735	0.0246104110820761	0.00974473568685797	0.0138185567529554	0.0272815728573351
A549_G1_1C_1	0.016449556387761	0.012521990199746	0.000808051976122133	0.00283415596458903	0.0103902279134607	0	0.00549112195489832	0.0021888876893634	0.00445546593396754	0.00222521652487347	0.00829046331363609	0.0150144964644632	0.00391349437071741	0.00683838150136156	0.0122220976429883	0.00368892524293595	0.00761012988030504	0.0140854238445836	0.0118208371421192	0.0105349680255259	0.0112585335462108	0.00321431257995707	0.00215049342718233	0.0152747695598148	0.00904695986831159	0.0106724912612956	0.0090408494701989	0.00773951139020235	0.00779146708005142	0.00786148129441685	0.00805383959717445	0.00186160703417419	0.0121167752714172	0.0065156591728314	0.00680628636770868	0.0101706581622739	0.00315880197965708	0.00737899362506594	0.00790019105871188	0.00730187927402056	0.00672116255900077	0.00172872866837038	0.00324937031416973	0.00578418405676425	0.00364399692341401	0.00485011425497214	0.00529870035583903	0.00403383512460899	0.00538872278507914	0.0204399137841477	0.00691888499267496	0.00634384324335615	0.0109867953665851	0.0149284010324634	0.00777023406581494	0.0073989810368929	0.0111457792636675	0.0140365145183255	0.001105944726317	0.00100199895280724	0.000157996123248525	0.00955047549256014	0.00687715007523612	0.000577939866018624	0.00230131128378626	0.0056647933527013	0.0101015726208393	0.000907880274515004	0.0085165508822672	0.0062278453879272	0.00949506850481252	0.0172078083358514	0.00110164449940012	0.00503991685464248	0.0195654774653274
A549_G1_1C_2	0.0134349946227828	0.0105328291207076	0.00499376016585637	0.00425828348681213	0.00516666625635021	0.00549112195489832	0	0.00526892281791895	0.00255995440387711	0.00554498732830136	0.00538857017446709	0.0182746175127406	0.00753546832184747	0.00971028969023884	0.0131556913363885	0.00686642888154387	0.00618359217482072	0.01782650226714	0.00860268509173925	0.00530888973799052	0.0137657231389428	0.00543636612706382	0.00687421208008951	0.0126002452981307	0.011732836202752	0.0158687582222413	0.0115590108050305	0.00916006506595225	0.0132534746946055	0.0131439529193894	0.00443256399094003	0.0058667198341936	0.00849553244660506	0.0040886494891578	0.0028326841819326	0.00556340438964952	0.0026465467264763	0.010865287494436	0.00514333656680415	0.00506557761072123	0.00746256567725902	0.00376249711971663	0.00553283202704079	0.00717827666309459	0.00184737198501987	0.00110925805646685	0.00726952841366971	0.00778766600963282	0.00667495879884579	0.0238388759542592	0.0109059181183353	0.00916598608484727	0.00738539945086995	0.0103092092291551	0.00965790807970044	0.0118133745252998	0.0066160472440585	0.0168172997084417	0.00474069149882175	0.00577540386508086	0.00564514676747974	0.00713475556799316	0.00504416722867933	0.00493088140726364	0.00682324584986785	0.00297378978091253	0.00660427242759452	0.00462323494393561	0.00452257572035901	0.00641182102957771	0.00404338350144772	0.019915232642314	0.0051069640142225	0.00867717762374377	0.0225287294365602
A549_G1_1C_3	0.0176731055926252	0.0140046743553221	0.00269776257481373	0.00441492193386209	0.0104332204872726	0.0021888876893634	0.00526892281791895	0	0.00330268024831479	0.000276225608114879	0.00934993854619467	0.0135786719379264	0.00610139617326813	0.00508232592539988	0.010119405567243	0.0058446784622799	0.00907163335309044	0.0128746883421716	0.0128994932700335	0.0105759478281053	0.00948984886343546	0.00515655117571193	0.00430463240129955	0.0165979031631906	0.00729260004287465	0.0106772221086264	0.00722915239791	0.00980854090357923	0.0084409786527351	0.00936888400595134	0.00884805762158589	0.000762001140716072	0.0130507217023541	0.00758862711340072	0.00561632156084792	0.0106191016621386	0.00262786463241503	0.00592849938830967	0.00898353408548753	0.00548472155608398	0.00453420085914888	0.00236208791309291	0.00521221076124553	0.00361733960865064	0.00366107631211595	0.00506058883084294	0.00319131034049088	0.00260707135796165	0.00320512707287329	0.0191011577794874	0.00576011981752472	0.00454597211718361	0.0119026935746505	0.0154269049741752	0.00574889680802482	0.00657073468441675	0.011652868560807	0.0124000402449038	0.00284565102424456	0.00139834581458486	0.00227301072386625	0.0108243245690658	0.00500573763781507	0.00195660878165092	0.00166561367234156	0.00428701761415179	0.0110313571775902	0.00185761634322836	0.00919144165295064	0.00406144619477412	0.00925502188346373	0.0155746101305593	0.00308472676997426	0.00358777546178977	0.0180412677030615
A549_G1_1D_1	0.015940625009711	0.0128312946049635	0.00433133006510167	0.00472425246671178	0.00753170429075446	0.00445546593396754	0.00255995440387711	0.00330268024831479	0	0.00356244887290434	0.0077491218642742	0.0157364007998641	0.00766747506333002	0.00720219068421767	0.0107030247144445	0.00713885451742972	0.00817909919287496	0.015342931318576	0.0110976346000892	0.00766790410305406	0.0112065168395619	0.00590185435534806	0.00639906382147174	0.0150541076464256	0.00918552704294036	0.0139359209676004	0.00900503041089133	0.0103418518639404	0.0117213850886272	0.0122969117142686	0.00690529517944759	0.0040337135246116	0.011034482980262	0.00622168067754503	0.00237753603009457	0.00811010512224748	0.00145535681661345	0.00841808297439293	0.00745616613795814	0.00328320675815587	0.00493232097826698	0.00303655358578143	0.00599201940860784	0.00461883058065766	0.00209616795371068	0.00301002196601453	0.00473598398835104	0.00554227606733785	0.00411686535601577	0.021299711254121	0.00856230990718828	0.00666440584211694	0.00991354419044781	0.0128168884347759	0.00709810864272415	0.00956794137231153	0.00916222623685463	0.0142595825008228	0.00421236796068458	0.00429142472652918	0.00460871371769101	0.00944908700969791	0.00303982049820623	0.00389699647036722	0.00496793110232035	0.00124747847848083	0.00911004182870117	0.00357144703552442	0.00705434120793382	0.00390832816799973	0.00617524529034536	0.0173557222448475	0.004617113128684	0.00633885851562058	0.0199709640395695
A549_G1_1D_3	0.0179053642960753	0.014210989371651	0.00279914090049394	0.0045855839435197	0.0107090228427707	0.00222521652487347	0.00554498732830136	0.000276225608114879	0.00356244887290434	0	0.00958770689838983	0.0133495276675375	0.00613329229947837	0.00488233500050997	0.0100203666568269	0.00590778312995371	0.00927463832434069	0.0126262262809376	0.0131397346974144	0.0108517838736349	0.00930078622088413	0.00527992788436966	0.00429804847326247	0.0168213318620886	0.00709794637344505	0.0104053100890755	0.00704467836270388	0.00991006853680797	0.00819930226343456	0.00920367162046791	0.00910096315870998	0.000573623025787445	0.0133001363475564	0.0078220685661794	0.00586172505766674	0.0108876645590895	0.00290328179810957	0.0056909872486086	0.00921905670609117	0.00565083353643044	0.00450942749256999	0.00257528434024917	0.00533178410106457	0.00355925690525779	0.00392979783874711	0.00532891574304306	0.00308785711791099	0.00234985286017746	0.00317296544960284	0.0188654077280554	0.00549990196646754	0.00435152761949444	0.0121522964610575	0.0156959613465021	0.00561409735955298	0.00629858909346651	0.0119202310022323	0.012193417476672	0.00297095057167992	0.00134725006698519	0.00229236473675172	0.0110476668527539	0.0051623577253432	0.00206174258758223	0.00141355113450065	0.00452274850025424	0.0112793921533946	0.00200292980632782	0.00945049290510645	0.00410048826473401	0.00953071526936639	0.015369384403127	0.00318166022833611	0.0033406391562569	0.0178235928868147
A549_G1_1E_1	0.00833568691834282	0.00514807387651882	0.00749274187815785	0.00552127727250668	0.00487633566703037	0.00829046331363609	0.00538857017446709	0.00934993854619467	0.0077491218642742	0.00958770689838983	0	0.0229215147031166	0.00754970162469764	0.0143655883518966	0.0184512304851556	0.00686770301463172	0.00198721742115883	0.0221994161797462	0.00355663693601356	0.0049633702131761	0.0186740196927634	0.00582209036667506	0.00826977192304248	0.00733826530608827	0.0165300791879943	0.0187631108254193	0.0164146859748219	0.00627786950214411	0.015450384370002	0.013953606701266	0.00121226048348318	0.00963890638886159	0.00384022982951702	0.00178216499544337	0.00805273262530678	0.00325987399587457	0.00709346109538426	0.0152774684350899	0.000395631103679371	0.0104360799276166	0.0126517454232095	0.00704111190394762	0.00586908995953621	0.0121896871986823	0.0059503206743572	0.00474305759467788	0.012111357563966	0.011920865292847	0.0116768562718346	0.0284486062614026	0.0150330614377371	0.0138171717039541	0.00273836915564697	0.00712855827982906	0.0146588175046577	0.0156525951357479	0.00375143500305451	0.0216654456992505	0.00718626108949713	0.00909530402733818	0.0083865948348889	0.0017574549034764	0.0104323997320464	0.00795904321287653	0.0104344750925444	0.00835978328451649	0.00186879665602025	0.00781241811935181	0.00169086099318885	0.0116530116529118	0.00553279696427306	0.0248219273088771	0.00729961250679404	0.0129256004384943	0.0273468519214001
A549_G1_1E_3	0.0312476532766511	0.0275060531283531	0.015802765209048	0.0177984752879098	0.0231826230570788	0.0150144964644632	0.0182746175127406	0.0135786719379264	0.0157364007998641	0.0133495276675375	0.0229215147031166	0	0.018048920063718	0.0085941820744697	0.00779019878567678	0.0182136148235522	0.0225714489456213	0.00197063616040799	0.026461771863136	0.0233115869240265	0.00478626493873054	0.0181852206932787	0.016188551904548	0.0301650643635582	0.00655972387273775	0.00940325208085508	0.00677327321472267	0.0222977994654412	0.0121828301129151	0.0159769830082154	0.0223511168102983	0.0133686764835661	0.026563765812616	0.0211658067890718	0.0169855866777589	0.023836898410593	0.0159277292842692	0.00767124815506089	0.0225585819037983	0.014839244245642	0.0111790688505403	0.0159211341240671	0.0182054381353299	0.0111615341900318	0.0170691167342503	0.0184257039965913	0.0110058688702087	0.0110588870172456	0.0116431110201128	0.00556543814080914	0.00813039904930706	0.00914439759146646	0.0254179865953017	0.0285446183113568	0.00877906013155195	0.00803124593947616	0.0248892808862015	0.00207341683704106	0.0160655914782262	0.0140586729411869	0.0149734965829376	0.0243937176325398	0.0144419950858335	0.0151736794879052	0.0127156295954465	0.0158159989408671	0.0245603000330604	0.0152408607359487	0.0226276328700849	0.0122514129803728	0.021684548290957	0.00285595489424456	0.0161150351276929	0.0100394880874004	0.0046017229491242
A549_G1_1F_1	0.0146893156715322	0.0103723943456501	0.00353442963514201	0.00327764808103667	0.0112798952454863	0.00391349437071741	0.00753546832184747	0.00610139617326813	0.00766747506333002	0.00613329229947837	0.00754970162469764	0.018048920063718	0	0.0104426789052701	0.0160646499339368	0.000728737642559631	0.0060371654291258	0.0168470617795801	0.010623726018645	0.0114138805226403	0.0147630492630409	0.00214947744569972	0.00195245466423409	0.0133482402105798	0.012583126200892	0.0118602586563718	0.0126325486331535	0.00425231021578982	0.00824413145320881	0.00640812691359092	0.00790541605378535	0.00571633022528666	0.0111987565045706	0.00612644428470532	0.00975329676373092	0.0103793776635402	0.00621217671271715	0.010687912561439	0.00717656847642095	0.0108484543520706	0.0106345021159612	0.00466439098423443	0.00205822298217501	0.00969098272137228	0.00599359982189174	0.00650233418643279	0.00917811173190698	0.00760020512723482	0.0093018048198782	0.0232538712476986	0.00997630497009406	0.00999891142053374	0.0102045216142128	0.0146774303730192	0.0115677581128298	0.0100567407151517	0.0111468567448387	0.0173411673690596	0.00353940976027291	0.00482908296524479	0.00384106566453792	0.00814430595580314	0.0104892474568045	0.00422173715309138	0.00584251254938464	0.00890904671616631	0.00938381095848191	0.00444826524534546	0.00852263578624395	0.0101132651156276	0.0109267789300579	0.0204640506371881	0.00316829628470619	0.00851838413910071	0.0226489370973584
A549_G1_1F_2	0.0226999131550846	0.0190861495930098	0.00756125964817006	0.0094558877270833	0.0147195848856454	0.00683838150136156	0.00971028969023884	0.00508232592539988	0.00720219068421767	0.00488233500050997	0.0143655883518966	0.0085941820744697	0.0104426789052701	0	0.00596412855087578	0.010406927101688	0.0141533259168384	0.00814701190929745	0.0178923695955222	0.0148534771288774	0.00442998518527519	0.0100453397331003	0.00849032636510516	0.0216562069834438	0.00221943510044211	0.00859045876189095	0.00220487974827657	0.0145303474243617	0.00831807734691938	0.0110493561976315	0.013762935691917	0.00502472092495046	0.0179752296993362	0.0126274672175466	0.00874280518222774	0.0152688345220603	0.00733529825063962	0.00146571968687157	0.01401030437867	0.0070287659633624	0.00337458388880357	0.00744413925560591	0.0100844805872277	0.0028536473044055	0.00847874152659217	0.00983225981791959	0.00248794764604905	0.00284713235164054	0.00324733162630066	0.0141542664151381	0.0022962008802587	0.00055051193583354	0.0168302028392494	0.0200116984851247	0.00173599401052906	0.00359379395397899	0.0163207006398326	0.00732044859039392	0.0077821941275509	0.0058370180789039	0.00683931038530491	0.0158868714578105	0.00653325782004331	0.00686199523002659	0.00462114639687819	0.00745418869227845	0.0159760528251835	0.00686311630283078	0.0140347422453851	0.00422724056390507	0.0132930878925731	0.0104935864957134	0.00791738347065353	0.00195631611123954	0.0129844723727516
A549_G1_1F_3	0.026583709945311	0.0235104383114484	0.0128142052272847	0.0144285755429559	0.0173253205044169	0.0122220976429883	0.0131556913363885	0.010119405567243	0.0107030247144445	0.0100203666568269	0.0184512304851556	0.00779019878567678	0.0160646499339368	0.00596412855087578	0	0.0159088180437166	0.0187375935390308	0.00874250360699413	0.0217569787753349	0.0174334488830547	0.00380249006836125	0.0152694054393851	0.0141391030553021	0.0257437799781355	0.0045366622443999	0.0131297632670897	0.00424871329115723	0.0199261551357007	0.0139195298649335	0.0169518291997744	0.0175801886416953	0.0103689822529205	0.0216156722655004	0.0168871180276494	0.0110285489369875	0.0184318798751946	0.0115287637796948	0.00658159784757289	0.0181548996376214	0.00854126809490362	0.00585356781670722	0.012275597017431	0.0153277483245878	0.00654965401207577	0.012607715467024	0.0137104634266724	0.00693291273518494	0.00859668760924982	0.00702644420390668	0.0126032925923914	0.00769989739053872	0.00625963193586683	0.0205255414663065	0.0227823809715066	0.00452035729125204	0.00873557999077778	0.0194495427679562	0.00572396047075211	0.0129622249916151	0.0112538668172406	0.0122660806723962	0.0201428532991475	0.0083271710645523	0.0120735279563646	0.0102663359176397	0.0102366064995778	0.0197582633487223	0.0119669842003439	0.0176681452452594	0.00680330488758306	0.0156986024784114	0.00794348349139429	0.0131992678203393	0.00786994910565495	0.0106497052833002
A549_G1_1G_1	0.0141669375953569	0.00989752743997573	0.00318339396624784	0.0026135070243426	0.0105511930230903	0.00368892524293595	0.00686642888154387	0.0058446784622799	0.00713885451742972	0.00590778312995371	0.00686770301463172	0.0182136148235522	0.000728737642559631	0.010406927101688	0.0159088180437166	0	0.00542252393287498	0.0170751873646441	0.0100067987431051	0.0106851907545261	0.0147772309752743	0.00144348050522419	0.00202689628888082	0.0128481901331852	0.0125803138860529	0.0123407158922034	0.0126085879467526	0.00413543075139007	0.00878637175025442	0.00710854634196629	0.00719150437870065	0.00554117337997753	0.0105552184498418	0.00541177561267565	0.00915842072105309	0.00966061940068902	0.00568703028451799	0.0107511159992237	0.00649010610320862	0.0103622254668038	0.0103689909967146	0.0041900172753067	0.00134942918064195	0.00945995678722357	0.0053814041291866	0.00581778420941158	0.00898744106612454	0.00756085059649213	0.0090473362221595	0.0234825729794257	0.0101014823896946	0.00994106743574851	0.00954348429970642	0.0139912115775061	0.0114421699144652	0.0102727230605409	0.0104380568374157	0.0174276707057759	0.00313040887551095	0.00465904347139741	0.00364360243209249	0.00753431621260032	0.0100244139578177	0.00390864527459931	0.00578594794232006	0.00837053267743628	0.00871279409442538	0.00409496816444298	0.00780539901689157	0.00978680993026798	0.0102062300507267	0.0205705388159326	0.00279875369146942	0.00851557324862524	0.0228081705445162
A549_G1_1G_2	0.00889647935378701	0.00493939116845701	0.00680525906265765	0.00478448111475463	0.00681125088327292	0.00761012988030504	0.00618359217482072	0.00907163335309044	0.00817909919287496	0.00927463832434069	0.00198721742115883	0.0225714489456213	0.0060371654291258	0.0141533259168384	0.0187375935390308	0.00542252393287498	0	0.0216930153469043	0.00458723066963742	0.00690668764469766	0.0185546334090839	0.00467639688980958	0.00710908534181836	0.00767450306363972	0.0163628576113515	0.0176665497060464	0.016290433705792	0.00429110216987426	0.0141914559169133	0.0123564824319044	0.00299962876766148	0.00920705698917546	0.00518605255664341	0.00211405087791551	0.00900440149515223	0.00524707318933371	0.00720973112058501	0.0149036262262233	0.00178468226949795	0.0111934929674538	0.0128849975899689	0.00671105741440554	0.00469540660133176	0.0122788562542903	0.00615098929343419	0.00526746231549243	0.012083288610394	0.0115158827755756	0.0117751780571537	0.0280331944736764	0.0145197322239804	0.0136170641172285	0.0042635592342722	0.00884111204982859	0.0146780487722179	0.0149903012621237	0.00569341163683536	0.0214667471853598	0.00652596425040688	0.00852825894267893	0.00767461409035787	0.00211189163316644	0.0110983928680495	0.00740206348137498	0.00988158110111637	0.0090219061843705	0.00352846563058594	0.00733420174208319	0.0035935051974977	0.0119673592462353	0.00728922212718333	0.0246420844832305	0.00653085936275525	0.0125361253753169	0.0270820596521772
A549_G1_1G_3	0.0304829128658389	0.0266022382167337	0.0148889855136914	0.0169107256553978	0.02286511495977	0.0140854238445836	0.01782650226714	0.0128746883421716	0.015342931318576	0.0126262262809376	0.0221994161797462	0.00197063616040799	0.0168470617795801	0.00814701190929745	0.00874250360699413	0.0170751873646441	0.0216930153469043	0	0.0257545777157533	0.0229991681727062	0.0051987671202909	0.0171819128557183	0.0150520359600947	0.0293443504914486	0.00641618255564671	0.00750205433631949	0.00670840362378452	0.0210940339744049	0.0104720702650601	0.0142915896757604	0.0217196575605878	0.0125651033700533	0.0259234045030684	0.0204243143599283	0.0168261081659582	0.0233661164194305	0.0153563662668222	0.00697844276561691	0.0218248304755262	0.0148602050758037	0.0111155999591642	0.0151596618955881	0.0171929924204158	0.010912196284635	0.0164755339631765	0.0178612817392757	0.0106323374235596	0.0102822052613913	0.0113560226640057	0.0064094823654803	0.00718145321801927	0.00867982230917009	0.02477563829734	0.02813345478674	0.00871866651663935	0.00680328810809158	0.0244149383371739	0.00344487625196214	0.0151692308910855	0.0131742462859153	0.0140265352698638	0.0235923146735482	0.0144186909515026	0.0143099395283608	0.0118193433732194	0.0155766419752156	0.0239039196946776	0.0144156140616296	0.0220443001910936	0.0121434800005436	0.0214332179642062	0.0047850260355111	0.0151734147844118	0.00928711864864106	0.00608246214350849
