	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1D_1	A549_G1_1E_1	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_2	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_1	A549_G2_2D_2	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2G_1	A549_G2_2H_1	A549_G2_2H_2	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_1	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_2	A549Root2_1	A549Root2_2
A549_G1_1A_1	0	0.00804562451562983	0.00227392088666668	0.00497906244575858	0.0105260541957544	0.00272054393393802	0.00320968409794348	0.00419702552958539	0.00560386359060332	0.021144903015586	0.00578410647424052	0.0402293744166367	0.0148886095183611	0.00241507220049891	0.00754629407747694	0.014889479626459	0.0109149034135862	0.0101061378619608	0.0112389929178437	0.037693197273175	0.00417008808063627	0.00456329690004039	0.0152110741051809	0.00936102316557383	0.00358480702353751	0.0420562859616584	0.00873372090873375	0.00158474782645231	0.00714595580823137	0.0296324122294209	0.00721871090814255	0.0105069515356006	0.00331672143236254	0.0116508827175935	0.00990275615659867	0.00322249283447776	0.0127452273614979	0.00991816074935646	0.013863236781821	0.010480420182817	0.00201046717803502	0.00528013147220829	0.0104145489662498	0.00633156669952038	0.00891526145850636	0.0136741719483496	0.0345667114792829	0.0229579848938782	0.0222521746160421	0.0141943613698562	0.00866744718145837	0.00897133111584843	0.0057991420309082	0.010182650812868	0.00645223134106741	0.0110672921910989	0.0123661499252472	0.00782573276570035	0.00769542672179738	0.00601343929932665	0.00269370804505017	0.0116105188513909	0.0250577368475088	0.0105977128709198	0.00922624720642286	0.011689895451089	0.0072610930183903	0.018519763302203	0.0206435904039677	0.00277109274570371	0.0053634138664591
A549_G1_1A_2	0.00804562451562983	0	0.00597255731207414	0.0129826092748379	0.0166810429555195	0.00750665266898083	0.0048974952694553	0.00399791870838914	0.0076499661284981	0.0290840623351461	0.00293991930793082	0.047932291601771	0.0217639906092049	0.00574262589960411	0.000505880954730788	0.0122190150305951	0.0100872048955428	0.00274608103838025	0.0188439141306423	0.0447709511797833	0.0119178676108014	0.00922887051962441	0.00716775465758841	0.0172586031458524	0.011629465700024	0.0500827558851924	0.0131706226928135	0.0095738601297111	0.0129393049284732	0.035305209186071	0.0151332899326385	0.0185032845884993	0.00479796553600713	0.0189608347536181	0.00468449040429241	0.00486851647526172	0.0163325170598243	0.00385794272749158	0.0215818095771665	0.0181807327056338	0.00828831148448602	0.00780520358093952	0.0170014094237829	0.0135479510128094	0.00087030317797164	0.0213739133421334	0.0420042844310105	0.0309178198391953	0.0302747448094239	0.0222388462547028	0.0163045817093814	0.00156879869434469	0.00750353323670988	0.018215020905802	0.0144777104991418	0.0179149416984678	0.0200801620458938	0.0112495319069834	0.00643730679156209	0.00902376021465833	0.00991972379928704	0.00795186456583768	0.0328168854022553	0.0163045152438581	0.0171894185114098	0.0197346266852611	0.0146189450998751	0.025890136158588	0.0285554555927186	0.0108016002451092	0.00420341770910762
A549_G1_1B_1	0.00227392088666668	0.00597255731207414	0	0.0072230026903189	0.0125129722012947	0.00207908151843312	0.00109182592504163	0.00254723274754696	0.00589998207149866	0.0233881081529286	0.00352363193921151	0.0424994480381556	0.0170666690779339	0.0014317604058726	0.00546680491714405	0.0130767524179279	0.0108670485677677	0.00827221703756129	0.0135076994293454	0.0399302559332919	0.00643572104147965	0.00576394929796927	0.0131227243019734	0.0112867140993962	0.00575508244120195	0.0442305869161062	0.0101823652385623	0.00366110226688659	0.00895230039246514	0.0316262471766775	0.00948413527038108	0.0127376612394666	0.00175132395194221	0.0138878843838907	0.00765212996666617	0.00162262921593799	0.0140771101720619	0.00838202144355636	0.016136918127625	0.012753426205176	0.0035244228415243	0.00570444793870676	0.0125041614237019	0.00851654333657325	0.0068394491682561	0.0159477924410249	0.0368339471164404	0.0251925892588343	0.0243241719250925	0.0163399089862705	0.0103749520310872	0.00676517702282976	0.00599961507584943	0.0123806360755164	0.00867121759500705	0.0132194849397668	0.0146398208168286	0.00889586835672179	0.00719655498193602	0.00675629817061065	0.00399753299460909	0.0108023295680912	0.0273277587904052	0.0124697320848705	0.0114750440360029	0.0138439638515592	0.00948456421091211	0.0207759383710948	0.0225859477089724	0.00500898871014475	0.00312617645489896
A549_G1_1B_2	0.00497906244575858	0.0129826092748379	0.0072230026903189	0	0.00769288713393251	0.00678069807753545	0.00818853258673138	0.00903567341456854	0.00841560568119633	0.0161685226545445	0.0107464844907946	0.0353192516520839	0.0108137787548716	0.00725016953082794	0.0124893141026714	0.0187122125680259	0.0133515149018606	0.0148615020354388	0.00657395104025662	0.0331183221197785	0.00159159678749829	0.00619542152218695	0.0201287897331423	0.00524830005952536	0.00160961130256987	0.0371123856154943	0.00820677851455489	0.00362567918869741	0.00582154224075541	0.0260785017230881	0.00231426008530504	0.00552971357514784	0.00819268907588789	0.0073039558280159	0.0147106691887688	0.00811639045286658	0.0119417145239579	0.0144088869102386	0.00902818922742121	0.00573516482940809	0.00505882719216957	0.00800005882496782	0.00708615281064541	0.00320058722332688	0.0138484894077027	0.00885722452636353	0.0297948541239183	0.0179798593471445	0.0174700646261824	0.00932156517250098	0.00539255829100761	0.0139497145164579	0.00869632806192399	0.00524312930470908	0.00151167997505662	0.0073264258161873	0.00755809113862523	0.0085367188679389	0.011179900820772	0.00794967631449734	0.00440637731878165	0.0151592473317857	0.0201411051370425	0.00825167094763998	0.00425222599477455	0.00682054182071903	0.00346656142895937	0.0138972132545578	0.0161228175177206	0.00221410541898177	0.0101997080009591
A549_G1_1B_3	0.0105260541957544	0.0166810429555195	0.0125129722012947	0.00769288713393251	0	0.0131601944869188	0.0130293547821476	0.0129634473507214	0.00931720141280609	0.0150374001081065	0.0155469657455976	0.0321137142246797	0.0053347761898994	0.0116702023681348	0.0162912734721638	0.0254081356114738	0.0115589923182231	0.017477908195763	0.0052708468589865	0.0281761357814367	0.00701553481586167	0.00745342276200492	0.0230767210103337	0.0111088358413356	0.00891200425470708	0.0360857498747051	0.00436964237528556	0.0100788931627564	0.00374469952815248	0.0191217891694488	0.00652315717549731	0.00792756789723666	0.0124476094944246	0.00413505794243498	0.0199526967894913	0.0124489735960412	0.00570244703355802	0.0162858336489315	0.00747008243113006	0.0054938518742334	0.00901412879274644	0.00904617417217028	0.0011740363204037	0.0045987648656578	0.0174218512465984	0.00722977602112212	0.0257455578451742	0.0168766425561193	0.018812015900542	0.0114656141296389	0.0121705279006683	0.0180796252720448	0.00954805387416949	0.00848915322448252	0.00769076114301304	0.00219970102542526	0.00646391149953384	0.0063721218086764	0.0118093454532198	0.00798869849051489	0.0115253789955909	0.0148615629607391	0.0175313023353739	0.00110036386373086	0.0070974328320899	0.00985578443573337	0.00427254903076734	0.00994633462394872	0.0187747129549117	0.00881831325955688	0.0155754218797471
A549_G1_1C_1	0.00272054393393802	0.00750665266898083	0.00207908151843312	0.00678069807753545	0.0131601944869188	0	0.00300114417025607	0.00456894255726787	0.0077502671671128	0.0227029161413998	0.00468340494520108	0.0420043357988146	0.0172918247733628	0.00342989897352637	0.00701043868182222	0.0122645729974891	0.0128643171531023	0.010019153194746	0.0133306626000692	0.0398765645044302	0.00645158155184767	0.00716497996527733	0.0144946829873627	0.0100248639765808	0.00517838407254016	0.0432545651808826	0.0114350472895368	0.00325102273607796	0.00985717418467534	0.0322233678023284	0.00909314677009979	0.0120809515043764	0.0038222267787357	0.0139221759009623	0.00804943242028072	0.00369350238338352	0.0154314316878283	0.0103133533423238	0.0158029950807054	0.0125086869514076	0.0046515724850887	0.00750205241870603	0.0129680845121716	0.00880236964712255	0.00834097171410044	0.015635320580259	0.0365671756875099	0.0244592956159782	0.0231649546801398	0.0153813223329622	0.00888961899861707	0.00798207917052786	0.00788516256503688	0.0116133581618144	0.00806586732052935	0.0135378170206836	0.0143380505713155	0.0104129144307991	0.00925646719922959	0.00843115038931048	0.00265300995721723	0.012879637684035	0.0268404681671284	0.0132834787483998	0.0109254202787974	0.0129343290266614	0.00963030218835553	0.0206587236104803	0.0212352864861761	0.00470854390435736	0.00373168381626267
A549_G1_1C_2	0.00320968409794348	0.0048974952694553	0.00109182592504163	0.00818853258673138	0.0130293547821476	0.00300114417025607	0	0.00158346099379149	0.0056424666016351	0.0243519505233504	0.00262908731603029	0.0433961659670761	0.0177444733690733	0.00138245952509315	0.00439250850626894	0.0128854327165792	0.0103180379358395	0.00718234129033724	0.0143496848329526	0.0406778536579202	0.00729018874673952	0.00595161137983665	0.0120583439008925	0.0123672969687872	0.00676763305000243	0.045250248229916	0.0103759189346646	0.00468993584843044	0.00937806264182372	0.0320994954552298	0.0104148844456901	0.0137163794636855	0.0010115402445988	0.0146550051931852	0.00695093430634763	0.000906127559450461	0.0141611417841196	0.00733572112561615	0.0170173606201477	0.0136208048612084	0.00403393061048629	0.00551908299875399	0.0131065693476044	0.00923856036348374	0.00576648627646051	0.016822315798914	0.0376605377096373	0.0261664941042114	0.0253831794432312	0.0173725647562657	0.011466680843659	0.00576174684671683	0.00569145760808905	0.0133848038247655	0.00965943894745432	0.0138795517151294	0.0155159110979293	0.00891061180452807	0.0065251961553232	0.0066729971329016	0.00508842844645513	0.00995487517002789	0.0282330106884686	0.0129013528434231	0.0124335760737987	0.0148720981938246	0.0102466137704573	0.0215721511300527	0.0236680695467125	0.00598000651904474	0.00258303372819795
A549_G1_1D_1	0.00419702552958539	0.00399791870838914	0.00254723274754696	0.00903567341456854	0.0129634473507214	0.00456894255726787	0.00158346099379149	0	0.00467015940006963	0.0250954268844879	0.0027613353970344	0.0439485947510578	0.0179120756482292	0.00179594325543089	0.00352731963407993	0.0137122826793473	0.00892419811503475	0.00591004868658438	0.0148549316894535	0.0409166828958547	0.00792439986076334	0.00558030926628922	0.0110991266251965	0.0135497130701208	0.00775678004768161	0.0461353801023926	0.00986436774302043	0.00577527768632161	0.00923086457041023	0.031872270704046	0.0111497112768574	0.0145384227717158	0.000887110428488126	0.0150096750747901	0.00711943279681828	0.000996242482134923	0.0134493208193042	0.00585526976291346	0.0175869931734284	0.0141848722356607	0.00429975359043813	0.00465024970781739	0.013181754650645	0.00958158429810712	0.00484832488648463	0.017380090296441	0.0380626150124366	0.026933268923787	0.0264294436229434	0.0183357907759841	0.0127713244643071	0.00519604326434848	0.00465060017670133	0.0142781221597597	0.0105411554306844	0.014045702158056	0.0160847916456633	0.00818377747411462	0.00506036658057978	0.00588476697840508	0.0064602724725743	0.00837804031167831	0.0288236186593702	0.0127029645473793	0.0132137111923217	0.0158298659999874	0.0106432648219977	0.0219453761935876	0.024838401529893	0.00688949011382234	0.00339065774325361
A549_G1_1E_1	0.00560386359060332	0.0076499661284981	0.00589998207149866	0.00841560568119633	0.00931720141280609	0.0077502671671128	0.0056424666016351	0.00467015940006963	0	0.0231309911701326	0.00741027988698035	0.0412375877409197	0.0145924393578686	0.00447976157722407	0.00733978270062464	0.0183743193630438	0.00532933100828693	0.00816280999836345	0.0125390925364567	0.0374813839217218	0.00686131532899971	0.00237359431773905	0.0137608847035687	0.0136357067090194	0.00787037734920088	0.0443959985071919	0.0055276889979174	0.0067575905507087	0.00569481998373328	0.0276619294130064	0.00985088756969284	0.0132215746375672	0.00466937034668127	0.0122696465801849	0.0116495742949334	0.00475254471729046	0.00882987369269068	0.00701789860911506	0.0153210503175041	0.0120826418109356	0.0038657294194937	0.000416059804013012	0.00984321819668547	0.00730978521515829	0.00829754663914475	0.0150885903479304	0.0350096632720217	0.0250066472072723	0.0254777069418465	0.0173061260835937	0.0134529857629042	0.00916503868769398	0.000288663909005611	0.0132210655628663	0.00980446605281168	0.0108771588781203	0.0138855450894325	0.00361954687093031	0.00286390367912284	0.00138131204686058	0.00825152717374761	0.00676209858042351	0.0263468622773053	0.00879549518072019	0.0118573992648882	0.0149019982156028	0.00837735960551652	0.0190154643157964	0.0244208221993227	0.00696728297790618	0.00801404190497741
A549_G1_1E_3	0.021144903015586	0.0290840623351461	0.0233881081529286	0.0161685226545445	0.0150374001081065	0.0227029161413998	0.0243519505233504	0.0250954268844879	0.0231309911701326	0	0.026910365271455	0.0194534213837859	0.0105559002205488	0.0233464465807333	0.0286002995915042	0.0334605700508663	0.0264824977750447	0.0307280175935792	0.010598186737343	0.0192993139337666	0.0171732862981614	0.020799170570584	0.0361665032952216	0.0133561710329714	0.0176597132339029	0.0212771987870673	0.0192865641675399	0.0197545738060404	0.0177227557738833	0.0189510988060119	0.0139562821988982	0.0106584781454646	0.0242900032910614	0.0111004681467827	0.0307474773455718	0.0242247214510568	0.0201942972319419	0.0299773028730613	0.00783611077184422	0.0110740106574214	0.020865133501557	0.022754780276913	0.0140224115481924	0.0158750399699433	0.0299407464431856	0.0080749676461299	0.0149335018452065	0.00187719460694201	0.00600445222659944	0.00769808771555216	0.0150530589211002	0.0301086178144607	0.0234110177658527	0.0110910029785668	0.0147263323953896	0.0128928748885878	0.00924686611900886	0.0210846486588349	0.0259533710496159	0.0220594473646432	0.0200794149669843	0.0295025490818589	0.00474245478808999	0.0160685863480676	0.0119199960990807	0.00988753442403576	0.0147860096360855	0.00651801620949576	0.00837219430230685	0.0183817843226006	0.0263042242658254
