	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00688034142033308	0.0113830919404789	0.0169153341736587	0.00885986303910046	0.0120725051569901	0.00582403321851498	0.0155335331331054	0.00681657686244217	0.0131650836575041	0.0130241049262802	0.0185105423228491	0.015953731671819	0.0136367812809386	0.0146637806131039	0.0185088354232927	0.0347822605781983	0.0321592371532792	0.0471082406886398	0.049113549884035	0.017486533956149	0.0297350022027196	0.0116146527557433	0.00728889866630113	0.0151824954758078	0.00826072429674797	0.00483668246088186	0.0122893927373768	0.0143492677372373	0.00833436792683902	0.0147475839872712	0.0115490050069075	0.0162198112159327	0.0244131715519311	0.0149761512175918	0.017330604610835	0.0299825561900031	0.0194339933613632	0.0289866667504708	0.022631251759978	0.0177282486973248	0.0524877970344741	0.0389735352571336	0.0131450678608996	0.0114116384532732	0.00763160883082243	0.00621011718289972	0.0141950514321324	0.00285039691089195	0.0120661804191845	0.0175607112673854	0.00948228741947237	0.0168014881872723	0.0165873265246445	0.0206823683846562	0.0217411894253513	0.014048086650925	0.0206337682757498	0.0230044407703429	0.00900014373421192	0.0197940255215401	0.0186499892335927	0.0195186089625197	0.0410120832205309	0.0447816547600495	0.0188161689420039	0.0168167468531548	0.0201303922221372	0.0148357248559564	0.00290066331587475	0.0102075953500745	0.0113625167397349	0.00701459427243513	0.015314798292712	0.0174209612895899	0.0112035271209505	0.0333727476936339	0.0272000763124069	0.0118121651341343	0.0264845816990152	0.0310129512428206	0.010829912271406	0.0778877481798129	0.104196453315846	0.0332324878103203	0.0139812403373476	0.00750014329712646	0.00814649193053697
A549_G1_1A_2	0.00688034142033308	0	0.00774742101535637	0.0212219861204132	0.00386396957105679	0.0101288056365782	0.0107505231393281	0.0104903274893251	0.00636691411703857	0.0116958872595568	0.0101650954339977	0.0139192555111803	0.0174902350969109	0.0113285988480836	0.0104496535468978	0.0181328640823974	0.0337510501474168	0.0284194739887203	0.0471335084580734	0.0485008443766505	0.0167618768878726	0.0278591462503624	0.0126863876171071	0.0049711352026865	0.00975182854898697	0.00503933247010083	0.00260223036642776	0.00562695062303796	0.0106674848387959	0.00673731750286034	0.00836926966630379	0.00590107061632384	0.0142570657086124	0.0206910940206582	0.0104485736345307	0.0172713887996291	0.026696202656154	0.0154893543792286	0.0271777367857739	0.0202645941816649	0.0149172159099079	0.0519596838288736	0.0379807425996347	0.012987052499558	0.00676138088601641	0.00636317343596691	0.00228604738468771	0.0103991724368589	0.00462616470690509	0.00946351959658833	0.0126276816582597	0.00868699756837382	0.0118786454101358	0.0104256148916618	0.0184358438485303	0.0209241105994323	0.0106472093159846	0.019036934550216	0.0211415896537409	0.00887113213775045	0.0182845610046567	0.0160564158437553	0.016667678215381	0.040205396231342	0.0451340452160691	0.0168200481522881	0.0141637910755003	0.0197832448931166	0.0101757791645773	0.00553747543181318	0.00531932318188921	0.00491309466807875	0.00469799292873863	0.0112158323734588	0.0127669076531532	0.00577402869145585	0.0318197464357302	0.0234425828719814	0.0115066519697823	0.0238614731422374	0.0277224599872615	0.0107688003884221	0.0787632287553409	0.105216956641345	0.0324327361988055	0.0168357019699894	0.00328283556427369	0.00297170412449488
A549_G1_1A_3	0.0113830919404789	0.00774742101535637	0	0.019754889757487	0.00676317604625084	0.00457003902301783	0.015783838728001	0.0153063670878372	0.0121082309799021	0.0192028753006788	0.0169842324148955	0.0196404486842779	0.0244932451513213	0.018137785289116	0.0165779850896194	0.0254481572616038	0.0405666860030644	0.0335298525789786	0.0403591014016132	0.041636480855528	0.0236722995250866	0.0342540714367638	0.0198484818883003	0.0114645387707438	0.0150832119027388	0.0103655324459623	0.00929956186359736	0.00697906514445249	0.00419911579302113	0.0137129515557838	0.0113168245182335	0.0105579034685507	0.0213711896184871	0.0263224561010942	0.015266661021795	0.0246012555008961	0.0326852782313681	0.0219303656395803	0.0339317691081004	0.0267265862342661	0.0207513763194153	0.0450148618131744	0.0308605329821819	0.0202883842571252	0.0130485380993684	0.0132137952717979	0.00658378505928227	0.0166996949146087	0.00867522187458881	0.0168411421749308	0.0184525168962874	0.0156081732541788	0.0170856194855967	0.0138995636063247	0.0251592712384406	0.0281421395612007	0.0159505215671585	0.0256582069670852	0.0276631459149808	0.0162821753102197	0.0255057288238541	0.0228083501536287	0.0224794015541698	0.0333824694672442	0.0386028275887875	0.0238245297518248	0.0205356517702551	0.0267355628890968	0.0163182251336733	0.011172053265792	0.0121404672940602	0.00904006893864737	0.00497318903151107	0.0177517412653467	0.0183683853166276	0.0107660125498173	0.0385351769352418	0.0291248639876443	0.0188476704712907	0.0299873710225803	0.0339218035793806	0.0174282055004056	0.0726311801372133	0.0991081212193002	0.0256887769129327	0.0235401811799183	0.00750855556095983	0.00638037254601456
A549_G1_1B_1	0.0169153341736587	0.0212219861204132	0.019754889757487	0	0.0228427798475673	0.0165263967358396	0.019641306517954	0.0314672249927763	0.0233272425906086	0.0295577707188744	0.0297879148981811	0.0347654008466102	0.0314399772097077	0.0304228883646495	0.0310726496654738	0.0346963320991183	0.0510138286886546	0.0489308706402716	0.0357560019970266	0.0384107966271554	0.0338866428931958	0.0463754959990026	0.0277708334940027	0.0236054769632708	0.0307558836277055	0.0241321932292557	0.0198729690444231	0.0246922331337609	0.0212040811584819	0.0249920298133563	0.0291169767102439	0.0268045299805475	0.0328903713500739	0.0411383691324206	0.0307425832864407	0.0334822326752023	0.0466870009680368	0.0356430928502746	0.0454964635775714	0.0394232106193336	0.0345828195276095	0.0416149245644681	0.0305481860372228	0.0294581107015402	0.0275429605621798	0.0244620742358326	0.0195144500855578	0.0307040698464135	0.0172956648555123	0.0285378542942609	0.0333124203540083	0.0263777102814812	0.0329210306776801	0.0313057389243994	0.0374147253892361	0.0379642181966185	0.0304232186991093	0.0374162714732817	0.039792796471411	0.025182768411493	0.0362038404794872	0.0353821037692058	0.036269640614125	0.0313187001985127	0.0326321752169497	0.0354662824422012	0.0333718304657463	0.0365104856967576	0.0309733670207535	0.0187676189839698	0.0259100609974136	0.025796267285197	0.018968541373848	0.0316246881046458	0.0336032366866379	0.0266003057079822	0.0497608038563265	0.0438565532533307	0.0282012622724624	0.0432720089639765	0.0474667094911375	0.0276023631785036	0.0634169680764522	0.0894954573113076	0.0246612552805579	0.0286532676451191	0.0213564274863047	0.0219719948506912
A549_G1_1B_2	0.00885986303910046	0.00386396957105679	0.00676317604625084	0.0228427798475673	0	0.010513103897198	0.0118038401665617	0.00967944684118882	0.00658092184743469	0.0130076007116117	0.0105492774508321	0.013738573800885	0.0185117543214371	0.0118288212503786	0.0102720858183794	0.018976048704538	0.0339497079834346	0.0275655639722389	0.0469919032563793	0.04831578560371	0.0170084451897932	0.0276109232387928	0.0137518502506876	0.00523059360610497	0.00990794822949524	0.00460629140551001	0.00563928559195788	0.0054032073636978	0.00979338568385861	0.00741909583442564	0.00708569123076132	0.00491107165310048	0.0149340742706936	0.0201807672978022	0.0100805529581573	0.0182668987128742	0.0264902634664842	0.016009887966957	0.0275088550512719	0.0203192469289018	0.0142862713693694	0.0517134630427138	0.0375861907273911	0.0139412607640784	0.00699108829624157	0.00725143183281446	0.00464839148948529	0.010230573171708	0.00663591692997738	0.0106918322562104	0.012860882707555	0.00938788031953263	0.0111704508846715	0.00970366032763987	0.0186057656203967	0.0215882146728858	0.0100143310525139	0.0190318487118558	0.021055104769508	0.0110096628836642	0.0190559252474983	0.0163521056280271	0.0163086344638175	0.0400245704053733	0.0451456121085361	0.0173678472311861	0.0139054816772662	0.0201617106308094	0.0103244519666381	0.00810249304625144	0.00625347889988345	0.00398925805083158	0.00462991806243812	0.0117639786209071	0.0127121224949628	0.00515181888902229	0.0319140004118134	0.0230377223932343	0.0129768469470421	0.0234600037383002	0.0277733659875712	0.0110412350689206	0.0790477849261675	0.105582688599479	0.0323925971756891	0.0179984200761384	0.00472861584670457	0.00243421163961937
A549_G1_1B_3	0.0120725051569901	0.0101288056365782	0.00457003902301783	0.0165263967358396	0.010513103897198	0	0.0171958070480435	0.0188332436032531	0.0145767820913345	0.0217576012769113	0.0200210016357353	0.0231021927244056	0.0265674092311205	0.0209931683653641	0.0200114321224178	0.0281035627469735	0.0436532194899005	0.0372956389052242	0.0370688072172117	0.0386199647237088	0.0267222032078765	0.0377138137959579	0.0221558138712175	0.0144161070809092	0.0182190331126307	0.0132869417861379	0.0110775491376762	0.0101260641795062	0.00498030365290852	0.0165264031649044	0.0150288443827191	0.0140629257558173	0.0242533362456859	0.0299132181022252	0.0183406581487294	0.0270627724888907	0.0361587631401106	0.0250514884845019	0.036951104543118	0.029894790750709	0.0241991132807281	0.0419768191917259	0.0279750062664945	0.0228865774561563	0.0161848479613873	0.0157319422679504	0.00832573632658512	0.0201267450274775	0.00971830630212591	0.019538797983076	0.0217684531589374	0.018210834646949	0.0207550226899214	0.0173067632098039	0.0283652541895231	0.0309723927784626	0.0191533248256795	0.028832570283888	0.0309297490319766	0.01803385625871	0.0283333634815845	0.0259458331079238	0.025710692239866	0.0304600111006683	0.0352181603712139	0.0267772920408273	0.0240207307549976	0.0295656120348567	0.0196298569352856	0.0120388331511943	0.015181397659364	0.0126382767795577	0.00708009953323901	0.0208182147617142	0.0216153031846398	0.0140964860119393	0.0417965742337416	0.032716981413213	0.0209895622598229	0.0335568908643034	0.0373180102409952	0.0201740782782452	0.0691518888950868	0.095446173459797	0.0224847281881124	0.0252591188337951	0.00951695914183896	0.00942817877467895
A549_G1_1C_1	0.00582403321851498	0.0107505231393281	0.015783838728001	0.019641306517954	0.0118038401665617	0.0171958070480435	0	0.0170289917293795	0.00852232943061509	0.0123167577590449	0.013117578281192	0.0188759381480256	0.0136891014161956	0.0137158484621868	0.0150415898211193	0.0162139770673943	0.0322224980981179	0.0312554049456721	0.0513347330397412	0.053257130279737	0.014810884984929	0.0273654890319836	0.00916189962793793	0.00823351235243214	0.0171381951434865	0.0108370689439426	0.00851723713838877	0.0161899036293498	0.0192262239788995	0.00828031844758664	0.017324226862172	0.0140229173353201	0.0152650316800088	0.0238105854221713	0.017034791693738	0.0153608621109246	0.0288416853774845	0.0194129681575378	0.0273488474486038	0.021589519308629	0.0172077977151609	0.0566865111816625	0.0434106396584618	0.010938434259921	0.0131299839938258	0.00878962949665624	0.011017299834345	0.0142039644631918	0.00788779114306822	0.0121857794481979	0.0181602919878478	0.00938468115995209	0.0174951314487568	0.0190637871327824	0.0192372756722014	0.0193896588149766	0.0152002097114128	0.0189138626086963	0.0212599732302144	0.00996044248615804	0.0181601061873218	0.0177427014151429	0.0193928335369124	0.0451299811602163	0.0487938853320802	0.0176394689614719	0.0153120639415759	0.0177999903651304	0.0156224577809403	0.0076840257355644	0.0117770652885925	0.0141507804161513	0.0116798715876669	0.0159675112713083	0.0185025212670354	0.0137653370230358	0.0308563972607509	0.0263862236182019	0.0115476581173513	0.0247247650662384	0.0297029098582417	0.00937942088826834	0.0814296084019012	0.107985117030725	0.0376838808094582	0.0113371470596737	0.0120829739524294	0.0120890202745851
A549_G1_1C_2	0.0155335331331054	0.0104903274893251	0.0153063670878372	0.0314672249927763	0.00967944684118882	0.0188332436032531	0.0170289917293795	0	0.00974077107744004	0.00973946960666499	0.00584877695658646	0.00544988514724187	0.0157542299921098	0.00663195567248528	0.00411733488007836	0.014214984723173	0.0264962952251461	0.01851621872211	0.0551774608778002	0.0563866902387393	0.0128180824271754	0.0201028732420704	0.012785207408639	0.00922991643603522	0.00289437096743084	0.00785061217516125	0.0120646717957891	0.00948424874050639	0.0167352290865213	0.00898969336499057	0.00503559758834022	0.00493764287293568	0.00922342185672209	0.0112649000511875	0.00305161109204667	0.013799473225481	0.0176791843939531	0.00840850184060855	0.019489622743758	0.012260901466036	0.00690410380792311	0.0597003863889745	0.0453973228751643	0.0117295026932505	0.00434781682011121	0.00868608609028782	0.0121168152724255	0.00504092656195465	0.0143338642753834	0.00759065922669447	0.006289683471523	0.00871461115301434	0.00317736299019445	0.00399996764245169	0.0114915040057818	0.0158058484996606	0.00409221565381215	0.0122915258810955	0.0137235821247158	0.0106411287589228	0.0129273333325875	0.00923568767515403	0.00804586623993563	0.0481877409040763	0.0536664905771265	0.0107333316690753	0.00884333084625717	0.0147586864874804	0.00412733363077961	0.0135382219290596	0.00694741927462129	0.00671492455819682	0.0132440142189115	0.00500719345976148	0.00360806154825101	0.00497454786991674	0.024381619920379	0.0141986164164085	0.0104008231535034	0.0155619713968584	0.0193423046688988	0.00995381239943442	0.0876919256569841	0.11388808291247	0.0405012103856584	0.017129223866257	0.0105010308180626	0.00996612816436459
A549_G1_1C_3	0.00681657686244217	0.00636691411703857	0.0121082309799021	0.0233272425906086	0.00658092184743469	0.0145767820913345	0.00852232943061509	0.00974077107744004	0	0.00948125322800391	0.00765378931716681	0.0132340318416025	0.0125492895757001	0.00806456456115885	0.00942029351224468	0.0145250959755198	0.0299152414928986	0.0260571674820669	0.0509152931384295	0.0528631625530382	0.0132184422100541	0.0244920105700752	0.00864810051997207	0.0040647638047154	0.0102440096483751	0.00290409206730328	0.0061949620270188	0.0103103648343944	0.0145280693392691	0.00464836151573536	0.0104121469621305	0.00681525343848582	0.0114009984936197	0.0185403381727531	0.0090594523700638	0.0133357030577081	0.0244196440665749	0.0147114948398752	0.0238273496449571	0.0169912528451953	0.0114683002012073	0.0561357164271897	0.042114588918813	0.00974177298298894	0.00632727738176005	0.00246658589284691	0.00692182489293258	0.00903992740838267	0.00679096520611385	0.00799480558214634	0.0131402053536982	0.00435657087832884	0.0113440727709621	0.0117730983838646	0.0155071165324127	0.0175052821677556	0.00751536756664517	0.0152218364316924	0.0175386114513082	0.00619721109553889	0.0153668338985372	0.0134330312999492	0.0132271037758685	0.0447274767947566	0.0489990825537181	0.0138714337332133	0.0119734826536514	0.0154338059028993	0.00997211397192275	0.00547253684793623	0.0069214360725435	0.0079513598277028	0.00758954607866285	0.0103843288820065	0.0118450117572335	0.00634035832596365	0.0284833174863082	0.0215463598434765	0.00783484821549575	0.0209590736436239	0.0259232813022408	0.00596946492300278	0.0827565788314258	0.10892518856145	0.0368294592696592	0.0117670122480603	0.00605062607178037	0.00624037548355577
A549_G1_1D_1	0.0131650836575041	0.0116958872595568	0.0192028753006788	0.0295577707188744	0.0130076007116117	0.0217576012769113	0.0123167577590449	0.00973946960666499	0.00948125322800391	0	0.00414962189895557	0.00859867990506711	0.00870242122302565	0.00444558322911712	0.00637040505302198	0.00671749931715869	0.0225780426207492	0.0205407340605998	0.0586888972907691	0.06008331636223	0.00637133833010518	0.017390185595132	0.00498464382780455	0.00848529999358621	0.00925102395005563	0.0102170788186805	0.0111447511143878	0.0146750689420484	0.0218272484386212	0.00625419726058255	0.0127639710410987	0.010515901975579	0.0036993650584017	0.0128576890631614	0.0102051953285909	0.00629466066509718	0.0174145555379893	0.00774398264310264	0.0164298824105413	0.0105720026719494	0.00816673605704715	0.0635793254772003	0.0496579375885092	0.00320510925087859	0.00746628918091357	0.00712186078730605	0.0134856754204448	0.00571703062889844	0.0135410491961951	0.00267479095531131	0.00838622556749655	0.0053554377107645	0.00898177394225998	0.0126142602944437	0.00812544463018808	0.00941135405365746	0.00878841133530666	0.00889630632169416	0.0109551257704997	0.00567810615102544	0.00689968214880433	0.00625982139301318	0.00965743345723705	0.0517614658579233	0.0565796378780156	0.00613561079973123	0.00613296496176395	0.0090785991006809	0.00675069512610133	0.0116920536825814	0.00759205131324426	0.0116138457610188	0.0155593778121047	0.00571851311763536	0.00875063522865678	0.010172976895954	0.0207714375152493	0.0151318082166833	0.00406973905899852	0.0142237517547808	0.0181216800714043	0.00553488891193589	0.0898612007955891	0.116284232637444	0.0440400196646762	0.010051709902512	0.0129420919852612	0.0131697347495221
