	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_2	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_1	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_1	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.004160217955285	0.0032755655613288	0.0034734946788782	0.0026559158174167	0.00311117863562648	0.00546280346484625	0.0073364217741239	0.00580514966670562	0.00239325532251991	0.000521807823202366	4.47078132319559e-05	0.00318652456492982	0.00345661917515383	6.56637885560875e-06	0.00411269394325981	0.00475834493885637	0.000398902845953528	0.00343913190860597	0.0083556379314584	0.00605847713328273	0.0106887466648105	0.00932696230092515	0.00344698777810202	0.00935830954554925	0.00327796759875937	0.00701279261208387	0.00377974610631751	0.00304062157391068	0.00700591837113661	0.00360441425599351	0.00425651961295191	0.00261981497963115	0.00199283127707682	0.00448635480325649	0.000723811211960494	0.00317771995590049	0.00116158746598861	0.00645952593060427	0.00524944293945574	0.00144435629371405	0.00081164811433215	0.00582360056777139	0.00737677592935522	0.00797526533797917	0.00685677503944722	0.000434978035020093	0.00313071971625617	0.00798329128377638	0.000897112640812187	0.00032624012265094	0.00187255037180149	0.00984697296167127	0.0146349710718591	0.000692268494096273	0.00232689349602459	0.0052212701054757	0.0104740961695183	0.00471024327448853	0.00362509962475872	0.00261691624935385	0.00675857694763701	0.00128719444325276	0.00358877268497336	0.00018417071510039	0.00134844119729391	0.00615404839957184	0.00317182794826635	0.00048773458431508	0.00449612073781813	0.000713372876155579	0.00542935918342887	0.00381365997350883	0.00224889557124702	0.00752395517934212	0.00161741276075437	0.00863215339516889	0.00419134747080106	0.00477549418954226	0.000349984006694347	0.0064979347260986	0.00271977511292601	0.0020136875756482	0.00659905353842461	0.00127242245924891	0.0142800513507852	0.00618707069911748
A549_G1_1A_2	0.004160217955285	0	0.000884657209722531	0.000686727241340816	0.00150430877446385	0.00104904474296662	0.00130259735653963	0.00317624267356852	0.00164494761403718	0.00655344733063226	0.00363841328027525	0.00420492545569887	0.000973698546491072	0.00761679361065164	0.00415365162164153	0.00827285568791024	0.00059813171939121	0.00455911778776726	0.00759930666307633	0.00419547847808841	0.0102185929659236	0.014848703761534	0.00516682483152546	0.000713234263583855	0.00519817283872031	0.000882255162739367	0.011172881416651	0.000380474239779966	0.00720080332573161	0.0028457336502764	0.00776458595561124	0.00841667838721926	0.00154040967892424	0.00615302894015804	0.00864650869038516	0.00488402331111285	0.00733789935920987	0.00532179518437624	0.0106196307657051	0.00940957936262984	0.0027158681710834	0.00334857434888774	0.00166339874481201	0.0115368536452036	0.0121353238858896	0.00269658790256182	0.00372524260716049	0.00729089993161055	0.0121433495667551	0.00505732308123732	0.0038339799065484	0.00603274963057733	0.00568684857196989	0.0104750102820359	0.00346795344272531	0.0018333315435349	0.00106106137193764	0.0146340621576614	0.00887039223489264	0.000535121555357236	0.00154330841437252	0.0109186732415379	0.00287302964824731	0.000571448679531402	0.0043443873441995	0.00281178304942024	0.0103141616589821	0.00733200745376923	0.0046479487835914	0.000335905294856334	0.00344684915717161	0.001269152699932	0.00797382767735167	0.00191132952168805	0.0116840282892213	0.00577761524678072	0.0127921895679609	3.11297299600534e-05	0.000615281123363235	0.00381023615958931	0.0106580384804976	0.0068799621199172	0.00617388495717936	0.0107591544246813	0.00543262896834268	0.0184398377203931	0.00202687363438509
A549_G1_1A_3	0.0032755655613288	0.000884657209722531	0	0.000197930016711297	0.000619651894810766	0.000164387594102223	0.00218725355492722	0.00406089529760812	0.00252960334627129	0.00566880322446613	0.00275375961283003	0.00332027317975026	8.90413674344373e-05	0.00673215447199451	0.00326899921045508	0.00738822000720301	0.00148278861442383	0.00367446649640052	0.00671466743634358	0.00508012810388524	0.00933396929996382	0.0139641192066518	0.00605147090666382	0.000171422989662009	0.00608281878799102	2.40204773400301e-06	0.0102882646023173	0.000504183037816607	0.00631616214980282	0.00373038708688753	0.0068799475697844	0.0075320435046104	0.000655752826850204	0.00526838316803029	0.00776187511299486	0.00399937300030797	0.00645325884137583	0.00443714631185049	0.00973500990237799	0.00852495038196572	0.0018312127209321	0.00246392005680497	0.00254805444957573	0.0106522396099831	0.0112507146190655	0.00358124168029384	0.00284058913838249	0.00640625918668429	0.0112587403655653	0.0041726733237262	0.00294932669395656	0.00514810337989734	0.00657149246757467	0.0113596249284355	0.00258329940076456	0.000948674949530624	0.00194571784900231	0.0137494754637992	0.00798575996424359	0.000349535720727762	0.000658651564644509	0.0100340545404916	0.00198837445944034	0.000313208593850959	0.00345973544540451	0.00192712775670701	0.00942953865079521	0.0064473669073868	0.00376329775296729	0.00122056235927448	0.00256219507028523	0.0021538089394446	0.00708919038337212	0.0010266730066497	0.0107994154037296	0.00489296801451341	0.0119075858190594	0.000915786932163407	0.00149993800575456	0.00292558289036137	0.00977341789141988	0.00599531945515347	0.00528923926903839	0.0098745345625142	0.00454798048126337	0.0175552936222208	0.00291152874805841
A549_G1_1B_1	0.0034734946788782	0.000686727241340816	0.000197930016711297	0	0.000817581871255595	0.000362317606394662	0.0019893238836135	0.00386296652808387	0.00233167379791515	0.00586673061801449	0.00295168898689467	0.00351820227331423	0.000286971381883333	0.00693008081204653	0.00346692833151494	0.00758614560927991	0.00128485874888839	0.00387239538895037	0.00691259379513579	0.00488220006066525	0.00953189231981605	0.0141620337278573	0.00585354371072059	2.65070275032301e-05	0.00588489162191384	0.000195527969294933	0.0104861861411533	0.000306253033511196	0.00651408892301902	0.0035324581175405	0.00707787374943083	0.00772996893595404	0.00085368279921331	0.00546631091253561	0.00795980026484427	0.0041973016912058	0.00665118547480687	0.00463507470476493	0.00993293231701063	0.00872287454687433	0.00202914244364548	0.00266184955482671	0.00235012490836848	0.0108501605468349	0.0114486345216117	0.00338331262650293	0.00303851847270639	0.00660418586835622	0.0114566602538616	0.00437060190025104	0.00314725597688685	0.00534603122492756	0.00637356578760293	0.0111617050531798	0.00278122884933242	0.00114660488009226	0.00174778810224354	0.0139473904518963	0.00818368483590429	0.000151605707935708	0.000856581536553596	0.0102319764876152	0.00218630413219912	0.000115278580194842	0.00365766446220157	0.00212505744935228	0.00962746152868952	0.00664529354688742	0.0039612265920436	0.0010226324417006	0.00276012452772168	0.00195587925714934	0.00728711633012283	0.00122460292373344	0.0109973360913434	0.00509089606526352	0.0121055045227982	0.00071785696771853	0.00130200814402142	0.00312351218467383	0.00997134024678019	0.00619324654400677	0.00548716699587951	0.0100724567607425	0.0047459087939714	0.0177531992870657	0.00271359935890079
A549_G1_1B_2	0.0026559158174167	0.00150430877446385	0.000619651894810766	0.000817581871255595	0	0.000455264318991236	0.00280690392507047	0.00468054246494436	0.0031492532621595	0.00504915839265007	0.00213410917162474	0.00270062350181256	0.000530610539108063	0.00611251272291261	0.00264934945696295	0.00676858043546272	0.00210243973541561	0.00305481737588528	0.00609502563207461	0.00569977279082273	0.00871433741801351	0.0133445129932048	0.006671112744156	0.00079107485059717	0.00670246052560427	0.000622053942133539	0.00966863716362642	0.00112383479212683	0.00569651912893833	0.00435003494670009	0.006260306292866	0.00691240443821228	3.61009378561473e-05	0.00464873731870725	0.00714223687511239	0.00337972444543795	0.00583361623029049	0.00381749860106265	0.00911537983394855	0.00790531507915773	0.00121156137533645	0.00184426928623629	0.00316770433934034	0.0100326139821435	0.0106310921080301	0.00420088983473137	0.00222093880385742	0.00578661643409753	0.0106391178974949	0.0035530250917404	0.00232967649837967	0.00452845724024749	0.007191132584407	0.0119792427718265	0.00196364876086961	0.000329023132152055	0.00256536850444732	0.0131298678321446	0.0073661225581437	0.00096918753152822	3.89996769360579e-05	0.00941442587506517	0.00136872323821959	0.000932860416065994	0.00284008597961576	0.00130747648556687	0.00880990719394242	0.00582772427851194	0.00314364878196352	0.00184021369678615	0.0019425444066999	0.00277345935081794	0.00646954979317065	0.000407021215335435	0.0101797905263069	0.00427332128254265	0.0112879669280582	0.00153543847815532	0.00211958911140896	0.00230593266395482	0.00915378800076201	0.00537567551114558	0.00466959347078301	0.00925490514328647	0.00392833299905164	0.016935714408051	0.00353117808813176
A549_G1_1B_3	0.00311117863562648	0.00104904474296662	0.000164387594102223	0.000362317606394662	0.000455264318991236	0	0.00235164081027645	0.00422528175937571	0.00269399049136576	0.00550441767354237	0.00258937248654006	0.0031558862729229	7.53462273968136e-05	0.00656776977072047	0.00310461228203737	0.00722383590319024	0.00164717604793421	0.00351007974804498	0.00655028271991735	0.00524451393812823	0.00916958729420793	0.0137997441490141	0.00621585601404494	0.000335810580191227	0.0062472038698277	0.000166789641877654	0.0101238838038719	0.000668570610022341	0.00615177709869034	0.00389477372247042	0.00671556299819109	0.00736765953897463	0.000491365253656335	0.00510399733518257	0.00759749137403626	0.00383498641173674	0.00628887390307307	0.00427275996030666	0.00957062838973215	0.00836056744447889	0.00166682532712401	0.00229953283446984	0.00271244158827589	0.0104878593028263	0.0110863351566708	0.00374562838956817	0.00267620204300384	0.00624187420943889	0.0110943609148098	0.00400828682600574	0.0027849396387026	0.00498371746645404	0.00673587713405766	0.0115240038292555	0.00241891221663437	0.000784287404057782	0.00211010517280616	0.0135851000235034	0.00782137645264261	0.000513923303223897	0.000494263991555185	0.00986967340900226	0.00182398710328882	0.000477596178378442	0.00329534859901886	0.00176274038547305	0.00926515676067456	0.00628298196419405	0.00359891104692021	0.00138494984229732	0.00239780787928483	0.0023181962047141	0.0069248060002321	0.000862285470492766	0.0106350353000524	0.00472858193627349	0.0117432073366774	0.00108017446135932	0.0016643254356877	0.00276119582620311	0.00960903642707871	0.00583093414953683	0.00512485345037908	0.00971015322626783	0.00438359419369312	0.0173909258345891	0.00307591575183411
A549_G1_1C_1	0.00546280346484625	0.00130259735653963	0.00218725355492722	0.0019893238836135	0.00280690392507047	0.00235164081027645	0	0.00187364843810755	0.000342350552411607	0.00785601790141852	0.00494100126145053	0.0055075107403787	0.00227629474457052	0.00891935565182402	0.00545623716404786	0.00957541188768081	0.000704465857683691	0.00586170121788188	0.00890186885388911	0.00289288749213292	0.0115211292514238	0.0161511771698774	0.00386423796327185	0.00201583086848214	0.00389558611996335	0.00218485151179098	0.0124754065232833	0.00168307126160066	0.00850336884205367	0.00154313859605782	0.00906714671938958	0.00971923324748256	0.00284300474764194	0.00745560242167065	0.00994906136616952	0.00618660492601061	0.00864046374986251	0.00662437418110623	0.0119221624662946	0.010712124398058	0.00401845983180975	0.00465116358113173	0.000360801702675845	0.0128393742439795	0.0134378367798308	0.00139399251664393	0.00502783019658943	0.00859346471034464	0.0134458623549072	0.00635990368333543	0.00513656699439929	0.00733532395417819	0.00438426431853547	0.00917246362397434	0.0047705421702356	0.003135925897377	0.000241536118648786	0.0159365389605955	0.0101729427307215	0.0018377183977192	0.0028459034764578	0.0122212014166542	0.00417562074449569	0.00187404547604	0.00564697191415921	0.00411437436870781	0.011616696866763	0.00863457189320264	0.00595053172826721	0.000966692231477218	0.00474943797496991	3.34446796521371e-05	0.00927638659429928	0.00321392367011587	0.012986547026976	0.00708019130731466	0.0140946935868459	0.00127146764474531	0.000687316454383713	0.00511282335802871	0.0119605697333883	0.00818253019515599	0.0074764582911524	0.0120616844917295	0.00673520727081475	0.0197422474596185	0.000724277046966944
A549_G1_1C_2	0.0073364217741239	0.00317624267356852	0.00406089529760812	0.00386296652808387	0.00468054246494436	0.00422528175937571	0.00187364843810755	0	0.00153129828162345	0.00972960899014506	0.0068146243759464	0.00738112861911163	0.0041499360624376	0.0107929319248253	0.00732985553630922	0.01144897818729	0.00257811292511075	0.00773531558055306	0.010775445384053	0.00101924128609084	0.0133946622473949	0.0180246086418499	0.00199059535287817	0.00388947339559881	0.00202194364956034	0.00405849326576895	0.0143489211549965	0.00355671518540914	0.0103769511099817	0.000330510227667251	0.0109407208010457	0.0115927972759622	0.00471664308317696	0.00932919865623114	0.0118226217021027	0.00806021589933355	0.0105140440702984	0.00849798033979457	0.0137956879072028	0.0125856719169296	0.00589209044907842	0.00652478918953527	0.00151284714779834	0.0147128815203216	0.0153113315410397	0.000479656427035465	0.00690145253963263	0.0104670457015412	0.0153193569447371	0.00823351278471548	0.00701018835545687	0.00920892168811993	0.0025106242233925	0.00729886613610029	0.00664416676660079	0.00500956250285217	0.00211518417111891	0.0178099758288833	0.0120464993949102	0.00371136169307013	0.00471954179551452	0.0140947210706358	0.00604925017334222	0.00374768861862063	0.00752058843069582	0.00598800426506743	0.0134902280837295	0.0105081522979023	0.00782414517984038	0.00284033859769827	0.00662306275181706	0.00190709306869531	0.0111499575184033	0.00508755979327527	0.0148600512741368	0.00895379215075241	0.0159681740100045	0.00314511306613139	0.00256096356409496	0.00698644493501154	0.013834094438378	0.01005611691225	0.00935005426353785	0.0139352072489406	0.0086088121654607	0.0216155787611475	0.0011493720201416
A549_G1_1C_3	0.00580514966670562	0.00164494761403718	0.00252960334627129	0.00233167379791515	0.0031492532621595	0.00269399049136576	0.000342350552411607	0.00153129828162345	0	0.00819835963523977	0.00528334823105113	0.00584985687301764	0.00261864447712036	0.00926169490317365	0.00579858337603553	0.00991774945528827	0.00104681630860356	0.00620404678291419	0.0092442081485376	0.00255053795893886	0.0118634611447932	0.0164934914903773	0.00352188929235216	0.00235818076694778	0.00355323748126655	0.00252720130468045	0.0128177352626796	0.00202542134491035	0.00884570910090935	0.0012007882993214	0.00940948560155721	0.0100615704304996	0.00318535405505242	0.00779794501112491	0.0102913979230326	0.0065289499404017	0.00898280368183693	0.00696671840827408	0.0122644930639062	0.0110544587741757	0.00436080797735331	0.00499351094516961	1.84511509054891e-05	0.0131817017162581	0.0137801620917231	0.0010516421663999	0.00537017704358535	0.00893580475494744	0.0137881876371735	0.00670224839230873	0.0054789136849381	0.00767766679219609	0.00404191621710835	0.00883012431948938	0.00511288937457663	0.00347827495056916	0.000583886651796009	0.0162788542218095	0.0105152786639855	0.00218006839887175	0.00318825278145352	0.0125635310200299	0.00451796870610348	0.00221639545699732	0.00598931782736459	0.0044567224027801	0.011959028455254	0.00897691183933015	0.00629287714558923	0.00130904260968708	0.00509178520782689	0.000375795229397307	0.00961872494372431	0.00355627265165788	0.0133288739768406	0.00742253465958924	0.0144370164175771	0.00161381791465843	0.00102966690942384	0.00545517008299533	0.0123029002046418	0.00852487119917976	0.00781880083710514	0.0124040146284401	0.00707755129043266	0.0200845442346851	0.000381926532491175
A549_G1_1D_1	0.00239325532251991	0.00655344733063226	0.00566880322446613	0.00586673061801449	0.00504915839265007	0.00550441767354237	0.00785601790141852	0.00972960899014506	0.00819835963523977	0	0.00291506170229127	0.00234854761008251	0.00557976297912147	0.00106336732983823	0.00239982168642766	0.00171944530707105	0.00715156785961691	0.00199435323087861	0.00104587998878463	0.0107488074899121	0.00366524277505458	0.008295574756086	0.0117201131566476	0.00584022395247426	0.0117514597671593	0.00567120524142797	0.00461956785180232	0.0061729792300316	0.000647368114096094	0.00939911088126217	0.00121116306285042	0.00186327178851678	0.00501305781839183	0.000400424801265539	0.0020931083569984	0.00166944525605655	0.00078446699214532	0.00123166921238453	0.00406629539819335	0.0028562017810337	0.00383760635242078	0.00320490096773278	0.00821681028907885	0.00498355527865115	0.00558205198254269	0.00924996986944972	0.00282823219004561	0.000737466578459181	0.00559007803072483	0.00149614395401288	0.00271949460322858	0.00052070587419447	0.0122401130511098	0.0170279872064756	0.00308552178935405	0.00472013838089201	0.00761448755857018	0.00808092048371575	0.00231699826624455	0.006018334192638	0.00501015910914696	0.00436534946402688	0.00368044526732395	0.00598200758542556	0.0022090849934337	0.00374169172869355	0.00376081492570919	0.000778574962465344	0.00190552161933345	0.00688934657294698	0.00310662609522011	0.00782257404440262	0.00142040977401494	0.0046421409733007	0.00513073626065079	0.000775843750567085	0.00623894881618272	0.00658457652718074	0.00716871691509302	0.00274323841821139	0.00410470457589993	0.00032652063100874	0.000379568470826844	0.00420582440767208	0.00112083421465496	0.0118869552776779	0.0085802754165266
