	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0162629966455181	0.0138059936809983	0.00496959577132271	0.0127265456350618	0.016056173208022	0.0172872427148497	0.0113718086350913	0.0178911385794447	0.0144272865144605	0.02040163138765	0.0171076017857275	0.0122844300796581	0.0249791246340992	0.0415446854665299	0.0455118546452897	0.0471545921761918	0.011354761791545	0.00523940636402024	0.018668008342354	0.00390926170107818	0.00868127325735965	0.010307569658339	0.0101174453586612	0.00515272424578835	0.0141744826040356	0.00880966272738686	0.00759380518836599	0.014651339048203	0.00475165322985249	0.0121615177295362	0.0140845420457957	0.0141367693377444	0.00985599288695214	0.0169224807378157	0.0260554035027717	0.0187641374640385	0.0196172597246277	0.0259211136714817	0.0146748757503597	0.0232285128674355	0.00658235734442257	0.0188764644501021	0.0225076618845431	0.0116368033360476	0.0132187531543887	0.0263084176463162	0.0141607185775131	0.0145517222827662	0.0184394752773167	0.013814303831849	0.0197479778515254	0.0129514096802811	0.0149298062538808	0.0164592070125516	0.0140527318645617	0.0107514008962586	0.0266780508975085	0.0187049553606406	0.020249589703923	0.0190788276008825	0.0233410322760566	0.0208108191845028	0.0425981145090991	0.00806847318728035	0.0106337548106691	0.0174794720816822	0.0109251335627172	0.00842317910804153	0.0136988691377955	0.00839046731673532	0.0109377726735485	0.00757626452555487	0.0057113512610409	0.0172745089688051	0.0120529889687497	0.00709171007982872	0.00358413412275432	0.00838544302856514	0.00613541170337553	0.0139620269167661	0.0117427497937165	0.0119802185929441	0.0181198633040009	0.016121140602467	0.0200411872925134	0.0197787820176982	0.0294901913350061	0.0118471292850033	0.0206620667468541
A549_G1_1A_2	0.0162629966455181	0	0.00359977737310687	0.015874130796281	0.00684489194711533	0.0112645610670359	0.00774191152132666	0.0124689099585396	0.00198897751818886	0.0080663599315753	0.00859611919193648	0.0117854456952294	0.0107998204839515	0.0126862369477992	0.0382831353196814	0.0390393274444632	0.0415197110294206	0.0110204878548207	0.0187232923990457	0.00947723815932896	0.0137985394033472	0.0155425850882482	0.00939957627289073	0.0206932309937444	0.0158148211545925	0.0072962012126791	0.0134759569398898	0.0187739774357748	0.0104242217011435	0.0192361350043669	0.0176139494178413	0.00962893238483917	0.0129829841337146	0.01094782047602	0.00412848950587156	0.0181526141500752	0.0092525837516013	0.00729466334051662	0.0117875527374264	0.00424195152590414	0.00869743336367982	0.0137445737926693	0.00733723726798654	0.0101364551017435	0.00903488905287077	0.00935839629703925	0.0104814647628159	0.0185481049808592	0.0102282249318857	0.00550169563771283	0.00979133603935118	0.00435592002737591	0.0147362452063963	0.00666089256896123	0.0066799847784522	0.00359571815471165	0.00776212614054595	0.0132908938118727	0.00913759359582429	0.004900219134459	0.00783609393860502	0.012505487474701	0.00732298690206331	0.0298572276082198	0.0109901660783195	0.0211758229631714	0.00535367261326446	0.0124339985129381	0.00867905385543264	0.00513568359101114	0.0132962811015072	0.0122907633220802	0.0173393983100651	0.0159518958210354	0.00570976640291564	0.0209298127007738	0.0164739152776454	0.0141511212182756	0.0153657379241774	0.0104109967589396	0.00443690637612867	0.0153529838377141	0.0109658272898742	0.00429870228808402	0.0215116233355527	0.0205393468804578	0.00476212445521596	0.0224533080123406	0.0107232554950215	0.0137243524065288
A549_G1_1A_3	0.0138059936809983	0.00359977737310687	0	0.0143588844065198	0.0041697499544891	0.0104588721489887	0.00624047247882767	0.00900140461096109	0.00542030740813855	0.00574626285417763	0.00790341471827455	0.00920507699425062	0.00730702361136578	0.0128328977838105	0.0360825966166413	0.0375638179904082	0.039803688704331	0.0105100937903634	0.0156222923725373	0.00955640069455757	0.0116235233368601	0.0141976095291523	0.0073658956636295	0.0175048524307332	0.0127696668640846	0.00743744414903719	0.0116614016138715	0.0159628614478538	0.00945063254253237	0.0166558849836609	0.0146265338393776	0.0105218380929418	0.010898773728485	0.00794534824447542	0.0065750775948439	0.0169689235407889	0.0115663506546689	0.0104729565653594	0.0124781965454867	0.00212126220571507	0.0104298754128782	0.0121083906300362	0.00752745309353879	0.00985481841920277	0.00839508804118837	0.00609643440368927	0.0130818872103529	0.0154390288906654	0.00969465857614326	0.00692623482242245	0.00689053877226561	0.00789342580899986	0.0119367231348285	0.00450559058119613	0.00842652749639508	0.00504309512736239	0.00465165185439982	0.0164522597550678	0.00869005884327011	0.00652042083591089	0.00689216552490787	0.0122453873006836	0.00881828026625748	0.0301411342101897	0.00793698031006502	0.0178053364341779	0.00447307202950282	0.0101354247793887	0.00633844083399544	0.00247261750824428	0.0108821623432581	0.00903910037205348	0.0147611412540108	0.0141605735824291	0.00463357892158526	0.0182056821832588	0.013621769859436	0.0117648429593761	0.0129992270376487	0.00841041825908685	0.0048462233294074	0.0119475272333445	0.00961062467634202	0.00489997905078124	0.0182103520285514	0.0181276364913437	0.00685148475450935	0.0211712633942209	0.0075429578567996	0.0120217711404627
A549_G1_1B_1	0.00496959577132271	0.015874130796281	0.0143588844065198	0	0.0143118713134418	0.0172711311286036	0.0188300162171337	0.014448587624535	0.0172995828184018	0.0163515056926594	0.02186186348849	0.0196732533701267	0.0150084239115836	0.0263741824075633	0.0455754568878357	0.049023572618826	0.0508028410767688	0.0105304660669649	0.0101050877165003	0.0194219910525581	0.005717426530429	0.00893218080404803	0.0110991153922124	0.0148773275898858	0.00949745672640583	0.0140584469114496	0.0103105129869166	0.0115819163780197	0.0158509609651596	0.00802990207863035	0.0158285397272529	0.0115645594166241	0.0163530901292747	0.0125743112522142	0.0161021511712217	0.0285770655937785	0.0168379825365256	0.0176807671467934	0.0267164755718981	0.0152241742850477	0.0233019678568402	0.00714543885441508	0.0192754576840638	0.0239311595084842	0.0108143679624108	0.0154871110708199	0.0259776902540484	0.0177343276828021	0.0153493295595473	0.0183246558435372	0.0159909901450551	0.0186827200884693	0.0161606576056416	0.0161610070400369	0.015313702510621	0.0129071244505141	0.0124318008831325	0.0248551579003855	0.0197300119655743	0.0204811598211202	0.0205109579429494	0.0250330464615071	0.0208700073323399	0.0443050823801327	0.0105796974753885	0.0153230511163551	0.0185393634765129	0.0134873609984364	0.00947379863947084	0.0146809659293586	0.0111385521063717	0.0143052060628845	0.010887738693664	0.00645449820930425	0.0184491866635053	0.0158474054811843	0.0109510112499486	0.00629415043037812	0.011409016594176	0.00606452116073056	0.0137506362000659	0.0154779081210277	0.0132612039298048	0.0184931044987986	0.0205132850980705	0.023701495199949	0.0198071108534201	0.0320320402713477	0.0147088783624973	0.0232034775263729
A549_G1_1B_2	0.0127265456350618	0.00684489194711533	0.0041697499544891	0.0143118713134418	0	0.00757103205275777	0.00525173561920872	0.00788564725969034	0.00809363725690117	0.00271383266929836	0.00806294625138301	0.00765622136692361	0.00674813500680046	0.0124236325587695	0.034146424373037	0.0360163081346481	0.0384793822814934	0.0104897751741912	0.0137699757836585	0.00923218546839909	0.0104221953678318	0.0125839620375694	0.0079932890742287	0.0144385753205325	0.0107686815510253	0.00710660211474039	0.00904695589884264	0.0132747385157521	0.00638217492162971	0.0150698438468405	0.011910164103291	0.012629514864905	0.00800975704651041	0.00492404509565457	0.00823387957006071	0.0151144558494114	0.0131778627489343	0.0125168053406797	0.014360096950682	0.00582422818335207	0.0124221557455554	0.0106156250583199	0.00982673748112907	0.0102675576554767	0.00978843652763393	0.00514967055647932	0.014909101243464	0.0135287156842778	0.00710389564551717	0.0089317232030732	0.00566600802347819	0.0104100607559653	0.00880383062757199	0.00479160917069599	0.00912859860155886	0.0075423208189735	0.00310932927997773	0.0187741720776305	0.00794541526349727	0.00870287880683732	0.00719479541808115	0.0109616744191815	0.0105718925961892	0.0306465338356434	0.00629553182484105	0.0154351021257381	0.00531853120791725	0.00628457107720385	0.00520266570724639	0.00413430086614162	0.00761836143591975	0.00572060090197072	0.0121210964624014	0.0124441148266978	0.00499982474578823	0.0148433447541466	0.010980849313712	0.0101373335781662	0.00971972313811275	0.00867739910413461	0.00532825467755801	0.0100076119474512	0.00641940724680153	0.00698160628888422	0.0153761618060069	0.014283710275374	0.00821194593432547	0.0199764563601637	0.00424503140870954	0.00964213632467818
A549_G1_1B_3	0.016056173208022	0.0112645610670359	0.0104588721489887	0.0172711311286036	0.00757103205275777	0	0.00805052901098646	0.0128190572269277	0.0114376269053065	0.00843173274284733	0.0117452583005052	0.0106064700854113	0.0136735461759834	0.0127839700230898	0.034959723125823	0.0365178169107267	0.0395383448837534	0.014583971928989	0.0169657461694624	0.013454298431606	0.0140965448282515	0.0147641588902874	0.014659328362394	0.0159937958781599	0.0136613680027195	0.0106514118348982	0.00813973732569145	0.0139230326869761	0.00186160458720276	0.0168352319775223	0.012209378494447	0.0169487313522425	0.00572803714020268	0.00810282598181065	0.0112756316343736	0.0141702067164561	0.0157766192712853	0.0139194119443956	0.0180439594732	0.0124667717019522	0.0166011462702181	0.0133006988934419	0.016071315404403	0.0138958986901712	0.0154881578161251	0.0104081894572063	0.0169114468743635	0.0149869767681793	0.007086580317144	0.0139202500675894	0.0094530241014042	0.0127000837110554	0.00873841749063702	0.00885359682806504	0.00858017437454468	0.0113630610011619	0.00861718152951156	0.0211473307091028	0.0069085264281884	0.0122546063438265	0.0123102617586957	0.0122788114184108	0.0151291849686254	0.0321064339495252	0.0101925730383893	0.0177357760690959	0.0102868571817331	0.00683316226702324	0.00904728811152484	0.0113233871228837	0.00869698884154276	0.00942858443239951	0.0121931541295006	0.0129642424589755	0.0101029604023743	0.0136717070653794	0.0121177931772422	0.012554752776348	0.0101955510715616	0.0132813751460394	0.0089129859992467	0.0133511099641674	0.00534066645735	0.0103614345230235	0.0164965785684123	0.0121981745818878	0.0102361956036487	0.0190913113823605	0.00847281902091223	0.00992374256356682
A549_G1_1C_1	0.0172872427148497	0.00774191152132666	0.00624047247882767	0.0188300162171337	0.00525173561920872	0.00805052901098646	0	0.00940164321724028	0.00838096674806487	0.00545590558653748	0.00456026919334507	0.00500318638614807	0.00907698960247564	0.00783098108085246	0.031169520502208	0.032364387966439	0.0348715065213642	0.015303887234454	0.0176663461257622	0.0112758739457238	0.015463061021598	0.0177167536203178	0.0125092923281138	0.0176619135392093	0.0145072433975028	0.0109484450416211	0.012732912244083	0.0166670588717301	0.00802875936885773	0.018925678652283	0.0132455617222004	0.0163509167682492	0.0082167382413229	0.00818995505474178	0.01011185475263	0.0108359250527943	0.0157913253424003	0.0137804139330513	0.0108863260688207	0.00724046915547127	0.0116876907999427	0.0157526193841391	0.0108575760064834	0.00706660274887673	0.0141408946574606	0.00564564073040793	0.0129995283179611	0.0139337256635862	0.0104882351223477	0.0103194937000152	0.00523624654524008	0.0104087735475534	0.00970299990856033	0.00358195137499547	0.0102706313060422	0.0100661428209491	0.00660361003675276	0.0193953028758439	0.004258554459022	0.00666791616027531	0.00591720666931272	0.00846765980760595	0.0110073678561108	0.026158731673544	0.00967299325679944	0.0180353416929228	0.00393312578252951	0.0100223656581617	0.00943751346388018	0.00701593457246792	0.0118453290196028	0.00852946700064119	0.0154618190148264	0.0167036233579053	0.00404307534671626	0.0174005386784308	0.0143618762614075	0.0145599211374541	0.0139114232383164	0.0131397226610395	0.00848978008780758	0.0113100020496185	0.0100732196202385	0.00473118582755164	0.0160320984141772	0.0139649522709789	0.00670152799051498	0.0153838099256438	0.0067021778991079	0.00621079795096419
A549_G1_1C_2	0.0113718086350913	0.0124689099585396	0.00900140461096109	0.014448587624535	0.00788564725969034	0.0128190572269277	0.00940164321724028	0	0.0142254872441426	0.00907036873103139	0.0121977578229364	0.00686809517315394	0.00480173724927059	0.0165803161356517	0.0317007324739039	0.0352830593736999	0.0366294887095345	0.0153411956263307	0.0100634086154601	0.0159497770580527	0.0114543313185791	0.0159320616009307	0.0106979047756851	0.0113923142703042	0.00768747680809437	0.0141801804568856	0.0113484294665918	0.0109460371342659	0.0121472206638574	0.0123510159502527	0.00795086729959265	0.0170511396610741	0.00900951338208913	0.0055836416643351	0.015220015025223	0.0166243096893851	0.0198294999633261	0.0190230773912443	0.0175108418270996	0.00933908852969475	0.018154943085925	0.013448900911037	0.0144282097132681	0.0143043818335095	0.0137033062807104	0.00384726420604335	0.0210602437132796	0.00738712299582292	0.0142230535805587	0.0152151462152145	0.0046568387874094	0.0166460006360975	0.007156761930061	0.00743019037677383	0.0151997102244742	0.0129347838900236	0.0057870865494403	0.0254056784079251	0.011706035475703	0.0140530169219018	0.0119277554611239	0.0162971169884513	0.0167689315568978	0.0324298837361152	0.004892911034641	0.0100413238094357	0.010710937869775	0.00985371557871753	0.00786181754458132	0.00907510519864446	0.00976435826621816	0.00520706498163816	0.010699087354638	0.0132741712738119	0.0106492279766794	0.0130840320453509	0.00888308098866072	0.00996130044430828	0.0113613315079127	0.00971491258202481	0.0124067162946322	0.00339557168085491	0.0119457960593831	0.0116230439376089	0.0102393148405359	0.0144493276925923	0.0146592872516733	0.0191285821560041	0.00513931489887026	0.0118839709097807
A549_G1_1C_3	0.0178911385794447	0.00198897751818886	0.00542030740813855	0.0172995828184018	0.00809363725690117	0.0114376269053065	0.00838096674806487	0.0142254872441426	0	0.00901855168534787	0.00881887471858059	0.0128683716958865	0.0125518383859964	0.0121943903117159	0.0388801981621087	0.0392086729999267	0.041890349880145	0.011841610953868	0.0204496821348442	0.00942070248782649	0.0152678464415859	0.0164955498034198	0.0109647257306766	0.0221899086778778	0.017480364021729	0.00761586890805177	0.0144852325120329	0.0202174264916768	0.0107436793665025	0.0208219410542648	0.0190084412834165	0.0102643104861963	0.0138680876952884	0.0123730817747191	0.00345411395880095	0.0182321392012263	0.00858407855187346	0.00603135501045537	0.0114892134592611	0.0060522143913425	0.00791023535736368	0.0149010239080578	0.0078507515232695	0.0101068036004677	0.0102326876771472	0.0109318979282325	0.00890399894668012	0.0200734084154715	0.0103892793233212	0.00535841935622579	0.0111993198464077	0.0025108274999334	0.0159384437895258	0.00791836390838845	0.00624510075464857	0.00451937962583879	0.00936581289973904	0.0118337794927818	0.00929249483531247	0.00438178580235994	0.00828190640516337	0.0121373761014144	0.00678623837209318	0.0293323066232769	0.0126520134607766	0.0228615014970507	0.00598662010694293	0.0134116612808521	0.0101874650733226	0.00672734745050132	0.0144699370190279	0.013714439415209	0.0186895967935221	0.0171605503949119	0.00634566223364881	0.0221470897473977	0.0179392859928894	0.0156442048987426	0.0164984203672177	0.0120640675682996	0.00500252556849858	0.0170038569310976	0.0115878196363708	0.00465707106160287	0.02294491758971	0.0212383618113911	0.00358554499242661	0.0227208981179226	0.0121006847184811	0.0141249922414093
A549_G1_1D_1	0.0144272865144605	0.0080663599315753	0.00574626285417763	0.0163515056926594	0.00271383266929836	0.00843173274284733	0.00545590558653748	0.00907036873103139	0.00901855168534787	0	0.00700869868936755	0.00774441414710931	0.00696947775040435	0.011418701627699	0.0326635767268923	0.0342660711560546	0.036923069980178	0.0112200071961943	0.0150133497836027	0.00764988437494237	0.011887966951337	0.01343645478638	0.00866646043847843	0.0149924231952229	0.012303727375909	0.00740497658639094	0.0108338751848508	0.0146346059624659	0.00733024926398816	0.016867725606844	0.0131107320291358	0.013938217147973	0.00937260082386011	0.00658077971314751	0.00896436117650103	0.0140579812275642	0.0137681556089149	0.0135901463328614	0.0136319621223992	0.00686013916691491	0.0115253675182552	0.0118537879212953	0.00915520536676	0.00888029916398576	0.0107117924841817	0.00638257468241338	0.0143588168582318	0.0147042885924163	0.00709077818687546	0.00856760104415959	0.00707718220928609	0.0112655318835998	0.00980689514830381	0.00646179316062192	0.0108854926408279	0.00934742171317254	0.0055580325105987	0.0187788798001684	0.00888547060398914	0.00875619285471531	0.00571176622734949	0.00894501448685353	0.00972353209117952	0.029222244743024	0.00839069114712061	0.0163297717486785	0.00500269185161579	0.00690689044336584	0.00766543731386963	0.00471677008675709	0.00876818865530266	0.00630427194615563	0.0137114036010405	0.0143635241539889	0.00438260066844823	0.015746182720514	0.0124620811388441	0.0120203618948878	0.0106232844136876	0.0107766506064763	0.00660848597659485	0.0110004128592746	0.00743574549001953	0.00788171804065227	0.0156793479824924	0.0135610389538844	0.00845632535070718	0.0195978724638673	0.00503587247880059	0.00853708201245568
