	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00090391121412508	0.0079889483084995	0.00369906234070737	0.0137208323163957	0.0147712522373468	0.0081638380118657	0.017851561495643	0.0013933591881968	0.00506287204085304	0.0107487204002884	0.00382528623216351	0.00213414083531046	0.00263568060906661	0.00970705451091516	0.00640610488466969	0.013102205385861	0.016172301708783	0.0118624159758371	0.0164430930789564	0.00846817924101293	0.012061473908973	0.00139236149169369	0.00804845853652736	0.00906839043020934	0.00890401768652993	0.00383920175973711	0.0140074523612646	0.0216984418825151	0.0109944267181598	0.0180680729222485	0.0293454889314921	0.00302232247578051	0.00818815073135843	0.0144600862001383	0.0201353363233291	0.0144396624687139	0.00887637327650787	0.00127737079412145	0.0260411701239481	0.0108264102133853	0.0188956981139366	0.00561203441720085	0.00300168102473431	0.0132743041018649	0.00333536069169891	0.00371322487119975	0.0196395495970816	0.0293184470378154	0.0182101519583459	0.0185619439121647	0.0415882668658849	0.0149605640811579	0.0487037545162204	0.00487269210309147	0.00911690513413512	0.0294458325841886	0.0034109900405695	0.00643397357869684	0.0191392286627622	0.0256372533945043	0.0161509272821202	0.0166208923032354	0.0218869884379723	0.0101615571679125	0.0101666225043394	0.0048108298616952	0.0175848249339675	0.00133357627183915	0.0134164698040557	0.0334394247751451	0.00785514388473678	0.0122572859890487	0.0233212195252505	0.00617958634673848	0.00993651213063319	0.0180432304501276	0.01490600826923	0.00159887972252851	0.0243495083339129	0.0145696540461436	0.021594201938057	0.0143664039925531	0.0203010204236592	0.0104985745969413	0.00753713301154499
A549_G1_1A_2	0.00090391121412508	0	0.00708995701941707	0.00430474799699499	0.0128191641426845	0.013944536906561	0.00731498074197337	0.0169555081777774	0.00174119546036537	0.00593295497211541	0.00988618275245423	0.00463891238981368	0.00191259577426926	0.0022641485689438	0.00882682339062566	0.00552355243390217	0.0122037607965021	0.0170356054118964	0.0127596439496374	0.0173412941891477	0.0092447838835151	0.0129589603430087	0.000657915657272953	0.00759877790878321	0.00819512938188435	0.00802954903023368	0.00294155712510919	0.0131279148831995	0.0208043105256254	0.0104002466185243	0.0171885566403236	0.0284427604496684	0.00341598742975324	0.00738408990790682	0.0135567167107382	0.0192424544095328	0.0153425620314124	0.00972646636819169	0.00136842004570804	0.0269445282989352	0.0117294174596201	0.0197740103831357	0.00651035800775155	0.00215933918575937	0.0124537447730547	0.00340176090666468	0.00333174845589007	0.0187516533057055	0.0284202580379156	0.0173083376977635	0.0176582131341077	0.0406856766937911	0.0140567462557289	0.0478309291683236	0.00567483485043369	0.00822389531694099	0.0285985790361762	0.00429392737015462	0.00731474287442576	0.0182801596196052	0.0265253923725395	0.0170454401079176	0.017522848678175	0.022764219126835	0.011054278310927	0.0110603739327936	0.00435267257238344	0.0168374060824551	0.00117697975873941	0.012518969883943	0.0325709968739344	0.00709246487075206	0.0113687161423936	0.0225076722163285	0.00532324379364667	0.00904347385977831	0.0171406386867959	0.0157921039847228	0.0024188972377747	0.023465591213026	0.0154720493728515	0.0224958527992788	0.0151624806777845	0.0212045483788614	0.0113976338074615	0.00801725629031412
A549_G1_1A_3	0.0079889483084995	0.00708995701941707	0	0.0108432156532042	0.00574140497749337	0.00754512082646745	0.0034446164349695	0.010223144659489	0.00812409592030761	0.0129899416300359	0.00328549666429141	0.0113565902873042	0.00750314890211931	0.00664358727277796	0.00326412865615704	0.00174845540327573	0.00511407140820083	0.0240414618187103	0.019731207048817	0.0243094999735304	0.0155644004604756	0.0200480386144392	0.00667021950766414	0.00837393153089619	0.0016694842834066	0.00152355464736717	0.00414989518811996	0.00616619618755208	0.013723202646365	0.00884839566273219	0.010196891411244	0.0213758376353203	0.00962039492507991	0.00282710112776659	0.00661806369053639	0.012166325665445	0.0224205742676293	0.0164186876559271	0.00764538945664311	0.0339812148677958	0.0188081756861282	0.0268235430456045	0.0135999334702784	0.00509580965329785	0.00622167674205729	0.00815395377946268	0.00646770517423494	0.0121693854696688	0.0213322682513961	0.0102299905468223	0.0106546647131324	0.0336229978942535	0.00705974326115032	0.040841708277111	0.0125929433049517	0.00120390530935394	0.0218011452951745	0.0113748656996056	0.0143857158914633	0.0114492125413621	0.0335980966886326	0.0239777114249117	0.0245363190680617	0.029808239971574	0.0179964702512893	0.0180104628974424	0.00605836599693625	0.0111540831609691	0.00753404501793567	0.00543044211076651	0.0256180393067719	0.0034351054024881	0.00505942941427724	0.0160290645973915	0.00230444271288149	0.00199739231287212	0.0100714669756323	0.0228644277494587	0.00932108590198041	0.0164305238624927	0.0225532102730836	0.0294996615255957	0.0214204904111005	0.028271084984009	0.0183910765999921	0.0129936281902671
A549_G1_1B_1	0.00369906234070737	0.00430474799699499	0.0108432156532042	0	0.0163830429266882	0.0180741667563025	0.00995415753361739	0.0199474367505903	0.00480906056584611	0.00299452432131271	0.0139039814419972	0.00491578340602422	0.00334321220076982	0.00633191301276376	0.0117366808060843	0.00950212651334518	0.0158616111976809	0.0133238210111336	0.0105210474809776	0.0149091581641471	0.00895489280248102	0.00985117323820279	0.00495153019341196	0.00760500359952676	0.0121757810730476	0.0120054815534552	0.00691245039756619	0.017006077368649	0.0244636791537503	0.0109722330878107	0.0210374382908939	0.0318253280601855	0.00128224989675447	0.011601195614603	0.0168695470019435	0.0229305510939313	0.0124059806656729	0.00860892707608081	0.00490284287701106	0.0240720892921656	0.00893201298433489	0.0161888385680266	0.00404667998530063	0.0063931134681009	0.016606991851893	0.00673582041846688	0.00740340373833258	0.021548982232003	0.0319644466372754	0.0208138887618644	0.0209743534141127	0.0440161519010915	0.0174326517460394	0.0516566421521806	0.00206745700146697	0.0120380418539849	0.0326119449061218	0.00239089559467997	0.00425720487247398	0.0222616041533161	0.0230283104064918	0.0147410024836988	0.0149127882582866	0.0191430383162863	0.00905695214486497	0.00903308751248964	0.0085087337720001	0.0211061790226136	0.00341145367281978	0.0161912936654969	0.0364549002759118	0.0113646211302082	0.0143164495169963	0.0266532306026817	0.00943480421961635	0.0128404701699832	0.0206133175816648	0.0123669875972771	0.00387161758692286	0.0272428074889932	0.0124952246569399	0.0198166772192402	0.0143300045434754	0.0182409022434645	0.00916538107902589	0.00963928374727133
A549_G1_1B_2	0.0137208323163957	0.0128191641426845	0.00574140497749337	0.0163830429266882	0	0.0048827783757674	0.0069576558039797	0.00512898625651639	0.0138490531368192	0.0186849363224629	0.00402335129217128	0.01707166218091	0.0130528249329928	0.0122976440884793	0.00518520162007891	0.00742346631643414	0.000806142733101993	0.029673710787405	0.0254634303604103	0.0300380054940037	0.0211562298973388	0.0257702641787583	0.0124111395081478	0.0121052748708048	0.00507013334414969	0.00519264564832404	0.00988532876678767	0.0022048587783334	0.00808509457799384	0.0109092492400139	0.00501907625156671	0.0156353256007802	0.0151219503704048	0.00683901319067954	0.0015638947836626	0.00656804955121281	0.0281564457101126	0.0220985409573314	0.0133751679037298	0.0397181160927536	0.0245441235738288	0.0324890786067897	0.0193266536770214	0.0108335490465941	0.00473591493072686	0.0136992649720999	0.0119647728350538	0.00719925125574696	0.0156215874617609	0.00449003136701505	0.00499359787868856	0.0278840499358007	0.00159863375254006	0.0353342351701054	0.0182263735956418	0.00469111953350571	0.0167153098528971	0.0170894140843499	0.0200870174299815	0.00667800110454783	0.0392856750967549	0.0296984391854141	0.0302727179827661	0.0354656093816973	0.0237253158612375	0.0237406305430791	0.0113237496279858	0.00881110906089306	0.0131844788409197	0.000712532787423786	0.0202209111769848	0.00758769909805311	0.00348232560525459	0.0116899529275211	0.00784331876597516	0.00390037729868774	0.00433110193411468	0.0285569354450905	0.0150607123857744	0.010927562304139	0.028287585036482	0.0352328633017909	0.0269329202254111	0.0340090381628176	0.024127368488131	0.0182673663913214
A549_G1_1B_3	0.0147712522373468	0.013944536906561	0.00754512082646745	0.0180741667563025	0.0048827783757674	0	0.0102897851483821	0.00906232357840941	0.0144281280714528	0.0198123163342777	0.00426622297604943	0.0174002269062331	0.0148044264527805	0.0126506390976149	0.00890746299626069	0.00859150405421914	0.00445471900945551	0.0309054718683531	0.0257162790858911	0.0301739349671217	0.0207805159961769	0.026569896463157	0.0133790672504649	0.0156052587182954	0.00598052370534435	0.0061502800006488	0.0111623595216473	0.00267799278620358	0.00834667308891665	0.0151373805776805	0.00438409413346227	0.0163830861218037	0.0169236573884992	0.00660205681854888	0.006306696541122	0.00689468492733419	0.0287440164900604	0.0220388328754256	0.0140290804617164	0.039947889282247	0.0251958729102608	0.0335565508290526	0.020219164081743	0.0117855442634125	0.00151102378973105	0.0136066726839894	0.0119404506667502	0.0109890996532022	0.0157918196687854	0.0065178342608457	0.00777884773309878	0.0283062937454661	0.00601136172201494	0.0341713582984304	0.0196183719985788	0.00638457011305968	0.0147206901921177	0.018145968340931	0.0211458633985689	0.00465192630971716	0.0401856210040869	0.0297558397087011	0.0305331093636285	0.0365457426897674	0.0239689754455788	0.0239997765409819	0.0109713146476864	0.00402649454393187	0.0146683306242656	0.00427528915304336	0.018887210728057	0.00705942879379775	0.00810535222091947	0.00858103043005652	0.00864705879654347	0.00573787004906359	0.00660783800061835	0.0295271068125175	0.015761520261892	0.0102866895117628	0.0289008934336064	0.035387142081608	0.0261622218126186	0.0344461399844108	0.0244717506344707	0.0172810173833504
A549_G1_1C_2	0.0081638380118657	0.00731498074197337	0.0034446164349695	0.00995415753361739	0.0069576558039797	0.0102897851483821	0	0.00999436904801155	0.00884743655503724	0.0126146061664491	0.00628835775702858	0.0119519727155202	0.00681291998008119	0.00791975936365692	0.00184087179746555	0.00419591264578305	0.00666847385967856	0.0232369688306144	0.0199232442291169	0.0244771819714035	0.0165191282656469	0.0197245504674878	0.00718301513871579	0.00532705262556993	0.00499539376359746	0.00488193095301841	0.00495177815150628	0.00828277835247979	0.0149085691962081	0.00540441374583398	0.0119495723968921	0.0219499294593715	0.00867283573357889	0.00621485888920335	0.00708609682565408	0.0134511106704899	0.0222317177252747	0.0170373780809659	0.00836219435954608	0.0339096701854745	0.018660896865661	0.0261262257068156	0.0134391109160398	0.006036830235712	0.00917462355528438	0.00960671334845362	0.00820478304151899	0.0116280998471828	0.0222019239411614	0.0111307744191193	0.0111206745180993	0.0341021091283271	0.00769423226904632	0.0421596889239322	0.0119503761875717	0.00419904560072199	0.0236675140727033	0.0111828263320808	0.0140106981286739	0.0134996106266658	0.0329699727774208	0.0242217013666736	0.0245901120718092	0.0290641499949609	0.0182614325204105	0.0182604634644973	0.00823545870717891	0.0141594416629746	0.00720883244760826	0.00699924044762842	0.0271377994945875	0.00672754156021175	0.00437307442839524	0.0183852723510212	0.00484450920288372	0.00462618657963036	0.0108979288406266	0.0223182825141714	0.00973327215520269	0.017830626001456	0.0223379695046595	0.0295521232939737	0.0224477053919573	0.0281018508473881	0.0185468360798418	0.0146689373735776
A549_G1_1C_3	0.017851561495643	0.0169555081777774	0.010223144659489	0.0199474367505903	0.00512898625651639	0.00906232357840941	0.00999436904801155	0	0.0182280080915984	0.0225596485826626	0.00914018439919192	0.0214593973650049	0.016762657514571	0.0168502654156967	0.00823243157112047	0.0119713979191853	0.00593381737600425	0.0332156692273189	0.0297110052696425	0.0342891538907779	0.0257743631759987	0.029684425035663	0.016660005147801	0.0141013968428508	0.00998498001796148	0.0100798106667517	0.0141416284786025	0.0067461804273555	0.00655249808150059	0.0117449920355086	0.00632755138861325	0.0121351503545306	0.0186660320113398	0.0118564471355213	0.00373020928405157	0.00575068592220588	0.0321665890944329	0.0265610394182652	0.0177381322814593	0.0438265353395595	0.0285749827013585	0.0361119944647286	0.0233323376408988	0.0151894279867697	0.0094754144385731	0.0183759050264249	0.0166793740048953	0.00207042860927233	0.0126618037951608	0.00347246246792113	0.00225980000690176	0.0241618230027712	0.0035307773017192	0.0328525980309009	0.0219344375341143	0.0094089971952944	0.0158701369540168	0.0210671921859788	0.0239629912460154	0.00809726915183052	0.0429550482665779	0.0339961903512879	0.034451017990553	0.0390420937393867	0.0280064269100136	0.0280131309453012	0.0161687524972835	0.0123196695533905	0.0170738395170144	0.00579951519138425	0.0184072063879538	0.0126192419182571	0.0056429793415319	0.0127015529289753	0.0124999008478457	0.00871906180371119	0.00318870663938699	0.0323076931772049	0.0193261077585859	0.00948864633536444	0.0322796407603076	0.0394217448297268	0.0316400207288369	0.0380405808328475	0.0283463092724926	0.0231429303657191
A549_G1_1D_1	0.0013933591881968	0.00174119546036537	0.00812409592030761	0.00480906056584611	0.0138490531368192	0.0144281280714528	0.00884743655503724	0.0182280080915984	0	0.0054976204801658	0.0105855369434409	0.00323745660450314	0.00347556331658279	0.00180232702204576	0.010240064449279	0.00642785659806464	0.013180442865555	0.0165055884470165	0.0116182572729648	0.0161921445365798	0.00767796588272987	0.0121615376359733	0.00166812583905954	0.00931672357197693	0.00898175964670864	0.00882663281502353	0.00409164600107073	0.0139149686692998	0.0216956836987838	0.0121404775600634	0.017957803699463	0.0294705552154824	0.00432861078460007	0.00783460226034742	0.0147187252125269	0.0201235749030258	0.0144202441414087	0.0083353772377439	0.000492662608206698	0.0258935579830945	0.0108276088888724	0.0191327046031181	0.00579726883726416	0.00304336076987832	0.0129183448873476	0.00197621911346639	0.00274627318860174	0.0200848939141164	0.0293532176727108	0.0183248767107202	0.0187774171501362	0.041711492168327	0.0151797556919698	0.0485181977792589	0.00557816433456959	0.00916932837514368	0.0291450432772387	0.00385290601355746	0.00676162692186741	0.0189122143111645	0.02578593394254	0.0158554587449822	0.0164369925967184	0.0221228916248702	0.00987787670669511	0.00989364240723577	0.00387765425011984	0.0169944756998904	0.00266785085266785	0.013480596756594	0.0332364039243326	0.00738892563743525	0.0127207239551606	0.0229034005725069	0.00606864163292852	0.00997961308118835	0.018178165193898	0.0151027091965249	0.00134245838917063	0.0242543873895991	0.0145653980625154	0.0213922300279351	0.0136082556135614	0.020227504798137	0.0102901408522464	0.00627810191048947
A549_G1_1D_2	0.00506287204085304	0.00593295497211541	0.0129899416300359	0.00299452432131271	0.0186849363224629	0.0198123163342777	0.0126146061664491	0.0225596485826626	0.0054976204801658	0	0.0158111197116236	0.0036340740042136	0.00580389631258442	0.00729522534443738	0.0143297993222808	0.011455864960584	0.0180972449744538	0.0111102841399883	0.00753887713960304	0.0119768122432754	0.00644145567811339	0.00713017592686583	0.00644998977302519	0.010599171090312	0.014126941944819	0.013961723447598	0.00886068528512828	0.0190598623385752	0.02671082106422	0.0139655980401431	0.023119959373388	0.0342659097454541	0.00412923203195586	0.0132151669002039	0.0193207505114653	0.0251540321698113	0.00961856975755337	0.00578675474886812	0.0058328827775535	0.0212995803005173	0.00605764798423737	0.0138435717548418	0.00109489283548416	0.00806430114444373	0.0183100113966519	0.00697294012271435	0.00822132364117951	0.0242405348773041	0.0343011054849897	0.0231644860060476	0.0234368035223005	0.0464937880194558	0.0198518649074377	0.0537566290563251	0.00111950372100112	0.0141427624834453	0.0345005216238298	0.00166766941174175	0.00140744798049182	0.0242007973160533	0.020612965690081	0.0117847526550809	0.0120234942536361	0.0168332010232433	0.00606360756228268	0.00603907086613002	0.0093435737715614	0.0224878457875367	0.00551964883016927	0.0184171959877126	0.0384982352663524	0.0128312840940467	0.0169185595657287	0.0283392841904869	0.011242277677822	0.0149614265770634	0.0229842913991724	0.00987683447693717	0.00416742117227879	0.0293929872980304	0.00972662069384133	0.016965479357723	0.0114570088293185	0.0154920730193003	0.00617669500018778	0.0081460016501297
