	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0116131192184635	0.00539958595580004	0.00285933751225881	0.0016496439110757	0.00507556329905163	0.00391853484363184	0.00831861210969144	0.00727808511650846	0.00356056392726275	0.00809860870752817	0.00537935162787955	0.00489055671743483	0.00363041248417014	0.0188154882217669	0.0161016883970153	0.0114269632863949	0.0103751912006176	0.00347387498315542	0.00612699167045135	0.00225257140142691	0.00390277841691352	0.00989572674912005	0.00268027740507518	0.00408624423790265	0.00266245175799781	0.00242031108132143	0.0037589158990253	0.011028316103198	0.00950316712795405	0.0152094577007329	0.0111333698592259	0.00695034138493805	0.00292372686674779	0.00594441458556226	0.0120596037980757	0.00274611353156823	0.00970478236102909	0.00370957664134622	0.00580598736294851	0.0126470405675192	0.0101061639970844	0.00634955181192685	0.0086244074588555	0.00418940993310951	0.00155184524459424	0.00474983464066345	0.0503874797152018	0.060563346653868	0.0450352370396502	0.0149765417906273	0.00635768057445595	0.005120820989515	0.0170985956676529	0.00450103597936196	0.00267414946154349	0.0038000631734786	0.00764251517711205	0.00481867352039919	0.00823026714198258	0.0079699942130365	0.0169600865538377	0.00970389872941611	0.00736127652118859	0.0111665913539704	0.00845023999486551	0.0076591524272685	0.00362895630729292	0.0116586629307807	0.0125380262384569	0.00514904002100221	0.00489298260033552	0.00589989028883606	0.00933676649418127	0.00692084797880378	0.00920111799997136	0.00551045855265459	0.0118047652868473	0.00466402557757077	0.0104079852631421	0.00262249903905546	0.00977183377581884	0.00965823195877338	0.00423258718904842	0.00443122086008627	0.00408005675469858	0.00682971623230047	0.000944786040179768	0.0074811557261251	0.00470038618339883
A549_G1_1A_2	0.0116131192184635	0	0.00976192555598122	0.00879556181781381	0.0117321985575909	0.0123224622103149	0.0109845300410307	0.00464951935788962	0.0051163444294744	0.0103743450462169	0.0145569780297853	0.00626439383690818	0.00865448678124906	0.010520147326305	0.0299277441217703	0.0276620698721897	0.0222605139696628	0.00670835034136146	0.00912083858791266	0.00559949425970291	0.0100421988930364	0.0115921079112547	0.0195314724547937	0.0120789845384587	0.00799047952881277	0.0141115021482056	0.0115152635174991	0.00785636974814749	0.00406429206400589	0.0113881570808147	0.00384986652229374	0.00101970211367077	0.017013130925116	0.0105608469774198	0.0141559208985001	0.00435120813461515	0.00894786715921505	0.00259693722727732	0.0084607510163491	0.00595068744226645	0.00394097654899642	0.005139123103788	0.0154797798359892	0.016584131134721	0.0124837697162721	0.0129703681297233	0.00860358612137159	0.0392563658954967	0.0492836754639431	0.0335493267897635	0.00467826789908291	0.017893182730932	0.0163716602118061	0.0058043666431173	0.0106381933653472	0.0123251318035543	0.00834756214221192	0.0185832280532703	0.00692925908451198	0.0086331555300396	0.0100450855938496	0.00639779854663948	0.00232155717753595	0.0189618753340664	0.00281388368557266	0.00348865025223053	0.00499326257036396	0.0138382307653306	0.00559838557755296	0.0227196420088584	0.0167562847450827	0.00798381002627414	0.0174807084460509	0.00240959509979614	0.0182904828729736	0.00334182548284335	0.00617061207901605	0.0230663081940065	0.00742777611333371	0.00372651601548006	0.0109407583410145	0.00240582888872316	0.0185174374862804	0.00902779748917204	0.00738734981261729	0.00993958214660075	0.0171874493969982	0.0109739005555719	0.00585612457277433	0.00911628575254456
A549_G1_1A_3	0.00539958595580004	0.00976192555598122	0	0.00409566454315862	0.00412191956451514	0.0099196557548828	0.00187097347138152	0.00875208252015424	0.00466028686107107	0.00773508191493585	0.0130644111964555	0.00549054986005797	0.00784141937942076	0.00184816525464825	0.0234257915051109	0.0200183572542116	0.0164245102771691	0.00572557902466876	0.00664978622438632	0.00483965000832042	0.00327813042699237	0.00237936271359055	0.0152681318027517	0.00784131053673232	0.00613175663201659	0.00645461335983617	0.00336307641813033	0.00448691146373139	0.00740241524716938	0.00421204050020157	0.0125212307168792	0.0097662536821396	0.00756901549389145	0.00727318656816232	0.0111615202726119	0.00829615346435198	0.00394632106062578	0.00901057145218479	0.00287832139639562	0.00609941451631587	0.0123834102387263	0.0061081847908204	0.0117251650332816	0.0139239712534995	0.00924121828529284	0.00568102131870877	0.00765175178532682	0.0465433756676754	0.0568551039001857	0.0417469559107078	0.0115939833244626	0.00976896540909986	0.0101420021294173	0.0141603612421442	0.00871587083760219	0.00791674598833194	0.00617390831917781	0.0127242383006609	0.00567512538883826	0.00301126391603327	0.0113596170952265	0.0134737029601408	0.00744680284304737	0.0110440337355174	0.00808130815132816	0.00630848053170914	0.00818142281325956	0.00503128719871279	0.00740882894841893	0.0177692115478363	0.00913890952798528	0.00728651336666678	0.00958198486685194	0.00740557869691189	0.0116743165490852	0.00649980522118016	0.00463203885391529	0.0164439151757269	0.00320704219010416	0.00702081817229408	0.00724573977520245	0.00895668373190887	0.0150542270520878	0.00743231967768427	0.00573672284733199	0.00132037140157062	0.0121553975236083	0.00567871884333662	0.00863534969670034	0.00798133745658574
A549_G1_1B_1	0.00285933751225881	0.00879556181781381	0.00409566454315862	0	0.00308472662580848	0.00600683912119432	0.00363273056147331	0.00593848351754644	0.00447006348671674	0.00371113565932148	0.00913205580757444	0.00267151798573993	0.00380234442612985	0.003082483325471	0.0216118902238249	0.018959830541626	0.0141280986204289	0.00791820197726181	0.00255415223345789	0.00326833214014184	0.00156954453528529	0.00404072404250698	0.0121941394980754	0.00430836454270569	0.00219868294730068	0.0053227893636109	0.00316695706461013	0.000983780606683753	0.00825249032624768	0.0082453848493881	0.012353936863185	0.0083728341376064	0.00882825169630921	0.00333841926927442	0.00746812798257029	0.00928973043033374	0.000212691698315486	0.007041676116003	0.00133079893849806	0.00319896919714597	0.0101703625006885	0.00743335845276326	0.00830778891365088	0.0102699480740083	0.00548683202855588	0.00417737806051511	0.00361358628541126	0.0475472594746196	0.0577143432412807	0.0421791978988401	0.0121346041363607	0.00910180132328139	0.00789542814233205	0.014239888075549	0.00465919978305119	0.00446881057060312	0.00214811240553661	0.0103417129620407	0.00230875103087424	0.0062894831520905	0.00732757403826564	0.0141190574656571	0.00684581279848269	0.0101702977392761	0.00832507079203985	0.00559096074556987	0.00527757131604082	0.00541281228814109	0.0090104814397798	0.0150575948611703	0.00797017991618972	0.00335212318589671	0.00868594147717361	0.00648836327239866	0.00974490113436282	0.0063537242132414	0.00265465932162366	0.0146189200679065	0.00196004266280258	0.0076077846238521	0.00342851260416238	0.00708387708818383	0.0116801328259051	0.00334667761912398	0.00209179279116098	0.00301940556404904	0.00930487592053999	0.00243046393793235	0.00536408501974843	0.00390067403444743
A549_G1_1B_2	0.0016496439110757	0.0117321985575909	0.00412191956451514	0.00308472662580848	0	0.00672186669740404	0.00241975734371167	0.00899959427281931	0.00697911706650714	0.00506911552340813	0.00974551673118769	0.00575068416209293	0.00612672333108909	0.00227426633958349	0.0194750151510028	0.0163826673476925	0.0123297010247587	0.00952880851100511	0.00467219873190841	0.00613297811616749	0.00169262894392096	0.00229677001493158	0.0112028937441016	0.00432785427081239	0.00495841189198311	0.00254060903603917	0.000824303715409875	0.00406636108396497	0.0105675162328614	0.00804890725726882	0.0151310131716693	0.0113856721104436	0.00580918797612342	0.00444897830843726	0.00756225733305406	0.0115717941396793	0.00289183924110871	0.010111675393404	0.00331962984848294	0.006283264479763	0.0132536856293038	0.00949601982135665	0.00786547704331664	0.0101961265113777	0.00583823420361939	0.00158149453824075	0.00596303131480015	0.0500051940655191	0.0602419345141846	0.0448640049159873	0.0146629886884773	0.00625060821615366	0.00602580025637973	0.0169586613864534	0.00604910311425643	0.00431048221132356	0.00475268185574304	0.00860797028840539	0.00537047963162768	0.00709423430605141	0.0094136462557521	0.0166299788938659	0.00964160055413573	0.00742378137040239	0.0108879826077516	0.0083689680396972	0.00833564959898602	0.00237132024210288	0.010987992275989	0.0136482402884181	0.0053168217646604	0.00596061193434651	0.00591813985252633	0.00935994924653396	0.00762208417382189	0.00898207513562305	0.00557176678193737	0.0124594186768179	0.00437037064405965	0.0100113161576618	0.00420351764464721	0.0101455560839277	0.0111064862649733	0.00550169027697027	0.0050870248213323	0.00286244881660963	0.00806360071009957	0.00241814681263495	0.00833281946854196	0.00602096015151156
A549_G1_1B_3	0.00507556329905163	0.0123224622103149	0.0099196557548828	0.00600683912119432	0.00672186669740404	0	0.0088130320763428	0.007829906396046	0.0097470006270899	0.0023606728969397	0.00314532225378856	0.00681145387710438	0.00368336123150715	0.00840640408109583	0.0179890268388743	0.0166490561335745	0.010306094567395	0.0136800064309024	0.00376770932298473	0.00818094959012838	0.00668703168850983	0.00891006054704787	0.00722167976101569	0.00244755977913924	0.00487936418590504	0.00670576662069748	0.00745640707483976	0.00617058828011682	0.0133646114561683	0.0141311310973981	0.0161719534666266	0.0115069129146168	0.0114227333163056	0.00267204209437881	0.00183366579621563	0.0143727673694482	0.00609455273020761	0.00982163884772113	0.00733657081628561	0.0067728114295235	0.0117021891001538	0.0128927951913418	0.00321927232508635	0.00445260021612711	0.00102052066380544	0.00610089354044928	0.00375971053955738	0.0515224966638997	0.0614592915744161	0.045567269666866	0.016618134290208	0.00912636290686653	0.00572640249557125	0.018125674630451	0.00170913400500899	0.0025514778446092	0.00458415410986323	0.00701619361518278	0.00604732579148822	0.0122953970112281	0.00418594929652934	0.0185365133709372	0.0111732604314678	0.00953402071098066	0.0130242126419644	0.0101745435645446	0.00736191852500504	0.00847456688146673	0.0144567518205915	0.0104523198527121	0.00768382935557632	0.00441222549872385	0.00851993141645424	0.0106329713403954	0.00745361292181264	0.0111510814089281	0.00763785890171456	0.0115299943035171	0.00779545498183415	0.0126481067898208	0.00267829655295937	0.00997995195814484	0.00622713173674088	0.00344221997486841	0.00560432248781304	0.00866098000756114	0.0052916642510187	0.0043945906891347	0.00661539703673885	0.00322627439426433
A549_G1_1C_1	0.00391853484363184	0.0109845300410307	0.00187097347138152	0.00363273056147331	0.00241975734371167	0.0088130320763428	0	0.00921151881409248	0.00590255044391961	0.00683899284477889	0.0119210652930634	0.00580964841986284	0.0073838884060094	0.000563195034747779	0.0215587995113954	0.0181621115858251	0.0146057355530118	0.00756945075454565	0.00601851832308944	0.00560527126509815	0.00224695654759689	0.000611590369360686	0.0136196528568893	0.0065413695043047	0.00583138544222881	0.00460439700207074	0.00160349567084076	0.00437818894874114	0.0090604765067893	0.00562980805173361	0.0140194174891699	0.0108435177490418	0.00604452882358283	0.00628834957838388	0.00984848239345135	0.0100003056697813	0.00343006859572324	0.00985230506709606	0.00289192083147639	0.00642297698264019	0.013181293245673	0.00783097401339113	0.0102500676309433	0.0125427104320857	0.00801964540203793	0.00390718777406997	0.00719858184858816	0.0483451362040161	0.0586406455016469	0.0434585439708839	0.0132488683708733	0.007910635732848	0.0083605953322951	0.0157345969989041	0.00784694242793327	0.00656948755123681	0.0057637466595113	0.010937851816422	0.00574243359257076	0.00487530194689536	0.0108817203777582	0.0151648201182161	0.00872244052093002	0.00918018954051898	0.00961400635377954	0.0074973416693973	0.00858220345605065	0.0032003068075299	0.00920242551382306	0.0160134136543507	0.00726930503133812	0.00698214833353588	0.00771334021062214	0.00857830043663756	0.00983662461913459	0.00787513223106044	0.00520917339227637	0.0145830449457414	0.0037237946488005	0.00860980093345954	0.00615935959613804	0.00983528540772523	0.0135172426334572	0.0068602934289249	0.00564803009482448	0.00104580954793114	0.0104742437893318	0.00442466207911897	0.00884504998253749	0.00741709310337105
A549_G1_1C_2	0.00831861210969144	0.00464951935788962	0.00875208252015424	0.00593848351754644	0.00899959427281931	0.007829906396046	0.00921151881409248	0	0.00494684912292804	0.00614845491847913	0.00991349528105617	0.00340370582910599	0.00428043166196406	0.00865562700649852	0.0257071173534881	0.0238475123398479	0.0180072778949606	0.00870607464054393	0.00514679438405611	0.00397197303985205	0.00748509918436046	0.0097387779347598	0.0150465442304264	0.00802139399910825	0.00424519613177942	0.0109779104451283	0.00909269151389274	0.00498517109172975	0.00704452345508403	0.0119094964161806	0.00845305033522203	0.00373761180345086	0.0147660322451278	0.00648444082086076	0.00965393706454336	0.00784778936228791	0.00614384669872161	0.0020564860328433	0.006319917037575	0.00279711150257608	0.00433360548770835	0.00730291837572941	0.0110380785311556	0.0119785170074194	0.00813303900723383	0.00984372463724484	0.00428037649383358	0.0437109160762004	0.0536413188100419	0.0377639948777496	0.0092426546107455	0.0146398787466282	0.0124699495024374	0.0103896207753948	0.00620547953864385	0.00828177880925575	0.00456122509519028	0.0144531682421867	0.00363197291649094	0.00915225192563841	0.00544840809750206	0.0110365230776582	0.00432322122501549	0.0155447941586909	0.00620381594913024	0.00402114859981745	0.000664906244938998	0.0113486454277453	0.00854233630041504	0.0182809775999945	0.0133429384449518	0.00376261556578888	0.0141437479007205	0.00373999208710688	0.0143980497815284	0.00491194316750362	0.00412199619516885	0.0190007227756674	0.0055936362735491	0.00636121176646556	0.00691240800226245	0.00224370294022924	0.0139524715241427	0.00478958935044283	0.00392881186948284	0.00829170218417084	0.0129177564564194	0.00748470801972779	0.00122623896072181	0.00473123641348191
A549_G1_1D_1	0.00727808511650846	0.0051163444294744	0.00466028686107107	0.00447006348671674	0.00697911706650714	0.0097470006270899	0.00590255044391961	0.00494684912292804	0	0.00741574391621693	0.0126418966137346	0.00300649952294964	0.00637530258058858	0.00546856781944793	0.0260766052808373	0.0233026270672581	0.0185922121728342	0.0041170575783513	0.00599129845809531	0.00158681094289865	0.00531457027099098	0.00651359744608972	0.0164959405655878	0.0085933940700748	0.00487191046585472	0.00948792802447478	0.00661596919472131	0.00378975952586618	0.00378951891949944	0.00704263908736088	0.00818745019632533	0.00511597804235877	0.0119465366429609	0.00730715121585525	0.0114490794648765	0.00482795143848051	0.0045474838372617	0.00455470279259988	0.00367294487174563	0.00328072893641533	0.00788750672413012	0.00314606853562736	0.0124984467509955	0.0141929819368359	0.0095074312757646	0.00839956528605345	0.00622670823495467	0.0431250383964871	0.053325728991123	0.037891520535179	0.00771612659416615	0.0132294819704972	0.0123621157494425	0.00998552998875359	0.00810106586303251	0.00879113795916153	0.00516373996853376	0.0148083757469231	0.0037323648914657	0.00423704288484348	0.00932176099338616	0.00969583633513832	0.00282363129093533	0.0143903716993466	0.00391686241662884	0.00164849747590797	0.00458095036069993	0.00888601486486625	0.0047138872123178	0.0194563469228459	0.0122406833453367	0.00559845639063155	0.0128857346658335	0.00274535488019294	0.0141959802216301	0.00201229990627953	0.00211128831388571	0.0190765454185869	0.00263866842615377	0.00313786065364925	0.00755244066416965	0.0044604753659507	0.0158220046088507	0.00636924157964368	0.00415057719710357	0.00485757032987504	0.0137151343555148	0.00689569887300564	0.0053790519488274	0.00674762039102373
A549_G1_1D_2	0.00356056392726275	0.0103743450462169	0.00773508191493585	0.00371113565932148	0.00506911552340813	0.0023606728969397	0.00683899284477889	0.00614845491847913	0.00741574391621693	0	0.00543573697157582	0.00453484279458699	0.00190148412476321	0.00637365938201856	0.0195995684983634	0.0177368513602312	0.0119086079034487	0.0113209924103796	0.00142479274468165	0.00586580827825599	0.0046154695893897	0.00703950582246245	0.00924969491652951	0.00193594067635913	0.00258127041251009	0.00587771641412886	0.00568067506896768	0.00381107489821413	0.0110835061285028	0.0119286049894454	0.0142055255185349	0.00964329079238608	0.0104564314517855	0.000638670969963576	0.00403811810055269	0.0121027597129443	0.00382227219606238	0.00799728996872621	0.00503932070497039	0.00457959821925264	0.0103369976176394	0.0105587823575568	0.00518791851174784	0.00678190461399918	0.00215050275413755	0.00496216430637984	0.00187245812426377	0.0496199547181246	0.0596358138258797	0.0438407492586756	0.0144884439210551	0.00906506877736591	0.00638426803489736	0.0161591859967322	0.00100818189619895	0.00219728259257242	0.00226061329873582	0.00830747692895348	0.00376425979258926	0.00997837691467664	0.00441780458828707	0.016435274291439	0.00901457158419387	0.00976861433756745	0.0108164255391393	0.0079478502188598	0.00558122388701836	0.00718817615817657	0.0121293744672819	0.0123751165774491	0.00765738238744861	0.0024144290488262	0.00850172089861034	0.00850103078205098	0.00829711665146906	0.00890300650755396	0.00530452821185079	0.0128530123293164	0.00544234075619491	0.0103740169511862	0.00102270700388868	0.00813019365273764	0.00843748031774563	0.00136561366467319	0.00330319496310696	0.00653210128950299	0.00682190062558323	0.00266191014441828	0.00502286421869484	0.00150093888133569
