	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.0016496439110757	0.00391853484363184	0.00356056392726275	0.00537935162787955	0.0161016883970153	0.00347387498315542	0.00390277841691352	0.00408624423790265	0.0037589158990253	0.0152094577007329	0.00292372686674779	0.00970478236102909	0.00370957664134622	0.00634955181192685	0.00418940993310951	0.0503874797152018	0.0149765417906273	0.005120820989515	0.0038000631734786	0.00481867352039919	0.00970389872941611	0.00845023999486551	0.00362895630729292	0.00514904002100221	0.00589989028883606	0.00551045855265459	0.00466402557757077	0.00977183377581884	0.00443122086008627	0.0074811557261251
A549_G1_1B	0.0016496439110757	0	0.00241975734371167	0.00506911552340813	0.00575068416209293	0.0163826673476925	0.00467219873190841	0.00229677001493158	0.00495841189198311	0.00406636108396497	0.0151310131716693	0.00444897830843726	0.010111675393404	0.00331962984848294	0.00786547704331664	0.00583823420361939	0.0500051940655191	0.0146629886884773	0.00602580025637973	0.00475268185574304	0.00537047963162768	0.00964160055413573	0.0083689680396972	0.00237132024210288	0.0053168217646604	0.00591813985252633	0.00557176678193737	0.00437037064405965	0.0101455560839277	0.0050870248213323	0.00833281946854196
A549_G1_1C	0.00391853484363184	0.00241975734371167	0	0.00683899284477889	0.00580964841986284	0.0181621115858251	0.00601851832308944	0.000611590369360686	0.00583138544222881	0.00437818894874114	0.0140194174891699	0.00628834957838388	0.00985230506709606	0.00289192083147639	0.0102500676309433	0.00801964540203793	0.0483451362040161	0.0132488683708733	0.0083605953322951	0.0057637466595113	0.00574243359257076	0.00872244052093002	0.0074973416693973	0.0032003068075299	0.00726930503133812	0.00771334021062214	0.00520917339227637	0.0037237946488005	0.00983528540772523	0.00564803009482448	0.00884504998253749
A549_G1_1D	0.00356056392726275	0.00506911552340813	0.00683899284477889	0	0.00453484279458699	0.0177368513602312	0.00142479274468165	0.00703950582246245	0.00258127041251009	0.00381107489821413	0.0142055255185349	0.000638670969963576	0.00799728996872621	0.00503932070497039	0.00518791851174784	0.00215050275413755	0.0496199547181246	0.0144884439210551	0.00638426803489736	0.00226061329873582	0.00376425979258926	0.00901457158419387	0.0079478502188598	0.00718817615817657	0.00765738238744861	0.00850172089861034	0.00530452821185079	0.00544234075619491	0.00813019365273764	0.00330319496310696	0.00502286421869484
A549_G1_1E	0.00537935162787955	0.00575068416209293	0.00580964841986284	0.00453484279458699	0	0.0213993096991987	0.00312740981918101	0.00633529287042068	0.00195391987937917	0.00168785531293003	0.00996616091201333	0.00453828239278225	0.00437198407100299	0.00291779526323595	0.00970690847279605	0.00667525671599861	0.0453364141981807	0.0100279906063125	0.0101326738900679	0.00228713730188244	0.000770635750986729	0.0045647967400371	0.00342911043525678	0.00804914088650213	0.0105275886169771	0.0112756540304195	0.00105286998377258	0.00228353361527825	0.00441965659026076	0.00123914549806572	0.00314485833376311
A549_G1_1F	0.0161016883970153	0.0163826673476925	0.0181621115858251	0.0177368513602312	0.0213993096991987	0	0.0187259695698129	0.0176418708567483	0.0197614010643886	0.0198462150123591	0.031306462791985	0.0173644816360625	0.0255532787525519	0.0196356725030861	0.0137265894822376	0.0159881559955252	0.0663639041882601	0.0310146769941007	0.0113797171927762	0.0194116789603201	0.0207484719335271	0.0258038602344626	0.0245485961583588	0.0149949368640936	0.0110716706416296	0.0104876598617994	0.0216111899004476	0.0206646836581291	0.0256539777312015	0.0203032123529977	0.0227558576523416
A549_G1_1G	0.00347387498315542	0.00467219873190841	0.00601851832308944	0.00142479274468165	0.00312740981918101	0.0187259695698129	0	0.00632108799977573	0.00117872525762236	0.00245030561903036	0.0129246105714287	0.00144431006565148	0.00684697045623299	0.00383340382867501	0.00657960744147243	0.00354919504828047	0.0483397423331488	0.0131250631945095	0.00735028288645276	0.000841366690401339	0.00235799908855775	0.00764943531992301	0.00655255445342046	0.00698228311536593	0.00824692121502152	0.00906603038747698	0.00388003547590137	0.00410035694018665	0.006960815536624	0.00188952005782437	0.0041486069900274
A549_G1_1H	0.00390277841691352	0.00229677001493158	0.000611590369360686	0.00703950582246245	0.00633529287042068	0.0176418708567483	0.00632108799977573	0	0.00622993732899707	0.00484724504540552	0.0146293570530876	0.00646267954632417	0.0104303879130374	0.00342586210404815	0.0101589576170803	0.00807261732499679	0.0489058664217109	0.0138458365761492	0.00805631286617581	0.00613468876881973	0.00622417889287692	0.00933284105440345	0.00810570509993809	0.00265196230285607	0.00682011053427069	0.0072243660885369	0.00577620291101893	0.00430106544081937	0.010417402786351	0.00609889532631593	0.0093293824009497
A549_G1_2A	0.00408624423790265	0.00495841189198311	0.00583138544222881	0.00258127041251009	0.00195391987937917	0.0197614010643886	0.00117872525762236	0.00622993732899707	0	0.00166185243803071	0.0117754683809608	0.00261182094217221	0.00579488129092861	0.00325367861766103	0.00775574944276921	0.00472214783859886	0.0471852680933183	0.011947849707936	0.00840903753100456	0.000357214122785781	0.00118329531308014	0.0064726964265511	0.00537489637744593	0.00732833955797055	0.00910654504543763	0.00990187461792551	0.00276932552072385	0.0032502252049982	0.00589385771277163	0.000725479932722423	0.00340963169358399
A549_G1_2B	0.0037589158990253	0.00406636108396497	0.00437818894874114	0.00381107489821413	0.00168785531293003	0.0198462150123591	0.00245030561903036	0.00484724504540552	0.00166185243803071	0	0.0114653752282225	0.00358962514031147	0.00605887705370039	0.00162034268816888	0.00874402218428053	0.00579997669237218	0.0467343207280366	0.0113384205491559	0.008684025597078	0.00177166609179543	0.00138241349342965	0.00597415094875736	0.00474122508095585	0.00638218511412121	0.00890052922135988	0.00963132467126422	0.00179583562754838	0.00165117954799856	0.00610294644515282	0.00128335287918406	0.00448397815215629
A549_G1_2C	0.0152094577007329	0.0151310131716693	0.0140194174891699	0.0142055255185349	0.00996616091201333	0.031306462791985	0.0129246105714287	0.0146293570530876	0.0117754683809608	0.0114653752282225	0	0.0143682947437766	0.00639987746541256	0.0118117915883727	0.0193263891672544	0.0163243524686098	0.0354279983739363	0.00218087662960837	0.0200969127925605	0.0121322951502991	0.0106724898907678	0.00551187826717673	0.00677909275498949	0.0170690918220577	0.0203094415303605	0.0209954351490364	0.00969984312856482	0.0107609562308696	0.00622315818998087	0.0111409901282934	0.00967319452970154
A549_G1_2D	0.00292372686674779	0.00444897830843726	0.00628834957838388	0.000638670969963576	0.00453828239278225	0.0173644816360625	0.00144431006565148	0.00646267954632417	0.00261182094217221	0.00358962514031147	0.0143682947437766	0	0.00825659722941477	0.00466656131474943	0.00519594339276232	0.00221105726139104	0.0497824200452928	0.0145566831867834	0.00598740251110762	0.00226117575808663	0.00377558962650729	0.00908297673445983	0.00796717591194018	0.00655037113050087	0.00711646473158712	0.00795588158896217	0.00520790931450026	0.00517251653246572	0.00837737146172262	0.00330103470492442	0.00540822489586625
A549_G1_2E	0.00970478236102909	0.010111675393404	0.00985230506709606	0.00799728996872621	0.00437198407100299	0.0255532787525519	0.00684697045623299	0.0104303879130374	0.00579488129092861	0.00605887705370039	0.00639987746541256	0.00825659722941477	0	0.00705527413668617	0.0130110726659158	0.0100561207702067	0.0417111924671971	0.00722955894583533	0.0141901881486403	0.00614316406074579	0.00488741098244242	0.00280999183221571	0.00310385877887684	0.0123754035135633	0.0148328791744486	0.0156015761303047	0.00466516075517869	0.00612983883612156	0.000211688625933398	0.00529688688847489	0.00327346391744729
A549_G1_2F	0.00370957664134622	0.00331962984848294	0.00289192083147639	0.00503932070497039	0.00291779526323595	0.0196356725030861	0.00383340382867501	0.00342586210404815	0.00325367861766103	0.00162034268816888	0.0118117915883727	0.00466656131474943	0.00705527413668617	0	0.00956319781797073	0.00679691114688404	0.0467717217981183	0.0113822849154555	0.00883017591315918	0.00330198665043321	0.00290466797814421	0.00632824661550948	0.00505650788368414	0.00538691880223808	0.00856937580309937	0.00921404051504595	0.00239229579637075	0.0010510420239667	0.00705779644836938	0.00289416123490451	0.00598341670659822
A549_G2_2A	0.00634955181192685	0.00786547704331664	0.0102500676309433	0.00518791851174784	0.00970690847279605	0.0137265894822376	0.00657960744147243	0.0101589576170803	0.00775574944276921	0.00874402218428053	0.0193263891672544	0.00519594339276232	0.0130110726659158	0.00956319781797073	0	0.00303745334106771	0.0547057187213114	0.0196731505943216	0.00392402317984649	0.00742014695097006	0.00893739032715841	0.0142012844799899	0.013130060823143	0.00886627592902268	0.00644562854179671	0.00715659785162212	0.0104033145375883	0.0102465409850152	0.0131636241822177	0.0084685838566836	0.00982854709815648
A549_G2_2B	0.00418940993310951	0.00583823420361939	0.00801964540203793	0.00215050275413755	0.00667525671599861	0.0159881559955252	0.00354919504828047	0.00807261732499679	0.00472214783859886	0.00579997669237218	0.0163243524686098	0.00221105726139104	0.0100561207702067	0.00679691114688404	0.00303745334106771	0	0.0517273405033804	0.0166376904517349	0.00486391674214849	0.0043905501153405	0.00590497253991275	0.0111646297048	0.0100949889620754	0.00749677622186432	0.00670280077297218	0.00754410343905666	0.00740176381147732	0.00736821461173368	0.010199707918166	0.00543852265549915	0.00695128910855341
A549_G2_2C	0.0503874797152018	0.0500051940655191	0.0483451362040161	0.0496199547181246	0.0453364141981807	0.0663639041882601	0.0483397423331488	0.0489058664217109	0.0471852680933183	0.0467343207280366	0.0354279983739363	0.0497824200452928	0.0417111924671971	0.0467717217981183	0.0547057187213114	0.0517273405033804	0	0.035423060567512	0.0554082704934864	0.0475409788140239	0.0460636095715524	0.0407892277476654	0.041998821305998	0.0515419265348173	0.0553116980290332	0.0559041360951166	0.0449408851881762	0.0457574216115325	0.0415561971865801	0.0465358217093486	0.0449330334372923
A549_G2_2D	0.0149765417906273	0.0146629886884773	0.0132488683708733	0.0144884439210551	0.0100279906063125	0.0310146769941007	0.0131250631945095	0.0138458365761492	0.011947849707936	0.0113384205491559	0.00218087662960837	0.0145566831867834	0.00722955894583533	0.0113822849154555	0.0196731505943216	0.0166376904517349	0.035423060567512	0	0.0200162066411745	0.0122959490307117	0.0107831511212747	0.00547623104332916	0.00661993055744718	0.0164020647721073	0.0199502173218715	0.0205799075724433	0.00954320973313136	0.0103545359434487	0.00702613644461881	0.0112585773485361	0.0104078329168794
A549_G2_2E	0.005120820989515	0.00602580025637973	0.0083605953322951	0.00638426803489736	0.0101326738900679	0.0113797171927762	0.00735028288645276	0.00805631286617581	0.00840903753100456	0.008684025597078	0.0200969127925605	0.00598740251110762	0.0141901881486403	0.00883017591315918	0.00392402317984649	0.00486391674214849	0.0554082704934864	0.0200162066411745	0	0.00805560064229776	0.00944359623967251	0.0146443909399138	0.0134238159310689	0.00600692798206454	0.00258076021582282	0.00323980292523688	0.0104793514305769	0.00977386827511487	0.0142970649639448	0.00898509066564488	0.0113892278380141
A549_G2_2F	0.0038000631734786	0.00475268185574304	0.0057637466595113	0.00226061329873582	0.00228713730188244	0.0194116789603201	0.000841366690401339	0.00613468876881973	0.000357214122785781	0.00177166609179543	0.0121322951502991	0.00226117575808663	0.00614316406074579	0.00330198665043321	0.00742014695097006	0.0043905501153405	0.0475409788140239	0.0122959490307117	0.00805560064229776	0	0.00151894918838059	0.00682186694175486	0.00571427566085637	0.00711585474223804	0.00878268405043935	0.00958289970145936	0.0030537980438768	0.00340716268421219	0.00624443270613317	0.00104847726498178	0.00368116887991155
A549_G2_2G	0.00481867352039919	0.00537047963162768	0.00574243359257076	0.00376425979258926	0.000770635750986729	0.0207484719335271	0.00235799908855775	0.00622417889287692	0.00118329531308014	0.00138241349342965	0.0106724898907678	0.00377558962650729	0.00488741098244242	0.00290466797814421	0.00893739032715841	0.00590497253991275	0.0460636095715524	0.0107831511212747	0.00944359623967251	0.00151894918838059	0	0.00531260449177671	0.00419534503972436	0.00771681334895566	0.00994765062349199	0.0107145086250651	0.0016700474939615	0.00253504190707705	0.00495958533277091	0.000475615606120776	0.00310540269813755
A549_G2_2H	0.00970389872941611	0.00964160055413573	0.00872244052093002	0.00901457158419387	0.0045647967400371	0.0258038602344626	0.00764943531992301	0.00933284105440345	0.0064726964265511	0.00597415094875736	0.00551187826717673	0.00908297673445983	0.00280999183221571	0.00632824661550948	0.0142012844799899	0.0111646297048	0.0407892277476654	0.00547623104332916	0.0146443909399138	0.00682186694175486	0.00531260449177671	0	0.00127273715084721	0.0116567635678793	0.0147983003438594	0.0154870783648723	0.00419422650171207	0.00527868512151916	0.00262174952712857	0.00578820588706599	0.00530724556991601
A549_G2_3A	0.00845023999486551	0.0083689680396972	0.0074973416693973	0.0079478502188598	0.00342911043525678	0.0245485961583588	0.00655255445342046	0.00810570509993809	0.00537489637744593	0.00474122508095585	0.00677909275498949	0.00796717591194018	0.00310385877887684	0.00505650788368414	0.013130060823143	0.0100949889620754	0.041998821305998	0.00661993055744718	0.0134238159310689	0.00571427566085637	0.00419534503972436	0.00127273715084721	0	0.0103956107878947	0.0135325155323641	0.0142175079680574	0.00294931721457317	0.00400763436164927	0.00297346528563611	0.00466770782144499	0.00478088186217298
A549_G2_3D	0.00362895630729292	0.00237132024210288	0.0032003068075299	0.00718817615817657	0.00804914088650213	0.0149949368640936	0.00698228311536593	0.00265196230285607	0.00732833955797055	0.00638218511412121	0.0170690918220577	0.00655037113050087	0.0123754035135633	0.00538691880223808	0.00886627592902268	0.00749677622186432	0.0515419265348173	0.0164020647721073	0.00600692798206454	0.00711585474223804	0.00771681334895566	0.0116567635678793	0.0103956107878947	0	0.00432070972960315	0.00462686004151276	0.00775399046682233	0.00641089815729726	0.0123956568419069	0.0074500365432694	0.010702929927621
A549_G2_3E	0.00514904002100221	0.0053168217646604	0.00726930503133812	0.00765738238744861	0.0105275886169771	0.0110716706416296	0.00824692121502152	0.00682011053427069	0.00910654504543763	0.00890052922135988	0.0203094415303605	0.00711646473158712	0.0148328791744486	0.00856937580309937	0.00644562854179671	0.00670280077297218	0.0553116980290332	0.0199502173218715	0.00258076021582282	0.00878268405043935	0.00994765062349199	0.0147983003438594	0.0135325155323641	0.00432070972960315	0	0.000849822275080033	0.010621205337949	0.00960437319581484	0.0149068594563162	0.00953884200185441	0.012394531956299
A549_G2_3F	0.00589989028883606	0.00591813985252633	0.00771334021062214	0.00850172089861034	0.0112756540304195	0.0104876598617994	0.00906603038747698	0.0072243660885369	0.00990187461792551	0.00963132467126422	0.0209954351490364	0.00795588158896217	0.0156015761303047	0.00921404051504595	0.00715659785162212	0.00754410343905666	0.0559041360951166	0.0205799075724433	0.00323980292523688	0.00958289970145936	0.0107145086250651	0.0154870783648723	0.0142175079680574	0.00462686004151276	0.000849822275080033	0	0.0113271260221261	0.010257935008299	0.0156707585217101	0.0103145208795309	0.0132107943832141
A549_G2_3G	0.00551045855265459	0.00557176678193737	0.00520917339227637	0.00530452821185079	0.00105286998377258	0.0216111899004476	0.00388003547590137	0.00577620291101893	0.00276932552072385	0.00179583562754838	0.00969984312856482	0.00520790931450026	0.00466516075517869	0.00239229579637075	0.0104033145375883	0.00740176381147732	0.0449408851881762	0.00954320973313136	0.0104793514305769	0.0030537980438768	0.0016700474939615	0.00419422650171207	0.00294931721457317	0.00775399046682233	0.010621205337949	0.0113271260221261	0	0.00149728344918873	0.0046655698537807	0.00205496008650171	0.00407570598376217
