	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00435157528389236	0.011451385082673	0.00985895088793256	0.00924383342038719	0.00195332648356377	0.0126449678327891	0.0120250633953692	0.00872163391019619	0.000431889652147768	0.0072063884345005	0.00752468732173464	0.00809093574570497	0.00451210965757995	0.018381280231045	0.0266398828293591	0.0245257596349283	0.000626860897170395	0.00455885131113389	0.0100498771479715	0.00876062941478611	0.011685582693083	0.00561745434706586	0.0093753066282597	0.00805103067468689	0.00771519259243514	0.00490146478172948	0.0191642279307059	0.00427645198729223	0.00556522413422486	0.0151140212502813	0.0163970824310592	0.00925988503108449	0.00942952121717873	0.00477572407940017	0.020344050382716	0.00549268606526728	0.00250738575025289	0.0108996509436834	0.00828556093389883	0.00750652929515531	0.00945355536938684	0.00932007136974036	0.00423173207092609	0.0157850324383118	0.00577467761259933	0.000631252829917701	0.0125357171512101	0.00748033457914674	0.00577867313983342	0.000751894230035356	0.0119473222899099	0.00858855073146728	0.0162783070262126	0.013855157481269	0.00640588197012762	0.0111537568775181	0.00323580660636899	0.00956604495526664	0.0113501983514678	0.00987565454233745	0.0139562806835047	0.0119318444929852	0.00918338022837536	0.00737098936371673	0.00640018886989557	0.0115169162615187	0.0041733653577661	0.00551996216987327	0.0044235440247499	0.0163144177726484	0.0107720300678205	0.00492471442672677	0.0179336319046812	0.00914064102616798	0.00956501742526518	0.0101703743023506	0.0155737781070376	0.00281774668544683	0.00722401471708265	0.0127425844518681	0.00962942803253167	0.00671876237192684	0.0124014612095168	0.0115796653847698	0.00611262453631923	0.0138262602168051
A549_G1_1A_2	0.00435157528389236	0	0.00722921060074394	0.00851377886535949	0.0057648011610488	0.00575453618315575	0.00830151187542484	0.00785134600328595	0.00768153211059214	0.00405126759530826	0.00627640499951915	0.00663052612042898	0.00408356863476077	0.00139347492492935	0.0211866137605478	0.0295827375151563	0.0267755199098106	0.0040730378224305	0.00394323683266088	0.00708258302322723	0.00440917221421941	0.00915450309227242	0.00652462911600524	0.00860974108207641	0.0109144315417714	0.00411107900648484	0.00414477931387678	0.0156771976792802	0.00193527424549357	0.00195385099501862	0.011288380811459	0.0123793858518671	0.00511304323537545	0.00530795691933521	0.00457295401508593	0.0171444446024622	0.00138975844430882	0.00299876697724156	0.00658559216553157	0.00790650643810736	0.00434901209872994	0.012962586359951	0.00515260275879821	0.00513256996035846	0.0175505775238593	0.00503420940825439	0.00455710818506089	0.00831249110916433	0.00823496986497613	0.00155249034114485	0.00428962048127735	0.00763619921878258	0.00478436411046254	0.0119752231921255	0.00959283512078643	0.00904399480687113	0.00698814038182205	0.00116583485769659	0.00804790783442571	0.00699877470723752	0.00599317541628138	0.0106667166458184	0.00769345614258195	0.0052056770593363	0.00405309377446758	0.00742653219917675	0.00724481994587858	0.00186639780594815	0.00242885667612756	0.000309268288019455	0.0120739686361955	0.00696081277024418	0.00311066581966403	0.0139696242600241	0.00580649518420644	0.0052142103474586	0.0066121764064824	0.0127984727340301	0.00477458635220556	0.00435585661435762	0.00938814468057792	0.010776836474617	0.00544792339252656	0.0146290683743976	0.0112092099163103	0.00924688342025671	0.0154941583061248
A549_G1_1A_3	0.011451385082673	0.00722921060074394	0	0.00884839726698675	0.00372318423528094	0.0124461688150127	0.00210427136255041	0.0049626616604683	0.0121645159533884	0.0110908460132161	0.00862456903887873	0.00878597301391013	0.00345713984909342	0.00699325882403699	0.0253120859794693	0.0335929812086912	0.0297603687909202	0.0110485212658763	0.00857942218716606	0.00502973508720472	0.00333284894820269	0.0109075738367642	0.0108567953615608	0.00983947665085834	0.0160234121723995	0.00425808370028059	0.00845064184747549	0.0134584201651852	0.00843627051175891	0.00596278858414975	0.00877793793021931	0.00874560870663683	0.0022177634596228	0.00491877059127186	0.0108767128748542	0.0155479273927455	0.00658596329730534	0.00938822149779937	0.00115927047557831	0.0100441566402982	0.00502222053136563	0.0186053655610478	0.00214306984691454	0.0102027919345006	0.0204209557908002	0.0107856276596023	0.0115132103727254	0.00477156412117765	0.0116675149244571	0.00622057830941698	0.0112071213475967	0.00110431146655037	0.00333358426114436	0.0049094245523943	0.00512423854298256	0.0142344074963094	0.00475862704822518	0.00839341761685708	0.0083382326815344	0.00217259843159525	0.00234372113026928	0.0101323682009635	0.000495890827016889	0.00255385065568774	0.00486310564902692	0.0114810507050803	0.000485718237224785	0.00747383521440455	0.00624136161084807	0.00726918150683107	0.00716233153950261	0.00234242628827882	0.00907355133073834	0.0102882469555152	0.00756718351907749	0.00266409235011416	0.00720703759377913	0.0129939454243226	0.0118637889326963	0.0081469209644819	0.00912362660916905	0.013898314260911	0.00797242349454483	0.0184707567995592	0.0120637702688448	0.0148816726482899	0.0184618576975917
A549_G1_1B_1	0.00985895088793256	0.00851377886535949	0.00884839726698675	0	0.00523520527413457	0.00930985130904287	0.0109497391731632	0.013073291423317	0.0161893609269606	0.00944361179738123	0.00265351545396315	0.00234888067289065	0.00685484093800518	0.00713252156529309	0.0169127587073528	0.0250087979015382	0.020944003729482	0.00923214058428456	0.00536220973794446	0.00386047599141267	0.0093057526467374	0.0170822923759302	0.00505228293164048	0.00126178991743807	0.00920889694706257	0.00578516744616879	0.00502189418605602	0.0218637644289437	0.0104217342027467	0.0067831915888805	0.0171076561975147	0.0174258033970062	0.00756204439936192	0.0115155496824601	0.0128895653260848	0.0237710970402634	0.00938479439412679	0.00750523328820215	0.0094035472311667	0.00225248423467892	0.00491598737869905	0.0120427409417487	0.00768172154951194	0.00584381704143344	0.0116618059959924	0.0134996167306481	0.00942887689676414	0.0131423240856855	0.00433206035585532	0.00921898323390521	0.00916046830045432	0.00993950982596754	0.0061959914265016	0.0128476894590022	0.0138381183139604	0.0079573312719145	0.0124854868247579	0.00896017720414008	0.000542561767925625	0.0105687213912168	0.00658752319410143	0.0176466551442782	0.00922426194143535	0.0068216682365674	0.00529233139117008	0.00494368505637377	0.00928349487610023	0.00682561816562013	0.00614698774413651	0.00881152014223227	0.0160050009543781	0.00656498779844877	0.0116162204317763	0.0190211956989936	0.0133964431525647	0.00951939925141019	0.0137536203005256	0.0202576068179973	0.0121490411144465	0.0125605970629158	0.0164154137799615	0.00564400921806042	0.00323441941989289	0.0102008961098326	0.00324858286743257	0.0090272951806987	0.0097775221935835
A549_G1_1B_2	0.00924383342038719	0.0057648011610488	0.00372318423528094	0.00523520527413457	0	0.00976592295567913	0.00578754826671305	0.00789160615172313	0.0126541169615188	0.00882959016515507	0.00494652823279167	0.00508394960189134	0.00213471617573167	0.00485993714777469	0.0216012800952161	0.0298724824024051	0.0260680776856303	0.00871880886877992	0.00544337076232263	0.00175345988636207	0.00438429212965917	0.0126027888802951	0.00736861124071008	0.00614773176983636	0.0125201343081712	0.00165376052309287	0.00522923919791227	0.0166747596129438	0.00754702620942585	0.00388209659936596	0.0119186681484509	0.0121913958032014	0.00239370165161457	0.00664469733077317	0.0102358187590871	0.018633544984781	0.00588676348675105	0.00683977381583674	0.00417092553237645	0.00632189000077285	0.00177623168983184	0.0151960906392665	0.00250721981877788	0.00697375966040583	0.0167127505730721	0.010499538101922	0.00912580950258568	0.00792373675936806	0.00799700162573713	0.00557875578446832	0.00880631680930901	0.0047755871600578	0.00125371583697597	0.0082804020971144	0.00860629636241979	0.0107992027036161	0.00736618366493004	0.00676295485107372	0.00470525782960848	0.00533384697949855	0.00138528285047566	0.0126844849042558	0.00415576846200579	0.00163814820327699	0.00187311317165904	0.00790423698965087	0.004118017725456	0.00507860188738923	0.00373941727967921	0.00595588111895814	0.010816488143996	0.00177373685011194	0.00855727404498254	0.0137875411605528	0.00891241964255469	0.00441273032669121	0.00902022615914024	0.0154144906393438	0.0104735731362118	0.00862975907597652	0.0115060336869866	0.0101797344757156	0.00436895829506883	0.0147626451865541	0.00848248511996273	0.0115584634595073	0.0147442246748335
A549_G1_1B_3	0.00195332648356377	0.00575453618315575	0.0124461688150127	0.00930985130904287	0.00976592295567913	0	0.0138517024890501	0.0135938247754946	0.0106540609627572	0.00195364072865518	0.00671242876854043	0.00697635182467036	0.00899707878096456	0.00548490739652712	0.0164302881506422	0.0246882275770065	0.0226099575454616	0.001810874359322	0.00447394745381289	0.0102537707455232	0.0100758520938244	0.0136253238420462	0.0045135568539519	0.00860591388960702	0.00611830748130614	0.00840489688036638	0.00477504936321253	0.0210122313106392	0.00608687284279897	0.00648857421782839	0.0168605318182505	0.0180667014372139	0.0102285233378519	0.0110238882919555	0.00671719870082517	0.0222431138251422	0.0070458614092619	0.00305830493317119	0.0120419578118365	0.00743432629722838	0.00798985040772957	0.00753046060139553	0.0103060356514654	0.0034691681783522	0.0139747123600285	0.00772206104983782	0.00139093485271053	0.0140655006153724	0.006219275501406	0.00728319428942612	0.00154489097923655	0.0130698864877651	0.00933668488910887	0.0173445107226786	0.0153456282881066	0.00454141864477739	0.012726567253623	0.00478144028408149	0.0091134786492799	0.0126326920719162	0.0106166085951404	0.0158271394492963	0.0129389178497424	0.0100190323235108	0.00794463873465383	0.00513108658641469	0.0125775958763722	0.00497268322245925	0.00624023146157893	0.00590181559904088	0.0178279103903879	0.0114315555842127	0.00683707749281612	0.0196313937779224	0.0109732366386259	0.0108486166199008	0.0119674279473695	0.0175075221417048	0.00463419749345643	0.00909762961555277	0.0145973174957031	0.008095603749254	0.00644542490294779	0.0105277843853028	0.0105302181342911	0.00416726395022384	0.0120547466073409
A549_G1_1C_2	0.0126449678327891	0.00830151187542484	0.00210427136255041	0.0109497391731632	0.00578754826671305	0.0138517024890501	0	0.003485831389304	0.0118737177784937	0.0123226010261143	0.0106189117501594	0.0108010913239961	0.00510466050313278	0.0083738154987799	0.0273190206168325	0.0356258816334739	0.0318480721362924	0.0123153012725159	0.0102983070755656	0.00713341055825965	0.0039236188471525	0.00993215309962837	0.0127121860757057	0.0119263323747765	0.0178537873346988	0.00607779515814304	0.0102108556617907	0.0115044537136163	0.00912852903464647	0.00741496836453888	0.00691933529441442	0.00670698199452806	0.00388894843516771	0.00451128653465366	0.0112852217332652	0.0136478389023698	0.00736545603618714	0.0108167869965644	0.00185237720976905	0.0120895076975806	0.00692398975754511	0.0203601773347715	0.00377974676670864	0.0119292590387959	0.0224990813379058	0.0110039296799969	0.0127944154775384	0.00309340889450411	0.0136420502148656	0.00701983174452808	0.0125039530986651	0.00101296206919845	0.00521992386479261	0.00380458147126135	0.00311278156088039	0.0160301371857088	0.00362644959835959	0.00945118519211743	0.0104371534995984	0.00140962470426314	0.0044024922265294	0.00862737167025239	0.00178869594967043	0.0044395978130385	0.0067103106137731	0.0133862347171806	0.00167128724186959	0.00892846994371581	0.007822916203625	0.00826839563070527	0.00505816431758337	0.00443651080894986	0.00952278283416465	0.00821858526387929	0.00703778174767534	0.00310521722005958	0.00638961921769202	0.0115016517610543	0.0126267070667848	0.00810685589575886	0.00777136415536827	0.0159283176328954	0.0099235980948467	0.0204766896034236	0.0141676898095794	0.0166039379119102	0.0205291935951884
A549_G1_1C_3	0.0120250633953692	0.00785134600328595	0.0049626616604683	0.013073291423317	0.00789160615172313	0.0135938247754946	0.003485831389304	0	0.00903839098607848	0.0117957423758935	0.0120847148329868	0.0123439815397631	0.00632516877768712	0.00849114806994067	0.0285053412034745	0.0368992904845748	0.0335491623822439	0.0118574208692327	0.0109630063723843	0.00954541614029945	0.00400526585486395	0.00654290410146439	0.013610689628093	0.013842479292732	0.0185120101746977	0.00744316625074788	0.0109855784396201	0.00879245616622808	0.00790992307429416	0.00780713924386619	0.00403500387762738	0.00463420347463778	0.00551570153608468	0.00259863858641611	0.00941757532503191	0.0107506410888458	0.00655564844966087	0.0107896130267803	0.00394659515336984	0.0137258831234936	0.00837245428199016	0.020743759617216	0.00539737246489155	0.0125102913358569	0.024165536404693	0.00887262210762466	0.0123368474412931	0.000651240469818647	0.0149097721433052	0.00631122565834526	0.0120942960708773	0.00404274698534999	0.00688333449151102	0.00654771761477948	0.00199741541524578	0.0166336656906439	0.00087135047507421	0.00883260805036137	0.0125332938975189	0.00279372102391132	0.00665714723805379	0.00519409373188473	0.0049096756816398	0.00626475078763402	0.00804671211411601	0.0144143668930814	0.00448906768866563	0.00912824331582825	0.00841778579688701	0.0076922506772015	0.00431937878859827	0.00711366954787986	0.00786430721916892	0.00626439065111828	0.00423251381888978	0.00358105324944271	0.00329063510354468	0.00806847922323087	0.0112393994896763	0.00586037958470379	0.00428658198068156	0.0173812932089387	0.0112693634019337	0.0217320245242168	0.016313910037309	0.0169870481046042	0.0221316913784751
A549_G1_1D_1	0.00872163391019619	0.00768153211059214	0.0121645159533884	0.0161893609269606	0.0126541169615188	0.0106540609627572	0.0118737177784937	0.00903839098607848	0	0.00884723262231146	0.0139208530070154	0.0142780170812812	0.0105444352150415	0.00907196670371156	0.027057864348113	0.0352373697262294	0.0332399395102067	0.00906534492380853	0.0113750087172607	0.0142758338716085	0.00893678781278172	0.00414584930884244	0.0136090956579412	0.0162712272648568	0.0167692380104215	0.0111530570402317	0.0116425499215611	0.0122920848926567	0.00581751307583763	0.00946027244277607	0.00975798576280064	0.0115397659797407	0.0109103443342637	0.00738709520775394	0.00395106143977284	0.0128136802053307	0.0069106203621842	0.00962621274674266	0.0110535088467408	0.0154971608505152	0.011708838198899	0.0179449873556323	0.0108671837011719	0.0120944444123293	0.0243926047149225	0.00299057402071055	0.00933729482793544	0.00968511293907648	0.0154747104770078	0.0071565480618781	0.00932564020824265	0.0118516446514088	0.0114286476449964	0.0154688817185895	0.0109282425937357	0.015111281661793	0.00845825936481809	0.00744365884973506	0.0157148847486004	0.0105558812426271	0.0122452875061632	0.00735130969329973	0.012435558713988	0.0114323603889817	0.0113509997008568	0.014506255460811	0.0118809021191993	0.00946091016057588	0.0100564213104352	0.00738064765292541	0.0127081818720815	0.0131741378934267	0.00461737412549825	0.0126253480463333	0.00486758069695107	0.00950595552894141	0.00575333199078083	0.00774355826142137	0.00612056055068825	0.00408885147321759	0.00661443915590518	0.0179073908090043	0.0131126099331025	0.0210948964998133	0.0188473063909053	0.0148200846582765	0.0223888514784073
A549_G1_1D_2	0.000431889652147768	0.00405126759530826	0.0110908460132161	0.00944361179738123	0.00882959016515507	0.00195364072865518	0.0123226010261143	0.0117957423758935	0.00884723262231146	0	0.00679231125531045	0.007113486110197	0.00771216473345379	0.00412789270642058	0.0183207976818901	0.0266083940507883	0.0244032097746755	0.000242837552756421	0.00413233145468831	0.0096211585453933	0.00845566276049638	0.0116863709962951	0.00527803072902369	0.00897785002246355	0.00796095615205309	0.00731174817968556	0.00447534400929957	0.0190681145618798	0.00414695790157063	0.00518038567902959	0.0149583115725433	0.0162077759264611	0.00889211985698218	0.00920612894976922	0.00489663601117693	0.0202898873646805	0.00524521389833739	0.0020757895098702	0.0105628344829284	0.00789893206945808	0.00708730509414028	0.00948358194690136	0.00895493942318917	0.00386198175098873	0.0155939714845332	0.00587568647078011	0.00056810167661265	0.0122941406549736	0.00715435683646038	0.00551619908731144	0.000479023020508495	0.0116083228351088	0.00819250596355162	0.0159334916900942	0.0136027040823315	0.00626539245311898	0.0109249403113181	0.00297057028184218	0.00914551404292915	0.0110421392805958	0.00948098869645459	0.0138766363108089	0.0115737561230454	0.00879807991739731	0.00695740099799033	0.00608214811188596	0.0111668067385582	0.00376678146442059	0.00511293979880789	0.00414576531253245	0.0160704997652207	0.0103706111946555	0.00488660977147713	0.0177566328048094	0.0090314395297806	0.00925446059079197	0.010039298296902	0.0155628257753267	0.00308179310572043	0.00714539389394352	0.0126502718356112	0.00935295456304441	0.00629403172120463	0.0122506650619225	0.0112092065540503	0.0060483416559126	0.0136192060669691
