	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.00851377886535949	0.00830151187542484	0.00405126759530826	0.00408356863476077	0.0267755199098106	0.0040730378224305	0.00915450309227242	0.00860974108207641	0.00414477931387678	0.011288380811459	0.00511304323537545	0.00457295401508593	0.00138975844430882	0.00790650643810736	0.00515260275879821	0.00503420940825439	0.00155249034114485	0.00763619921878258	0.0119752231921255	0.00698814038182205	0.00699877470723752	0.0052056770593363	0.00724481994587858	0.00242885667612756	0.00696081277024418	0.00311066581966403	0.0052142103474586	0.00435585661435762	0.010776836474617	0.0112092099163103
A549_G1_1B	0.00851377886535949	0	0.0109497391731632	0.00944361179738123	0.00685484093800518	0.020944003729482	0.00923214058428456	0.0170822923759302	0.00126178991743807	0.00502189418605602	0.0171076561975147	0.00756204439936192	0.0128895653260848	0.00938479439412679	0.00225248423467892	0.00768172154951194	0.0134996167306481	0.00921898323390521	0.00993950982596754	0.0128476894590022	0.0124854868247579	0.0105687213912168	0.0068216682365674	0.00928349487610023	0.00614698774413651	0.00656498779844877	0.0116162204317763	0.00951939925141019	0.0125605970629158	0.00564400921806042	0.00324858286743257
A549_G1_1C	0.00830151187542484	0.0109497391731632	0	0.0123226010261143	0.00510466050313278	0.0318480721362924	0.0123153012725159	0.00993215309962837	0.0119263323747765	0.0102108556617907	0.00691933529441442	0.00388894843516771	0.0112852217332652	0.00736545603618714	0.0120895076975806	0.00377974676670864	0.0110039296799969	0.00701983174452808	0.00101296206919845	0.00380458147126135	0.00362644959835959	0.00140962470426314	0.0044395978130385	0.00167128724186959	0.007822916203625	0.00443651080894986	0.00952278283416465	0.00310521722005958	0.00810685589575886	0.0159283176328954	0.0141676898095794
A549_G1_1D	0.00405126759530826	0.00944361179738123	0.0123226010261143	0	0.00771216473345379	0.0244032097746755	0.000242837552756421	0.0116863709962951	0.00897785002246355	0.00447534400929957	0.0149583115725433	0.00889211985698218	0.00489663601117693	0.00524521389833739	0.00789893206945808	0.00895493942318917	0.00587568647078011	0.00551619908731144	0.0116083228351088	0.0159334916900942	0.0109249403113181	0.0110421392805958	0.00879807991739731	0.0111668067385582	0.00511293979880789	0.0103706111946555	0.00488660977147713	0.00925446059079197	0.00714539389394352	0.00935295456304441	0.0112092065540503
A549_G1_1E	0.00408356863476077	0.00685484093800518	0.00510466050313278	0.00771216473345379	0	0.0272504821247376	0.00765212176640347	0.0105146901405951	0.0075372859242776	0.00510674677308757	0.0103392531665826	0.00125055212434329	0.00832664315931792	0.00390018411285691	0.00740594062286297	0.00134434310349543	0.00849938770637985	0.00356451256278263	0.00419731006983942	0.00836608805024818	0.00566994659254047	0.00418609037549697	0.00112307447848314	0.00363607784302633	0.0027854542780792	0.00289794537627539	0.00658737828620469	0.00274735681657994	0.00650211234868597	0.0111168234490872	0.0100601365208984
A549_G1_1F	0.0267755199098106	0.020944003729482	0.0318480721362924	0.0244032097746755	0.0272504821247376	0	0.0241905011848781	0.0358179262627628	0.01992552463687	0.0228130885669994	0.0375041575884753	0.028223067426991	0.0292926362155343	0.0281192758625884	0.0198556293666175	0.0283444362042064	0.0302754423333766	0.0281568455134458	0.0308356038323128	0.0336717435346913	0.0328319557735975	0.0313164455887192	0.0275367815612686	0.0301775794256885	0.0253069820970588	0.0275051348608885	0.0290750916836687	0.0299922732642685	0.0310312951147845	0.0161927792175914	0.0178285233629952
A549_G1_1G	0.0040730378224305	0.00923214058428456	0.0123153012725159	0.000242837552756421	0.00765212176640347	0.0241905011848781	0	0.0118636733637658	0.0087528116419189	0.00428002782831933	0.0150624162123191	0.00884346634367227	0.00511605910982172	0.00530219298732524	0.00766860500523896	0.00890904979337956	0.00608904216037047	0.00556213328483857	0.0115866052018528	0.015904943618709	0.0109874181401638	0.0110473842375622	0.00872942310667202	0.0111348258166537	0.00501774689812711	0.0102797939465572	0.00505471136159223	0.00925881258913484	0.00729259124642589	0.00911144216758556	0.0109736007921366
A549_G1_1H	0.00915450309227242	0.0170822923759302	0.00993215309962837	0.0116863709962951	0.0105146901405951	0.0358179262627628	0.0118636733637658	0	0.0174613822862387	0.0132856001374567	0.00592442481669616	0.0103945628594074	0.00717086390489769	0.00791869253230663	0.0169262827774262	0.0103114548183479	0.00617183294795402	0.00798780225588003	0.0102531372108557	0.0130340200421039	0.00631353262525231	0.00888043701324659	0.0110815610071919	0.0105064243001038	0.0111120892107367	0.0125529498677968	0.00681753175618392	0.00851851909392313	0.00481008688181024	0.0199275869385566	0.0200873332197802
A549_G1_2A	0.00860974108207641	0.00126178991743807	0.0119263323747765	0.00897785002246355	0.0075372859242776	0.01992552463687	0.0087528116419189	0.0174613822862387	0	0.00475144718226261	0.0178687598332641	0.00837618700829527	0.012794405785175	0.00962216807428625	0.00120101791933634	0.00849758259062849	0.0134800343967822	0.00950037479433347	0.0109134349138566	0.0139983342056863	0.0132066605632	0.0114428827061237	0.0076605578431298	0.0102551458302704	0.00637044148977152	0.00761327159759597	0.0116594215446152	0.0102639435910978	0.0128201384710659	0.00439404874702409	0.00262743630800193
A549_G1_2B	0.00414477931387678	0.00502189418605602	0.0102108556617907	0.00447534400929957	0.00510674677308757	0.0228130885669994	0.00428002782831933	0.0132856001374567	0.00475144718226261	0	0.0148072073179661	0.00633195224772445	0.00805759129873508	0.00538680872851358	0.00386449971189215	0.00643658287188851	0.00878085778856724	0.00537828207956656	0.00928842543269696	0.0133108617891386	0.0101969420118705	0.00924067874017172	0.00589816289982396	0.00869846128165799	0.00256793799433488	0.00698338662921457	0.00703135356561168	0.0076072854444531	0.00849842361799942	0.00668603990712005	0.00724177568385854
