	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0136014314261268	0.0189877887729455	0.0031339991495302	0.0128664852892987	0.0305884873946603	0.0063450198806937	0.0320998175133533	0.012164087510576	0.0125542664173567	0.0170938662288864	0.00970656822635586	0.0083666178919383	0.0335954260515993	0.010809207376564	0.00818153395448866	0.0296975976247511	0.0242160575640574	0.0197955866063887	0.0180739976591277	0.0181054729181966	0.00965613181007033	0.00424518074438284	0.0115812425471253	0.0108377360395331	0.020788580262908	0.00421005209003898	0.0164306262598846	0.0256695302322609	0.00567085555705415	0.0101789012803639	0.0292970629090075	0.00688200887296825	0.00672450946146268	0.00795780246208858	0.023590221018966	0.00752345734680614	0.0126178420096797	0.0154680664476331	0.0119116005991844	0.00861368109113595	0.00922165969921668	0.00804438544734042	0.0090171062856874	0.0120684468584596	0.0100084993922731	0.0102858015729608	0.03371972397356	0.0235742997406958	0.0239295525046663	0.0298597275377666	0.00645208772497491	0.0129513196548112	0.0231905820453468	0.0497991526702847	0.00407433291294111	0.0180728706138556	0.0449107476707662	0.0108311474519263	0.00681497706709601	0.0281346599248076	0.0202440739109758	0.0190274419270702	0.0185418746953527	0.00908709270662405	0.0120426148987938	0.00573607930428281	0.00252461764786833	0.00803810178249948	0.00504276170047788	0.00826773281080204	0.0170685457253709	0.0115742587613932	0.00305408804006664	0.0265563192972895	0.0108856070200997	0.014226539730445	0.0405408433246288	0.0224209460227999	0.0115803198709872	0.030054478540595	0.0163031273296731	0.00876629892858369	0.0163427003851295	0.011544778902739	0.0089484859705142	0.00460670761127612
A549_G1_1A_2	0.0136014314261268	0	0.0125489519269053	0.0104977502774545	0.0138798451812131	0.0190237683452607	0.00955838013413056	0.0243814892698786	0.00177863626172898	0.00412852907020325	0.00810362768009882	0.00749473944321827	0.00595931450258012	0.0216563494195877	0.00406712417251378	0.00796855434681843	0.0196509378028069	0.035939753812479	0.0311093111244222	0.013993236158442	0.0207340377895304	0.0172398528055269	0.0106965550517027	0.0223932018646493	0.0126399387404146	0.0177538725410491	0.0144474592248813	0.00701129595696419	0.0179898566722749	0.00813960822540797	0.00555156811194257	0.0218351808318841	0.0107263265863749	0.00800990582118234	0.0132245998090254	0.0106845724821091	0.0199152365876477	0.0148454193191214	0.00336806326264814	0.0222833385681592	0.0106036767439712	0.0044059383777778	0.020387172986709	0.00612538482613198	0.00506011203797001	0.0105734261398309	0.00332064029937411	0.0266784214874518	0.0210216039073268	0.0143387278032232	0.0359687730390677	0.017503159122194	0.00860665679524439	0.0186217315084949	0.04088163520697	0.00966150318517918	0.00801872921776367	0.0365513157943846	0.0130824762501632	0.00684713825151786	0.0184156209857005	0.0311731506163205	0.0300985856677025	0.0270420818003471	0.0194628622694235	0.0239589970456325	0.0185687836673311	0.0122420109092971	0.0074568409017521	0.0104064066599974	0.00945554885717432	0.0092893331775295	0.00404921083501081	0.0107862750780904	0.0179204809500776	0.020638940314102	0.00664908570382927	0.0303125019609776	0.0284549804453085	0.0147451977878246	0.0179847394923415	0.0257642609223729	0.0208075510189581	0.0191856033765337	0.010137798018093	0.0163448480949099	0.0152469212875834
A549_G1_1A_3	0.0189877887729455	0.0125489519269053	0	0.0170633410983132	0.00852629603047812	0.0136322075948995	0.0126502938879671	0.0131958905101007	0.0136897656045508	0.0164835805382541	0.00465372901567305	0.0187351133381257	0.0120365555062704	0.0167951111060646	0.0106106998574366	0.0109884471230481	0.0113060731003594	0.0431750295974714	0.0387701653872468	0.0265132659892333	0.0323799163408078	0.0267388287483422	0.0147447929229742	0.0303716773115089	0.0237901543428513	0.0059563450669193	0.0221337866772545	0.00568251865059077	0.0066863582396682	0.0143162048389925	0.0169376657138284	0.0104060042720861	0.0204759390922775	0.0126855822823256	0.0231174389697166	0.0116051073571699	0.0265093022290649	0.0261673414560382	0.0095994213364308	0.0305703460196547	0.0211913975086873	0.0138769526555224	0.0270299930169191	0.016833784792988	0.00862840973076772	0.0217310992682271	0.0132969185321961	0.0150557794303217	0.0089503350523305	0.00603073629832718	0.0469056594829216	0.0250956199561423	0.00611574029295275	0.00610572489953856	0.0308349740457793	0.0155474666609261	0.00548496871779461	0.0259958727751491	0.0241516012164935	0.0151492838260202	0.00966073198200773	0.0391802803497336	0.037975990307467	0.0366329351112186	0.0276235351201232	0.0310268972459074	0.0247006822881311	0.0193334326100878	0.0113472267528081	0.0190579161700187	0.0107288779581221	0.00327230086769229	0.0160437381070695	0.0177331592138875	0.00767847598992903	0.0292531363347667	0.0191773046048507	0.0218169814705681	0.0392593347733338	0.0257412099493344	0.0139870586920853	0.0347539385105012	0.0277446539541389	0.0306847937563604	0.0218681892160582	0.02582603375174	0.0172163576752241
A549_G1_1B_1	0.0031339991495302	0.0104977502774545	0.0170633410983132	0	0.0121657069519808	0.0279559245218129	0.00474414821622609	0.0302558820799219	0.00903366891516578	0.00949142421122395	0.0146277001981206	0.00700507760538479	0.00559547683415835	0.0309045986956412	0.00796272563057786	0.00608088924038188	0.0273544828730784	0.0265323382784098	0.0219262324954712	0.0159283301779555	0.0174667477120353	0.0100035456400053	0.00310670245374239	0.0133590945442528	0.00935006460383633	0.0196550382420689	0.00507136925182376	0.0138645974747928	0.023723558038935	0.00289176968866336	0.00718641082701554	0.027464158723193	0.00512542693312824	0.00438279277548636	0.00711708549125565	0.0206552805228723	0.00990672399823377	0.0114784005192904	0.0125266619306606	0.0135200855723105	0.00673344774739136	0.00610259202324866	0.0104161258519351	0.00602730629635659	0.00943946225645908	0.00802896480660798	0.00717748569133622	0.0320384549669184	0.0226521359515216	0.0215839383226222	0.030483158270946	0.00808162092300903	0.0109482636739696	0.0218132024451078	0.04783667652858	0.00152555864236734	0.0154874596245302	0.0430454212379131	0.0094738302501671	0.00368320507099342	0.0258355878041905	0.0222406729936689	0.0210602031445594	0.019672748653782	0.0105670019198418	0.0143020313849593	0.00831925003359012	0.00227389351270503	0.00573461779398928	0.00305413752307573	0.00670758745847186	0.0147989890527888	0.0084940680243073	0.000715027714793905	0.0244413473755342	0.0121978639576886	0.0113456404273154	0.0382467832828015	0.0228847977104069	0.0105983880020463	0.0273182383171657	0.0177047147121249	0.0110073272628103	0.0156678469761585	0.00934997644546529	0.00914117004247137	0.00636227512498049
A549_G1_1B_2	0.0128664852892987	0.0138798451812131	0.00852629603047812	0.0121657069519808	0	0.0221185666471953	0.00753114456421655	0.0203177585788797	0.0139821795059031	0.0164709850570029	0.0099680245640019	0.0168486079134612	0.00954239207456665	0.0252880370668598	0.0100275386598217	0.00721779966021066	0.0197464075878783	0.0362565014566954	0.032195633374441	0.025989227889852	0.0294566742063445	0.0220910726524183	0.00912345244869133	0.0243779663870321	0.020973288361815	0.00807474280056192	0.0168040388943954	0.01020710510002	0.0144676686315302	0.0103100028303686	0.0156354554408488	0.017578113935104	0.0169118089573576	0.00866827546922032	0.0192205544419489	0.0184491369155876	0.0200264276019536	0.0232835499545922	0.0126594972520236	0.0247547930043129	0.0182019007945261	0.0123554778218934	0.020529350686287	0.0149629416168733	0.00886375221205387	0.019207610317703	0.0124709389908327	0.0215452218311485	0.010713425315327	0.0145396067623632	0.0425439885181213	0.0193177521357144	0.0056895592797001	0.0107368139368889	0.0380145100549975	0.010765703584402	0.0113619815406343	0.032955846823903	0.021203497818258	0.0121642675779783	0.0180988027862473	0.0327845954979682	0.031548815536819	0.0313933394478632	0.0219523101030869	0.0244766789254788	0.0181444097371808	0.0141561430834807	0.00788796580892426	0.0149897930841462	0.00582774696743116	0.00881897405366499	0.0156178037902431	0.0128754158787667	0.0158849050880134	0.0237453854803315	0.0192998196473403	0.0299178420054544	0.0349929351551526	0.022537133833481	0.022332479852907	0.0291626555519643	0.0213442063546657	0.0276627815382152	0.0199923291918004	0.021259571756579	0.00972234115204411
A549_G1_1B_3	0.0305884873946603	0.0190237683452607	0.0136322075948995	0.0279559245218129	0.0221185666471953	0	0.024513184544525	0.0112247774002019	0.0207883251965458	0.0228207466024419	0.0135706433312567	0.0265112641030151	0.0223619302327908	0.00317196394854157	0.0200451252900138	0.0225156639820653	0.00447393282248351	0.0544087790832492	0.0496984567207456	0.0310163938213606	0.0392551131623952	0.0361848434442746	0.0265271758612322	0.0409924655121758	0.0315979372431162	0.0175320333276578	0.0327285976853233	0.0141625150151591	0.00988814847060422	0.0250774198758901	0.024573830782574	0.0107145426213155	0.0296148825822145	0.023866476793573	0.0321899557046911	0.008997498316118	0.0378580446277505	0.0337066353178465	0.0159203394713312	0.040985612771841	0.0296207346829903	0.0227295606930534	0.0383671880264159	0.0250880467220545	0.0185422853455653	0.0295620830395549	0.0217177410761316	0.0137508530012419	0.0188407254713983	0.007604667404691	0.0547100458191203	0.035845773532817	0.0182502790653391	0.0153259749164673	0.0229804362101344	0.0266154631403217	0.0125190647603484	0.019527777059691	0.0320516591635713	0.0248950907773267	0.00538748788713124	0.0498791721725366	0.0487536806438031	0.0460458104795166	0.0380760382975515	0.042217615397283	0.0362273121515658	0.0301229263331567	0.0225702051620633	0.0289157946420087	0.0229305125625006	0.0139534001720315	0.02301102025683	0.0284869878283108	0.00794553968365	0.0394178506823615	0.0244800211915797	0.0117547889881498	0.0473183866674197	0.0337072235404094	0.00195013943998644	0.0446831236132709	0.0389409230297889	0.0378542010566551	0.028943040968354	0.0352764615187475	0.0299610257516119
A549_G1_1C_2	0.0063450198806937	0.00955838013413056	0.0126502938879671	0.00474414821622609	0.00753114456421655	0.024513184544525	0	0.025794121679264	0.00876358599732282	0.0105078156191044	0.0109458526265302	0.00976513594807254	0.00362024529544842	0.0275807302848774	0.00573597254994683	0.00203526874530675	0.0234072468129535	0.0305576099923763	0.026125638865669	0.0190664980530116	0.0219308126267258	0.0147473447547996	0.00210100079110108	0.0177759917829774	0.0134914719784731	0.0149138523914656	0.00968624533098955	0.0104033668138993	0.0193353039559615	0.0028959205807886	0.00896269069326617	0.0229920953521453	0.00938700905865234	0.0016731533729411	0.0117027190258902	0.018166375376824	0.0138668017631325	0.0157762731473896	0.0103086464455609	0.0180221380830943	0.0107291521102734	0.00614375300011178	0.0143877784095553	0.00805035780990297	0.00630812967582458	0.0118102118900112	0.00678645056766121	0.0274768822314031	0.0179130272606224	0.0176522483968815	0.0352240940106794	0.0125207373699019	0.00661024897279176	0.0171146458079573	0.0434751621612517	0.00326958655397249	0.012040620890362	0.0386073987196756	0.0137028807092384	0.00500505023146248	0.0218293525382542	0.0265445281293736	0.0253360967201323	0.0243575641072029	0.0151018741120333	0.0183823647183303	0.0120751077240738	0.00690781032721198	0.00222946469369365	0.00746203766639728	0.00199052468944079	0.0107842700541949	0.00950611520702762	0.00545857525724928	0.0202143578074596	0.0168057554523891	0.013081129509691	0.0342251855611811	0.0276218975817629	0.0150109828352907	0.0241210156926848	0.0223073548553285	0.0150968743469151	0.0201356282847831	0.0127591650472204	0.0138830421055731	0.00590852823788336
A549_G1_1C_3	0.0320998175133533	0.0243814892698786	0.0131958905101007	0.0302558820799219	0.0203177585788797	0.0112247774002019	0.025794121679264	0	0.0258757525891847	0.0285079404966695	0.016516667081327	0.0313794209101847	0.0251442349395335	0.0127569453341263	0.0234610421692499	0.0241808315850201	0.00693986561298537	0.056196843431538	0.051877542858863	0.0381001294094614	0.0449854539164147	0.0398719789871633	0.0278733656587464	0.0435452809058188	0.0365533838668943	0.01274849668976	0.0353246198236891	0.0175656493357354	0.00658810004236112	0.0275004413431158	0.0294791271608154	0.00280398563886608	0.0335088769275317	0.0258792324769955	0.0361681373710111	0.017606225500711	0.039604685715837	0.0388913131913118	0.0210335349442129	0.0437542259587054	0.0340765767305787	0.0266944410384004	0.0401239089468987	0.0295713710127583	0.0215136747433297	0.0344631674154611	0.0259561122426713	0.00263461079780908	0.0119676114659801	0.0102081810505099	0.0598522667617224	0.0382754590802384	0.0193106275093916	0.00983459007893493	0.0177605317414737	0.0287396107717043	0.0163684290431488	0.0128199723154332	0.0369463865300692	0.0282152340946483	0.00702403347617091	0.0523199829868922	0.0511094265438597	0.0497921479865649	0.0408106306287334	0.0441239926668104	0.0377715342841143	0.0325247620203	0.0245392128520287	0.0321916211858793	0.023838627942694	0.0157879814172475	0.0283027863233581	0.0309253648234291	0.00649835110819412	0.0424408689404839	0.0308784281645294	0.0106305883947813	0.0522277127490219	0.0385767406311132	0.0130715916022562	0.0479380431871695	0.0408605873557886	0.0433601958674107	0.0343629429403123	0.0389550358623326	0.0298736708006542
A549_G1_1D_1	0.012164087510576	0.00177863626172898	0.0136897656045508	0.00903366891516578	0.0139821795059031	0.0207883251965458	0.00876358599732282	0.0258757525891847	0	0.00280616818268016	0.00943928551517191	0.00575192418695046	0.00516769420759737	0.0234330762564568	0.00395998946906983	0.00745338554950908	0.0213245394002408	0.0341873116483032	0.0293491597118352	0.012871571710309	0.0191455918759518	0.015461428822361	0.00961233170931038	0.0206380144478993	0.0109299041517192	0.0185947951102583	0.012756205068336	0.00835737393684232	0.0194169423990794	0.00692395742680151	0.00379958452634344	0.023282573112695	0.0089524801264728	0.00712370329237959	0.0114462177048737	0.0124543565101547	0.0182489646086308	0.0131723652598487	0.00500613639720141	0.0205183431485437	0.00883486822356424	0.00297117291716158	0.0187136861920938	0.00434794123229464	0.00552650659410319	0.00884999995361418	0.00201963691433221	0.0281217121058416	0.0218775884455349	0.0159261994665737	0.0342961262794839	0.0157888997415143	0.00911057011885881	0.0196836971948902	0.0425343563848333	0.00835458239366265	0.00952412532115905	0.0381538948370953	0.0113652320837845	0.00535057579482943	0.0200543682546273	0.0294041203561239	0.0283336091665014	0.0252714694598819	0.017709496992257	0.0222395887652961	0.0169521996122005	0.010647075392019	0.00685466341634504	0.00870005262989427	0.0090215304863818	0.0104864175364985	0.00242794589646744	0.00925725655429941	0.0194504175785806	0.0188683540906131	0.0056074962569224	0.0320310890880443	0.0267570219806963	0.0130283869489049	0.0197617461808332	0.0239861064348822	0.0191115698328479	0.0175618125266528	0.00851647226298793	0.0145665120974862	0.0141950849486802
A549_G1_1D_2	0.0125542664173567	0.00412852907020325	0.0164835805382541	0.00949142421122395	0.0164709850570029	0.0228207466024419	0.0105078156191044	0.0285079404966695	0.00280616818268016	0	0.0121675434284634	0.00402152219414972	0.0071599774012098	0.0253022881502935	0.00657681335199025	0.00957857268881752	0.0237005594454936	0.0330050837935043	0.0281125003990591	0.0100660275048744	0.0166477863890891	0.0139469767962239	0.0108771083312551	0.0195082954714149	0.00880897234665273	0.0213855318004876	0.0121958274685285	0.0110780822100708	0.0221025807198168	0.00811822189159442	0.00249269724653192	0.0259541775610942	0.00781542561672156	0.00883719503202427	0.00997766646774582	0.0141329511553751	0.0177024546656373	0.0108917710159899	0.00749048419359995	0.0192833988927642	0.00719390636649295	0.00437500236207757	0.0181264153799272	0.0035984648045033	0.00828724817892832	0.0068344502399831	0.00400704062276158	0.0307966872199335	0.0246686436317499	0.0184567197889825	0.0319723788813672	0.0150271375300477	0.0118424139071957	0.0224880405080902	0.0449392343791078	0.00925073658348039	0.0121443825754486	0.0406517254013653	0.00927186923626182	0.00606555731255756	0.0225019684716034	0.0280586438296898	0.0270471405854039	0.0234699464000606	0.0166291493652196	0.0213645716205236	0.0166394383234563	0.0105929080972856	0.00892351229188556	0.00822447955363607	0.0111635047388311	0.0132650113087291	0.00103092603605374	0.00950444346531255	0.0220478422759536	0.0175706485122599	0.00285841927641075	0.0342681375961806	0.0245177548896937	0.0109147146039048	0.0216420142926279	0.022415005430851	0.0184046709112269	0.0151360954394153	0.00613067478775605	0.0131020667490434	0.0153650295745791
