	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.0104977502774545	0.00955838013413056	0.00177863626172898	0.00749473944321827	0.00406712417251378	0.0311093111244222	0.0172398528055269	0.0223932018646493	0.00701129595696419	0.00813960822540797	0.0107263265863749	0.0132245998090254	0.0199152365876477	0.0106036767439712	0.00612538482613198	0.0105734261398309	0.0143387278032232	0.017503159122194	0.0186217315084949	0.00966150318517918	0.0130824762501632	0.0300985856677025	0.0194628622694235	0.0074568409017521	0.00945554885717432	0.00404921083501081	0.020638940314102	0.0147451977878246	0.0208075510189581	0.010137798018093
A549_G1_1B	0.0104977502774545	0	0.00474414821622609	0.00903366891516578	0.00700507760538479	0.00796272563057786	0.0219262324954712	0.0100035456400053	0.0133590945442528	0.0138645974747928	0.00289176968866336	0.00512542693312824	0.00711708549125565	0.00990672399823377	0.00673344774739136	0.00602730629635659	0.00802896480660798	0.0215839383226222	0.00808162092300903	0.0218132024451078	0.00152555864236734	0.0094738302501671	0.0210602031445594	0.0105670019198418	0.00573461779398928	0.00670758745847186	0.0084940680243073	0.0121978639576886	0.0105983880020463	0.0110073272628103	0.00934997644546529
A549_G1_1C	0.00955838013413056	0.00474414821622609	0	0.00876358599732282	0.00976513594807254	0.00573597254994683	0.026125638865669	0.0147473447547996	0.0177759917829774	0.0104033668138993	0.0028959205807886	0.00938700905865234	0.0117027190258902	0.0138668017631325	0.0107291521102734	0.00805035780990297	0.0118102118900112	0.0176522483968815	0.0125207373699019	0.0171146458079573	0.00326958655397249	0.0137028807092384	0.0253360967201323	0.0151018741120333	0.00222946469369365	0.00199052468944079	0.00950611520702762	0.0168057554523891	0.0150109828352907	0.0150968743469151	0.0127591650472204
A549_G1_1D	0.00177863626172898	0.00903366891516578	0.00876358599732282	0	0.00575192418695046	0.00395998946906983	0.0293491597118352	0.015461428822361	0.0206380144478993	0.00835737393684232	0.00692395742680151	0.0089524801264728	0.0114462177048737	0.0182489646086308	0.00883486822356424	0.00434794123229464	0.00884999995361418	0.0159261994665737	0.0157888997415143	0.0196836971948902	0.00835458239366265	0.0113652320837845	0.0283336091665014	0.017709496992257	0.00685466341634504	0.0090215304863818	0.00242794589646744	0.0188683540906131	0.0130283869489049	0.0191115698328479	0.00851647226298793
A549_G1_1E	0.00749473944321827	0.00700507760538479	0.00976513594807254	0.00575192418695046	0	0.00813966052765818	0.0240921613725261	0.00994180207230039	0.0154971840669823	0.013823841049801	0.00690115103134736	0.00389071118217153	0.00595800456529082	0.0139015626871567	0.00318990844749	0.00195492454904564	0.00311372759376858	0.021582310367232	0.0111445240259325	0.0244695130416771	0.00739110575635916	0.00562988907799513	0.0230275465026944	0.0126311027080945	0.00896640947633521	0.0110698270194012	0.00353817126980998	0.0135495393786567	0.00729041780953893	0.014518956341782	0.00321480574984543
A549_G1_1F	0.00406712417251378	0.00796272563057786	0.00573597254994683	0.00395998946906983	0.00813966052765818	0	0.029687337882104	0.0165862461950537	0.0209992998289686	0.00615337320468882	0.00514601422361474	0.0100901939730046	0.0127558536320383	0.0178513562456642	0.0106306172648585	0.00622477113719512	0.0111222986869189	0.0140525685882428	0.0158121767396095	0.0163486680031544	0.0067376585689383	0.0135560511020302	0.0287632136157306	0.0181009083471184	0.00352892545396465	0.00540012836371141	0.00585267448515814	0.019535289477241	0.0151621021919938	0.0189095421571577	0.0113088920586007
A549_G1_1G	0.0311093111244222	0.0219262324954712	0.026125638865669	0.0293491597118352	0.0240921613725261	0.029687337882104	0	0.014246151412126	0.00873083365330472	0.03574711725258	0.0248093573462669	0.0204270465094563	0.0181410015857635	0.0122861423855053	0.0209388572685844	0.0250294536717671	0.0215699853693358	0.043501052883563	0.0138853123252997	0.0428148820253133	0.0233801408953321	0.0195923899009118	0.00118291579780492	0.0116628410373825	0.0276107735131317	0.0280612006634641	0.0275395185581329	0.0105441672790496	0.0183071985248316	0.0110313797496626	0.0228991197930346
A549_G1_1H	0.0172398528055269	0.0100035456400053	0.0147473447547996	0.015461428822361	0.00994180207230039	0.0165862461950537	0.014246151412126	0	0.00600942630230519	0.022729459568577	0.0124819137869059	0.00658150452806769	0.00401793785569298	0.00687694393700066	0.00675472326648528	0.0111202061586646	0.00732566756229993	0.0306315685932815	0.00447978161146865	0.0317616367740541	0.0114983967250604	0.00551983970941261	0.0131484782207349	0.00371524254414988	0.0154665468826621	0.0167035525567469	0.0134556895453243	0.0038156628212251	0.00463062005785066	0.00661204324630139	0.00870782250540608
A549_G1_2A	0.0223932018646493	0.0133590945442528	0.0177759917829774	0.0206380144478993	0.0154971840669823	0.0209992998289686	0.00873083365330472	0.00600942630230519	0	0.0270938314734035	0.0162134339294914	0.0117480013327006	0.00960548209091993	0.0046424696952106	0.0124030536420738	0.0163336337956603	0.013190976451267	0.034900873869964	0.00528152962839091	0.0347656544136431	0.0148516947943114	0.011528588589002	0.00776870040480834	0.0029329462457116	0.0190883984976909	0.0197523086186125	0.0188874871817551	0.00225012584103668	0.0105515915456736	0.00336414224677383	0.0146635894190009
A549_G1_2B	0.00701129595696419	0.0138645974747928	0.0104033668138993	0.00835737393684232	0.013823841049801	0.00615337320468882	0.03574711725258	0.022729459568577	0.0270938314734035	0	0.0109735372886708	0.0162028286736097	0.018863690131486	0.0237528695696163	0.0166035463973599	0.0120469209087526	0.0169192022815053	0.00790488286237176	0.021867457138618	0.0117853528696034	0.0124824908650164	0.0194160829850726	0.034846129146434	0.0242128684165735	0.00841030589975162	0.00897555394773763	0.0107785619010449	0.0256755342261199	0.0210588722367488	0.0248702019240288	0.0168087359032529
A549_G1_2C	0.00813960822540797	0.00289176968866336	0.0028959205807886	0.00692395742680151	0.00690115103134736	0.00514601422361474	0.0248093573462669	0.0124819137869059	0.0162134339294914	0.0109735372886708	0	0.00665526972607506	0.00911840828699076	0.0127885167122875	0.00789271375371645	0.00527278245052514	0.00893152061368852	0.0187037102154138	0.0109468337244556	0.0193083799359994	0.00159689595080111	0.0108993089591097	0.0239341190931505	0.013386412778904	0.00298640691605496	0.00450900272575825	0.00708875355145146	0.0149642208181648	0.0122710074422677	0.0138983612867624	0.00986414120701835
A549_G1_2D	0.0107263265863749	0.00512542693312824	0.00938700905865234	0.0089524801264728	0.00389071118217153	0.0100901939730046	0.0204270465094563	0.00658150452806769	0.0117480013327006	0.0162028286736097	0.00665526972607506	0	0.00266590239466898	0.0100220357345156	0.00173171542804794	0.00461028774607955	0.0031284705688662	0.0241031230120282	0.00725406835412181	0.0257997361989464	0.00624536144931728	0.00436539925325274	0.0193965123008824	0.00884117440090926	0.00949910361690127	0.0111554722112872	0.00714515752660087	0.00991934420018336	0.00562681444397218	0.0106295075963152	0.00471583675612954
A549_G1_2E	0.0132245998090254	0.00711708549125565	0.0117027190258902	0.0114462177048737	0.00595800456529082	0.0127558536320383	0.0181410015857635	0.00401793785569298	0.00960548209091993	0.018863690131486	0.00911840828699076	0.00266590239466898	0	0.00878479558226804	0.0028035543409996	0.00710959478951994	0.00368107761367967	0.0267614535680529	0.00589319178614853	0.0283756093939768	0.00845654106507866	0.00306596811514858	0.0170716094412553	0.0068183247959043	0.0120391422058323	0.013559976151573	0.00945007370585719	0.00759997328555561	0.00362653885774474	0.00909623560691419	0.00530170978670521
A549_G1_2F	0.0199152365876477	0.00990672399823377	0.0138668017631325	0.0182489646086308	0.0139015626871567	0.0178513562456642	0.0122861423855053	0.00687694393700066	0.0046424696952106	0.0237528695696163	0.0127885167122875	0.0100220357345156	0.00878479558226804	0	0.0112400171079711	0.0142069934787209	0.0123944148264165	0.0313838830054705	0.00289169974237305	0.0305731115477784	0.0112756567126549	0.0115590340709934	0.0115583619963272	0.00358541094622747	0.0154568953188411	0.0157871408150565	0.0169083124966711	0.00514056155126996	0.0112095738769541	0.00133237111599318	0.0140605767754639
A549_G2_2A	0.0106036767439712	0.00673344774739136	0.0107291521102734	0.00883486822356424	0.00318990844749	0.0106306172648585	0.0209388572685844	0.00675472326648528	0.0124030536420738	0.0166035463973599	0.00789271375371645	0.00173171542804794	0.0028035543409996	0.0112400171079711	0	0.00459230864417359	0.00140048516808899	0.0244565084975882	0.0083823983959297	0.026699099306393	0.0077189376685943	0.00303858707924826	0.0198640312453898	0.00958738938183072	0.0105663101499346	0.0123905867461822	0.00671936478297667	0.0104012533352295	0.00455775131717586	0.011702028001264	0.00303631762571287
