	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.01079546647762	0.00825755345110639	0.0104828372899385	0.00522095707316984	0.012334826027571	0.00909875773517585	0.00792033714736974	0.00957086484329532	0.0134743069159359	0.00429163387488992	0.00630427435082555	0.0111729490672176	0.0185601797749594	0.0152501646440513	0.0140197796629701	0.011315131979671	0.0107379184074039	0.00942587448911603	0.00469031629252382	0.0121275478314486	0.0136257045219365	0.00889279221843051	0.00847423389522963	0.0126662202997372	0.011211478089663	0.0111114533684109	0.00877440485294304	0.00348929967661678	0.0145091962174523	0.00481568698555044	0.00672652459453386	0.00427409294624611	0.00577640647724017	0.00939455640249077	0.00558823991064309	0.0200241065766318	0.0154157035266611	0.0134172436310315	0.0111747935741188	0.0168120027181538	0.00547199623894341	0.00255359069415966	0.0130161567379643	0.0151004823975883	0.00613885107043228	0.0167391413345498	0.00320338008542483	0.0136693500512089	0.0121006816820885	0.00892687768889386	0.00917116704110539	0.00927174754418313	0.0115401181402261	0.0150324099605089	0.0076061556232725	0.00671208600156927	0.021437016480672	0.00573714690006217	0.0114343291556288	0.00329432059279097	0.0151242549895861	0.0129609741375408	0.00458756141307727	0.0128245869840747	0.00950746166868869	0.0164960791554857	0.0182566936819288	0.00637909180317105	0.0157280677830449	0.0145807187279201	0.001640298265543	0.00934036179966955	0.013379719211246	0.00605495395077629	0.0054841889442849	0.0147814013511288	0.018135741413449	0.0295651112449966	0.0303029706517897	0.0206942010782381	0.0072290664100179	0.00883041489060269	0.0167044110943542	0.00213627233857154	0.00467499671445073	0.0104168745604869	0.0221880605110564	0.00420418970673847	0.0104243814845648
A549_G1_1A_2	0.01079546647762	0	0.0156924747617001	0.0210189044179383	0.0119362931626821	0.0193699598426656	0.0144814777199947	0.0169193689277642	0.0155003852761639	0.0203989716243313	0.0125612795768781	0.0160007021955729	0.0209596758283039	0.0260178726285958	0.00598411611780129	0.00492848573698197	0.00181839339257247	0.0166990650243563	0.0159452363713484	0.0143170484643328	0.0200966522528967	0.0214565324490255	0.00262439622353108	0.0158670272577989	0.0213687692005993	0.0202069123491038	0.0210543740192264	0.0169383048971853	0.0128912745858397	0.024068877881507	0.0100637635600458	0.0148022265975463	0.00652774066354665	0.012151891019123	0.0143386151409081	0.0127441553424151	0.0295413191044061	0.0248914502519166	0.0229061203443077	0.0206443717848703	0.0260796809852942	0.0148232270169402	0.0132229703232695	0.0225595758752876	0.0237734742924971	0.0153453459468674	0.0242198982730549	0.0125484912003645	0.0218623854180463	0.0225466383473432	0.0194515247098224	0.0167595633566177	0.00926798164112653	0.0039171169794156	0.0226904807793179	0.0154185265140876	0.0108574583312648	0.0305037151787367	0.00684133013377217	0.0212715597339023	0.0121276595525205	0.0231224416586586	0.0229132111299442	0.00971171771200543	0.0113051511475453	0.0179263543897512	0.0242660000597864	0.026264595172193	0.0162887542067279	0.0243865105049317	0.0223084124339218	0.0095715741217143	0.0186675123252096	0.0231323619863776	0.0166197379878804	0.011835643596985	0.0242164753587541	0.026736622134187	0.0395234703681861	0.0392635538328463	0.0303898657367776	0.0165138514368732	0.0174269436791846	0.0255248214366636	0.00873472494110396	0.00612274062642253	0.0161297901092689	0.0115043842731235	0.0142931582262759	0.0201704979868097
A549_G1_1A_3	0.00825755345110639	0.0156924747617001	0	0.00844824846023116	0.00385681898457332	0.00412087141877671	0.00271955125943692	0.00262827546222101	0.00218175931354281	0.00526242904174615	0.00401347919731246	0.00388721163971737	0.00646595478565491	0.0106458754362793	0.0213575189763753	0.0201504554931315	0.0152426602702312	0.00284513443656655	0.00151784487533509	0.00421676909832337	0.00441652795084599	0.00583291257761298	0.013106173651606	0.000217082992294681	0.0057606587859691	0.00486090457611767	0.00682426102433859	0.0014799761426322	0.00485281668754147	0.00887806842803026	0.00567266632647598	0.00158187393465361	0.0106561401149964	0.00355305274552684	0.00325826425625076	0.00309367366657435	0.0140916788079863	0.00957272113692232	0.00773646105408579	0.00573816939981688	0.0105707252227806	0.00349928022537313	0.00863751679292068	0.00748231103268463	0.00810324476586885	0.00304101390971061	0.00880376242549509	0.0107170862905402	0.00617472520348591	0.009250805227958	0.00738957666099234	0.00107388900021367	0.00825364369252956	0.0142309088387325	0.00715767126754157	0.000737377141848757	0.00505814961065131	0.014851715933064	0.0133403877760687	0.00680126193577659	0.00497744305346857	0.00748122014344225	0.00836854818754841	0.00605752530305836	0.0103689044431927	0.00245463677864277	0.00871747946207865	0.0106621212952969	0.00436748091432641	0.00870818846759015	0.00673883149302492	0.00789020285700202	0.00404915672068699	0.00825324885810881	0.0063748968411203	0.00388746999447031	0.00890127795052815	0.0110464039390924	0.0242471531363994	0.023578597957866	0.0150493449427899	0.0030671338985933	0.0022661755426553	0.00986288791017959	0.00961354543643489	0.0107273059725032	0.00281820133238704	0.0268593617020214	0.00509386998752533	0.00578960350949182
A549_G1_1B_1	0.0104828372899385	0.0210189044179383	0.00844824846023116	0	0.0102374233279547	0.00953352394721937	0.0111647163598007	0.00583065049532637	0.0105359505255319	0.010156550631251	0.00897034363588763	0.00546444105673966	0.00326998767392332	0.0124188047298655	0.0257305721513405	0.0245003148150121	0.0211992158901706	0.0106827044601263	0.00973315059095942	0.00690803466468305	0.00783991324145772	0.00868631139673601	0.0187847117745025	0.0084840470396056	0.00654578270502805	0.00544223990312366	0.00273967782013187	0.00717490770368476	0.00824444039782214	0.00564803259648854	0.0118258549069736	0.00790038620568016	0.0146460731050921	0.0104014720571505	0.0117046248601053	0.00958735623925558	0.0104447119936613	0.0065094233235897	0.00508497433633755	0.00421414644961165	0.0080219744880138	0.00667279530771598	0.00861239931386937	0.00471700139205875	0.00790440562781766	0.00642550878665313	0.0110897380659807	0.0105008609560044	0.00803079812250283	0.00167311041068857	0.00156910487483496	0.00811943347899607	0.0159734809670702	0.0208429457814284	0.00972810520684616	0.00800480516551482	0.0124172205216481	0.0123750527109874	0.0160720872201287	0.00317428275092244	0.00906608489023921	0.00918421561742269	0.00360004615190181	0.0120163414172725	0.0186339170485601	0.00661516801833745	0.0104509690341417	0.0113230384953228	0.00502526054717806	0.00835006875870251	0.00935446973282601	0.0114675465800897	0.00464209149038422	0.00440288465602941	0.00443592551725609	0.0105260211944999	0.00611773888947284	0.0102525128378742	0.0192622413573334	0.0208892878789112	0.010835770283236	0.00560536020988464	0.00635589149574632	0.00875474145359933	0.0126142570565706	0.0149777715059616	0.010944251970266	0.0325102571992947	0.00675364505137302	0.00332780617070386
A549_G1_1B_2	0.00522095707316984	0.0119362931626821	0.00385681898457332	0.0102374233279547	0	0.00787252281907106	0.003903390368761	0.0051081377737833	0.00450855425980793	0.00899473074160154	0.00154194452166553	0.00477319640571896	0.00930417425414972	0.0144825771446016	0.0175218816430818	0.0163096498119798	0.0116340210602116	0.00574838052867809	0.0045657922226305	0.00356063662574079	0.00825935639518567	0.00968918564655257	0.00939213561720183	0.00405411878138361	0.00943517115032787	0.00829190134482985	0.00950316176365046	0.00500698271350623	0.00283554240831185	0.0122245389099794	0.00187471656539236	0.00288101595166374	0.00684543846659265	0.000556500026693287	0.00417512635498713	0.000808447579107647	0.0176400549722793	0.0130131176229588	0.0110580140073659	0.00884207705089417	0.0141573101279832	0.00357645667439785	0.00657387597407247	0.0107362661147703	0.0118525267510564	0.00384309754804791	0.012643043338911	0.00822636081790662	0.0100021275205553	0.0114808686692555	0.00880634701628554	0.00492776918605089	0.00582012616285812	0.0108722895755345	0.0110105196227343	0.00349294270352016	0.00228990625557033	0.0185732581243251	0.00964948887432633	0.00963463996850422	0.00227377595109402	0.0113335964792728	0.0112905982479574	0.00222966807994436	0.00890612401619134	0.00599089375832282	0.0125731667636623	0.0145172352094172	0.00522463500374744	0.0124706287843966	0.0105945279601788	0.00436713926261237	0.00688513991398171	0.0113848382975775	0.00657623493416011	0.000351268540800559	0.0123354965796954	0.014843640468419	0.0277055461400429	0.0273606621417352	0.0185257727772317	0.00487771887886704	0.00550245327006438	0.0135983343328358	0.00607024886657088	0.00688894286748801	0.00534234339901312	0.0232499252464205	0.00417565225510724	0.00852737154325111
A549_G1_1B_3	0.012334826027571	0.0193699598426656	0.00412087141877671	0.00953352394721937	0.00787252281907106	0	0.00497520308279945	0.00512718988423376	0.00391158650335965	0.00114244533244401	0.00812971177469911	0.0070228006191206	0.00649331871836544	0.00666661810128021	0.0251773049446681	0.0239910925308886	0.0187140802438424	0.00286712241195588	0.00343166199437448	0.00798446035698858	0.00189177628979984	0.00240114691067608	0.0167495047153516	0.00390534532467505	0.00381715615401834	0.00418824550080706	0.00702516025242349	0.00372106212081652	0.0088745206890384	0.0072757238395002	0.00957886800935095	0.00560872394266023	0.0147165058506958	0.00748045613991862	0.0052564819122299	0.00716026487189632	0.0115258589784131	0.00763160786277521	0.00640269137592327	0.0054895952788487	0.00811185758135166	0.00717931793307736	0.0124416214935734	0.00637079087990475	0.00529054173966227	0.00656069313721537	0.00485229988643216	0.0146050313608294	0.00316643092501757	0.00962739860651611	0.00909264460345274	0.00316437983124764	0.0110005577802174	0.0174317459342165	0.00336985323702691	0.00473123321785382	0.00851388840857771	0.0117523271521961	0.0174517417666927	0.00673934950350617	0.00907912480545851	0.00397104535109416	0.00777654070093148	0.00998350126477283	0.0120454340529918	0.00343188437020859	0.00492981637533834	0.00695282479398279	0.00735296618703968	0.00576338698236137	0.00304574740769104	0.0120103591178518	0.00511573771246214	0.00725857835088711	0.0092895479415132	0.00783614705820537	0.00706693207571074	0.00777251540378604	0.0216370892777632	0.0201472811060205	0.0126229851283324	0.00591268267983521	0.00406847571604687	0.0069397561019762	0.0137341295463381	0.0147572489552475	0.00345970222673825	0.0302232023826608	0.008796864323986	0.00621780254994991
A549_G1_1C_1	0.00909875773517585	0.0144814777199947	0.00271955125943692	0.0111647163598007	0.003903390368761	0.00497520308279945	0	0.00533690477879585	0.00107210110592422	0.00594077479969701	0.00496029674694769	0.00633551602527358	0.00909916086393547	0.0115566701184933	0.0203601999783938	0.0191961738355017	0.0137568813096409	0.00221825390574441	0.00178347653792163	0.0061240892417865	0.00612612288417983	0.00725596983148851	0.0118573307282834	0.00270654345837051	0.00785520211434892	0.00727262817563132	0.00948848532578216	0.00410925354675555	0.00618746758874152	0.0112167080500458	0.00513686144202256	0.00362890165206616	0.0104114214332592	0.00336189344123185	0.000540692538404049	0.00354465342376605	0.0161452495267072	0.011817333862512	0.0101212430674587	0.00829983201955583	0.0126327927595952	0.00560788911387845	0.0101444817344378	0.00991798682576904	0.00994915441267104	0.00535931398164567	0.0097841372014809	0.0119939967747484	0.00784850200598608	0.0119566981445428	0.0100693530428662	0.00331061928809696	0.0060828491039682	0.0124592182711094	0.00834443183306976	0.00320846560252989	0.00367369640561672	0.0166178117853882	0.0133648434368376	0.00942954287285252	0.00593610817486226	0.0089002997173493	0.010941866587677	0.00554739061549138	0.00774328832744354	0.00496478112456204	0.00990366063496493	0.0119276172457367	0.00684370292333373	0.0105009976003181	0.00800623773659573	0.00824936069422952	0.00673584802329398	0.0107390671598024	0.008761672680983	0.00369438993537996	0.0111669063730217	0.0126729672379744	0.0263233927230621	0.0251133460801294	0.0171735763374446	0.00569212243287367	0.00493531237439883	0.0116884113148679	0.00992665964721187	0.0103564295599001	0.00166135698482666	0.0252499440545488	0.00698486699641517	0.00845847174527311
A549_G1_1C_2	0.00792033714736974	0.0169193689277642	0.00262827546222101	0.00583065049532637	0.0051081377737833	0.00512718988423376	0.00533690477879585	0	0.00477119849172868	0.0061586000848924	0.0043905690283954	0.00191833663489204	0.00421874172278541	0.0107189420451189	0.0222946245006517	0.0210646291728117	0.0167193630045682	0.00515032289842364	0.00401049306960889	0.00323905481232335	0.00434480856020215	0.00581525069224107	0.0144315538351241	0.00268559062853778	0.00476365864101739	0.00337692721691219	0.00447046784756069	0.0015869673647116	0.00450573977805081	0.00715318144781932	0.00694940106134147	0.00230118327888032	0.0112038362750075	0.0050759600041441	0.00587735190623682	0.00432426055791012	0.012635342890902	0.00797602140774485	0.00598872481077973	0.00374157966224141	0.00921397591143441	0.00244885635431093	0.00750290441268834	0.00564916983243202	0.00721819466630635	0.00178505937149736	0.00893169916368997	0.00971543269372533	0.00576661178282527	0.00672774942782322	0.0047719541538409	0.00253076717682641	0.010445643319405	0.0159716907420401	0.00722427232239779	0.00218972566835752	0.00698417167097959	0.0137574663489366	0.0135071209591467	0.00455368175862973	0.00504302812483858	0.00723146094150966	0.00620185941329775	0.0072564077828347	0.0128659307722802	0.00174909294100534	0.00862358081620991	0.0103400676812808	0.00222607444955235	0.00784870938254985	0.00676657972219723	0.00808805260621633	0.00177705140015967	0.00627745626541436	0.00419713817720164	0.00530561529103902	0.00730238308921803	0.010264268820066	0.022631015106824	0.0226214174110977	0.0134747094983267	0.000797236653929861	0.00106539212334922	0.00888046850609509	0.00970140989481822	0.0113856310662515	0.00529010613659126	0.0283153180038116	0.00390112270051004	0.00345883521239561
A549_G1_1C_3	0.00957086484329532	0.0155003852761639	0.00218175931354281	0.0105359505255319	0.00450855425980793	0.00391158650335965	0.00107210110592422	0.00477119849172868	0	0.00490121904782177	0.00531269727193599	0.00604063044720465	0.00827292212385782	0.0105217479995181	0.0213546206594691	0.0201824041869873	0.0148071980736144	0.00126505358515354	0.000833149885837948	0.00612484159372552	0.0050708864409642	0.00618401099072574	0.012876598917338	0.00208981069492572	0.00683548391291268	0.00634063464813239	0.00869123580636952	0.00337115461648245	0.00643223914841759	0.0102352680621061	0.0059574105402688	0.00347598562849517	0.0112223547779064	0.00400865632656304	0.00145209500058304	0.00399065584221748	0.0150977343770395	0.010809880834497	0.00915870697067786	0.00742777568374318	0.0115909744140816	0.00550157275497536	0.0103701377732041	0.00897469644191578	0.00888977940543732	0.0051365345255482	0.00873705259070774	0.012325811193032	0.00678286458126686	0.0112174997319643	0.00954301065617278	0.00247224252975468	0.0071509602519425	0.0135283025045289	0.00727875405785912	0.00283362638405105	0.00465517571514197	0.015548255193022	0.0141199069349504	0.00859691842016011	0.00631528281197367	0.00782850903695648	0.0100610721855795	0.00637042548370248	0.00867101440305769	0.00411993560627546	0.00884132000741122	0.0108638404059452	0.00653114475330589	0.0094369134839513	0.00693671798560588	0.00887047136514361	0.00599129271887987	0.00981267003195557	0.00852048332768436	0.00436313892703645	0.0101663543973499	0.01160128732847	0.0252732941375953	0.0240436766849764	0.0161347581851868	0.00524860996407444	0.00420157544923177	0.0106248111163775	0.0105784882285745	0.011198392720509	0.000846072943028369	0.0263148205016548	0.0070069635423223	0.0076734753057814
A549_G1_1D_1	0.0134743069159359	0.0203989716243313	0.00526242904174615	0.010156550631251	0.00899473074160154	0.00114244533244401	0.00594077479969701	0.0061586000848924	0.00490121904782177	0	0.00927206225704904	0.00807057942329388	0.00699224264096251	0.0056207428190245	0.0262345565037991	0.0250544419829285	0.0196964840751594	0.00375011306521746	0.00450391919603242	0.00909544171041939	0.00231671220034996	0.00203652308328202	0.0177758105490086	0.00504664244574707	0.00397610464202529	0.00471870535430878	0.00753658093760655	0.00481847505499496	0.0100099816027077	0.00724594576186514	0.0106782912043796	0.00674899257333341	0.0158398086908928	0.00859127444384255	0.00616614544326094	0.00829153230482198	0.0110294820247109	0.00746632063535852	0.00651362524724282	0.00599154437808301	0.00773480637235791	0.00828607219357613	0.013542974104751	0.00655554112206781	0.00490260674555856	0.0076576120305119	0.00384638953206663	0.0157162247977359	0.0029226246949989	0.0100792978341018	0.00985870259105897	0.00430334613321513	0.0118726044050048	0.0183559477108545	0.00255207768005399	0.00587254312658691	0.00954607698387702	0.0110527752647004	0.0185884077529291	0.00720052626301709	0.0102211616270452	0.00330561407017207	0.00803849190891704	0.0110852025261996	0.0126684316845016	0.00442562342478023	0.00403164105480397	0.00605234656594311	0.00837545206103072	0.005283273729286	0.00234010817382958	0.0131509948416644	0.00594025318864828	0.00742672931195531	0.010270799342529	0.00894849868102236	0.00696679939968143	0.00706543720008946	0.0210425403006816	0.0192764798633249	0.0121601934311423	0.00695249443261524	0.00509331696982899	0.00641451817857418	0.0148751856195222	0.0158733065139825	0.0043424088894991	0.031160269426933	0.00989613202706502	0.00683088859457803
