	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0187700608609678	0.00640663854467601	0.00751585965053667	0.031067756245297	0.0117929773643423	0.00351545097479026	0.00727031933155034	0.00362892948730655	0.0113515943957943	0.0161457066046697	0.00708735673857885	0.0172643114879019	0.0141295435905681	0.044514316204512	0.0258384825691333	0.0322805237503102	0.0118628648530479	0.0100781157049838	0.0274289086706758	0.00948963104869263	0.0211234974198549	0.0245960553900113	0.00694992255903072	0.0103037069763404	0.0147975495748859	0.0049263898389759	0.010386009610119	0.0217436771973748	0.0103531417042342	0.0125844710926815	0.00690819603117036	0.00902222362057279	0.0101147112120947	0.0139912294785964	0.00882966192449285	0.0112142881128182	0.0171132092255176	0.0035517279714516	0.00160537509734352	0.00797784614093049	0.0194862274439324	0.0120281428345053	0.0169022990072355	0.00585055880672112	0.0182966705759495	0.0104080788795113	0.0148303436431169	0.0190061352704419	0.0192371786543498	0.00706700598934845	0.0101688576736228	0.00978490762304906	0.0101478533600027	0.0124164752356175	0.0158195220222472	0.0149733155946796	0.0154057060189259	0.00264723531343543	0.04840258360558	0.0145414868867912	0.0049440143382524	0.0114948888061113	0.0109695633557225	0.00441334239150832	0.0133908090605442	0.0120445317347671	0.00940486289790581	0.0193566014907391	0.0107202135638874	0.0126736652506207	0.007468352465064	0.00761101248606609	0.0136824529703456	0.0158930016040985	0.0035967191968864	0.00889786560987335	0.0173119754058769	0.0174269830393762	0.00825010252734385	0.00592410667969861	0.0117665807483132	0.008225972752482	0.00586892174201499	0.0110599047115207	0.0104845257154003	0.0162473909757315	0.00433126290086172	0.00821007974984324	0.023722042124756
A549_G1_1A_2	0.0187700608609678	0	0.0131358156697258	0.0253565709189194	0.0131390728194127	0.00990259821360094	0.0177191992511693	0.013378815181488	0.0162650062078583	0.0075049391230358	0.00386484994926963	0.0173510630984864	0.00258179350994726	0.00927109558084649	0.0270044461196402	0.00758769512624468	0.0157686012324069	0.00880501452210455	0.0147111275705411	0.011119694200571	0.0120222208342218	0.00394722780068086	0.00770834160560518	0.0129892050473596	0.014721638714799	0.00962596065937134	0.0167997777417258	0.00859527698504962	0.00550191284332801	0.0205081616299876	0.0115028081291132	0.0138030660994366	0.0110415919413413	0.0118871459244883	0.00895414288732548	0.0119852794607552	0.0292478146821672	0.0332059229309393	0.0218188492524878	0.0200958190088766	0.0244007062707454	0.00558855812385299	0.0287400866916226	0.00907302424788667	0.0211455621388486	0.00590015398074343	0.0114468179081665	0.00487332559623572	0.00416944721650796	0.0042801914314762	0.0137965482964606	0.0110669595006277	0.0228765505746745	0.0100239039084485	0.00994594294849524	0.00314434976600477	0.00714600752958312	0.0095942794832796	0.0173667051113231	0.0630984645578453	0.00619123471706976	0.0159993096547319	0.0143078467124713	0.0170294454782893	0.0180642394677404	0.0126274982538426	0.0109144805105468	0.0127050984538937	0.00584692064426414	0.0151292149792495	0.0134204850880736	0.0118494443789352	0.017113323732209	0.00803822221312778	0.00817709828201471	0.0171165952283705	0.0266827457462447	0.0103637079416916	0.00533490550267875	0.012927922909947	0.017682735816031	0.0116162883157005	0.0164062215017031	0.0161270349576539	0.0100887097998656	0.00866181525501014	0.00633691958667523	0.0180901751389735	0.0155170374761208	0.00693888848117302
A549_G1_1A_3	0.00640663854467601	0.0131358156697258	0	0.013752061365581	0.0248886580622611	0.00542350038548647	0.00684911179864544	0.00444808496190802	0.005891379268131	0.00586045878844962	0.0101503305723628	0.00961856089404205	0.0116555724783479	0.00836567350106726	0.038391877608335	0.0197682663338125	0.0259486071111835	0.00851664721254057	0.00894884322842145	0.0210736060977891	0.00428369920202007	0.0154832121024193	0.018777891610182	0.0013563802955891	0.0104202446577187	0.00854667817792148	0.00447556865095527	0.00591202464757784	0.0167330639876172	0.012057073652609	0.00658789462946641	0.00529264229825215	0.00306078734062184	0.00463444945555923	0.00990664047870269	0.00710305495008686	0.0176123718917145	0.0228449117458259	0.00989180722343119	0.0073711060281969	0.0124515498823737	0.014843704006138	0.0177075508638217	0.0112673776012982	0.00899035215742027	0.0123517529740963	0.0050994168274026	0.00881593767852968	0.0137120886728415	0.0138370192219453	0.00444415283372326	0.00391466849991608	0.0143542628138658	0.00381954098890959	0.00631441575157414	0.0101165563260797	0.0108807961221598	0.009129725271068	0.00565778853372859	0.054361367571277	0.00929520371778133	0.00572320936805918	0.00810374935012875	0.00737564865578685	0.00629044435463995	0.010115818994578	0.00685896642760467	0.00672996538300855	0.0148527679569656	0.00785014523746079	0.00956463235093924	0.00489773429553097	0.00982367866278967	0.0096956729716711	0.0100016685682209	0.00639844217734769	0.0137942648001839	0.0110718881494679	0.0112174052451843	0.00446893869107814	0.00535208984876087	0.00933457939126422	0.00907561229238271	0.00764678835146214	0.00688087692959793	0.00596555004883775	0.0119323395206366	0.00802016066531115	0.00922579961934235	0.0178222766620492
A549_G1_1B_1	0.00751585965053667	0.0253565709189194	0.013752061365581	0	0.0380864598555057	0.0191358966474953	0.00916575123950724	0.0143714351216339	0.00938939067872236	0.0180762666803044	0.0231923539683446	0.00951978866714632	0.0240672789330449	0.0215903602204315	0.050980514414283	0.0326512939451077	0.0392024536010947	0.0176156338797242	0.0158971270202252	0.0344843982371155	0.0160492491925057	0.0279345897865525	0.030888692030301	0.0140462704499357	0.0143214029185816	0.0222402978699394	0.0121186897888965	0.0168044493519975	0.0280887517053031	0.0144028465106708	0.0200034307437436	0.0135683398487971	0.0159801865311952	0.0176260393608033	0.0192289494586388	0.0143515438073091	0.00441943008697314	0.0130310431240771	0.00400355533233366	0.00708735340575489	0.00980097392360173	0.0256880178010969	0.0092582367843194	0.0243071295732062	0.0105395886054001	0.0248119168477991	0.0178841698301544	0.0216694497943823	0.0257161819300127	0.0260326440302553	0.0128718203321645	0.0173571054955371	0.00877542726114515	0.0173035362839226	0.0199077786816051	0.0226184301872131	0.021154825014204	0.0225328246999521	0.00943318422026543	0.0412229923758188	0.0206765648418507	0.0113821600875653	0.0185363932368244	0.0176399719892045	0.00911178348342339	0.0200132360211315	0.0194649460194427	0.0144313780331223	0.0247662812455408	0.0176603550904711	0.0193656147441925	0.0135580197639108	0.0105719947080088	0.0190283034920517	0.023322311171469	0.00949742457779475	0.00905212937003026	0.0246936179685231	0.0242982338012133	0.0155360788925786	0.0117319848816615	0.0176531394779577	0.0130488739236888	0.0104228795981047	0.0179632029336202	0.0167432909541856	0.0216633657429851	0.00855728257531533	0.0120311456000675	0.0301278095038896
A549_G1_1B_2	0.031067756245297	0.0131390728194127	0.0248886580622611	0.0380864598555057	0	0.0201070945646753	0.0300780240840741	0.0250399450730964	0.0289635613987302	0.0200408173971373	0.0149611006274823	0.0304237093210083	0.0143477139878061	0.0182915541421046	0.0165266906772324	0.00583983548361821	0.00690399007124745	0.0217312785482465	0.0260001685403123	0.0060301309510079	0.02331684360417	0.0109894544483656	0.0103187395442155	0.0246917908485934	0.0273087866197341	0.0178415209870773	0.0281069429979584	0.0214779715070242	0.0127851170132267	0.0314271951466964	0.0205135676407932	0.0258254207373109	0.0226721377143669	0.0222086737460782	0.0210620977242057	0.0248585109119933	0.0419545435943401	0.0454343859905969	0.0343727190334455	0.0321922003942137	0.0357984224087237	0.0152019142308828	0.0408734001442189	0.0162980905328685	0.0323739274305149	0.0147347168461504	0.0218623240357515	0.0165567361213131	0.0136714305311603	0.0132580146035552	0.0260285920188277	0.0218494376440318	0.0356244482156712	0.0213429289731176	0.0196544061059017	0.0155662601855302	0.0189222997723029	0.017750643005998	0.0295666028447629	0.076113864227742	0.0183329763913791	0.028101442293726	0.023817396885855	0.0260193650570471	0.0302133182700204	0.0223533416470612	0.020722786637719	0.0251141095410558	0.0166831930454961	0.0248632094505793	0.023134223399405	0.0247379265979581	0.0300132661046426	0.020750860442496	0.0164110410854278	0.0295277207461059	0.0380443250510766	0.0164641801883472	0.0144906404583443	0.0241377728272641	0.0289574098253677	0.0233050973914669	0.0284467382406539	0.0289149431454029	0.0215295391565497	0.0215667451832193	0.0186731168081696	0.0307219951603309	0.0283912494495427	0.0103308695166745
A549_G1_1B_3	0.0117929773643423	0.00990259821360094	0.00542350038548647	0.0191358966474953	0.0201070945646753	0	0.0119038831671145	0.0075246738952806	0.0110213501938672	0.00510238350903095	0.00641380490349521	0.0142625147603688	0.00857217414277435	0.00484986487273196	0.0336407100981817	0.0153240090744716	0.020860934381791	0.00958968989193423	0.0113736050361785	0.0159736359748559	0.00484248811321569	0.0119085020250008	0.014832713127112	0.00519907753711665	0.0136953589240825	0.00333567035891238	0.00869760023362893	0.00681719467030132	0.0140890400118698	0.015457697401984	0.00237947856584209	0.00884056247697985	0.003832410764431	0.00377654238009603	0.00969310219021615	0.010077842477613	0.0230035844344352	0.0278893428145009	0.0152974030625225	0.0126095972273983	0.0169394993309287	0.0128932132977154	0.022725263766906	0.00751636057987209	0.0132599633151761	0.00848350903628575	0.00430434161128825	0.00540928563166223	0.0108535099906464	0.0107660671630502	0.00791786453296625	0.0020982260086934	0.0192947098202453	0.00236899166455145	0.00234908259383712	0.00715621494902336	0.0102830065886034	0.00402609582905697	0.0108203424465475	0.0596801752177856	0.00750293624222347	0.0102492501017982	0.00828044594970641	0.00714754496060002	0.0110034604037543	0.0101391363040748	0.00514359496287498	0.0090441691757753	0.0132652966682556	0.00865626374574998	0.00982488899120443	0.00831882867578446	0.0142728636696559	0.00972572674493338	0.00595894042735519	0.0114388824717912	0.0183036007018769	0.00573682852422386	0.00680296884726111	0.00652826979758814	0.00909786185038341	0.010794171515523	0.012803504172537	0.0122542463008303	0.00723895984867322	0.00680830091667974	0.0110339270807056	0.0130804375657417	0.0132429955370766	0.0137667817393315
A549_G1_1C_1	0.00351545097479026	0.0177191992511693	0.00684911179864544	0.00916575123950724	0.0300780240840741	0.0119038831671145	0	0.00546543502264707	0.00262128676962376	0.010786020280619	0.0151924422835372	0.005921883831815	0.0159570056538924	0.013095637588423	0.0442374665578242	0.0249725243731789	0.0320318664646607	0.0101106963550656	0.00694590281818523	0.027026582107952	0.0106757724211424	0.0196494237997284	0.0242765234132147	0.00784486340931565	0.00749776998503442	0.0146323765191174	0.00508693743347764	0.00936255289334531	0.019896394445331	0.00747695376937543	0.0127507184535477	0.00451014831621938	0.00959902137334221	0.00958163357572931	0.0141933472726902	0.00681675119910184	0.0122131183726266	0.0161860298594703	0.00545251507081214	0.00455326986252271	0.00772984291056251	0.0174846215386922	0.0112823532780861	0.0155759688509245	0.00585770680738517	0.0183636248904013	0.0095157718993034	0.0144048385339997	0.0172870195871548	0.0175572752921337	0.00852372399184185	0.010722877218539	0.0079175452142532	0.0103766471562248	0.0119810596070477	0.0147722869189485	0.012823821044797	0.0158280970511362	0.00155972668153037	0.0486572455869021	0.0144223948009466	0.00225773438930872	0.00985327838029794	0.0123121358881899	0.00741298850738086	0.0108601336521789	0.0108344973786311	0.0104267318089067	0.0184934980665455	0.00912672403399704	0.0102681985695433	0.00655920337847996	0.00533605406032975	0.0133389054638564	0.0147963593604261	0.000645035822140915	0.0103512304421439	0.0173394678518101	0.0172939173117233	0.00679543105241075	0.00867796023791411	0.00894307730571907	0.00475161487999181	0.00343219379070273	0.00901769747574477	0.009892310681964	0.0155924792627611	0.00183867383579792	0.00580205702345983	0.0234070708592779
A549_G1_1C_2	0.00727031933155034	0.013378815181488	0.00444808496190802	0.0143714351216339	0.0250399450730964	0.0075246738952806	0.00546543502264707	0	0.00572977833891281	0.00711784948213852	0.01037047711257	0.00920117724343342	0.0113115386420623	0.00768727538092246	0.039695720720914	0.0202227990473589	0.0272056197819177	0.00754578672085346	0.00458244679959027	0.0221020366700644	0.00841648150648319	0.0148493689309325	0.0202132425946959	0.00576032940135132	0.00799143440060312	0.0097067859638048	0.00443259435716419	0.00625487817535785	0.0155791498469035	0.00827279134420303	0.00824504552412024	0.00166478584487794	0.00669445485123539	0.00470526926164478	0.01224352833021	0.00570327016686793	0.0175888289428452	0.0209280322354818	0.0104353165243939	0.00826567791612105	0.011053283778291	0.0133924351609739	0.0159995896322876	0.0101122778491254	0.00795661565592084	0.0144442770350443	0.00431302383585455	0.0101731277963634	0.0125985376874108	0.0127598789984436	0.00817685687477694	0.00713595535889117	0.0125617077868221	0.00665233498871073	0.00696234157215243	0.0102899196214374	0.0089855199120755	0.0115290295885107	0.00498367103902556	0.0539867259263417	0.0112641932824904	0.00327912069192508	0.00522346177610194	0.0097824019659614	0.00940590676552057	0.00632805336416985	0.00542725055568104	0.00991863502305419	0.0155600734821232	0.00492812825427145	0.00574289683407357	0.00536889491920083	0.00831576075549354	0.0112342855705313	0.00938037809447291	0.00508992543154352	0.0138228296294834	0.0124697574463544	0.0129440256262255	0.00151111800074977	0.00903046758380689	0.00589654437601496	0.00548837612746742	0.00618216494242912	0.00407652834014059	0.00719242854017466	0.0129812996527842	0.00671849896595899	0.00754708737282336	0.0192558111971987
A549_G1_1D_1	0.00362892948730655	0.0162650062078583	0.005891379268131	0.00938939067872236	0.0289635613987302	0.0110213501938672	0.00262128676962376	0.00572977833891281	0	0.00917257983890594	0.0140524685413538	0.00429417529655915	0.0147838472586217	0.0128379798853582	0.0426172979288903	0.0236328520467431	0.0306915400851041	0.00857931288260368	0.0078982615859271	0.0257970658759507	0.00906590989490993	0.0186039675231856	0.0224913105741107	0.00658888850747894	0.00682271501647596	0.0140228591519418	0.00599636214889962	0.00768613282692645	0.0188154378681962	0.00981489837594582	0.0122926642849884	0.00474155907641055	0.00812878588038905	0.00947312787035067	0.0118429070770752	0.00535304034354575	0.0130297444321035	0.0179394022767848	0.00579162279313617	0.00518891892246266	0.0101042976116572	0.016447394223033	0.0132441038674991	0.0154042623997783	0.00800062553807219	0.0166254093837916	0.00945541864678723	0.0128987255632231	0.0163435437858332	0.0166550020875099	0.00642165640299662	0.00964383776730946	0.00857795155627584	0.00912690827136756	0.0115101660032357	0.0134470624218632	0.0118960708130266	0.0147471488214638	0.00282112329439399	0.0488868606428824	0.0124276993610817	0.00346940592516705	0.0107908436817152	0.0123859408869988	0.00602372689205639	0.0114848279779003	0.0108814407641367	0.00799333196741034	0.0164814760416914	0.0102510524195793	0.0110943164165055	0.00453605545661255	0.00452524787772837	0.0110795124669211	0.0144099155777816	0.00210589668735376	0.0120917134425416	0.0166838165467253	0.0158132903082349	0.00707162887951551	0.00793903091577742	0.00877630307515889	0.00582455329885133	0.00253547113399946	0.00875529656799602	0.00796189663961438	0.0134745989330487	0.00253951243936618	0.00473665740641064	0.0216744793950073
A549_G1_1D_2	0.0113515943957943	0.0075049391230358	0.00586045878844962	0.0180762666803044	0.0200408173971373	0.00510238350903095	0.010786020280619	0.00711784948213852	0.00917257983890594	0	0.00537471959614626	0.0110904218005747	0.00643759585157841	0.00705879482499663	0.0334967857056048	0.0145926431942064	0.0215860651304201	0.00495306313811715	0.010026292190881	0.0167428565157526	0.00551996008245625	0.0103687347893483	0.0135099410637717	0.00571671274224447	0.0100567179888804	0.0074178505751789	0.00987774022280525	0.00223749889806799	0.0114493962041453	0.0151428070270726	0.00737312059381672	0.00755021378074791	0.00408768572228577	0.0065335021291148	0.00590596585881463	0.00633251604821446	0.0220519750794078	0.0267964556783601	0.014465441851195	0.0126647181812546	0.0175752553501823	0.00978304079030217	0.022054093020226	0.00917449084525612	0.014298386314797	0.00776933462236134	0.00636548553239364	0.00376508378077231	0.00878206920125137	0.00899577014871911	0.00663275941456887	0.005026838774303	0.0168345855744656	0.00363490578092349	0.00599497450523424	0.00472081889692132	0.00674325353893679	0.00752328849951386	0.0102259611739213	0.0571612549590605	0.00417311763231576	0.00931503991834007	0.0100090293846411	0.0114429023110954	0.0106631205908133	0.00983856576118601	0.00705089393664791	0.00640712551041396	0.00917311023220659	0.0103827336592224	0.0100482823068045	0.00496748914092143	0.0111686001704117	0.00510056849795323	0.00770956569380514	0.0101744964227528	0.0194608137605009	0.00965466606197431	0.00683390042255466	0.00698601405306238	0.0104903542760337	0.00806226044000927	0.0108710762687578	0.00968254444241673	0.0058049479780145	0.0020631508262313	0.0065493755287493	0.0113018257786261	0.00985271403883333	0.0126250314963143
