	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.00751585965053667	0.00351545097479026	0.0113515943957943	0.0172643114879019	0.0322805237503102	0.0118628648530479	0.0211234974198549	0.00694992255903072	0.010386009610119	0.00690819603117036	0.00902222362057279	0.0112142881128182	0.0035517279714516	0.0169022990072355	0.00585055880672112	0.0192371786543498	0.00706700598934845	0.0101478533600027	0.0149733155946796	0.00264723531343543	0.0114948888061113	0.0120445317347671	0.0193566014907391	0.007468352465064	0.00761101248606609	0.00889786560987335	0.00825010252734385	0.008225972752482	0.0162473909757315	0.00821007974984324
A549_G1_1B	0.00751585965053667	0	0.00916575123950724	0.0180762666803044	0.0240672789330449	0.0392024536010947	0.0176156338797242	0.0279345897865525	0.0140462704499357	0.0168044493519975	0.0135683398487971	0.0159801865311952	0.00441943008697314	0.00400355533233366	0.0243071295732062	0.0105395886054001	0.0260326440302553	0.0128718203321645	0.0173035362839226	0.021154825014204	0.00943318422026543	0.0185363932368244	0.0194649460194427	0.0247662812455408	0.0135580197639108	0.0105719947080088	0.00905212937003026	0.0155360788925786	0.0130488739236888	0.0216633657429851	0.0120311456000675
A549_G1_1C	0.00351545097479026	0.00916575123950724	0	0.010786020280619	0.0159570056538924	0.0320318664646607	0.0101106963550656	0.0196494237997284	0.00784486340931565	0.00936255289334531	0.00451014831621938	0.00959902137334221	0.0122131183726266	0.00545251507081214	0.0155759688509245	0.00585770680738517	0.0175572752921337	0.00852372399184185	0.0103766471562248	0.012823821044797	0.00155972668153037	0.00985327838029794	0.0108344973786311	0.0184934980665455	0.00655920337847996	0.00533605406032975	0.0103512304421439	0.00679543105241075	0.00475161487999181	0.0155924792627611	0.00580205702345983
A549_G1_1D	0.0113515943957943	0.0180762666803044	0.010786020280619	0	0.00643759585157841	0.0215860651304201	0.00495306313811715	0.0103687347893483	0.00571671274224447	0.00223749889806799	0.00755021378074791	0.00408768572228577	0.0220519750794078	0.014465441851195	0.00917449084525612	0.014298386314797	0.00899577014871911	0.00663275941456887	0.00363490578092349	0.00674325353893679	0.0102259611739213	0.0100090293846411	0.00705089393664791	0.00917311023220659	0.00496748914092143	0.0111686001704117	0.0194608137605009	0.00698601405306238	0.0108710762687578	0.0065493755287493	0.00985271403883333
A549_G1_1E	0.0172643114879019	0.0240672789330449	0.0159570056538924	0.00643759585157841	0	0.0173242675687122	0.00758109977405035	0.00394571744728523	0.0117380581288706	0.00736008257648538	0.011800923960294	0.00999786554750134	0.0278057306642735	0.0203954002791311	0.0069013441751994	0.0191403483212787	0.00284213925523614	0.0130493563638037	0.00883951102757425	0.00533717378968736	0.0156260374871049	0.0118826913290452	0.00862762474332592	0.0076143416407679	0.0105952956021086	0.0157041838757487	0.0248644062555625	0.0107875928577546	0.0143907335227766	0.00732864600863174	0.0141040025541534
A549_G1_1F	0.0322805237503102	0.0392024536010947	0.0320318664646607	0.0215860651304201	0.0173242675687122	0	0.0244274116022223	0.0150930864306528	0.025432371313165	0.0234389208135534	0.0281739888141002	0.0233338476547715	0.0433276160901244	0.0356066625056622	0.0190792127174744	0.0339628122844778	0.0172767119079385	0.0264952777009448	0.0221541108506853	0.0225317507507102	0.0312540585824374	0.0262904583372957	0.022902116869601	0.0187594612989429	0.0265250122446459	0.032470499164769	0.0390872650511193	0.0262226847201045	0.0313770377604655	0.0203552891679411	0.0309636497372549
A549_G1_1G	0.0118628648530479	0.0176156338797242	0.0101106963550656	0.00495306313811715	0.00758109977405035	0.0244274116022223	0	0.0110341327267628	0.00889387091537522	0.00306121612321037	0.00696529041674122	0.00819041988406757	0.0211912823846668	0.0143206085848088	0.011265794125663	0.0149020825477502	0.00921753161629348	0.00907334536554867	0.008122519686804	0.00419353171210193	0.0102893078052825	0.0111181467653727	0.00922561039285271	0.00890789750896505	0.00463772872352388	0.00838064631697149	0.0201846652667571	0.00813314011575529	0.00853941348524417	0.00665288619349144	0.00675022055147419
A549_G1_1H	0.0211234974198549	0.0279345897865525	0.0196494237997284	0.0103687347893483	0.00394571744728523	0.0150930864306528	0.0110341327267628	0	0.0155808061732854	0.0112502628053659	0.0153521984466106	0.0138043752361374	0.0315938584053731	0.0242555830483502	0.00821825854116802	0.0226387918815246	0.00238973817636895	0.0169532806916247	0.0125523334365422	0.00793868810850059	0.0193741852901772	0.0145645551692007	0.0115266864198926	0.00898952459282576	0.0144638479217008	0.019212745551358	0.0284961831902328	0.014226110252414	0.0176289180199958	0.00998116989862462	0.0175694914032826
A549_G1_2A	0.00694992255903072	0.0140462704499357	0.00784486340931565	0.00571671274224447	0.0117380581288706	0.025432371313165	0.00889387091537522	0.0155808061732854	0	0.00608303360097917	0.00653713047077971	0.00219770344259519	0.0180592177604265	0.0103228117040625	0.0117405584328827	0.00997912373056492	0.0140935018228534	0.00352748327111353	0.00336754157343283	0.0114102283203665	0.00663570160551754	0.00924031992781328	0.00764666051389426	0.0145035940600729	0.00525756991567292	0.0105378527338221	0.0144094077516469	0.00572490859789327	0.010261523312571	0.011538525623869	0.00994628411918907
A549_G1_2B	0.010386009610119	0.0168044493519975	0.00936255289334531	0.00223749889806799	0.00736008257648538	0.0234389208135534	0.00306121612321037	0.0112502628053659	0.00608303360097917	0	0.00621501896936544	0.00514817135671576	0.0206558683341456	0.0132724874629579	0.0102010258628206	0.0135468893456848	0.00959564721839247	0.0066052547095228	0.00512204916950369	0.00589792806492606	0.00907898483956279	0.00994015808487397	0.00759567194947161	0.00948578926955989	0.00327217490070536	0.00909684785305495	0.0187409840694253	0.00656876356291046	0.00906756275984837	0.00674314985346404	0.00770524009823336
A549_G1_2C	0.00690819603117036	0.0135683398487971	0.00451014831621938	0.00755021378074791	0.011800923960294	0.0281739888141002	0.00696529041674122	0.0153521984466106	0.00653713047077971	0.00621501896936544	0	0.00751824607576445	0.0167154085497973	0.00975391505601878	0.0112822286047364	0.00811598112885834	0.0132009171237171	0.00832166767203015	0.00767587534550015	0.00879173098988103	0.00447720754027184	0.00650432858823846	0.00684862829851015	0.015458882525101	0.0047938038697552	0.00673177900260546	0.0138206311253638	0.00314116407076645	0.00401176342002279	0.0128522488170724	0.00596628828597853
A549_G1_2D	0.00902222362057279	0.0159801865311952	0.00959902137334221	0.00408768572228577	0.00999786554750134	0.0233338476547715	0.00819041988406757	0.0138043752361374	0.00219770344259519	0.00514817135671576	0.00751824607576445	0	0.0200654585430796	0.0123258104541948	0.0106656093686538	0.0120137620188321	0.0125109073051874	0.00410615415886905	0.00159112185993766	0.0104275527194066	0.00854073572110631	0.0097138153435453	0.00730980846153347	0.0127118898996659	0.00551289997760895	0.0115725503553409	0.01659381570965	0.00643564658693025	0.0113344226463854	0.00986639363696543	0.0107220506909359
A549_G1_2E	0.0112142881128182	0.00441943008697314	0.0122131183726266	0.0220519750794078	0.0278057306642735	0.0433276160901244	0.0211912823846668	0.0315938584053731	0.0180592177604265	0.0206558683341456	0.0167154085497973	0.0200654585430796	0	0.00774891699198061	0.0276442272174407	0.01255995802267	0.0295712984918698	0.0171823290356654	0.0212982305150891	0.024494357382906	0.0127057925334938	0.0212783336332756	0.0227524262362651	0.0287307690130238	0.0174086047600156	0.0134533916996148	0.00959616948938489	0.0187634106908019	0.0154362945631118	0.0256938392493885	0.0150556920718187
A549_G1_2F	0.0035517279714516	0.00400355533233366	0.00545251507081214	0.014465441851195	0.0203954002791311	0.0356066625056622	0.0143206085848088	0.0242555830483502	0.0103228117040625	0.0132724874629579	0.00975391505601878	0.0123258104541948	0.00774891699198061	0	0.0203263393456983	0.00732825633176726	0.0223328466640296	0.00969133719922328	0.0135517206247732	0.0176672232076722	0.00548499220173726	0.0146216215021391	0.0154678197897432	0.021802413520229	0.0101009682820161	0.00813885969829292	0.00805768573316858	0.0115564463212272	0.00983758959276202	0.0186841205179335	0.00931805453317788
A549_G2_2A	0.0169022990072355	0.0243071295732062	0.0155759688509245	0.00917449084525612	0.0069013441751994	0.0190792127174744	0.011265794125663	0.00821825854116802	0.0117405584328827	0.0102010258628206	0.0112822286047364	0.0106656093686538	0.0276442272174407	0.0203263393456983	0	0.016654883035559	0.00690502159346131	0.0145607993219037	0.00914021471059472	0.00893149466423959	0.0149710812108718	0.00757466048698424	0.00497814405180138	0.0144198622958807	0.0125591536287453	0.0173012097070539	0.0225429754445527	0.00888616536410303	0.0141688631840132	0.0134981796127158	0.0159599943814068
A549_G2_2B	0.00585055880672112	0.0105395886054001	0.00585770680738517	0.014298386314797	0.0191403483212787	0.0339628122844778	0.0149020825477502	0.0226387918815246	0.00997912373056492	0.0135468893456848	0.00811598112885834	0.0120137620188321	0.01255995802267	0.00732825633176726	0.016654883035559	0	0.0205777067184751	0.0117678033670626	0.0125383030824894	0.0168096371403791	0.00522901538187432	0.00959294256599902	0.0117765992346822	0.0230270391447475	0.0113452920903847	0.0110709695143773	0.00615196167045913	0.00841515288021965	0.00885427215705188	0.0201519563430212	0.0115685906068209
A549_G2_2C	0.0192371786543498	0.0260326440302553	0.0175572752921337	0.00899577014871911	0.00284213925523614	0.0172767119079385	0.00921753161629348	0.00238973817636895	0.0140935018228534	0.00959564721839247	0.0132009171237171	0.0125109073051874	0.0295712984918698	0.0223328466640296	0.00690502159346131	0.0205777067184751	0	0.015622821351142	0.0112800036751384	0.00580706640508897	0.0173536329536189	0.012539440381458	0.00970355600971541	0.00918149754482326	0.0126929531639726	0.0171682938200489	0.0265066290517222	0.012194635528809	0.0153361828668104	0.00955030079772091	0.0155313618733781
