	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00201348798599535	0.0103720275441329	0.00642645992225667	0.0180198245868585	0.00238239361691355	0.0253819853196649	0.00369303148207346	0.00848199701835678	0.00542305730198633	0.00331815478850382	0.00795135934646622	0.00724264908619247	0.00853802580638898	0.00540674272640791	0.0124294442737108	0.0125064839134743	0.00766706039937745	0.0162451899050762	0.00764832853763939	0.0202712134378838	0.00719546504204389	0.00561134226402385	0.0166569469189022	0.0165324676013512	0.0264365810677905	0.00794786418452821	0.0133203447668857	0.00519166848957707	0.0192482655731626	0.0147213036263206	0.0230306331479287	0.0310680739820334	0.00899205283608124	0.00344495551122	0.0105856439774481	0.0131246940759519	0.000786863662828751	0.0199977190095082	0.0126738867760974	0.0165516202261133	0.0283620879191287	0.00294677593946228	0.00364813707794761	0.00949280828373282	0.0022582378246917	0.00520032467033457	0.00314768507949287	0.00308315430367227	0.0110255015022932	0.00318283511661045	0.0106973269374561	0.0150741781242639	0.00284691009494171	0.00865594200633825	0.0232922972455959	0.0182140023666592	0.00498291642141126	0.0158123073811258	0.0139657995421448	0.00821920567793871	0.0234753130171434	0.0108997645118325	0.00398961484780434	0.0229204279452302	0.0282178529862421	0.00297114221346733	0.0238007101480828	0.0101750649587539	0.0063692319468299	0.0120455682416727	0.00964453511659629	0.0181691837432116	0.0141180653265266	0.00187619978564858	0.0255850213860686	0.0168192230789471	0.011498687203246	0.0295095212692905	0.0192074133208365	0.00466070183348481	0.0257005111351332	0.0111716495628866	0.00821362199180892	0.0299347626379727	0.00835220905351747	0.0237199505652579	0.00346470918799868	0.00563721445225555
A549_G1_1A_2	0.00201348798599535	0	0.00866376864584034	0.00625196067828663	0.0161916543178339	0.00360536125100836	0.0236501705037053	0.00329954751602313	0.00696880528478065	0.00367198472595866	0.00510771805573306	0.00710240736916754	0.00651250506445544	0.00680618868731912	0.0062699713732209	0.0144421033679072	0.0143567579316506	0.00937879548683468	0.0148306105081979	0.00564974663083655	0.0183223490039302	0.00519794400146561	0.0042484739776267	0.0148726198104812	0.01495858445603	0.0245485450067256	0.00673026436426089	0.0115171556744349	0.00346564314827153	0.017571617106098	0.0130113011984342	0.0213362821976635	0.0292157285174321	0.00754700564675917	0.00270107319129307	0.00870326965276302	0.0118951458529773	0.00152198265696573	0.0184603946792867	0.0108286275315319	0.0146290873128309	0.026608950892106	0.00119588666593292	0.00306139673208256	0.00870874363065068	0.00127311110706572	0.00404382589068057	0.00333303210603255	0.00347895782578041	0.0102765256417092	0.00215632828394286	0.00969231979932993	0.0135229890686768	0.00465352971840938	0.0104206437508917	0.02151676203912	0.0164785814921224	0.00346187744878202	0.0149007074169727	0.012896302849053	0.00653457948036844	0.0220602396675517	0.00978918445085021	0.0047850067143988	0.0210212466652051	0.0267171764834539	0.00361205780805765	0.0221909968264294	0.00819812873753596	0.00436179276273563	0.0103468899229206	0.00941729698162582	0.0162780361734054	0.0125531057613019	0.0036502755851908	0.0238774903549346	0.0150007518912254	0.010017211458166	0.0276389656151898	0.0175582597798074	0.00407164384284838	0.0238701158985168	0.00918248530126715	0.0102241565017914	0.0281450973628531	0.00922962631439326	0.0220890929288613	0.00436827699158107	0.0042014915825633
A549_G1_1A_3	0.0103720275441329	0.00866376864584034	0	0.00762512149509102	0.00776003052526235	0.0102741478581693	0.0150128219474294	0.00759096497818951	0.00226982824924019	0.0082943735344612	0.0122282600331389	0.00520616291950069	0.00573781862873029	0.0018592400162194	0.010580011402112	0.0220043331664101	0.0228638750201938	0.0180086204334071	0.006660589229507	0.00599132617634889	0.0106070661940428	0.00465923388277566	0.0049574981232338	0.00632149039077291	0.00639268814187414	0.0162921963089508	0.0037199548898722	0.00308738131512372	0.00520833567223794	0.00890856389358012	0.00435344070239346	0.0126769784349508	0.0208017545807039	0.0022537824178459	0.00731493336013493	0.00186130153670871	0.00488403669693007	0.00960721535352796	0.00991383594110674	0.00271439500846309	0.00682374410125946	0.0179931839305738	0.00750364476936872	0.0107476751162873	0.00561819333554915	0.00812571030424276	0.010252228762834	0.00859606446525251	0.00893522532560369	0.00634616990653381	0.00730702050652145	0.00481833945630892	0.00503233724872264	0.0119388918248484	0.0164409520823726	0.0129326666141039	0.00784272097580553	0.00540974237286146	0.00872569060963305	0.00640730641901687	0.00215332122031985	0.0136979655460911	0.00429133412612937	0.00986849207071447	0.012855205238168	0.0181764328844024	0.0093481388414932	0.0135495248254591	0.00680575193118367	0.00534880980602785	0.00168320464760152	0.00827164009347306	0.00815266089502488	0.00406364361456281	0.0111732986734965	0.0152243911560688	0.00654911633099696	0.00224934523607735	0.0192930300959131	0.00890117514168855	0.00686369997117535	0.0154029085857466	0.00397103174218907	0.0178614889924833	0.0195812707177104	0.0122426406825467	0.0134359421741336	0.00996663499145545	0.00485099116345479
A549_G1_1B_1	0.00642645992225667	0.00625196067828663	0.00762512149509102	0	0.0150120433030231	0.00464432921314986	0.021473377362724	0.00295461979652753	0.00538792623439884	0.00908647166686822	0.00611957793688412	0.00267698348768436	0.0019474960515783	0.00649214910266621	0.00322467241975247	0.0151683051179514	0.0172863900509226	0.0132310620242779	0.0114245805148309	0.00927705986792673	0.0181851400453978	0.0078250957822541	0.00386880445699306	0.0134638897675277	0.012288088789322	0.0235058378527291	0.00391422830936051	0.0105981268424931	0.00515144898240062	0.0152994172295731	0.0112783522463107	0.0190072769273309	0.0277521734561064	0.00541069274284262	0.00358542350614827	0.00892818160846732	0.00796983668118284	0.00579123897665347	0.0154203863569891	0.0103377395029914	0.0144290425916236	0.024491774353728	0.00548607274406496	0.00930624522016939	0.00365519563424006	0.0049800976906501	0.0101486357731812	0.0032797612691606	0.00339071231806487	0.00496590135597693	0.00418760078967843	0.00520948335494177	0.0108504003238848	0.0060707531963631	0.00906428981037255	0.0196901142948181	0.0146262646192106	0.0044229092466703	0.00980749467297825	0.00833698396786184	0.0060498579371658	0.0183781182731884	0.00566788531009289	0.00324912082440086	0.0202054938111507	0.0232947171434002	0.00363415962390956	0.0193758512068332	0.0116276069487653	0.00754998446985765	0.00890032323233499	0.0032251611642227	0.0156334424806005	0.0100450887397993	0.00583841615450148	0.0215483499457593	0.0138333930291305	0.00743652361480876	0.0263609206478686	0.0151313792283104	0.00229130256993825	0.0223621524914852	0.0105896046841727	0.0113206567646192	0.0262365388576563	0.004672062833507	0.0193858912918596	0.00366891369961455	0.00411426533674602
A549_G1_1B_2	0.0180198245868585	0.0161916543178339	0.00776003052526235	0.0150120433030231	0	0.0180334515793543	0.00770573744548796	0.0153457407467248	0.00995166481434124	0.0148765010180131	0.019986471619009	0.012366024648214	0.0130647564881604	0.0095151788792542	0.0181419730583329	0.0297495476236123	0.0305201881610704	0.0255643409313353	0.00603061609750419	0.0119582144900746	0.0039095320796086	0.0113513891693863	0.0127167912174533	0.001567192196706	0.00417138485412955	0.00854615700514324	0.011178802910349	0.00470829791897722	0.0128305885612016	0.00303016855953435	0.00375921233073841	0.00574775810249507	0.0130594102883677	0.00970553103340507	0.0150713003080993	0.00751797041168684	0.00834979428201948	0.0172758214736829	0.00531467206702351	0.00536517532481757	0.00261427542341399	0.0105332763250777	0.0150909746536017	0.0177809421219829	0.0120472939693423	0.0158066082882833	0.016835909840484	0.0163501610057074	0.0166872875693002	0.011879864338326	0.0150369088908264	0.0105724377118026	0.0049160361871327	0.0196978744778264	0.0240315987061343	0.00542336588621315	0.00172672082491527	0.0131266572346452	0.0107702289781175	0.00938810906070429	0.00987723180922254	0.00903824857286015	0.00993185800546767	0.0175656725196717	0.00519668605063571	0.0121914573502544	0.0171000361966106	0.00723178291215261	0.0110143953115256	0.0122149277947614	0.00619816394147785	0.014633935923493	0.00141134057262434	0.00530847576270489	0.0189224541317357	0.00805559307955169	0.00121094773173123	0.00761850433816512	0.0115345864710836	0.00340906316296165	0.0145870451780306	0.00768294683272951	0.00782396383036629	0.0256184286723307	0.0119779698027219	0.019376746275247	0.00695468461001213	0.01769687484828	0.0126047498532977
A549_G1_1B_3	0.00238239361691355	0.00360536125100836	0.0102741478581693	0.00464432921314986	0.0180334515793543	0	0.0250972481104213	0.00271073648612538	0.00812681237243094	0.00727639609151032	0.00196025857168093	0.00673700805292469	0.00595082179957439	0.00857569742825203	0.0030339793943228	0.0117655034798541	0.0129357869990354	0.00861926829556854	0.0154764396850065	0.00894944886000441	0.020661805284683	0.00810093906346532	0.00531985150533076	0.0165772884697611	0.0160226202321949	0.0265603529417393	0.0071935861573274	0.0133466373596407	0.0055295959603602	0.0188976120875308	0.0145067763921696	0.0226811583027983	0.0310610783274569	0.00849696313999452	0.00298909857455147	0.0108975150553015	0.0121548439459305	0.00221111274145761	0.0193784660617205	0.0128234477921648	0.0168743942242832	0.0281094490785095	0.00386179200448508	0.00599327917927708	0.00811529246440074	0.00285396081493863	0.0074300257290402	0.00173059296456742	0.00143273510913507	0.00955065101844888	0.00318144601753198	0.00951976047020146	0.014549808977888	0.00167557021364603	0.00694313204706069	0.0231231507658053	0.0180004207850782	0.00502807847431599	0.0144023822124749	0.0127713437503882	0.00818267680246101	0.0226258482370197	0.0098443015379984	0.00168524450473735	0.0231020245912105	0.0274750875564125	0.00106223473016153	0.0232776887279252	0.0115427815038699	0.0073983782774101	0.0118712228805228	0.0077388013278062	0.018365173425284	0.0136375643306624	0.00119413085953039	0.025245818731964	0.0168226948342926	0.0109494226627729	0.0295635242146255	0.018802292680516	0.00359257923671633	0.0256564652857479	0.0118919722148128	0.00759151453957548	0.0297630420465169	0.00596987576730746	0.0232376959764724	0.00114415044081389	0.00544606247555028
A549_G1_1C_1	0.0253819853196649	0.0236501705037053	0.0150128219474294	0.021473377362724	0.00770573744548796	0.0250972481104213	0	0.0223881954492913	0.0169990800362188	0.0225621358457303	0.027007617630763	0.0188111383173448	0.0195882253097013	0.0168574368980963	0.0246957890707904	0.0365892771957776	0.0378568212203393	0.0330127636157249	0.010279202490783	0.0196596682442435	0.00802557761644176	0.0189919636515996	0.0198771043701056	0.00881809161286602	0.0091863687612411	0.00461374275439675	0.0179510861567125	0.012171980495767	0.0202143621417452	0.00620724801536661	0.0106629969349264	0.0024763315521805	0.00668668340423396	0.0166019455539363	0.0222284977853867	0.0151112350406375	0.01370489192346	0.0246145394025156	0.0064093546273941	0.0129409209189101	0.0100211223257905	0.00302179780827752	0.0225064391383334	0.0254220604451332	0.0180344251948977	0.0231324030971749	0.0245288190666623	0.0233727431241913	0.0236923827808263	0.0173337443668663	0.0222856956107008	0.0164256210232025	0.0106332424438865	0.0267717817316478	0.0304963479735526	0.00235244937156587	0.00717383122246299	0.020409794209201	0.0141880450250387	0.0140047949373934	0.017164741689335	0.00628466117736212	0.0158737142463957	0.0243787406490651	0.0052210436001297	0.00583912459558028	0.0240981359974974	0.00300341137253208	0.0186511927584724	0.0198433837630768	0.0133388054626004	0.020250949911413	0.00822060204477883	0.0114921139749843	0.0260859660957698	0.000610209316985761	0.00879663676517894	0.0141789976008713	0.00579843075462831	0.0063444506481874	0.0215316344212596	0.00261604969166783	0.015527418874817	0.0325830397714037	0.00479683312295605	0.0253483230227362	0.00270028948602906	0.0245964572758194	0.0198051815929687
A549_G1_1C_2	0.00369303148207346	0.00329954751602313	0.00759096497818951	0.00295461979652753	0.0153457407467248	0.00271073648612538	0.0223881954492913	0	0.00541968524576126	0.00637601522029868	0.00464639775322445	0.00427946392730558	0.00355287689323387	0.00594576847274558	0.00371593280130527	0.0144158745855904	0.015589617364885	0.0110802188887448	0.012837283968861	0.0071875632898198	0.0180637118330172	0.00601573252071217	0.00266725978654755	0.0138787776182947	0.0133271822252483	0.0238817503870937	0.00451449196670223	0.0106732014722192	0.00322651901858364	0.0161895610212079	0.0117987819602713	0.0199745374965532	0.0283616110467191	0.00578765110080429	0.000739824615630634	0.00833441607062955	0.00958281725362495	0.002970761826409	0.0167066376549682	0.0101835549994501	0.0142670249964265	0.0254000311525118	0.00263834006442146	0.00635170562039298	0.00580173013436438	0.00202665086340843	0.00724958928690544	0.00100519178990144	0.00134663440338198	0.00733281021151375	0.00134056066245381	0.00705259971014038	0.0118543508604703	0.00438629735791977	0.00913384574674775	0.020414184659027	0.0152909111403048	0.00257653632933577	0.0121262533488858	0.0103271153317315	0.00553579073337817	0.0200256653262495	0.00730481756187414	0.00249953577285251	0.0204388992607704	0.0248434621699978	0.0017590547090486	0.0205911943057744	0.00972850539428285	0.00548139071907664	0.00917028125548085	0.00614602596743466	0.0157147963969729	0.0109354484363495	0.00374066543059879	0.0225394254130494	0.0141354204883443	0.00825041034411246	0.0268719335475711	0.0160978763221517	0.000979688446145112	0.0229550664521878	0.0095272585901167	0.0102757171822936	0.0270536524256743	0.00642833221149458	0.020544922054957	0.0024428243447821	0.00282604633196636
A549_G1_1C_3	0.00848199701835678	0.00696880528478065	0.00226982824924019	0.00538792623439884	0.00995166481434124	0.00812681237243094	0.0169990800362188	0.00541968524576126	0	0.00747467465220824	0.0100652188894138	0.00313948480312625	0.00355341792492051	0.00141629521122353	0.00831026483844311	0.0198028151578561	0.0208840547380024	0.0161478412784255	0.00786733728866974	0.00590376078829173	0.0128767652611117	0.00429863339116681	0.00288926699989514	0.0084664608597838	0.00805118969423464	0.0184966807424115	0.00155368618796057	0.00533585964279374	0.00356569542657964	0.0108169754051683	0.00638038045927288	0.0146064950885003	0.0229461298161919	0.000675265679175678	0.00523077236726816	0.00360950170848059	0.00515837022181475	0.00769898205964849	0.0115236318747413	0.00497787799550862	0.00909227299602181	0.0200043080695911	0.00577373654678692	0.00944193183428326	0.00398272267785394	0.00622673621953149	0.00929585152019719	0.00641923672633872	0.00675126049188921	0.00513218678342875	0.00532156098940154	0.0038060982283703	0.0065934719120791	0.00980111763599991	0.0141741175071132	0.0149988544979877	0.00987674240910996	0.00352749617255928	0.0086862396745821	0.00643343078439483	0.00111245999457965	0.015093466679083	0.00353611415642607	0.0076233405381094	0.0150876730526871	0.0197656727040854	0.00716302288759318	0.0153229375703778	0.00750616895923716	0.00466775143646972	0.00375805761819603	0.00643594113449529	0.0104078387905311	0.00563658794152412	0.00908965295479437	0.0171697648081486	0.0087441623005339	0.00304855051406841	0.0214653793205715	0.0107518832144531	0.00463567642821641	0.0175380058927942	0.00549568740986037	0.0156891946993056	0.0216425720684364	0.01003742420876	0.0152486207128487	0.00774583698815147	0.00284498588459823
A549_G1_1D_1	0.00542305730198633	0.00367198472595866	0.0082943735344612	0.00908647166686822	0.0148765010180131	0.00727639609151032	0.0225621358457303	0.00637601522029868	0.00747467465220824	0	0.00870596318539306	0.00898675482533622	0.00865356150214299	0.00661946849561649	0.00980997943289484	0.0175701617945064	0.0165889607367088	0.0114277533121619	0.0149429818436527	0.00298883777433902	0.0163138574647485	0.00368117454204186	0.00577459385717254	0.0137887963652127	0.0146115011106566	0.0227979347577846	0.00799338008661082	0.0105161135937344	0.00436366184966	0.0168024301216585	0.0122975178699957	0.0204193616663468	0.0275865158668754	0.00814888165942988	0.00564207377542268	0.00754336577651604	0.0126132124362637	0.00515010819413501	0.0181079674567557	0.00967882693456169	0.0128789935738916	0.0254044445045699	0.00376068254354884	0.00310240867274329	0.0105278742264312	0.0046352092752845	0.00198776162085345	0.00676122852870215	0.00698070456097118	0.0120312729313187	0.00503553691849179	0.0110380719749327	0.0133093170205893	0.00823998185029202	0.0140459719746962	0.020298989959402	0.0155314565690367	0.00493554537751443	0.0161325653487941	0.0139046848255291	0.00657642745083787	0.0219663064094276	0.0109177670311972	0.00834918130255905	0.0192603987194649	0.0263164167208481	0.00718682734971452	0.0215365850699523	0.00508602132687447	0.00294730819341595	0.00984815658523488	0.0119577367743571	0.0146565316565201	0.0123492757766316	0.00724066502195686	0.0228723682570993	0.0137673388213394	0.0102392836411183	0.0259409141379939	0.0168821881261661	0.00680089652098906	0.0223927755206753	0.00716326440025866	0.0134303846867154	0.0267855452251572	0.0127122837165096	0.0213695503072613	0.00797947252673072	0.00558292787503826
