	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.00625196067828663	0.00329954751602313	0.00510771805573306	0.00651250506445544	0.0143567579316506	0.0183223490039302	0.00519794400146561	0.01495858445603	0.017571617106098	0.0213362821976635	0.00270107319129307	0.0118951458529773	0.0146290873128309	0.00306139673208256	0.00404382589068057	0.00333303210603255	0.00215632828394286	0.00465352971840938	0.0164785814921224	0.012896302849053	0.0047850067143988	0.0267171764834539	0.00436179276273563	0.0103468899229206	0.0125531057613019	0.0150007518912254	0.0175582597798074	0.00918248530126715	0.0102241565017914	0.00436827699158107
A549_G1_1B	0.00625196067828663	0	0.00295461979652753	0.00611957793688412	0.0019474960515783	0.0172863900509226	0.0181851400453978	0.0078250957822541	0.012288088789322	0.0152994172295731	0.0190072769273309	0.00358542350614827	0.00796983668118284	0.0144290425916236	0.00930624522016939	0.0101486357731812	0.0032797612691606	0.00418760078967843	0.0060707531963631	0.0146262646192106	0.00833698396786184	0.00324912082440086	0.0232947171434002	0.00754998446985765	0.00890032323233499	0.0100450887397993	0.0138333930291305	0.0151313792283104	0.0105896046841727	0.0113206567646192	0.00366891369961455
A549_G1_1C	0.00329954751602313	0.00295461979652753	0	0.00464639775322445	0.00355287689323387	0.015589617364885	0.0180637118330172	0.00601573252071217	0.0133271822252483	0.0161895610212079	0.0199745374965532	0.000739824615630634	0.00958281725362495	0.0142670249964265	0.00635170562039298	0.00724958928690544	0.00100519178990144	0.00134056066245381	0.00438629735791977	0.0152909111403048	0.0103271153317315	0.00249953577285251	0.0248434621699978	0.00548139071907664	0.00917028125548085	0.0109354484363495	0.0141354204883443	0.0160978763221517	0.0095272585901167	0.0102757171822936	0.0024428243447821
A549_G1_1D	0.00510771805573306	0.00611957793688412	0.00464639775322445	0	0.0076719546480231	0.0111869217298176	0.0226183076820456	0.00995375894523701	0.0179023502643041	0.0208039527389277	0.0245820876619278	0.00494868547438556	0.0139134396416583	0.0188325527057018	0.00683100540608152	0.00848221212474084	0.00364648428410586	0.00511164064922593	0.000471584969068432	0.0199303596673779	0.014424983707786	0.00287049480366552	0.0292623956786583	0.00921144559474328	0.0138162973675857	0.0155314038255631	0.0187758779328129	0.0206981718202927	0.0138022139701787	0.00563399243416066	0.00249402191597125
A549_G1_1E	0.00651250506445544	0.0019474960515783	0.00355287689323387	0.0076719546480231	0	0.0188459623316847	0.0162566074834775	0.00666349002923515	0.0104069325036539	0.0133993965613995	0.0171285994622337	0.00388759661314183	0.00624248747911642	0.0125126960290107	0.00952307015031396	0.010034303739452	0.00430268405888588	0.00436309158908988	0.00753967234330706	0.0126952607961712	0.00682714899070952	0.00486964890919462	0.02159632684675	0.00658425697446084	0.00696124832353518	0.00812835274364993	0.0118861921333639	0.0132446292064757	0.00894132032930709	0.0130803618291895	0.00517941357533131
A549_G1_1F	0.0143567579316506	0.0172863900509226	0.015589617364885	0.0111869217298176	0.0188459623316847	0	0.0326268052663644	0.0194547294836951	0.0288957504054452	0.0316953845036484	0.0354826155448673	0.0156630595449098	0.025077676290702	0.0289719382360892	0.0135049634984775	0.0150822799796652	0.0146548437582829	0.015578258516478	0.0113088692197333	0.0307004268010099	0.0256080081413027	0.0140456268528505	0.0404032326973573	0.0185844325685817	0.024528476624937	0.0264918095376111	0.0293214966783846	0.0316313738795474	0.0234201439397871	0.00656908147554656	0.0136786756477179
A549_G1_1G	0.0183223490039302	0.0181851400453978	0.0180637118330172	0.0226183076820456	0.0162566074834775	0.0326268052663644	0	0.0131758337468788	0.00807810251371984	0.00630502542309524	0.00713405065370343	0.0176745304670458	0.0121372724181573	0.00379918157880761	0.0193825390050563	0.0181517172488841	0.0190605452739471	0.0175295476949378	0.0222811381073461	0.00542800133913211	0.0132567607319064	0.0204334904660182	0.0135810495096287	0.0140465298888279	0.00930648412786042	0.00903456613022498	0.00474374260919255	0.0067490650501833	0.00922386892988507	0.0282199155791189	0.0204890349800272
A549_G1_1H	0.00519794400146561	0.0078250957822541	0.00601573252071217	0.00995375894523701	0.00666349002923515	0.0194547294836951	0.0131758337468788	0	0.0109327935495071	0.0131480505650738	0.016801089624181	0.00537114562283794	0.00922772074583959	0.00955096280569969	0.00643355524595604	0.0056653036897209	0.00684367690832822	0.00497591653475394	0.00954841080561157	0.0119038147688715	0.0106255177668806	0.00848886922651725	0.0226400489230162	0.000875774002596028	0.00617348766009355	0.00869059459081141	0.0102067844363642	0.0132164323065405	0.00398784552553095	0.0153554876798188	0.00832633129359708
A549_G1_2A	0.01495858445603	0.012288088789322	0.0133271822252483	0.0179023502643041	0.0104069325036539	0.0288957504054452	0.00807810251371984	0.0109327935495071	0	0.00304690090223847	0.00672241882719013	0.013239362241788	0.00467014872338171	0.00578618774385818	0.0171396807614266	0.016589493169495	0.0142922692946374	0.0133687195399724	0.0176909459267586	0.00283376528360068	0.00540123153688022	0.0152221143957687	0.0117881522770134	0.0116891864469765	0.00476819175155133	0.00241469888186716	0.00362728927093256	0.00284493576762267	0.00853515292016814	0.0234406712254941	0.0154610190082781
A549_G1_2B	0.017571617106098	0.0152994172295731	0.0161895610212079	0.0208039527389277	0.0133993965613995	0.0316953845036484	0.00630502542309524	0.0131480505650738	0.00304690090223847	0	0.00378980936144128	0.0160460814056695	0.00769891726730178	0.00557455218519456	0.0195255575276818	0.0187889775891831	0.017171299084389	0.0161240215027703	0.0205717481045041	0.00144804329805899	0.00828124681571928	0.0181748798525262	0.0096138444344419	0.0139670831756235	0.00722541526181883	0.00528652149897213	0.00349643438542929	0.00044614639746255	0.0100979986852258	0.026378309291833	0.0183905138561212
