	A549_G1_1A	A549_G1_1B	A549_G1_1C	A549_G1_1D	A549_G1_1E	A549_G1_1F	A549_G1_1G	A549_G1_1H	A549_G1_2A	A549_G1_2B	A549_G1_2C	A549_G1_2D	A549_G1_2E	A549_G1_2F	A549_G2_2A	A549_G2_2B	A549_G2_2C	A549_G2_2D	A549_G2_2E	A549_G2_2F	A549_G2_2G	A549_G2_2H	A549_G2_3A	A549_G2_3D	A549_G2_3E	A549_G2_3F	A549_G2_3G	A549_G2_3H	A549_G2_4A	A549Root1	A549Root2
A549_G1_1A	0	0.012665832016743	0.00796580915821301	0.0120206833276512	0.00755109978539284	0.013600642351755	0.0162817340014562	0.0140872695632417	0.0124079187705506	0.0164134124276484	0.031905328381867	0.00902944437101071	0.0177952662047393	0.00867205765917352	0.014890192731122	0.0112142106255599	0.00951399330838875	0.0162375952933483	0.00740703713294179	0.0112773748566936	0.0121989125731122	0.00884182086543552	0.011486113289906	0.011646526692717	0.00969933090814293	0.013112088862172	0.0106170895835616	0.0155943529199361	0.0102930906669242	0.023892158816444	0.0157375982729689
A549_G1_1B	0.012665832016743	0	0.00557349293594032	0.00613252841887748	0.0066736898271621	0.00381880876989564	0.0123362935528966	0.00502952977762769	0.00706431689076856	0.00786970837763928	0.037138282867179	0.00661586035629162	0.0224277386353695	0.00817953675218375	0.00784329597840169	0.00725599058325082	0.00696285097615087	0.0123428363880024	0.00749867124257165	0.0110914734885253	0.0112799721298992	0.00697997513643075	0.0100521338670968	0.00631863912739748	0.00595680184021631	0.00698586000488939	0.0086941979983209	0.016080646134013	0.0082064801893198	0.0178140918222689	0.00666606424696716
A549_G1_1C	0.00796580915821301	0.00557349293594032	0	0.00510034962960663	0.0032280483962936	0.00572615284632123	0.0144334789628491	0.00921594666589791	0.0052126339804374	0.0121384513025391	0.0325576720666066	0.00247947721467685	0.0176714260154086	0.00411526882722369	0.011276809284224	0.00449465584348941	0.0073515815344044	0.0103565782309339	0.00212461482962539	0.00824491289502745	0.0075686165712949	0.00254679501538335	0.00665971848546042	0.00426130521480022	0.00483967469167034	0.00651794847864163	0.00544931195779472	0.0124699302639482	0.00490063464066494	0.0216166608301041	0.0109057862869935
A549_G1_1D	0.0120206833276512	0.00613252841887748	0.00510034962960663	0	0.00496519741293548	0.00550214792260089	0.0179478541268245	0.0104402096654002	0.00478945984486732	0.013551709727036	0.0318091987862521	0.00586666247566727	0.0179947073601938	0.00389823907165715	0.0135950966257148	0.0058032020970691	0.00959665713532331	0.00927497044106143	0.00601478014052787	0.00583266569088767	0.00644551924211531	0.00374071323298641	0.00870450943902609	0.00433094269849844	0.00906980928518617	0.00844406741452882	0.00313115105572364	0.0103933404073572	0.00286734205343016	0.0231450079980464	0.0127517566753219
A549_G1_1E	0.00755109978539284	0.0066736898271621	0.0032280483962936	0.00496519741293548	0	0.00785927420221845	0.0156644900022563	0.00936205412511303	0.00744273111375283	0.012422214692659	0.0326791334854505	0.00551456405707421	0.0185192081738139	0.00306983074795297	0.0118716261523461	0.00721473161439209	0.00608690198942405	0.0124075085583832	0.00444535583669698	0.00606374204397542	0.00850299481009653	0.00359599375573685	0.00945297979126339	0.0065609026987953	0.00757970872317541	0.00961050898239628	0.00484665686139519	0.0125323878320375	0.0043800974685453	0.0213679082604366	0.0119237335696163
A549_G1_1F	0.013600642351755	0.00381880876989564	0.00572615284632123	0.00550214792260089	0.00785927420221845	0	0.0146906301620611	0.00870716120422752	0.00407524552533252	0.0112528523758782	0.0347625821686391	0.00528575866630207	0.0200072999744747	0.00799661776278708	0.0110605275931693	0.00463430438517144	0.0102793607954033	0.00879600241661299	0.00681562724722163	0.0112066148846497	0.00898921109530443	0.00622702539161211	0.00738756263489138	0.00371889441421091	0.00620180769733966	0.00423938986292109	0.00787386836018852	0.0139089849358902	0.0074706146103146	0.0212375693362569	0.00948127899923874
A549_G1_1G	0.0162817340014562	0.0123362935528966	0.0144334789628491	0.0179478541268245	0.0156644900022563	0.0146906301620611	0	0.00941457607878585	0.0175234609041781	0.00789943840983803	0.0460062636199798	0.0152006253569322	0.0305289152813333	0.0182191348870183	0.00582374353615329	0.0166436066111952	0.0114884036014424	0.0222103242019903	0.0157251179630417	0.0216093256986201	0.0216186347110827	0.0169456837988112	0.0177672368141346	0.0167676270024403	0.010699740870676	0.0144684119509072	0.0196085388927234	0.0267860574710906	0.0190493535318356	0.0118550788404488	0.0069434862897
A549_G1_1H	0.0140872695632417	0.00502952977762769	0.00921594666589791	0.0104402096654002	0.00936205412511303	0.00870716120422752	0.00941457607878585	0	0.0120151389861331	0.00317016872523461	0.0415393763654747	0.010797270926334	0.0268286043327015	0.01183946711902	0.00374607515972832	0.0119652513992237	0.00559509218693806	0.0173414904744159	0.0112682379356712	0.0142165147957512	0.0159528192574916	0.0111112181427381	0.0144845342788732	0.0112033564443985	0.00847363289384993	0.0111961180946419	0.0127784168366091	0.0206199658239632	0.0122847804177483	0.0128597484227528	0.00362832741967328
A549_G1_2A	0.0124079187705506	0.00706431689076856	0.0052126339804374	0.00478945984486732	0.00744273111375283	0.00407524552533252	0.0175234609041781	0.0120151389861331	0	0.0148124559040621	0.030710367142556	0.00370321925244756	0.0159636941199509	0.00612913261784836	0.0143456918048465	0.00176084851782571	0.0119436362414608	0.00550828030362272	0.00500944671532478	0.00946018928855885	0.00508490776260457	0.00424286188240182	0.00446751257853364	0.000983885414434049	0.00734672576172771	0.00459528731882255	0.00558338926645209	0.010167450045506	0.00531623670266501	0.0247750294469467	0.0131108189632627
A549_G1_2B	0.0164134124276484	0.00786970837763928	0.0121384513025391	0.013551709727036	0.012422214692659	0.0112528523758782	0.00789943840983803	0.00317016872523461	0.0148124559040621	0	0.0445976727207362	0.0135572042848001	0.0297324982848816	0.0149713572026915	0.00245322653231966	0.0146888117347828	0.00791139501491821	0.0199925333348136	0.0141155281839531	0.017348332570448	0.0189790369932191	0.0141651593826263	0.0170189982001582	0.0140409168982144	0.0105357640468111	0.0133518653289659	0.0159349582298882	0.0237325677688302	0.0154370683765494	0.00999461385150399	0.00288485718203692
