	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_3	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00749520241820818	0.0200601133266116	0.0262906861100052	0.0189228789520479	0.0127502503383842	0.0230466637604349	0.0174146934504643	0.0199841455362398	0.0156581605937681	0.0130371420033242	0.0242868214870215	0.00880990552065693	0.021531585169902	0.0251468352753751	0.0102570186280244	0.00884049619748441	0.00859062362589808	0.0120387042916187	0.0261725336083461	0.0123803363489037	0.0245345033665633	0.0202182304526524	0.0241686440701712	0.0189568100685203	0.026791574333998	0.0282430192439802	0.00942812609064163	0.0272098943699772	0.0235108565994588	0.0210639805142706	0.030441144323371	0.0228776497036745	0.0142027468278772	0.013276289590005	0.0248828894081657	0.010449508779366	0.0228588043212199	0.0303829100950238	0.0278016376590563	0.0170337287395737	0.0182970778872509	0.0224704462792257	0.0203749010533153	0.0164955375768783	0.0145984450138209	0.00789608738540375	0.00771383276234316	0.0242755883621301	0.0124106997086506	0.0217099001762491	0.0118165036939103	0.0115337968947202	0.0104821022629759	0.0179325185923703	0.0186506936072061	0.014838515698031	0.0215277356146148	0.022687564430868	0.0178838799483922	0.015258704695694	0.0238957206264051	0.00806632437871628	0.00338342585033233	0.0205908562526945	0.0260475057335528	0.00944485778682413	0.0300137025604589	0.0192034093580901	0.0265122673773295	0.0263367171499991	0.0301483045193251	0.0345058481428871	0.0163567113418447	0.0169812790757898	0.0236718884931896	0.0300171518970449	0.0138047862284691	0.0181410915546946	0.0235976114467772	0.0154439715443843	0.0181065772560611	0.035330310085687	0.0246335605458699	0.00974311363176473	0.0196297312182983	0.0269557481412455
A549_G1_1A_2	0.00749520241820818	0	0.0146134069610703	0.0247578213551612	0.0135130884688415	0.00680365464992504	0.0196540896143234	0.0113260203164291	0.0135631288080075	0.0129086536478997	0.00608522579456847	0.0185771576293132	0.00840671314989907	0.0188984692369708	0.0226934999789521	0.0110657002241961	0.00201023113766357	0.00360045878615064	0.00813925789350231	0.0210010196312931	0.00621593875438911	0.0212466343888632	0.0167419367974699	0.0181378492106249	0.015260125527516	0.0202202597211887	0.0213776658271233	0.0086882449788082	0.021238309330883	0.0173372840289643	0.0167013610213177	0.0247423659554546	0.016525567025662	0.00796783120615327	0.00750722045776613	0.0197126572757398	0.00843375454489643	0.0170457978504185	0.0256351095429905	0.0247690156723337	0.010649088597073	0.0150432564851104	0.0165785215700837	0.0156889210836377	0.0128744358676169	0.00758266647502204	0.0037716230255686	0.00511405196285528	0.0192670656908592	0.00554120637256937	0.0172218329343081	0.00625415740002298	0.00775213508820304	0.008059013849607	0.0109975174258337	0.0139945693116471	0.0107764302759873	0.0168472384726411	0.0179268146304276	0.0137660366590045	0.00942264846064646	0.0216528453587824	0.00240552520685869	0.00517369225140091	0.0139781079472696	0.0210791945589437	0.00415857749861493	0.0251903621087383	0.0125751243616068	0.0210245362392231	0.0212931006803156	0.0275791145594125	0.0302748540145288	0.0113608424836898	0.0113376838456184	0.0192410310644176	0.0245826862096677	0.00872468731358325	0.0124051999740694	0.0178689159687558	0.010192215542836	0.0173905233282221	0.0322082151417251	0.0229061350065217	0.00662839720910474	0.0140517105697867	0.022317883930514
A549_G1_1A_3	0.0200601133266116	0.0146134069610703	0	0.0323494597220385	0.0073413741484902	0.00927478067036198	0.0269601299483044	0.00555416300433014	0.00392953610131072	0.0194287427852296	0.0103416460176106	0.00621294171579984	0.0215560469942242	0.0122265576480544	0.0127861122165532	0.0237040629212429	0.0126640362823799	0.0120214330430649	0.0201117594670193	0.0223256862117121	0.0123186576741723	0.0288578297427217	0.0260784710889346	0.011419851669909	0.0240495753496735	0.01614720507778	0.0115055531704148	0.0215222623175971	0.0235984774868719	0.0109283303162261	0.0195758003728117	0.0252319697825899	0.00769554919677262	0.0129316215753921	0.00984237147223289	0.0064758022455396	0.0198150481971858	0.00401013424892749	0.0119938509326987	0.0302394609401618	0.0152246627135947	0.0092735272139468	0.018659482300455	0.021860828655872	0.00569447448302323	0.014591503706062	0.0125459173265267	0.0138136441806969	0.00637037768547932	0.0118302375470908	0.0223422098691041	0.00886437590925981	0.00902648508269961	0.01926639606733	0.00898743488773937	0.00543542713357834	0.017399419350257	0.00465219418064575	0.00525516792819775	0.0195441808127328	0.00553174767125412	0.0147384901443984	0.0146817461944928	0.0173658733352351	0.0165835706456342	0.0248895967984532	0.0131286555976324	0.0293319902005611	0.0121317725613658	0.0210275054125393	0.0249200174893764	0.0338203433052696	0.0334893007295294	0.0158485061357392	0.00418343197634946	0.0201374206077244	0.0237066199597867	0.00717944322860257	0.0172267856154529	0.00762954279274046	0.00549373993159198	0.0275410239927649	0.037025350190174	0.0169575847706899	0.014799795519515	0.00993462713012615	0.0121638829608395
A549_G1_1B_1	0.0262906861100052	0.0247578213551612	0.0323494597220385	0	0.0257934418434049	0.0296772084867706	0.00839541529553781	0.0298240882022422	0.0302534710449737	0.0138537941764241	0.0255354237630699	0.0373517519303691	0.0182472647914352	0.0416300208482989	0.0432901127538984	0.0164259325795749	0.0252812331728499	0.025930820543987	0.0192746408603369	0.0146866932741218	0.0214765735343031	0.0082069014431587	0.0123822317293454	0.0251039391494962	0.0117680131479186	0.0234685344818546	0.0315630746837661	0.0175087504370683	0.0175857373525944	0.0251217135926853	0.0143928360923087	0.0176137588677151	0.0279957041449668	0.0209162747838118	0.0233328431610885	0.0386206113480284	0.0166345864569825	0.0319063467741773	0.0436313345060673	0.00567431603048561	0.0195790450019382	0.0378028280263131	0.0170713483929271	0.0133144214543421	0.0328232717569154	0.0222227104053767	0.0261416054224438	0.0284920773610894	0.038035746275747	0.0231314343464694	0.0131080370738084	0.0260590140002921	0.0302381193565507	0.0171983302166085	0.0247123864399156	0.0352846341081162	0.0154604381645427	0.0361050592021096	0.0374993888476451	0.0136224427919636	0.0279241947005299	0.0445157355467774	0.0255780308590915	0.024468204971225	0.0199496342805809	0.0130537842371977	0.0231884271921877	0.0134489294251126	0.0222130692097368	0.0171224965402009	0.0130865272728048	0.00530052092244735	0.0134581175166193	0.0166337266791239	0.0286017823865394	0.0152471976089615	0.0177635801103513	0.029398191019836	0.0166585154912092	0.0289102979472488	0.0299827779535872	0.0107783185278338	0.0106297593555733	0.0462433867283161	0.0208908113914236	0.0235451074074639	0.0431226687711331
A549_G1_1B_2	0.0189228789520479	0.0135130884688415	0.0073413741484902	0.0257934418434049	0	0.0114808175418715	0.0208964768063388	0.0072555354042931	0.00649030819644875	0.0131596034229478	0.00980451685345427	0.0126819723958623	0.0179213343424707	0.0184303082918311	0.0187923576151589	0.019605712549723	0.0117240950169101	0.0114449320438996	0.0172509478428733	0.0160339380129837	0.00870082542659374	0.0229171950855938	0.0213597158363363	0.00637407022853068	0.0187939446913349	0.0118486888513131	0.0113987299272993	0.0176933143001372	0.0186041463745766	0.00585947971935598	0.0126771819353851	0.0197143963741413	0.00510994734947721	0.00861844212641009	0.00642228921898331	0.0133693879269586	0.01545288813332	0.00654069834442191	0.0179417669363042	0.0235648124743188	0.0113998971783233	0.0152183751606073	0.0129756899093424	0.0167128273924976	0.00982013046022818	0.0123444676334603	0.0120250347411696	0.0140392877223081	0.0126840282142993	0.00919095569605746	0.0161729681719999	0.00781692811683554	0.0110211563551478	0.014905730494781	0.00602228330107594	0.0117166229682747	0.0116158846430305	0.010984589984019	0.0124636972289409	0.0132785626642941	0.00583256358405601	0.0213975185773374	0.014211607334228	0.0156497861179982	0.0122280131743565	0.0188863148213666	0.0111109466452033	0.0236677471039843	0.00838094955309993	0.014712824577298	0.0190441333628751	0.0271546792606653	0.0270638453400165	0.00998963779646765	0.00533485945037374	0.0130078278382671	0.0176170836114165	0.00938321515585246	0.0121382466861379	0.00487335330246964	0.00755054136691353	0.0218262379478946	0.030421333548289	0.023428844647452	0.0107571766578244	0.00291043703632595	0.0186683230015902
A549_G1_1B_3	0.0127502503383842	0.00680365464992504	0.00927478067036198	0.0296772084867706	0.0114808175418715	0	0.0239979388047761	0.00707805974859923	0.00877507819491214	0.0171141085473915	0.0047162811078921	0.0123207512427431	0.0150560675713846	0.0134499241700283	0.0173068255166006	0.0176113910987574	0.00536871703799521	0.00532046560643496	0.0132662742921968	0.0227124320286187	0.00840127827111794	0.0256668832966008	0.0213026390586795	0.0162234355581123	0.0198742644020568	0.0189881444186086	0.0173591289750435	0.0152237666311585	0.0227206143080614	0.0154308556714157	0.0192974595208203	0.0258654639646314	0.0133218486222285	0.00991146797887616	0.00766055046414964	0.0134180484940403	0.0144181362657904	0.0123945309729594	0.0195119816025415	0.0286805671471247	0.0121326220102051	0.00936392455866956	0.0181000117073479	0.01888703559895	0.00824670656100391	0.00923009596480456	0.00586404243978228	0.00687395055528715	0.0133402077572743	0.00714453827517485	0.0205265935813408	0.00515399859054556	0.00446536347508739	0.0139591379521519	0.00915146006837651	0.00783523558613753	0.014613990836326	0.0111738007154783	0.0116970886661861	0.0174096566180423	0.00580377940446905	0.0159934392561877	0.00641327619450662	0.0106661644019553	0.0149604242062032	0.0237197335553702	0.00730401400963803	0.027874155223486	0.0118583035271576	0.0222068169312533	0.0237818796213262	0.031873985332791	0.0331116219005372	0.0139801340270616	0.00724940908559404	0.0211645115092189	0.0254824931989482	0.00414886814771931	0.0147646898137242	0.0146435967432898	0.00599804845669537	0.023238401212858	0.0358733566211221	0.0175984689687692	0.0108260290871502	0.0130417167216454	0.0161296219250298
A549_G1_1C_1	0.0230466637604349	0.0196540896143234	0.0269601299483044	0.00839541529553781	0.0208964768063388	0.0239979388047761	0	0.0237038810223295	0.0242213089387823	0.0104695680956803	0.0199348052600308	0.0311848217759632	0.0145250593609678	0.0362532659231538	0.0385751870790872	0.0141485588740708	0.0199994908468685	0.0212635108556357	0.0142314812398737	0.0100663098649839	0.0161433433202154	0.00217525892206649	0.00721933001282724	0.0200672409314504	0.00495518462649421	0.0178716363573737	0.0255484518918634	0.0138394741592679	0.0106387308594825	0.0196946360798868	0.00947227518682699	0.0128823203294655	0.0222737803799061	0.0148240507149467	0.0183640157635191	0.0328413187537031	0.0126861860983214	0.0264002413612068	0.0379777048699028	0.00680976911948708	0.0134957990284769	0.0324598015103461	0.0101638415284665	0.00793072896215756	0.0281994568479882	0.0157544150117758	0.0216691502688805	0.0234739264690959	0.0322335955634535	0.0171680520550617	0.0059283932148056	0.0209855526781064	0.0253294820702957	0.0127804321381426	0.018455873788583	0.0296588510233632	0.0107556163745008	0.0305811077513018	0.0320245231454562	0.00803884048296169	0.0224841796944184	0.0394423777495494	0.0206408350727927	0.0208415236951038	0.0124536460708799	0.0065035881075252	0.0186651015898822	0.00893898487112008	0.0164769485351135	0.0117231467581102	0.00717954290385216	0.00870740746770012	0.0121469047921191	0.0115975285690741	0.0234703045488677	0.0113500757142109	0.0138680354419445	0.0244498388294717	0.0103669043341939	0.0238330659353954	0.0244369367705128	0.00875237070607009	0.0134521904608131	0.0410947442404897	0.0166433763960864	0.0184758099233962	0.0367846234822179
A549_G1_1C_2	0.0174146934504643	0.0113260203164291	0.00555416300433014	0.0298240882022422	0.0072555354042931	0.00707805974859923	0.0237038810223295	0	0.0038225405821156	0.016735682244198	0.00815603923076345	0.00850128204401661	0.0180305589973318	0.0134727488093241	0.0159998854455055	0.0205700462102013	0.009372494564307	0.00987164754258165	0.0169682963248159	0.0205782852315421	0.00945515711810966	0.025566092420902	0.0229650368020988	0.0117674039046253	0.0205790835378955	0.015692544201486	0.0127995043541817	0.0180941253786603	0.0209809859181477	0.0106392125056302	0.016953988018815	0.0236265564118384	0.00798501207587499	0.00919935118591604	0.00788338552822583	0.0100032781578629	0.0165498088189746	0.00694003981542714	0.0154377425067778	0.0278954895753758	0.0128602857853746	0.0102837562590692	0.0158978951741851	0.0195223790332114	0.00795688729684945	0.0113278521862492	0.0105058530986297	0.010469869932382	0.00907152283799088	0.00796608075678528	0.0188977540444036	0.00652438066162365	0.00768902234259947	0.01571608848174	0.00641316950376435	0.00669211626762571	0.0145898517253318	0.00738057756747155	0.00919450552427876	0.0164045908731778	0.00372734109837167	0.0171203975190887	0.0120580578238013	0.0146669109565593	0.0132500607559006	0.0220831262081119	0.0110178212120855	0.0268466057993906	0.0109497258257295	0.0189887418733641	0.0224456378995363	0.0312594424506126	0.0311863734616587	0.013497346225005	0.00536927295382184	0.0182163152886402	0.0225122347506928	0.00734038677674999	0.014565410903137	0.0091943588472199	0.00301813589293968	0.0238206332841608	0.0349063656179335	0.0187332605570811	0.0117375621697778	0.0088504922204633	0.0133258158034689
A549_G1_1C_3	0.0199841455362398	0.0135631288080075	0.00392953610131072	0.0302534710449737	0.00649030819644875	0.00877507819491214	0.0242213089387823	0.0038225405821156	0	0.017775660775204	0.00883967741712744	0.00710977776406198	0.0200802906589091	0.0147458639216333	0.0162792697307014	0.0223874749645895	0.011645988032115	0.0117340163819788	0.0181202988602935	0.0196348621543101	0.0105759116782164	0.0260364819719478	0.023425725875553	0.00953474305259554	0.0213481991729396	0.0133719295835442	0.00939317792703618	0.0200004086465221	0.0201812933553966	0.00867552287450405	0.0172196333985041	0.0222305132617843	0.00543607277381928	0.0105123023324075	0.00868708630025181	0.00865537089356064	0.0182334072424433	0.00427689199182822	0.0141606783842414	0.0278187477537077	0.012576167960409	0.0115934228677761	0.0155061520043559	0.019276971885591	0.00865912069628406	0.0119558676398527	0.012441106762709	0.0135868467835956	0.00840923203263559	0.00974743221774853	0.0194526582013486	0.00837547409901915	0.0099292145241481	0.0175853974881909	0.00584003767442611	0.00751128165977285	0.015461079225745	0.00737480063497823	0.00827187912314738	0.0171706736316854	0.00495154876025383	0.0176418188960604	0.0138212473266786	0.0171088424378447	0.01310603898195	0.0217994405485058	0.012322365399311	0.0262103718130846	0.00954375749383525	0.0181714522849739	0.0218966352425606	0.0313425690864855	0.0305880814944104	0.0137416839382589	0.00454297186393675	0.0179486848130341	0.0210747424669343	0.00791846838418269	0.0144917901760312	0.00689807072397535	0.00568000884968972	0.0254951418591388	0.0344598522976807	0.0196852570247326	0.0138266875635865	0.0082098425554953	0.013477083073992
A549_G1_1D_1	0.0156581605937681	0.0129086536478997	0.0194287427852296	0.0138537941764241	0.0131596034229478	0.0171141085473915	0.0104695680956803	0.016735682244198	0.017775660775204	0	0.0136301560482862	0.0246568307875118	0.00955767561631406	0.0280253776030255	0.0297143435207154	0.00965661188210099	0.0128179457354726	0.013373344853069	0.0116077036672346	0.0121038781732045	0.00894306130887416	0.0125531726439411	0.0122595431518663	0.0149933722537674	0.00903957412980301	0.0163383235377721	0.0217682448989411	0.00897653663977379	0.0154503916517231	0.0146166843763353	0.00632264509589183	0.0171481499449259	0.0165319976894938	0.00848781776010281	0.0103724487747002	0.0257254123820343	0.0065954768845198	0.0195113845570546	0.0307607612331162	0.0136327099011519	0.0103748966982061	0.0243727562699072	0.0103686543111585	0.00989864801698422	0.0194163370009804	0.0121218491845421	0.0136213355150682	0.0157105586120088	0.0249125004284127	0.0106048971791004	0.00835248909822876	0.0127930757104059	0.0169405461962159	0.00649104917001194	0.0128979835333168	0.0219610870287759	0.00321327790981215	0.0227460694629867	0.0244062849890514	0.0040352545496787	0.0147209736990021	0.0311835644666856	0.0142239867539192	0.0128551724252379	0.0116421841346527	0.0125702645307853	0.0111265637582656	0.0171773372678266	0.0122241373537935	0.0125977449129676	0.0130727694934216	0.0165817215295971	0.0199968932560416	0.00542026680980283	0.0157602992858773	0.00879275144732465	0.0158843223731893	0.016632564749579	0.00822485234056433	0.0172368578536339	0.0164962381319537	0.00923162087697848	0.021383796885034	0.0327883855718627	0.00755119617609986	0.0114607356449902	0.0299525036283029
