	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_3	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00591807091167178	0.0059135154704363	0.0261627537145569	0.00299518913889321	0.0134146205928366	0.0334474336571633	0.00767645129040734	0.0205933575284234	0.0126599744886545	0.00182232845856951	0.00574497348227366	0.00560644024883307	0.00515405313316889	0.0155206232728226	0.0067085141548823	0.010586046354469	0.00758996747218415	0.0055392599923471	0.00738131281800761	0.00764015444962757	0.0108429201535641	0.0116656701743538	0.0144929564231457	0.0180980007487529	0.00476574558376692	0.0101954650491447	0.005981377534439	0.00564152017973658	0.0122324520276244	0.0136616120026004	0.012026633665343	0.00361309643574904	0.0107277858609159	0.00982688347887865	0.0141074256414242	0.00903453924311238	0.0148076637341601	0.0092798318070024	0.00869638616611766	0.0107757249836142	0.0133680522924507	0.0163385210832934	0.0186833099714748	0.00687959392150204	0.0220216959657327	0.00764308211413312	0.00593142190652565	0.0220103364340123	0.00707110906131627	0.0125886483534509	0.0111243769376465	0.0104127209261504	0.00519794586226245	0.00340289666082221	0.0123689715546004	0.0139674140694612	0.0104985234077903	0.00659510892054144	0.0208093247259021	0.00836347696975595	0.00918354577163373	0.0108588339582363	0.011028529149146	0.0075821180286139	0.00564798308145751	0.0145320388332708	0.00690174827395982	0.00679619683492783	0.0109716412592198	0.00570751825424701	0.00982369293062093	0.0153611964892473	0.00795396872360418	0.00891423312996325	0.00589260741241215	0.00823214537724596	0.00677041138447228	0.00535291602182102	0.0118872140943142	0.00261771731839048	0.00858024675534763	0.00584050842468625	0.0288649302223664	0.00522402760903422	0.00474592015903417	0.0108933332486348
A549_G1_1A_2	0.00591807091167178	0	0.0041049434379947	0.0220679881366579	0.00391498059414561	0.0106104221041912	0.0294704737177649	0.00240297155794169	0.0154191060669971	0.00695722507122724	0.00747475374328684	0.000652951556058664	0.00231018199992081	0.00690968401256598	0.0156468621962253	0.00304060281933712	0.0125669771466389	0.00513350456672238	0.00234887137028194	0.00441684323653378	0.0121073560054884	0.00519127569105748	0.0059017827739279	0.00860492231586685	0.0123392198691554	0.00516568961994954	0.00601743329737626	0.00463808217880044	0.00546827485984785	0.00908305376423806	0.00794309909217208	0.00722833310355532	0.00353056467935368	0.0087370422170544	0.0133528126496574	0.0168337720643979	0.00313636465801217	0.00904259037718598	0.00780336167024052	0.00723776824851903	0.0120743838997208	0.0123416220809513	0.0128275349395046	0.0158866584462669	0.00133863785319137	0.0163640639515263	0.0017890255867594	0.00129371009737438	0.0185583287349743	0.0089192775965705	0.00686571173575639	0.00759571755268184	0.00501795498496912	0.00214625376299829	0.00332815932099512	0.00645958134234358	0.00898914560490418	0.00488785303294598	0.0032042003144622	0.0161336097295469	0.00445831802050397	0.00611702059564082	0.0114238002512492	0.0147583408153498	0.00191069677050092	0.00228703269795138	0.0115563901275214	0.007777926579103	0.00290332203647295	0.0052179179091807	0.000256581323768997	0.00680365336579543	0.0115622496858457	0.0086574735412888	0.00319461528022526	0.00454094198409296	0.0069907441639842	0.00328726960172348	0.00438865126101606	0.00957024387435347	0.00595527955924828	0.00351818304554581	0.0105385020733528	0.0244325869574573	0.00247160425882813	0.00569927153643547	0.00594891328588286
A549_G1_1A_3	0.0059135154704363	0.0041049434379947	0	0.0259991244468281	0.00293754932677563	0.00763749823480062	0.0334005196985179	0.00642262764263812	0.0189058584266059	0.00803548956021667	0.00658892446736297	0.00345243493761632	0.0017961424685684	0.00352071414377906	0.0115997414737744	0.00704772735598998	0.0086074935764977	0.00169049385039749	0.00607394148052151	0.00153337992084875	0.0092813264974063	0.00861547675879999	0.0090605633917603	0.0111296241977742	0.0151456976757492	0.00804645915740443	0.0101040183186719	0.00814853228791205	0.0086562606254953	0.00635476239698746	0.00898493395612869	0.0064553317672416	0.00236838188325869	0.00518489306736875	0.00988458885501007	0.0129496560406929	0.00567551744425141	0.0101627900635412	0.00395677502550483	0.00334873197140935	0.00801034028177198	0.0161826450937867	0.0169146633783362	0.0199894944116423	0.00367034651292462	0.0192703811168843	0.00539158781373749	0.00529782542066936	0.0226272564232949	0.00514888481314041	0.0100279226291248	0.0117002775740271	0.00872997292280627	0.00572303136527505	0.00565120822352827	0.00898111372449992	0.0127644146400168	0.00839679818892907	0.0014315545362647	0.0199089279146537	0.008558419245924	0.00327068943624134	0.0073192554199521	0.0113140762064705	0.00576208199173562	0.00182239081777041	0.0156582981553735	0.00382893396394596	0.00694367330088163	0.00667369747631765	0.00417349004786084	0.010873198707783	0.0156285284533034	0.00460657515610532	0.00498793478038231	0.000476376725066526	0.00300904817929786	0.00153521382539736	0.000737869613318923	0.00624100876582376	0.00415284798552594	0.00752273919181448	0.00807133343457188	0.0282367094425722	0.00603139680850076	0.00843593835759257	0.00552625420257842
A549_G1_1B_1	0.0261627537145569	0.0220679881366579	0.0259991244468281	0	0.0256741040571253	0.029637984125486	0.007407490924648	0.0196661876582395	0.00871186979869002	0.0210567031983533	0.0279761393667319	0.0226823215297139	0.0242580602081714	0.0289555935511661	0.0367420242988862	0.0197363508586233	0.0345913136233085	0.026438711870313	0.0209646037797691	0.0256735761971943	0.0336559554230475	0.0175676934174634	0.017418687852491	0.0169746447036407	0.013969432398572	0.0216029992220125	0.0162067259011456	0.0202072181231722	0.0207686392660341	0.0281824728152111	0.0209052049982734	0.0243166698696097	0.0254640093454103	0.029259214691404	0.0353092477212838	0.0388886936004753	0.020653551203008	0.0205191594693448	0.0289568521895882	0.0285345036434156	0.0339773294998806	0.0152852914829148	0.00990160460655046	0.00881699928857065	0.0223380266202072	0.0118390466517079	0.0206095204102358	0.0211593600188793	0.00495309520686254	0.0309829054824203	0.016601370069108	0.0150467796294925	0.0172950566433158	0.0213659028815717	0.0228641015324135	0.0183112336958297	0.0132948994189016	0.0177156929426649	0.0247376979959615	0.00645235686807002	0.0180095967179614	0.0265546391395947	0.0331208303442061	0.0366797247737698	0.0202578893062183	0.0242225827645769	0.0119277150094979	0.0297979481450737	0.0197257943054834	0.0209819250654782	0.0220889049695536	0.0163465356821043	0.0108043197925564	0.0305993707503635	0.0215550196365599	0.0264685284380319	0.0284605542081474	0.0247244955141121	0.0264107018393448	0.0295306998659815	0.027541049328941	0.0185508994480072	0.0319076033318098	0.0032856412675292	0.0212132055389732	0.0218424203802468	0.02366514765856
A549_G1_1B_2	0.00299518913889321	0.00391498059414561	0.00293754932677563	0.0256741040571253	0	0.0105305030780944	0.0330547509388019	0.00619162364929225	0.019308820371101	0.0100161710438767	0.00396520580185732	0.00348225345169504	0.00277391801428341	0.00349003304562769	0.0135367470969965	0.00597659069507565	0.00939735344147053	0.00462578048345806	0.00477083582914748	0.004386566399942	0.00820614590778894	0.00910537235532072	0.00979242252733894	0.0123678670403537	0.0162032754039859	0.00574421058855367	0.00947089518225284	0.00630133957672722	0.00649891343754815	0.00928711857334502	0.011013339787765	0.00908676595885241	0.000633332555346747	0.00794332306695971	0.00964061059901942	0.0134422582822738	0.00673412408317571	0.0121838081470361	0.00656406176709484	0.00595730035646168	0.00921744692007232	0.0143509237012387	0.0161299994579257	0.018894664181207	0.00444976569362864	0.020255690409327	0.00568807251693198	0.00454337279927193	0.021890523564482	0.00564516614234845	0.0107637783945739	0.0107923625880303	0.00890596174428765	0.0043645256116788	0.00341482668617108	0.0101872451398678	0.0128095542623736	0.00880257716279297	0.00364066363743	0.0199084709540914	0.0076910032404724	0.00620559402093414	0.00894583217979263	0.011013509420987	0.00581621318417837	0.00282064828732315	0.0145855664166727	0.00491181251590251	0.00596416003515421	0.0084071659260812	0.00379676388355352	0.00970234515978928	0.014974108380999	0.00596082058197852	0.0064013446437464	0.00297454637489931	0.0055234729965519	0.00381495124653971	0.00244834816046473	0.00906411535749394	0.00204315552886285	0.00726811047945806	0.00662396234828847	0.0281592112707758	0.00457517656994891	0.00601693994929994	0.00799713509672708
A549_G1_1B_3	0.0134146205928366	0.0106104221041912	0.00763749823480062	0.029637984125486	0.0105305030780944	0	0.0368293925098074	0.0121629618470899	0.0213785612340964	0.00861741349275673	0.0136791690122384	0.0100716199653891	0.00879046651807691	0.00913013256762154	0.00785798014900295	0.0135574933553387	0.0095715663392522	0.00596824851794416	0.0129489521035096	0.00644593069711032	0.0137620657613222	0.0126157320538257	0.0124598893155814	0.0127631775478632	0.0164455817607599	0.0154542327332841	0.0155962565731617	0.0152215640001521	0.0159403438976837	0.00158418692596975	0.0089423917593298	0.00532758536939666	0.00999682999746017	0.00285697585745401	0.0126593508460418	0.0132187557679925	0.00982446902569266	0.00967245206615786	0.00434727602884994	0.00483852650999409	0.00821529975111687	0.0228326712093587	0.0219443840023747	0.0253764124048275	0.00943316736048183	0.0202506310350299	0.0108395598676439	0.0118889390628956	0.0272464831713761	0.00879079932024097	0.013146243235263	0.0173797998067038	0.0132490208254038	0.012696715364736	0.013132712643772	0.0113535464811586	0.0167236939647284	0.0126125491988637	0.00761930797729745	0.023200329455362	0.014598070151306	0.00455903140471272	0.00677001346490254	0.0138274721347518	0.0113699964702575	0.00877885655989316	0.0212482005466271	0.00768005669378789	0.0133819307617469	0.00876469274418911	0.010805544851655	0.0169942231697338	0.020531781737798	0.00714860862985594	0.00889768676960961	0.00755647496100111	0.00532040426632831	0.00748218482129108	0.00808774368497524	0.0016755647765926	0.0111769651703068	0.0129953281799905	0.0134213993821249	0.031239848116352	0.0130276949847466	0.0159028028393343	0.00607083002444349
A549_G1_1C_1	0.0334474336571633	0.0294704737177649	0.0334005196985179	0.007407490924648	0.0330547509388019	0.0368293925098074	0	0.0270696053697118	0.0155438198142528	0.0282222104749727	0.035250923647409	0.030085734838819	0.0316615379556644	0.0363518307134573	0.0440566769759991	0.0271033570871959	0.0419912291716276	0.03381994335813	0.0283288178765375	0.0330572593344467	0.0409859843471878	0.0249434552768131	0.0247570131719375	0.0240913280808879	0.0207469081064119	0.0288198171415073	0.0235884482891141	0.0274731497437244	0.027969243759245	0.0354087557958532	0.0279893562040298	0.0315095463369761	0.0328550662009909	0.0365752011881275	0.0426875160132451	0.0462869062891374	0.0280273055445701	0.0274975736338617	0.0363163931283169	0.0359045523414136	0.041371097297747	0.0218190102491785	0.017116805317132	0.0153437230871384	0.0297388950209809	0.0178554488652176	0.0280125543098853	0.0285512941797329	0.0115877679535988	0.0383831940895695	0.0239122232165071	0.0223684836752983	0.0246927781994501	0.0287318046457966	0.0301884663700894	0.0255683238040453	0.0206822105513833	0.0251009436602962	0.032133750609853	0.0136879801628756	0.0253785418121022	0.0338948977432526	0.0405014388919752	0.0440511653869921	0.0276624910542864	0.0316260096616334	0.0190249181096648	0.0371997036093553	0.0270996670435213	0.0282625970412296	0.0294894170351034	0.0236298464829751	0.0181281033173956	0.0379981217905901	0.0289197852024782	0.0338701807352278	0.0358401123092969	0.0321183543750587	0.033813696371755	0.0368017935105011	0.0349019149229175	0.0259545179598132	0.0392257241203545	0.0057700135896728	0.028569737370512	0.0290226937096051	0.0309243634593461
A549_G1_1C_2	0.00767645129040734	0.00240297155794169	0.00642262764263812	0.0196661876582395	0.00619162364929225	0.0121629618470899	0.0270696053697118	0	0.0131318656172893	0.00659820462347568	0.00939388867833705	0.00302111079069579	0.00463761636074404	0.00930863741402667	0.0178129826066355	0.00189009209450009	0.0149560310742328	0.00721619957060802	0.00238961960030653	0.00645363647924554	0.014392183515551	0.00318581289683872	0.0040644280282835	0.00703854786815837	0.01044052655263	0.0052743917167319	0.00370458267671637	0.00409388018657771	0.00518100533833245	0.0105857649064009	0.00747342871350194	0.00793901230151067	0.00587865470012743	0.0106523199984288	0.015735604241746	0.0192337713988504	0.00277595143813359	0.00840657374749135	0.00989604258577068	0.0093676076066974	0.0144280403132375	0.0107102871116879	0.010503295585172	0.0136615676302175	0.00292460127457005	0.014346900076941	0.00132442869300741	0.00175306745930956	0.0162068842850104	0.0113210721490981	0.00494214044467828	0.00538886904365116	0.00276147283594234	0.00259731443857782	0.00445524305761944	0.0050983280844342	0.00662264781235622	0.00283236149144269	0.00532511596909287	0.0137493562054417	0.00243572151200288	0.00790277090856056	0.0137180337428485	0.0171350898967069	0.000793391029276648	0.00460676117184979	0.00936145582125965	0.0101617042280639	0.00166699291602887	0.0049479022757147	0.002440811294853	0.00483646001754713	0.0092069451033046	0.0110157116658536	0.00348428753782845	0.00687729564634824	0.00917636296403221	0.00536191018093858	0.00676776355651825	0.0113442683047096	0.00819717218852837	0.00111560178060032	0.0127674968310318	0.0220385268484757	0.00272085289151352	0.00584563135612431	0.00668694148162965
A549_G1_1C_3	0.0205933575284234	0.0154191060669971	0.0189058584266059	0.00871186979869002	0.019308820371101	0.0213785612340964	0.0155438198142528	0.0131318656172893	0	0.0127735661289689	0.0223851312089248	0.0159415164300762	0.0173205451702193	0.0222124107063321	0.0288122452912866	0.0138928894064087	0.027423919311801	0.0189874544903754	0.0150568910813434	0.0182610468968982	0.0275133645612684	0.0103195028930515	0.00985749262933741	0.0086224300078051	0.0052663949957655	0.016736216708688	0.0105430064153572	0.0151691268880295	0.0160674150246515	0.0200053098659667	0.0124756548426351	0.0160760969966301	0.0189491573953834	0.0213646726777126	0.028692726979295	0.031797817826889	0.0132535185353852	0.0119593211184615	0.0212953068537521	0.0209546280209515	0.0266223454543033	0.01401290824848	0.0076541874752284	0.00991149345573791	0.0152998631659885	0.00402077967388586	0.0137129027538819	0.014849587046756	0.00862069098390841	0.0240491973622461	0.00890806917818886	0.0102725464370884	0.0104048642308595	0.0154107434257142	0.0171979255221559	0.0103197300003853	0.00662970731036862	0.0105768634900819	0.0175226815329118	0.00280393586368465	0.0123071851798989	0.0187995991139091	0.0255984414241129	0.0301129505520406	0.0135085850377024	0.0172775613555726	0.00948510439372225	0.0227186954092155	0.0137981665664081	0.0130293116174443	0.0155165616034141	0.0116643262807946	0.00724995501360922	0.0233743189147603	0.0140485490513284	0.0193813734516503	0.0209663509064186	0.0174693970381753	0.019446144724613	0.0214723214298694	0.0213263506902918	0.0120985707514808	0.0258976112313133	0.00987495581827765	0.0153699166796134	0.0171522446325561	0.0156056479698993
A549_G1_1D_1	0.0126599744886545	0.00695722507122724	0.00803548956021667	0.0210567031983533	0.0100161710438767	0.00861741349275673	0.0282222104749727	0.00659820462347568	0.0127735661289689	0	0.0139658360441914	0.00695823214057864	0.00725427373718771	0.0115206092270834	0.0161100473254753	0.00848707828543559	0.0155683218950179	0.00729982077176126	0.00870109051205508	0.00677443586300252	0.0173007900839914	0.00503925146371023	0.00446406987254214	0.00415151913404516	0.00799485920804539	0.0117366429085824	0.00868463360319218	0.0106837338163867	0.0117514438619716	0.00723592737030038	0.00100195348887226	0.00330312923013541	0.00941546666568723	0.0087760231771654	0.0176015380627758	0.0198846656412895	0.0039661743336886	0.00216823214630224	0.00901518859827841	0.00882552108865359	0.0145387212286208	0.0164840903370897	0.0140155401842693	0.0175524078405687	0.00580135629750161	0.0120026661441336	0.00566918381124289	0.00762705029434816	0.0189465036428248	0.0127884321630339	0.00485735015944787	0.0103760540746717	0.00594220976634957	0.00872668402944472	0.0102646916310951	0.00297755836135578	0.00849693054791298	0.00522374827561733	0.00668174094320064	0.0146084188052731	0.0085510117038228	0.00652813429816891	0.0133309055551463	0.0190121482671737	0.00605875710561191	0.00720618976085015	0.0137861095490491	0.0113242976955456	0.00826385717045055	0.00174472132630775	0.00720736737385377	0.0105548336182507	0.0125932698702573	0.0116659537014372	0.00377754365233042	0.00843056785656453	0.00898341787468574	0.00654009281398147	0.00875831665318558	0.00874367130732	0.0118695660732292	0.00675789891837004	0.0160965356693109	0.022630875689255	0.00897652816691321	0.0123066960583641	0.0030333588453018
