	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00176310669896368	0.00879221551551952	0.00751725248669878	0.00573532221831199	0.00770992805856858	0.0107286309903435	0.000446722133682122	0.00538257623748478	0.0016219524148091	0.00290705542588158	0.00350916611438507	0.0115635082375004	0.00256715513720471	0.00636820426716815	0.000702203828716656	0.0060437421688112	0.00182835999255301	0.00746172777756869	0.0022096454233823	0.000924963577168105	0.00143525658473425	0.00291414415661806	0.000575154741797757	0.00444591015401575	0.0264767100131834	0.00536681707495912	0.00382217740587305	0.00407326620277699	0.00700311457485627	0.0108877207701822	0.000238820025591386	0.00210964294896135	0.00659088320833145	0.00930392566262831	0.000871715972339319	0.000485772587526923	0.00257305464982023	0.00242704852318379	0.00950362143998224	0.00251850774503125	0.00944525019703974	0.012477936930338	0.00692028338000139	0.00624498350897633	0.00334380669440818	0.000608942897369835	0.00518401881361461	0.00596620069010592	0.00574501269296777	0.00888535090691261	0.00252580638773409	0.00288582100992691	0.00213549671436681	0.00262248240236167	0.00405182636187409	0.0099177744997312	0.00225944363369729	0.00463282428246703	0.00112377837326571	0.0132298293165437	0.00239182593326796	0.000163179991427005	0.00367532183918731	0.00649308669184355	0.00865330826898648	0.0070479951884482	0.00632739471416462	0.0100942833189665	0.00422867888516088	0.0117568884748699	0.00482963446224008	0.00502579563063938	0.0108195662495158	0.00438009836950358	0.00968687513645126	0.00627307496791234	0.0089921448819008	0.00733824083095032	6.11465148823695e-05	0.0136970029381624	0.00614005267999532	0.0103464697146448	0.00404262561594536	0.00712463202420781	0.0107619271009544	0.0140356477498465	0.0155568928035908
A549_G1_1A_2	0.00176310669896368	0	0.00702914768713138	0.00575417300660665	0.0039722298647735	0.00947298852113118	0.00896558474608186	0.00131638493627321	0.00361948180773253	0.000141154428597931	0.00467015354699077	0.00174606327689897	0.013326517223035	0.000804049739562746	0.00460511603002888	0.00246530943494799	0.00428065175855274	6.52533691353215e-05	0.00922479090549208	0.00397274657757316	0.000838143610874599	0.00319836038509797	0.00467724224375375	0.00118795238824127	0.00268281096930611	0.0247140123082827	0.00360372255609119	0.00558527061181304	0.00231016543285023	0.00524003097193128	0.00912467650736628	0.00200192642297322	0.000346536711026773	0.00482779653899575	0.0075408630825176	0.00263482122135512	0.00127733450315981	0.000809949264708149	0.000663942840152192	0.00774056099681635	0.00428160763197675	0.0112082898283004	0.0142409309101253	0.00868335204985994	0.00800805856749494	0.00510690260217796	0.00237204868452514	0.00694710273719446	0.00772927821673901	0.00398192039869145	0.0106483976795285	0.000762700903314915	0.00112271635333573	0.000372390516693854	0.000859377124168053	0.00228872550605747	0.00815471864724915	0.000496337641750449	0.00286972595861675	0.000639328778939048	0.0149928101539008	0.00415492635458892	0.00159992687231098	0.00543841590544665	0.00472999932630211	0.0104163578838693	0.00881106258477535	0.00456430619642077	0.0118573141705524	0.00599176956693361	0.0135198943764464	0.00306653709225829	0.00326269925979475	0.00905652113397201	0.00261699889214658	0.00792381669813097	0.00450998607994943	0.00722907906508561	0.00910130525570173	0.00170196025052118	0.0119339988626881	0.00437696290099306	0.0121094970094718	0.00227952472341712	0.00888769864635529	0.0125249483588211	0.0157986136958837	0.0173198283602233
A549_G1_1A_3	0.00879221551551952	0.00702914768713138	0	0.00127499302646203	0.00305694820671882	0.0165017430680402	0.00193648042503495	0.00834550508070157	0.0034096967642421	0.00717029957931154	0.0116991640802806	0.00528310751110291	0.0203549816527559	0.00622511048648142	0.00242405958339716	0.00949439841399875	0.0027485253653305	0.00696389545702671	0.0162535615474939	0.0110017845763346	0.00786727476936662	0.0102274260044327	0.0117062524852583	0.00821707560350724	0.00434636590869741	0.0176859507375717	0.00342545602370002	0.0126142413778798	0.00471900954935715	0.0017891401633871	0.00209557657925096	0.00903102877147378	0.00668261677845507	0.0022013777332214	0.000511725038926458	0.00966390503946286	0.00830645558999096	0.00621921104131474	0.00636521543450204	0.000711427070645221	0.0113106337700981	0.0182369230932442	0.0212693153781004	0.0157121567171542	0.0150369035862239	0.0121358946841798	0.00940114044125277	0.013976006480871	0.0147581392189848	0.00304725765030566	0.0176770717501584	0.00626645875711509	0.00590644794401148	0.00665676338128044	0.00616978384527311	0.00474044934587818	0.0011255938937428	0.00653281816905216	0.00415945160830604	0.00766846417768724	0.0220211256702323	0.011183957415696	0.00862903994315748	0.0124673933383945	0.00229917556548202	0.0174450483981798	0.015839859360602	0.00246486963587296	0.0188858981355825	0.0130207213099474	0.0205483422523453	0.00396264101094716	0.00376647918489349	0.00202741930852007	0.00441217770163279	0.000894686725259036	0.00251919003083773	0.000199934990353936	0.0161300837889002	0.00873107067692937	0.00490499723792316	0.0026522138294243	0.019138061239548	0.00474965007188967	0.0159164906469334	0.0195534793699046	0.022826852103041	0.0243479121268315
A549_G1_1B_1	0.00751725248669878	0.00575417300660665	0.00127499302646203	0	0.00178195764753946	0.0152268644112807	0.00321147063948805	0.00707053883142074	0.00213470703501258	0.00589532572724076	0.0104242264639363	0.00400812408340297	0.0190801656645161	0.00495013143314276	0.00114906781827873	0.00821944081581024	0.00147353417310476	0.00568892039968263	0.0149786793241117	0.00972684015857196	0.00659230527423769	0.00895247455615766	0.0104313149403319	0.00694210846205568	0.00307137893146008	0.0189607928832649	0.00215046633420282	0.0113393133621548	0.00344402388859854	0.000514147553440927	0.0033705664120796	0.00775606753908009	0.00540764014109659	0.000926385630224744	0.00178671765175039	0.00838894881972324	0.00703148906785293	0.00494423195806381	0.00509023710077725	0.00198641945785198	0.010035692309535	0.0169620709596378	0.0199945162765436	0.0144372669101378	0.013762004698907	0.0108609615540788	0.00812618209586828	0.012701094174481	0.0134832367054017	0.0017722670699877	0.0164022107553403	0.00499147991430085	0.00463146732052492	0.00538178660230509	0.00489480451268375	0.00346546376471062	0.00240058569810089	0.00525784071965538	0.00288446401826254	0.00639349339458828	0.0207463410344517	0.00990901473164955	0.00735407571684405	0.0111924637302844	0.00102418360529522	0.016170183815747	0.0145649713180344	0.00118987793756348	0.0176110566361365	0.0117457978051687	0.0192735297706657	0.00268765280995338	0.00249149040998086	0.00330240930761838	0.00313719094772009	0.00216967887369133	0.00124419842380531	0.00147492788342584	0.0148551998121568	0.00745610719654994	0.00617997657115976	0.00137722245714462	0.0178632239770748	0.00347466452500981	0.0146416036703708	0.0182786492157335	0.0215520835528774	0.0230731755880712
A549_G1_1B_2	0.00573532221831199	0.0039722298647735	0.00305694820671882	0.00178195764753946	0	0.0134450371527361	0.00499341814211173	0.00528860492630844	0.00035274986463105	0.00411338347015682	0.00864232608907106	0.00222617209491771	0.017298418546343	0.00316818373557194	0.000632890290148154	0.00643751677888979	0.000308423762375815	0.00390697685741658	0.0131968475605672	0.00794493162686063	0.00481036775796227	0.00717055769640449	0.00864941465158386	0.00516017355851769	0.00128942379479289	0.0207425029847859	0.000368509188990932	0.00955742463543279	0.00166206987077762	0.00126781050719958	0.00515251307349636	0.00597413931935598	0.00362569493483033	0.000855572519542564	0.00356867126357241	0.00660702638141875	0.00524955485692688	0.00316228423012573	0.0033082901378592	0.00376837236785901	0.00825378731343859	0.0151802774165591	0.0182127909933036	0.0126554255942182	0.0119801519977131	0.00907906660454999	0.0063442571950642	0.0109192247698989	0.0117013794750667	9.69058716480641e-06	0.014620405909656	0.00320953243091771	0.00284951804505315	0.00359984124820595	0.0031128565319037	0.00168350981661135	0.00418253699197278	0.00347589466836101	0.00110250838683034	0.00461155446287406	0.0189646345168249	0.00812710827063321	0.00557214409050958	0.00941057306201818	0.000757774534046685	0.0143883744043877	0.0127831322212511	0.000592080156341234	0.0158292767014389	0.00996391459688889	0.0174917871797844	0.000905696705559045	0.000709533882917319	0.00508435633330007	0.00135523599579116	0.00395163109531536	0.000537759647599375	0.00325688249026503	0.0130733658367855	0.00567417641531496	0.00796190312199552	0.00040473554357583	0.0160814494767919	0.00169271060698711	0.012859765915315	0.0164968838474736	0.0197703979609004	0.0212915317992888
A549_G1_1B_3	0.00770992805856858	0.00947298852113118	0.0165017430680402	0.0152268644112807	0.0134450371527361	0	0.0184380134072646	0.00815664009965023	0.0130923094995044	0.00933183856997219	0.00480291136090842	0.0112189852639432	0.00385370425130239	0.010277010183939	0.0140778846084561	0.00700773786639522	0.0137534405194387	0.00953823977448332	0.000248205428249488	0.00550031633682229	0.00863486951753508	0.00627469643820289	0.00479582266740243	0.00828506960221786	0.0121556887679358	0.0341841561622153	0.0130765511398337	0.00388779188643001	0.0117830615197244	0.0147127580062377	0.0185970903534578	0.00747111297633518	0.00981951366784269	0.0143005508558791	0.0170134168527889	0.00683822860633835	0.00819568961869562	0.0102829094869276	0.0101369084917321	0.0172130980515919	0.00519145657376437	0.0017353677321373	0.00476817459355071	0.000789659862470795	0.00146496996231619	0.00436616186755724	0.00710099714366608	0.0025259456015811	0.00174375626347854	0.0134547271142673	0.00117545189341618	0.0102356628982383	0.010595664459802	0.00984536657835298	0.0103323354757189	0.0117616226166295	0.0176272201823745	0.00996930934807177	0.0123425942310392	0.0088336789430161	0.00552010474318768	0.00531813740001892	0.00787310449105623	0.00403464736394189	0.0142027599477128	0.000943402910487156	0.000661945833802915	0.0140370773523341	0.0023844222307213	0.00348129002973314	0.00404709290539588	0.0125393950792974	0.0127355467353311	0.0185289413476596	0.0120898799887861	0.0173963381781975	0.0139827606491804	0.0167016583976669	0.000371694807723157	0.00777107325633666	0.0214061231822965	0.0138497457451326	0.00263661756826693	0.0117524222723694	0.000585307622255084	0.00305209046204832	0.00632596717604918	0.00784730525687516
A549_G1_1C_1	0.0107286309903435	0.00896558474608186	0.00193648042503495	0.00321147063948805	0.00499341814211173	0.0184380134072646	0	0.0102819264317146	0.00534616466118389	0.00910673506877876	0.0136355345501524	0.00721956170568275	0.0222911483257196	0.00816155595989705	0.00436053274628487	0.0114308040926545	0.00468499694248993	0.00890033323221631	0.0181898378504154	0.0129381669134415	0.00980370210463712	0.0121638207265377	0.0136426228310335	0.0101534985927332	0.0062828275601463	0.0157496604837409	0.00536192382558602	0.0145505952493889	0.00665546837951105	0.00372561600981095	0.000159096383022677	0.0109674409913724	0.00861905757361162	0.00413785190051033	0.00142475588661449	0.0116003082508067	0.0102428774415312	0.00815565657316761	0.00830165950602566	0.00122505395261215	0.013247010934995	0.0201731493273102	0.0232054543909888	0.017648445730815	0.0169732078787683	0.0140722573777121	0.0113375474603398	0.0159123334919616	0.0166944496333233	0.00498372763927834	0.0196133126756099	0.00820290381962164	0.00784289650491143	0.00859320444852502	0.00810622986481155	0.00667690800788455	0.000810887157680388	0.00846926052786933	0.00609591460272388	0.00960489390750137	0.0239572410579277	0.0131203367180481	0.0105654575965271	0.0144037499520783	0.00423564930005692	0.0193812952835252	0.0177761454130893	0.00440134260731121	0.0208221067893976	0.0149570674343737	0.0224845031739064	0.00589910536733257	0.00570294484558992	9.09390103364013e-05	0.0063486388687628	0.00104179433951747	0.00445566274384377	0.00173654567302898	0.0180663630268314	0.0106674869724208	0.00296852679250405	0.00458868589242661	0.0210742629030075	0.00668610866154743	0.0178527749115387	0.0214896693226221	0.0247629412869657	0.026283949345713
A549_G1_1C_2	0.000446722133682122	0.00131638493627321	0.00834550508070157	0.00707053883142074	0.00528860492630844	0.00815664009965023	0.0102819264317146	0	0.00493585834520416	0.00117523058587495	0.00335377599799302	0.00306244569757476	0.0120102080463032	0.00212043387346804	0.00592148815131309	0.00114892583337936	0.00559702543408204	0.00138163826271347	0.00790844044175863	0.0026563666172474	0.000478241514168085	0.00188197828607153	0.00336086472162798	0.000128432620233813	0.00399919085984134	0.026030097073636	0.00492009915678506	0.00426889692519081	0.00362654642852486	0.00655639976677448	0.0104410167470583	0.000685542133310434	0.00166292137603591	0.00614416753657994	0.00885721666522992	0.00131843792214377	3.90504577260213e-05	0.0021263333905152	0.00198032715767944	0.00905691302604128	0.00296522868278188	0.00989195732509185	0.0129246331293979	0.00736699733444937	0.0066916989400488	0.00379052679762805	0.00105566492821551	0.00563073626759051	0.0064129166878727	0.00529829541802266	0.00933205972661078	0.00207908509329924	0.00243910000102426	0.00168877515706134	0.00217576118053511	0.00360510656135917	0.00947106733606488	0.00181272215468106	0.00418610524574769	0.000677056361152173	0.0136765223437731	0.00283854697974592	0.000283542149713904	0.00412204154558452	0.00604637082310135	0.00910001776002318	0.00749470884709002	0.00588067851862871	0.0105409883590191	0.00467539785044724	0.012203587542951	0.00438291570862855	0.00457907717145064	0.0103728619959977	0.003933378987338	0.00924016726903953	0.00582635866714506	0.00854543499882667	0.00778495379774001	0.000385575623511912	0.0132503096882342	0.00569333612547474	0.0107931739065518	0.00359590580420434	0.00757134550281839	0.0112086298506474	0.0144823371734499	0.0160035748471395
A549_G1_1C_3	0.00538257623748478	0.00361948180773253	0.0034096967642421	0.00213470703501258	0.00035274986463105	0.0130923094995044	0.00534616466118389	0.00493585834520416	0	0.00376063555042859	0.0082895852474939	0.00187342275426698	0.0169457057265847	0.00281543499200798	0.000985640076554298	0.00608477184358457	0.000661173601695559	0.00355422873859471	0.0128441190819402	0.00759218935729391	0.0044576205900556	0.00681781398556736	0.00829667382514345	0.00480742681415073	0.000936674081798864	0.0210951982941058	1.57593252114349e-05	0.00920468585467425	0.00130932027944496	0.00162056011407807	0.0055052593834348	0.00562139368014712	0.00327294656193951	0.00120832225457911	0.00392141937357232	0.00625428171719642	0.00489680822575454	0.00280953548211414	0.00295554150218272	0.00412112028543924	0.0079010456610785	0.0148275559732444	0.017860082251407	0.0123026953695283	0.0116274196999571	0.00872632672003415	0.00599151211374109	0.0105664894495595	0.0113486463553433	0.000362440452894883	0.0142676823787031	0.00285678371870135	0.00249676907450928	0.00324709285292102	0.00276010774708594	0.00133076023336198	0.0045352844787103	0.00312314616827253	0.000749758625872586	0.00425880706803837	0.0186119292886895	0.00777436636219496	0.00521939788455563	0.00905783393623888	0.00111052429313588	0.0140356500317136	0.0124304024016769	0.000944829950904364	0.0154765577783737	0.00961117679972364	0.0171390752045252	0.000552946903644599	0.000356784050013534	0.00543710273362047	0.00100248630178129	0.00430437882755668	0.000890509452307478	0.00360963088073495	0.0127206369533572	0.00532143034936013	0.00831464469859811	0.000757485369770537	0.015728731562055	0.0013399610272535	0.0125070363408392	0.0161441676293623	0.0194176966597262	0.0209388383667914
A549_G1_1D_1	0.0016219524148091	0.000141154428597931	0.00717029957931154	0.00589532572724076	0.00411338347015682	0.00933183856997219	0.00910673506877876	0.00117523058587495	0.00376063555042859	0	0.00452900018762808	0.0018872175393176	0.0131853717085563	0.000945204129788684	0.00474626935764436	0.00232415529576758	0.00442180523358079	0.000206407796431201	0.00908364072063211	0.00383159291828354	0.000696989211799241	0.00305720645054951	0.00453608888770424	0.00104679802245267	0.00282396501600999	0.0248551360146594	0.00374487630465243	0.0054441177209152	0.00245131957588002	0.00538118398052639	0.00926582668445784	0.00186077218254963	0.000487691131080217	0.00496894975933859	0.00768201459641435	0.00249366712471091	0.00113618014778483	0.000951103654415956	0.000805097241783832	0.00788171235597151	0.00414045409942633	0.0110671416869553	0.0140997866718285	0.00854220137699357	0.00786690732786064	0.00496574945577715	0.0022308945231691	0.00680595070092316	0.00758812675668188	0.00412307400009498	0.0105072489206211	0.000903855297098842	0.00126387071036271	0.000513544935795875	0.0010005315094315	0.00242987965422697	0.00829586967279566	0.000637492054395963	0.00301087995169693	0.000498174366406004	0.0148516670293038	0.00401377276890525	0.00145877256157888	0.0052972629336501	0.00487115259435487	0.0102752088784001	0.00866991202432035	0.00470545954318319	0.0117161667852324	0.00585061691139751	0.0133787491246915	0.00320769102508648	0.00340385312869016	0.00919767137375013	0.00275815295687791	0.00806496791179585	0.00465113945190276	0.00737023081260015	0.00896015495691433	0.00156080595606515	0.0120751460523039	0.00451811633341288	0.01196834992955	0.00242067887380663	0.00874654815413405	0.0123838017962157	0.0156574718294109	0.0171786890511535
