	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0145576404476162	0.00722388489285363	0.00522554010957572	0.00915995702204815	0.0238972493824537	0.00566654319526763	0.0141422672510946	0.0175772292106691	0.00859417878326607	0.00598715695954483	0.012687351757654	0.00710757031022133	0.00431967283708947	0.00756374106085364	0.0113613055838686	0.00579965630471573	0.00935081668686817	0.010042968066849	0.00552635373249969	0.0195694744231376	0.00750565514905449	0.0111859159877837	0.0106319961916349	0.0114646127312143	0.0155422366510738	0.0159724231181205	0.0158685647448574	0.00812572349544923	0.00381553614234455	0.0229911577642291	0.00740774424854825	0.0165689138433411	0.00890973263677724	0.0233296918539636	0.0149221690781885	0.0053460634614082	0.0287155248365166	0.0154759970363916	0.0125045785364322	0.0147250996807547	0.000833014001018662	0.0103451203996708	0.00639457535023103	0.00267980068170518	0.0159727546914565	0.00738616896633054	0.0223538536242745	0.0263955830282127	0.0195963644881969	0.0215567400215104	0.0165792802112983	0.0222015750907966	0.0252190203088004	0.00900551823022393	0.00888525718221082	0.0150293567711409	0.00651804553431088	0.00995931082182837	0.0133526880014289	0.0149340156987605	0.0150332977659566	0.014050505086404	0.0148883463100709	0.00782366222999768	0.00364300861705745	0.00448021960640753	0.0099211643616339	0.0078382203306357	0.0129383488993256	0.0143217531995382	0.00921680518684121	0.0110495015076172	0.0101428932168183	0.0482105547831384	0.042583723296221	0.00756028715809359	0.00910789684576961	0.0119013973621989	0.0138341985390145	0.0152685860397889	0.00753280774872308	0.0123769949561991	0.0196126513222891	0.0132861785690184
A549_G1_1A_2	0.0145576404476162	0	0.0112624798491184	0.0126929747617313	0.0227750677365164	0.0371002159777791	0.0143896601498796	0.0253576968929161	0.0300602818941095	0.00755298446615199	0.0100095253315597	0.024199721457727	0.00746135465094604	0.0137749463658537	0.00941666275558264	0.00376439573946347	0.0112016508067843	0.00634207650448092	0.00514715305765397	0.00915594197006823	0.00502782833428473	0.0082402139502343	0.0238861556631518	0.00523189471825979	0.0247192552838425	0.0265833201287317	0.0291892992380839	0.0277466463651124	0.0179737638099484	0.0133845167796201	0.0346429848546438	0.0178048123909998	0.00240472508382588	0.0200985229682279	0.00936766306217966	0.00387752215415131	0.0185178786486491	0.0153889060006376	0.00338676961529297	0.00518232987273578	0.00162694555903767	0.0152075795639786	0.0195761280568844	0.00923674662361462	0.0154682886135995	0.029147653348154	0.0129568807314252	0.0340475935812466	0.0385361255118556	0.0318879028618666	0.0332878639991543	0.0295883096456773	0.0339095586593371	0.0375783646055009	0.0212360582713064	0.00742045032114796	0.028872712533395	0.00825812957801476	0.00735981309960178	0.0253942995321726	0.00282049989493932	0.00138645639317447	0.00176167979289419	0.00437672885612829	0.00691253979126153	0.0153373221399718	0.0142745854963845	0.0209837120163979	0.0202296761915832	0.0249665729465418	0.0246301293755524	0.0214231637593039	0.0222796616150962	0.0200823409513517	0.0342231688265162	0.0280556182664109	0.00703525388558224	0.00553435257182423	0.0251030644118807	0.00583735113429723	0.00987228575261663	0.00887170862717132	0.00412841942866796	0.00650642907489732	0.00540062471905017
A549_G1_1A_3	0.00722388489285363	0.0112624798491184	0	0.00225952897922548	0.0123792751798074	0.026061524872338	0.00344521138532005	0.0141048315925425	0.0189073580178107	0.00371866075805146	0.00231445478313999	0.0129826869933307	0.00623070567655211	0.0035910433192648	0.00187006668707253	0.00972535702337375	0.00151562462632624	0.00933127853300823	0.00909275414983905	0.0046088946605467	0.0159893677324381	0.00329126321179634	0.0129466276277726	0.00606690911177647	0.0139784790796453	0.0153229295902755	0.0182762469493659	0.0165264266544155	0.00674603933289723	0.00369145073393662	0.0233847619095281	0.00666829786189672	0.0136536488466793	0.00895584711772601	0.0206228422704801	0.0134681472098914	0.00835882557011896	0.0266345005105304	0.0106129538989915	0.0120618330283567	0.012198549631567	0.00728640652499416	0.00833071228385092	0.0028758204241471	0.00612850959771834	0.0182179190034032	0.00171867085369381	0.0227900556963095	0.0272903066762211	0.0206842487794298	0.0220318914774583	0.0185858214408782	0.0226523850097307	0.0263538171704172	0.0102845974915258	0.00384275977521296	0.0183378701158819	0.00693597756950025	0.0041991207998095	0.0142323739534663	0.0129528141035245	0.0123067057173556	0.00999637259966089	0.013689684952049	0.00727260949515178	0.0104117829884187	0.003902967919697	0.00978432062503616	0.00941857316520502	0.0138114314990882	0.0133833833115909	0.0104516597218666	0.0110665292714112	0.00882104285734692	0.0453465449193521	0.0385355446044826	0.00662924236421416	0.00760787949389468	0.0143176766056224	0.0135829339571046	0.0166412303221368	0.00941353415897783	0.00758752496083212	0.0175783531715424	0.0128938626547908
A549_G1_1B_1	0.00522554010957572	0.0126929747617313	0.00225952897922548	0	0.010354203110611	0.024415786369169	0.00175383477562436	0.0128439313228615	0.0173855865736709	0.00526903908939812	0.00271602519929346	0.0115972534355155	0.00649926745563299	0.00134117590415375	0.00351830212642249	0.0105758601340083	0.00149768783323073	0.0096273717746061	0.00968048103980356	0.0045086237325032	0.0175888338026701	0.00445440867911245	0.0112057960424293	0.00769726391012763	0.012112097966836	0.0141440320512821	0.0165263895424899	0.0151333651793924	0.00548778441711585	0.00147764616682974	0.0221553257623	0.00517995729239757	0.0150279743907434	0.00744879769548049	0.0220342646774262	0.0144012141733161	0.00621800539027337	0.0279204105677435	0.0124804395587435	0.0126359678126335	0.0134228376629176	0.00516369789082393	0.00745283436650365	0.00350559753832066	0.00387143950199747	0.0164796006265081	0.00219573962775512	0.0215432244937335	0.0259601262246155	0.0192449275021808	0.0207666339068444	0.0169038761838163	0.0214002155127723	0.0249555940968891	0.00854806322500662	0.00547942234078715	0.0163953343837587	0.00683600997491191	0.00614348289785193	0.0127316402169662	0.0140323337337345	0.0135942363731803	0.011619446071377	0.0145508183451179	0.00756337053273812	0.00865746400494904	0.00171702757159556	0.00838112314425645	0.00757129698030258	0.0123011094826618	0.0123694553786077	0.00873318944563304	0.0096848999170313	0.00772811397232353	0.0469026152335233	0.0403632619852666	0.00697695316907716	0.00826879994001663	0.0124775109955935	0.0141494679547055	0.0167847257283066	0.00909931184866945	0.00935972945301003	0.018765027472634	0.013482132191676
A549_G1_1B_2	0.00915995702204815	0.0227750677365164	0.0123792751798074	0.010354203110611	0	0.0147467412136461	0.00894026113344077	0.00668142219968899	0.00861460190766335	0.0155894173699582	0.0128581718135772	0.00535405011540974	0.0156844469462693	0.009108209634933	0.0138721386797301	0.0200614277936764	0.0118195039737576	0.0183423689594946	0.0188640817312757	0.0137329747193157	0.0277655535156752	0.014679456793034	0.00279177177340242	0.0180004055523511	0.00238233396254294	0.00792072786848203	0.00681499947815039	0.00742733735114328	0.0067816671558368	0.00941556487712381	0.0142356508514448	0.00631829251405444	0.0250059123978512	0.00482971568732825	0.031956449416446	0.0237938265440448	0.00425859431464531	0.0375894713426109	0.0228289543824464	0.021528000356226	0.0232622195669499	0.00833274404614148	0.00744815113081816	0.0135948424035356	0.00737901301316937	0.00681905613160835	0.0111495202737791	0.0136002656804523	0.0173758552346215	0.0106533989446381	0.0128147343304192	0.00744872058781732	0.0134464790549633	0.0161515001313874	0.0031045811239002	0.0158154602247601	0.0060994838480011	0.0153932172925237	0.0164866537527904	0.00517576412935823	0.0236598751804429	0.0235044351200428	0.0218701325405164	0.0238194775864638	0.0165859248372048	0.0113295713938441	0.00865122912025737	0.00498700992726045	0.00324707350999295	0.00488158946740417	0.00781037399972633	0.00311936066433434	0.00496599517041285	0.00655117591494768	0.0568965672174627	0.0506619466448622	0.0161803264829876	0.017705112149189	0.00282431357466017	0.0229133298645219	0.0244027557026174	0.0166853783763392	0.0196954867278702	0.0284148569724135	0.0223351623694328
A549_G1_1B_3	0.0238972493824537	0.0371002159777791	0.026061524872338	0.024415786369169	0.0147467412136461	0	0.0227471789600617	0.0124788930527986	0.00728783440587484	0.0296397093836165	0.0270975377800035	0.0132521854778666	0.0303016208656406	0.0233492165127733	0.0278041786432019	0.0346611668448061	0.0259107170099816	0.0330570124773245	0.0335212685590332	0.0282984741504475	0.041984702522541	0.028868667756231	0.0132225861934591	0.0320617748416132	0.0125263362608236	0.0117039675886752	0.00797864085674391	0.00989367435555322	0.0193708664473151	0.0237903644392991	0.00626243147579022	0.0193950719172162	0.0394144713894864	0.0171096086995036	0.0464108479073465	0.0384397344706546	0.0188661044080398	0.0521819844888386	0.0366519319863516	0.0362432502363507	0.0377483838542979	0.0230735140673986	0.0183380498959399	0.0278754381562606	0.0220351143673583	0.00800122470691601	0.0244999835518108	0.00626764099638824	0.00502206315038452	0.00598145415381088	0.00641762333214071	0.00751670061403739	0.00626574931418948	0.00380287909933468	0.0158699713452931	0.0298206659781997	0.00910484662817178	0.0300935262006917	0.0302513825836757	0.0118853395917865	0.0382371635733558	0.0379528403326703	0.0360011052795363	0.038491855304991	0.0312451815144407	0.025701826819564	0.0228421396791417	0.0163318329913394	0.0168910389597518	0.0122910967279131	0.0138841630866011	0.015684097966734	0.0151022031453221	0.017576308682492	0.0712807725079959	0.0645175240749466	0.0308020912334303	0.0322955836646628	0.0121101948442191	0.0376435687776456	0.0390868198195722	0.0314257580420776	0.0336429750201724	0.0430003744709495	0.0370570866707449
A549_G1_1C_1	0.00566654319526763	0.0143896601498796	0.00344521138532005	0.00175383477562436	0.00894026113344077	0.0227471789600617	0	0.0110915787473027	0.0156739521944093	0.00689485835645043	0.00446008823633794	0.0098540825923116	0.00822828663248386	0.00144294334678097	0.00506956681130083	0.0123295854795171	0.00319973320128695	0.0113402458574546	0.0114258667302333	0.00621417696096623	0.0192459987778019	0.00615433878083697	0.00956599282791254	0.00932015184790895	0.0105496366296202	0.0123903397428144	0.0148978498924808	0.013394641964905	0.00373803827193147	0.00210110614873594	0.0204041598016573	0.00343477111334079	0.0167398376237858	0.00571681270957515	0.0237443058512163	0.0161547048073067	0.00501624860241495	0.0296537395599282	0.0140120535115868	0.0143746929251809	0.0151564061619969	0.00534326933782309	0.00575462697448887	0.00524958076184898	0.00352951915068836	0.0148452906851122	0.00235914242642224	0.0197928875145153	0.0242183450092174	0.0175166946811398	0.0190172892484766	0.0152445199152316	0.0196501716445304	0.0232229301250696	0.0068998848581336	0.00708055255424384	0.0148958495860907	0.00849834941696778	0.00760964443876265	0.0110099803115688	0.0157801881260379	0.0153192284363036	0.0132596034435318	0.0163041534291782	0.00928734405725214	0.00929039941934503	0.00118699314450764	0.00663520773596956	0.00598801035104726	0.0105810202402932	0.0106256695743679	0.00707666500326214	0.00793878214568306	0.00598635976109399	0.0485820168453734	0.0419286671647562	0.00871128132650394	0.0100205085517699	0.0108972807869169	0.0158850321025721	0.0184401049436498	0.0106705964289524	0.0109336732416575	0.0205068140445201	0.0152208932760903
A549_G1_1C_2	0.0141422672510946	0.0253576968929161	0.0141048315925425	0.0128439313228615	0.00668142219968899	0.0124788930527986	0.0110915787473027	0	0.00521207181716031	0.017806245522692	0.0155488075619242	0.00147448911186952	0.0192321622500065	0.0120545055945025	0.0159427582857536	0.0234150924001092	0.0142724729705183	0.0222671536171813	0.0224668351466355	0.0171886354519655	0.030068490922925	0.0171895061456681	0.00390855057177567	0.0201697033198708	0.00501746060929946	0.00140043696498215	0.00596051757809668	0.00258547912705694	0.00739763509479322	0.0126330136050685	0.00931499902027706	0.00767261935288134	0.0277389089098693	0.00548574987715175	0.0347200008371258	0.0272411994095979	0.00886024371183936	0.0406960300718803	0.0245190892456928	0.025379221092663	0.0262139700033983	0.0133440717069577	0.00594957690343398	0.0163372850273314	0.0116446941261567	0.00582969900550482	0.0124377672635235	0.00870727455487847	0.013187928882372	0.00669880860584009	0.00793812748803941	0.00573192170550225	0.00856617979355357	0.0122770468367977	0.00516863742897705	0.0179452243959005	0.00775911777930953	0.0193242521020664	0.0182011240822609	0.00180766568612659	0.0268658461477666	0.0263561619475244	0.0240870978657014	0.0273814665500113	0.0202677608472784	0.0171076379965199	0.0115369164951523	0.00449025686944579	0.00631971390770904	0.00190071338261789	0.00177065666502996	0.00496216184934511	0.00320401218626282	0.00530212070475877	0.0593974047899182	0.0522626104624157	0.0197266154872619	0.0210913089683229	0.00479970517007812	0.0268709063035101	0.0290749206518031	0.0211762777884043	0.0216329369951915	0.0315784258856916	0.0262228763488932
A549_G1_1C_3	0.0175772292106691	0.0300602818941095	0.0189073580178107	0.0173855865736709	0.00861460190766335	0.00728783440587484	0.0156739521944093	0.00521207181716031	0	0.0225426391713341	0.0200949933366291	0.00598390664733017	0.0235118570801953	0.0164080773142288	0.0206900195401871	0.027821305987709	0.0188674545709231	0.0264059309188257	0.0267579923221726	0.0214769249232853	0.0348826914931337	0.0218264192810913	0.00642385105263479	0.0249501935129465	0.00623252703224708	0.00461546286218104	0.00271048916248278	0.00264169520573039	0.0121734392621047	0.0169050855230857	0.0056960204670934	0.0122656137675974	0.0324076196914592	0.00996909314705889	0.0394103647460887	0.0316357858451271	0.0122935740165086	0.0452812396874001	0.0294590990686778	0.0295780609600888	0.0307968781150816	0.0167447753785708	0.0110531219593841	0.0208816851691082	0.0154127731905673	0.00258620529823769	0.0173058198338133	0.00507493916448746	0.00882057328060236	0.00203893118831749	0.00432407939648822	0.00184878486142472	0.00492325101274063	0.00767266163302088	0.00892823747943387	0.0227086743728002	0.00528475079779634	0.0234290311571299	0.0230776087419651	0.00467586844912248	0.031357036534588	0.0309756010691214	0.0288901051043023	0.0317270840954153	0.0245007847061075	0.0199430505499302	0.0158911092318064	0.00912782529553368	0.0100383216094627	0.00509942077141295	0.00672606338898154	0.00872667323981312	0.00786577243542516	0.0103043874094616	0.0642172967735062	0.057295554464361	0.0240132516709892	0.0254617093567533	0.00579125327749009	0.0310264892438975	0.0328307106958481	0.025001064494294	0.0264907506391459	0.0361112529522814	0.0304093571709763
A549_G1_1D_1	0.00859417878326607	0.00755298446615199	0.00371866075805146	0.00526903908939812	0.0155894173699582	0.0296397093836165	0.00689485835645043	0.017806245522692	0.0225426391713341	0	0.00280329834355901	0.0166554272281181	0.00384062826672765	0.00648184363794601	0.0018637579106122	0.00622543120541908	0.00377875291540852	0.00643559087667058	0.00586879919535056	0.00351485302137667	0.0123531956096462	0.00108990833433551	0.0164531002322447	0.00242962202505159	0.0173805825079857	0.0190357215932203	0.0217808712064917	0.020202628153783	0.0104239115075277	0.00623056092179501	0.0270959187464432	0.0102783092095696	0.00993863621383054	0.0125748573222563	0.0169191276104229	0.00985422414418147	0.0113870457030347	0.0229175544302265	0.00725641469415989	0.00872970124858393	0.00848860513255875	0.00899504980988039	0.0120483808968934	0.00221435920585083	0.0085956900080432	0.0217311155866528	0.00542840994426148	0.026499091115628	0.0309876370016635	0.0243508503470441	0.0257382716138756	0.0221378632393049	0.0263607176985436	0.0300353204690094	0.0137889527380661	0.000296399752752842	0.0216525916253641	0.00495964682919503	0.00148984273316447	0.0178698622227976	0.00927837025046949	0.00858933355863672	0.00636513603280853	0.010113335298034	0.0046254794374947	0.010854381399109	0.00694400125948296	0.0134428491078815	0.0128360956997252	0.0174443816849379	0.0171014917596029	0.0139684656796764	0.0147356135051615	0.012533508995143	0.0417035505328138	0.0351011318267872	0.00401888481155054	0.00441596527260751	0.017744807538702	0.0102222697858152	0.0136281018449528	0.00736985063057347	0.00410823453945096	0.0138669554152698	0.00952886378581949
