	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0130416883440498	0.0177454037945139	0.0109691963025146	0.00977264729600525	0.0120468928184588	0.028783212171612	0.0173723118337993	0.000872483490004892	0.0118794381851224	0.00885422351041951	0.0247481240800395	0.0019339321158582	0.0108160760537798	0.0093227459493153	0.00251626680224805	0.000979947407468113	0.0169111693289928	0.0103836490842555	0.00234878725136071	0.0110905476372278	0.0096906098712091	0.0107575098884242	0.0159965649438646	0.00714498689875583	0.000906656930370481	0.0201336274776692	0.0226563955848488	0.0256724171685768	0.036983696541074	0.0124332040116507	0.00648274782498359	0.0171479753695947	0.0205559789281343	0.00685342169292458	0.0123477753938325	0.0135114802568856	0.00231894893937734	0.0168944786654544	0.00754668383705008	0.00574426571441067	0.0197204062547675	0.0132514137680235	0.00238205946460481	0.00646220931970432	0.0152032350331101	0.0181416264048979	0.0194208203375008	0.0099745486009013	0.00936778335543892	0.0151131870689035	0.00865995964482045	0.046460812765151	0.00697650020210956	0.00999050901960272	0.0263353793647328	0.00473826490941102	0.00588038921778471	0.0133862241725904	0.0213587965558515	0.00447792564711339	0.0286982873389447	0.0133151422664027	0.00878350254129285	0.0421649376989064	0.0222705525593494	0.0112926879685185	0.0104109858851533	0.00922175536123418	0.00840617385307323	0.0114740996538416	0.00986026908205711	0.0290658917729042	0.00389739877916137	0.00879551598501772	0.0202191157536253	0.0253043515794559	0.00759135036274398	0.0216363559914486	0.0146284980697197	0.00708998139159258	0.0278473290937778	0.00661614880210166	0.0271872880287229	0.0122797746927968	0.00832564523036159	0.0120365215302702	0.0231205928644147	0.00305302169095505	0.0107345879983974	0.02335580742838
A549_G1_1A_2	0.0130416883440498	0	0.029639380052125	0.0232605417719087	0.00784625436772182	0.0214221204412111	0.0416881833741305	0.0281799946574767	0.0137162960764494	0.0249169318689492	0.0213647827572397	0.0354960298266364	0.0111849162807675	0.0238469369823343	0.0204758879105644	0.0122543152568901	0.0134155894691077	0.0290151062312935	0.00309177895372548	0.0116696540257156	0.02190687584033	0.0227264398943079	0.0227620436960383	0.0247325413391933	0.0198884962779299	0.0134632691606943	0.0312249593904122	0.0353715200729838	0.0386627109831679	0.0499151978912173	0.0252389682492601	0.0194640111426997	0.0297332352729882	0.0334252490525134	0.0189088034753301	0.0236272717240902	0.0133697738217255	0.0124179241127777	0.0299237672563183	0.00894505249192587	0.00792546097665401	0.0312965490395309	0.0235150566431633	0.0151255352828768	0.0192769251724806	0.0248408600460011	0.0288331441968902	0.0316505485560131	0.0196986424747368	0.0222482374075195	0.0276855152831432	0.0151124245301996	0.0582400459626433	0.0199303387665127	0.0197490432908385	0.0380017904763392	0.0174915871974014	0.0161914801665923	0.0207460984775139	0.0330754423241834	0.0109174139588828	0.0401281630348615	0.0218825764160623	0.0191122948057997	0.0534647673865659	0.0100323584354623	0.0217769892618644	0.00297459841156472	0.00707554966684979	0.0208064800414606	0.023868665095096	0.0228728383789667	0.0410368151627374	0.0144034696939589	0.0215878162929353	0.031273208732092	0.0379243830772943	0.0172046056258964	0.0317310994598976	0.0260805247195228	0.00793110716948111	0.0393084503944448	0.0141475599588384	0.0397425694246367	0.0230723313769822	0.0213469916594466	0.0237452242440302	0.0360007670686944	0.0142556969751074	0.0026414220384527	0.0361201606021721
A549_G1_1A_3	0.0177454037945139	0.029639380052125	0	0.00681409845743391	0.0274903918778179	0.00968471355377269	0.0140402918734226	0.00397111314793343	0.0168839444964329	0.0096394486678257	0.00898746262303788	0.00799173204206594	0.0191233589723124	0.00975211283461873	0.00918903192617542	0.0198652129000014	0.0179623660935388	0.00118358275217935	0.0265887935188375	0.0182347496832664	0.00797820465916214	0.0110907323425897	0.00701199796801671	0.00940760582218532	0.0108236333024611	0.0169862826745493	0.00373305989383873	0.0169224248012407	0.0124719095237534	0.0219437367816416	0.0130305579048388	0.0119986778784613	0.00359747897953977	0.00720992827136375	0.0109634556545734	0.00612571180366503	0.0302950826849349	0.0174466066812126	0.00874878202015239	0.0252103787096022	0.0217385055463329	0.00226539445050579	0.0072592416836064	0.0153637344790426	0.0144928833998234	0.00762841758312794	0.00428993068908381	0.00246766168378253	0.0105629542956063	0.00928469571422916	0.00405019496331897	0.0157508346678108	0.0287750224691663	0.0114762429075076	0.0104996419260194	0.00859429660560213	0.0130758159832098	0.0134617602244493	0.0125398750289825	0.00363445715160969	0.0187271383328682	0.0110086141154375	0.0104904642666077	0.0107219321061813	0.0244524281197298	0.0394943239997344	0.00832763810442753	0.0275374931459618	0.0269647216438561	0.00936120029314491	0.00641014758993863	0.00989297678378274	0.0114230732840795	0.0193738748832572	0.00946133162377203	0.00388260627143283	0.00914362163667371	0.0126706943615394	0.00711013390437675	0.00373981496082287	0.0248336844764768	0.0101531749134341	0.0158585327323807	0.0106447620438509	0.00698732807987093	0.0109773948804486	0.00589913593722631	0.00904995498719748	0.0155661717273201	0.0278185382832003	0.00826899538808045
A549_G1_1B_1	0.0109691963025146	0.0232605417719087	0.00681409845743391	0	0.0206897969886771	0.00680472818057344	0.0187777741747787	0.00744947146432739	0.0101166314531036	0.00552606068593437	0.00217943809148013	0.0143112798673135	0.0124376262357769	0.00485757581118542	0.00377438573597907	0.0130525220210379	0.0111534467885417	0.00594268249530062	0.0202740264536938	0.0116577568444311	0.0040148161874395	0.00563594847673222	0.00102526265863362	0.00937624101574272	0.00402879320208895	0.0102421542196772	0.00964697156715386	0.0167470311902144	0.0161739981814544	0.0270203716890911	0.0089274446817426	0.00530406975644665	0.00652433756119917	0.010576710609471	0.00435357602134498	0.00318021379079964	0.0235618616440221	0.0108826899179946	0.00855661063039617	0.0184021874830224	0.0153419202040693	0.00890099346279736	0.00557286956115708	0.0085904237107582	0.00812481683372445	0.00758656074348845	0.00824779778197891	0.00848003283567901	0.00621640165023743	0.00308305833555053	0.0045050046320389	0.0107872192965022	0.0355017617038539	0.00480753281264186	0.00615551555873157	0.0154022923852077	0.006268213509349	0.00741021897411034	0.0101054285073585	0.0104470474779758	0.0124533492910507	0.0178182147571431	0.00839390790236268	0.00555926507441003	0.0312633465011587	0.032964457073041	0.00470529628010723	0.0209874426800926	0.0201841660049175	0.00256316186763956	0.000689404417776102	0.00432353419947243	0.018101949229205	0.0126229675087584	0.00289593848908742	0.00975912753721735	0.0146900000241913	0.00723314386374187	0.0119810595684619	0.00430534638878657	0.0180530989357578	0.0169633097923706	0.0102229779776405	0.0164933133968276	0.00421470861600074	0.00475769337055736	0.00205049981023486	0.013112690674446	0.00901692600626173	0.0212829243125982	0.0130081693518799
A549_G1_1B_2	0.00977264729600525	0.00784625436772182	0.0274903918778179	0.0206897969886771	0	0.0212677369886786	0.0377316790263955	0.0270846821416014	0.0106433995745955	0.0206205263328483	0.0185389459536984	0.0344853948018097	0.00871080563908206	0.0197009113324631	0.0190019459657254	0.00768580870339492	0.00954283571690997	0.0266226696591821	0.00767076398142899	0.00992162389971566	0.0207301450266108	0.0183506122462301	0.0205231548777327	0.0251112127390642	0.0167513449815063	0.0105870791197522	0.029890484721867	0.0296074027697659	0.0344019230178717	0.045776343364762	0.0199623721604007	0.0158130584197617	0.0266513564745668	0.0296911496631108	0.0166243950105599	0.0220881595749194	0.00600635047436284	0.0106567290198629	0.0255686878961995	0.00234142036850339	0.00824713605214081	0.0294871828541335	0.0227954035821977	0.0121459692154771	0.0144571485298907	0.0246066021706097	0.0278411814455392	0.0290769474437495	0.019237453725788	0.0187562761665595	0.0246555575801647	0.0161759797918485	0.0561334114173245	0.0163425661509442	0.01926715606676	0.036080174850345	0.0144227124647676	0.0151141829795501	0.0218145041347595	0.031111811277612	0.0107086206542608	0.038459082005435	0.0222714713973615	0.018211033617353	0.0519166121683507	0.013878732494797	0.0208524260980613	0.0052605129508154	0.00103911822988291	0.0181331576144806	0.0211579582106228	0.0189076982106794	0.038744238954887	0.00891295218629349	0.0183074642647228	0.0299732553322722	0.0346836604490028	0.0166603789553814	0.0312498056032109	0.0243949519154937	0.00278694597502646	0.0376074877459914	0.0144334366437642	0.036602719237698	0.0219351975027745	0.0174040264412365	0.0218074676304932	0.0321957326624129	0.0123791296294104	0.0054904531734423	0.0326059490048863
A549_G1_1B_3	0.0120468928184588	0.0214221204412111	0.00968471355377269	0.00680472818057344	0.0212677369886786	0	0.0236246931614659	0.0070112463836678	0.011244134121555	0.0122536070600758	0.00729679296449098	0.0141145763235643	0.0125994000946317	0.0114362958172861	0.00383722150034523	0.0145587483616375	0.0127272322252302	0.00962772243988035	0.0183358826441461	0.0113484799219712	0.00279031138185492	0.0118255407559752	0.00578670033903913	0.00395451567581185	0.00828450657418294	0.0111405264834787	0.0100935495878634	0.0234832495901105	0.0216454921078149	0.0316158752105741	0.0154560098890197	0.00968521805814961	0.0116500969465781	0.0160174851024218	0.00647767614117935	0.0042128503236138	0.0255512715011598	0.0106291283426434	0.0151061912902248	0.0192792166760736	0.0139337954761249	0.0106404443222402	0.00244127860542842	0.0100896780571916	0.0127826995946163	0.00343807086256368	0.00755869188911607	0.0121213363217011	0.00207260186946179	0.00919568018395532	0.0101139154088503	0.00649187514430599	0.0371472348320229	0.00945355386299049	0.00205699256739162	0.0170962017398754	0.00890849881224223	0.00621382881836231	0.00332863240148011	0.0124649911779983	0.0109066317477449	0.0189775093832116	0.00167786811298597	0.0033340526583023	0.0321448865752628	0.0314502693427059	0.00209946073645165	0.019847862043116	0.0204951406852842	0.0069225311507983	0.00736294726653549	0.0106552167267545	0.0203806443528494	0.0152452746235962	0.008548008588788	0.010113485147008	0.0188246902349369	0.00460809273853599	0.0103241021001031	0.00603499369475231	0.0184817903406255	0.0181947477176466	0.00730692209620328	0.0203058002847306	0.00299665354628042	0.0103810528036035	0.00526300874497216	0.0183022847854645	0.00905370318699353	0.0200722721770435	0.0177683075577943
A549_G1_1C_1	0.028783212171612	0.0416881833741305	0.0140402918734226	0.0187777741747787	0.0377316790263955	0.0236246931614659	0	0.0176541886251118	0.0280390176056814	0.0171242770403948	0.0204304262004678	0.0155421897716525	0.0305514546416488	0.0180836848447969	0.0222644305079559	0.0302324211478997	0.0286147512937525	0.0140004108172639	0.0388092514896151	0.0300415663979821	0.0215335271544346	0.0193958797670588	0.0195139375505624	0.0232958998906786	0.0218149479427194	0.0282659263966827	0.0154478017302976	0.0128343893174529	0.00363069364517571	0.00825799289826399	0.0183036708753335	0.0223033073645482	0.0123226424245093	0.00827887145372721	0.0230027783646703	0.0196792920010689	0.0387508308495648	0.0293133824047245	0.0121937090816348	0.0354004738017827	0.0338693274736814	0.0138912836881761	0.0212427115492036	0.0265875874493268	0.0232874186473808	0.0216211199484811	0.0176236380152825	0.0115729739905498	0.0241871217448065	0.019457469561321	0.0142814649099951	0.0292731373228209	0.0213616655026518	0.0218132552569738	0.024121495456914	0.0110824440853594	0.024209990355695	0.0261854017631833	0.0265742349130503	0.0124521877883876	0.0311241830959933	0.0123729587105406	0.0245238709431193	0.0240118629953308	0.0198862540641081	0.0510053322249805	0.0220214654659383	0.0391770824779362	0.03749036762264	0.0210280530068664	0.0181093012157127	0.0189626438042114	0.00921864840038362	0.0288417394265064	0.0201146938427371	0.0155428850081762	0.00519271494222586	0.0258686965391672	0.0183527801151888	0.0175913975524411	0.0354504046974956	0.0121389788222667	0.0289618858098976	0.00480361858217309	0.0207511252633615	0.0204999872764368	0.0190091276351239	0.00570111114770556	0.0275326561105879	0.0394957796564473	0.0058766923391776
A549_G1_1C_2	0.0173723118337993	0.0281799946574767	0.00397111314793343	0.00744947146432739	0.0270846821416014	0.0070112463836678	0.0176541886251118	0	0.0165022874285872	0.011974560077086	0.00944263472985545	0.00742794113304851	0.0184257038478329	0.0117380864392432	0.00808730413711318	0.0197306399993024	0.0177961595546079	0.00470633120066889	0.0250905201379745	0.0173432543369571	0.00640324569531317	0.0128414132775911	0.00707730297314412	0.00564825602334702	0.0112325582778667	0.0165199675090681	0.0030867173229406	0.0206936566521024	0.0163601660076797	0.0252830531207601	0.0155359882594338	0.0126369670818674	0.00735739574322902	0.0111806905639589	0.0105911770986132	0.00504388194499619	0.0305923359531168	0.0165627912417911	0.0123033722889413	0.0249104101042392	0.0204557305233745	0.00386967430056989	0.00469432342852692	0.0150637045157081	0.0155654910080405	0.00411808928688948	0.000803232636039035	0.00625686775924194	0.00849678116164413	0.01048486400977	0.00703133552064934	0.0134820865849324	0.0301819749373889	0.0121755435385811	0.00844385506542026	0.0100878075646134	0.0130704952814991	0.0121979593983413	0.00928474313402667	0.00561930867698382	0.0173853811583575	0.0120032188879007	0.00731950135728172	0.0091258041958359	0.0253084978291524	0.0381790124702548	0.00642476268038734	0.0263786301399971	0.0264340725637548	0.00956842592232019	0.00740534732708674	0.0115279327446051	0.0133984015532526	0.0197178480407095	0.010341454745967	0.00311570311325682	0.0125633115661651	0.010988264595126	0.00453275897595612	0.0031521398487779	0.0243313002989965	0.0112062412594371	0.0140551641728023	0.0137943343119068	0.00519538026496563	0.012193275134737	0.00562958056742446	0.0129433100215916	0.0147453754663916	0.0266297619117463	0.0120473444102701
A549_G1_1C_3	0.000872483490004892	0.0137162960764494	0.0168839444964329	0.0101166314531036	0.0106433995745955	0.011244134121555	0.0280390176056814	0.0165022874285872	0	0.0112187951900501	0.0080138800458189	0.0238762860811334	0.00253201994173389	0.0101379905243408	0.00845869440395957	0.00332316085932399	0.00151951120324306	0.0160576340825734	0.0109830396878791	0.00249855651139595	0.0102302978910235	0.00906803943656594	0.00989110861611252	0.0151973866802165	0.00633196979725402	0.000363671927959215	0.0192613109924595	0.0221866131942471	0.0249621701253994	0.0362521925445524	0.0119680418730013	0.0057531048113678	0.0163337883643872	0.0197965008964154	0.00598181266065749	0.0114761658465583	0.0143349357462501	0.00218100702057425	0.0162156246875636	0.00841898931982022	0.00621278862506137	0.0188521968655601	0.0124014182792274	0.00152697727039773	0.00606054076306661	0.0143686994725551	0.0172725334247747	0.0185773000047633	0.00917368206896758	0.00859724091717788	0.0142944759486553	0.00817360368521532	0.0456090669965965	0.00623083752478158	0.00918734363831403	0.0254726927446131	0.00391316779871654	0.00512179247813615	0.0126908757863314	0.0204947225945436	0.00451495476906515	0.027831250417737	0.0125455220538054	0.00796055945850807	0.0412991092369664	0.0230490180225274	0.010442963746477	0.011147153526077	0.0100842972273458	0.00755424104204692	0.0106303035856575	0.00915871268018365	0.0282155377224738	0.00437462827127571	0.00799927650045782	0.0193468047746552	0.0245025036614505	0.00684360696544459	0.0207743438040383	0.0137564126298489	0.00795304694177978	0.0269805755654437	0.00614408066530809	0.0263787810568562	0.0114167534936011	0.00763361968073159	0.0111654016196703	0.0223659137517749	0.0023593394677625	0.0114656787035391	0.022575066774924
A549_G1_1D_1	0.0118794381851224	0.0249169318689492	0.0096394486678257	0.00552606068593437	0.0206205263328483	0.0122536070600758	0.0171242770403948	0.011974560077086	0.0112187951900501	0	0.0053101525915465	0.0176183434221779	0.0137473426935158	0.00112590930579709	0.00876685998995561	0.0131328156370268	0.0115926818473454	0.00846109632742246	0.0221935516222587	0.0134784152658611	0.00947744500460251	0.00227209873902538	0.00650324957407972	0.0148610985754359	0.00566331676035911	0.0114943886768226	0.0132685482339957	0.0118301522004014	0.0138632289868514	0.0252344397135898	0.0035683441600088	0.00554483310611483	0.00704736450633062	0.00913917372229113	0.00762024798164416	0.00864772790165399	0.0220829872583598	0.0128377353264066	0.00502800033750733	0.0182855891394395	0.0173453231550366	0.0118880842115457	0.0110791419635331	0.00989460155398136	0.0061926888834392	0.013016271475032	0.0127014164943761	0.00999758985333951	0.0113313531257166	0.00342746409840623	0.00562150224583274	0.0150706813669996	0.0363212460574827	0.00515450473454959	0.011278500771379	0.0172841669512397	0.00770410908744926	0.0109857730945073	0.0154947123038086	0.012863397927001	0.0149685053565392	0.0198691643368443	0.0138804331273269	0.0103486917410187	0.0328213082653734	0.0339715781295408	0.0101666688701726	0.0222612963123647	0.0203761197119927	0.00589701067543802	0.0051151293732086	0.0021868024167967	0.0192195581271054	0.0117448359882388	0.00424984423488295	0.0134099262830247	0.0143309449424021	0.0115368388645294	0.016290199878459	0.00899156397015477	0.0183451505072157	0.0190379103826452	0.0139347145179305	0.0162798224929563	0.00973673753202616	0.00361270094095777	0.00746390959204885	0.0115970635465206	0.0112844562062999	0.0225898726527716	0.0121175549042124
