	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_4_1	0	0.0129058609175035	0.0183158254959656	0.0227975244043358	0.0254620516988115	0.0185483332495698	0.0239187997494459	0.0364586357920975	0.0184739759053578	0.0170827992583027	0.0346352280997434	0.019694435961844	0.0156103950641922	0.0154134855559291	0.0118108470441377	0.00922612330422425	0.0214984102340023	0.0188772109832623	0.014206873024235	0.0142029762221388	0.0358597574623909	0.021456406364268	0.0159489267733328	0.0245773267542147	0.0489176368137312
HMEC_4_2	0.0129058609175035	0	0.0138236608249896	0.0158235301838066	0.0156818484876339	0.0148603921909753	0.0166613057674879	0.0271622184933477	0.0108961894510409	0.011685144679658	0.0281141715032017	0.0121383170263281	0.0207037189059003	0.00833857641040058	0.0159444031282734	0.00915078913507803	0.0155490123329014	0.00983216644810156	0.00794879936775383	0.008510894858267	0.0314818154378286	0.0167433178864625	0.0100801696985972	0.0144155434930963	0.0397737007365286
HMEC_4_G2_3E	0.0183158254959656	0.0138236608249896	0	0.0234076116423187	0.0175222862779371	0.0233633299622737	0.0203028819153865	0.0278363964663093	0.0119063111302092	0.0214722633843001	0.0347693289509188	0.0205315288289944	0.0246389378567914	0.0156485039013358	0.022528295969627	0.0153646867921683	0.0249284695291204	0.017329930523144	0.0182129972528717	0.0192248750093096	0.0369112407884825	0.0225475017147755	0.0192913282556633	0.0177648560302173	0.0415597315514113
HMEC_4_G2_3F	0.0227975244043358	0.0158235301838066	0.0234076116423187	0	0.020360292296726	0.0233758254069554	0.0175133071339797	0.0309263830463001	0.0178328219027229	0.0165979774331234	0.0214998793147351	0.0171773811524424	0.0287525981989223	0.0123423907630407	0.0261805660397688	0.0178800335394854	0.0214525769731421	0.0134107716902402	0.0129915166024951	0.0148252160920918	0.0277747049918915	0.0255922353486269	0.0161846543594345	0.0163738879259156	0.0392226750858077
HMEC_4_G2_3G	0.0254620516988115	0.0156818484876339	0.0175222862779371	0.020360292296726	0	0.0213158094934963	0.0134090625757232	0.0239107150752852	0.0123519262678616	0.0164677504037548	0.0263341171689192	0.0136951596969619	0.0261995304220214	0.0128884844057567	0.0244283306341713	0.0213803709373654	0.0238880502793947	0.0114334899736397	0.0159634432250557	0.0152103085416422	0.0346275845600156	0.0250799549691879	0.0138487142458155	0.0109706388076484	0.0321110512080426
HMEC_4_G2_4A	0.0185483332495698	0.0148603921909753	0.0233633299622737	0.0233758254069554	0.0213158094934963	0	0.0232712344453857	0.029262724167098	0.0233043131034797	0.0159018679871453	0.0326558085089937	0.0148051324693738	0.0254340537633281	0.0155685344976817	0.0191805593623831	0.0149444881828517	0.0234229419468954	0.0169772221799133	0.0161244622789537	0.0154185107950566	0.0364264560151924	0.027585105531999	0.0178314056948897	0.0217644180688041	0.0445405086613997
HMEC_4_G2_4B	0.0239187997494459	0.0166613057674879	0.0203028819153865	0.0175133071339797	0.0134090625757232	0.0232712344453857	0	0.0238192387037715	0.0158080412238012	0.0150893837083123	0.0268643066005115	0.0142801129129774	0.0261087013701391	0.0109675952345015	0.0246940847750779	0.0197366014812942	0.0200572961536188	0.0101744772584549	0.0157276483046826	0.0158894267298712	0.0315674532720559	0.0254613307377004	0.0178260240587977	0.00965338892753194	0.0320717731362216
HMEC_4_G2_4C	0.0364586357920975	0.0271622184933477	0.0278363964663093	0.0309263830463001	0.0239107150752852	0.029262724167098	0.0238192387037715	0	0.0278469331571367	0.0297295546484589	0.0412984524029768	0.0252885673951001	0.0401282063702169	0.0247048042113713	0.0388590059079534	0.0306731068758613	0.0374000509168941	0.0244752691285715	0.02854892141863	0.0301662717026956	0.0333030570469846	0.0388219147256927	0.0317955648978537	0.02412206986845	0.0454929103076412
HMEC_4_G2_4D	0.0184739759053578	0.0108961894510409	0.0119063111302092	0.0178328219027229	0.0123519262678616	0.0233043131034797	0.0158080412238012	0.0278469331571367	0	0.0175457360813172	0.0284689785196458	0.0178706552948148	0.0248745222121261	0.0123599400721709	0.023015745127752	0.0149746150278186	0.0197972468718668	0.0115340582118026	0.0126567330222219	0.0137698784300738	0.0331869638401328	0.0171239003483426	0.0137961276316292	0.0125193726737952	0.03616086794806
HMEC_5_1	0.0170827992583027	0.011685144679658	0.0214722633843001	0.0165979774331234	0.0164677504037548	0.0159018679871453	0.0150893837083123	0.0297295546484589	0.0175457360813172	0	0.0226053028775297	0.00765172677544312	0.0213877351218045	0.00765739807722187	0.0178471026092035	0.0135737794051736	0.0160524970376404	0.0110583439789424	0.00885506591049535	0.00900070175161059	0.0310903968646457	0.0194081241701482	0.0103702818175665	0.0166112960641304	0.0378505005776015
HMEC_5_2	0.0346352280997434	0.0281141715032017	0.0347693289509188	0.0214998793147351	0.0263341171689192	0.0326558085089937	0.0268643066005115	0.0412984524029768	0.0284689785196458	0.0226053028775297	0	0.0225488589615254	0.0373453327045404	0.0223258908188361	0.0353912615763989	0.0308294594672638	0.0314746401956186	0.0228006168911114	0.0238837692396412	0.0243768002704533	0.0327211902222272	0.0359111313442918	0.0249377452442731	0.028868689335037	0.0474176012935189
HMEC_5_3	0.019694435961844	0.0121383170263281	0.0205315288289944	0.0171773811524424	0.0136951596969619	0.0148051324693738	0.0142801129129774	0.0252885673951001	0.0178706552948148	0.00765172677544312	0.0225488589615254	0	0.0227051853942132	0.00845672852722752	0.0170675772268472	0.0136977221867573	0.0177847162257992	0.00956143499503078	0.0114362886251673	0.0114748100626414	0.0330800874226969	0.0220130862288168	0.012879333446752	0.0154362501767149	0.0379187074679908
HMEC_5_4	0.0156103950641922	0.0207037189059003	0.0246389378567914	0.0287525981989223	0.0261995304220214	0.0254340537633281	0.0261087013701391	0.0401282063702169	0.0248745222121261	0.0213877351218045	0.0373453327045404	0.0227051853942132	0	0.0197361610485498	0.0168287624622073	0.0184650322431371	0.0152607615660938	0.0209409530989679	0.021483800566164	0.0201290708407695	0.0405780841335934	0.0137108431721247	0.0207200981914238	0.0281507684009992	0.0488027872721763
HMEC_5_5	0.0154134855559291	0.00833857641040058	0.0156485039013358	0.0123423907630407	0.0128884844057567	0.0155685344976817	0.0109675952345015	0.0247048042113713	0.0123599400721709	0.00765739807722187	0.0223258908188361	0.00845672852722752	0.0197361610485498	0	0.0171758770940992	0.0129808023867831	0.0152121139739775	0.00726081459542299	0.00795698224358362	0.0083494918692223	0.0290065278094297	0.018130651811611	0.01102179139077	0.0125746054602687	0.0350742665496246
HMEC_5_6	0.0118108470441377	0.0159444031282734	0.022528295969627	0.0261805660397688	0.0244283306341713	0.0191805593623831	0.0246940847750779	0.0388590059079534	0.023015745127752	0.0178471026092035	0.0353912615763989	0.0170675772268472	0.0168287624622073	0.0171758770940992	0	0.0161641624548049	0.0188478669681927	0.0205070033139959	0.0158421244224224	0.0155717161467583	0.0338365954377894	0.0242887325689148	0.0161617917461136	0.0261090294522672	0.0456627767902545
HMEC_5_7	0.00922612330422425	0.00915078913507803	0.0153646867921683	0.0178800335394854	0.0213803709373654	0.0149444881828517	0.0197366014812942	0.0306731068758613	0.0149746150278186	0.0135737794051736	0.0308294594672638	0.0136977221867573	0.0184650322431371	0.0129808023867831	0.0161641624548049	0	0.0175366328890321	0.0135781999508901	0.0115665483071904	0.0122115260373084	0.0349968021129886	0.0175898522621868	0.0123400486153399	0.0198522366068435	0.0453875906141846
HMEC_5_8	0.0214984102340023	0.0155490123329014	0.0249284695291204	0.0214525769731421	0.0238880502793947	0.0234229419468954	0.0200572961536188	0.0374000509168941	0.0197972468718668	0.0160524970376404	0.0314746401956186	0.0177847162257992	0.0152607615660938	0.0152121139739775	0.0188478669681927	0.0175366328890321	0	0.0165445324873222	0.0126955937038262	0.0124410371890009	0.0321123475735784	0.0111272522126083	0.0131141330544036	0.0221624448056019	0.0421112908290569
HMEC_5_9	0.0188772109832623	0.00983216644810156	0.017329930523144	0.0134107716902402	0.0114334899736397	0.0169772221799133	0.0101744772584549	0.0244752691285715	0.0115340582118026	0.0110583439789424	0.0228006168911114	0.00956143499503078	0.0209409530989679	0.00726081459542299	0.0205070033139959	0.0135781999508901	0.0165445324873222	0	0.00758212565484013	0.00866868501363089	0.0298167835111474	0.020132588477261	0.0111421680803345	0.0100684309016064	0.0345762232286518
HMEC_Root1	0.014206873024235	0.00794879936775383	0.0182129972528717	0.0129915166024951	0.0159634432250557	0.0161244622789537	0.0157276483046826	0.02854892141863	0.0126567330222219	0.00885506591049535	0.0238837692396412	0.0114362886251673	0.021483800566164	0.00795698224358362	0.0158421244224224	0.0115665483071904	0.0126955937038262	0.00758212565484013	0	0.00534232594542977	0.0257105385078471	0.0178100385868552	0.0074234414831824	0.014913913354987	0.0377525066281978
HMEC_Root2	0.0142029762221388	0.008510894858267	0.0192248750093096	0.0148252160920918	0.0152103085416422	0.0154185107950566	0.0158894267298712	0.0301662717026956	0.0137698784300738	0.00900070175161059	0.0243768002704533	0.0114748100626414	0.0201290708407695	0.0083494918692223	0.0155717161467583	0.0122115260373084	0.0124410371890009	0.00866868501363089	0.00534232594542977	0	0.0259254515013185	0.0180623808119732	0.00643121935530019	0.0159072980958266	0.0390029196766182
HMEC_STAT_2	0.0358597574623909	0.0314818154378286	0.0369112407884825	0.0277747049918915	0.0346275845600156	0.0364264560151924	0.0315674532720559	0.0333030570469846	0.0331869638401328	0.0310903968646457	0.0327211902222272	0.0330800874226969	0.0405780841335934	0.0290065278094297	0.0338365954377894	0.0349968021129886	0.0321123475735784	0.0298167835111474	0.0257105385078471	0.0259254515013185	0	0.0384248749016119	0.0273585407047362	0.0370155819594335	0.051626435254596
