Sample	JSDistance_HMEC_Root1	JF06_HMEC_0.01_selected	JF06_HMEC_0.01_JSD	JF12_HMEC_0.01_selected	JF12_HMEC_0.01_JSD	JF21_HMEC_0.01_selected	JF21_HMEC_0.01_JSD	JF27_HMEC_0.01_selected	JF27_HMEC_0.01_JSD	Nax10_HMEC_0.01_selected	Nax10_HMEC_0.01_JSD	Nax11_HMEC_0.01_selected	Nax11_HMEC_0.01_JSD	Nax18_HMEC_0.01_selected	Nax18_HMEC_0.01_JSD	Nax30_HMEC_0.01_selected	Nax30_HMEC_0.01_JSD	Nax38_HMEC_0.01_selected	Nax38_HMEC_0.01_JSD	Nax4_HMEC_0.01_selected	Nax4_HMEC_0.01_JSD	Nax40_HMEC_0.01_selected	Nax40_HMEC_0.01_JSD	Nax49_HMEC_0.01_selected	Nax49_HMEC_0.01_JSD	Nax50_HMEC_0.01_selected	Nax50_HMEC_0.01_JSD	Nax56_HMEC_0.01_selected	Nax56_HMEC_0.01_JSD	S1-17_HMEC_0.01_selected	S1-17_HMEC_0.01_JSD	S14-51_HMEC_0.01_selected	S14-51_HMEC_0.01_JSD	Sal102_HMEC_0.01_selected	Sal102_HMEC_0.01_JSD	Sal22_HMEC_0.01_selected	Sal22_HMEC_0.01_JSD	Sal27_HMEC_0.01_selected	Sal27_HMEC_0.01_JSD	Sal45_HMEC_0.01_selected	Sal45_HMEC_0.01_JSD	Sal46_HMEC_0.01_selected	Sal46_HMEC_0.01_JSD	Sal58_HMEC_0.01_selected	Sal58_HMEC_0.01_JSD	Sal66_HMEC_0.01_selected	Sal66_HMEC_0.01_JSD	Sal74_HMEC_0.01_selected	Sal74_HMEC_0.01_JSD	Sal78_HMEC_0.01_selected	Sal78_HMEC_0.01_JSD	Sal87_HMEC_0.01_selected	Sal87_HMEC_0.01_JSD
HMEC_4_1	0.502578890855943	HMEC_4_1_3	0.00854030056992257	HMEC_4_1_2	0.192921593886437	HMEC_4_1_3	0.00650356679521345	HMEC_4_1_2	0.0069310321932851	HMEC_4_1_3	0.00379991922610938	HMEC_4_1_3	0.0202612056151602	HMEC_4_1_2	0.00493670390696522	HMEC_4_1_2	0.0174785305920653	HMEC_4_1_3	0.0227930203522221	HMEC_4_1_3	0.0145174136811279	HMEC_4_1_2	0.0035342762350432	HMEC_4_1_2	0.00504686508257542	HMEC_4_1_2	0.00777371466274207	HMEC_4_1_3	0.0120472536144152	HMEC_4_1_2	0.00389037645163198	HMEC_4_1_2	0.00888184047984381	HMEC_4_1_2	0.0046118020634154	HMEC_4_1_3	0.0234391626241993	HMEC_4_1_3	0.0149653197614335	HMEC_4_1_3	0.00845176814735935	HMEC_4_1_3	0.00876034396125881	HMEC_4_1_1	0.0197829112996473	HMEC_4_1_3	0.0649806499535892	HMEC_4_1_3	0.00532442891043364	HMEC_4_1_2	0.00681801014224794	HMEC_4_1_2	0.00558688064759897
HMEC_4_2	0.291885766491578	HMEC_4_2_1	0.00807301072935794	HMEC_4_2_1	0.0268739746866331	HMEC_4_2_2	0.0105652170071465	HMEC_4_2_3	0.00496460969027984	HMEC_4_2_3	0.00262321047812305	HMEC_4_2_3	0.0249649739340351	HMEC_4_2_3	0.000411161558484624	HMEC_4_2_1	0.00531503853660567	HMEC_4_2_1	0.0239470517407344	HMEC_4_2_2	0.0125548844562558	HMEC_4_2_1	0.00829826835814746	HMEC_4_2_1	0.00587956581800971	HMEC_4_2_2	0.0151979449251889	HMEC_4_2_2	0.0430294996099343	HMEC_4_2_3	0.00898721157520385	HMEC_4_2_1	0.00635379438964392	HMEC_4_2_1	0.00014009390315882	HMEC_4_2_3	0.0119611397745437	HMEC_4_2_3	0.00557904931996104	HMEC_4_2_3	0.0112025466312326	HMEC_4_2_3	0.00663406383239823	HMEC_4_2_3	0.00843724687734526	HMEC_4_2_2	0.0130714348159777	HMEC_4_2_3	0.00919332298484137	HMEC_4_2_2	0.0047455265930659	HMEC_4_2_2	0.0128819242652695
HMEC_4_G2_3E	0.64357932532193	HMEC_4_G2_3E_2	0.0163027275150183	HMEC_4_G2_3E_2	0.176994518150177	HMEC_4_G2_3E_2	0.0274279574709601	HMEC_4_G2_3E_2	0.035065528432581	HMEC_4_G2_3E_1	0.0156175526389429	HMEC_4_G2_3E_3	0.0193235423899287	HMEC_4_G2_3E_2	0.00280869977804568	NA	NA	NA	NA	HMEC_4_G2_3E_3	0.0223169472897445	NA	NA	HMEC_4_G2_3E_2	0.0457770580800534	NA	NA	HMEC_4_G2_3E_1	0.0606635965935138	HMEC_4_G2_3E_2	0.0034730458103048	HMEC_4_G2_3E_1	0.00698179226958553	HMEC_4_G2_3E_1	0.0247482701346061	HMEC_4_G2_3E_1	0.0534969473023101	HMEC_4_G2_3E_1	0.0252103194537877	HMEC_4_G2_3E_3	0.0216037295321537	HMEC_4_G2_3E_1	0.00484562480301585	HMEC_4_G2_3E_3	0.0185293047785245	HMEC_4_G2_3E_2	0.0277340241099503	HMEC_4_G2_3E_3	0.00891641456559815	HMEC_4_G2_3E_3	0.00326095326658097	HMEC_4_G2_3E_3	0.0224807709565471
HMEC_4_G2_3F	0.217130401960729	NA	NA	NA	NA	HMEC_4_G2_3F_3	0.00876720805673114	NA	NA	NA	NA	NA	NA	HMEC_4_G2_3F_1	0.00171169276014307	HMEC_4_G2_3F_2	0.0146579132812669	HMEC_4_G2_3F_1	0.0142861308083222	NA	NA	HMEC_4_G2_3F_3	0.0214091521150284	HMEC_4_G2_3F_2	0.00648485496721424	HMEC_4_G2_3F_1	0.010944710320137	HMEC_4_G2_3F_2	0.0255946144269683	NA	NA	HMEC_4_G2_3F_3	0.0359204579858106	HMEC_4_G2_3F_1	0.0133142315865503	NA	NA	NA	NA	NA	NA	NA	NA	HMEC_4_G2_3F_3	0.00883012708321434	HMEC_4_G2_3F_3	0.0360922511931207	HMEC_4_G2_3F_3	0.00562059105246934	HMEC_4_G2_3F_3	0.0030426492881159	HMEC_4_G2_3F_1	0.0104538170356369
HMEC_4_G2_3G	0.339027013867282	HMEC_4_G2_3G_3	0.0339634399370782	HMEC_4_G2_3G_2	0.00856754662405297	HMEC_4_G2_3G_3	0.0175255090996074	HMEC_4_G2_3G_3	0.0208922812764122	NA	NA	NA	NA	HMEC_4_G2_3G_3	0.00168291941963877	HMEC_4_G2_3G_3	0.0305085474170498	HMEC_4_G2_3G_2	0.0174556365813058	HMEC_4_G2_3G_3	0.00684821707252656	NA	NA	HMEC_4_G2_3G_2	0.0223575041456103	NA	NA	NA	NA	HMEC_4_G2_3G_3	0.0152634445580742	HMEC_4_G2_3G_3	0.0178632240292433	NA	NA	NA	NA	NA	NA	HMEC_4_G2_3G_2	0.051712980962796	HMEC_4_G2_3G_2	0.0101439304124846	HMEC_4_G2_3G_3	0.0221814376569788	HMEC_4_G2_3G_3	0.00515927788073535	HMEC_4_G2_3G_3	0.0224086535961038	HMEC_4_G2_3G_3	0.00624801311023942	HMEC_4_G2_3G_3	0.0282444500873446
HMEC_4_G2_4A	0.342878126514742	HMEC_4_G2_4A_1	0.00692487358687809	HMEC_4_G2_4A_1	0.0475162911328723	HMEC_4_G2_4A_2	0.00871875570219667	HMEC_4_G2_4A_1	0.00787055822212823	HMEC_4_G2_4A_3	0.0152154559867855	HMEC_4_G2_4A_2	0.0152458080643149	HMEC_4_G2_4A_1	0.00106555352835059	HMEC_4_G2_4A_1	0.0165421102897771	HMEC_4_G2_4A_1	0.0050540883974122	HMEC_4_G2_4A_1	0.0189924693623689	NA	NA	HMEC_4_G2_4A_1	0.00677281654894023	HMEC_4_G2_4A_1	0.00513144656153952	HMEC_4_G2_4A_2	0.0212623967288125	HMEC_4_G2_4A_3	0.00345588822964284	HMEC_4_G2_4A_1	0.00274853189420715	HMEC_4_G2_4A_1	0.00040599139572593	HMEC_4_G2_4A_1	0.0107529917301603	HMEC_4_G2_4A_1	0.00953283320265734	HMEC_4_G2_4A_1	0.00973355588778556	HMEC_4_G2_4A_3	0.00412120722529759	HMEC_4_G2_4A_3	0.0611924634547083	HMEC_4_G2_4A_1	0.0393803359284856	HMEC_4_G2_4A_3	0.00933644977281389	HMEC_4_G2_4A_2	0.00386760925021874	HMEC_4_G2_4A_2	0.0120376444306619
HMEC_4_G2_4B	0.358018773804131	HMEC_4_G2_4B_1	0.00765928999868725	HMEC_4_G2_4B_1	0.0382266511210587	HMEC_4_G2_4B_1	0.0257764573974994	HMEC_4_G2_4B_2	0.00633326956981298	HMEC_4_G2_4B_2	0.0118561276582828	HMEC_4_G2_4B_3	0.00433451885259617	HMEC_4_G2_4B_3	0.0105124169400594	HMEC_4_G2_4B_1	0.0148929703560312	HMEC_4_G2_4B_2	0.00727420767023473	HMEC_4_G2_4B_3	0.00574099997259675	HMEC_4_G2_4B_1	0.00895723663881767	HMEC_4_G2_4B_2	0.0090068118424749	HMEC_4_G2_4B_1	0.0120518482139158	HMEC_4_G2_4B_1	0.0199159004673952	HMEC_4_G2_4B_1	0.0106072094059916	HMEC_4_G2_4B_3	0.0110156069522789	HMEC_4_G2_4B_1	0.0060739871002769	HMEC_4_G2_4B_3	0.0113930666979134	HMEC_4_G2_4B_2	0.0288961096707563	HMEC_4_G2_4B_2	0.0137708463783595	HMEC_4_G2_4B_3	0.00848569928926059	HMEC_4_G2_4B_2	0.0156057918196486	HMEC_4_G2_4B_3	0.00570601836419407	HMEC_4_G2_4B_2	0.0208712369042008	HMEC_4_G2_4B_3	0.00383228148596792	HMEC_4_G2_4B_1	0.0392222130358193
HMEC_4_G2_4C	0.527793613651637	HMEC_4_G2_4C_2	0.00748299883155781	HMEC_4_G2_4C_3	0.0308866917118103	HMEC_4_G2_4C_3	0.133758717888633	HMEC_4_G2_4C_2	0.0224941966800679	HMEC_4_G2_4C_3	0.00433103733994618	NA	NA	HMEC_4_G2_4C_1	0.00643616648318876	HMEC_4_G2_4C_2	0.00455222210070967	HMEC_4_G2_4C_1	0.0392977989957818	HMEC_4_G2_4C_1	0.0161433660068902	NA	NA	HMEC_4_G2_4C_1	0.00839618261200677	HMEC_4_G2_4C_1	0.0258443087776609	NA	NA	HMEC_4_G2_4C_1	0.0296502257177643	HMEC_4_G2_4C_3	0.011923316994982	HMEC_4_G2_4C_1	0.00284645719742078	HMEC_4_G2_4C_3	0.0522694030408961	NA	NA	HMEC_4_G2_4C_2	0.0267254567052705	HMEC_4_G2_4C_3	0.00832915777819044	HMEC_4_G2_4C_2	0.0392175288936801	HMEC_4_G2_4C_1	0.0124341536117201	HMEC_4_G2_4C_1	0.0184521524388384	HMEC_4_G2_4C_3	0.000635057327188052	HMEC_4_G2_4C_1	0.0256870165174324
HMEC_4_G2_4D	0.408657890509208	HMEC_4_G2_4D_3	0.0189944641535161	HMEC_4_G2_4D_2	0.045652950594231	HMEC_4_G2_4D_2	0.016718344117028	HMEC_4_G2_4D_2	0.00665136618943697	HMEC_4_G2_4D_1	0.00626753890766881	HMEC_4_G2_4D_2	0.0132148072011072	HMEC_4_G2_4D_3	0.00374575511081555	HMEC_4_G2_4D_2	0.0158240551244111	HMEC_4_G2_4D_1	0.0257507382194954	HMEC_4_G2_4D_3	0.0148224864533176	HMEC_4_G2_4D_2	0.00711478865931951	HMEC_4_G2_4D_1	0.0183973050319911	HMEC_4_G2_4D_2	0.0329165965812196	HMEC_4_G2_4D_2	0.0272097739840417	HMEC_4_G2_4D_3	0.0103414638609387	HMEC_4_G2_4D_1	0.00478548925832409	HMEC_4_G2_4D_1	0.0018785281553853	HMEC_4_G2_4D_3	0.0120871267655037	HMEC_4_G2_4D_3	0.0158516459694976	HMEC_4_G2_4D_3	0.00783124110108813	HMEC_4_G2_4D_3	0.0323377213890325	HMEC_4_G2_4D_3	0.0295227649893293	HMEC_4_G2_4D_2	0.00246771578585332	HMEC_4_G2_4D_3	0.0165935045098119	HMEC_4_G2_4D_3	0.00457574619414881	HMEC_4_G2_4D_1	0.017103972202695
HMEC_5_1	0.280823567777662	HMEC_5_1_2	0.0164766945259337	HMEC_5_1_2	0.0108654274094508	HMEC_5_1_2	0.00320517334244525	HMEC_5_1_3	0.0201962695118169	HMEC_5_1_1	0.0105023397742792	HMEC_5_1_2	0.0152412309395849	HMEC_5_1_3	0.00443365581860079	HMEC_5_1_2	0.00736489937613576	HMEC_5_1_1	0.0242014300717829	HMEC_5_1_2	0.00539472042946508	HMEC_5_1_2	0.00818850517641677	HMEC_5_1_2	0.0154653663281049	HMEC_5_1_3	0.0127573839662998	HMEC_5_1_2	0.00976711903259513	HMEC_5_1_1	0.00108590253213348	HMEC_5_1_3	0.00422494709680907	HMEC_5_1_1	0.0168216224764059	HMEC_5_1_1	0.00470625864857946	HMEC_5_1_2	0.0205192507762488	HMEC_5_1_3	0.0111416572808636	HMEC_5_1_2	0.00589726265521164	HMEC_5_1_2	0.0204122075627512	HMEC_5_1_2	0.0139895921126135	HMEC_5_1_2	0.00743652647027168	HMEC_5_1_3	9.26756120153907e-05	HMEC_5_1_2	0.0104354488508464
