Sample	Marker	Overlap_Score
HMEC_4_1	JF06_HMEC_0.01	0.00949694957392344
HMEC_4_1	JF12_HMEC_0.01	0.133765417218994
HMEC_4_1	JF21_HMEC_0.01	0.00734695663954799
HMEC_4_1	JF27_HMEC_0.01	0.00732473794202348
HMEC_4_1	Nax10_HMEC_0.01	0.00431588203498579
HMEC_4_1	Nax11_HMEC_0.01	0.0199526605057782
HMEC_4_1	Nax18_HMEC_0.01	0.00578876146341778
HMEC_4_1	Nax30_HMEC_0.01	0.01859661940218
HMEC_4_1	Nax38_HMEC_0.01	0.0208036580883535
HMEC_4_1	Nax4_HMEC_0.01	0.0145524086039595
HMEC_4_1	Nax40_HMEC_0.01	0.00416004754002386
HMEC_4_1	Nax49_HMEC_0.01	0.00344172045302872
HMEC_4_1	Nax50_HMEC_0.01	0.00808362212888236
HMEC_4_1	Nax56_HMEC_0.01	0.0116960528259097
HMEC_4_1	S1-17_HMEC_0.01	0.00447587914241618
HMEC_4_1	S14-51_HMEC_0.01	0.00935451224525452
HMEC_4_1	Sal102_HMEC_0.01	0.00533141607006782
HMEC_4_1	Sal22_HMEC_0.01	0.0223304770538756
HMEC_4_1	Sal27_HMEC_0.01	0.0176123026564099
HMEC_4_1	Sal45_HMEC_0.01	0.00778933221102951
HMEC_4_1	Sal46_HMEC_0.01	0.0101560308637594
HMEC_4_1	Sal58_HMEC_0.01	0.0232708199000333
HMEC_4_1	Sal66_HMEC_0.01	0.0587114861690696
HMEC_4_1	Sal74_HMEC_0.01	0.00440279422560735
HMEC_4_1	Sal78_HMEC_0.01	0.00776285941873045
HMEC_4_1	Sal87_HMEC_0.01	0.00576341305594413
HMEC_4_2	JF06_HMEC_0.01	0.00913603146074782
HMEC_4_2	JF12_HMEC_0.01	0.0292064230626477
HMEC_4_2	JF21_HMEC_0.01	0.0114560914330568
HMEC_4_2	JF27_HMEC_0.01	0.00422204722016351
HMEC_4_2	Nax10_HMEC_0.01	0.00297826833782155
HMEC_4_2	Nax11_HMEC_0.01	0.0253143085281562
HMEC_4_2	Nax18_HMEC_0.01	0.00048188813044342
HMEC_4_2	Nax30_HMEC_0.01	0.00545689444276271
HMEC_4_2	Nax38_HMEC_0.01	0.0204979598916971
HMEC_4_2	Nax4_HMEC_0.01	0.0135682864751144
HMEC_4_2	Nax40_HMEC_0.01	0.00976866169167545
HMEC_4_2	Nax49_HMEC_0.01	0.00675696771628409
HMEC_4_2	Nax50_HMEC_0.01	0.0117829217204395
HMEC_4_2	Nax56_HMEC_0.01	0.0385558305251345
HMEC_4_2	S1-17_HMEC_0.01	0.00778386349183022
HMEC_4_2	S14-51_HMEC_0.01	0.00650300856055569
HMEC_4_2	Sal102_HMEC_0.01	0.000162116636778231
HMEC_4_2	Sal22_HMEC_0.01	0.0108553688569279
HMEC_4_2	Sal27_HMEC_0.01	0.00656771202650441
HMEC_4_2	Sal45_HMEC_0.01	0.0106991657168193
HMEC_4_2	Sal46_HMEC_0.01	0.00769441152440375
HMEC_4_2	Sal58_HMEC_0.01	0.00984471870277626
HMEC_4_2	Sal66_HMEC_0.01	0.0124529773759932
HMEC_4_2	Sal74_HMEC_0.01	0.00739566012560736
HMEC_4_2	Sal78_HMEC_0.01	0.00540663733936653
HMEC_4_2	Sal87_HMEC_0.01	0.013815826770304
HMEC_4_G2_3E	JF06_HMEC_0.01	0.015374039473983
HMEC_4_G2_3E	JF12_HMEC_0.01	0.180825113065145
HMEC_4_G2_3E	JF21_HMEC_0.01	0.0286127949843053
HMEC_4_G2_3E	JF27_HMEC_0.01	0.0392658675659737
HMEC_4_G2_3E	Nax10_HMEC_0.01	0.0178034488359152
HMEC_4_G2_3E	Nax11_HMEC_0.01	0.0213595067070359
HMEC_4_G2_3E	Nax18_HMEC_0.01	0.00329271899489947
HMEC_4_G2_3E	Nax30_HMEC_0.01	NA
HMEC_4_G2_3E	Nax38_HMEC_0.01	NA
HMEC_4_G2_3E	Nax4_HMEC_0.01	0.0213611766218547
HMEC_4_G2_3E	Nax40_HMEC_0.01	NA
HMEC_4_G2_3E	Nax49_HMEC_0.01	0.0368659888215676
HMEC_4_G2_3E	Nax50_HMEC_0.01	NA
HMEC_4_G2_3E	Nax56_HMEC_0.01	0.0613649178839143
HMEC_4_G2_3E	S1-17_HMEC_0.01	0.00391425795671271
HMEC_4_G2_3E	S14-51_HMEC_0.01	0.007727032060384
HMEC_4_G2_3E	Sal102_HMEC_0.01	0.0287819789470803
HMEC_4_G2_3E	Sal22_HMEC_0.01	0.0477921596003554
HMEC_4_G2_3E	Sal27_HMEC_0.01	0.0296553294794327
HMEC_4_G2_3E	Sal45_HMEC_0.01	0.0202389398881598
HMEC_4_G2_3E	Sal46_HMEC_0.01	0.00563289064759265
HMEC_4_G2_3E	Sal58_HMEC_0.01	0.0205798558739735
HMEC_4_G2_3E	Sal66_HMEC_0.01	0.0269547383988589
HMEC_4_G2_3E	Sal74_HMEC_0.01	0.00975813645604307
HMEC_4_G2_3E	Sal78_HMEC_0.01	0.00371693660155326
HMEC_4_G2_3E	Sal87_HMEC_0.01	0.0228214747649815
HMEC_4_G2_3F	JF06_HMEC_0.01	NA
HMEC_4_G2_3F	JF12_HMEC_0.01	NA
HMEC_4_G2_3F	JF21_HMEC_0.01	0.0098702232766027
