	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2
HMEC_4_1_1	0	0.0142361985112019	0.00438055438823556	0.0135972129697519	0.0173264318342466	0.015917304191387	0.0206066145471261	0.0202762559387719	0.0139439886477372	0.0193259467573533	0.0284506533584036	0.00163473483869127	0.0162048890397902	0.00809255443824417	0.0131356011850203	0.00795171426594368	0.00845597493556239	0.00394770554281196	0.0613903760478673	0.00931497670572207	0.00621266855053729	0.0151708095853698	0.0114986806855771	0.0220106437485132	0.017598759063926	0.00938541548632987	0.00705328467175745	0.0188289266985455	0.0108457723616958	0.0338021936869593	0.0143967268949776	0.0121746848998127	0.0114366522583126	0.011700378760727	0.0227609498280408	0.0375419415617391	0.0173126332870573	0.0139363088669961	0.0165388809415292	0.00479863711639067	0.0188488973828901	0.0163540396393373	0.021978626974555	0.0190464735169325	0.0176975912752387	0.0180007476725188	0.00554544948242909	0.016848674682196	0.0081352985172721	0.00567737802422101	0.00615134878762483	0.0140759509977108	0.00570710342327088	0.0147759885501727	0.0150803976244507	0.0290402871405021	0.0167221073421287	0.0176451797532674	0.0135364954630629	0.043375393220428
HMEC_4_1_2	0.0142361985112019	0	0.0155052454121445	0.00571071156823796	0.00558543732944078	0.00866813386972082	0.0347711060930091	0.0081941707805512	0.0215886410468108	0.00608442074876873	0.0424298654561901	0.015201181701651	0.0290984927422324	0.0219349701046756	0.00324325958982249	0.00791925463488661	0.0158964281326296	0.0166892779872489	0.0750655397971946	0.0203519603543471	0.00873606225041063	0.0281288828210016	0.00511568677116302	0.0104548567474259	0.00599774598778717	0.0104382838774768	0.0110109105013179	0.00672611414546602	0.0141398837105631	0.0197860896446174	0.0120174287041031	0.00919216750712583	0.0086579492302308	0.00894871005072127	0.00905514378788772	0.0235566355567545	0.00469256058241933	0.00742905001153036	0.00649158876233856	0.00946210375125059	0.00893484625055426	0.022119029034497	0.0354103675254849	0.0280033187446961	0.0272478432475827	0.00421947836407165	0.00920710702307058	0.00821464892617096	0.00746097520155199	0.0125010444089763	0.0184383011776375	0.00528520077776796	0.00858559179054186	0.00203904982338403	0.00101484448588357	0.0148950293663753	0.00749495325503081	0.00949130159212875	0.0166120705442872	0.0575841593519138
HMEC_4_1_3	0.00438055438823556	0.0155052454121445	0	0.0163509502297335	0.0196202480809841	0.019097143371639	0.020963839085526	0.019971901868366	0.00956570286114489	0.0195933557885788	0.0271383638586914	0.00298039208788873	0.0185249235926339	0.00694339122768922	0.0152857406317387	0.0110501707959349	0.0128311429248725	0.00780235280861122	0.0596031238193865	0.0130936145762404	0.00920726723856667	0.0174978555150595	0.0140961618446443	0.0245742986317342	0.0199486818271878	0.0132358668805136	0.0110095453199626	0.0211079194719814	0.015127974571858	0.0352736026891849	0.0182653223411079	0.0157190491454645	0.0149018480942734	0.0152161026082522	0.0230915964519584	0.0378107909266547	0.0175293548919217	0.0170418167962079	0.019186969304861	0.00720063588423224	0.0216912405644622	0.0206713717090518	0.0235730351015489	0.0228661742173444	0.021422094666859	0.0186545473114215	0.00854030056992257	0.0198313424692251	0.00822029835017533	0.00347073462675287	0.00293462882483562	0.0137725526956681	0.00803265884187342	0.0154688970754327	0.0161625578857272	0.0303352443511075	0.0195687568553544	0.0207837524809996	0.0097497872750948	0.0427565089606727
HMEC_4_2_1	0.0135972129697519	0.00571071156823796	0.0163509502297335	0	0.00411554458584726	0.00332364435720746	0.0330302819547624	0.0137152868468826	0.0242649885702693	0.0113233045983014	0.0418897400135121	0.0149960263356884	0.0261288104677148	0.0216878007781779	0.00254051337334831	0.00566601700623306	0.0120886258258977	0.014733672819814	0.0748980048493201	0.0170786658814697	0.00739454150205731	0.0252411806185351	0.00228047615492032	0.00841758562498876	0.00426677221933358	0.00625152469657895	0.0078595725478969	0.00551756380923553	0.00941609725241157	0.0210632726688853	0.00636747037704637	0.00390425786753383	0.00371452558244339	0.00385747057012038	0.0136138010222301	0.026980154997694	0.0103013147463891	0.00171949911436026	0.00294798306811755	0.00918769628282702	0.00534137519885671	0.0170789657255436	0.0326486354344095	0.0234535724994197	0.0229117243883076	0.00930092467612132	0.00807301072935794	0.00357111103330801	0.00994619636047851	0.0142171199801057	0.0190994441302136	0.0106088221014057	0.00832344537576947	0.00773968328913224	0.00654853014285735	0.0167782472623604	0.00322060503398348	0.00471076620824643	0.0203153312037539	0.0562600042072516
HMEC_4_2_2	0.0173264318342466	0.00558543732944078	0.0196202480809841	0.00411554458584726	0	0.00477130917818239	0.0370890729908447	0.0118901293229922	0.0267254672050351	0.009248028472313	0.0457424362712983	0.0186185100864089	0.0302370622391501	0.0253933717571087	0.0043364152835859	0.00955993069083011	0.0161622947762327	0.0187646556072469	0.078680569348655	0.0211832094289493	0.0111394164861335	0.0293529025358418	0.00585838207526958	0.00507619250430448	0.000412357743203648	0.0103397281894713	0.0119621441370794	0.00150437037153617	0.013280706139266	0.016952837707411	0.00933530207143329	0.00770392017597177	0.00771929959531949	0.00778828416566667	0.0106755605950334	0.0231265684145679	0.00896332513483757	0.00498771787033397	0.00187933309962934	0.0126807705689349	0.00349249251085409	0.0205924536048625	0.0367598415265698	0.0272151207549448	0.0267703287663577	0.00733147244250338	0.011790227834471	0.00362986710034639	0.0122722031049703	0.017067483819122	0.0224759474911629	0.010809012775396	0.0117696413568461	0.00733219097694609	0.00585031143214103	0.012691144961098	0.0028704377100363	0.00470176335612562	0.0220724277353705	0.0602801931807836
HMEC_4_2_3	0.015917304191387	0.00866813386972082	0.019097143371639	0.00332364435720746	0.00477130917818239	0	0.034354518605684	0.0162246405212175	0.0273755116523121	0.0136696137493631	0.043760081142433	0.0174272571879583	0.0267847879265294	0.0239200792037033	0.00574173318302279	0.00807182717963822	0.0126255218347101	0.0163744281858812	0.0768229203270789	0.0177655292205382	0.00991249149841725	0.0259709629747558	0.0054262879581388	0.00691882312582781	0.00461711995501455	0.00720774851993173	0.0093656983660667	0.00551591676876608	0.00925151279658094	0.0205523135755955	0.00468086304062523	0.00410746807492903	0.00461209949468467	0.00445448036847738	0.0154094596343929	0.02763314125481	0.0129863647627767	0.00206622827130497	0.00289552134514212	0.0119023792636319	0.00341571187480471	0.0160296999361657	0.0333487347834284	0.022829524810139	0.022514942072537	0.0116645278503472	0.0105919773388881	0.00140655935916571	0.0131942352377176	0.017241602978962	0.0217251830130137	0.013788949807439	0.0111110732787907	0.0106988005735936	0.00935903453779913	0.0168062282040968	0.00197074924603275	0.00173124901341001	0.0236021028043699	0.0576561389811736
HMEC_4_G2_3E_1	0.0206066145471261	0.0347711060930091	0.020963839085526	0.0330302819547624	0.0370890729908447	0.034354518605684	0	0.040664381823658	0.0243027401732728	0.0398945437837387	0.0115989885088782	0.0199340985345869	0.00959974324734487	0.0141456949153219	0.0332508305724935	0.0275949083185729	0.0219890642743873	0.0183432075885284	0.0435297265905927	0.0170231269205095	0.0262388662695908	0.00980751570628468	0.0313091967887896	0.0411627031273159	0.0372821564546494	0.0271707965811431	0.0252029063927587	0.0385365013629863	0.0257594179822914	0.0539633355085189	0.0309270491759407	0.0302507960358734	0.0298441158132893	0.0299367204820849	0.0433451417695205	0.0581191694893873	0.0378635274165584	0.0327536806926368	0.0358899945385635	0.0253205036276319	0.0377088691675006	0.0240870675336418	0.0066165208250543	0.0195721490950203	0.0181842909360092	0.0385990052057033	0.0256743102588734	0.0356048814645595	0.0285169133957192	0.024398376630634	0.018593157505966	0.0344155430512612	0.026189831605837	0.0353759929141919	0.0356479800882319	0.0493786522839239	0.0357407811672434	0.0359948337751419	0.0288508506190465	0.02332358295612
HMEC_4_G2_3E_2	0.0202762559387719	0.0081941707805512	0.019971901868366	0.0137152868468826	0.0118901293229922	0.0162246405212175	0.040664381823658	0	0.0227942708221141	0.00266868250625055	0.0468926456450955	0.0207544747009751	0.03614701881994	0.0269001184710473	0.011393061997137	0.0156866594917287	0.0237365080952354	0.0234820722490764	0.0786302078328252	0.0278066533697459	0.0160165411068232	0.0351378213968168	0.0133007835154264	0.0150775615089986	0.0122236441671772	0.0185393135697701	0.018803880261437	0.0121666111562541	0.0222847591949171	0.0180455154794337	0.0200817648313531	0.0173674804183032	0.0168510158989369	0.0171384169804117	0.00419928645376828	0.0179797639080239	0.00351790376384921	0.0153909366479112	0.0135225678308626	0.0159889732886161	0.0152704786380513	0.0302861571443088	0.0421860060555273	0.035997097154474	0.0351521429755617	0.00457743690369559	0.0163027275150183	0.0153860613109474	0.0121798811970171	0.0165128398576968	0.0227398786542727	0.00625448997157796	0.0152954300713559	0.00642133702263191	0.00723514290865907	0.0131505557654524	0.014604917945169	0.0165579548678182	0.0166423244010039	0.0626811352247778
HMEC_4_G2_3E_3	0.0139439886477372	0.0215886410468108	0.00956570286114489	0.0242649885702693	0.0267254672050351	0.0273755116523121	0.0243027401732728	0.0227942708221141	0	0.0235282659028286	0.0263033903744935	0.0124627354869032	0.0253373251433463	0.011788318157038	0.0225608774200942	0.0197119026850847	0.0223797727624565	0.017065825461411	0.0563424261263234	0.0220368800571132	0.0179642461717774	0.0244067205659049	0.0220067572046884	0.0317973489047752	0.0271094906582552	0.0224129667589023	0.0203263644104421	0.0280969954770674	0.0246332872454649	0.0402758646216446	0.0273500983593819	0.0245332492504555	0.0236680646167322	0.0240200339585765	0.026752478960265	0.0404173287309555	0.0216632292398334	0.0253243491251438	0.0267932925966229	0.0158560491374374	0.0294294246237276	0.0301201250753476	0.0288535167091652	0.0315954743022948	0.0300483483145266	0.0233738476929285	0.0173726123849628	0.0278343956342971	0.0144757021106039	0.0101894530278357	0.00873486852476149	0.0177284594013936	0.0164777626232929	0.0207076809512391	0.0218847587352143	0.0352312069566271	0.0274108986741884	0.028945994202037	0.00633000289847271	0.0426003768859907
HMEC_4_G2_3G_2	0.0193259467573533	0.00608442074876873	0.0195933557885788	0.0113233045983014	0.009248028472313	0.0136696137493631	0.0398945437837387	0.00266868250625055	0.0235282659028286	0	0.0467021854212914	0.0199967539571578	0.0348371670368052	0.0264276214246042	0.00913554167052208	0.0139130322412097	0.0219424486196927	0.0222479656875544	0.0788163508085882	0.026261078827768	0.0144925629538473	0.0338459270259516	0.0111653763087835	0.0124567886884738	0.00957354271699136	0.0165200397997779	0.0170300167611389	0.00949805125735855	0.0202033010426343	0.016790869956109	0.0176725961325917	0.015085201613849	0.0146348920489393	0.014897422738086	0.00349954634913822	0.0182843790423202	0.00206462639458577	0.0129596972020486	0.0109185698105513	0.0147800040874899	0.012607643760353	0.0281519484747418	0.0410229431952538	0.0340830258857327	0.0333164910617659	0.00202638491998364	0.0148651092197524	0.0127794864972694	0.011469682751532	0.0162121565545668	0.0224612920323448	0.00598330822948042	0.014000499096316	0.00468371199418372	0.00507351716555594	0.0117623907220126	0.0119980973624667	0.013932219667612	0.0176143172218414	0.0622775167458288
