	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0178646937583479	0.00911453248416469	0.00863823155816069	0.0151871567475679	0.0183367439583988	0.0474857202816304	0.0312379944241969	0.0132436783731273	0.00699661874268466	0.0153053812383142	0.0109730708657562	0.0119297131597702	0.0203068752783464	0.00924109805693548	0.0139251839335182	0.0175391590078823	0.0291838235236618	0.0243234539735586	0.0222302213899715	0.156707612009419	0.116476859358177	0.136729609343048	0.0351091536796273	0.0203973646269176	0.0124641875278296	0.00696408881189896	0.00791252288324223	0.00955654832746392	0.0134479045463514	0.0181952137808684	0.0124027832642119	0.0141358889747737	0.0112356449754272	0.0108651132846611	0.00766001756895841	0.0124768521132265	0.0115082016132239	0.00667058681955461	0.013379255250801	0.014359570627448	0.00995322043931014	0.0148886782007302	0.0117207150762884	0.00978587347470988	0.00817066801543858	0.00967187012823467	0.0108730169532793	0.0140146275507245	0.0263351029581896	0.0150767638683744	0.0127173638795066	0.0202012744757329	0.0136644643399972	0.00655614961798623	0.010132126918004	0.00689578199264439	0.0127532419945561	0.135437072924259	0.136186095071693	0.13840537376282	0.01210504141776	0.00757298201894257	0.00801704313599644	0.00897336981859106	0.00869409347306969	0.0543703140019021	0.0200634627706223	0.0178582567955565	0.0172832453329782	0.0254737439925834	0.0319737048860436
HMEC_4_1_2	0.0178646937583479	0	0.0136471400357797	0.0114566928000326	0.0185271702802949	0.00284709412701365	0.0316408171610642	0.0177134957635081	0.0224232182385787	0.0185829605431344	0.00373225963531536	0.0139273065895942	0.0107581868980533	0.0133955640147555	0.0178125221527188	0.0157245654954872	0.0122460961694333	0.0133235754522772	0.00761534581773233	0.0137119566582341	0.142134208286015	0.101532215905145	0.122290495476331	0.0212266448108805	0.0123125052209173	0.0150104180477233	0.0187851303075127	0.0155229265132204	0.0129086217906488	0.00486100427336843	0.00959562149444561	0.0123408423580056	0.0106373019415392	0.00864360172403545	0.0224319874732623	0.0133084560013432	0.0138699996637404	0.0072264696629018	0.0161282631142233	0.00776428309245525	0.0120730249196285	0.0110692858621461	0.00560673732146738	0.0128460120707675	0.0172748718156307	0.0175084412307888	0.0104068712773395	0.0114235219363656	0.00688571675167971	0.0110716024096224	0.00796946130146449	0.0101438012647546	0.0349806828605479	0.0224961151905745	0.0132222985845365	0.0239003714668239	0.0150742860093187	0.00611716178138757	0.122023512280423	0.122433499951551	0.124852691449245	0.00628189105651165	0.0130122506372512	0.0118765585409701	0.0186300735396188	0.0131444877204925	0.0389672223445325	0.0177548972217364	0.0252041557775366	0.0092302498961694	0.00955125062960368	0.0212640612478385
HMEC_4_1_3	0.00911453248416469	0.0136471400357797	0	0.00868132964009778	0.0103215232075198	0.0127258340910492	0.0439159149085804	0.0235865855093183	0.00998514795347341	0.00731165722868255	0.0127576353810364	0.00232916377363605	0.003650029780151	0.0123641209765962	0.00426138044241466	0.00812868624280344	0.00939327303313029	0.0241860301211731	0.01795856296777	0.0167266083289826	0.149712105558903	0.109172436017531	0.129883977577219	0.0283464131855479	0.0119410833096882	0.00404137973146802	0.0133550583557671	0.00806813515460508	0.00113531500569733	0.008937834365175	0.0108395251917454	0.00344057991387824	0.00636341595202058	0.00593855023350647	0.00966879969096288	0.00178760168623672	0.00361120526481106	0.00657210125980477	0.00337970929409851	0.00786722952009299	0.00584234402619983	0.00781317419525338	0.00888147619861842	0.00484831026530479	0.00368002830407924	0.0052593520937175	0.00584356853916865	0.00700309543245945	0.00743310386848805	0.0208610399159855	0.0082030300240357	0.00496361280069186	0.0249624603798102	0.0133342722585111	0.00650356679521345	0.014154688943631	0.00678744403482143	0.00927401335980223	0.133880590188234	0.134159226288995	0.136557201239571	0.00924947983969672	0.00430162978971808	0.00944114199048738	0.00528995685579324	0.00255687333803192	0.0510825791730861	0.0120699428901197	0.0126011506010429	0.00921903633686695	0.0195006825715717	0.0245588745628097
HMEC_4_2_1	0.00863823155816069	0.0114566928000326	0.00868132964009778	0	0.0118935540501646	0.0119997076389069	0.0425707672702336	0.0270500962118724	0.0145342431868097	0.00878695519769144	0.00848750963735688	0.0107396811146929	0.00885204291013475	0.0181721508713241	0.0111057308189757	0.00988624164304952	0.0154557930070797	0.0244624040225299	0.0179710215692783	0.0206788998907175	0.152901244838361	0.112273279094386	0.133080310554477	0.0313778838364551	0.0171668126408093	0.0125201747560398	0.00779817146166812	0.00485793944398443	0.00804448544143748	0.00811909492379946	0.0151159791297856	0.00999443205070647	0.00918033388763339	0.00546317360269831	0.0135945051156022	0.00779132248398576	0.0104804961188825	0.00655980667383813	0.00948797844217249	0.00656064388848713	0.0125538893251581	0.00235954630184596	0.00864863917832376	0.00772744828906127	0.0114583248214908	0.0091005999753044	0.00369714651782253	0.00436100529430565	0.00969400385542069	0.0218469083241636	0.0117531632541414	0.00831325637973445	0.0236498584934969	0.0126708186122977	0.0030131611705086	0.0127036491161083	0.00473460179347055	0.00893634215521498	0.131728418973	0.132458305353333	0.134756593533998	0.0080243133461545	0.00477745575218828	0.00852955419018362	0.0111450002537723	0.00662148008483385	0.0497482370748877	0.0160760339300499	0.0198121222033356	0.0120686934859035	0.020409480958917	0.0294630905958893
HMEC_4_2_2	0.0151871567475679	0.0185271702802949	0.0103215232075198	0.0118935540501646	0	0.0171348952803437	0.0495635884648372	0.0281964818554944	0.00737067312863745	0.00875826023183035	0.0174191500885098	0.0114366202018507	0.0106886469177346	0.0190608791643363	0.00946364652823232	0.00289822108101112	0.0163923711361959	0.0302192052506391	0.0214184240004159	0.0251835367648376	0.153831006356789	0.112819075407144	0.13437016646054	0.0340845587811433	0.0171611417147319	0.0120279381493899	0.0153844979973583	0.00856106979389899	0.00967672842921229	0.015298139833369	0.0178675148687543	0.00991486750333486	0.00881706002763256	0.0108456337959866	0.00908882632863436	0.0114487767611177	0.00859653681404403	0.0131866035168579	0.01178634777582	0.0108267725119913	0.0133875794751753	0.00994959136543304	0.0132076480360016	0.00659732123226192	0.0101505097077184	0.00777399392519548	0.00989799311953016	0.00822122415088682	0.0142151205075116	0.0270847824149105	0.0157351111039324	0.0097165982424886	0.0215352084636074	0.00698845962149168	0.0105652170071465	0.0124644568890109	0.00896532611384238	0.0170093320029201	0.140201696460861	0.140508893708114	0.142966161029428	0.0167263845135395	0.00920803708246697	0.0181108378838524	0.0090704623719786	0.00874316399848187	0.0569755517212241	0.00777405403666096	0.0124364307723887	0.0121927266497344	0.0249489355195901	0.0305638776269775
HMEC_4_2_3	0.0183367439583988	0.00284709412701365	0.0127258340910492	0.0119997076389069	0.0171348952803437	0	0.0325266650931996	0.0158950250961897	0.0211907921149537	0.0181510008956712	0.00582194837693752	0.0127012825995675	0.0094091165059696	0.0113764190385087	0.0168112917709273	0.0143187019300958	0.0102807425310123	0.0134714301184988	0.00608748028308052	0.0130354165086025	0.14119620800934	0.100459042039822	0.121407332207021	0.0201102219294111	0.00987925390611494	0.0135546950943164	0.0196669329314351	0.01541889123824	0.0119315491406223	0.00499962598983403	0.00778174385590961	0.0107910261441028	0.00887190497568342	0.00804688666422591	0.0215415783705179	0.0127549209185239	0.012278730000645	0.00694103073055774	0.0155875146826958	0.00685377810563783	0.0103567953188049	0.0110842085869768	0.00424423203705957	0.0115878526730396	0.0161865408297562	0.0167502715078805	0.0101103650692162	0.0109151178542493	0.0056284514184426	0.0107918256049972	0.00658538426220072	0.00866877008143629	0.0349595490581162	0.0218274196129229	0.0133489008682377	0.0238548714207622	0.0149425598619843	0.00681452639301872	0.123358261997814	0.123609419290329	0.126080914575834	0.00722174196774136	0.0126446563386506	0.0129397714733214	0.0177043462694451	0.0123827657882779	0.0399149426859997	0.015420398799709	0.0234754399295263	0.00673557753684466	0.00879485778721805	0.0195897973702957
HMEC_4_G2_3E_1	0.0474857202816304	0.0316408171610642	0.0439159149085804	0.0425707672702336	0.0495635884648372	0.0325266650931996	0	0.0281184012417993	0.0533287284112406	0.0498288377470917	0.0341607460709013	0.0433230731282796	0.0410009047653626	0.0362124429503627	0.0481214461773496	0.0467949078284483	0.0377989217012418	0.0201657204734711	0.0286122160688826	0.0308117094305012	0.118293454670222	0.0795287457681675	0.0984130195811251	0.0234432909127303	0.0364857909660085	0.0437207768453644	0.0487505515140716	0.0470135816782757	0.0434690019303046	0.0357215990521463	0.0346588209305109	0.0422918225528711	0.0411932360644503	0.0400785275133595	0.0534377949446426	0.0435349885098887	0.0439485783937167	0.0382164224648083	0.046096331095972	0.0392314123070393	0.0401445623431975	0.0426087381585794	0.0366778482074142	0.044005017069482	0.0472170879456177	0.0485992370516712	0.0419408456682781	0.0430507450862017	0.0367135654105707	0.0237233442162421	0.0360332517017466	0.0408495533186589	0.066121278310819	0.0540923062010872	0.0444371101627955	0.0551614623713777	0.046479259959622	0.0353761039170488	0.0916436402212459	0.091580315590356	0.0941652940818849	0.0358939253209068	0.0443099514658174	0.039643648962839	0.0491969352028033	0.0442086176128865	0.00747286263926752	0.0463102865691712	0.0542428326486907	0.03809800690595	0.0254345565619061	0.0305837051725149
HMEC_4_G2_3E_2	0.0312379944241969	0.0177134957635081	0.0235865855093183	0.0270500962118724	0.0281964818554944	0.0158950250961897	0.0281184012417993	0	0.0310332410505001	0.0305728396308144	0.0213385322978374	0.0220066531007389	0.0204403122539568	0.0121593905969835	0.0268725687939877	0.0257703734197842	0.0146701989962085	0.0115347396668537	0.0115877622106193	0.012449716377793	0.12661215990209	0.085821719239106	0.106833123033552	0.00664526339191373	0.0120095800951047	0.0214594288870666	0.0345019058242006	0.0294134031160157	0.0232214984333219	0.0193401895127116	0.0130872597094318	0.0207755446836906	0.0203407222779161	0.0219623285270032	0.0321816786757068	0.0242396893330418	0.0219687934200974	0.0207479696883519	0.0264303084520897	0.0211486945219066	0.0179815830629108	0.025834674984479	0.0185591741025099	0.0235570684425893	0.0257239474609212	0.0283545676398512	0.0242146501146882	0.0249914522800847	0.0176783812233117	0.00989567431433387	0.0162008482933878	0.0204914918183976	0.0480888347000563	0.0344307981323534	0.0274279574709601	0.0372108603628284	0.0286499203954842	0.0198555625856648	0.118200626251532	0.117465808944778	0.120201566771898	0.0208440923886863	0.0258634749345006	0.0254643658635302	0.028121177000645	0.0246081735238103	0.0348471481924318	0.0223506026269497	0.0296000917802546	0.0164874945814668	0.00932349874626381	0.00650382856452541
HMEC_4_G2_3E_3	0.0132436783731273	0.0224232182385787	0.00998514795347341	0.0145342431868097	0.00737067312863745	0.0211907921149537	0.0533287284112406	0.0310332410505001	0	0.00682737293766217	0.0211697874320756	0.010808630767995	0.0123757066425306	0.0200576876251744	0.00633192918202634	0.00842829750488384	0.0173309715781836	0.0334712482407072	0.0259105197120651	0.0259359565661526	0.156457362872944	0.115756839307131	0.136879213046736	0.0365711440297729	0.0191300901398062	0.0109779555246252	0.015653101512384	0.0103243793150548	0.0101521690112088	0.0181393658598145	0.019628891922355	0.0111676956013855	0.0125665718718826	0.0139024607163141	0.00300844885422923	0.0109836923404135	0.00955247551502585	0.0156644205010637	0.00952099687102254	0.0150013025061165	0.0140737278906149	0.0133757850868421	0.0170342338559722	0.00971691856737221	0.00735781286317959	0.00591386885128306	0.0127421698983723	0.0121130104845244	0.0166694991199356	0.0300881826992213	0.0175784057112496	0.0125678286907501	0.0185368915442268	0.00784444158476156	0.0119295786606883	0.0104375423033364	0.0100455753796335	0.0189731190652818	0.14355031339498	0.14381148373643	0.146228019924555	0.0187639046223612	0.0104585366051852	0.0181745189984499	0.00538801183960512	0.0096618166094455	0.0605976721640175	0.0120650339693832	0.0071808038614697	0.0160207587004614	0.0283768166759405	0.0319436971238653
HMEC_4_G2_3F_1	0.00699661874268466	0.0185829605431344	0.00731165722868255	0.00878695519769144	0.00875826023183035	0.0181510008956712	0.0498288377470917	0.0305728396308144	0.00682737293766217	0	0.0164891528154788	0.0093128468877716	0.0101698016027953	0.0195979310935361	0.00545554932096117	0.00832809111448247	0.0166186268609206	0.030603454864031	0.0237634647835215	0.0238430424644642	0.156794600740804	0.116181780745567	0.137028225737938	0.0354921105888487	0.0188917198533075	0.0105213443270859	0.0090696940230901	0.00466946342792974	0.00742426586197663	0.0141538288080785	0.018003017456856	0.00988137997076664	0.0110821326337068	0.0101185085988705	0.00500232285401423	0.00720105529021533	0.00903864498455967	0.0116791986960541	0.00600223644036758	0.0117319970253852	0.0130330001614681	0.00849331109947146	0.0139835157639215	0.00779160261979448	0.00668793798885791	0.00260729441588119	0.00828441636308179	0.00818189353368035	0.0137744234410833	0.0274671241331834	0.0151147214371197	0.0104019975377662	0.0177035914310413	0.00743077714358911	0.00599257720326134	0.0068866426863329	0.00410066159749532	0.0146301039808167	0.139274658342504	0.139827429632176	0.142149301794909	0.0141241364475608	0.00558012645623222	0.0126062628297458	0.00445474455054872	0.00607884020580448	0.0570115945958928	0.0146720715163099	0.0128829741772036	0.0149221271294229	0.0259962624009569	0.0318180705451856
