	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_4_1	0	0.00268650895416211	0.041911767309567	NA	0.0263767963061931	0.0147739639017764	0.0099718311777215	0.0276002872963253	0.0135382327374971	0.0132734670465984	0.0114361135621785	0.00866640187391778	0.01193791668985	0.0152446765837737	0.00750482321249179	0.00861304674730502	0.0107137734867451	0.00839234822645181	0.0069310321932851	0.0106292096840843	0.0104621430322707	0.0133349082595126	0.0125809122568037	0.0176162524998907	0.031698564152037
HMEC_4_2	0.00268650895416211	0	0.0395322942968244	NA	0.0254704237427554	0.012778834652221	0.00729582293220536	0.024917752356708	0.0115826093456176	0.0154802867546447	0.0135007838333522	0.00967404392828169	0.013378537849037	0.0128057413461028	0.00573120961524326	0.0108588585013716	0.00842304855753374	0.00994620576985591	0.00496460969027984	0.00904571551815241	0.00854773657310022	0.0106968640513501	0.010143396118434	0.0165784034288086	0.0302703376829007
HMEC_4_G2_3E	0.041911767309567	0.0395322942968244	0	NA	0.02788916368492	0.0276135192607253	0.0337664477330663	0.0224372776404264	0.0288498263130789	0.0549785520108304	0.0529340103901596	0.0480097272025105	0.0520190382141868	0.026737238993481	0.0346705527482858	0.0462575009346233	0.0366963315623334	0.0429471582552838	0.035065528432581	0.0322243906314815	0.0317782615857553	0.029424702666041	0.0293947866252873	0.029652064807021	0.0209447621244868
HMEC_4_G2_3F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMEC_4_G2_3G	0.0263767963061931	0.0254704237427554	0.02788916368492	NA	0	0.015264151669743	0.0251206975118955	0.031050084125793	0.0158162009442914	0.0384730576100283	0.0371299513897127	0.0349628677853533	0.0382752570215437	0.018943644984612	0.0199913036646588	0.0254806652370601	0.0293211197031492	0.0220363932288896	0.0208922812764122	0.0167630815888966	0.0178814768928205	0.0223254177262906	0.0196912571306702	0.0089145131567456	0.00794783807712327
HMEC_4_G2_4A	0.0147739639017764	0.012778834652221	0.0276135192607253	NA	0.015264151669743	0	0.0100648749752948	0.019122664534633	0.00125186232588489	0.0280440367102484	0.026177834350459	0.0222759271882093	0.0261100030281467	0.00416444174805032	0.00727897988380446	0.018777598476608	0.0142804445261652	0.0156368464736626	0.00787055822212823	0.00462240117155725	0.00431486613104172	0.00710163025234375	0.0044392564567922	0.00747797904227472	0.0181485414205752
HMEC_4_G2_4B	0.0099718311777215	0.00729582293220536	0.0337664477330663	NA	0.0251206975118955	0.0100648749752948	0	0.0176364945541248	0.00932849213706411	0.021713997311434	0.0195487559933524	0.0142689220796506	0.0182830005494777	0.0077897705384967	0.00703302694526877	0.0177960489861948	0.00422128682225038	0.0161160185330586	0.00633326956981298	0.00906671097804999	0.00757549642088401	0.00438974436319745	0.00575319741513259	0.0165916549858611	0.028092679642523
HMEC_4_G2_4C	0.0276002872963253	0.024917752356708	0.0224372776404264	NA	0.031050084125793	0.019122664534633	0.0176364945541248	0	0.0197249635035766	0.038647133983037	0.0364150857150974	0.0305052185407908	0.0343039404202634	0.0152717374410169	0.0227111135011135	0.03498897752315	0.0184340278996684	0.032705669398557	0.0224941966800679	0.0223925126712155	0.0209967718576988	0.0148597399274351	0.0170263097824879	0.0259722193274623	0.0291853953940936
HMEC_4_G2_4D	0.0135382327374971	0.0115826093456176	0.0288498263130789	NA	0.0158162009442914	0.00125186232588489	0.00932849213706411	0.0197249635035766	0	0.0268072176837038	0.0249512921493333	0.0211251574336721	0.0249353184192364	0.00449786263350402	0.00603746935178499	0.0175892032982586	0.0135460586261055	0.0144938003123992	0.00665136618943697	0.00341557508322439	0.00307642391608453	0.00684359214670984	0.00399329573586688	0.00759602249812187	0.0191214221712677
HMEC_5_1	0.0132734670465984	0.0154802867546447	0.0549785520108304	NA	0.0384730576100283	0.0280440367102484	0.021713997311434	0.038647133983037	0.0268072176837038	0	0.0022398191993266	0.00837467936609285	0.00559316712611077	0.0282606343109784	0.0207725468563902	0.01394455315249	0.0202258583729831	0.0168653730133595	0.0201962695118169	0.0238134929784927	0.0237324611604899	0.025804481051099	0.0256073255725445	0.0301533803050357	0.0445061954258443
