	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00673094923209947	0.0135824454605187	0.00517995609079527	0.0177257202701121	0.00220542733749827	0.0102827448855486	0.0046029579450565	0.0172210349085567	0.00350595531249642	0.00424649891627784	0.00658249924329229	0.00435201123516285	0.00347718206654347	0.00072871331777347	0.0112441317669223	0.00197153046261176	0.0171076762335279	0.00323178008843931	0.0123066015515287	0.00464191910243409	0.00568544747330666	0.00801290821013777	0.000746432336984722	0.010808119668077	0.00554000832747995	0.00678590469456308	0.00261854116331411	0.00622790469542565	0.00109724524510285	0.0032172764587138	0.00145006985442227	0.00164510622461849	0.010851608594175	0.00497747837279686	0.0763958855174339	0.0704365181606002	0.0708007186303535	0.00398427169434412	0.00985797658642973	0.00721575082799914	0.0305379854621919	0.0154660457817686	0.0171295317174588	0.000386249488094004	0.00231471855826657	0.0640322625922475	0.0645822099198054	0.0673688581222285	0.0113375819430916	8.13616336821864e-05	0.00397496816294644	0.00414977038558457	0.000812086234157708	0.00179426635375416	0.000717521401746499	0.00578987342484641	0.0143871530998689	0.00986264566073766	0.00111828891729882	0.013818823686786	0.0752675792343967	0.0698699954963457	0.00327437270637474	0.00946769273058611	0.00490062141879443	7.99328321697136e-05	0.00554580375774273	0.00875928517745457	0.00737547823237407	0.0157825016852549	0.00210456919975948
HMEC_4_1_2	0.00673094923209947	0	0.00685171643991202	0.00155101219608332	0.0109952317245029	0.00452554558647028	0.00355188215302993	0.0021280145222158	0.0104905127561044	0.00322502074895767	0.00248447534485656	0.000148452305191968	0.0110828457496077	0.00325379401237316	0.00600224630148161	0.00451330269312362	0.00475944104482225	0.0103771466970592	0.00996265276855584	0.00557581474564251	0.0113727427631876	0.0124162287389764	0.00128198332194201	0.00598452750327866	0.00407727478893032	0.00119095655136701	0.0135166356065198	0.00411243362761993	0.000503051965003875	0.00563371866529298	0.0035136995996809	0.0081809908961986	0.00508586287138194	0.00412076525121521	0.0117082889690436	0.0696773858319208	0.0637160724861378	0.0640803871613357	0.00274670350179159	0.00312710037171747	0.000484809888039483	0.0238087496013152	0.00873541607967516	0.0103990035999285	0.00634470556437498	0.00904561802176221	0.057309909058176	0.0578600127638762	0.0606474748773963	0.00460675637354971	0.00681230955003832	0.00275600706035634	0.00258120425840905	0.00591887441232057	0.00493670390696522	0.00601343807701417	0.000941088728017126	0.00765646446749652	0.00313176958962572	0.00561267521859508	0.00708810621384337	0.0685486984748604	0.0631493733938271	0.0100052440449852	0.00273680487904959	0.0018303490889451	0.00681088077087604	0.00118516106126484	0.00202837804177339	0.000644540268050706	0.00905189030659053	0.00883547423574773
HMEC_4_1_3	0.0135824454605187	0.00685171643991202	0	0.00840269728591735	0.00414362455509945	0.0113771380785447	0.00329986244578468	0.00897968498900964	0.00363888788173326	0.0100766589831213	0.00933613597512252	0.00700016624653191	0.0179340828688987	0.0101054313228995	0.01285377694089	0.00233843909704723	0.011611024443019	0.00352551801347767	0.0168139653700642	0.00127591877810779	0.0182239593547062	0.0192673680563197	0.00556975028195884	0.0128360589474063	0.0027744688251774	0.00804264995243876	0.0203676876917304	0.0109640415354339	0.00735475950729277	0.0124852657286657	0.0103653283860738	0.0150324109977124	0.0119374331360637	0.00273097822196638	0.018559481289984	0.062836079497427	0.056872976322236	0.0572373955548266	0.00959835650430813	0.00372464405364515	0.00636691397327173	0.0169579989669044	0.0018837391256535	0.00354737564598261	0.0131962203523228	0.0158969878784835	0.0504650768861856	0.0510153220506711	0.0538035229438179	0.00224498490689768	0.0136638017768446	0.00960765978619535	0.00943286211364994	0.0127704088248463	0.0117882802369646	0.0128649682073821	0.00779278752938931	0.00080476281659425	0.00371997484235543	0.0124642231999683	0.00023639379604983	0.0617070403516624	0.0563061158365256	0.0168565538880669	0.00411493862244407	0.00868202730001954	0.0136623730682388	0.00803685459096519	0.00482336191175467	0.00620718579057323	0.00220022165390053	0.0156868566378932
HMEC_4_2_1	0.00517995609079527	0.00155101219608332	0.00840269728591735	0	0.0125461688804916	0.00297454074265253	0.00510288447132364	0.00057700299622152	0.0120414562284824	0.00167401150044205	0.00093346441472505	0.00140256000417331	0.00953189136050506	0.00170278484122915	0.00445124870384993	0.00606429997661715	0.00320843718954307	0.0119280915502615	0.00841168641459573	0.00712680529641993	0.00982179169550841	0.0108652903933006	0.00283299353753099	0.00443352980453792	0.00562827448033151	0.000360055878705063	0.011965711977544	0.00256142718408803	0.00104796051877988	0.00408271903560857	0.0019626911691082	0.0066300083553703	0.00353486049584477	0.00567176471174139	0.0101573418613998	0.0712257248864531	0.0652648434510607	0.0656291328202957	0.0011956930985228	0.00467810459436675	0.00203582154585063	0.0253594343050235	0.0102863793696441	0.011949948187982	0.00479370998848822	0.00749464290056335	0.0588591018482695	0.0594091710510921	0.0621964533672719	0.00615775311403632	0.00526131694240198	0.00120499667726296	0.00103019351394913	0.0043678763419511	0.00338570084079523	0.00446244054344544	0.000609923781240916	0.00920743828398711	0.00468277379239173	0.00406167547736726	0.00863908506782546	0.0700971222204268	0.0646981834409227	0.00845427812069975	0.00428781067845314	0.000279337171920601	0.00525988815380078	0.000365851371465425	0.00357938627950772	0.00219555169224177	0.0106028502696502	0.0072844972356957
HMEC_4_2_2	0.0177257202701121	0.0109952317245029	0.00414362455509945	0.0125461688804916	0	0.0155205062537522	0.00744345140212349	0.0131231385406398	0.000504739331632115	0.0142200755526908	0.0134795778949329	0.0111436776527221	0.02207713165023	0.0142488468751957	0.0169970841737847	0.00648204168799518	0.0157543833904354	0.000618109695554531	0.0209570776413493	0.00541953331554715	0.0223669911050151	0.0234103364585453	0.00971329638953927	0.0169793669493354	0.0069180655651731	0.0121861323141387	0.0245105858207308	0.0151074256185013	0.0114982613895805	0.0166285887674955	0.014508734640007	0.0191756166635728	0.016080778938	0.00687457557032148	0.0227024930190878	0.0586977547100183	0.0527336626142359	0.0530981393562664	0.0137417896305805	0.00786822613057616	0.0105104414767741	0.0128146881729625	0.00225989159271996	0.000596251970234663	0.0173395125411842	0.020040149383363	0.0463248141129691	0.0468751361575341	0.0496637399455696	0.00638858868006101	0.0178070728699077	0.0137510925967918	0.0135763008131134	0.0169137196682911	0.0159316320843959	0.017008274954054	0.0119362771410352	0.00333886562948018	0.00786355699778567	0.0166075471293474	0.00390723209662215	0.0575685204945726	0.0521667134282069	0.0209996638127524	0.00825851391628511	0.0128254902809342	0.0178056442267293	0.012180337122887	0.00896692376219543	0.0103507171699737	0.00194340909133774	0.0198300290775249
HMEC_4_2_3	0.00220542733749827	0.00452554558647028	0.0113771380785447	0.00297454074265253	0.0155205062537522	0	0.00807738208202435	0.00239753919624569	0.0150158081060585	0.00130053152477716	0.0020410783249956	0.00437709431608103	0.00655741630145446	0.00127175817174277	0.00147671485824466	0.00903878337487108	0.000233897233836482	0.014902446612988	0.00543719371766752	0.0101012707471774	0.00684732163263631	0.00789083978452262	0.00580751705285107	0.00145899584897921	0.00860276456306478	0.0033345953633138	0.00899128437910004	0.000413114668167234	0.00402249684532443	0.00110818303974761	0.00101185165580195	0.00365549305896327	0.000560321830798572	0.0086462541455434	0.00718287780317097	0.0741948041038724	0.0682347786345914	0.0685990177793962	0.00177884987374102	0.00765260787061058	0.00501035160566629	0.0283332268949371	0.0132607775679113	0.0149243026386959	0.00181917839695318	0.00452013773570326	0.0618298758315022	0.0623798762994671	0.0651668008139701	0.00913223502804688	0.00228678882695301	0.00176954630066914	0.00194434932844861	0.00139334198489488	0.000411161558484624	0.00148790676761908	0.00358446223334398	0.0121818617821665	0.00765727700839671	0.00108713936730744	0.0116135209200313	0.0730663690849902	0.0676681962099479	0.0054797860459398	0.00726231882844357	0.00269520435980905	0.00228536002703484	0.00334039083360065	0.00655390246367834	0.0051700805471518	0.013577240588216	0.00430998946348384
HMEC_4_G2_3E_1	0.0102827448855486	0.00355188215302993	0.00329986244578468	0.00510288447132364	0.00744345140212349	0.00807738208202435	0	0.00567988158802969	0.00693872118178403	0.00677687561332346	0.00603633877626957	0.00370033377321151	0.0146345249551988	0.0068056485161272	0.00955405679985838	0.000961425947386602	0.00831127378714674	0.00682535268226575	0.0135143665040489	0.00202394665182601	0.0149244125175386	0.0159678627186919	0.00226990246026215	0.00953633834602587	0.000525395305662764	0.00474283165548059	0.0170682288824218	0.00766427641724524	0.00405493157289985	0.00918553616377138	0.00706555075253884	0.0117327530420541	0.00863769014648354	0.00056888601979961	0.0152599475192718	0.066131184738006	0.0601689195066175	0.060533289855826	0.00629856405653061	0.000424783437121205	0.00306707411980993	0.0202574659112239	0.00518359029575164	0.00684721005316864	0.00989650925229439	0.0125973576720997	0.0537618302096258	0.0543120094769919	0.0570998658609832	0.00105488027604566	0.0103641034632823	0.00630786750991487	0.00613306664873143	0.00947068652415832	0.0084885337134784	0.00956524835749928	0.00449296560476255	0.00410462144704989	0.000420114203451517	0.00916449310650471	0.00353625527627342	0.0650023104690509	0.0596021344584806	0.0135569565254244	0.000815080054957682	0.00538221894615339	0.0103626747148232	0.00473703620822348	0.00152350796450886	0.00290734422246006	0.00550007012651896	0.0123872195265232
HMEC_4_G2_3E_2	0.0046029579450565	0.0021280145222158	0.00897968498900964	0.00057700299622152	0.0131231385406398	0.00239753919624569	0.00567988158802969	0	0.0126184284563792	0.00109700887732492	0.000356461485924043	0.00197956243668981	0.0089549057513248	0.00112578223458914	0.00387424921513269	0.00664129480490821	0.00263143590984243	0.0125050643408	0.00783469683814656	0.00770379716101844	0.00924480719675499	0.0102883101767126	0.00340999457295106	0.00385653028585416	0.00620527039281727	0.000937058806491078	0.0113887367606347	0.00198442522107075	0.00162496316923505	0.00350571895012275	0.00138568872554802	0.00605301352677023	0.00295785962560921	0.00624876051953939	0.00958035869092912	0.071801702888009	0.0658409846519097	0.066205264452544	0.000618690252624029	0.00525510260307294	0.00261282346219124	0.02593630452134	0.0108633597279671	0.0125269208704566	0.00421671110395418	0.00691765045865893	0.05943540269478	0.0599854588280324	0.0627726730723574	0.00673474769997597	0.00468431896006583	0.000627993834521775	0.000453190612493403	0.00379087671338627	0.00280869977804568	0.00388544107370516	0.001186926630591	0.00978442302437993	0.00525977179168492	0.00348467535949459	0.0092160719277564	0.0706731322051193	0.0652743394211695	0.00787728868569112	0.00486480944232766	0.000297665841425375	0.00468289016858047	0.000942854297769839	0.00415638625659169	0.00277255345276527	0.0111798292536292	0.00670750418559385
HMEC_4_G2_3E_3	0.0172210349085567	0.0104905127561044	0.00363888788173326	0.0120414562284824	0.000504739331632115	0.0150158081060585	0.00693872118178403	0.0126184284563792	0	0.0137153706764723	0.0129748694560712	0.0106389592519374	0.0215724766084812	0.0137441421413379	0.0164923943958274	0.0059773091901458	0.0152496865166868	0.000113370376703866	0.0204524141486384	0.0049147986809021	0.0218623383234094	0.0229056920613279	0.00920857284446976	0.0164746770663468	0.00641333405970651	0.0116814181197363	0.0240059506877258	0.0146027252682947	0.0109935443762899	0.0161238968280628	0.014004031205387	0.0186709406533736	0.0155760838747024	0.00636984396286114	0.0221978428910717	0.0592018859116828	0.0532379105089784	0.0536023804763551	0.013237082430964	0.00736349702068834	0.0100057207090973	0.0133193975028572	0.00175515296013215	9.15126477010824e-05	0.0168348248151751	0.0195354793062218	0.0468291735523336	0.0473794865813328	0.0501680430608345	0.00588385597826259	0.0173023880131876	0.0132463854415957	0.0130715928285333	0.0164090293971093	0.0154269361891002	0.0165035852424941	0.011431561903302	0.00283412796587821	0.00735882787534791	0.0161028550679527	0.00340249510865417	0.0580726747453082	0.0526709717687949	0.0204950006331535	0.00775378588298237	0.0123207788572552	0.0173009593611244	0.0116756229040299	0.00846219782080134	0.00984599582773597	0.00143867025249778	0.0193253575338325
HMEC_4_G2_3F_1	0.00350595531249642	0.00322502074895767	0.0100766589831213	0.00167401150044205	0.0142200755526908	0.00130053152477716	0.00677687561332346	0.00109700887732492	0.0137153706764723	0	0.000740547493338454	0.00307656896177344	0.00785792413917197	2.87733689742609e-05	0.00277724450057469	0.00773828385768804	0.00153442859407066	0.0136020077038685	0.0067377084076407	0.00880077989207559	0.0081478275083099	0.00919133795490571	0.00450699751656539	0.0027595255257992	0.00730226178879924	0.00203406694742035	0.0102917733329048	0.000887417024642894	0.00272197033802537	0.002408713339418	0.000288680003099682	0.00495601626295182	0.00186085287713469	0.00734575168836575	0.00848338131087243	0.0728967169526716	0.0669363127656214	0.0673005741433564	0.00047831873911598	0.00635209859892133	0.00370982859630161	0.0270330441965376	0.0119603185402398	0.0136238640139272	0.00311970731655989	0.00582065717336411	0.0605310383981203	0.0610810693333224	0.0638681523866485	0.00783173623149778	0.00358731658550152	0.000469015156514501	0.000643818377600496	0.00269387178681833	0.00171169276014307	0.0027884363879975	0.002283934460646	0.0108813908654318	0.00635676776661913	0.00238766970079255	0.0103130441659672	0.071768207789684	0.066369695993018	0.00678030049656035	0.00596180712641097	0.00139467455824743	0.003585887789463	0.00203986243197113	0.00525338670540142	0.00386955818718786	0.0122767852483887	0.0056105098798891
