	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_4B_1	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_3	HMEC_5_4_2	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_8_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_3
HMEC_4_1_1	0	0.0167253269076043	0.018312551265617	0.02148877303065	0.00982798024998187	0.0183579953619581	0.0158992776341376	0.0345970840905468	0.0221476494587003	0.0169270617817825	0.00607673140985147	0.0201177453487695	0.021379024763235	0.0259959351433611	0.019380327956622	0.0296111937786117	0.0118882151361648	0.0180692479761369	0.0195121552709758	0.010995599452381	0.0151627709999756	0.0267184541412836	0.0119890598306125	0.00419340807051915	0.0166029551785287	0.00874738684777127	0.0318861027181101	0.0279480357074909	0.0111411785937814	0.0211974782745721	0.013191321626138	0.0125078362969536	0.0103270365036816	0.0162328582599226	0.0274161326779508	0.0299662315349283	0.0186759089437463	0.0221398997245379	0.0208624623028425	0.029885777658983	0.0321886556178633
HMEC_4_1_2	0.0167253269076043	0	0.00158739320830187	0.00476404058293434	0.00689774079598931	0.00163284256933493	0.000826125586773468	0.0178753447184423	0.00542301994492579	0.000201754713588543	0.0106489719076356	0.00339281483880045	0.00465427565875143	0.00927200732267111	0.00265529992930958	0.01288808144019	0.0048374460464223	0.00134406213979774	0.00278714421394071	0.00573009372179735	0.00156269358536528	0.00999467719329123	0.00473659715574465	0.020918223983456	0.000122383533396831	0.00797834587331327	0.0151635811135789	0.0112245294149463	0.00558450999455141	0.00447270192282479	0.0035342762350432	0.00421779723585375	0.00639867456829419	0.000492515096778777	0.0106925071538944	0.0132432074437361	0.00195079365083499	0.00541526897081058	0.00413763667337959	0.0131627334424767	0.0154662170935354
HMEC_4_1_3	0.018312551265617	0.00158739320830187	0	0.00317665570427507	0.00848510176680623	4.54494018351668e-05	0.00241351769735803	0.016288111697739	0.00383563818504925	0.00138563864834569	0.0122362933219508	0.00180542500216051	0.00306689030703417	0.00768465332441695	0.00106790828186153	0.0113007683712095	0.00642482213850739	0.000243331248484756	0.00119975284630448	0.00731746383706274	0.00315008408330719	0.00840733022469863	0.00632397386784137	0.0225053575447319	0.00170977662686322	0.00956569704151908	0.013576301173605	0.00963719573027813	0.00717188114454578	0.00288531581763037	0.00512165947551451	0.00580517696035494	0.00798603963154459	0.00207990774100881	0.00910516751854224	0.0116558991699623	0.000363400832697892	0.00382788717149586	0.00255024927306309	0.0115754240699269	0.0138789419887681
HMEC_4_2_1	0.02148877303065	0.00476404058293434	0.00317665570427507	0	0.0116616484389527	0.00313120645915222	0.00559015854022076	0.0131116911181541	0.000658985264245755	0.00456228738963534	0.0154127411612926	0.00137123342847844	0.000109765768695255	0.00450803576473841	0.00210874990254268	0.00812421375007862	0.00960140987899374	0.00341998603627526	0.00197690547012267	0.0104940349339545	0.00632671783414649	0.00523072294141932	0.0095005633781825	0.0256813756527769	0.00488642312873682	0.0127422184289631	0.0103998009166111	0.00646060857899161	0.0103484550758309	0.000291340812344943	0.00829826835814746	0.00898177522083342	0.0111625971112275	0.00525655140259054	0.00592857124965989	0.00847935228237271	0.00281325599747859	0.000651234212214894	0.000626408190437491	0.00839887540553344	0.0107024498210913
HMEC_4_2_2	0.00982798024998187	0.00689774079598931	0.00848510176680623	0.0116616484389527	0	0.00853055002727396	0.00607162721674717	0.0247720266515673	0.0123206008683423	0.00709949208126731	0.00375132683105964	0.0102904720826518	0.0115518877991909	0.0161693894737936	0.00955298001844666	0.0197852123574196	0.00206031861704343	0.00824177642221695	0.00968482041000368	0.00116766309817677	0.00533506716989403	0.0168920141302741	0.00216116815381664	0.0140211868288376	0.00677535924715832	0.00108062572993096	0.0220605219144913	0.0181217836694333	0.00131324836517522	0.0113703210241297	0.00336349302492415	0.0026799706276006	0.000499073876327302	0.0064052332510592	0.0175897980628774	0.0201403103193105	0.00884849313363478	0.0123128502230728	0.0110352682060756	0.0200598427252818	0.0223631307458965
HMEC_4_2_3	0.0183579953619581	0.00163284256933493	4.54494018351668e-05	0.00313120645915222	0.00853055002727396	0	0.00245896700568142	0.0162426664633048	0.00379018901231679	0.00143108801892721	0.0122817403533732	0.00175997565038708	0.00302144105120426	0.00763920484747931	0.00102245889723304	0.0112553209731111	0.00647027088494126	0.000288780649510363	0.00115430346624217	0.00736291238939924	0.00319553332645099	0.00836188193044479	0.00636942263463507	0.0225507989337131	0.00175522598136232	0.00961114499354286	0.0135308546655136	0.00959174778471636	0.00721732973025712	0.00283986654494274	0.00516710846012756	0.00585062582671793	0.00803148802202171	0.00212535707313935	0.00905971941628093	0.0116104519000239	0.000317951432867594	0.00378243799780111	0.00250479997194463	0.0115299767705916	0.0138334956113433
HMEC_4_G2_3F_2	0.0158992776341376	0.000826125586773468	0.00241351769735803	0.00559015854022076	0.00607162721674717	0.00245896700568142	0	0.0187013745829402	0.00624913582342248	0.00102788024121975	0.00982287632154282	0.00421893632456144	0.00548039393814933	0.0100981060920503	0.00348142286748638	0.0137141564094338	0.0040113260221944	0.00217018689081514	0.00361326691535458	0.00490397619084716	0.000736568328460671	0.0108207718046667	0.00391047687856065	0.0200922190685433	0.000703742077698223	0.00715223664853127	0.0159896372692664	0.012050616262892	0.00475839202576946	0.00529882071987404	0.00270815339170968	0.00339167574967978	0.0055725592042888	0.000333610537347365	0.0115185974664744	0.0140692796720128	0.0027769176854507	0.00624138487520283	0.00496375637615318	0.0139888062982033	0.0162922705237751
HMEC_4_G2_3F_3	0.0345970840905468	0.0178753447184423	0.016288111697739	0.0131116911181541	0.0247720266515673	0.0162426664633048	0.0187013745829402	0	0.0124527431444845	0.0176736120964674	0.0285224341318379	0.0144828343021839	0.0132214502912992	0.0086038316137732	0.0152202951714455	0.00498766152346141	0.0227121099734946	0.0165314202377401	0.0150884610422301	0.0236046003097965	0.0194378501023788	0.00788115551737862	0.0226112782371787	0.0387885368001978	0.0179977146054725	0.0258524123785854	0.00271201839041528	0.00665127782407077	0.0234590429178436	0.0134030141861384	0.0214091521150284	0.0220925645714545	0.0242730568373534	0.0183678037661892	0.00718331340399677	0.00463251735690995	0.0159247435340707	0.0124604937806779	0.0137380602029854	0.00471299561097053	0.00240935849535178
HMEC_4_G2_4B_1	0.0221476494587003	0.00542301994492579	0.00383563818504925	0.000658985264245755	0.0123206008683423	0.00379018901231679	0.00624913582342248	0.0124527431444845	0	0.00522126721189088	0.0160716698038625	0.00203021805685937	0.000768751012854982	0.00384905446358012	0.00276773383350885	0.00746524233747263	0.0102603726323137	0.004078968113727	0.00263588954396426	0.0111529934527661	0.00698569300082024	0.00457174313892285	0.0101595265869731	0.0263402061681105	0.00554540220245718	0.0134011646668924	0.00974083878864383	0.00580163187538747	0.0110074143101443	0.000950326013326587	0.00895723663881767	0.00964074069923459	0.0118215522196665	0.00591552956282501	0.00526959312069462	0.00782038216300238	0.00347223903026068	7.75105050474436e-06	0.00128539327077613	0.00773990498804162	0.010043489106182
HMEC_4_G2_4D_1	0.0169270617817825	0.000201754713588543	0.00138563864834569	0.00456228738963534	0.00709949208126731	0.00143108801892721	0.00102788024121975	0.0176736120964674	0.00522126721189088	0	0.0108507185289096	0.00319106088238616	0.00445252239469357	0.009070258491189	0.00245354567127292	0.0126863381611709	0.00503919905386191	0.00114230753328597	0.00258539000425143	0.00593184605614126	0.00176444810628018	0.00979292932531014	0.00493835023219828	0.0211199477233574	0.000324138244838729	0.00818009601743186	0.0149618422656364	0.0110227833545172	0.00578626244627753	0.00427094854537984	0.00373603002470448	0.00441955064490331	0.00660042632534552	0.000694269786672498	0.0104907602855803	0.0130414648085895	0.00174903917567562	0.00521351623201659	0.00393588309882796	0.0129609906598865	0.015264478889451
