	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00942610691198006	0.00885549128433184	0.0134202445026483	0.00552497556601637	0.00820770293671846	0.043088451612635	0.0512031000449701	0.0456277294753905	0.00858575756498807	0.00711237795289524	0.00522807222945871	0.0267418770859717	0.0129451538776699	0.00475381177871761	0.00895643012195543	0.00791571664279068	0.00440812926945775	0.00451008517623761	0.0134111730885316	0.0145141267209631	0.0157875328296316	0.022620303288008	0.0251301269408742	0.0130996635343807	0.0175984632117517	0.0089567409853093	0.0104891268438183	0.00729945994040934	0.00753670527111384	0.00912653739695363	0.00501640673125072	0.0113251568372126	0.0120815018134436	0.00298473196897296	0.0035598625077984	0.00525024138233146	0.00900432048344752	0.00584549710512324	0.00755276924234448	0.00813435443693974	0.020086277984056	0.0204844417621149	0.00330995460922595	0.00399397510993015	0.0230410846058737	0.00594117098218452	0.00557122895310429	0.0140676887668282	0.0112899613089559	0.00573186295973776	0.0182992182781924	0.00982081184189243	0.0101265603651922	0.0135362033232655	0.0113014653100473	0.00772631739583793	0.00283065611830092	0.00436575965052442	0.0154195292575719	0.0109394944064509	0.00932939611747979	0.011936440956405	0.0172477026048133	0.00879791548084012	0.00234013388104518	0.0121297609373152	0.0256939001726886	0.0256301086312372	0.0317661188158009	0.0317403452662221	0.0193616383120482	0.0336449170067297
HMEC_4_1_2	0.00942610691198006	0	0.00448145694832242	0.00822669638948486	0.0059210742582333	0.00794176111345227	0.040518412989258	0.0506382921145155	0.0496627718511067	0.00615932835607307	0.00970468752197082	0.00661864085758765	0.0271883313026029	0.00923484121121658	0.00842436074066449	0.00930244028732141	0.00610807798532059	0.0117898987234144	0.00677221632445514	0.0127068184112079	0.0133809984262808	0.0133005974229193	0.021203814011635	0.0232219812541786	0.00542375393846723	0.0190948927009532	0.0143517598730841	0.0122755433557368	0.0110164914097378	0.00796868356613308	0.0122396095500423	0.0102822574143769	0.0134802048392566	0.0106911706529615	0.00863297022107747	0.00856299271592247	0.00707141811079392	0.00506110298836591	0.00545456207286098	0.00553197509238976	0.00293512436847691	0.0127431631593744	0.0159116664553607	0.00858139716790172	0.00798442478263246	0.023774371133459	0.00450150222734205	0.00895975029146283	0.0129085370615525	0.00322898949314342	0.00438677589949291	0.0148397870678557	0.00504686508257542	0.00920313240584205	0.0178293842144278	0.00738110781023962	0.00482584630519736	0.00887033357484345	0.00664105620241042	0.0109488228345554	0.0147216048434568	0.0126381543417503	0.00956216091272649	0.0167443184548732	0.0132508036309976	0.0113864798065298	0.00845743435149581	0.0247698036024687	0.023044913602388	0.0334411103567166	0.0382942088773009	0.0175068428315569	0.0329967969883814
HMEC_4_1_3	0.00885549128433184	0.00448145694832242	0	0.009721805203684	0.00812158425310656	0.00538469866683094	0.0387401313294911	0.0474938105990895	0.0457832047523232	0.00926457591078911	0.00684200266425195	0.00600209235740288	0.02554162149363	0.00969470586790783	0.00784803168484052	0.00660350685726707	0.00656326069582614	0.00956164881361131	0.00844213379740209	0.010832090643118	0.0105684201202959	0.0111886687865347	0.0178903849591103	0.0216136888651137	0.0077732343987228	0.0158838855821525	0.0110198683033224	0.0152367326385389	0.0128946664294048	0.00909660261627159	0.0129347264853002	0.00765220880439337	0.0156841019445142	0.0143002662817475	0.00724069573783856	0.00639173575193749	0.00437817088683216	0.00884199273658564	0.00777244211666716	0.00808610420210809	0.00369722583168126	0.0168164930410272	0.0196600942930531	0.0095359721771829	0.00569657636825918	0.0203890930889913	0.00578743530894193	0.00702128766063521	0.00948425597345488	0.00630351600717098	0.00474127324444529	0.0123506175351676	0.00407914430428055	0.0115158079253497	0.0138735691238761	0.0114454764239195	0.00172265022541772	0.00710904698990832	0.00466468002282038	0.0150351590978736	0.0110617088780781	0.00941178369029434	0.00694329265243905	0.0145730399290149	0.0111434732275174	0.0100863588082778	0.00663947443130231	0.0225381256424497	0.0271934181409889	0.0300748054677426	0.0344269842779644	0.0159438622165176	0.0300369110937967
HMEC_4_2_1	0.0134202445026483	0.00822669638948486	0.009721805203684	0	0.0109649259095214	0.0084580037382317	0.0341216755449383	0.0461830107771258	0.0476616814229741	0.00756121706842416	0.0108385775085252	0.00847223019210015	0.0208059617042229	0.00244979412107242	0.00945288447497631	0.00903575879297394	0.00558105553295778	0.0145784406377222	0.0115193136066223	0.00855448364095722	0.0105723378901037	0.0091227663988802	0.0183164251133288	0.0168040444120139	0.00384309363448727	0.016347458203743	0.0189831278809676	0.0160861357469377	0.0163071022540007	0.0154221477324678	0.0193789549501341	0.0152257869675546	0.0196431171897431	0.0155978233545626	0.0139969368362202	0.012571077900689	0.0110275734160245	0.0107289046670939	0.0109630437433578	0.00722549677804294	0.00682880083570907	0.0115969396575023	0.0214384016567556	0.0133470263095867	0.0124670669637863	0.0206644465223045	0.00793895190443114	0.0152711524777767	0.0116034341644166	0.00532065202437796	0.0082843834529758	0.0114841827302712	0.00587956581800971	0.0164539747456389	0.0191014075165995	0.0122947671259541	0.0109465936386844	0.0124096504289249	0.0110959100239718	0.00994864478444659	0.0154690770616343	0.012917252386849	0.00801432224304054	0.0119671557974412	0.0122749039569538	0.0148805420101674	0.00628622708379243	0.0191835130579746	0.0264142115629161	0.0298147255523614	0.0398377438771017	0.011483082606291	0.0284415876882301
HMEC_4_2_2	0.00552497556601637	0.0059210742582333	0.00812158425310656	0.0109649259095214	0	0.00939008514287963	0.043737369640935	0.0534799949514695	0.0500950039911407	0.00442429065054304	0.00987805146737417	0.00583062148774883	0.0283507324228969	0.0115266919778462	0.00649237750988842	0.0105971706962473	0.00679039493242646	0.00950602003606166	0.00113872861638808	0.0144493519674032	0.0158678408471321	0.0162943112088305	0.0243471892481222	0.0257966838329271	0.00975888289569342	0.0204311283524655	0.013322234265622	0.00719424250745574	0.00555558185369358	0.00558442666381697	0.00878071292482878	0.00890513974429478	0.0090840013138534	0.00738761208396818	0.00622145594235457	0.00712410067503288	0.0071944324066516	0.00355434479368565	0.000649511578477324	0.00402123990046157	0.00604389180007493	0.0149734684715126	0.0156093617565377	0.00319210744992083	0.00694706868407329	0.0257372187440523	0.00373027553061287	0.00776311158193225	0.0156342874345874	0.00770809987056669	0.00439721112638894	0.0186656069735191	0.00862751127201039	0.00675018664275901	0.0179179900552229	0.00584519067203445	0.00733952148962401	0.00683781732429141	0.00609868806218576	0.010587515941321	0.0148894854373432	0.0127844397145739	0.0124894257024608	0.0186539566287104	0.0122145571344421	0.00786266707580761	0.0118376477173289	0.0271165187718406	0.0209574240531922	0.034949038952553	0.0370811632832483	0.019933696469391	0.0356761954834161
HMEC_4_2_3	0.00820770293671846	0.00794176111345227	0.00538469866683094	0.0084580037382317	0.00939008514287963	0	0.0354329715890054	0.044176170906819	0.0419410448901475	0.00940034606648847	0.00265874996914453	0.00391871384338367	0.0207098892014153	0.00713145023985295	0.00492143920875925	0.00138287357135606	0.004510771623037	0.00729504607789324	0.00928108831449908	0.00613083519950486	0.00664043533020535	0.00773476045201269	0.0150307727640454	0.017726805447716	0.00883461155222211	0.0113966803133987	0.0109326863546687	0.0162352295166561	0.0142117491057377	0.0123200599506211	0.0156163397296226	0.00795263684987489	0.0179832319044774	0.0165603790751998	0.00800908272056434	0.00565941940884096	0.00407590116462214	0.01129167711835	0.0094139479098562	0.00797872282201419	0.00515708338516581	0.018528788958682	0.0235345900530317	0.0100641987922212	0.00567272396882959	0.0164654289726691	0.00597895978551189	0.00909339593016814	0.00634212938184546	0.00815067166847296	0.0051133702582173	0.01010013488867	0.00395688135717415	0.0148927332436652	0.010972135046565	0.0139557708122668	0.0060507325402784	0.00581162035012395	0.00489271072205013	0.0156572748293094	0.00743464343611686	0.00504986003977643	0.00373742447353286	0.0100361213455696	0.00615724960646601	0.00869419297717508	0.00430200264751253	0.0184272229815521	0.029731729348551	0.0259164829971073	0.0318385276322728	0.0119294331251924	0.0264405963209382
HMEC_4_G2_3E_1	0.043088451612635	0.040518412989258	0.0387401313294911	0.0341216755449383	0.043737369640935	0.0354329715890054	0	0.0188251263578325	0.0372308011220921	0.041162117537978	0.0364320477706191	0.0385430881325158	0.0193442256360743	0.0326685222048225	0.0387314712683679	0.0344494726626373	0.0369765897622203	0.0407702398755785	0.0438582346510791	0.0297388709228559	0.0290606311387061	0.0278392777157443	0.0232880839295002	0.0181508362785624	0.0365221832127977	0.0274438316201969	0.0431630183511695	0.0494280258932574	0.0489027101220538	0.047382881926228	0.050982423283445	0.0424680945074035	0.0527927043643471	0.0496006661179345	0.0433054591604829	0.040749063845457	0.0393665479484629	0.0444340736005955	0.0437941542121916	0.0404279227265923	0.0384724683569315	0.0423999601986122	0.0548186150187169	0.0449482507593059	0.0408861323321404	0.0235735284989051	0.0400521073857594	0.0440802975339869	0.0304278077995614	0.038305060817114	0.0397051010907965	0.0265365171011652	0.0358617071790574	0.0494545994712603	0.0362863800698889	0.0463212544298141	0.0402245258414915	0.0407733672834296	0.0403026547652385	0.0429289643530565	0.0352933361531823	0.0350272930787014	0.0321570562522963	0.0259019813041724	0.0353429925835278	0.0429186282464199	0.0324740937306967	0.0177603617252877	0.0598384798666525	0.0214201650758547	0.0475824613755146	0.0239307044509997	0.0142040324597056
HMEC_4_G2_3E_2	0.0512031000449701	0.0506382921145155	0.0474938105990895	0.0461830107771258	0.0534799949514695	0.044176170906819	0.0188251263578325	0	0.0260533212984569	0.0521943147856731	0.0442676920227333	0.0477641280674463	0.0297678255119257	0.0442579913865385	0.0477995907556234	0.0429737204533992	0.0472104924396005	0.0476911514816059	0.0533351668581085	0.0394076178685021	0.0376802739171143	0.0377275399432696	0.0296293191323694	0.0302743802242363	0.0481541768194848	0.033691896896386	0.0481331109199211	0.0598682373867202	0.0581099955674435	0.0559933369176121	0.0588703798006194	0.0491810719068733	0.0620171673419554	0.0603916847968458	0.0509367739599646	0.0484038039117802	0.0474035186320563	0.0549447738292501	0.0535271060153131	0.0510854838861573	0.0483719451839611	0.0562226364624604	0.0661873594732941	0.0538531687313109	0.0485838838037982	0.0282142852522565	0.0498852164500707	0.0512455023195493	0.0382075414228836	0.049369521429649	0.0491906788241991	0.0359910193800957	0.0457770580800534	0.058771777693212	0.0402011884858864	0.0573479670750186	0.0486369082756205	0.0485952356651455	0.0485233698431134	0.0559114913684007	0.0409802115727971	0.0419539663642519	0.0412991696339824	0.0353330987812287	0.0431334073852232	0.0503031519010786	0.0423615052120523	0.0275393396397357	0.0724885355300934	0.0208822347125943	0.0432332189970655	0.0350231446609818	0.0179295664090554
HMEC_4_G2_3E_3	0.0456277294753905	0.0496627718511067	0.0457832047523232	0.0476616814229741	0.0500950039911407	0.0419410448901475	0.0372308011220921	0.0260533212984569	0	0.0505052662881972	0.0404847191188694	0.0447133259674437	0.0328716705392594	0.0452813320397273	0.0440454440013151	0.0406380946404451	0.0456757055318775	0.0412762439387516	0.0494400303767041	0.0391248246437999	0.0375863395453431	0.0392661897556384	0.0322468767053863	0.0362714710405832	0.049545238601373	0.0313757505171223	0.0405055471376151	0.0555933716163113	0.052789405416063	0.0516220176702493	0.0527605853950534	0.0432468516096398	0.0565772896023988	0.0573932052390163	0.0455580129338805	0.0434819160768312	0.0436271685108131	0.0528688134505826	0.0502890100365607	0.0491666974840387	0.0470629509113241	0.0592089612658483	0.0649869388467843	0.0488983921154414	0.0439194928461599	0.0277407801128608	0.0474464506496804	0.0459148681999058	0.0375340173645351	0.0496968278865698	0.0466375777709477	0.0389394198419885	0.0452668752111691	0.0548832628323533	0.0329364323294798	0.0555486380805606	0.0460829268418356	0.0435400864899352	0.0446111517293166	0.0563373653196518	0.0354332501174769	0.0374671453964032	0.0409672584012371	0.0360814180789806	0.0384224567446595	0.0437493667986705	0.0427139596760884	0.0324011997825117	0.0708256974315047	0.019671602869702	0.0231881181594485	0.03802621425064	0.0263413186749847
HMEC_4_G2_3F_1	0.00858575756498807	0.00615932835607307	0.00926457591078911	0.00756121706842416	0.00442429065054304	0.00940034606648847	0.041162117537978	0.0521943147856731	0.0505052662881972	0	0.0106655615807058	0.00623885282973211	0.0260434762746856	0.0085356923732028	0.00686080736969846	0.0104877416040166	0.00519486898322052	0.0117778405057208	0.00505986245657025	0.0128825987843692	0.0149245246740291	0.0146805056441619	0.0235486511126795	0.023330095775001	0.00717476202781283	0.0199199484664694	0.0165104019303266	0.0085651248683981	0.00903541747131606	0.00971527984799777	0.0130924439893466	0.0121063346378044	0.0123931952442555	0.00863328309711021	0.00977970829740385	0.00964797314425859	0.00911206259186094	0.00461359341003489	0.00461955074154999	0.00146359359201327	0.00579937790693385	0.0118155309136974	0.0164670958710337	0.00700982654437963	0.00958486602690761	0.0251034585183148	0.00404203363466465	0.0114771544581621	0.0152895412779419	0.00582429922536072	0.00524087864207384	0.0173111435252438	0.0077653341660026	0.0101873035967713	0.0194667466378584	0.0061495872719576	0.00930164284554195	0.00921794088582821	0.00836615086145353	0.00703230861512025	0.0160012291714327	0.0134872657638353	0.0116866635355775	0.0170064926572583	0.0122997912088903	0.0106785865145352	0.0105603351076093	0.0251669381655527	0.0208495154894871	0.034255737695894	0.0393153780439047	0.0176447058497043	0.0342970904808832
