	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00865113087911641	0.00470691207592978	0.00288309690315592	0.00222814173763462	0.00946981563347787	0.00745661153938696	0.027456770897893	0.0125771742136019	0.00876657750213753	0.0092828047832641	0.0177736626380345	0.0066427953999293	0.00682434253937134	0.00848950909127472	0.00554375619491464	0.00594909604789134	0.010319036050537	0.00252005288602551	0.00546990571503794	0.00580881524428259	0.00553085627954629	0.0090767640962005	0.00392282832480177	0.00410568722959793	0.0134792924533327	0.00349702283967136	0.0044785491950032	0.0015419593059186	0.0014607501320603	0.0359179588319792	0.0266561546100799	0.0218438529158138	0.0029971546265824	0.012672820811722	0.00859424852317792	0.00629885905544524	0.00452325589991241	0.0151956851999275	0.00481883432274255	0.0350886996659893	0.0199482585976362	0.0112754179721776	0.00337046808251342	0.00461354699759547	0.00216482906719244	0.0103306267270377	0.00762783827007446	0.00604843742698442	0.0126897623089923	0.0269298778896923	0.00531222016596282	0.00371874090986865	0.00566034825579817	0.00362494296139922	0.00565031978758292	0.00416983098167208	0.00448046683404929	0.0135577483123596	0.0145573926618026	0.0115799196271855
HMEC_4_1_2	0.00865113087911641	0	0.00408701047769314	0.00857358432286081	0.00704821976172216	0.0176591232109	0.00786201783504335	0.0240481142620824	0.00489259774736217	0.0174157740753127	0.00217463852795009	0.0254208616606809	0.0149052189174187	0.00271672380526992	0.0168580120051644	0.0140263777852836	0.00429214011826514	0.0023817527203599	0.00992194430439903	0.00982035401028777	0.00709781838507905	0.0138984967439568	0.0150190675142093	0.00795855129575491	0.0088864254112415	0.0221285140699714	0.00631740607351785	0.00527186812651191	0.00909947041333401	0.00978584927814394	0.0431893995572069	0.0189321410382109	0.0166366664560819	0.00983149320373505	0.0211096812096001	0.0171842717420958	0.0136845828255515	0.0130178345210725	0.0218917874471482	0.0126352546865615	0.0423709369704351	0.0280174760938809	0.0121517646182968	0.0116647402049479	0.0127523566604161	0.0106532709889726	0.017714610333982	0.0147368003610378	0.0138836703992508	0.0201192324324138	0.0350689655148176	0.00888718918552735	0.00493746721107805	0.0049238089071483	0.0122480666274514	0.0133013438816576	0.0127549564572221	0.0131293003953016	0.0200777921350323	0.0224759475937452	0.0195957101310026
HMEC_4_1_3	0.00470691207592978	0.00408701047769314	0	0.00456514091804274	0.00296137598805249	0.0140493303492311	0.00556815593314604	0.024596983445249	0.00791821646260847	0.0134404909545137	0.00459599405044418	0.0221510958039781	0.0108186781446556	0.00321601610027676	0.0127721007769528	0.0102226936340288	0.00201593439867928	0.0056129407924487	0.00584112307906325	0.00624791882044242	0.00566802306792893	0.0101629262979089	0.012412315287623	0.0053652364148538	0.00508199279320412	0.0181407457066559	0.00354012794834848	0.00312058000682235	0.00546801756855641	0.00572970427587632	0.0401766639354821	0.0220873195267713	0.0181143740971463	0.00578383454072987	0.0173543778283743	0.0131304707608408	0.0104037332854435	0.00895143662307771	0.0190815117065692	0.00913923066066996	0.0393507454483334	0.0245140140875546	0.0101545875790824	0.0079381572847016	0.00866582091446921	0.00660494768006681	0.0145174136811279	0.0116071921253038	0.0104095001365405	0.0169279077805867	0.0315316827460698	0.00542128189933114	0.00112556544346357	0.0038269769346407	0.00833133401306584	0.00989490625265371	0.00871394889752744	0.00916740457615465	0.0173284182893241	0.0190431874603993	0.0155340451268463
HMEC_4_2_1	0.00288309690315592	0.00857358432286081	0.00456514091804274	0	0.00186307710284072	0.0114416335908267	0.00487539051387015	0.0247806707897912	0.0115457467516729	0.00979928311083245	0.00850280455537375	0.0199147526137233	0.00652354371596302	0.00758618326795737	0.00849535489749155	0.00739341021135836	0.00475077644133335	0.00964422784048026	0.00163765542259133	0.00262119994646175	0.00806801960693825	0.00755273277013821	0.0118883975343527	0.00650719668280348	0.00122360819258864	0.0143397550412175	0.00546762723944197	0.00605906186038895	0.00442491801872261	0.0024757814427292	0.0380902860595071	0.0251871159626313	0.019571594967966	0.0013015739488059	0.0142415907424129	0.00913949143779692	0.00889982074722683	0.00503851687125065	0.0177475192113199	0.00734010715874834	0.0372602009310621	0.021780090982188	0.00840722180638932	0.00572461845573404	0.00440992700953579	0.00316632819477343	0.0127618804924571	0.0102547540840523	0.00846564670706708	0.0150357658541826	0.0286323465835701	0.00244472111456938	0.00414435254383748	0.00722568747256324	0.00533517536987345	0.00818651538615441	0.00501795449376142	0.00585688002975078	0.0161818347171013	0.0165917144675072	0.0110386726315521
HMEC_4_2_2	0.00222814173763462	0.00704821976172216	0.00296137598805249	0.00186307710284072	0	0.0116538436310052	0.00540350577140728	0.0253691842673158	0.0105534641865198	0.0106242392482709	0.00732978788415982	0.0199944690313934	0.0078575522366148	0.00578833282530053	0.0098126708687859	0.00767050951720236	0.00379449505900758	0.00842319989359457	0.00289037853982013	0.00424993497355311	0.00633684473077537	0.00770406813167508	0.0111278009810255	0.00499529680416357	0.00283367664153309	0.0152933172922258	0.00371357019585353	0.00421177411047788	0.00355773867748334	0.00285727930407496	0.0381430031927155	0.0245274931588575	0.0196243310506472	0.00290827700034279	0.0147609033029943	0.0102157299370145	0.00850425782994188	0.00602836838776806	0.0173934800306488	0.00704363032963577	0.0373137149141256	0.0221211048343722	0.00954265438223781	0.00558749123966227	0.00570454152373121	0.00373514998108117	0.0125548844562558	0.00981950595171513	0.00827649186358926	0.0149173749821564	0.0290774916455532	0.00375301242522981	0.00233414248805447	0.00536795166261451	0.00566331440154978	0.00787096178825164	0.00583514099929737	0.00640988087626866	0.0157336944317113	0.0167627353715804	0.0125958710491514
HMEC_4_2_3	0.00946981563347787	0.0176591232109	0.0140493303492311	0.0114416335908267	0.0116538436310052	0	0.0162824122785117	0.0358197606843835	0.0219658851427334	0.00395624977905117	0.018638549327842	0.00849275953699608	0.00751004559926326	0.0152914271859491	0.00718020183043039	0.00404905274286658	0.0154179528472075	0.0196048785106697	0.00991003880984378	0.0131494275628208	0.0118951746858125	0.00395081828098198	0.00609073547941181	0.0100851064037336	0.0123496217843828	0.00639623034836844	0.0114100301957093	0.0125398101894458	0.0086066221172405	0.00902259473067759	0.026660924253834	0.0361062542026106	0.0310093973528854	0.0104915790355541	0.00367468743426	0.0055713976060029	0.0043461889592555	0.00700533783540187	0.00742997323244238	0.00503658719623773	0.0258306972592545	0.010481086035274	0.0189719822859785	0.00612175130489822	0.00816245624297425	0.00827549436833975	0.00293984296202028	0.0040435904134037	0.00383014231689554	0.00415534290010287	0.0174869968048778	0.0135665833660158	0.0129613117095988	0.0133379881342748	0.00611016882048612	0.00446608304287214	0.00671598077584572	0.00566887142141035	0.00654138493050697	0.0051506486394838	0.00989949957968362
HMEC_4_G2_3E_1	0.00745661153938696	0.00786201783504335	0.00556815593314604	0.00487539051387015	0.00540350577140728	0.0162824122785117	0	0.0200019375100272	0.0085968702023623	0.0142968987594193	0.00656342233948918	0.0247679041025948	0.0104947354933944	0.00849971027973759	0.0123504955734397	0.012242441433361	0.00386404475850224	0.00762840992258973	0.00637469994552881	0.00359148336766982	0.0110658870094149	0.0124213484461096	0.0165079200361214	0.010204952759502	0.00395139920566451	0.0185883165435639	0.00859473815797635	0.00855369421815909	0.00892065889534593	0.00734921378496729	0.0429351811922487	0.0210535882545679	0.0147491929571621	0.00581361182702155	0.0189215078387165	0.0133647651381609	0.0137058596547234	0.00958325850698047	0.0225872942720268	0.0121685459255508	0.0421053628440244	0.0265298347841384	0.00459104964054327	0.0105777496902384	0.00866908883068647	0.00802107329071893	0.017626574515528	0.015051987719412	0.0133240764483278	0.0199099917560659	0.0332960938062147	0.00283552681482925	0.00617391193129711	0.00938668254035319	0.0101936389994101	0.0130145626438	0.0096952428049373	0.0106420964256578	0.0209881551228405	0.021427245355789	0.0141030510588694
HMEC_4_G2_3E_2	0.027456770897893	0.0240481142620824	0.024596983445249	0.0247806707897912	0.0253691842673158	0.0358197606843835	0.0200019375100272	0	0.0199910080440974	0.0330640541381687	0.0218795117185833	0.0442479774284584	0.0288831021506741	0.0263113635867664	0.0302459294742573	0.0318964786900128	0.0225876265798239	0.0219139606412057	0.0260980492710615	0.0227081221982818	0.0301853893474149	0.0321581129891547	0.0364924958232503	0.0298713603880973	0.0236852016718802	0.0364733697327426	0.0280965073053989	0.0276792823405435	0.0289123848820739	0.0272368926387499	0.0622173268933731	0.0167358109200949	0.0084846451166249	0.0254724140398445	0.0378655380696029	0.031719850353579	0.0336743219717691	0.0288275228354496	0.0425113178510241	0.0321184826128767	0.0613940552727198	0.0454918022553034	0.016877383431859	0.0304981528207323	0.0277006228547223	0.0277991881558365	0.0374942664598975	0.0350263758999314	0.0332262999604706	0.0396902324765977	0.0517723981695088	0.0224193575277187	0.0255614242284661	0.0280961095928639	0.0299266717844441	0.0329645448640562	0.0291094547696389	0.0301845607634098	0.040955246583905	0.0408511574821342	0.0303007519806625
HMEC_4_G2_3E_3	0.0125771742136019	0.00489259774736217	0.00791821646260847	0.0115457467516729	0.0105534641865198	0.0219658851427334	0.0085968702023623	0.0199910080440974	0	0.0211694828595949	0.00333524417908741	0.029996615762462	0.0180577823514804	0.00760326607638996	0.0200245308434125	0.0181178278107666	0.00682509333730563	0.00253221483915053	0.013134013742959	0.0117685981161941	0.0119846041111331	0.0180750244367944	0.0198238917020856	0.0126930960913765	0.0113624401250606	0.0258116599686733	0.0109456379422821	0.0100056438665649	0.0133741512412053	0.013407111554792	0.047908149473937	0.0142158802793918	0.0121051011746661	0.012839497291238	0.0252474260268291	0.0206599999438903	0.0182253215599913	0.0164976702759368	0.0266641144224054	0.0170313630286073	0.0470862700772367	0.0324238671442535	0.0115743660913067	0.0158547753721681	0.0159550852815834	0.0142811758983473	0.0223169472897445	0.019361208631283	0.0183001206641126	0.0247309672853905	0.0394436781028192	0.0108182476619989	0.00901086359231011	0.00979622016693887	0.0161766781925436	0.0177631557644776	0.0163631773113744	0.016958627130317	0.0248637570608013	0.0269377517819649	0.0223060682923249
HMEC_4_G2_3G_3	0.00876657750213753	0.0174157740753127	0.0134404909545137	0.00979928311083245	0.0106242392482709	0.00395624977905117	0.0142968987594193	0.0330640541381687	0.0211694828595949	0	0.0179483630765164	0.0114032479108443	0.00418791493538059	0.0154354150838711	0.0033135372046919	0.00381502121813385	0.0143624737328085	0.0190251706843628	0.00816174168192764	0.0108302982052698	0.0129512161539178	0.00420698124653492	0.00931911273276138	0.0108672891214978	0.0103998671881328	0.00471560011909391	0.0116625549286714	0.0128073436593625	0.00854380692722292	0.00776715231352585	0.0291795733384049	0.034979734128014	0.028956143218453	0.00859939660184344	0.0048039966992016	0.00164850303782933	0.00640410451445153	0.00476720204891303	0.0112935610173431	0.00603537424222395	0.0283561956310323	0.0124534568477195	0.0162220830075238	0.00608442356627341	0.00563426361613808	0.00689057288624783	0.00684821707252656	0.00689306476431645	0.00543752300597713	0.00797476158177243	0.0190373882097074	0.0114644960447731	0.0124846607514682	0.0138359507007899	0.00519014819882418	0.00601507721180494	0.00481612960835575	0.00428718839517715	0.0104957907373793	0.00804023358082595	0.00597619439684203
