	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_4_1	0	0.00296137598805249	0.00791821646260847	NA	0.0134404909545137	0.00459599405044418	0.0102226936340288	0.00201593439867928	0.00624791882044242	0.0101629262979089	0.0053652364148538	0.00312058000682235	0.00572970427587632	0.0220873195267713	0.0173543778283743	0.00895143662307771	0.00913923066066996	0.00866582091446921	0.0145174136811279	0.0104095001365405	0.0038269769346407	0.00871394889752744	0.0190431874603993	NA	0.0155340451268463
HMEC_4_2	0.00296137598805249	0	0.0105534641865198	NA	0.0106242392482709	0.00732978788415982	0.00767050951720236	0.00379449505900758	0.00424993497355311	0.00770406813167508	0.00499529680416357	0.00421177411047788	0.00285727930407496	0.0245274931588575	0.0147609033029943	0.00602836838776806	0.00704363032963577	0.00570454152373121	0.0125548844562558	0.00827649186358926	0.00536795166261451	0.00583514099929737	0.0167627353715804	NA	0.0125958710491514
HMEC_4_G2_3E	0.00791821646260847	0.0105534641865198	0	NA	0.0211694828595949	0.00333524417908741	0.0181178278107666	0.00682509333730563	0.0117685981161941	0.0180750244367944	0.0126930960913765	0.0100056438665649	0.013407111554792	0.0142158802793918	0.0252474260268291	0.0164976702759368	0.0170313630286073	0.0159550852815834	0.0223169472897445	0.0183001206641126	0.00979622016693887	0.0163631773113744	0.0269377517819649	NA	0.0223060682923249
HMEC_4_G2_3F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMEC_4_G2_3G	0.0134404909545137	0.0106242392482709	0.0211694828595949	NA	0	0.0179483630765164	0.00381502121813385	0.0143624737328085	0.0108302982052698	0.00420698124653492	0.0108672891214978	0.0128073436593625	0.00776715231352585	0.034979734128014	0.0048039966992016	0.00476720204891303	0.00603537424222395	0.00563426361613808	0.00684821707252656	0.00543752300597713	0.0138359507007899	0.00481612960835575	0.00804023358082595	NA	0.00597619439684203
HMEC_4_G2_4A	0.00459599405044418	0.00732978788415982	0.00333524417908741	NA	0.0179483630765164	0	0.0148141276898994	0.00376648953300897	0.00916900165148012	0.0147585169656086	0.00942885313587193	0.00676391487844386	0.0101850822103947	0.0175447020001301	0.0219458741413714	0.0133372128561329	0.013696683492294	0.0128824084370325	0.0189924693623689	0.0149654185548613	0.00670343743256635	0.0131640562385102	0.0236037044706901	NA	0.0194663700481771
HMEC_4_G2_4B	0.0102226936340288	0.00767050951720236	0.0181178278107666	NA	0.00381502121813385	0.0148141276898994	0	0.0114589291554454	0.00919148936328964	0.000524147711775554	0.00707802905624949	0.00916262826076092	0.00497869242660469	0.0321855438576586	0.00713318237439297	0.00331430743474359	0.00229176319474171	0.00450515179458593	0.00574099997259675	0.0021598889734659	0.0101313800418278	0.00287727207393281	0.00919956920693767	NA	0.00880633354112178
HMEC_4_G2_4C	0.00201593439867928	0.00379449505900758	0.00682509333730563	NA	0.0143624737328085	0.00376648953300897	0.0114589291554454	0	0.00555848125883393	0.0114748200655921	0.00732531558242202	0.00513156356620998	0.00661766079894467	0.020734381332758	0.0185547652223029	0.00967357645727004	0.0106705640882961	0.00915088159177734	0.0161433660068902	0.01193040013356	0.00575190099289558	0.00954914065141407	0.020499944830387	NA	0.0157033303712853
HMEC_4_G2_4D	0.00624791882044242	0.00424993497355311	0.0117685981161941	NA	0.0108302982052698	0.00916900165148012	0.00919148936328964	0.00555848125883393	0	0.00945715289961312	0.00911385986499096	0.0084052348711668	0.00473821801362498	0.0246376825190818	0.0155378238392383	0.00622678358917952	0.00958941942160834	0.00520519422407412	0.0148224864533176	0.010606308424364	0.00951145350806228	0.00644004837232001	0.0182456942962094	NA	0.0106025838128107
HMEC_5_1	0.0101629262979089	0.00770406813167508	0.0180750244367944	NA	0.00420698124653492	0.0147585169656086	0.000524147711775554	0.0114748200655921	0.00945715289961312	0	0.00677083708327963	0.00894989877157562	0.0051012838415241	0.0321832262242365	0.00721541515210971	0.00373384555440029	0.00183527410659587	0.00491460000113146	0.00539472042946508	0.00164083107699174	0.00988236824011901	0.00325857464524694	0.00908098529632569	NA	0.00932102207969537
