	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3C_2
HMEC_4_1_1	0	0.00653524454482045	0.00761723888724899	0.0106721319835754	0.011013211456733	0.0180759580310409	0.0105901085604146	0.00802050588489199	0.00552589505728507	0.00840172798932194	0.0237081226313688	0.00405123262426827	0.0106853918399518	0.0175118252253608	0.00273338854527219	0.0257879103725165	0.0191799147316416	0.0243990805153729	0.0334374653183243	0.0136766130629399	0.00202342779086711	0.00778978986439491	0.010885551817894	0.00957097554837621	0.0061366788302552	0.015342928678848	0.00958676573855132	0.0038365167267444	0.00618316667232812	0.00545580000896599	0.00850899423655396	0.012117146820849	0.00735233637846591	0.00450938772186938	0.00274999958445863	0.0130269524220521	0.0191186050357297	0.00728321880106081	0.00620623375451987	0.0080907840181001	0.00869232266322994	0.0102894810082842	0.003895243861248	0.0492098434186804	0.00294504440368218	0.0058843617585799	0.00432422689606664	0.0100509537310633	0.004221795328898	0.0186505968336231	0.0123700014130669	0.00904266083078115	0.0095655737689641	0.0145252676661468	0.00771283070408955	0.0236711096708324	0.020336046478918	0.015774222926477	0.00775944521523764	0.00550382118151083	0.00999913579074971
HMEC_4_1_2	0.00653524454482045	0	0.0136110062747726	0.00558776864808436	0.0138814830936191	0.0213455963990082	0.00672893362511357	0.00360830534465969	0.00640689459223044	0.0083252999748052	0.0180625241450706	0.00427480315482349	0.0171922358587737	0.0115130641212117	0.00658591441883164	0.0206800805593886	0.0145539222492513	0.0192838300397633	0.0272001178764114	0.0191539634347174	0.007350399235346	0.0135986692986848	0.0170092456187368	0.0159797744368381	0.011865040474884	0.0217014028119106	0.014975032719494	0.00542193467417279	0.00610082974643875	0.0043079356276483	0.00990584606255859	0.00643099692518773	0.00314443131284804	0.0081111182396684	0.00773010251850812	0.00741191743685933	0.013921278577143	0.00934608406892763	0.00472806305789383	0.0115352791672229	0.00808081259602872	0.00571973734319231	0.00441822119781027	0.0455768450660874	0.00783577732970661	0.0115358818936846	0.00777371466274207	0.00421015514057813	0.00371573046227161	0.0134133189620819	0.0166559466893499	0.0123386588479877	0.0145611300951224	0.0181857749884192	0.0115067950292454	0.0285482803955982	0.0249517105208389	0.0114433566299904	0.00312612242768194	0.0102247121775323	0.00565848068115077
HMEC_4_1_3	0.00761723888724899	0.0136110062747726	0	0.0180564028816937	0.00912986731317173	0.0130265265008727	0.0175706729628269	0.0150860596083736	0.00922362899386743	0.0152912525764963	0.0312699741434671	0.00974566865410714	0.00507275663141374	0.024829249370762	0.00713245781942151	0.0325521142388942	0.0263109380782883	0.0314045050482155	0.0407070632353644	0.0101155038641019	0.00687014762764864	0.000762672395158665	0.00403559992539413	0.00382863933269952	0.0038480882973803	0.00840600327343996	0.010325502358391	0.0104582082001276	0.0109266738540251	0.0107947937874304	0.00897386431439369	0.0196238322820475	0.0141427940691247	0.00781817811603569	0.00693421525072373	0.0185408348750622	0.0266113612796303	0.0133316169355581	0.0111519479840155	0.0120182466102208	0.0149060109187327	0.0179041515468411	0.00952933329370426	0.0559844134032045	0.00673653613154307	0.00831692682703724	0.0104471740348593	0.0173627446453076	0.0102626042497862	0.025067152318992	0.00698734202978883	0.00646326028740174	0.00369043045302871	0.00927815519875167	0.00713324076493633	0.0165726457776294	0.0148618585651489	0.0216318831894968	0.0148635148079805	0.00904118068133647	0.017176899674121
HMEC_4_2_1	0.0106721319835754	0.00558776864808436	0.0180564028816937	0	0.0173732967566855	0.0267325837647822	0.00274362311917545	0.00329251145380864	0.0119493438778544	0.00814870356422076	0.0134393185471511	0.00964097590645432	0.0209120325062178	0.00923843571145941	0.0115509478727471	0.0155995888999144	0.00900678853171206	0.0140003995855037	0.0230629069392051	0.0236179796290679	0.0112381284622264	0.0180801722314945	0.0215451646085726	0.0197163711706983	0.0166453264687523	0.0258788489903011	0.0177619786489225	0.00979747829100596	0.00899958057002962	0.00877622094532017	0.0146729868277937	0.00262643759838547	0.00749824430894569	0.0113363572418618	0.0113625971347935	0.00954268245861152	0.0086871105937648	0.010061085833822	0.010266591297705	0.0142900665031654	0.00655720978864942	0.00328707812380761	0.00969133771940151	0.0400340874703816	0.0115751630014691	0.013982380443109	0.0105984192549482	0.0018398580437726	0.00860178495536068	0.00935803403753797	0.0219450961093807	0.0174812968487103	0.0191134977128514	0.0230809375871097	0.0168608074417293	0.0336859158463709	0.0302862775997827	0.00832611397672202	0.00657494611405989	0.0120725379956773	0.00698182035512384
HMEC_4_2_2	0.011013211456733	0.0138814830936191	0.00912986731317173	0.0173732967566855	0	0.0146238183847779	0.0161715056959541	0.0141120274852203	0.0109440765579318	0.0185604213562809	0.0303970090913437	0.0109512813649588	0.0127604641438797	0.0249254498946594	0.00958360165688218	0.0289467267047848	0.0243944492029836	0.0284918170222297	0.0382402304433817	0.0191306640467314	0.00915553407460838	0.00845487306726036	0.0125603420288751	0.0109601654217585	0.0116758691657963	0.0156275034945413	0.0180753995885893	0.0142984293978139	0.00838886048211268	0.00963546745108374	0.00640329310357486	0.0193861215205563	0.0158473507174606	0.00737755036883953	0.00868637548983891	0.0162763867548803	0.0256397446215564	0.0173458265815196	0.0119571491314815	0.0186397125987763	0.0143372413103185	0.0188172562825736	0.0106000159906653	0.0545084257742701	0.00832872529080735	0.0137942307597847	0.0151979449251889	0.0166522454102139	0.010415248133254	0.0210750717807161	0.0111200561873498	0.00745325292759065	0.00650379226277144	0.00859232565652143	0.0131267663694276	0.0198058330681659	0.0214072847246741	0.0171602538274222	0.0165048822785089	0.0118201337288049	0.019263831628277
HMEC_4_2_3	0.0180759580310409	0.0213455963990082	0.0130265265008727	0.0267325837647822	0.0146238183847779	0	0.026851467197116	0.0237854841254988	0.0150408300329942	0.0261206769959763	0.0389353921270047	0.0172521965205845	0.0163983946701361	0.0311604763192903	0.0158655637125863	0.0403860730106362	0.035353463869119	0.0396006538284019	0.0465347242200473	0.0162160844373572	0.0175708036933705	0.0125995791181767	0.0126519001037058	0.015809142644	0.0137595279909134	0.0150409376515711	0.0218003399838139	0.0194059384428559	0.0192988576461064	0.0181676496962116	0.012757483197607	0.027684305151237	0.0211212164413857	0.0180548760801305	0.017773162564176	0.0222053398387141	0.0351590378019053	0.0249114078816319	0.0168415199226964	0.0222963006246127	0.0257079016511677	0.0267865498074637	0.0171819314188594	0.0664660318586271	0.0174188433193833	0.0210074377054242	0.0213218936315959	0.0253620281215904	0.0182382547887108	0.0321310011135075	0.00618475970179966	0.0095661862933375	0.0109120491291769	0.00630045606804075	0.0123653857440986	0.00965173504035249	0.0107007513445901	0.0290128291435584	0.0222771291186276	0.0214801324264461	0.0246852110030089
HMEC_4_G2_3F_1	0.0105901085604146	0.00672893362511357	0.0175706729628269	0.00274362311917545	0.0161715056959541	0.026851467197116	0	0.0032653650776844	0.0125809098696225	0.0087167785198619	0.0148794734016885	0.0101205081052595	0.0201855757539385	0.011796297067157	0.0116158623208705	0.0152573828901451	0.00879844824168378	0.0138836781371972	0.024261429978348	0.0239522800363724	0.0107194475142439	0.017559310535764	0.0212132880932918	0.0189000755670708	0.0167129302033998	0.0252829878956758	0.0177435101128062	0.0106819656755844	0.00805738924490527	0.00873127867650655	0.0144861588482259	0.00529670272168093	0.0092723445155218	0.0102937399026491	0.0106557087513936	0.0109541521409048	0.00970224113070545	0.0100813442761097	0.011152161809609	0.0149868631527216	0.00450049516570823	0.00552582904815091	0.010064793505253	0.039679367084912	0.0108751279324156	0.0133663162058402	0.010944710320137	0.00400906432748899	0.00876358307932991	0.00890732251547497	0.0219499548800593	0.0173817666891569	0.0184799730719317	0.0226567795726375	0.0174775790549067	0.0334108859710972	0.0307022048196265	0.00696910079530523	0.00850712812824938	0.0109080162007338	0.00935220879974261
HMEC_4_G2_3F_2	0.00802050588489199	0.00360830534465969	0.0150860596083736	0.00329251145380864	0.0141120274852203	0.0237854841254988	0.0032653650776844	0	0.00934568222049612	0.00821951290281432	0.0166529092526519	0.00692771210221929	0.0182038054019163	0.0117676683490998	0.00865385418156167	0.017883974029923	0.011699156920401	0.0165689675884772	0.0258760931865282	0.0214691178946001	0.00827411889407243	0.0150491657364744	0.0187341851396246	0.016887727742436	0.0140043483822806	0.0230847058011558	0.016152631941663	0.00799838432728303	0.00572560630655	0.00567641138106423	0.0115789000624806	0.00544016317522719	0.0064894576967103	0.00816584310491278	0.00834573895376139	0.00880940108544619	0.0118999654533933	0.00933052499547352	0.00788840420094268	0.0132270440524191	0.00528543014513753	0.00519550860718625	0.00689437985081414	0.0427796790667778	0.00851529034720257	0.0119248992513482	0.00905146364262093	0.00290866869097196	0.00562774950511272	0.0107640915103814	0.0189710921992097	0.0144039865705485	0.0159214355892031	0.0198879090606224	0.0144198252346419	0.0306143334798665	0.0277213003926861	0.00849367836901719	0.00598829849479649	0.00975372312669657	0.00763023747409884
HMEC_4_G2_3F_3	0.00552589505728507	0.00640689459223044	0.00922362899386743	0.0119493438778544	0.0109440765579318	0.0150408300329942	0.0125809098696225	0.00934568222049612	0	0.0121999431999514	0.0241979837080623	0.00254965095760853	0.0137567898470262	0.0167887898986344	0.00321418109566522	0.0266626788201814	0.0208633077514255	0.025461352841083	0.0328382142808307	0.0148959547854141	0.00604673777788151	0.00909880201313548	0.0122686439156843	0.012572800403542	0.00734720319531512	0.0172485250869051	0.0137619903661246	0.00555234075681619	0.00714525311186757	0.00463449841148132	0.00549390620068576	0.0127410329300324	0.00630407607496646	0.007405337614602	0.00663120744095768	0.00980271266025695	0.0202987161698491	0.0119774527522501	0.00215036268732862	0.0114177643913207	0.0124106092446269	0.0117683856039679	0.00268320897031363	0.0518990880543206	0.00646179398975343	0.0111864659763278	0.00864952644131637	0.0105637949254593	0.00403136641603377	0.0188764806549667	0.010486443107447	0.00654031215444126	0.00971188053880799	0.0125506651947346	0.00592109398294263	0.0224557526203826	0.0189632274646059	0.0163162241931585	0.00738169078643439	0.010830285501159	0.010017316840975
HMEC_4_G2_4A_1	0.00840172798932194	0.0083252999748052	0.0152912525764963	0.00814870356422076	0.0185604213562809	0.0261206769959763	0.0087167785198619	0.00821951290281432	0.0121999431999514	0	0.0182984802484527	0.0101424158820567	0.0165636396875233	0.0137917205218793	0.010711107419093	0.022233275868789	0.0146168878953814	0.0202457641571729	0.029219013870915	0.0181615204329802	0.00977166613934042	0.0156537500254546	0.0177666401211169	0.0159819087843952	0.0132431560635286	0.0215430595750085	0.01082751177021	0.00706384968271335	0.0114374617211572	0.0110450359085819	0.016225174310402	0.00884219315829371	0.00848103932200873	0.0112054477442994	0.0100900866985909	0.0153175616702312	0.0138797543775742	0.00280407337941782	0.0115812372393631	0.00738901358999259	0.00763316715644435	0.00605328809498836	0.0102104609846432	0.0424299098397051	0.0104628566901643	0.00864886270657858	0.00513144656153952	0.00867863696840413	0.00987103276974137	0.0171903252653962	0.0203961615939628	0.0173247828959619	0.0177891905549702	0.0229213377045207	0.0144162799464243	0.0314439220743934	0.0267926316954852	0.0156796137553666	0.00768282313276274	0.00868204360862102	0.00745608569590131
