	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00760226850463921	0.00940586050398634	0.0186390406592281	0.00610891352801028	0.0117214421104348	0.00994596946808388	0.00716898804193111	0.0189521547834179	0.0104023070955316	0.0108161852848154	0.00570595240687412	0.0133980489550899	0.00689483878539052	0.0145950571670684	0.0332538235316718	0.00977368742934227	0.0263360625517668	0.0152261662342496	0.0140039580706702	0.00262640098215564	0.00745292778328232	0.0108319393786003	0.0124360887861129	0.00739637353827406	0.00311816094369405	0.00418366329717756	0.00363533149381365	0.00789148249597358	0.00337413192638471	0.00749066317151506	0.00446928580290159	0.0188546610847729	0.0174270965557925	0.0134151381895607	0.0128461106754749	0.0102673124519218	0.00740665789960745	0.0192437592211454	0.0112139726072988	0.0258703402115675	0.0152827859276566	0.00483584763408542	0.00749413164783464	0.0177622040886102	0.0160499526025601	0.00666097495383958	0.00371197101307193	0.0155117092388861	0.00847223620716965	0.00695658289649241	0.00941656746834119	0.0120889495426619	0.00920236817669609	0.0139840897370676	0.0301218161261434	0.00473122147717048	0.0215681435306498	0.00759787564924185	0.0142650136849464	0.0680818523447824	0.0121864933435591
HMEC_4_1_2	0.00760226850463921	0	0.00588081372090612	0.0116057875851823	0.00232445981049748	0.00711775660386576	0.0134083572139878	0.000661809581690059	0.0114092503745467	0.00427261120666864	0.00489254374565436	0.00448071123949736	0.00845504145127569	0.0126683641049129	0.0101182768825103	0.025898562965567	0.0158002535184286	0.0194990082408028	0.00786517148037917	0.00655534500595018	0.0049761832272674	0.000646025354600379	0.00719291032026058	0.00590004229317679	0.00320858496409844	0.00510684419405338	0.00812158288177526	0.00834495779001505	0.00167919243776761	0.0105239709421196	0.00163435055528459	0.00950926833264569	0.0123525320878581	0.0105076018593867	0.0203593497338161	0.0174007292105316	0.00298922253298213	0.00109731178479127	0.0128802892347524	0.00499321277134757	0.0326648214425003	0.0221743377035609	0.00451833360492269	0.00302870593490991	0.0111938269375832	0.0121883803729291	0.0128756572216627	0.00389037645163198	0.0079221750184715	0.0132806832808656	0.000726751483753496	0.00240037383040946	0.00449121207361628	0.00793814005152165	0.0104343484065942	0.0235089062110366	0.00599439874017309	0.015995639018042	0.0151573033760834	0.0066957185249792	0.0611396581800559	0.0174061693325126
HMEC_4_1_3	0.00940586050398634	0.00588081372090612	0	0.0104526620433312	0.00452890839627241	0.00237357923085175	0.009704724827176	0.00636361750662621	0.0122110337888043	0.00321012910900314	0.0105037963194882	0.00961465477312042	0.00403959406638079	0.0160679225395662	0.00520517062190646	0.0251267320573864	0.0190913317629403	0.0175335458119978	0.00826068286159587	0.00763845756536327	0.00755990628110281	0.00649747518032065	0.00151046707147115	0.00462901080477868	0.00285851776527513	0.00635258485849497	0.00695166467190282	0.0075933107392876	0.00421552761803021	0.0108073041628503	0.00426627860708664	0.00831136875236004	0.00999783332034848	0.00917503464878889	0.0227554408390993	0.0216427851150885	0.0051376337853939	0.0048122519042695	0.0102536274551927	0.00355413237033717	0.0351962752532155	0.0246267127231054	0.0092270085223966	0.00296599805570611	0.0090404231110231	0.00687372353564692	0.0159746373789546	0.00691810632080937	0.00969381368662295	0.0172682489009915	0.00557033989642077	0.00455309963974993	0.00735673681748168	0.00271597684342234	0.00488680874113875	0.0210613484321422	0.00492663556623864	0.0121895779086673	0.0164274210569169	0.00849651169335595	0.0591200342712689	0.0212717590799287
HMEC_4_2_1	0.0186390406592281	0.0116057875851823	0.0104526620433312	0	0.0125381072358753	0.00838958325248786	0.019777114438425	0.0122347995161616	0.0038806828148629	0.00828300380577088	0.0126176562361318	0.0158953661182405	0.00723882414364777	0.0242715755058022	0.00778976497965969	0.014749044242392	0.0274035032279321	0.00790872255094732	0.00399005954119939	0.00535230344206793	0.016162011152811	0.0120660751869074	0.00981245134025657	0.00624487840402768	0.0113427912902553	0.0155993056145745	0.0172366968719019	0.0178061010565684	0.010801703356722	0.0208359434618006	0.0111952294940035	0.0186611891217622	0.00237536820149717	0.0012780192458369	0.0318626627068855	0.028803288672774	0.00862245351086351	0.0113860486936723	0.00303254602956398	0.00750040105678745	0.0442289346678099	0.0336991420120508	0.0160882134918537	0.0112094509403336	0.00209336437979726	0.00918881618291283	0.0244579450534476	0.0151409066378635	0.00542957999344025	0.0248260972634357	0.0120411314717589	0.00935127501469413	0.00779066472588733	0.0127278205126365	0.00953300337879239	0.0119996506092495	0.014994022346292	0.00695987977586444	0.026172442107746	0.00585314633247618	0.0495736845805085	0.0289397833616126
HMEC_4_2_2	0.00610891352801028	0.00232445981049748	0.00452890839627241	0.0125381072358753	0	0.0063898414802613	0.0110916516129456	0.00241811949821749	0.0129667550555766	0.00437092493354172	0.00713259264142363	0.0050919637698816	0.00796846176380693	0.0120924012405067	0.00946206409823129	0.0271525404458311	0.0152040805198626	0.0202876600967263	0.00915206141517816	0.00797990557241916	0.00365024944204637	0.00268184171853217	0.00601436149288852	0.00637319070708481	0.00171252967819905	0.00317561688634423	0.00587133730546955	0.00616146144759654	0.00181369817349034	0.00864363400335351	0.00141583519884662	0.00729483068642727	0.0128709890324545	0.0113372448394797	0.0193815843979433	0.017363884022734	0.004246671736768	0.00152142108216559	0.0133083019933732	0.00519079594041699	0.0318049512284305	0.0212336239292705	0.00470791729928145	0.00168386901934926	0.0117510221399089	0.0113294016838427	0.0121437558654462	0.00270791976103102	0.00964586763257225	0.0130541327274907	0.00164269731828214	0.00335770127142659	0.00632830179529145	0.00602901858603813	0.00939495204348007	0.024148206495446	0.00368133370060401	0.0159872956469234	0.0136851247346963	0.00836383941379704	0.0620408154356008	0.0171395703426861
HMEC_4_2_3	0.0117214421104348	0.00711775660386576	0.00237357923085175	0.00838958325248786	0.0063898414802613	0	0.0114160310574258	0.00771180390582487	0.0106274144779471	0.00315341640377787	0.0111740377056395	0.0113125674839444	0.00167801068750043	0.0182836997458543	0.00307646076092601	0.0229276631572634	0.0213398992104455	0.0152132401665178	0.00686164308552903	0.00660116186106894	0.0097360060401124	0.00776374962796835	0.00142567905210492	0.00339016927881796	0.00468877917500476	0.00863276938456907	0.00929821658082278	0.00995210131367509	0.00548469606449542	0.0131774513128677	0.00568797656409496	0.0106283763099904	0.00770540747016506	0.00712787288684541	0.0251016480016918	0.0237292376294661	0.00532870841684597	0.00619050325132012	0.00792174963763119	0.00289702768388713	0.0375470278305985	0.0269724387195725	0.0110520504783407	0.00470703716221604	0.00680802406692811	0.00507173902690921	0.0182310632904318	0.00898721157520385	0.00864213212693958	0.019388747637332	0.00702148604521635	0.00512321526986185	0.00709467058793863	0.00433854807842841	0.0034014564430275	0.0186962407548298	0.00729974595340262	0.00984847125010343	0.018800496501296	0.00760434812599644	0.0567573430788608	0.0234371282088076
HMEC_4_G2_3E_1	0.00994596946808388	0.0134083572139878	0.009704724827176	0.019777114438425	0.0110916516129456	0.0114160310574258	0	0.0134745620733577	0.0218967700269718	0.0127919884587022	0.0181849982130073	0.0145353626362884	0.0125904512880411	0.0158332681805512	0.0125994588279113	0.0340289146160701	0.0179294669674534	0.0259321572097332	0.0179630718554095	0.0173086585432441	0.0106957337850802	0.0137559712829059	0.00999170495783799	0.0143271791863291	0.0106475220837279	0.00933451758574198	0.006077384663159	0.00640063877624708	0.0123148882851026	0.00794662225628663	0.012066463036468	0.00548157347240625	0.0187703399691679	0.0185289690202407	0.019368039040163	0.0218697104713158	0.014292975589549	0.0124549476371484	0.018808316476297	0.0132459893939914	0.0309135987285542	0.0210837964008553	0.0137097981042478	0.0108682273613381	0.0180459347289941	0.0126319777541244	0.0152463558711734	0.0111445613015976	0.0193420774303448	0.0177901476792133	0.0127331277856172	0.0134698091830568	0.0166378434194404	0.00711083684085728	0.0110279747062403	0.0288336314728858	0.00753678787504779	0.0192744924071279	0.0124941617173925	0.0181054673451878	0.0664289346919145	0.0207949017515996
HMEC_4_G2_3E_2	0.00716898804193111	0.000661809581690059	0.00636361750662621	0.0122347995161616	0.00241811949821749	0.00771180390582487	0.0134745620733577	0	0.0119377427068183	0.00491939209405748	0.00471994704005123	0.00381905679200458	0.00908042545150391	0.0120470752074903	0.0107317395290071	0.0264699961984448	0.015176465355254	0.020133455414417	0.00846048650127987	0.00713477304827238	0.00454911104087626	0.000306394545944778	0.0077203520298709	0.00656175252246495	0.0035968503855498	0.00485821189098993	0.00800817083568907	0.00817607835168518	0.00223227169054948	0.0101889081371111	0.00210091301268516	0.0093563408378671	0.0130084750879851	0.0111475412995747	0.0197775338238813	0.0167415012576238	0.00363117039734501	0.00155863574383908	0.0135389411097623	0.00564890897594765	0.0320603942570064	0.0215856235938315	0.00386860534822827	0.00343956666762459	0.0118490865689187	0.0127827599709658	0.0122714032023233	0.0034730458103048	0.0084211553721774	0.0126310958952323	0.000829757966240152	0.00306214419982341	0.00498850514502346	0.00828671100221456	0.0109992911749979	0.0241530584660321	0.00598101373331339	0.0166555797726174	0.0146794878971539	0.00721918975185794	0.0617528989113455	0.0167560194579565
HMEC_4_G2_3G_3	0.0189521547834179	0.0114092503745467	0.0122110337888043	0.0038806828148629	0.0129667550555766	0.0106274144779471	0.0218967700269718	0.0119377427068183	0	0.00934034176250481	0.0108434294615577	0.0151516648432081	0.00994237298681161	0.0237683320478088	0.0109356517428353	0.0146580023465494	0.0268480354256102	0.00977928519729869	0.00398664247611823	0.00499220121559379	0.0163438623596339	0.0116963648554944	0.0120074018144559	0.00758341295604026	0.0122080615435238	0.0161421099454493	0.0183962928057521	0.0188610564915519	0.0111542693028132	0.0215988098476897	0.0115510004019392	0.019863134669578	0.00625600364497104	0.00441795158799106	0.0316546157294077	0.0276640903885867	0.00872179004632589	0.011559893343091	0.00690485237354215	0.00873798429925053	0.0438065591992708	0.0334358967239924	0.0155476273713513	0.0120254732422928	0.00580074279110495	0.0126511998622014	0.0240891006779471	0.0152634445580742	0.0035703976952901	0.0239968580177854	0.0120101743032115	0.00961107233688017	0.00695872928624244	0.0148007721988187	0.0126020825957185	0.0139710842117674	0.0160679257897315	0.0107639212291715	0.0265409124866481	0.00471871596753541	0.0502872760850058	0.0280250768770134
HMEC_4_G2_4A_1	0.0104023070955316	0.00427261120666864	0.00321012910900314	0.00828300380577088	0.00437092493354172	0.00315341640377787	0.0127919884587022	0.00491939209405748	0.00934034176250481	0	0.00802278092829734	0.0087051340991769	0.00424063700958629	0.0164245765566317	0.00594809850717643	0.0230044959947287	0.0195471493629662	0.0159387969320691	0.00535576721349891	0.00453038624103758	0.00801854973284674	0.0049021028551125	0.00381498782405628	0.00204125585796132	0.0030602561114881	0.00732920261912345	0.00911322512499581	0.0096274729154924	0.00285863027101124	0.0125720985161553	0.00319243638567607	0.0105716475969718	0.00850028759250071	0.00704579378372422	0.0237434557555076	0.0215039898758709	0.00218630186768424	0.0035663637151048	0.00894308260603682	0.000819882448693465	0.0361715594184909	0.0255981252534736	0.00861035793804699	0.00292839219506085	0.0073827303257507	0.0080987939945015	0.0165034309066851	0.00706655988877911	0.00655089251866975	0.0172741936751232	0.00437923219313474	0.00202448466436909	0.00419528043344388	0.00592313092174207	0.00655122497716961	0.0197786387323096	0.00680737277316436	0.0117931838805616	0.0178979880438783	0.00532009698160904	0.057701515716572	0.0213876980690943
