	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00761935216849736	0.00794869857830168	0.00633058088014128	0.00773017342219167	0.0040981231654825	0.0081066794850672	0.0133282962979882	0.0109235977503076	0.022766711256917	0.0304073516004583	0.00370149066104488	0.0259932415114166	0.00613077971216161	0.0110887301475448	0.00679948272615004	0.00682267259747637	0.00211292929788605	0.00900647756709746	0.00683943472784178	0.00978566107037649	0.00522952737233849	0.00908235969766711	0.0066897181759975	0.00890414399963631	0.00985823388296055	0.00973904648113091	0.00678278258740325	0.014930671097319	0.0186499869980478	0.0139879687803282	0.0343095277940201	0.0154319623361869	0.0143768171800736	0.010029070647023	0.00462471247092269	0.0117932920319411	0.00739961005491861	0.00736268767456727	0.0239719325551161	0.0218495419131913	0.0191209530328084	0.00738854557610371	0.0208682621849653	0.0111091262576753	0.0212714867548801	0.00700383463957528	0.00159258960138592	0.00662934533280005	0.0112297526719985	0.0180717169384887	0.0101596307911323	0.00848714499676386	0.0216089817842569	0.0198218765364057	0.0109003378893466	0.0103931212504582	0.0055434295393824	0.0173751484409907	0.00842446442650186	0.0107215405015637	0.017350142810082	0.0222294546369074	0.010716004065002	0.0201309640079787	0.0116725865301074	0.00946018964283126	0.0104899369417659	0.00614409916930835	0.0137268906686608
HMEC_4_1_2	0.00761935216849736	0	0.00543591646720995	0.00258440558928126	0.00765560120878542	0.00947917172662786	0.00237145511318796	0.00752614141279844	0.0072441926113767	0.0188589836512572	0.027153522774764	0.00514809376232348	0.0258365555616834	0.00652860983399554	0.00690479348255728	0.0114937129344902	0.00679351418335511	0.00607325685711808	0.00214268336138602	0.00842341362314489	0.00306728619708013	0.00459053457191705	0.0103467959303685	0.0074000576941931	0.0116346958563434	0.0118874878113114	0.012606235825155	0.00411525266995907	0.0174508693974498	0.0222285510450821	0.0173807399368164	0.0366177444235291	0.0184796795687097	0.0168794202269025	0.0129928638436789	0.00426875218601336	0.0101721516673171	0.00698022822724582	0.00676409468511132	0.0265040971794178	0.025097876330429	0.0202560600370202	0.00294669980577716	0.022886397368313	0.0127226782532437	0.0245709577286932	0.0118462642120425	0.00829980598562505	0.0089371287462684	0.0161272604628182	0.0176204642854752	0.01269965704231	0.00888184047984381	0.0258760775687696	0.0212552393682178	0.0134413126929303	0.0109662788526055	0.00245849080101936	0.0191672541518493	0.00902634779852456	0.0102074331157128	0.0170517782242556	0.0241006553503565	0.0125535368340215	0.0177694256560517	0.0129673980064742	0.0023323178461435	0.0118694265823853	0.0114086331636969	0.0130918410706942
HMEC_4_1_3	0.00794869857830168	0.00543591646720995	0	0.00317919945997476	0.00260015017833249	0.00710634975291269	0.0033174233541107	0.00583758558676479	0.0126051432594995	0.0242823945891353	0.0325864578537454	0.00426540743406817	0.0205035742586398	0.00254178843135123	0.0123128966898934	0.00795863957262917	0.0022265625625042	0.00779008083671329	0.00750866057754689	0.00400170406137116	0.00838271627803144	0.0027686831029069	0.005261038511488	0.00294956009048473	0.00695832123307757	0.00688467385520793	0.0078543180787414	0.00157371682527902	0.0122654741526827	0.0172201434964651	0.0124711682722709	0.0312227958172722	0.0134088817945954	0.0117085073498249	0.00823695716857843	0.003525245942941	0.00487253229483937	0.00201997969722065	0.00180836689571006	0.0211784238302841	0.0199386147612613	0.0148268505437657	0.00807139544075858	0.0175150259461446	0.00751579867545596	0.0194331841919993	0.00832650640282111	0.00753136058748853	0.00473899070632147	0.012029363407074	0.0122644718005647	0.00780161256299124	0.00371712616895474	0.0210392317196852	0.0158380596240722	0.00847298432419613	0.00562756835773314	0.00411880255999512	0.0138033299673883	0.00391291707299867	0.00477218146624855	0.0116683666434662	0.0187050622315246	0.00742318113909518	0.0231348528397481	0.00767072015496473	0.00754821074858224	0.00665960859074244	0.00828756773557778	0.00769555687527473
HMEC_4_2_1	0.00633058088014128	0.00258440558928126	0.00317919945997476	0	0.00512521962593454	0.00725654390629309	0.00178708542229566	0.00716491493302741	0.00949356686172702	0.0213385867293849	0.029586507633395	0.00303791984074022	0.0236716758127516	0.00394446225378745	0.00924482077185335	0.009045610693238	0.00422447161453123	0.00543164244290872	0.00472376352673866	0.00583971648363745	0.00565118947710226	0.00207744390153245	0.00778931027509977	0.0048173119260624	0.00905127112174146	0.00931304298981734	0.0100222158504815	0.00165866399911024	0.0148898740875346	0.0196458392304069	0.0147966751820158	0.0341336414825503	0.0159021651972328	0.0143165449723835	0.0104089732405769	0.00200292966306293	0.0080512102916858	0.00445158302978376	0.00424279442391613	0.0239764346040967	0.0225266617767134	0.0178381005326818	0.00492097302380276	0.0203882496503808	0.0101774779171193	0.0219971494507502	0.0094061891455391	0.00656619509078022	0.00636590148683981	0.013617318062504	0.0154310626446046	0.0101171606869848	0.00635379438964392	0.0232953243268348	0.0188085057091789	0.0108612535524992	0.00848024016853835	0.00106417632037767	0.0166684769290822	0.00648514871371935	0.00785092291067174	0.0148239863606751	0.0216225395189166	0.00999322926295059	0.020005794564883	0.0104497976556431	0.00490398401015543	0.00932869632322492	0.00904705110603025	0.0108503720651198
HMEC_4_2_2	0.00773017342219167	0.00765560120878542	0.00260015017833249	0.00512521962593454	0	0.0055705698635738	0.00579531985458777	0.00787508542131819	0.0145569862936157	0.02646194425385	0.0346963826965391	0.00456613680621614	0.0189523088546283	0.00168471001127754	0.0143445046044004	0.00571216045224783	0.00104185994685739	0.0082606212944338	0.0097911703673437	0.00167565512566808	0.0107011080209798	0.00361216181273808	0.00271709625939907	0.00107185688229823	0.00436287143433015	0.00431772227876705	0.0052542867639915	0.00354416364843569	0.00980864183111688	0.0146846270094889	0.00989991455966336	0.0290147993230239	0.0108908748551107	0.00924099118944706	0.00563724872059368	0.00439417516703691	0.00406856649569345	0.000675474964919075	0.000893184909529153	0.018855429990496	0.017473377918188	0.0127779741662039	0.00996262315008713	0.0152655744098311	0.00506855255212997	0.0169555433950355	0.00606556550944458	0.00682040936643524	0.00244220848460355	0.00949062973914615	0.0107667070047693	0.00521405487291581	0.00122871874735104	0.0184654967242676	0.0137175587655799	0.00590388155264396	0.0033820863811971	0.0057758254581307	0.0115461549201566	0.0013745398577479	0.00310602116647334	0.0100963208035125	0.0165074242600172	0.00491838815476946	0.0250121546915003	0.00532475308392168	0.00990165474900602	0.00421418340655079	0.00621517576324812	0.006217404590151
HMEC_4_2_3	0.0040981231654825	0.00947917172662786	0.00710634975291269	0.00725654390629309	0.0055705698635738	0	0.00888510338182265	0.0129432615023253	0.014481312367628	0.0265205493750619	0.0343250735872477	0.00433179269777783	0.022296793371955	0.00459037570357055	0.0145318649902119	0.00270577833440588	0.00509971592777416	0.00589441641205485	0.0113736596946525	0.00406090352796461	0.0122734571017505	0.005281994526138	0.00578786568610037	0.0045623092417698	0.0050496531858187	0.00613880311201795	0.00578325957242459	0.00671018903871762	0.0108871461538342	0.0145664002323518	0.00989065666353053	0.0302169976528807	0.0113408142031056	0.010343527436612	0.00603716358264819	0.00527906079730117	0.00937582722615812	0.00560283204870549	0.00569421140847903	0.0198810301198833	0.0177572796933175	0.0152374348065914	0.0103629313246219	0.0168260021882955	0.00741291342745187	0.0171801753824835	0.00293260976321418	0.00252017463306564	0.00348432096493926	0.00728169189754132	0.0146461789760102	0.00625952125749284	0.00578234789007614	0.0176244121056128	0.0158716353750433	0.00695853764124163	0.00718191248546248	0.00702325134705403	0.0133998806596076	0.00562617132458485	0.00795454606892264	0.0139036516595665	0.018194583805641	0.0069801763398095	0.0241142933149009	0.00803533043712383	0.0117177174672871	0.00693616011683791	0.00215200370166093	0.0106299879357723
HMEC_4_G2_3E_1	0.0081066794850672	0.00237145511318796	0.0033174233541107	0.00178708542229566	0.00579531985458777	0.00888510338182265	0	0.00560095702837214	0.00959899373286953	0.0210381019474771	0.0293727048341089	0.00478626333505801	0.0235096478333738	0.00504493665851338	0.00923313982147329	0.010451952810432	0.00510591232769016	0.00708180419272958	0.00427280345762814	0.00688436217114238	0.00510832430605305	0.00360422263521906	0.00850894882887736	0.00580012908581558	0.0100417524818188	0.0101119623202155	0.0109821908070802	0.0024057074201126	0.0155658271692335	0.0204789601987904	0.0156875863485915	0.0345159650157311	0.016681100272651	0.0150049520974991	0.0113698472474813	0.00373661845562819	0.00786326771040081	0.0051410967810086	0.00491628739687272	0.0244940716973127	0.0232386579197602	0.0180914406999359	0.00528710768409693	0.0208237846335925	0.0108137023954098	0.0227284215726005	0.0108196731916321	0.00834321667173435	0.0075178377739197	0.0148807015996326	0.0153112922208838	0.0109926206418149	0.00698179226958553	0.0242459351716427	0.0191210531499099	0.0116960823800243	0.00894472933203341	0.00263857976017923	0.0171155700046053	0.00715880395038763	0.00803742004916887	0.0147602640786818	0.0220032484649883	0.0106989380544468	0.0201092224597317	0.0109857540803018	0.00425861998766848	0.00995600019012607	0.0105527265229125	0.0108200788935222
HMEC_4_G2_3E_2	0.0133282962979882	0.00752614141279844	0.00583758558676479	0.00716491493302741	0.00787508542131819	0.0129432615023253	0.00560095702837214	0	0.0139713530990017	0.0240103123900632	0.0323759879767792	0.00968295831220532	0.0207079442713862	0.00836404470910997	0.0134413463642537	0.0135781641147381	0.0079411353736516	0.0125961249708195	0.00857020459517852	0.00952873219959212	0.00902348915655913	0.00818249670737626	0.00987985757219409	0.00860629548915628	0.0119107676649177	0.0113951288333368	0.0126226317294055	0.00658605533261293	0.0158128150733997	0.0209400754018616	0.0166283516483918	0.0330920956324352	0.0171791016851655	0.0153400836049201	0.0129621038056568	0.00870632072998946	0.00675602906732148	0.00754761559507038	0.0073945732928422	0.0237453688534081	0.0231754612186502	0.0168028103070412	0.0103731581453923	0.0199603402372526	0.0114888593573709	0.0227494170487886	0.0139353440146978	0.0131963268073999	0.0102995339106002	0.0171528496036826	0.0130723499895395	0.0123712075202974	0.00852396181457372	0.0249657824403873	0.0179563797821296	0.0128531875733894	0.00947813190772465	0.0081680717300231	0.0165069315912854	0.00876514566992461	0.00800770438604839	0.0127447242443461	0.0209113785656105	0.0116039463164178	0.0240275175891024	0.0113267792113906	0.00824558433430465	0.010754630242842	0.0140163175537964	0.00943794033971591
HMEC_4_G2_3E_3	0.0109235977503076	0.0072441926113767	0.0126051432594995	0.00949356686172702	0.0145569862936157	0.014481312367628	0.00959899373286953	0.0139713530990017	0	0.0121061675603239	0.0201878655766518	0.0107823133051843	0.0330713199376783	0.0131445084913538	0.000688717896741844	0.0170312801566728	0.0135823089886617	0.00881760482188766	0.00549118273794796	0.0149353365456549	0.00494826659069347	0.011047568945804	0.017118654933106	0.0140569741227326	0.0180292109373716	0.0185275526063058	0.0190042061778153	0.0111494911069303	0.024124771143344	0.0286006290432616	0.0237427690476276	0.0435312102372143	0.02499668560112	0.0235459787704596	0.0193740378520442	0.010389524400693	0.0174066334413012	0.0138947991697605	0.0136973444514967	0.0332968191001668	0.03163499881465	0.0273190694568346	0.00459470079034177	0.0297866189579624	0.0195189410655278	0.0310830633157113	0.0173271935109341	0.0123449986327762	0.0152602791230583	0.0217351544037527	0.0248478580600311	0.0192160765064774	0.0157743403352373	0.0319692429480576	0.0282716120736314	0.0199896056471653	0.017936694214871	0.00878579897524528	0.0260763672257259	0.0158791677158452	0.0173399010695032	0.0242664036474755	0.031048843346852	0.0192811401577534	0.0105341263927918	0.019853526799042	0.00574324576437007	0.0186911514537983	0.0166302028686963	0.0202973241834752
HMEC_4_G2_3F_2	0.022766711256917	0.0188589836512572	0.0242823945891353	0.0213385867293849	0.02646194425385	0.0265205493750619	0.0210381019474771	0.0240103123900632	0.0121061675603239	0	0.00838874309501247	0.0228825651488987	0.0443570508219422	0.0251477251832937	0.0121877897299569	0.0291106215612071	0.0255326070615745	0.0207161295099455	0.0167793643569502	0.0269785720102714	0.015931682678197	0.0230606603465243	0.0290965524610083	0.0260566458499815	0.0301079155705661	0.030556549707438	0.0310851966375806	0.0229538499859291	0.036157573595576	0.0406954091805868	0.0358356586564745	0.0554515258405772	0.0370698160586517	0.0355800796640555	0.031458164026357	0.0224454900013626	0.0288579422046339	0.0257890072678482	0.0255800536599947	0.0452917719491458	0.043710008431299	0.0391028438108828	0.0166026549929337	0.041718543396814	0.0314948232575387	0.0431621915761995	0.0293980494351978	0.0242732294498388	0.0273377722321832	0.0337945720743144	0.0362617967933981	0.0312776436128937	0.0276897554569949	0.0440611580062034	0.0401069270710327	0.0320466799796775	0.0298094250093728	0.0207611880795094	0.0380006612903504	0.0278154758040501	0.0290504118234447	0.0357476942008055	0.0429453544392848	0.0312841024924264	0.00480269753436477	0.0317845900740922	0.0167874899799815	0.0306529277428268	0.0286717917992576	0.031841286220488
