	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_4_1	0	0.00258440558928126	0.00237145511318796	0.027153522774764	0.0258365555616834	0.00652860983399554	0.00214268336138602	0.00306728619708013	0.00459053457191705	0.012606235825155	0.0174508693974498	0.0173807399368164	0.0129928638436789	0.00676409468511132	0.0265040971794178	0.00294669980577716	0.0127226782532437	0.0089371287462684	0.00888184047984381	0.0134413126929303	0.0191672541518493	0.0102074331157128	0.0241006553503565	0.0023323178461435	0.0130918410706942
HMEC_4_2	0.00258440558928126	0	0.00178708542229566	0.029586507633395	0.0236716758127516	0.00394446225378745	0.00472376352673866	0.00565118947710226	0.00207744390153245	0.0100222158504815	0.0148898740875346	0.0147966751820158	0.0104089732405769	0.00424279442391613	0.0239764346040967	0.00492097302380276	0.0101774779171193	0.00636590148683981	0.00635379438964392	0.0108612535524992	0.0166684769290822	0.00785092291067174	0.0216225395189166	0.00490398401015543	0.0108503720651198
HMEC_4_G2_3E	0.00237145511318796	0.00178708542229566	0	0.0293727048341089	0.0235096478333738	0.00504493665851338	0.00427280345762814	0.00510832430605305	0.00360422263521906	0.0109821908070802	0.0155658271692335	0.0156875863485915	0.0113698472474813	0.00491628739687272	0.0244940716973127	0.00528710768409693	0.0108137023954098	0.0075178377739197	0.00698179226958553	0.0116960823800243	0.0171155700046053	0.00803742004916887	0.0220032484649883	0.00425861998766848	0.0108200788935222
HMEC_4_G2_3F	0.027153522774764	0.029586507633395	0.0293727048341089	0	0.052731926972881	0.0333234029878677	0.0251041116830218	0.0242756348212062	0.031228070849774	0.0391637858324034	0.0443021010204253	0.0438702296608341	0.0395289882594623	0.0338232080691332	0.0534681845804646	0.0247632704558332	0.0396915882412779	0.0354300717333051	0.0359204579858106	0.0401646010708787	0.0462306882674853	0.0373559284750841	0.051190510706038	0.0251355893165922	0.0401845654323738
HMEC_4_G2_3G	0.0258365555616834	0.0236716758127516	0.0235096478333738	0.052731926972881	0	0.0205996600180119	0.0277593755635356	0.0285337535230883	0.022542739696211	0.0165899021281048	0.0122834523994235	0.0141664389745182	0.0164072185429291	0.0197001143351429	0.00916566818193877	0.0285715949778298	0.0149124800469092	0.0193782071516544	0.0178632240292433	0.015431820829144	0.00957060276479553	0.0159069036500995	0.0071297358980497	0.027669609022994	0.0128314647405791
HMEC_4_G2_4A	0.00652860983399554	0.00394446225378745	0.00504493665851338	0.0333234029878677	0.0205996600180119	0	0.00866533332875933	0.00959441541160333	0.00209711127323493	0.00607786143775664	0.0110158668827532	0.0108541293561839	0.00646463038815139	0.00124949184536083	0.0201639758498417	0.00856418333497226	0.00637571541594518	0.00247511045323874	0.00274853189420715	0.00693695303176115	0.0129439401464222	0.00478989814581539	0.017922915960291	0.00884551030906298	0.00789836307297969
HMEC_4_G2_4B	0.00214268336138602	0.00472376352673866	0.00427280345762814	0.0251041116830218	0.0277593755635356	0.00866533332875933	0	0.000933089181031763	0.00669392076998147	0.0147417258326489	0.0195910082622039	0.0195186152569481	0.0151278652641566	0.00889869993543036	0.0286310861467719	0.00227640730750548	0.014859279794217	0.0110575595369612	0.0110156069522789	0.0155832721934096	0.0212834943966475	0.0122746065225669	0.0262049741068574	0.000524834383113946	0.0150924281846524
HMEC_4_G2_4C	0.00306728619708013	0.00565118947710226	0.00510832430605305	0.0242756348212062	0.0285337535230883	0.00959441541160333	0.000933089181031763	0	0.00762698558866915	0.015671426266229	0.0205053345362961	0.0204470613136192	0.0160577570680589	0.00980810513978459	0.0295297502943815	0.0026833837057617	0.0157690707433317	0.0119901478685433	0.011923316994982	0.0165075365011372	0.0221738232898591	0.0131377461000193	0.0270855926090232	0.000864492118398598	0.0159169296691543
HMEC_4_G2_4D	0.00459053457191705	0.00207744390153245	0.00360422263521906	0.031228070849774	0.022542739696211	0.00209711127323493	0.00669392076998147	0.00762698558866915	0	0.00809071540805502	0.0131018217399956	0.0128733658402996	0.00847337338548547	0.00284657665220047	0.0222583556909883	0.00646925999921424	0.00847268579956328	0.004370924829482	0.00478548925832409	0.00900000910188544	0.0150385836410732	0.00664422597927362	0.0200165098195901	0.00692269666056962	0.0097513173428274
HMEC_5_1	0.012606235825155	0.0100222158504815	0.0109821908070802	0.0391637858324034	0.0165899021281048	0.00607786143775664	0.0147417258326489	0.015671426266229	0.00809071540805502	0	0.00524761251249095	0.00478311478645287	0.000388244648082328	0.00609130682277423	0.0144216046017098	0.0144924396169054	0.00212708912154954	0.00374934725327161	0.00422494709680907	0.00117553615106839	0.00763848259952084	0.00491057096207549	0.0125086655922667	0.0149213086030265	0.00614976027405072
HMEC_5_2	0.0174508693974498	0.0148898740875346	0.0155658271692335	0.0443021010204253	0.0122834523994235	0.0110158668827532	0.0195910082622039	0.0205053345362961	0.0131018217399956	0.00524761251249095	0	0.00203960601617352	0.00492292212141842	0.0107016246996165	0.0091963941541101	0.0195665173396992	0.00475246841030356	0.00890262073397407	0.00859472755157269	0.00416051383570403	0.00273136239198325	0.00793900767391013	0.00730826519537422	0.0197094255954689	0.00678679764817502
HMEC_5_3	0.0173807399368164	0.0147966751820158	0.0156875863485915	0.0438702296608341	0.0141664389745182	0.0108541293561839	0.0195186152569481	0.0204470613136192	0.0128733658402996	0.00478311478645287	0.00203960601617352	0	0.00440030843805015	0.0107720092483096	0.010008234863871	0.019257375456147	0.00515777475653589	0.00852078006659865	0.00875697453562466	0.0039985392980069	0.00460964110744551	0.00862254296135707	0.00862582275861017	0.0196894323672612	0.00814270284966116
HMEC_5_4	0.0129928638436789	0.0104089732405769	0.0113698472474813	0.0395289882594623	0.0164072185429291	0.00646463038815139	0.0151278652641566	0.0160577570680589	0.00847337338548547	0.000388244648082328	0.00492292212141842	0.00440030843805015	0	0.00647709449910329	0.0140795959655481	0.0148679742160662	0.00220795826292239	0.00412521898750783	0.00459581775061699	0.000984242092058276	0.00736434046717319	0.00519154561975687	0.0122047418415489	0.0153085526934069	0.00625937007302264
HMEC_5_5	0.00676409468511132	0.00424279442391613	0.00491628739687272	0.0338232080691332	0.0197001143351429	0.00124949184536083	0.00889869993543036	0.00980810513978459	0.00284657665220047	0.00609130682277423	0.0107016246996165	0.0107720092483096	0.00647709449910329	0	0.0197440977668394	0.00910432050989141	0.00596141767680821	0.00296179936454973	0.00211784839791481	0.00678016235944875	0.0124261166884381	0.00379777636534964	0.0173818537454883	0.00900861241206871	0.00690582882573929
HMEC_5_6	0.0265040971794178	0.0239764346040967	0.0244940716973127	0.0534681845804646	0.00916566818193877	0.0201639758498417	0.0286310861467719	0.0295297502943815	0.0222583556909883	0.0144216046017098	0.0091963941541101	0.010008234863871	0.0140795959655481	0.0197440977668394	0	0.0287256487827174	0.0138058106786061	0.0180982141394856	0.0176272644217511	0.0133561437229336	0.00739787143304929	0.0165341688522034	0.00303209269405601	0.0287109731123533	0.014328133789135
HMEC_5_7	0.00294669980577716	0.00492097302380276	0.00528710768409693	0.0247632704558332	0.0285715949778298	0.00856418333497226	0.00227640730750548	0.0026833837057617	0.00646925999921424	0.0144924396169054	0.0195665173396992	0.019257375456147	0.0148679742160662	0.00910432050989141	0.0287256487827174	0	0.0149349858266079	0.0107434383972573	0.0111802121426029	0.0154476911354848	0.02148640334945	0.012770876809652	0.0264577964850841	0.00279671715748949	0.0157629856144803
