	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0269535675127362	0.016555864216883	0.0180656897100245	0.0209945256467014	0.0337544495824953	0.0426746356439237	0.0238061083301359	0.0159047122154997	0.0210051199112429	0.0349422223858014	0.02005488384912	0.0205711677956666	0.0357201375596995	0.0747124182132312	0.0131535473712959	0.0332994166223898	0.0174240147791561	0.0230106720770735	0.02190205227765	0.0175842781114648	0.0252040776709776	0.0322722194368915	0.0278684207683347	0.0256298172892773	0.0120868596100452	0.0355668920293205	0.00839392390748648	0.0178142074175881	0.0191781488257627	0.0183094747138973	0.00780652557662912	0.0405389251757904	0.00936901734281801	0.0183536289989806	0.0152758620073504	0.0187260951422704	0.0278307968370387	0.0102667363579881	0.022378092824347	0.0288209793394638	0.0286255114713417	0.0294567554920533	0.0556182831985935	0.0121749822966624	0.0262318307351327	0.0280086255699537	0.0306426315591972	0.0465745029896434	0.0241368974247791	0.0280837149030705	0.0195114492279364	0.0201819234127022	0.0229758090893802	0.0384536968649869	0.0208268582313511	0.041257563997777	0.0380872724507551	0.0131745586288866	0.0307459049838142	0.0213115549851655	0.0396528588221816	0.0247354351700874
HMEC_4_1_2	0.0269535675127362	0	0.024008000939098	0.0413805914521113	0.0115539081071891	0.012240300567145	0.0535630029181376	0.0238278954884739	0.0126703296837001	0.01337137723147	0.0105900459675776	0.0300017006824512	0.0118100101584602	0.0128223986835431	0.0517594108059324	0.0204009607379106	0.0216281284077594	0.0122164135553099	0.00759878049427608	0.00927163126377439	0.00942333964444964	0.00520841681839187	0.0132269561194509	0.00164948972078001	0.00625695770392045	0.017652890568265	0.0126795455193253	0.0251351318929997	0.0114802370156365	0.00828402891275904	0.0387994831661794	0.0298837988738708	0.0151467325148927	0.0196878129815163	0.0088416201736776	0.0150809429972921	0.0105580439175287	0.00424049556014334	0.0179629628159699	0.00892320522893294	0.00698108301747297	0.0144477916466457	0.00736066247717798	0.0317345663403947	0.0253562587163907	0.00517461510051711	0.0162783255334762	0.00706589577385024	0.0242696905011959	0.00630412030762303	0.00424112635979571	0.0105967493776247	0.00797790214634893	0.00485970791860287	0.0119584812144713	0.0102774581767103	0.0170400579366545	0.0137509840301384	0.0154946319563208	0.0259975487714215	0.00672569019063784	0.0135412401968178	0.00943463185322407
HMEC_4_1_3	0.016555864216883	0.024008000939098	0	0.0201939927195465	0.0137979174938684	0.0347057788175287	0.0312241306652336	0.00762677725124506	0.0150236174951206	0.0250304923722506	0.0276929194705149	0.00876019516787603	0.0149313481865785	0.0348080635915266	0.0754831676654141	0.00854881761604766	0.0395694174985456	0.0120156449869015	0.0231718049781135	0.0194021312604693	0.0168933869749584	0.0253232179615411	0.0332097055714739	0.0240358171006761	0.0257793036932816	0.0110374014934676	0.0343945785576152	0.00829150879941731	0.0149073611397736	0.017738847450454	0.0162063845573571	0.0123597353709682	0.0382366084805757	0.00979947412879958	0.0185441751756432	0.0102058377603312	0.0157305841531726	0.0234417288805844	0.0115828081870597	0.0223515152231882	0.025220713576426	0.0318067670730731	0.028501433119059	0.0553675956789233	0.00649225628639078	0.0234391626241993	0.0333928866967082	0.0287235344627767	0.0473470597042448	0.0245538908235752	0.0237796823766015	0.0134149319557195	0.0214332389117606	0.0207315865888717	0.0333538257156695	0.0195353017789754	0.0404668586429643	0.0376409814329336	0.0181719220407298	0.014955108620002	0.0213108665909996	0.0371365401623954	0.0169695329926416
HMEC_4_2_1	0.0180656897100245	0.0413805914521113	0.0201939927195465	0	0.0323021627892865	0.0502141091822088	0.0296918913984929	0.026590623296399	0.0300792905234245	0.0376329705381153	0.0470670723801134	0.0182077449231853	0.0325461654597548	0.0513370185048444	0.0915977752034763	0.0228095369288856	0.0510237125503879	0.0295011274072214	0.0385723231327686	0.0358465525529019	0.0323330269581677	0.0410254865864601	0.0484024203534396	0.041879883232157	0.0414429095878659	0.0247953898454037	0.0510320629071735	0.01627175195231	0.0312207518413816	0.0337632777792278	0.00527880368488319	0.0122616852552341	0.0557485967441547	0.0219720050050101	0.0336590500225339	0.0269523447866412	0.0322393076828119	0.0415013219089578	0.0240998398545302	0.0376584977959426	0.0428035797821242	0.0453390988709974	0.0449002373191072	0.0719900543944152	0.0174735502577379	0.0406133444278786	0.0455342971394791	0.0456941102072822	0.0631685750526381	0.0399939969993352	0.0418148259064688	0.0314832680725211	0.0360170152001663	0.0375150433787027	0.052098560055574	0.0352038759969569	0.0571931265512051	0.0541315870089505	0.0296296140878886	0.0327586347150606	0.0366340001261082	0.0547739105993638	0.03607350713432
HMEC_4_2_2	0.0209945256467014	0.0115539081071891	0.0137979174938684	0.0323021627892865	0	0.021774507670696	0.0436494266081057	0.013493125461811	0.00680954058906621	0.0150146483418655	0.014920801356281	0.0213213418331039	0.00254440313256315	0.021227859209225	0.0620313272141965	0.0103329392940706	0.0286476336998719	0.00493590742913592	0.0110244063050215	0.00677400546212293	0.00819818365989706	0.0131693732192611	0.0201928944181687	0.0112310926593386	0.0132877411174102	0.00928136423416124	0.020766738869456	0.0166075113686155	0.00471666842067976	0.00688523333286089	0.0289843184584034	0.021226605515112	0.0246325973021684	0.0118823349844937	0.00870707326196636	0.00584834128867646	0.00458188577105864	0.00992147065546192	0.0107622952916224	0.0103021546083139	0.0114540217107805	0.0199419521248822	0.0151984027242562	0.0418565117863361	0.0151938335961613	0.0099547403539524	0.0225852538289421	0.0151877694215641	0.0339244330536569	0.0124524171361094	0.0102506642847082	0.00419255687792084	0.0121854833293564	0.00817841384822984	0.0201115446750809	0.0077608856278712	0.0269872585472534	0.024643395035644	0.0123616429026107	0.0184456542209473	0.0116989076653811	0.0238579365061815	0.00405496800314526
HMEC_4_2_3	0.0337544495824953	0.012240300567145	0.0347057788175287	0.0502141091822088	0.021774507670696	0	0.0651286373178999	0.0350610845496216	0.0206365334858534	0.0140916798757834	0.0168059373991965	0.0413398201553098	0.0208391770353676	0.00504589268065155	0.0415197283169583	0.0291213186342471	0.0122670456056008	0.0228663781023023	0.0119943542099909	0.0162253411081051	0.0186547020393858	0.00961415184800194	0.00532086107874289	0.0126849023164811	0.00900775162864403	0.0259779322769921	0.00570573167796096	0.0342550658987469	0.020176246482983	0.0171116788283264	0.0482050905595595	0.0381133038433324	0.00896661508315551	0.0284224949244248	0.0168288726693143	0.0247519608839118	0.0192701748600149	0.0131269612452365	0.0262138074805767	0.0133159256335242	0.011796898818465	0.00839096682579092	0.00680179181852546	0.0219328145565758	0.0345023090122159	0.0119611397745437	0.00987713218399842	0.00742991347423638	0.0131045378363063	0.0103653516484855	0.0128422391554538	0.0217485822218892	0.0154747132445536	0.0140373176075978	0.013120629214478	0.0163891035519898	0.00787366508296626	0.00610149587464604	0.0209823866365307	0.0379003311908068	0.0154587978405881	0.00927890301892204	0.0200875854125785
HMEC_4_G2_3E_1	0.0426746356439237	0.0535630029181376	0.0312241306652336	0.0296918913984929	0.0436494266081057	0.0651286373178999	0	0.0305269587060466	0.0461950170733328	0.0561677470951349	0.0543531403595919	0.0255677869183155	0.0450934483429572	0.0646456560693722	0.104339980388799	0.0388215103525611	0.0707349256685535	0.0426328925025371	0.0540723246142035	0.0499505380367008	0.0476959059680458	0.0559365290263369	0.0637601246700052	0.0532831646737853	0.0564807296801629	0.0419674253334144	0.0641526459630694	0.0356990886937019	0.0458712560100076	0.048645016828041	0.0264068573876667	0.0356974313118886	0.0670627885780422	0.040205609522132	0.0495540909401348	0.0413410521921882	0.0466007727281222	0.052744554866895	0.0423502370097682	0.0532478905985385	0.0547375969694277	0.0628226522305353	0.0587508194443967	0.0843248323723245	0.0343246724713966	0.0534969473023101	0.0645681478850812	0.0585906211868912	0.077215288932835	0.055364166748985	0.0530775640725823	0.0435152396158546	0.0519493968192181	0.0511737609646244	0.0607802685656643	0.0503156307978087	0.0699069969034995	0.067170293588826	0.0491083679920989	0.030185360171648	0.0515383713573855	0.0657339323999346	0.0456743861668624
HMEC_4_G2_3E_3	0.0238061083301359	0.0238278954884739	0.00762677725124506	0.026590623296399	0.013493125461811	0.0350610845496216	0.0305269587060466	0	0.0177874216735058	0.0276375500600826	0.0245289803067048	0.0124884398490512	0.0151428278091342	0.0342143390033683	0.0743377969804926	0.0130933712081774	0.041895083560664	0.0139038352129309	0.024424376998718	0.0200590093061712	0.0193667973576171	0.026335402413404	0.0335814489612936	0.0233532991781064	0.0266780459791618	0.015536097952841	0.0336986227226873	0.0157822291650651	0.0167107842595054	0.0194798951221842	0.0219577306865773	0.0197194513743565	0.0368061646011917	0.0157554663626204	0.020868827282376	0.0131560249356383	0.0171997933412192	0.0224226818645637	0.016795771164087	0.0236249483408975	0.0242638217351548	0.0333037851284288	0.0284979237726225	0.0541846170386463	0.0130020793046041	0.0232125162023379	0.0357494261598207	0.0282311517997012	0.0468706502433169	0.0257651952706999	0.0227522812857334	0.0142455714639665	0.0237950296013986	0.0213627714772629	0.0309020522234356	0.020763843677223	0.0396340068103503	0.0372428685837371	0.0223949345824858	0.00878765932189446	0.0231903913010307	0.0357629045555893	0.0152550688193461
HMEC_4_G2_4A_1	0.0159047122154997	0.0126703296837001	0.0150236174951206	0.0300792905234245	0.00680954058906621	0.0206365334858534	0.0461950170733328	0.0177874216735058	0	0.01012436406475	0.0193878805486059	0.0225235878254155	0.00561042336631261	0.0212975486889656	0.0620470817160341	0.00862766190840645	0.0246745682972588	0.0057696141054597	0.00868962291359179	0.00613994125668405	0.00526335080588737	0.0116325468377382	0.0187840538105965	0.0131492655604083	0.0116964118377275	0.00539281855980819	0.0209839722753154	0.014092586551747	0.00222488401207299	0.00448026042911018	0.0276877112300822	0.0180638641894259	0.0258312926282683	0.00830047348949191	0.00497095295834844	0.00493814235306248	0.00295568837693333	0.0123415916079955	0.00617410022859757	0.00777514040933809	0.0131162820559486	0.0168431144799473	0.0148685635794205	0.0421745177021861	0.0138769432908638	0.0107529917301603	0.0185113466798383	0.0156803969587769	0.0334565177275879	0.0103993829655887	0.0125993903721994	0.006829189421279	0.00927830502176589	0.00800053412669522	0.0230975720073661	0.00547076206036196	0.0272867117316436	0.0246820816647819	0.00556666179916194	0.023863395180492	0.00985604569730561	0.0252141193074675	0.00995626246597301
HMEC_4_G2_4A_2	0.0210051199112429	0.01337137723147	0.0250304923722506	0.0376329705381153	0.0150146483418655	0.0140916798757834	0.0561677470951349	0.0276375500600826	0.01012436406475	0	0.0209668775962491	0.0323371909640469	0.013148246539197	0.0157718387805453	0.0547376544897688	0.0177143069898328	0.0149076225182066	0.0150539438477857	0.00606261282477782	0.00897656012441399	0.0109728017262935	0.00879128041173239	0.0115419126341139	0.0142279424742967	0.0079018639271785	0.014401925510115	0.0156764009684847	0.0225725651999022	0.0109956400137868	0.00951648778166678	0.0360468164261416	0.0254119302596648	0.0214852610124708	0.0169113114148844	0.00863922371018677	0.0150615978266947	0.0106492146481365	0.0135644330579962	0.014532490967535	0.00573184122388557	0.0124488309246672	0.00772603529049628	0.0107241333055202	0.0356180673412146	0.0228223354834469	0.0105910477946487	0.00901972231539125	0.0124384115527757	0.026214769084265	0.00722103554512555	0.0135865399912488	0.0152677571669556	0.0102939384547179	0.0099518348702209	0.0218978239594649	0.00760902354733943	0.0216227885030233	0.0196195401767745	0.0082213799714011	0.0332517456379764	0.011598038952728	0.0216280927022081	0.016226659807892
