	HMEC_4_1_1	HMEC_4_1_3	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_4A_1	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0068478713720013	0.0159612045206845	0.00253872778887094	0.0170937981229506	0.00141513398482917	0.00335785761223905	0.0295300012971911	0.0207800674210472	0.0105779642712689	0.00773425431558756	0.0189558289858695	0.0124022311963953	0.00261686835429346	0.0191799321369397	0.0115963826215314	0.0203540554748589	0.00661997717192019	0.00641431313402871	0.00591733380543545	0.00589725790263882	0.00426400953453974	0.0124540492147035	0.00718655687447213	0.00485740125333695	0.00457576326002676	0.0113883668207505	0.0116833901617946	0.0105184034712918	0.000763475703864235	0.0258513851195211	0.0095464501049382	0.00343536573778994	0.00711268516734293	0.00811773722067274	0.011447140743382	0.00619575814641402	0.00440788219701348	0.00980226842752066	0.0118163885552803	0.0180524676579889	0.000317385601701742	0.000605051529491167	0.00240730867439324	0.0071691296814594	0.00146369042907129	0.00372383108245803	0.0134832889724308	0.0373259553437489
HMEC_4_1_3	0.0068478713720013	0	0.00911368002121786	0.00938654247336308	0.0102463444793495	0.00543275568393813	0.010205647470527	0.0226837309209526	0.0139328869750313	0.00373018691509018	0.000886399272068693	0.0121085051940993	0.00555452400706189	0.00946468080805482	0.0123326250943753	0.00474864247632433	0.0135068401238271	0.000227897792787317	0.000433564860572751	0.000930550678375129	0.000950626818598319	0.0111117682157817	0.00560634425070962	0.0140341884352839	0.00199049313856214	0.0114235103133757	0.0182357445852304	0.00483565342540318	0.00367062409217626	0.00608440672266375	0.0190046872000999	0.00269864010814805	0.00341253354115805	0.00026481828105327	0.0149653197614335	0.00459939483536438	0.0130434373467485	0.0112556355694131	0.00295446605202717	0.0186637357665396	0.0248992712088543	0.00653049070243939	0.00624282883114694	0.00444058814132069	0.000321263794831872	0.00831153285792391	0.00312406798371251	0.00663563086910592	0.0304808073944052
HMEC_4_2_2	0.0159612045206845	0.00911368002121786	0	0.0184996716184178	0.00113270140020174	0.0145461848560521	0.0193187021012299	0.0135710333241365	0.00481942084439304	0.00538355694840436	0.00822730392191332	0.00299494064436314	0.00355921888555624	0.0185778030277546	0.00321907148900346	0.00436510345497677	0.0043933491051095	0.0093415710506194	0.0095472317317667	0.010044201009328	0.0100642764484664	0.0202247354781167	0.00350739830512132	0.0231468385909802	0.0111041029614553	0.020536446318429	0.0273478444043589	0.00427809237673655	0.0054431194462677	0.0151977932505733	0.00989160661951307	0.00641509494022135	0.0125260778329051	0.00884886918530892	0.0240778575579893	0.00451435120535987	0.0221562010478765	0.0203685884829359	0.0061592718130174	0.0277757732784041	0.0340102700345305	0.0156438464892881	0.0153562045858464	0.0135540770798291	0.0087924252012237	0.0174247533629466	0.0122376266045617	0.00247810145668306	0.0213692098641312
HMEC_4_2_3	0.00253872778887094	0.00938654247336308	0.0184996716184178	0	0.0196322295859726	0.00395385684191312	0.000819132246728249	0.0320678913685798	0.0233183671280506	0.0131165696464118	0.0102729120267401	0.02149419691369	0.0149407954634518	7.81407453543151e-05	0.021718292002763	0.014134965774096	0.0228923716429755	0.00915865149160204	0.00895299027934436	0.00845601747028229	0.00843594182166662	0.00172528822685551	0.0149926122280271	0.00464785850619358	0.00739609736536371	0.00203704368274083	0.00884972777738178	0.0142219713306692	0.0130570100892479	0.00330220127058107	0.0283894640499381	0.0120850761173512	0.00597407543337865	0.00965135241372502	0.00557904931996104	0.0139857272673251	0.00365705031637917	0.00186916166668038	0.0123408894973807	0.00927775729841184	0.0155139863934481	0.00285611259163815	0.0031437776417803	0.00494602596744125	0.00970779609014839	0.00107503874639887	0.00626253831117734	0.0160218260977809	0.0398633650677722
HMEC_4_G2_3E_1	0.0170937981229506	0.0102463444793495	0.00113270140020174	0.0196322295859726	0	0.0156787961244641	0.020451247491694	0.0124383990398583	0.00368672649395821	0.00651624446036084	0.00935997485257163	0.00186224145617656	0.00469191367199338	0.0197103598182356	0.00208637275265931	0.00549779535230443	0.00326065338816119	0.0104742337445454	0.010679892798429	0.0111768580062	0.0111969332768478	0.0213572663421517	0.00464009325976317	0.0242793182178043	0.0122367506285093	0.0216689720358953	0.0284802386429578	0.00541078461073891	0.00657580667638516	0.0163303965793439	0.00875893963638531	0.00754777717526483	0.0136587115934022	0.00998153564204153	0.0252103194537877	0.00564704251130373	0.0232886987950771	0.0215011169813248	0.00729195543510341	0.0289081580433862	0.0351425005263543	0.0167764441905893	0.0164888059339854	0.0146866997956167	0.00992509207681972	0.0185573270378847	0.0133702633147321	0.00361079931227969	0.0202366807523735
HMEC_4_G2_4A_1	0.00141513398482917	0.00543275568393813	0.0145461848560521	0.00395385684191312	0.0156787961244641	0	0.00477298372321063	0.0281152769859687	0.0193651317171506	0.0091628779768102	0.00631914437001251	0.0175408587915147	0.0109871642747384	0.00403199715511484	0.0177649660019144	0.0101813067371136	0.0189391114211359	0.00520486013250613	0.00499919491902599	0.00450221292158176	0.00448213691606203	0.00567913162339469	0.0110389828913237	0.00860166049978616	0.003442275489964	0.00599088377872344	0.0128034292176892	0.0102683152142188	0.00910331659966981	0.000651658525551467	0.0244365626547032	0.00813135430971844	0.00202023516485224	0.00569757111380877	0.00953283320265734	0.0100320632694399	0.00761086897031432	0.00582300357312392	0.00838717489064701	0.0132314457808527	0.0194674291726245	0.00109774855440092	0.000810082696290553	0.000992175863650033	0.00575401598526456	0.00287882234348406	0.00230870132427194	0.012068235081698	0.0359114837236144
HMEC_4_G2_4A_3	0.00335785761223905	0.010205647470527	0.0193187021012299	0.000819132246728249	0.020451247491694	0.00477298372321063	0	0.0328867227571283	0.0241373390105819	0.0139356498780227	0.0110920118577181	0.0223131925454117	0.0157598606914709	0.000740991517690065	0.0225372848197671	0.0149540378641397	0.0237113492424421	0.00997775774463012	0.00977209764032529	0.00927512740908243	0.00925505186164039	0.000906156424389906	0.0158116770021095	0.00382873131562895	0.00821521233181292	0.00121791214105111	0.00803061571830772	0.0150410426976843	0.0138760907786848	0.00412132964822067	0.0292083598716176	0.0129041639916521	0.00679319613982413	0.010470455914371	0.00475992461804615	0.0148048005874838	0.00283792101860796	0.00105002997764036	0.0131599755328971	0.00845864734328135	0.0146949188858238	0.00367524185428176	0.0039629063466898	0.00576515010644733	0.0105268992666366	0.00189417041426549	0.00708165794634626	0.0168408815375447	0.0406820340724481
HMEC_4_G2_4B_1	0.0295300012971911	0.0226837309209526	0.0135710333241365	0.0320678913685798	0.0124383990398583	0.0281152769859687	0.0328867227571283	0	0.00875181359521392	0.0189541049456695	0.0217974848497132	0.0105762436422442	0.0171299621017177	0.0321460040571568	0.0103521206656719	0.0179357643187806	0.00917787645856082	0.0229115873212532	0.0231172163306142	0.0236141074276605	0.0236341796596773	0.0337925285528216	0.0170781466063666	0.0367138451956653	0.0246738348603356	0.0341041593147594	0.0409135800670352	0.0178487624281587	0.0190136605390124	0.0287667517116625	0.00367960048624349	0.0199855186204966	0.0260955589615732	0.0224189597086409	0.0376445967623307	0.0180849961430404	0.0357234832519187	0.033936344715184	0.0197297272622412	0.0413413702017522	0.0475736513384546	0.0292127111454606	0.0289251299473591	0.027123365054411	0.022362524084698	0.0309932248482999	0.025807160143014	0.0160489454912872	0.00779897487462742
HMEC_4_G2_4B_2	0.0207800674210472	0.0139328869750313	0.00481942084439304	0.0233183671280506	0.00368672649395821	0.0193651317171506	0.0241373390105819	0.00875181359521392	0	0.010202885198216	0.0130465439288456	0.00182448942853872	0.008378589439113	0.0233964930438556	0.0016003580564781	0.00918445670108173	0.000426074901714456	0.014160769080518	0.0143664215587579	0.0148633704290865	0.0148834450264553	0.0250433049537014	0.00832676989685841	0.0279651719227427	0.0159232260928125	0.0253549919608137	0.0321657883693339	0.00909744759671172	0.010262446126305	0.020016702279859	0.00507227065343675	0.0112343943195166	0.0173451329522022	0.013668086290003	0.0288961096707563	0.00933370100647048	0.0269746176265584	0.0251871469999033	0.0109785786855729	0.0325936742823639	0.0388274760280403	0.0204627288025434	0.020175104203369	0.0183730788146399	0.0136116444391708	0.0222435223822222	0.017056696067717	0.00729749179693945	0.0165503891446031
HMEC_4_G2_4B_3	0.0105779642712689	0.00373018691509018	0.00538355694840436	0.0131165696464118	0.00651624446036084	0.0091628779768102	0.0139356498780227	0.0189541049456695	0.010202885198216	0	0.00284379091836875	0.00837845035898426	0.00182435026941837	0.0131947056934901	0.00860257630830412	0.00101846184947652	0.00977682517708033	0.00395808353606291	0.00416374943038375	0.0046607319594985	0.00468080795338835	0.0148417412049222	0.00187617101389504	0.0177640520796779	0.00572066526402534	0.0151534726904641	0.021965412355767	0.00110547346095968	5.95631077898418e-05	0.00981451612435199	0.0152748787317134	0.00103155042524183	0.0071426888046408	0.00346536982620891	0.0186951439299854	0.000869213118254959	0.0167733405344194	0.0149856036923682	0.00077572384210782	0.0223933810260611	0.0286285348832551	0.0102605906452909	0.00997293493264563	0.00817072794857261	0.00340892454329604	0.0120415898994015	0.00685422709176009	0.00290546902983962	0.0267516861632358
