	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1
HMEC_4_1_1	0	0.00569453864809533	0.0105806865099996	0.00526235194934975	0.0072223772901557	0.00531960935385003	0.00134676816383411	0.0109863125046435	0.00677173545216495	0.0369816068966476	0.00926681679246349	0.00662276394884981	0.00595319257462665	0.00689054222048378	0.00336165018230934	0.00317794896022498	0.00555388757025564	0.0151338795556994	0.0137002190775443	0.00128033449390352	0.0126882662485468	0.00821327717505808	0.00399174483270456	0.00895212399262765	0.00493555364342067	0.00975501137734541	0.0073376503421293	0.00666584234096172	0.00869336272670094	0.0126427838504454	0.0102754213908039	0.00853382783263132	0.0639199877950691	0.00633625844537902	0.0151895033869992	0.00561870043632204	0.0163968261241436	0.00696117805336543	0.00304725068416462	0.00577147287100751	0.00671770755029568	0.0154559133110148	0.00679393031560519	0.0142684637072913	0.0144552884510701	0.0104790163446688	0.0402727527508516	0.0160205081271399	0.015197226055874	0.0103729918454347	0.0135288535728789	0.0173389497814379	0.0138125476980311	0.015515264859878	0.0164598838037929	0.0136227382205279	0.0193922003801259	0.0548072682188066	0.00710671040074205	0.0189976603931044	0.0376183990095217	0.00952278522587126
HMEC_4_1_2	0.00569453864809533	0	0.00490870808281085	0.0109526679558957	0.00184733271926236	0.000581563335075325	0.00631656119215351	0.00529198793038351	0.0123531419867339	0.0426687413628338	0.00361243561132173	0.0042457414448533	0.00231408488300185	0.00181879964516909	0.00236674189275129	0.00276447319311665	0.00580894919329607	0.0095642804969843	0.0189592400554595	0.00677003788809219	0.00705299955637777	0.00365099531460704	0.00304454012309519	0.00359847236221352	0.00183228705808198	0.00505905442812012	0.00169353258711794	0.00167965678772707	0.00332083241816966	0.00713809136760902	0.00465798902184299	0.00285109896290443	0.0582808578093079	0.00593546036290729	0.0208813535313112	0.0112992839673516	0.0220454235831599	0.00228777775956946	0.0075497410657586	0.000725685011497046	0.0015443744289076	0.00980043000611732	0.00363310756525833	0.00858377451439937	0.00892105714903182	0.00592788395641636	0.0345822818419131	0.0111419393423563	0.00965035167387574	0.00520512430248282	0.00790272464890339	0.0119001084227815	0.00816519424998295	0.00983611495070535	0.0108612511917797	0.0084804063600045	0.0138328728821491	0.0491435942171528	0.00299595210390576	0.0138550420808075	0.0405539599092961	0.00391457192698136
HMEC_4_1_3	0.0105806865099996	0.00490870808281085	0	0.0158426077448935	0.00347397932290366	0.00536661234297079	0.0112185523583989	0.000798931290869611	0.0172609449811998	0.0475522125731222	0.00186862348145743	0.00728892792016724	0.00533924694042735	0.00439088950288935	0.00722147526002454	0.00750136321310519	0.00971099962029867	0.00537605702802702	0.0237887311056764	0.0115950775683721	0.00217633331658016	0.00478074578422366	0.00761485554544212	0.00221300772008609	0.00625908077013562	0.00478398365375454	0.00342158411215885	0.00457699070769044	0.00314813493455224	0.00357640058626766	0.0018038272960511	0.00205888032503646	0.0535630420692906	0.00947418991280577	0.0257427799914858	0.0161525077513849	0.0268386164417177	0.00477088262524321	0.0123724915429318	0.00502437054920268	0.00438890554619796	0.00525348670652199	0.00644060721258452	0.00369291628802224	0.00492208182322405	0.00538844901046246	0.0297128453629669	0.00845176814735935	0.00486251745577111	0.00373960443523843	0.00363852748604891	0.00793188217233845	0.00375926536195471	0.00516177812192428	0.0064919599715932	0.00569520876397823	0.00947581923670869	0.0443795740333838	0.0053832838642768	0.0104032292154384	0.0430095218077429	0.00117362328254067
HMEC_4_2_1	0.00526235194934975	0.0109526679558957	0.0158426077448935	0	0.0124669618529307	0.0105575805044701	0.00485451380761005	0.0162422604091575	0.00198276916319943	0.0317227938933997	0.0145011537045871	0.0110856667081415	0.0110515720991399	0.0120410260668347	0.00862256916407471	0.00839444777626301	0.00910824860019996	0.0203007006380285	0.00912508927733004	0.00434843509116953	0.0179449791137175	0.0131613462867006	0.00886145665303173	0.0141718780862902	0.0100234641402404	0.0146537601957013	0.0125784329827245	0.011814957016207	0.0138467512925492	0.0177909748615545	0.0154900997899403	0.0137954159609205	0.0690971730291014	0.00995897853066369	0.0099564538717529	0.00090637723447187	0.0112892765490148	0.0120314079883965	0.00461531148345361	0.0109888237208028	0.0118936163556209	0.0206749291855539	0.0114930657460182	0.0195300134817899	0.0196058317657102	0.0152857954050182	0.0455271726744204	0.0207986520687655	0.0204278074970435	0.0154187286929506	0.0187341874493693	0.022417007709117	0.0190296054095558	0.0207520608896822	0.0216392327196383	0.0185854133295517	0.024536461944275	0.0600140182118466	0.0120322717796052	0.0238828889659575	0.0357780014019864	0.0147794403913044
HMEC_4_2_2	0.0072223772901557	0.00184733271926236	0.00347397932290366	0.0124669618529307	0	0.00242407651133051	0.00799848609114984	0.00404198561053646	0.0139733317869346	0.0441523458384766	0.00280884456255362	0.00573612676462839	0.00199596129846405	0.00269398836646738	0.00387654340953031	0.0040771947760259	0.00758264163524875	0.00861702836971294	0.0207030211052985	0.00817109024051554	0.00549128185426858	0.00430587495616227	0.00489039757779399	0.00178038036744014	0.00363589204195885	0.00535493720604834	0.00164245058904858	0.00271238296226156	0.00323169684912469	0.00638518593427818	0.00384636318754785	0.00163760513762615	0.0570317196170236	0.00762917843982281	0.0223203930322526	0.0127334881939121	0.0233807530387878	0.00328375395681489	0.00932510201531803	0.00235370104558927	0.00247341591739487	0.00866068927036185	0.00499471109189616	0.00714596790861452	0.0080509029228893	0.00622087109326794	0.0331504299869127	0.0108777325369782	0.00797761355655504	0.00505004940750658	0.00688425576755623	0.0110929124035791	0.00708336629389728	0.00861244532909849	0.00983457373104923	0.00809777123137079	0.0128324913236889	0.0478484891338692	0.00410224770974828	0.0133114908083015	0.0404494525176162	0.00233912822100494
HMEC_4_2_3	0.00531960935385003	0.000581563335075325	0.00536661234297079	0.0105575805044701	0.00242407651133051	0	0.00585703299308947	0.00569759886476831	0.0119078983379643	0.0422649405778225	0.00394759430865162	0.00378137288947972	0.00274062400431939	0.00178011240696777	0.00208834804972929	0.0025774268437381	0.00523748779374453	0.00984430594391783	0.0184508572132055	0.00644535982668102	0.00752853092304724	0.00353395296026984	0.00246636915306453	0.00416153481802002	0.00126168882442874	0.00501694800583519	0.00202098579234062	0.00158966462595024	0.0034746723902062	0.00738084504717693	0.00496073801089907	0.00331086317416306	0.058614502975853	0.00538678478230244	0.0205033421484943	0.0109377184972397	0.0217070208493149	0.00212792580499596	0.00703328428082393	0.000516510849157892	0.00153615385200325	0.010137265469806	0.00323340372844536	0.00901582867559003	0.00918211771943053	0.00586667421126149	0.0349839420443476	0.0112025466312326	0.0101526027588465	0.00530370395214236	0.00821559758995967	0.0121255419414288	0.00849459270577166	0.01019817814554	0.0111587451897949	0.00859733990885417	0.0141117710518496	0.049494448918066	0.00273161279416231	0.013990877895381	0.0406886938557158	0.00441878263532467
HMEC_4_G2_3E_1	0.00134676816383411	0.00631656119215351	0.0112185523583989	0.00485451380761005	0.00799848609114984	0.00585703299308947	0	0.0115469603975348	0.00605457160220941	0.036458991027113	0.00975481031896827	0.00634246052836474	0.00696260697672584	0.00722663345488134	0.00414808509620888	0.00413238433019401	0.00478944906351518	0.0154731648021566	0.0127249453818436	0.00207842482725093	0.0133692662976422	0.00830814231687192	0.00400703511148801	0.00976804738496826	0.0051957282772008	0.00980755729561393	0.00785908791545111	0.00700121821205818	0.00902540850806979	0.0129581189076344	0.0107103867280459	0.00915994442548071	0.0642752658145142	0.00562546058675335	0.0147851870459142	0.00540516540212356	0.0161407689744372	0.00718736522321939	0.0017078677588517	0.00624475489370278	0.00709695389819082	0.0158872366933729	0.00667682211161538	0.0148716875551585	0.0147717192651715	0.0104589585644597	0.0408058353444977	0.0159911496649501	0.0159518691724251	0.0105660455534656	0.0139356235258616	0.0175650071208214	0.0142426336276474	0.0159900483501111	0.016817118584611	0.013735193163117	0.0196967208922596	0.0552085484996987	0.00717925780345354	0.019050210127362	0.038513572618497	0.0102245221182281
HMEC_4_G2_3E_2	0.0109863125046435	0.00529198793038351	0.000798931290869611	0.0162422604091575	0.00404198561053646	0.00569759886476831	0.0115469603975348	0	0.0176006776820246	0.0479523061301859	0.0018605813071393	0.00719989698184616	0.00597585767675581	0.00450400444583759	0.0076464170705317	0.00797258907493588	0.00970580938244582	0.00464592315599046	0.0240146847000013	0.0120455317177585	0.0021452426389607	0.00457513983352829	0.00781412549994909	0.00296511112122651	0.00647020164467943	0.00433490764860413	0.00368832644012744	0.00470951857003695	0.00300856605272593	0.00277764151814344	0.00133911686925592	0.00248380186212104	0.0530422919193337	0.0094013750004558	0.026171608695726	0.0165876701944646	0.027314109284905	0.00480083853731975	0.0126200321962189	0.00530532202943243	0.00455081515206553	0.00461880999788861	0.00635891124622058	0.00333774754596658	0.00415843349665225	0.00485140614929998	0.0292943296467754	0.00765555773505641	0.00483604373219548	0.00319168557046991	0.0029008883774135	0.00718571054071158	0.00305954633938897	0.00458450551095172	0.00581076288856997	0.00490691369708026	0.00880637866858052	0.0438806586426228	0.0053200785487956	0.00962047714714056	0.0437993710078615	0.00187390825950732
HMEC_4_G2_3E_3	0.00677173545216495	0.0123531419867339	0.0172609449811998	0.00198276916319943	0.0139733317869346	0.0119078983379643	0.00605457160220941	0.0176006776820246	0	0.0304355279811481	0.0158068374299626	0.01188525698654	0.0126991319557078	0.01325469422128	0.0100972288748955	0.00994959794008639	0.00963158756351256	0.0214618727729328	0.0071810507490444	0.00606200667314434	0.0194005558632467	0.014185400882072	0.00996059475458763	0.0157174483515564	0.0112202055828559	0.0156169731621223	0.0139132722046193	0.0130306657174996	0.0150400797424555	0.0189432006182847	0.016751836065641	0.0152025425925426	0.07021520760006	0.0104489405393889	0.00894958363687723	0.00254116738839955	0.0105654549809067	0.0131706881385481	0.00526566389930724	0.0122990402554912	0.0131374435876669	0.0219174443509365	0.0124013081268798	0.0209227827997337	0.0207495102263617	0.0161756117978672	0.04684958890736	0.0216037295321537	0.0219492556790829	0.0164875686760793	0.0199607500616721	0.0234626873419112	0.02027533722842	0.0220329803564496	0.0228118530146568	0.0195506872569957	0.0256495331819145	0.0611882870479528	0.0130636531319389	0.0247460869400574	0.0368205791762118	0.0162438440805657
HMEC_4_G2_3G_2	0.0369816068966476	0.0426687413628338	0.0475522125731222	0.0317227938933997	0.0441523458384766	0.0422649405778225	0.036458991027113	0.0479523061301859	0.0304355279811481	0	0.0461953751387337	0.0421605151971808	0.0426014881008516	0.0436761937821122	0.0403367173857749	0.0400791390775895	0.0397015066025804	0.0518802305957844	0.0251792920899891	0.0359871178281013	0.0496372046916277	0.0445824306717862	0.040390378234463	0.0458149941557931	0.0416435497782225	0.0459700105660378	0.0442826903034846	0.0434516083162454	0.0454649697448185	0.0493640509446151	0.0471611301812755	0.0455092537671033	0.100501221421659	0.0404321671254436	0.0218569031939744	0.0314273148574231	0.0210799876874181	0.0435982610630607	0.0356388056496159	0.0426823033035072	0.0435509747842925	0.0523316801334428	0.0427504307623923	0.0512382104941996	0.0511659289328681	0.0464633266202489	0.0771996700235222	0.051712980962796	0.0520564484679357	0.046892387919193	0.0503792996545277	0.0538267744772589	0.0506894383411004	0.0524339057961899	0.0532297934921893	0.0498738061260984	0.0560453832010601	0.0915360412151168	0.0434696452424709	0.0549020742979655	0.0399341337557278	0.0464771159013455
