	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0126540412137313	0.00127074053593589	0.0103965122541356	0.00339706283683824	0.0148764028000228	0.0261147101681029	0.000112891424644765	0.0429555206805602	0.00686709861529915	0.0044679292060025	0.00590992605725173	0.000695348605510183	0.0107230100010803	0.0185161654789475	0.0183596393560017	0.0164926313806127	0.0423637911811225	0.0110753742275705	0.00413387079774601	0.00478453917684914	0.00872469116326672	0.0198554392842428	0.0156513739544862	0.00918911055629185	0.00552542032701054	0.00567512991924894	0.0050630611921419	0.00368437801634196	0.0039680460366423	0.00435093137048712	0.00240735512030827	0.021909779659853	0.00247353235991309	0.00641980042837693	0.00783512439347766	0.00540722184518824	0.00442348722285713	0.00266133749998542	0.000999727637812517	0.00196673030654059	0.00884041681353489	0.00755485881525589	0.00422036217326555	0.00166224880628962	0.0100310432358679	0.00717569694405207	0.00561071604697092	0.000799148323986831	0.0102180560625629	0.00548887718198167	0.0122381178508917	0.00903772073557786	0.00504432257697174	0.00832030089736509	0.0121416370873862	0.00958830674536348	0.000962941798413113	0.0233783148950309	0.0215071385264095	0.162971112027043	0.00275708883613912	0.00946395244721903	0.0359702746601018
HMEC_4_1_2	0.0126540412137313	0	0.011383368215984	0.00225763801238044	0.00925712503240835	0.0022225148447306	0.0134622894032036	0.0127669259037632	0.0303074329513925	0.00578712758651859	0.00818628248246357	0.00674430078680272	0.0119587314453598	0.00193112740665009	0.00586262651205459	0.00570608288424302	0.0038388834022354	0.0297155082971565	0.00157874819652937	0.00852033461062794	0.00786967750163107	0.00392950947918126	0.00720205924527896	0.00299755012475184	0.00346507869025115	0.00712880437218793	0.0069790957789006	0.00759115910234768	0.00896981729605206	0.00868615586703029	0.0170046260679529	0.010246801194867	0.00925667520097345	0.0101806263513274	0.00623442713533669	0.004819092488975	0.0180608053985823	0.00823072369025162	0.0153151879978954	0.0116543679831299	0.0106874090082957	0.00381378117638737	0.00509936166129409	0.00843384496110266	0.0143161787324638	0.00262312025430476	0.00547852723289035	0.00704350924697271	0.0134531392841056	0.0024361008154369	0.00716534724164095	0.000415946991129857	0.00361647244548639	0.00760989749695708	0.00433390803836149	0.00051243300730461	0.00306587110765896	0.011691151987062	0.0107254309757818	0.0341577046172118	0.150425188825358	0.00989707967730568	0.00319022911339519	0.0233200816949345
HMEC_4_1_3	0.00127074053593589	0.011383368215984	0	0.00912581625793049	0.00212632570517393	0.0136057570501789	0.0248442716661031	0.00138363188662426	0.0416856068041294	0.00559637615613429	0.00319719539832029	0.00463919842457652	0.000575392119437796	0.00945231703862455	0.0172455741891371	0.017089045473609	0.015222008309261	0.0410938545702471	0.00980468465025524	0.00286313583761499	0.00351380655803574	0.00745398118561233	0.0185848710954877	0.0143807387785151	0.00791840420173367	0.00425469085734266	0.00440440114838026	0.00379232969686627	0.00241364167081292	0.00269731054333266	0.00562166032712167	0.00113661587461586	0.0206392500966293	0.0012027932268759	0.00514907544495479	0.00656440803704007	0.00667794527616087	0.00315275325581666	0.00393207308681554	0.000271013025863106	0.000695990416189685	0.00756970771990979	0.00628414060197754	0.00294962750146993	0.0029329870378284	0.00876034396125881	0.00590497633540585	0.00433998697286111	0.00206988807845531	0.00894735845003092	0.00421814754492417	0.0109674402609642	0.00776701317792312	0.00377359100383529	0.00704958792852987	0.0108709584551131	0.00831760366552658	0.000307798877501086	0.0221078153049843	0.0227776447224896	0.161712066969246	0.00148635023226168	0.00819324833136806	0.0347001123044473
HMEC_4_2_2	0.0103965122541356	0.00225763801238044	0.00912581625793049	0	0.00699954063608095	0.0044801446655242	0.0157197542483776	0.0105093991182952	0.032564269392599	0.00352950644553734	0.00592868460789971	0.00448668778072027	0.00970118956570407	0.00032651112552289	0.00812022542921479	0.0079636835760577	0.00609650217592671	0.0319723744845819	0.000678890699296587	0.00626274073544805	0.00561207600820244	0.00167187688820041	0.00945964134436879	0.00525517518264239	0.00120744412965075	0.00487119506261379	0.0047214850008562	0.00533355456340818	0.00671222909577642	0.00642856404619412	0.0147471964089264	0.00798923095692112	0.0115142258261256	0.00792305511562105	0.00397680960649744	0.00256146466753871	0.0158034046647067	0.0059731263370305	0.0130577159905685	0.00939682070297673	0.00842984560029086	0.0015561480611649	0.00284173561416866	0.00617625003260139	0.0120586839481846	0.000365483032495415	0.00322090379343804	0.00478589909619887	0.0111956261753019	0.000178463161453638	0.00490773829621176	0.00184169165250979	0.00135883848769134	0.00535229315885457	0.00207627745306052	0.00174520574178272	0.000808235139324358	0.00943360535133683	0.0129829548988229	0.0319009806397928	0.15266478518395	0.00763950424926802	0.000932593555140927	0.0255772338069894
HMEC_4_2_3	0.00339706283683824	0.00925712503240835	0.00212632570517393	0.00699954063608095	0	0.0114795535110614	0.0227183848605874	0.00350995376166166	0.0395605529763693	0.00347006570684637	0.0010708723864587	0.00251288188241922	0.00270171659908951	0.00732604561880069	0.0151194520378119	0.0149629194028802	0.013095838392327	0.0389687642735111	0.00767841795120094	0.00073681179221151	0.00138748468730073	0.00532768664604277	0.0164587840165876	0.0122545508583724	0.00579211448085929	0.00212837227139484	0.0022780833306488	0.00166600896003706	0.000287316511745373	0.000570986049974875	0.00774795159723517	0.000989710716427377	0.0185132221561103	0.000923533353082664	0.00302276196997648	0.00443810520649	0.0088042244709936	0.00102643009637643	0.00605837997700037	0.00239733821904842	0.0014303360731097	0.00544341434963577	0.00415783541507873	0.000823303706858838	0.00505930102974106	0.00663406383239823	0.00377866815593161	0.00221366882027321	0.00419620693084791	0.00682108060148705	0.00209182877674653	0.00884119050691348	0.00564072184933852	0.00164727018690932	0.0049232894669416	0.00874470721522976	0.00619131835507649	0.00243412399206395	0.0199818335927538	0.0249035173425699	0.159604894934609	0.000639976221856825	0.00606696162041516	0.0325746612820167
HMEC_4_G2_3E_1	0.0148764028000228	0.0022225148447306	0.0136057570501789	0.0044801446655242	0.0114795535110614	0	0.0112398961989904	0.0149892849404874	0.0280855974005266	0.00800960482528216	0.0104087281136908	0.00896676654484697	0.0141811082716961	0.00415363575618878	0.00364012888336502	0.00348358407643563	0.00161637356803723	0.0274936456013816	0.00380125818256017	0.0107427750930381	0.0100921278438439	0.00615200472933766	0.00497957331399179	0.000775037156813081	0.00568757756436512	0.00935126509639303	0.00920155849182991	0.00981361345297926	0.0111922505615255	0.0109085937256031	0.0192268741301443	0.0124692121461526	0.00703421280143007	0.0124030385248321	0.00845689919546314	0.00704157981624922	0.0202830211592447	0.0104531686470541	0.0175374838715905	0.0138767512295676	0.0129098116380223	0.00603627736241024	0.00732184622504519	0.0106562867941679	0.0165385006496374	0.00484562480301585	0.00770100785390038	0.0092659711087415	0.0156754823691995	0.00465860646812034	0.00938780747485853	0.00263846094765719	0.00583897017687317	0.00983235158189045	0.00655639984675938	0.00273494671799266	0.00528837281614748	0.0139135344657109	0.00850298953622999	0.0363791959512099	0.14821990771964	0.0121194970062119	0.00541272996674166	0.0210979606498035
HMEC_4_G2_3E_3	0.0261147101681029	0.0134622894032036	0.0248442716661031	0.0157197542483776	0.0227183848605874	0.0112398961989904	0	0.0262275732458139	0.0168476006818571	0.0192488725457663	0.0216477047648545	0.0202059238471955	0.0254195307126178	0.0153932717852731	0.00759987949141435	0.00775642169299574	0.00962358576205935	0.0162555439093324	0.0150409217710111	0.0219817074374536	0.0213311456341535	0.0173914651647087	0.00626044921837726	0.0104648919717256	0.0169270817380253	0.0205903759107522	0.0204406875519176	0.0210526667470834	0.0224311218291488	0.0221475037328687	0.0304643697251381	0.0237079007450079	0.00420580318109502	0.0236417369225959	0.0196961162583208	0.0182809515138926	0.0315202957361279	0.0216921394571253	0.0287753135228376	0.0251152227740337	0.0241484340652129	0.0172757488627318	0.0185611886139849	0.0218952306988049	0.0277765165813236	0.0160852037442346	0.0189403095609496	0.0205050923411617	0.0269136525055363	0.0158982012259714	0.0206269138074071	0.0138782082513483	0.0170784602879047	0.0210714025074849	0.0177958207508948	0.013974687496993	0.0165279131670154	0.0251520001167498	0.00273700083103935	0.0476119303071041	0.137059307210619	0.0233582369783719	0.0166522591885658	0.00985890172018001
HMEC_4_G2_3G_2	0.000112891424644765	0.0127669259037632	0.00138363188662426	0.0105093991182952	0.00350995376166166	0.0149892849404874	0.0262275732458139	0	0.0430683361790386	0.00697998803520361	0.00458081977337291	0.00602281599233913	0.000808240006319162	0.0108358965767715	0.0186290425702244	0.0184725166866746	0.0166055114126327	0.042476608733362	0.0111882604820975	0.00424676148685779	0.0048974296202117	0.00883757936652538	0.0199683142456396	0.0157642551106403	0.0093019984107348	0.00563831044760661	0.00578801996906727	0.00517595151952334	0.0037972688546332	0.00408093678275342	0.00423804072219457	0.00252024629034862	0.0220226510707817	0.00258642351616578	0.00653269009850058	0.00794801321504302	0.00529433162647914	0.00453637780694763	0.00254844636072737	0.00111261901555425	0.00207962155945184	0.00895330493154455	0.0076677478180506	0.00433325283175325	0.00154935749006635	0.0101439304124846	0.00728858618165771	0.00572360612745698	0.000686256922626514	0.0103309430806658	0.0056017673195458	0.0123510029730161	0.00915060870569182	0.00515721291236675	0.0084331893898355	0.0122545223077109	0.00970119428571535	0.00107583317933983	0.023491183558132	0.0213942666731014	0.163082955349562	0.0028699799289186	0.00957684008682307	0.0360831126357493
HMEC_4_G2_3G_3	0.0429555206805602	0.0303074329513925	0.0416856068041294	0.032564269392599	0.0395605529763693	0.0280855974005266	0.0168476006818571	0.0430683361790386	0	0.0360922797638846	0.0384902711610401	0.0370490041373118	0.0422606307886709	0.0322378816802809	0.024446363793575	0.024602875638281	0.0264696546271244	0.000592114134598945	0.0318856324551666	0.038824151113502	0.038173827065817	0.034235474615238	0.0231071810860147	0.0273107734428268	0.0337712351138029	0.0374333216853192	0.0372836859180663	0.037895448350255	0.0392733981984404	0.0389898859781818	0.0473032314472254	0.040549688127881	0.0210528724815633	0.0404835501424048	0.0365393721067104	0.0351246778715711	0.0483586486179759	0.0385346896067059	0.0456149601059845	0.0419564477094029	0.0409900480332878	0.0341197944253057	0.0354048237615808	0.0387377062809722	0.044616610474233	0.0329296112752193	0.0357838197725622	0.0373480681132648	0.0437541227928987	0.0327426640283051	0.0374698467026483	0.0307232407186544	0.0339225670389389	0.0379141774013472	0.0346397027175509	0.0308196938943041	0.0333721881349363	0.0419932100234114	0.0195842800013963	0.0644407810573765	0.120308026107038	0.040200160289125	0.0334964964892337	0.00698911045988943
HMEC_4_G2_4A_1	0.00686709861529915	0.00578712758651859	0.00559637615613429	0.00352950644553734	0.00347006570684637	0.00800960482528216	0.0192488725457663	0.00697998803520361	0.0360922797638846	0	0.00239919660849915	0.000957186900385503	0.00617176092199577	0.0038560159436506	0.0116496100787175	0.0114930721694342	0.00962593298777655	0.0355004357607797	0.0042083934525224	0.00273325649245298	0.00208258471696172	0.00185763357600508	0.0129889896956386	0.00878462210511095	0.00232206594296291	0.00134169708797937	0.00119198584909734	0.00180406059213236	0.00318275036628294	0.0028990817758823	0.0112179055238023	0.00445977076807164	0.0150435096269218	0.00439359386135941	0.00044730546541277	0.000968044987919473	0.0122741511155885	0.00244363882058885	0.0095283715139328	0.00586738588994093	0.00490039279736852	0.00197336235758993	0.000687773361867689	0.0026467647891339	0.00852931132332775	0.00316402490831937	0.00030860393918972	0.00125640044375543	0.00766623134830906	0.00335104405722256	0.00137824061768513	0.00537118532149904	0.00217067177381289	0.00182279936148429	0.00145323289754526	0.0052747002970417	0.00272127415098578	0.00590417127101622	0.0165121859871068	0.0283726651549894	0.156164985381356	0.00411003855931596	0.00259691602283206	0.0291057896832488
