	HMEC_4_1	HMEC_4_2	HMEC_4_G2_3E	HMEC_4_G2_3F	HMEC_4_G2_3G	HMEC_4_G2_4A	HMEC_4_G2_4B	HMEC_4_G2_4C	HMEC_4_G2_4D	HMEC_5_1	HMEC_5_2	HMEC_5_3	HMEC_5_4	HMEC_5_5	HMEC_5_6	HMEC_5_7	HMEC_5_8	HMEC_5_9	HMEC_Root1	HMEC_Root2	HMEC_STAT_2	HMEC_STAT_3	HMEC_STAT_4	HMEC_STAT_G2_3B	HMEC_STAT_G2_3C
HMEC_4_1	0	0.00212632570517393	0.0136057570501789	NA	0.00138363188662426	0.00463919842457652	0.0172455741891371	0.017089045473609	0.0410938545702471	0.00286313583761499	0.0185848710954877	0.00440440114838026	0.00241364167081292	0.00562166032712167	0.00656440803704007	0.00315275325581666	0.000271013025863106	0.00628414060197754	0.00876034396125881	0.00590497633540585	0.0109674402609642	0.00704958792852987	0.00831760366552658	0.0221078153049843	0.00819324833136806
HMEC_4_2	0.00212632570517393	0	0.0114795535110614	NA	0.00350995376166166	0.00251288188241922	0.0151194520378119	0.0149629194028802	0.0389687642735111	0.00073681179221151	0.0164587840165876	0.0022780833306488	0.000287316511745373	0.00774795159723517	0.00443810520649	0.00102643009637643	0.00239733821904842	0.00415783541507873	0.00663406383239823	0.00377866815593161	0.00884119050691348	0.0049232894669416	0.00619131835507649	0.0199818335927538	0.00606696162041516
HMEC_4_G2_3E	0.0136057570501789	0.0114795535110614	0	NA	0.0149892849404874	0.00896676654484697	0.00364012888336502	0.00348358407643563	0.0274936456013816	0.0107427750930381	0.00497957331399179	0.00920155849182991	0.0111922505615255	0.0192268741301443	0.00704157981624922	0.0104531686470541	0.0138767512295676	0.00732184622504519	0.00484562480301585	0.00770100785390038	0.00263846094765719	0.00655639984675938	0.00528837281614748	0.00850298953622999	0.00541272996674166
HMEC_4_G2_3F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMEC_4_G2_3G	0.00138363188662426	0.00350995376166166	0.0149892849404874	NA	0	0.00602281599233913	0.0186290425702244	0.0184725166866746	0.042476608733362	0.00424676148685779	0.0199683142456396	0.00578801996906727	0.0037972688546332	0.00423804072219457	0.00794801321504302	0.00453637780694763	0.00111261901555425	0.0076677478180506	0.0101439304124846	0.00728858618165771	0.0123510029730161	0.0084331893898355	0.00970119428571535	0.023491183558132	0.00957684008682307
HMEC_4_G2_4A	0.00463919842457652	0.00251288188241922	0.00896676654484697	NA	0.00602281599233913	0	0.0126067455831433	0.0124502089901165	0.0364571748671535	0.00177607130386231	0.0139461132456325	0.000234799047302275	0.00222556596418832	0.0102607593993006	0.00192523123242266	0.00148645320087296	0.00491020916545423	0.0016449598639965	0.00412120722529759	0.00126579070200635	0.00632836028806809	0.00241041856544801	0.00367845753198854	0.0174692721859323	0.00355409967798294
HMEC_4_G2_4B	0.0172455741891371	0.0151194520378119	0.00364012888336502	NA	0.0186290425702244	0.0126067455831433	0	0.000156545525367205	0.0238543721045366	0.0143826989835766	0.00133945321407223	0.0128415307247669	0.014832159152333	0.022866417226081	0.0106816090893502	0.0140931021079692	0.0175165571195217	0.0109618688015214	0.00848569928926059	0.0113410210366469	0.00627856793862374	0.0101964402166231	0.00892843922135075	0.0048629150186104	0.00905279400824765
HMEC_4_G2_4C	0.017089045473609	0.0149629194028802	0.00348358407643563	NA	0.0184725166866746	0.0124502089901165	0.000156545525367205	0	0.0240108855482069	0.0142261651125447	0.00149599862639463	0.0126849944707163	0.0146756260279329	0.0227099014036341	0.0105250699560753	0.0139365677682301	0.0173600289412	0.0108053300115419	0.00832915777819044	0.0111844827254614	0.00612202459400892	0.0100399005103937	0.00877189814519356	0.00501945916614024	0.00889625305829527
HMEC_4_G2_4D	0.0410938545702471	0.0389687642735111	0.0274936456013816	NA	0.042476608733362	0.0364571748671535	0.0238543721045366	0.0240108855482069	0	0.0382323502319209	0.0225151761429919	0.0366918603225026	0.0386816047185066	0.0467115851318546	0.0345328193714297	0.037942884002555	0.0413647002650878	0.0348129694170101	0.0323377213890325	0.0351919711039489	0.0301313213801612	0.0340478371037655	0.0327803044093695	0.0189922438407457	0.032904614509236
HMEC_5_1	0.00286313583761499	0.00073681179221151	0.0107427750930381	NA	0.00424676148685779	0.00177607130386231	0.0143826989835766	0.0142261651125447	0.0382323502319209	0	0.0157220420714905	0.00154127249335321	0.000449495316120382	0.00848474540959011	0.00370129787656296	0.000289618385143315	0.00313414796249725	0.00342102748741014	0.00589726265521164	0.00304185948723768	0.00810439813287614	0.00418648327225603	0.00545451572788512	0.0192451254138332	0.00533015860497455
HMEC_5_2	0.0185848710954877	0.0164587840165876	0.00497957331399179	NA	0.0199683142456396	0.0139461132456325	0.00133945321407223	0.00149599862639463	0.0225151761429919	0.0157220420714905	0	0.0141808953169568	0.0161714955269072	0.0242055997554108	0.0120209998792794	0.0154324494156488	0.0188558492336134	0.0123012564513808	0.00982511201287709	0.0126804043154906	0.00761799794756602	0.0115358362599875	0.0102678479034014	0.00352347007596185	0.0103922015205628
HMEC_5_3	0.00440440114838026	0.0022780833306488	0.00920155849182991	NA	0.00578801996906727	0.000234799047302275	0.0128415307247669	0.0126849944707163	0.0366918603225026	0.00154127249335321	0.0141808953169568	0	0.00199076730033859	0.0100259692974313	0.00216002992065129	0.00125165431445876	0.00467541210835434	0.00187975864429606	0.0043560047239116	0.00150058958537477	0.00656315575627921	0.00264521706226179	0.00391325533719726	0.0177040447324637	0.0037888975632665
HMEC_5_4	0.00241364167081292	0.000287316511745373	0.0111922505615255	NA	0.0037972688546332	0.00222556596418832	0.014832159152333	0.0146756260279329	0.0386816047185066	0.000449495316120382	0.0161714955269072	0.00199076730033859	0	0.00803526146715347	0.00415079064695014	0.000739113665479145	0.00268465404593593	0.00387052060909029	0.00634675177688477	0.00349135304287315	0.008553881989448	0.00463597537323304	0.00590400571300438	0.0196945584379184	0.00577964882100459
HMEC_5_5	0.00562166032712167	0.00774795159723517	0.0192268741301443	NA	0.00423804072219457	0.0102607593993006	0.022866417226081	0.0227099014036341	0.0467115851318546	0.00848474540959011	0.0242055997554108	0.0100259692974313	0.00803526146715347	0	0.0121859015887402	0.00877435579570745	0.00535065033633508	0.0119056449211179	0.0143817419439134	0.0115264947053864	0.0165887222150999	0.0126710620744053	0.013939022514302	0.027728208467705	0.0138146728959136
