	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0122519913976236	0.0213329519721906	0.0343124186961835	0.0318512963180903	0.0458767160198373	0.0278597010598335	0.0191878800384523	0.0985471768670373	0.0830803800795992	0.0806395800053304	0.0496231562643944	0.0401456786830769	0.00936222646341019	0.00248157616932327	0.00980585515350407	0.0383608971919564	0.0351092566733191	0.0435027290862588	0.0345389636449733	0.0645567842983363	0.0314397746967966	0.0436056610377901	0.0470706376062008	0.0391774048699251	0.0276396470132934	0.0319346587535961	0.0412486464165905	0.177843683274031	0.178740713871772	0.175957818197037	0.0434769516196008	0.0266465575583608	0.0304007520345981	0.00988423468275987	0.0226311856947927	0.0226166018388115	0.0291432552338413	0.0328426489732571	0.0345499128430516	0.0193302094536313	0.018844193455954	0.0160033273840749	0.00796523845685066	0.00672163983371315	0.042338212178302	0.0424154331360774	0.0293585677246401	0.0387327363788511	0.0192654584842575	0.045569223986093	0.0446313686548582	0.032189683667335	0.0427737614060734	0.0379595649789158	0.0279494064292147	0.0412049059689961	0.0884711162132005	0.086119179065895	0.088885449693429	0.0444294363123422	0.0172457006686334	0.0317368155783013	0.0393518010678644	0.0275866813410246	0.0409271011098418	0.0391582963518056	0.0255346245343272	0.0460460324509676	0.0744488239964501	0.0582158895075462	0.0154783633821581
HMEC_4_1_2	0.0122519913976236	0	0.0102994754052544	0.0464973284515998	0.0440936378140151	0.05799358628006	0.0400991602082995	0.0310637514163415	0.110706409288843	0.0952428147106917	0.0928209240364825	0.0618544142924645	0.0523835669809987	0.0198434592296688	0.014707525537375	0.0133976896479663	0.0504537951698692	0.0472612523581539	0.0555664820806429	0.046712833588572	0.0767049413448389	0.0435582631698738	0.0558412664102363	0.0592795765405266	0.0512038317277144	0.0397354174992591	0.0439676662986241	0.0534324533893237	0.189754967012698	0.190681552738478	0.187916156535219	0.055593263806385	0.0388910011210825	0.0424830553596866	0.00238941173517683	0.0110708539684387	0.0107997449299082	0.0413532201203461	0.0450502406555446	0.046788738424883	0.00711417663110828	0.00693539507174875	0.00826348446724376	0.0197791038247595	0.00992380349411882	0.054573375030193	0.0545065538584525	0.0414958822779419	0.0509598749138598	0.0314416094087804	0.0577797804029397	0.0568472866327203	0.0443754015242119	0.0550098529283835	0.0499951123784995	0.0401532115004691	0.0533576327817901	0.10064973163883	0.098311646432443	0.10105701961954	0.0566606823271287	0.0293796191252998	0.0439616972220987	0.0514340136237723	0.0396769070197379	0.053006522468645	0.0513001245284883	0.0375484887512713	0.058218549904828	0.0865994301263168	0.0704304259433625	0.0273072667000803
HMEC_4_1_3	0.0213329519721906	0.0102994754052544	0	0.0545072035576497	0.0526208663894622	0.0656663263984	0.0487499119982185	0.0405119878766998	0.118674049691295	0.103102164096915	0.100804208165219	0.0702439294705425	0.0608106540690311	0.029816182310748	0.0235819096732227	0.017912681068149	0.0595657089159263	0.0551354718110674	0.0630920525183997	0.0556406351668689	0.0844441210312906	0.0513621372732858	0.0642739513039013	0.0673597004255958	0.0586688694677686	0.0475274185901988	0.051537179770703	0.0613918842066882	0.197195497366361	0.198300604475132	0.195595658930744	0.063279325922081	0.0473819135097897	0.0501986494566356	0.0121104874819603	0.00201250301696824	0.00291728737536557	0.0495262155213755	0.0531802182519046	0.0551705732752892	0.00730048538364386	0.00405507994121453	0.00681660288519455	0.0277866873526887	0.0164443843268485	0.0630709338440091	0.0621206941945127	0.0493834566582864	0.0591952585017254	0.0396141454013277	0.0658730215821949	0.0649806499535892	0.0524069211768367	0.0634556114280386	0.0574962427238411	0.0483071779010765	0.0611873889264696	0.108687183396841	0.106592491006308	0.109028520185505	0.064952482773826	0.0374760876743893	0.052205500159746	0.0590476638929013	0.0474550534226215	0.0605981621336184	0.0602965917598805	0.0451818671644489	0.066104271268195	0.094359831110881	0.078579246108905	0.0349136716251753
HMEC_4_2_1	0.0343124186961835	0.0464973284515998	0.0545072035576497	0	0.00468419915841211	0.0117052133110232	0.00788692926879085	0.0186412701590484	0.0644752452821736	0.0488894436126097	0.0464964450729713	0.0160055128923644	0.00710466616562149	0.0297198580438367	0.0318353348120605	0.0372447740510005	0.0112254723402043	0.00126065610370733	0.00967834969086583	0.00804256494783086	0.0302874723343073	0.00341708419711499	0.0103096920347222	0.0128788818212689	0.00612779940638537	0.00707128800760371	0.00423750642578926	0.00694541626349714	0.144192781295461	0.145114545077189	0.142317955641349	0.00934499961871949	0.00823076007234156	0.00469701108591709	0.0441125011250967	0.0561203816104695	0.0563188534872446	0.00522293880053774	0.00167407967939278	0.00306551000535938	0.0535960812665829	0.0527487479090257	0.0480707365959173	0.0268564197774537	0.0380817090037449	0.0094130072108523	0.00845934031171523	0.00516125263042825	0.00496560350525976	0.0150687173380215	0.0113889357664247	0.0105058819707905	0.00212460172197967	0.00958168426588769	0.00508309194025223	0.00638131783185626	0.00694746614859328	0.0543967343204512	0.0522719127061808	0.0547707660016986	0.0106414868625175	0.0171511944393118	0.00303008777115203	0.00567985032459524	0.00715684886946211	0.00713892663398938	0.0105426907620613	0.00952993796503384	0.0117450833198191	0.0402046532266025	0.0241305463358255	0.0196275973450326
HMEC_4_2_2	0.0318512963180903	0.0440936378140151	0.0526208663894622	0.00468419915841211	0	0.0153770301203035	0.00406821914468084	0.0147524498315459	0.0669092055209023	0.0515099257841805	0.0489805918600444	0.0177915015878398	0.00831055393325704	0.0263186870464431	0.0294085307908607	0.0359089433890521	0.0087881087117085	0.00594317030555969	0.0137983646587972	0.00462378735276814	0.0332304806901364	0.00560457175856038	0.0117655682678128	0.015538005343788	0.0107268583905899	0.00718021815189712	0.007211267137474	0.0102862989997598	0.146840709097537	0.147627366132248	0.144792301976797	0.013184208523731	0.00524583686978313	0.00641092998724592	0.041726946115731	0.054135417665786	0.0542495579327333	0.00402310941613409	0.00328248830311025	0.00289913691174205	0.0511463668323235	0.050575453961416	0.0463980206054622	0.0248606670275308	0.0362532654614497	0.0104993366425666	0.0125386380501884	0.00564816865640384	0.00718855829956886	0.0131084141691606	0.0140526829231248	0.0130714348159777	0.00391595013146911	0.0109317662095891	0.00974394581047777	0.00503547250658626	0.0106879920203771	0.0567843644331987	0.0543588524050429	0.0572341479847418	0.0126643413988036	0.0152579867779479	0.00230139840954591	0.0101125141969254	0.00729120488466092	0.0114172053136385	0.00873629412968589	0.00942218570010656	0.0149461121687026	0.0430047313342047	0.0264869265816036	0.0182051660395866
HMEC_4_2_3	0.0458767160198373	0.05799358628006	0.0656663263984	0.0117052133110232	0.0153770301203035	0	0.019269355787522	0.0300827541996005	0.0533007443078645	0.0375980856391697	0.0353529743175143	0.00831315228628123	0.00871258838236523	0.0413859939307485	0.0433981205059398	0.0481027459936587	0.0158226320215995	0.0107966272924925	0.00282352095309516	0.0158213921029728	0.0188402902754037	0.014457800203102	0.00745076004403448	0.00413534853604544	0.00713969724957252	0.0182868382188871	0.0141565926595629	0.00510697499257425	0.132882678648873	0.133891998932384	0.131117105279103	0.00240526687440663	0.0198783332780432	0.0155498686807221	0.0556086079161934	0.0673417343467332	0.0675955725011711	0.0169239696173219	0.0133073688144954	0.0125044891818651	0.0650924960851938	0.064103044924295	0.0591050166843742	0.03827025339695	0.0492992646925756	0.0083837092692478	0.00356827541361348	0.016532150245098	0.00842421204814387	0.0266304438064247	0.00393062071078821	0.00438357749814295	0.013796434616218	0.00776606207044733	0.00824327424778067	0.0180601219293339	0.00477314576539658	0.0433069682073997	0.0415454507913719	0.0436019927388246	0.0059358617567575	0.0286526607753847	0.0145817521701767	0.00663476870356566	0.0183478577258501	0.00509691526347834	0.0143373322247334	0.0205462774283713	0.00198840243615145	0.0288014146761834	0.0136637734006681	0.0308539897363871
HMEC_4_G2_3E_1	0.0278597010598335	0.0400991602082995	0.0487499119982185	0.00788692926879085	0.00406821914468084	0.019269355787522	0	0.0108250798340308	0.0709477387718714	0.0555674191246845	0.053032415920802	0.0218190009281621	0.0123575286435032	0.0222682604993474	0.0254297504659633	0.03228449630285	0.0114975825254296	0.00907847348750796	0.0174899976397283	0.00721164839441837	0.0372877104049622	0.00698332140427434	0.0157952967754296	0.0195990961902334	0.0139688363415803	0.00615987843963246	0.00854975315113286	0.0142242965377115	0.15083343423475	0.151612185350176	0.148777178597714	0.0170045649439859	0.00178105889293345	0.00706680176212903	0.037738276303092	0.0502340038264198	0.0503249988655672	0.00374903115162992	0.00621625185436918	0.00693022587671066	0.0471389900113018	0.0466273025265644	0.0426068836547807	0.0210311690510506	0.0324319786512858	0.0145010263683882	0.0162459751511341	0.00568274706748062	0.011230224660148	0.00948784386817371	0.0181105550456544	0.0171320965158005	0.00619388410000347	0.0149589981721817	0.0128508600323866	0.00370103461825286	0.0145212519795241	0.0608244468174626	0.0583644065633791	0.0612802469183515	0.0167281670144716	0.0116033147916976	0.00485728472525664	0.013565120325003	0.00625334732223021	0.0149975428225957	0.0118684876250102	0.00758994812918381	0.018948068401923	0.0470669053910764	0.0305453548348111	0.0147254579985894
HMEC_4_G2_3E_2	0.0191878800384523	0.0310637514163415	0.0405119878766998	0.0186412701590484	0.0147524498315459	0.0300827541996005	0.0108250798340308	0	0.0810004087488603	0.0658322757907218	0.063210064511567	0.0319586211634973	0.0227388556256061	0.0119041557357966	0.0170183597373204	0.0259995604077862	0.0195417254876711	0.0197791118817891	0.0282938441692743	0.0161421962252676	0.0478357481952638	0.0169923820983273	0.0260353609099924	0.0301862655426136	0.0246074350279568	0.014248351762619	0.0182477006548561	0.0250196158324939	0.160838908828851	0.16149502209209	0.158632234266923	0.027826266663163	0.0105102670136332	0.0165280023899173	0.0288014191298079	0.0417734495997197	0.04170298950087	0.013766538019949	0.0169693929337751	0.0176508018977012	0.0378823333533439	0.0378812111607048	0.0349829833106644	0.0143674604929916	0.0249451900275908	0.0246651666257205	0.0270560701813826	0.0150729386227262	0.0219230646240581	0.00866422839494012	0.0287239079016338	0.0277340241099503	0.0167655442256859	0.0252049078096076	0.0234382195670914	0.0129343746288598	0.0253427209020837	0.0708845363307006	0.0681790199493978	0.0713994404536995	0.0271566719905726	0.00912264040948359	0.0156260308462325	0.0243077469263457	0.0142716641982775	0.0257768777368989	0.0205224962309044	0.0136463073069154	0.0296923289879785	0.0574897393771432	0.0408294686945321	0.0118782383648363
HMEC_4_G2_3F_1	0.0985471768670373	0.110706409288843	0.118674049691295	0.0644752452821736	0.0669092055209023	0.0533007443078645	0.0709477387718714	0.0810004087488603	0	0.0157639181650908	0.0180168524517386	0.0492051365850642	0.0586255662834706	0.0928287582424642	0.0960951927565612	0.101244701035387	0.0619224111151626	0.0637996907561434	0.0559500886962683	0.0649229782006334	0.0345350493336171	0.0675618490011711	0.0552043282259176	0.0516513237639381	0.0603762071802925	0.0713928579709555	0.0674072175693593	0.0575617605902744	0.0807998198221438	0.0814401837903977	0.0785454043328617	0.0556746738909541	0.0720443376137642	0.0687200149230146	0.108341247669217	0.120308049501434	0.120522097603925	0.069562637305481	0.0658767060533784	0.0641556933107308	0.117743945815347	0.116979802580618	0.112183340850408	0.0912314516735159	0.102360840135071	0.0565257936731452	0.05686004340015	0.0695564730794563	0.0599617325920503	0.079471294996342	0.0531498799275959	0.0540768400027827	0.0665880399964985	0.0560399255682062	0.0615155686855404	0.0707667236825234	0.0577407588312066	0.0101618122553003	0.0134136352255551	0.0097293247149548	0.0542911152272356	0.0815632192703514	0.0669483267701294	0.0599184706766255	0.071463393792422	0.0583858438404153	0.0607379618295996	0.0737275996760391	0.0528248460557338	0.024633837002276	0.0404887982153972	0.0839711510170561
HMEC_4_G2_3F_2	0.0830803800795992	0.0952428147106917	0.103102164096915	0.0488894436126097	0.0515099257841805	0.0375980856391697	0.0555674191246845	0.0658322757907218	0.0157639181650908	0	0.00300237524597801	0.0339242661379854	0.0432483602546551	0.0776313845354297	0.0806172407882948	0.0855963196988953	0.0470713782379175	0.0481755353797693	0.040229218246724	0.049797503835398	0.0187889376187491	0.0519292535963355	0.03987102417037	0.0361049691304044	0.0446618958710785	0.0557670191087126	0.0517322408026632	0.0419557964409453	0.0959684951989875	0.0968091016152335	0.0939723988212067	0.0399827362546632	0.0565955847751911	0.0530734049220936	0.0928692751861595	0.104756211109759	0.104988072901514	0.0540224205184503	0.0503276285059334	0.0487094622011093	0.102305742902314	0.101465412973944	0.0965739996451229	0.0756725578158369	0.0867717035732733	0.0412247778510926	0.0411569639996052	0.0539455389175948	0.044468615990667	0.063924651077883	0.0376071114802067	0.0385534289630253	0.0510091513257911	0.0407057227545722	0.0458099875236561	0.0552200794979656	0.0420923668634236	0.00622852471260049	0.00750562646165544	0.00618584616620146	0.0388644013958791	0.0660042908062572	0.0514352385946845	0.0442255427078372	0.05583525143353	0.0426837865943241	0.0458003156812049	0.0580829127051823	0.0371858906553533	0.00887414326688719	0.0250681142620249	0.0683558194227129
