	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00219419050478251	0.00283037556587535	0.0017440493804293	0.00012168068413671	0.00641326810360011	0.00866365961174297	0.0168607091087144	0.00136290179109675	0.0154455261443603	0.00117473509081731	0.00766645396586178	0.00493468481288348	0.00162418467518872	0.00490075966386477	0.000756243042080033	0.00728576178366274	0.0130781313203325	0.000763178259855033	0.00845606973969067	0.0184775472565152	0.000400893756837317	0.00398879423981472	0.0104104135575678	0.00508436168591538	4.81011699560991e-05	0.00379002635542614	0.00716256992305451	0.0047165217798683	2.13227148546674e-05	0.00291752683586451	0.00429856856568133	0.00252453149930506	0.00313496521329384	0.00751792387209724	0.000582077309646955	0.00192643721276578	0.0103783746607291	0.00472681333616566	0.00574876840711888	0.00334028901725256	0.0071977755656341	0.00706637758397818	0.00411320383449985	0.000885916699954566	0.000236060616949307	0.0141853201978834	0.00765633792805444	0.00944920761029179	0.00651469752198568	0.00205371896690998	0.00426308015865116	0.00584245241953594	0.00126762196000093	0.00462384696224508	0.00130354838898467	0.00417658340659321	0.00550887280200537	0.00268619978782742	0.00182599192616191	0.00143135062578995	0.00689846929922335	0.00209205285930186	0.000391844975607717	0.00389946346265171	0.000594377541838066	0.00336922335410284	0.00998861311976959	0.00769783857170968	0.0079908646351009	0.00586006046208405	0.0130146962455559	0.0105249844416323
HMEC_4_1_2	0.00219419050478251	0	0.0050245537269324	0.00393823391852305	0.00207251004040272	0.00860741082865213	0.0108577688374794	0.0190546237445191	0.00355708808310862	0.01763948245369	0.00336892215612966	0.00986057910229123	0.00712884483385053	0.000570006636058021	0.00270658074274748	0.00295043160711542	0.00947989254684475	0.0152721498304253	0.00143101319549626	0.0106501824172328	0.0206714101837093	0.00259508335703266	0.00618296335765461	0.0126044908361278	0.00727852012656763	0.00224229158041658	0.00598419718921989	0.0049684105523777	0.00691068403537976	0.00217286782952344	0.00511170439705982	0.00210438595679859	0.000330341721415639	0.00532914122066712	0.0097120512332816	0.00161211401182884	0.00026775374166743	0.0125724525718956	0.00692097548808656	0.00794291936880862	0.00553446348256868	0.00939190759408716	0.00926051147735091	0.00630737184369378	0.00308010483269101	0.0024302506226048	0.01637931079068	0.00985046321717872	0.0116433031102306	0.00870883892330289	0.00424790189494286	0.00206889735228393	0.00364828054301175	0.0034618086512301	0.00681801014224794	0.000890643126773238	0.00198240012823816	0.00331469825158944	0.00488037891252183	0.00402017605434502	0.000762840829944574	0.00470430718058822	0.00428623557649659	0.0025860345992725	0.00609363336009065	0.00159981379051349	0.00117503630240641	0.0121826985874072	0.00989196323321383	0.0057967146826387	0.00805421009700173	0.0152087162925991	0.0127190594437247
HMEC_4_1_3	0.00283037556587535	0.0050245537269324	0	0.0010863283002008	0.00295205584815326	0.00358291809404384	0.00583334015792827	0.0140305945899086	0.00146747600794365	0.0126153658199376	0.00165564264693342	0.00483611959630986	0.00210432080932372	0.00445455214414085	0.00773109271863223	0.00207413427587711	0.0044554222969812	0.0102479040649944	0.00359355075859438	0.00562574700066677	0.0156474903574258	0.00242948289722234	0.00115842382262916	0.00758012549156582	0.0022539988789742	0.00278227454602858	0.000959654842912996	0.00999286503736691	0.00188615612107731	0.00285169821346772	8.71515536067189e-05	0.00712890976476869	0.00535489192544659	0.000304590712125117	0.00468758746807509	0.00341245065437607	0.00475680252086391	0.00754808595883235	0.00189644775307937	0.00291841151037345	0.000509915350136871	0.00436743494168156	0.00423603529340971	0.00128283414758531	0.00194446078999797	0.00259431563346941	0.0113551227313921	0.00482600341839337	0.00661890144451466	0.00368434864946639	0.000776658378944941	0.00709342181208722	0.00867277109038362	0.00156275581787893	0.00179348063221685	0.00413391792565571	0.00700692615547455	0.00833919679829466	0.000144176210097431	0.00100438568669433	0.00426171936597753	0.00972876944359916	0.000738324430110437	0.00243853165783434	0.00106909254236017	0.00342475083140772	0.00619957551186789	0.00715831686200202	0.00486750463825278	0.0108211429422853	0.00302970465080826	0.0101844673641886	0.00769469866793478
HMEC_4_2_1	0.0017440493804293	0.00393823391852305	0.0010863283002008	0	0.00186572990774994	0.0046692392623503	0.0069196512797409	0.0151168331759675	0.000381147947225463	0.0137016209304494	0.000569314750155361	0.00592243569802295	0.00319064624402151	0.00336823027988762	0.00664478651072612	0.000987806852852393	0.0055417400783052	0.0113341830969213	0.00250722632057694	0.00671205922831374	0.0167337080348717	0.00134315599452859	0.0022447510122253	0.00866642587109357	0.0033403239662168	0.00169594826726439	0.00204598230437862	0.0089065750808126	0.00297248202808594	0.00176537207002788	0.00117347981002237	0.00604259998114856	0.00426857343696251	0.00139091883126996	0.00577390423968693	0.00232612575633582	0.00367048171177572	0.00863438655850383	0.00298277363871186	0.00400473482560632	0.00159624330257438	0.00545375309376824	0.00532235398700073	0.00236916114984233	0.000858133204127061	0.00150798900898349	0.0124413911566908	0.00591231956631766	0.00770520805300368	0.00477066945714833	0.00030967002414062	0.0060071118275727	0.00758647110659537	0.00047642783626659	0.0028798067276021	0.00304759502823039	0.00592061568590248	0.00725289452137861	0.000942152148299994	8.19426484098726e-05	0.00317539686975202	0.00864247735920881	0.000348003979837037	0.00135220476981914	0.00215541985832137	0.00233842596373925	0.00511326082792917	0.00824462007058349	0.00595382059603299	0.00973486005508067	0.00411602763257151	0.0112707469728382	0.00878099825322223
HMEC_4_2_2	0.00012168068413671	0.00207251004040272	0.00295205584815326	0.00186572990774994	0	0.00653494677893506	0.00878533665427567	0.0169823761789192	0.00148458237750441	0.0155671953843121	0.00129641570135344	0.00778813179107598	0.00505636429958237	0.00150250410901522	0.00477908011244462	0.000877923693978106	0.0074074398828631	0.0131998037732472	0.00064149759979504	0.00857774695291728	0.0185992116205529	0.000522574430581498	0.00411047413642613	0.010532089003013	0.00520604109993419	0.000169781852786337	0.00391170632730399	0.00704089168195007	0.00483820136866057	0.000100357968506918	0.00303920709358887	0.00417688874953692	0.0024028511082055	0.00325664540661042	0.00763960180585958	0.000460396638615144	0.00180475669664777	0.0105000501380564	0.00484849292025022	0.00587044747281595	0.00346196914557843	0.00731945372620609	0.00718805583482638	0.0042348836820392	0.0010075973407851	0.000357741296479298	0.014306991213203	0.00777801576071214	0.00957088397015222	0.00663637613406695	0.00217539943585466	0.00414140032801986	0.00572077335293197	0.00138930255909123	0.0047455265930659	0.00118186777940157	0.00405490354113935	0.005387193553781	0.0028078801091203	0.0019476724389272	0.00130967003236243	0.00677679087933644	0.00221373332044982	0.000513525649800171	0.00402114339354827	0.000472696871543494	0.00324754319868832	0.0101102889771981	0.00781951637371384	0.00786918699908911	0.00598173946531055	0.0131363687773653	0.0106466597722773
HMEC_4_2_3	0.00641326810360011	0.00860741082865213	0.00358291809404384	0.0046692392623503	0.00653494677893506	0	0.00225044042586543	0.0104478803029951	0.00505038367832914	0.00903260631587342	0.00523854854087735	0.0012532099858214	0.00147860164899249	0.0080374197678768	0.011313887199287	0.00565703585984147	0.000872509645974737	0.00666508119717373	0.00717643252304701	0.00204284498412613	0.0120648344267684	0.00601238043224092	0.00242449821366177	0.00399724972369399	0.00132892341607351	0.00636516770739323	0.00262326678527838	0.0135755910765829	0.00169676646268856	0.00643459047263132	0.00349576696847699	0.0107117199908135	0.00893774250541989	0.00327832878443851	0.00110467662329182	0.00699533512489183	0.00833966468042126	0.00396520967522693	0.00168647482777884	0.000664509302161554	0.00307300494437272	0.000784521645426448	0.000653121073680063	0.00230008808774596	0.00552736376242567	0.00617721116893453	0.00777232758099339	0.0012430937218701	0.00303601144168012	0.000101431079387289	0.00435957171336244	0.0106762329336239	0.0122555388631527	0.00514566260126176	0.00178944196442075	0.00771679106170307	0.0105897394444886	0.0119219743231871	0.00372709354907608	0.00458729730293	0.0078445903399511	0.0133115042335839	0.00432123803949621	0.00602142908510753	0.00251382932426423	0.00700763512111166	0.0097824079995441	0.00357543453203512	0.00128459529643668	0.0144038402313915	0.000553215792602538	0.00660164301052745	0.00411182476764296
HMEC_4_G2_3E_1	0.00866365961174297	0.0108577688374794	0.00583334015792827	0.0069196512797409	0.00878533665427567	0.00225044042586543	0	0.00819751435560713	0.0073007916750231	0.00678221921673696	0.00748895445754803	0.000997231534040068	0.00372903723833024	0.0102877873058539	0.0135641920119256	0.00790743692492955	0.00137793183272725	0.00441466642815088	0.00942681335411334	0.000207595812849883	0.00981449685219843	0.00826277713337453	0.00467492869033933	0.00174681539809886	0.00357935966996622	0.0086155598537224	0.00487369598691416	0.0158258413189085	0.00394720101273844	0.008684981696561	0.00574618974779611	0.0129620377774073	0.0111880947256422	0.0055287532901828	0.00114576491075141	0.00924571858358382	0.0105900272378197	0.00171477518987839	0.00393690942874952	0.00291494802998083	0.0053234310035933	0.00146591978758364	0.00159732026581379	0.00455051932699098	0.00777776636408833	0.00842760576952928	0.00552192454851562	0.00100734780017754	0.000785573100944457	0.00214900953785279	0.0066099868077042	0.0129265514644351	0.0145058220779343	0.00739606955258124	0.00403987604761512	0.00996716370469249	0.0128400597797223	0.014172265371549	0.00597751439988471	0.00683771015105268	0.0100949609701392	0.0155617613244809	0.00657165350287914	0.0082718256721821	0.00476425923653846	0.00925801840317512	0.0120327445289036	0.00132499824630374	0.00096584621552447	0.0166540681751852	0.00280365485884404	0.00435122763329508	0.00186139102790031
HMEC_4_G2_3E_2	0.0168607091087144	0.0190546237445191	0.0140305945899086	0.0151168331759675	0.0169823761789192	0.0104478803029951	0.00819751435560713	0	0.0154979463163888	0.0014153253524572	0.0156860952974729	0.00919471687073042	0.0119264105672703	0.0184846957726624	0.0217607636680471	0.0161045462488423	0.00957540441969047	0.0037829005792163	0.0176237987169086	0.00840510464934059	0.00161703234504927	0.0164598588067044	0.0128722520960854	0.00645073455010045	0.0117767403726275	0.0168126132663622	0.0130710081712533	0.0240221394544671	0.0121445633367623	0.0168820294529577	0.0139434496693505	0.0211586765972769	0.0193849176240808	0.0137260266946511	0.00934324538299459	0.0174427195073352	0.0187869075673478	0.00648277427982428	0.0121342722787476	0.0111123597309484	0.0135207168603763	0.00966338929632041	0.00979478508552198	0.0127478496270763	0.0159748855746775	0.0166246743391467	0.00267563635197851	0.00920483281002225	0.00741195965890569	0.0103464534673832	0.0148071901568346	0.0211231941683153	0.0227022839391264	0.0155932172340605	0.0122372336043617	0.0181641013704762	0.0210367119156775	0.0223687667914044	0.0141747596429481	0.01503489778424	0.0182918870776659	0.0237580931323409	0.0147688594646083	0.0164689066307134	0.0129615776305617	0.0174550182767735	0.0202294823438479	0.00687254488098791	0.00916333256203054	0.0248502577229464	0.0110010714757902	0.00384633949008361	0.00633616057820065
HMEC_4_G2_3E_3	0.00136290179109675	0.00355708808310862	0.00146747600794365	0.000381147947225463	0.00148458237750441	0.00505038367832914	0.0073007916750231	0.0154979463163888	0	0.0140827401801259	0.000188166819072732	0.00630357806023363	0.0035717924826876	0.00298708384875193	0.00626364485089549	0.00060665899599755	0.00592288311371131	0.0117153112608786	0.0021260791761373	0.00709320005732802	0.017114813483501	0.000962008241840951	0.00262589807506029	0.00904756211258679	0.00372147004999256	0.00131480065571116	0.00242712950637955	0.00852543862472407	0.00335362848050303	0.00138422449075478	0.00155462748316412	0.00566145719940541	0.00388742799186744	0.00177206640833573	0.00615504686967069	0.00194497849038162	0.00328933558426918	0.00901552288428419	0.00336392008139315	0.00438588014127734	0.00197739077593689	0.00583489627865691	0.00570349739080941	0.00275030811949717	0.00047698531863771	0.00112684131762964	0.0128225153554237	0.00629346194697276	0.00808634669169597	0.00515181372425285	0.000690817939154501	0.00562596898317616	0.00720533142311207	9.52798967462453e-05	0.00326095326658097	0.00266644830524739	0.005539472690352	0.00687175410682127	0.00132329990813662	0.000463090590018935	0.00279425025933002	0.00826134021470819	0.000729151888861082	0.0009710570203837	0.00253656698512592	0.00195727870574751	0.00473211653160707	0.00862575739757278	0.00633496290082906	0.00935372589689381	0.00449717280670739	0.0116518753531237	0.00916213419081211
HMEC_4_G2_3F_1	0.0154455261443603	0.01763948245369	0.0126153658199376	0.0137016209304494	0.0155671953843121	0.00903260631587342	0.00678221921673696	0.0014153253524572	0.0140827401801259	0	0.0142708922369879	0.00777943041700672	0.0105111535176667	0.0170695431366368	0.020345681239878	0.0146893501707137	0.00816012157011076	0.00236758007917515	0.0162086296351782	0.00698981122840855	0.003032355050614	0.0150446688109566	0.0114570071505119	0.00503542682834681	0.0103614814984811	0.0153974294488555	0.0116557658953015	0.0226071125681176	0.0107293089909233	0.0154668468676282	0.0125282196305828	0.0197435803578582	0.0179697830753715	0.012310793527115	0.00792796031647327	0.0160275470722563	0.0173717609017951	0.00506746675876959	0.0107190178041835	0.00969709305693787	0.0121054807866094	0.00824810730243017	0.0083795043853898	0.0113326030328671	0.0145596873120983	0.0152094872127078	0.00126031282517459	0.00778954645000816	0.00599665844739616	0.00893117840686928	0.0133919730669507	0.0197080971277539	0.0212872239309237	0.0141780126503128	0.0108219804230314	0.0167489425129422	0.0196216129284296	0.0209536987264594	0.0127595329905036	0.0136196842464475	0.0168767306861347	0.0223430594613792	0.0133536417824797	0.015053716791703	0.0115463338793521	0.0160398460682957	0.0188143655933966	0.00545723989148896	0.00774804581829869	0.0234352526294986	0.00958580354296108	0.0024310192038626	0.00492085214793068
