	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.00983632076110055	0.0117551615416831	0.00987350537123959	0.00852736563653747	0.0107470292484021	0.0116601325738502	0.0141115844562528	0.00985203181494743	0.00974798072426973	0.014580734390687	0.0127851163617113	0.0120767009761955	0.0107734069244105	0.00994679173443929	0.00856817397813603	0.0106316934543561	0.0117194266095195	0.0148425192103486	0.0158711483141223	0.00984079179993665	0.00930727834564903	0.0130846849512818	0.00960072427649544	0.02055293755826	0.0113087741457529	0.0121612365263614	0.0104009304707083	0.0132207701304322	0.0117578443814294	0.0104962083460662
HT29_G1_2A	0.00983632076110055	0	0.0113631810777104	0.0096514097783968	0.00970497374290044	0.0116371377093046	0.013020358901756	0.0140136055555966	0.00908430285282316	0.00901486596112599	0.00976559121618988	0.0116224569272664	0.0111459228225138	0.0100848317585454	0.0106957467503841	0.00860143732143156	0.00979669378295117	0.0108808009453398	0.0137124771108167	0.0161150160645606	0.0109473263576829	0.00955124657106221	0.0129652400883672	0.0100455570448166	0.017835085784432	0.0105413320424156	0.0100516565059393	0.0105230447069821	0.0114000115552286	0.0117389948122994	0.0114274640841442
HT29_G1_3E	0.0117551615416831	0.0113631810777104	0	0.0102600454989383	0.00971506703416021	0.0145435025576712	0.0121482923465925	0.0156191956440993	0.0117683256180216	0.00944733255686369	0.0140520067169192	0.0109892206046133	0.0128093012078603	0.0112743545409994	0.0125519542265931	0.0115567775712022	0.00949401016585544	0.0121842957923994	0.0136051287569714	0.0159426380820986	0.0128019321299711	0.0110334796984795	0.0136863935529638	0.0126531688322809	0.0203439115239463	0.00992481280799068	0.0109603664487665	0.0107270424553869	0.0105965374542965	0.0121017916850036	0.0123311477439438
HT29_G1_3F	0.00987350537123959	0.0096514097783968	0.0102600454989383	0	0.00847112733036441	0.011891243979032	0.0109431391608517	0.0121161643764052	0.0101733201073833	0.0108126030216275	0.0130516923712434	0.0121751627218979	0.0119769134930028	0.00973508002486579	0.0098330356647281	0.00944678488550736	0.00976418248983298	0.0114955178171226	0.0132132762091703	0.0154874019738988	0.00979826973210563	0.0100297164247217	0.0128416841330942	0.0103537181115086	0.0195374336108814	0.0106049607125922	0.0116943502919937	0.0119913830949888	0.00935181745979407	0.0110768481860048	0.00976333836298848
HT29_G1_4A	0.00852736563653747	0.00970497374290044	0.00971506703416021	0.00847112733036441	0	0.0127719864257627	0.0105521991773155	0.0126233755417359	0.00810146429671484	0.00953969810054991	0.014152081650809	0.0124816255169324	0.0116218924948785	0.0101549878493964	0.00963767049105973	0.00852558224664977	0.00829385882839496	0.0107119129624617	0.0128995840018602	0.0150424471618668	0.00881675473999153	0.00845022910326915	0.0124871049308269	0.0093571886165197	0.0192321153634548	0.0104897600944953	0.0107994195119531	0.00982520356046488	0.0100836705550921	0.00946308317686554	0.00982643871344053
HT29_G1_4B	0.0107470292484021	0.0116371377093046	0.0145435025576712	0.011891243979032	0.0127719864257627	0	0.0126154024183281	0.0161094282004723	0.0129819532133632	0.0129415460659676	0.0148102811981004	0.0145100056693498	0.0135593344568725	0.0125390030843661	0.0108657241576455	0.00988830929760387	0.0129431308014725	0.0140356825882032	0.0169992557631113	0.0174794326251958	0.0121014387281698	0.011186578118123	0.0154809458949098	0.0128532999933852	0.0220922225378331	0.0135815493559356	0.0144017838084579	0.0148250226334043	0.0140279482685534	0.0127864777082598	0.0114232962344256
HT29_G1_4C	0.0116601325738502	0.013020358901756	0.0121482923465925	0.0109431391608517	0.0105521991773155	0.0126154024183281	0	0.0116467395633319	0.011163951884356	0.0115742095960541	0.0161124797870367	0.0134690940481974	0.0136077565608951	0.00990643610312577	0.0115642371413609	0.0113524009922505	0.0127120775178283	0.0123415036111779	0.0177980308983237	0.0162589286603607	0.0133446562712431	0.0115523728497128	0.0115891423891981	0.0109648548872096	0.0195408398923761	0.0123834129314818	0.012045476266728	0.00981308395467804	0.0121844765469112	0.0118857889495285	0.0112062673635972
HT29_G1_4F	0.0141115844562528	0.0140136055555966	0.0156191956440993	0.0121161643764052	0.0126233755417359	0.0161094282004723	0.0116467395633319	0	0.0126347458088889	0.0133268336028879	0.0165205066972082	0.016413978770708	0.0155771669990167	0.0115855436454531	0.0138476904495704	0.0131557170432038	0.012489654382921	0.0141569057297887	0.0155925522576269	0.0203635019725387	0.0141570885377192	0.0144691542725197	0.0143901810153435	0.0141214980288023	0.0234331437543823	0.0143374313100546	0.013146454486825	0.014760288190404	0.0122351661759759	0.0142545241623075	0.0149329405530244
HT29_G1_5A	0.00985203181494743	0.00908430285282316	0.0117683256180216	0.0101733201073833	0.00810146429671484	0.0129819532133632	0.011163951884356	0.0126347458088889	0	0.00861064182082271	0.0133632578876123	0.0129685411189966	0.011882836730941	0.0099332215429725	0.0106258469422971	0.00892320812381147	0.00973191401587456	0.0110754639648495	0.0132283133825186	0.014687661186982	0.0105418100157991	0.0101496708354425	0.0126488525183207	0.0111984938640867	0.0198738177081833	0.0105745470424393	0.0105866493148755	0.00977168126562167	0.0122456928406539	0.0122518668355119	0.0118516440705799
HT29_G1_5B	0.00974798072426973	0.00901486596112599	0.00944733255686369	0.0108126030216275	0.00953969810054991	0.0129415460659676	0.0115742095960541	0.0133268336028879	0.00861064182082271	0	0.0104693489031304	0.00867444621912135	0.0104353266505532	0.0104856701517545	0.0111202169183653	0.0083846288511495	0.00861908000778575	0.0106422706478456	0.012868708360334	0.0160220625558606	0.0116203054822823	0.0100385090634507	0.0128783917968564	0.0108909627846437	0.0218109377596084	0.00778600011177672	0.0095101523891047	0.00944520261298264	0.0110630352307384	0.011475871775552	0.0108070854038691
