Sample	JSDistance_HT29Root1	JF01_HT29_0.01_selected	JF01_HT29_0.01_JSD	JF12_HT29_0.01_selected	JF12_HT29_0.01_JSD	JF21_HT29_0.01_selected	JF21_HT29_0.01_JSD	JF27_HT29_0.01_selected	JF27_HT29_0.01_JSD	Nax10_HT29_0.01_selected	Nax10_HT29_0.01_JSD	Nax30_HT29_0.01_selected	Nax30_HT29_0.01_JSD	Nax4_HT29_0.01_selected	Nax4_HT29_0.01_JSD	Nax40_HT29_0.01_selected	Nax40_HT29_0.01_JSD	Nax47_HT29_0.01_selected	Nax47_HT29_0.01_JSD	Nax49_HT29_0.01_selected	Nax49_HT29_0.01_JSD	Nax50_HT29_0.01_selected	Nax50_HT29_0.01_JSD	Nax51_HT29_0.01_selected	Nax51_HT29_0.01_JSD	Nax56_HT29_0.01_selected	Nax56_HT29_0.01_JSD	Nax68_HT29_0.01_selected	Nax68_HT29_0.01_JSD	S1-17_HT29_0.01_selected	S1-17_HT29_0.01_JSD	S11-36_HT29_0.01_selected	S11-36_HT29_0.01_JSD	S1124_HT29_0.01_selected	S1124_HT29_0.01_JSD	S14-51_HT29_0.01_selected	S14-51_HT29_0.01_JSD	Sal102_HT29_0.01_selected	Sal102_HT29_0.01_JSD	Sal2_HT29_0.01_selected	Sal2_HT29_0.01_JSD	Sal22LA_HT29_0.01_selected	Sal22LA_HT29_0.01_JSD	Sal22UA_HT29_0.01_selected	Sal22UA_HT29_0.01_JSD	Sal27_HT29_0.01_selected	Sal27_HT29_0.01_JSD	Sal45_HT29_0.01_selected	Sal45_HT29_0.01_JSD	Sal46_HT29_0.01_selected	Sal46_HT29_0.01_JSD	Sal57_HT29_0.01_selected	Sal57_HT29_0.01_JSD	Sal66_HT29_0.01_selected	Sal66_HT29_0.01_JSD	Sal84_HT29_0.01_selected	Sal84_HT29_0.01_JSD	Sal87_HT29_0.01_selected	Sal87_HT29_0.01_JSD
HT29_G1_1B	0.528390890172221	NA	NA	HT29_G1_1B_2	0.136879292822085	HT29_G1_1B_2	0.042509581394736	HT29_G1_1B_3	0.00885663233523311	HT29_G1_1B_2	0.00214162332053896	HT29_G1_1B_3	0.00634916015547624	HT29_G1_1B_1	0.0113073848273262	HT29_G1_1B_3	0.0912163276589245	HT29_G1_1B_2	0.00814888274518236	HT29_G1_1B_1	0.0230167175489592	HT29_G1_1B_2	0.0042393364637437	HT29_G1_1B_2	0.00793501722896788	HT29_G1_1B_2	0.00854025527170342	HT29_G1_1B_3	0.0125891382059856	HT29_G1_1B_2	0.0114876268807505	HT29_G1_1B_2	0.00556693334373504	HT29_G1_1B_2	0.00662483360293092	HT29_G1_1B_1	0.00875428620764253	HT29_G1_1B_1	0.0199635752320224	HT29_G1_1B_2	0.0229672699122153	HT29_G1_1B_2	0.0236407640145839	HT29_G1_1B_1	0.0146957196703318	HT29_G1_1B_2	0.0116500143070646	HT29_G1_1B_2	0.00773221750396201	HT29_G1_1B_2	0.00934833662796927	HT29_G1_1B_2	0.00547377658439084	HT29_G1_1B_3	0.00769497572155659	HT29_G1_1B_2	0.0065414065680251	HT29_G1_1B_2	0.0025198040161773
HT29_G1_2A	0.347524691002701	NA	NA	HT29_G1_2A_3	0.0321910006553054	HT29_G1_2A_3	0.0343589386041807	HT29_G1_2A_2	0.0197265283489809	HT29_G1_2A_2	0.0168909320139722	HT29_G1_2A_3	0.00739403119769251	HT29_G1_2A_2	0.0101459961453837	HT29_G1_2A_2	0.0144647888422192	HT29_G1_2A_3	0.00872973340379358	HT29_G1_2A_2	0.0132100677914993	HT29_G1_2A_2	0.00225639527396997	HT29_G1_2A_2	0.00974545950396905	HT29_G1_2A_3	0.010500827008061	HT29_G1_2A_3	0.0077713065104605	HT29_G1_2A_3	0.0203154511050744	HT29_G1_2A_3	0.00929975713474675	HT29_G1_2A_2	0.0262656593980816	HT29_G1_2A_2	0.00442159666803963	HT29_G1_2A_2	0.00758507672782879	HT29_G1_2A_2	0.0106866264684572	HT29_G1_2A_2	0.0245050146489998	HT29_G1_2A_1	0.0024384658074351	HT29_G1_2A_2	0.00955385274643585	HT29_G1_2A_2	0.00845721426260902	HT29_G1_2A_1	0.0072888409150444	HT29_G1_2A_2	0.00184582312569834	HT29_G1_2A_3	0.0104913641696535	HT29_G1_2A_2	0.0116014190086655	HT29_G1_2A_2	0.00538252351644347
HT29_G1_3E	0.359093059857627	NA	NA	HT29_G1_3E_3	0.0254731635661708	HT29_G1_3E_1	0.0433125787549876	HT29_G1_3E_2	0.000692093233398644	HT29_G1_3E_1	0.00806408515031174	HT29_G1_3E_3	0.0287529413699198	HT29_G1_3E_2	0.0088338764218522	HT29_G1_3E_3	0.00232216279644784	HT29_G1_3E_2	0.0020043029364039	HT29_G1_3E_2	0.014923087926298	HT29_G1_3E_3	0.0103521640101899	HT29_G1_3E_2	0.0253073317566294	HT29_G1_3E_3	0.00459004210754921	HT29_G1_3E_3	0.00511407883899096	HT29_G1_3E_2	0.0131014884250673	HT29_G1_3E_2	0.00260462419629376	HT29_G1_3E_2	0.0227499339125836	HT29_G1_3E_1	0.0241103549660029	HT29_G1_3E_1	0.0111439754490704	HT29_G1_3E_2	0.000880250130055181	HT29_G1_3E_1	0.0345156136160702	HT29_G1_3E_2	0.00377245453535776	HT29_G1_3E_1	0.0128497349848524	HT29_G1_3E_2	0.00974019795100908	HT29_G1_3E_1	0.00603981555986994	HT29_G1_3E_2	0.00721411621998897	HT29_G1_3E_3	0.0127174775183486	HT29_G1_3E_1	0.00773430146694208	HT29_G1_3E_2	0.0101768120569652
HT29_G1_3F	0.299979129908507	NA	NA	HT29_G1_3F_2	0.0230579252583875	HT29_G1_3F_3	0.038226223731523	HT29_G1_3F_3	0.0139719125411124	HT29_G1_3F_2	0.00419756930034911	NA	NA	HT29_G1_3F_2	0.0097743176817918	NA	NA	HT29_G1_3F_1	0.00576669631551255	HT29_G1_3F_2	0.0102388901851853	HT29_G1_3F_3	0.00465833646975253	HT29_G1_3F_2	0.0130799309991238	HT29_G1_3F_2	0.00233124840888375	HT29_G1_3F_1	0.0132980981143989	HT29_G1_3F_2	0.0120731229854684	HT29_G1_3F_2	0.00458967302163123	HT29_G1_3F_1	0.0200813542736146	HT29_G1_3F_2	0.0133561616516388	HT29_G1_3F_1	0.00631506212302555	HT29_G1_3F_1	0.00495844836594451	HT29_G1_3F_3	0.0157797700703629	HT29_G1_3F_1	0.0111012092834671	HT29_G1_3F_1	0.0141213970991857	HT29_G1_3F_1	0.0105930588647647	HT29_G1_3F_1	0.0127407594455174	HT29_G1_3F_3	0.0136953717779642	HT29_G1_3F_3	0.00913673369511926	HT29_G1_3F_2	0.00816217905193108	HT29_G1_3F_2	0.00467367919285116
HT29_G1_4A	0.311238849107501	NA	NA	HT29_G1_4A_2	0.063340654530239	HT29_G1_4A_3	0.0461120418729574	HT29_G1_4A_3	0.0044683443707319	HT29_G1_4A_2	0.00344501023775173	HT29_G1_4A_3	0.0113211151556231	HT29_G1_4A_1	0.0102963739742243	NA	NA	HT29_G1_4A_2	0.00833117697598068	HT29_G1_4A_2	0.0176909373559764	HT29_G1_4A_3	0.00261911671552439	HT29_G1_4A_2	0.0042246655722482	HT29_G1_4A_3	0.00737798291788681	HT29_G1_4A_3	0.0114450725981831	HT29_G1_4A_2	0.00705250515208217	HT29_G1_4A_2	0.000809347961297973	HT29_G1_4A_1	0.0063790017332002	HT29_G1_4A_2	0.00482028190141783	HT29_G1_4A_2	0.00683341165604668	HT29_G1_4A_2	0.00330265968261592	HT29_G1_4A_1	0.0229789043439614	HT29_G1_4A_2	0.00917189188134111	HT29_G1_4A_1	0.0144086183547875	HT29_G1_4A_2	0.00850112734321199	HT29_G1_4A_1	0.0076291254646751	HT29_G1_4A_1	0.00853518363426519	HT29_G1_4A_3	0.00515072747461849	HT29_G1_4A_2	0.00472695685958329	HT29_G1_4A_1	0.0102666133870687
HT29_G1_4B	0.371266326317822	NA	NA	HT29_G1_4B_1	0.0269197592250101	HT29_G1_4B_3	0.0180520566921621	HT29_G1_4B_3	0.0189204187260916	HT29_G1_4B_2	0.0010858237997764	HT29_G1_4B_3	0.0246846243863168	HT29_G1_4B_3	0.00118764948624107	NA	NA	HT29_G1_4B_1	0.0102567201086324	HT29_G1_4B_1	0.0128114469856445	HT29_G1_4B_2	0.0065454626656774	HT29_G1_4B_1	0.0171413101049638	HT29_G1_4B_2	0.0142156781859421	HT29_G1_4B_3	0.0155184982734891	HT29_G1_4B_3	0.019726135116385	HT29_G1_4B_3	0.010613055935456	HT29_G1_4B_2	0.0143623452573883	HT29_G1_4B_1	0.0117941525868658	HT29_G1_4B_1	0.00979894258683219	HT29_G1_4B_2	0.021784180245178	HT29_G1_4B_1	0.0247654297110714	HT29_G1_4B_1	0.0118834267906038	HT29_G1_4B_2	0.00721950082888857	HT29_G1_4B_3	0.0193293759713737	HT29_G1_4B_1	0.0121781208036717	HT29_G1_4B_1	0.00506927234426729	HT29_G1_4B_3	0.0227546884429419	HT29_G1_4B_1	0.00857310481661457	HT29_G1_4B_1	0.00407514624033692
HT29_G1_4C	0.335416691798736	NA	NA	HT29_G1_4C_2	0.0139906086936698	HT29_G1_4C_3	0.0465447695139408	HT29_G1_4C_2	0.0263058214374093	HT29_G1_4C_3	0.00935349414001608	HT29_G1_4C_2	0.0156044226079308	HT29_G1_4C_1	0.00577103035569245	HT29_G1_4C_3	0.00867693675892384	HT29_G1_4C_2	0.0112047816903898	HT29_G1_4C_2	0.00900395538003959	HT29_G1_4C_3	0.00746436144526666	HT29_G1_4C_3	0.0204165591990938	HT29_G1_4C_3	0.00140379646168639	HT29_G1_4C_2	0.0176520467982439	HT29_G1_4C_1	0.0149725277534835	HT29_G1_4C_1	0.000218364396320234	HT29_G1_4C_3	0.00759945146198463	HT29_G1_4C_2	0.0102233156739607	HT29_G1_4C_3	0.00803911631088189	HT29_G1_4C_1	0.00828013855173274	HT29_G1_4C_2	0.0134566791223058	HT29_G1_4C_2	0.0123079671154982	HT29_G1_4C_1	0.0136901642034852	HT29_G1_4C_1	0.0106391982804995	HT29_G1_4C_2	0.00731418359956477	HT29_G1_4C_2	0.0024475758990089	HT29_G1_4C_2	0.0163324500033971	HT29_G1_4C_2	0.00691162710924145	HT29_G1_4C_3	0.009591347835068
HT29_G1_4F	0.417290183340082	NA	NA	HT29_G1_4F_2	0.0431152311220134	HT29_G1_4F_3	0.0412947077833515	HT29_G1_4F_2	0.0167329532030729	HT29_G1_4F_3	0.00690783354163152	HT29_G1_4F_3	0.0130245579122342	HT29_G1_4F_2	0.00546470319742036	HT29_G1_4F_3	0.00478729024814734	HT29_G1_4F_1	0.00832516914085874	HT29_G1_4F_3	0.00767068681660997	HT29_G1_4F_3	0.00996722365794018	HT29_G1_4F_2	0.00837430928259275	HT29_G1_4F_3	0.00600276915142424	HT29_G1_4F_3	0.0547971443012962	HT29_G1_4F_1	0.0058130569366662	HT29_G1_4F_2	0.00592759058778397	HT29_G1_4F_2	0.0114818273496798	HT29_G1_4F_1	0.00683468892270448	HT29_G1_4F_3	0.0476914627169317	HT29_G1_4F_3	0.0100037828415627	HT29_G1_4F_3	0.0219674979114587	HT29_G1_4F_2	0.0101987419194946	HT29_G1_4F_3	0.00608993432676648	HT29_G1_4F_1	0.0184461505724746	HT29_G1_4F_1	0.0110373174818951	HT29_G1_4F_2	0.00850424556141735	HT29_G1_4F_3	0.00755572035598875	HT29_G1_4F_2	0.0156236312145957	HT29_G1_4F_2	0.00364995528206882
HT29_G1_5A	0.445747093523151	NA	NA	HT29_G1_5A_2	0.0731691462154628	HT29_G1_5A_2	0.0447676923615407	HT29_G1_5A_3	0.0109667786821198	HT29_G1_5A_3	0.0117200237212814	HT29_G1_5A_3	0.0593889104160725	HT29_G1_5A_2	0.0100430252089687	HT29_G1_5A_3	0.00689236600381786	HT29_G1_5A_2	0.00798835512467774	HT29_G1_5A_2	0.0182440511470709	HT29_G1_5A_2	0.00515039836906256	HT29_G1_5A_2	0.0120947536083699	HT29_G1_5A_2	0.0154050822452195	HT29_G1_5A_3	0.0100573562037233	HT29_G1_5A_2	0.00735846688693978	HT29_G1_5A_2	0.00289548422170637	HT29_G1_5A_2	0.0177573052109629	HT29_G1_5A_3	0.0125266312284958	HT29_G1_5A_2	0.00328532850105919	HT29_G1_5A_1	0.0142743117551386	HT29_G1_5A_1	0.0361503243724022	HT29_G1_5A_1	0.00635497356322933	HT29_G1_5A_1	0.018328524113611	HT29_G1_5A_1	0.00519945685496468	HT29_G1_5A_3	0.0047967819646627	HT29_G1_5A_1	0.00351260900218257	HT29_G1_5A_3	0.00995242534895818	HT29_G1_5A_2	0.0148747977891902	HT29_G1_5A_3	0.00259173340225965
HT29_G1_5B	0.375419642428997	NA	NA	HT29_G1_5B_1	0.0288692630096219	HT29_G1_5B_2	0.0252248377604521	HT29_G1_5B_2	0.0136058410476494	HT29_G1_5B_1	0.0108954335572929	HT29_G1_5B_2	0.0449215630692352	HT29_G1_5B_1	0.00132880936781842	HT29_G1_5B_3	0.0147320219613385	HT29_G1_5B_2	0.00853050296807839	HT29_G1_5B_2	0.0184595502528834	HT29_G1_5B_2	0.00410511620063965	HT29_G1_5B_2	0.0226252771310508	HT29_G1_5B_3	0.00663446367225698	HT29_G1_5B_2	0.00525014171288662	HT29_G1_5B_2	0.00642915920053274	HT29_G1_5B_2	0.00320883526275224	HT29_G1_5B_1	0.0199480411317664	HT29_G1_5B_3	0.00917650046860862	HT29_G1_5B_1	0.0231375992473654	HT29_G1_5B_1	0.00681626631662156	HT29_G1_5B_1	0.029556426502349	HT29_G1_5B_1	0.00916798698847328	HT29_G1_5B_2	0.0145179657751777	HT29_G1_5B_1	0.0101384877810725	HT29_G1_5B_2	0.00362300157669054	HT29_G1_5B_2	0.00185799219900647	HT29_G1_5B_3	0.00936566834820241	HT29_G1_5B_2	0.0110088152930575	HT29_G1_5B_2	0.0122840746261162
