	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0154320324573886	0.0177785924961282	0.121176145388676	0.124198694521733	0.113081315773951	0.125301971159717	0.127965834378328	0.122312016743863	0.132793695808945	0.124395114020042	0.135890991702323	0.122097391668831	0.138685134383198	0.123117482136814	0.124785105982425	0.129079211526758	0.153223685019871	0.133662461902333	0.131537101390077	0.132344740681663	0.120601396970531	0.121658637288752	0.126914234442888	0.126054989920171	0.132495918565502	0.125355793317169	0.122968083535622	0.129954903316061	0.12350145643939	0.126260507216218	0.15215804887944	0.133195078864547	0.126172538288009	0.132562586963244	0.137428785891555	0.139214852316374	0.128134638671909	0.125918968574182	0.128594413068825	0.125158201118168	0.132685208942511	0.120279098202051	0.127288567427464	0.120044008546126	0.130771510773415	0.123580108807069	0.126106153827285	0.134386578278951	0.12597448472717	0.131343566206423	0.124646062828054	0.134242831404464	0.122587247255163	0.124208340944625	0.133628555618567	0.128161733869101	0.153215814302247	0.123317815835866	0.125217925083308	0.125611429313786	0.138575469871872	0.140268795952385	0.125774188329954	0.129921941126202	0.130970440861744	0.123159217347474	0.12290072994894	0.137045939977453	0.128127716672643	0.146092349900829	0.130188936639088	0.137401790637612	0.125291697228501	0.12598973322741	0.129570834230473	0.123170482363728
HT29_G1_1B_2	0.0154320324573886	0	0.0270418492474304	0.130069511839496	0.133914782558024	0.123921527462934	0.13480478262502	0.137656009655994	0.131648531950865	0.138579110278045	0.133441406419149	0.148823439611002	0.130331207112186	0.151233223445759	0.13362442020126	0.132024475875938	0.142958294225995	0.167590095621396	0.145032805123275	0.136196853246247	0.138786383424646	0.129796762363014	0.132189228306904	0.139004390326898	0.135304929350338	0.145951226154953	0.133356228158226	0.132852760456535	0.141153194522793	0.133587254799286	0.134088459338947	0.16279667192379	0.142388118862889	0.137699780557494	0.141882822520023	0.143124038904041	0.145026333308312	0.139490932978278	0.13557563566083	0.137299005497095	0.134305947398045	0.14137059263561	0.12991310470301	0.137406277633543	0.129458409699738	0.140273086927284	0.136451285455069	0.134578521469036	0.147672608805985	0.132462906649427	0.143990215995724	0.135118824106329	0.143132093599369	0.132222978652873	0.134820191262014	0.140852002374594	0.13540346666549	0.164846766751247	0.134544256979344	0.135479329643828	0.136269879830827	0.152385233705999	0.148313048737975	0.135554903904671	0.14257454667822	0.143730576270807	0.133842136837505	0.134142351425843	0.145984257408656	0.136298713660315	0.157587706276307	0.140202749559927	0.14972785940319	0.136879292822085	0.136000602511323	0.13825321526039	0.132421517272797
HT29_G1_1B_3	0.0177785924961282	0.0270418492474304	0	0.104257967306571	0.107833904094722	0.097654975158376	0.108720510348768	0.11158942795326	0.10560885037119	0.115262436250458	0.107575844612152	0.123137210100651	0.104865901140662	0.125334536036632	0.107419009938948	0.107361643396797	0.118419327474313	0.143880495385755	0.118583604395671	0.114009630781547	0.114781383329306	0.103850505276389	0.105843197189765	0.112631949020893	0.109414142480147	0.120621865216182	0.108179821471637	0.106697710687225	0.114657065054893	0.107561777804191	0.109057363671559	0.136670104362676	0.116529946469381	0.111262511338661	0.116013257061141	0.119883725859598	0.121696276376831	0.113230928268586	0.109460282262944	0.111568004380903	0.108532969079167	0.115710397345251	0.103751916732438	0.111098717787433	0.103382226452602	0.114206673784372	0.110620093799046	0.10905524735843	0.12195497785215	0.108569345563555	0.117960217899484	0.108605006651028	0.117415636228163	0.106133776676993	0.108282625211157	0.116340504621686	0.110850405472145	0.138448812505416	0.108095142385293	0.109261004761392	0.110023574982511	0.127595172489938	0.12318901356898	0.109454408027296	0.116484140643055	0.117759279449684	0.107533106934047	0.10779897803192	0.120279562793273	0.111058288395467	0.131227563999082	0.114139923568925	0.123610582678445	0.110386911914327	0.109729022034956	0.112653609310393	0.106551324017333
HT29_G1_2A_3	0.121176145388676	0.130069511839496	0.104257967306571	0	0.0111821416880335	0.0248360140596938	0.00808136001277349	0.0126641099887079	0.00482335856776089	0.0319171869611509	0.00385744361219912	0.0587380478587517	0.00813895389948344	0.0542881577646037	0.0210458222506613	0.0165172538876519	0.0740439985419516	0.0981737167324049	0.0332370172481561	0.0411992924158998	0.0267935241650739	0.0035639478835991	0.0191556046678998	0.0398015669717474	0.00778646404523576	0.0653935520433028	0.00979165454499368	0.0123745867428528	0.0289389527799249	0.0180584994027945	0.0117827142078327	0.0409494684082289	0.0132612479662286	0.0321966505354025	0.0139605771116283	0.0349236932183376	0.0348719125890816	0.0326411169179484	0.0102877870893117	0.00851779217819943	0.00845215015362927	0.011747546647025	0.00790524259434813	0.0153214264486091	0.00550003551999862	0.0121667288596417	0.052012665939758	0.00636900661391993	0.0615349046027054	0.0237472107377285	0.0507107150174682	0.0177243892846731	0.0133783546326727	0.00922169630231652	0.0191525856750405	0.0207208294351532	0.0177001896567131	0.0495486412872298	0.0275516497220119	0.017789610985271	0.0231228371253015	0.0760575010146401	0.021004124229948	0.012453742615991	0.049695112797546	0.0522858430108137	0.0220056588118356	0.0288098673405146	0.0164579776722961	0.0105022641469682	0.0431106941839144	0.0187443396493257	0.0492609137350138	0.0321910006553054	0.0136154433194834	0.00898210841283314	0.00708076688352911
HT29_G1_3E_1	0.124198694521733	0.133914782558024	0.107833904094722	0.0111821416880335	0	0.0174838914484434	0.00496971948864221	0.00382826269844363	0.00717141244248738	0.0409940243144704	0.00880073070995763	0.0483343992923318	0.0190790709601982	0.0436089375339953	0.0104631439297071	0.0265110341753253	0.0645379350883656	0.0882029138517454	0.022993006648518	0.050954033079829	0.0363246097902663	0.00805017415064557	0.0094569593586212	0.0299813512165695	0.00555887207039491	0.0555306219177987	0.0184386953682358	0.00216432853889146	0.0189774291240411	0.0076115498947352	0.0200252336823516	0.0319371884656668	0.0108508805045528	0.0221530934673381	0.00929238639581339	0.0436786315594374	0.0431473635309597	0.0218643972286385	0.00316946240720363	0.0152540531822239	0.00617779035447022	0.0155825970233076	0.00570737804883772	0.00635008140899479	0.00731274150674253	0.00831489894652978	0.042459310693813	0.0144213090087368	0.0517503111309111	0.0324692286267337	0.0405611061125519	0.0108217503686161	0.0139098041780404	0.00236560687514741	0.0116299055530646	0.0274964234004189	0.0258167895302795	0.0401188531212161	0.0177563819188207	0.00679600022782373	0.0122140851801419	0.0660865705313528	0.0240109682869365	0.00179443640196048	0.0397348889366421	0.0422167446079085	0.0116373030113036	0.0186987757848672	0.0154648778050511	0.016791083085428	0.0330960678459415	0.00818112436371492	0.0386879402496098	0.0225195180838648	0.0047815005108799	0.0126844860198452	0.00520276935328567
HT29_G1_3E_2	0.113081315773951	0.123921527462934	0.097654975158376	0.0248360140596938	0.0174838914484434	0	0.0214067181126826	0.0204265344251612	0.0216150277833841	0.0551583408882674	0.0245719783221561	0.0388864179929739	0.0325545491463034	0.0363761571210049	0.0106922491958988	0.0402603382825442	0.0510974459342243	0.0772423067117694	0.0227272605304451	0.0639415405377352	0.0511847280896642	0.021406576743913	0.010428947179004	0.0216743992148607	0.0226151784329667	0.0440024497205467	0.0331439083685353	0.0154742608467441	0.0189906636436673	0.0130235190557105	0.0347467289872801	0.0395227285733208	0.0281729669697906	0.0163410304746171	0.0262138338403474	0.0586062556661707	0.0583973691004616	0.0168547175918476	0.0200215840239876	0.031443582614806	0.0221602022020942	0.0328290432909952	0.0177620668266326	0.0185935919019728	0.0197858988914341	0.025166378953521	0.0297621645544982	0.030108040239055	0.0417450791436734	0.0454034836599487	0.031242944423683	0.0175540969529396	0.0313848683848495	0.0176484486552237	0.0163706881676837	0.0430900610695639	0.0402615648972362	0.0430866994637209	0.0121815352053473	0.0141826084914542	0.0128155585327514	0.05469738934888	0.0411904795511909	0.0180808088774099	0.0301638646721805	0.0324106898068877	0.0106423871407746	0.0112926489297017	0.0327307406925878	0.0324870077597093	0.0351972332200131	0.0193832185436998	0.0325769483321129	0.0163684373365691	0.0181054390155189	0.0296393495809893	0.0206090823015191
HT29_G1_3E_3	0.125301971159717	0.13480478262502	0.108720510348768	0.00808136001277349	0.00496971948864221	0.0214067181126826	0	0.00525236855868381	0.00382024201699625	0.0380119592881629	0.00508835321373611	0.0517472988291644	0.0152316290795898	0.0469295134348856	0.0149200515383892	0.0233522167297161	0.0681175639789045	0.0913754096441052	0.0254825116806586	0.0479807862597227	0.0326945408329878	0.00594208554141392	0.013150279128337	0.0330739012996317	0.00383570909093674	0.0589017270339017	0.0156200755028485	0.00640182300461544	0.0214115902094116	0.0125518887250022	0.0173617363447947	0.0333302568964951	0.00863599455217565	0.0253315152531572	0.00846851135419844	0.0404834483659767	0.0400327464164363	0.0256109834508595	0.00250391684134458	0.0106228015060057	0.00630713764952184	0.0116199637896494	0.00518320690907828	0.00745406938841213	0.00550217480992958	0.00554065989731358	0.0460218674947958	0.0109617250884332	0.0547678060904928	0.030205244475754	0.0438414434823555	0.0111788219338232	0.010932774924274	0.00414516766838163	0.0126148691047861	0.0248926828095563	0.0232923060166254	0.0415146701117678	0.0210769826259218	0.0108968408603527	0.0163043794312382	0.0694400422316087	0.0213504129512711	0.00541226920437456	0.042935144598903	0.0455055733396244	0.0156283512753241	0.022509975299432	0.0131603518734806	0.0142793552229659	0.0350384438569053	0.0114851641783799	0.0418041488022218	0.0254731635661708	0.00591791800578901	0.00959962110881202	0.00520583931829819
HT29_G1_3F_2	0.127965834378328	0.137656009655994	0.11158942795326	0.0126641099887079	0.00382826269844363	0.0204265344251612	0.00525236855868381	0	0.0087654994553341	0.0408357331626466	0.00937461015739403	0.0484004255653536	0.0198668173645497	0.0432445586669564	0.0118722192316124	0.0269252870414532	0.0654812300557201	0.0883417795745142	0.0220644844766841	0.051166548736647	0.0359885688908551	0.0102207932121471	0.0113136097151252	0.0304186981596178	0.00550342942358487	0.0560459082164479	0.0187261763239444	0.00539484858660934	0.0184842246015363	0.00924880929910536	0.0201747353339873	0.0288606481151501	0.00783776449437912	0.0225679181962369	0.0060463419558673	0.0431422790149298	0.0424231533495582	0.0220140422957517	0.00305519803105741	0.0144928789450128	0.00684346513815554	0.0137762830133875	0.0086168810228275	0.00546818071094068	0.00982699494633929	0.00545077949448515	0.0434644071829848	0.0144230143312982	0.0519894982604163	0.0329002531914057	0.0407893623948137	0.0112527653739039	0.0113646651831491	0.0056029788486396	0.0122321053530619	0.0267210476348495	0.0258013614604992	0.03776810141239	0.0186969636267796	0.00754971237211781	0.0127552740108527	0.0664557165913709	0.0217452644205232	0.00243908128532655	0.0400698693275994	0.0425248547678401	0.0128883866351405	0.0197696745195637	0.0124067540703088	0.0164648238896598	0.0310614436132116	0.00635212885915364	0.0382149420083567	0.0230579252583875	0.00469451360491261	0.0115805373147046	0.0070457813377328
HT29_G1_3F_3	0.122312016743863	0.131648531950865	0.10560885037119	0.00482335856776089	0.00717141244248738	0.0216150277833841	0.00382024201699625	0.0087654994553341	0	0.0362585925736421	0.00361746789510573	0.0541177478404577	0.0124080272198352	0.0496149773230607	0.0169017875759944	0.02107556682016	0.0697470355492691	0.0935583069739835	0.0284595108142912	0.0458041125459829	0.0309487849094146	0.00263638743277798	0.0147841859209158	0.0351674041100076	0.00544517454439437	0.0608765899827042	0.0138350933956881	0.00817526109212375	0.0241384549883784	0.0144550254636255	0.0157458841428628	0.0371450026450057	0.0113946692422829	0.0275450942010372	0.01159760671105	0.0390289573551649	0.0388080647082508	0.0281141246430894	0.0059600267330685	0.00989831199510299	0.00709142320240372	0.012311668406073	0.00390824367816929	0.0105979929206798	0.00244730785427986	0.00892676489316829	0.0476744281183879	0.00952144342250784	0.0568918743011628	0.0282045325595778	0.0460816589684475	0.0130080962756481	0.0127867958676596	0.00517335767490194	0.0144268711562101	0.0241218752411882	0.0217584228378755	0.0450549646521243	0.0230021240312406	0.0134217462077452	0.0187436259639193	0.071508906737979	0.022312500090774	0.00832314164687078	0.0450747485192577	0.0476772001275224	0.0176300515563101	0.0244119348321541	0.0155069651181906	0.0134499840573229	0.0385265425063295	0.0148259433900229	0.044539184322971	0.0275360710880427	0.00888181143462259	0.0099359496026885	0.00515146458748355
HT29_G1_4A_2	0.132793695808945	0.138579110278045	0.115262436250458	0.0319171869611509	0.0409940243144704	0.0551583408882674	0.0380119592881629	0.0408357331626466	0.0362585925736421	0	0.0331247912622591	0.0890610503025597	0.0256819439827469	0.0838847146194693	0.0510117192395224	0.0156603960667314	0.105168123296084	0.1289332578434	0.0626492469454036	0.01117130418518	0.0081741319299694	0.0351376487876412	0.0501840813428579	0.0708789095442127	0.0357072179735938	0.096432467748132	0.0226641940780937	0.0428215720984483	0.0590911625834229	0.0467996241645276	0.0209963123805324	0.0624131644604149	0.0357015024605195	0.0630651497009255	0.0374472934058202	0.004964797297289	0.00652052811741359	0.0625273705699846	0.0399173863211261	0.0294813856534541	0.0352272628655432	0.0295849546993803	0.0396583924208286	0.0451604631937455	0.0373603120424381	0.0384560938521061	0.0831984577124317	0.0270669534534895	0.0925821794320589	0.0107058287065891	0.0814432617341851	0.0487434017939883	0.032364806646017	0.0398775980739523	0.0503567191135501	0.0153401934488786	0.0153878021004266	0.0748010435284165	0.0586718029798763	0.0476165883607315	0.052911866523426	0.10694886866302	0.0255550434825326	0.0417695826717795	0.0806480038698244	0.083125591147603	0.0525394724826224	0.0595783306149219	0.0338768874838329	0.0244445047331189	0.0696362247530703	0.0459162284367625	0.078928159064618	0.063340654530239	0.0438201649326318	0.0294813435768839	0.0360603939183693
