	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3E_3	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_3F_3	HT29_G1_4A_1	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6F_3	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_2	0	0.0513369139882687	0.0112679889684231	0.0189537275270458	0.0229973767879417	0.014699509249019	0.0162150622398383	0.0228457705308003	0.0143267120822902	0.0398514237491612	0.0057142903879441	0.0484440440637218	0.0245770135261356	0.0148129864938685	0.0462443808724533	0.0316402791344423	0.0152529968124938	0.0216637976850029	0.00837283140391887	0.0124920107608012	0.0152384776599599	0.00496747070641066	0.0384833932357887	0.019835285526782	0.0128898357525416	0.0276138844775584	0.0179412111166587	0.0126683814835219	0.029305063013614	0.0422987286755169	0.0175824995399259	0.0218147153743609	0.0571954361028371	0.0430403163150167	0.0347857723100873	0.031647548878288	0.0361589783553284	0.0203911717342397	0.0206450916539148	0.0360539898173027	0.0129974063256555	0.0320111759532669	0.0391466720940919	0.0204724503670487	0.0227138657959345	0.0464245242394306	0.0197516997027013	0.0372413930637675	0.00384767789413814	0.0337295280428639	0.0114707554287242	0.0167905377265819	0.0133902111238656	0.0162495471872738	0.0149750381050317	0.0317808150554344	0.0237104294314761	0.0390874242861824	0.025357338888486	0.0171499266791681	0.0312550228352291	0.0178629391533756	0.0478715135026957	0.0187317662339888	0.0166796356149402	0.0345334319531721	0.00760005167895726	0.0119406358808052	0.0359102214296923	0.214902862107176	0.209077593071575	0.0313393067669662	0.0341212669646921	0.0135327710557581	0.0324376448936497	0.0178632068645448	0.030237250050901	0.0458466672002518	0.0162479289866307	0.0211739250582502	0.0333194689674849	0.0284146963695036	0.0320848123512187	0.0323437077848781	0.0239102183614093	0.042509581394736	0.0346416130059777	0.0154995053718062	0.0222274727076817
HT29_G1_1B_3	0.0513369139882687	0	0.0495423303309029	0.0544319465050051	0.0447657487582886	0.0485751597503567	0.0415985601139148	0.0315662422338444	0.0613150470635104	0.0225543453574304	0.0474126877429204	0.0117481326237976	0.0298013223632852	0.0546670296272898	0.0277198739332096	0.0240088778842385	0.0445141354961119	0.0493723859605976	0.0552543207004987	0.0422203861148551	0.0520369416645827	0.0506246796324444	0.0231132072872978	0.054520290671717	0.0563765332174245	0.0330923986201654	0.0338768269226112	0.0495696717163607	0.0261756624568975	0.014385112983478	0.0398721703327381	0.04054913277944	0.00918284482194613	0.0182403577687519	0.0183425959005186	0.0256530515065904	0.0204801753025593	0.0386893740449086	0.0313086613211534	0.0217460788464546	0.0397383967674375	0.0235892523750762	0.0142243856823123	0.0428466043551362	0.0330367669538398	0.015389329702492	0.0596437916297989	0.0173279289482088	0.0488065274523789	0.0198062860379191	0.0456333014713651	0.0449349547653638	0.0493479111127554	0.0495663037422975	0.0430988099287654	0.0706845055257089	0.0302236055570708	0.0149787732818107	0.0301506182340394	0.0467342261571122	0.0297894891645758	0.045520118056107	0.0053268662843012	0.0401529513425602	0.0372011551586813	0.025329076484966	0.0446544800945597	0.0516931537211718	0.0181527761069179	0.264112439306313	0.258284622356695	0.0234213179134304	0.0191289767516753	0.0411642544678089	0.0266268280319138	0.040395015566122	0.0229496270063899	0.0097106225197987	0.0447020000267788	0.0395007963632777	0.0184453944347513	0.0232783117889049	0.0282929889878944	0.0208060318225293	0.0329588521810697	0.0134372691978644	0.0240735647365918	0.0386255378585515	0.0307027185796297
HT29_G1_2A_1	0.0112679889684231	0.0495423303309029	0	0.0154649647316289	0.0171962272465907	0.014294277294899	0.0098378915932478	0.0196497031176097	0.012044997542877	0.0336981067635984	0.00849723635201367	0.0481943435556975	0.0242019896824851	0.00649652809944114	0.0483290548118882	0.0342991097916831	0.0238346969865674	0.0185602331705602	0.0194466683234671	0.0168908680190393	0.00908885028259133	0.0083388610798484	0.0329582686288957	0.0129960702653454	0.00694452954947471	0.0246260218279989	0.0169747569645314	0.00610583839138385	0.0253837812269258	0.0383062060467831	0.0121755499472666	0.0135188293296182	0.0566878203246618	0.0389893337170356	0.035446856275838	0.0340596780340773	0.0323224917146841	0.0270127893448681	0.0225822046278319	0.0318555986464213	0.0177947057399361	0.034016511401334	0.0394976825896694	0.0124356023631419	0.0180168427634656	0.0477223761009728	0.0116161477163175	0.0363305624986205	0.0100071141786977	0.0319099555636536	0.00621813507564439	0.0106531404064592	0.0104957954934778	0.00526477846210981	0.00853240968643849	0.0242853650539212	0.0194448498378395	0.0396214608990319	0.0240213527518025	0.0149521346138841	0.0252439702700857	0.0149043475480682	0.0453703171184387	0.0261153745905795	0.0218687447902799	0.037364662497316	0.0114373357309492	0.0153562342359368	0.0354473736931141	0.215783494364226	0.210167598518491	0.0285972291392309	0.0351616332983916	0.0117191633117474	0.0293879422562664	0.0107503290710935	0.0278492018402084	0.0432854484022984	0.00818477894441933	0.0171294421987171	0.0332016228586148	0.0265570746867582	0.0289264147846681	0.0331600606536606	0.0255470486843599	0.0415263089678296	0.0345002407745681	0.0151434566913527	0.0248476880288676
HT29_G1_2A_2	0.0189537275270458	0.0544319465050051	0.0154649647316289	0	0.0112153977788569	0.0291850767562856	0.0231867707654115	0.0231503120240467	0.0166629843418736	0.0391421455811644	0.0155153175137651	0.0555976722469926	0.0258937552403288	0.0123471178159201	0.0465531436897803	0.0403674787374164	0.0311811938423796	0.00702821825155471	0.0256494975473152	0.0281249363467403	0.00656630848742615	0.0141832325404862	0.0355676199037071	0.00593292274333302	0.016989176993654	0.0225826407375483	0.0234188751815846	0.0215337890153451	0.0285765838732896	0.0423797208798286	0.0253399615017237	0.0173073621602449	0.0617811982630594	0.047832036331171	0.0398442234407006	0.0425428801439418	0.0410615584890906	0.0301538231260489	0.0285122226118317	0.0409061201947567	0.0230107980470969	0.0370912103986808	0.044163660838422	0.0259948210141955	0.0221385587239445	0.0543721003547861	0.0170942279683522	0.0386197251734116	0.0163608248781195	0.0348566935342482	0.020755876436758	0.025614161633835	0.00698591120566389	0.0182214209547378	0.0138730360285169	0.0279431601609627	0.0271200926232861	0.0437412441829137	0.024927446564554	0.0301578662047527	0.0272386654774924	0.0091117788815705	0.0510125057012363	0.0315666423002571	0.0281579489600556	0.0456180398671762	0.0223613238514752	0.0106075364093001	0.0437012854369348	0.213880575105561	0.209462341175456	0.0311045544572681	0.0408865978685714	0.0247815375029862	0.0405033438616892	0.0167718721962068	0.0364725382024261	0.0463595689546504	0.0129084882318563	0.0311401284377561	0.0393280859617188	0.0324590244723188	0.0405595387592663	0.0403459966031423	0.0254941554574316	0.0436897206514157	0.0343256721622754	0.0177088124552963	0.0297797903580607
HT29_G1_2A_3	0.0229973767879417	0.0447657487582886	0.0171962272465907	0.0112153977788569	0	0.0297350383494535	0.0202028873174019	0.014836814382619	0.0244403355954822	0.0288814082718909	0.0176026709366742	0.0473610189776546	0.0184837741478722	0.0170625648668021	0.039444779624033	0.0344660013287783	0.0316405548265137	0.00691415412779898	0.0305398413220675	0.0274082615632392	0.011492078940712	0.0183653111848619	0.0247157963810217	0.0115073486481325	0.022018808171473	0.0129574260008818	0.017915382048329	0.0225851776037824	0.0188188424978691	0.0320147449525132	0.0217891468042686	0.00962568507825304	0.052629047447154	0.0389394816373066	0.0321374481039314	0.0370986073256388	0.032534259151531	0.0283744749284736	0.0235234767628823	0.0324512945238529	0.0213831613446558	0.0303746693129249	0.0360372795324424	0.0226791561416058	0.0135313687460897	0.0468864391764191	0.0222333320260351	0.0295827529456149	0.0194063211033614	0.0256132288126626	0.0203592783289787	0.0240395981665103	0.0104972467194055	0.0183825984839487	0.0103636183881635	0.0333800360904265	0.0194928577039756	0.0356510664076729	0.0167444160839394	0.0296332758383011	0.0165240651949291	0.00629535675520392	0.0413129049746345	0.0304736926795551	0.0258327902802548	0.0401739984951687	0.0226862294923204	0.0162216776702085	0.0362441958734668	0.224124126680497	0.219650256083356	0.0215264427804248	0.0336843362268325	0.0227312748710894	0.0336750987305752	0.0109601132842548	0.0288152455805869	0.0362324889253466	0.0096589055560264	0.0276604003247219	0.031606977363662	0.0243048604287789	0.0340578479560313	0.033494016537926	0.0197395535612027	0.0343589386041807	0.025918909351225	0.0134482182846755	0.0247965147880523
HT29_G1_3E_1	0.014699509249019	0.0485751597503567	0.014294277294899	0.0291850767562856	0.0297350383494535	0	0.0115088333484307	0.0251947502202235	0.0207456925998601	0.0360901940577154	0.0158466538903212	0.043998494095057	0.0287613508026564	0.0197429606086187	0.0515005500751504	0.0315191642377181	0.0197264016797104	0.0315382932222073	0.0185194110666233	0.0109946650882794	0.0231931536872753	0.0168355177037264	0.0375769514489928	0.0272696677988037	0.0161323736756211	0.0327387476312475	0.0199652724329075	0.00893722640256638	0.0300099279701378	0.0402088984539146	0.0115117506554979	0.0234875813981258	0.0544507246909081	0.036085922131829	0.0351176659440193	0.0286267603908246	0.0301997995037128	0.0271972831587702	0.0228023027301203	0.0296616240799385	0.0196984918334334	0.0345612793467004	0.0385592409563739	0.0130485280699511	0.0242830273187897	0.0435794998535198	0.0221181228162161	0.0385370686008669	0.0161225337009019	0.03456829137959	0.00940900044330861	0.00830523724042747	0.0232292207930184	0.0151240481879882	0.0194288817673548	0.0318368217880537	0.0217246790727024	0.039113418409039	0.0296033960032497	0.00331411483432577	0.0318625415000502	0.0268659477428685	0.0443499172070208	0.0239181477478849	0.0207566159478962	0.0316059222128229	0.0108073097393572	0.0253379739161817	0.0315750794776518	0.218656446562941	0.2119623382371	0.0326056450384515	0.0333603909419266	0.00911126748938553	0.0242688258887182	0.0200224285615433	0.0257744741764378	0.0448666442886506	0.0203327174776661	0.0107753610848189	0.0318106325519091	0.027454669541093	0.0232287540666015	0.0301672174948563	0.0303861698437366	0.0433125787549876	0.0386276349877333	0.0220538642435926	0.0251803313189552
HT29_G1_3E_2	0.0162150622398383	0.0415985601139148	0.0098378915932478	0.0231867707654115	0.0202028873174019	0.0115088333484307	0	0.015488381899937	0.0213697642629557	0.0262257491054673	0.0130606532444678	0.0396037770519962	0.0207224700766205	0.0157901753552063	0.0448767982065299	0.0280150858416205	0.0225436281375332	0.0238370976388985	0.0233094714593266	0.0134195710922892	0.0172020782741799	0.015093937361015	0.0270092193931092	0.0207785290297101	0.0156649608179702	0.0228698638084883	0.0123703576630249	0.00814257789278446	0.0199408409211324	0.0310472912331438	0.00241432282881637	0.0124644326003229	0.048703768984492	0.0296340103235116	0.029055726221827	0.0267325042409076	0.0231551763248724	0.0254514357589797	0.0177876320600871	0.0225865368500833	0.0166623544406472	0.0289772279377312	0.032575676307007	0.00516550726506052	0.0137794783992269	0.0398907178650102	0.0196899630818323	0.0305599458250831	0.0148234615144935	0.0259962647803683	0.00520961145618796	0.00472351632707603	0.0171952686171751	0.00929531058723688	0.0104027992256305	0.0309495521729535	0.0120563583759059	0.0330189607146378	0.0208154395009066	0.0101635510034449	0.0207365929397766	0.0189892310033492	0.0371361062870431	0.0240960745095031	0.0189267810028004	0.0301121402355526	0.0109191656863295	0.021842875204	0.0269347823298526	0.223941741248787	0.217933254472835	0.0232100255271927	0.0282688809262884	0.00555106881573069	0.0196765935841004	0.00948279470452274	0.0191257309161187	0.0363632750237483	0.0112075253561613	0.00802628791240808	0.0258646949269081	0.0195412597382549	0.0191478583087202	0.025670310527331	0.0235898817220865	0.0354276266657881	0.0305447758948672	0.0146838583938138	0.0204522333429222
HT29_G1_3E_3	0.0228457705308003	0.0315662422338444	0.0196497031176097	0.0231503120240467	0.014836814382619	0.0251947502202235	0.015488381899937	0	0.0307883320475176	0.019243220023896	0.0176488247225027	0.0327612191947504	0.00674387617733956	0.0239509242966418	0.0306281320099422	0.0205104737417761	0.024268714034697	0.0191527318342814	0.0291922779141964	0.0197302183259095	0.0205724511876302	0.0204984232422513	0.0160916287377022	0.0233458669932032	0.0265379768844032	0.00845214037951468	0.0065471161908533	0.0220581185243257	0.00659415614085805	0.0204073892057314	0.0153733286968399	0.0113511777280523	0.0390039161723069	0.0260704043590953	0.0181060446654102	0.0229164487581152	0.0193229636794719	0.0200268931328718	0.0110676956240261	0.0196124198401666	0.0143383671371315	0.0174974965024943	0.0219581779121879	0.0188063162541627	0.00309084966354778	0.0322943549407984	0.0296480529209733	0.0170384418589088	0.0194837766622146	0.0125666628456898	0.0179579070214973	0.0201787271403632	0.0178543299829332	0.020853350611721	0.0119752009779345	0.0418045347833527	0.00702883438318771	0.0218392624949313	0.00581799832544976	0.0243817479355798	0.00985283578190897	0.0145020071533392	0.0280367185077793	0.0217562723699543	0.0162720466306145	0.0259489150269544	0.0180747710345893	0.0213789383632079	0.021469487288047	0.234131526809845	0.228853547492909	0.00905927130311232	0.0192206766415092	0.0161253107756105	0.0208070116555223	0.010001660958782	0.0146176533982307	0.0242997036145402	0.0137719293704362	0.0196680534404889	0.0168925425253242	0.00954011128378953	0.0215960082259511	0.0187841293257938	0.0111777356919445	0.0221778279578824	0.0156824473589383	0.00845841843017102	0.0125213185180072
HT29_G1_3F_1	0.0143267120822902	0.0613150470635104	0.012044997542877	0.0166629843418736	0.0244403355954822	0.0207456925998601	0.0213697642629557	0.0307883320475176	0	0.045495536096765	0.0154804568548569	0.0596355229628268	0.0344573364541471	0.00856327679855244	0.0574119273377771	0.0444620828111978	0.0294751089746602	0.0228812832035228	0.0195973039553535	0.0248947221899638	0.0129640940062887	0.0126347982212812	0.0444012634899022	0.0148552270789314	0.00602904202038177	0.0343219391741185	0.0279511017715084	0.014365005034635	0.0368135969181324	0.050129154869748	0.0235766204294716	0.024076247331073	0.0682292110513167	0.0509009871448219	0.046330333726587	0.0442648782980047	0.0442805406201604	0.0341002271051825	0.032729507411499	0.043794703594376	0.0259735378916012	0.0441091181584041	0.0505922272979105	0.0230560393187899	0.0293887999398281	0.0586434239149184	0.00879502703598625	0.0473527272845784	0.0152782196701241	0.0431732502307761	0.0168699919695642	0.0205079835697021	0.0156695059325529	0.0144071554784491	0.0191297885676017	0.0185386670848971	0.031401825005039	0.0505890473393209	0.0343253149271977	0.0225877032698373	0.0363383451656688	0.0215711962359874	0.0572784344002989	0.0329590559159623	0.0302668551852067	0.0474005821101685	0.0195182780679238	0.0174825942375748	0.046841090228561	0.204200356284428	0.198714830649549	0.0398379638913851	0.0460326894921047	0.0221936261110631	0.040846104061192	0.0220333486698531	0.0396410140564752	0.0548933897161744	0.0182843287643603	0.0274989444669639	0.0444747090040045	0.0381465646279768	0.040225087894968	0.0441358169256407	0.0345712172332127	0.052641736009401	0.0446120536520336	0.0246833815277377	0.0346474929088073
HT29_G1_3F_2	0.0398514237491612	0.0225543453574304	0.0336981067635984	0.0391421455811644	0.0288814082718909	0.0360901940577154	0.0262257491054673	0.019243220023896	0.045495536096765	0	0.0350009576576889	0.027086752029051	0.0226529658276106	0.0376691848080772	0.0367411784507178	0.0279925189960029	0.0400003239664927	0.0352260654910301	0.0463934634066439	0.0336875645720478	0.0358850523229254	0.0377251997022972	0.00747668806450105	0.037343842083224	0.0401411869598936	0.0219921020297943	0.0234008872551316	0.0340953157103932	0.0136866443068154	0.0094489129394916	0.0250722746196461	0.0225787634799765	0.0315813325875825	0.0138056316202121	0.0226544279575465	0.0285528678203133	0.0117336609828645	0.0364720638058076	0.0258118463929864	0.0115753438323875	0.0321285481095851	0.0265719223778505	0.0229619936647422	0.0257796797098666	0.0184921212543268	0.0307083798080026	0.0414439406768977	0.0194611896392108	0.0370302855699317	0.0161340234976551	0.0310705857741073	0.0295529553203391	0.0349558744506294	0.0320004311494508	0.0276152395425278	0.0509073767391193	0.0163622505623204	0.023655664751867	0.0215954736141453	0.0336930585192026	0.0127589830472216	0.0317168150494896	0.0177609016423623	0.0375201799679011	0.0322124542726089	0.0308031481030914	0.0337122863666865	0.0400140145815795	0.0207056395338426	0.247125830620195	0.241625590524761	0.0150487821498122	0.0235999527484885	0.0286542939971925	0.0183670812188954	0.0241099456184363	0.0155126094381586	0.0167782666886117	0.0281794782188787	0.0260661385385678	0.0199466190099431	0.0160612739514378	0.019489800296703	0.0229712212815118	0.0277924990038819	0.0210332277982586	0.023684075603127	0.0275251086627006	0.0269952372490158
