	HT29_G1_1B	HT29_G1_2A	HT29_G1_3E	HT29_G1_3F	HT29_G1_4A	HT29_G1_4B	HT29_G1_4C	HT29_G1_4F	HT29_G1_5A	HT29_G1_5B	HT29_G1_5C	HT29_G1_5D	HT29_G1_5E	HT29_G1_5F	HT29_G2_4G	HT29_G2_4H	HT29_G2_5A	HT29_G2_5B	HT29_G2_5E	HT29_G2_5F	HT29_G2_5G	HT29_G2_5H	HT29_G2_6A	HT29_G2_6B	HT29_G2_6C	HT29_G2_6D	HT29_G2_6E	HT29_G2_6F	HT29_G2_6G	HT29Root1	HT29Root2
HT29_G1_1B	0	0.0129482068477134	0.00850757380884188	0.00947127288970192	0.00508332369644315	0.0132387920706642	0.0327357099992426	0.0237044924784037	0.00835331259375699	0.00518340745017888	0.0155465896267802	0.00577684873409235	0.00436716611350707	0.0216591827450094	0.00691095451559115	0.00556637419476274	0.00428430525440393	0.00853414001785522	0.00786061662514732	0.133090281821667	0.0069026709792476	0.0104795935223467	0.0252580413479746	0.00370565793940836	0.00118762459695565	0.0093480245193781	0.0102130453895286	0.00972174240800863	0.00169660982056491	0.00885663233523311	0.00494341793763898
HT29_G1_2A	0.0129482068477134	0	0.0191119580997872	0.0065944089147151	0.0153060958614385	0.00279464175095104	0.0454141873141774	0.0361117971880003	0.0207101370950289	0.0083597119811023	0.00818919686406413	0.0076086910850929	0.00869390731520922	0.0327255858085799	0.0195109106187796	0.00857558323529354	0.0141468467207311	0.0110388319311087	0.0147778409672899	0.145669232447616	0.0186498559668454	0.0231616840250028	0.0381559633044814	0.0113175412591221	0.0120572995768541	0.0217201254498872	0.0228341363314246	0.0223273349995446	0.0131908453327301	0.0197265283489809	0.0163822832763909
HT29_G1_3E	0.00850757380884188	0.0191119580997872	0	0.0133072426428446	0.00391550186072295	0.0182673217878867	0.0269910515731867	0.0174124573568536	0.0111793299575138	0.0131427759460026	0.0235884289837877	0.0116496874578247	0.0120108561810181	0.0136928242468332	0.00977185381702076	0.01374028113715	0.00509679913363615	0.00942023906717716	0.00533210359252648	0.127087051550551	0.00238361131508155	0.00645786455690038	0.0207634404593122	0.01221264218675	0.00848751842184965	0.00453168595575502	0.00600346824515066	0.0056366037162874	0.00988104811211786	0.000692093233398644	0.0111297576726752
HT29_G1_3F	0.00947127288970192	0.0065944089147151	0.0133072426428446	0	0.00983596532771232	0.00503093092561044	0.0401888479077378	0.030676757025064	0.0178223156216576	0.00741028106291541	0.0137465326937917	0.00402562304438566	0.00673529235472702	0.0266244039782166	0.0163540422807337	0.00815699101553114	0.0088129342129989	0.00448358105264444	0.00846552199659586	0.140285890304546	0.0133768204164305	0.0183241891408077	0.0334446172923853	0.00990005456039027	0.00830559934076116	0.0166360381060205	0.0179361882672629	0.0174349338427207	0.0105107293632172	0.0139719125411124	0.0141282838726878
HT29_G1_4A	0.00508332369644315	0.0153060958614385	0.00391550186072295	0.00983596532771232	0	0.0146578456196449	0.0303787315327746	0.0209160522853776	0.0104816804707422	0.00929872923092442	0.0197041653164274	0.00777118361158381	0.0081382115292388	0.0175992694188703	0.00889455944262961	0.00993835747281841	0.00118355741375318	0.00659554632722504	0.00361978517544484	0.13064087075031	0.00354873348086393	0.00859984731957268	0.0236577704782779	0.00870865507036026	0.00477612131804276	0.00682882050695592	0.0081876649237547	0.00769884805722481	0.00668173457264972	0.0044683443707319	0.00890871274703661
HT29_G1_4B	0.0132387920706642	0.00279464175095104	0.0182673217878867	0.00503093092561044	0.0146578456196449	0	0.0450177724286071	0.0355655904619538	0.0214035417366927	0.00939798884122437	0.010982768367221	0.00749674161922346	0.00936850353721193	0.0316514348624464	0.0200748165759931	0.00983262793928547	0.0135641558131172	0.00944952113661579	0.0134957949458618	0.145164254322887	0.0181512273205261	0.0229449141918325	0.038061507024052	0.0123672915280054	0.0121970988816895	0.0213540344724981	0.0225815272505237	0.0220747889498702	0.0138223808252401	0.0189204187260916	0.0172663536355171
HT29_G1_4C	0.0327357099992426	0.0454141873141774	0.0269910515731867	0.0401888479077378	0.0303787315327746	0.0450177724286071	0	0.00964038172731448	0.0270321210409782	0.0378702919083486	0.0477413378262691	0.0378240304457174	0.0370951792566819	0.0161920166096618	0.0274620946578984	0.0381095686073645	0.0314621314719294	0.036399534037697	0.0322440930915873	0.100573534983209	0.0268771822567659	0.0222925014334398	0.00842640043871067	0.0355478923149587	0.033459870987416	0.0237152552501132	0.0226014434572886	0.0231065331805491	0.0330456719815961	0.0263058214374093	0.0311404923664945
HT29_G1_4F	0.0237044924784037	0.0361117971880003	0.0174124573568536	0.030676757025064	0.0209160522853776	0.0355655904619538	0.00964038172731448	0	0.0191821526829751	0.0288849352654901	0.0390622956586703	0.0285074013622404	0.0280153761354204	0.00764038428598265	0.0192455843504963	0.029209916113443	0.0220319185014849	0.0268020115611533	0.0226303872561515	0.109862057122636	0.0174743797605628	0.0132557434508512	0.00643298018192171	0.0267989471751221	0.0243172366395263	0.0144397097702853	0.0134968215507737	0.0139849032432781	0.0242270271350314	0.0167329532030729	0.022836971507287
HT29_G1_5A	0.00835331259375699	0.0207101370950289	0.0111793299575138	0.0178223156216576	0.0104816804707422	0.0214035417366927	0.0270321210409782	0.0191821526829751	0	0.01236452051157	0.0210558153506065	0.0140691586445995	0.0120854989203943	0.0199290299414062	0.00159632237883973	0.0122770037813079	0.0106336543410637	0.0163183107281644	0.0141012501337519	0.126821087404687	0.00881503567373111	0.00747729678461218	0.0188744176748362	0.00948747767907021	0.00951848188110382	0.00810438211698503	0.00761005509629979	0.00743309148339134	0.00758539806316565	0.0109667786821198	0.00444985762452856
HT29_G1_5B	0.00518340745017888	0.0083597119811023	0.0131427759460026	0.00741028106291541	0.00929872923092442	0.00939798884122437	0.0378702919083486	0.0288849352654901	0.01236452051157	0	0.01048066865922	0.00367348981424887	0.00123282335835696	0.0266478004218522	0.0112189794235738	0.000841529212563856	0.00817467210123376	0.00912742370226868	0.0107121656362193	0.138156614583325	0.0118995455538406	0.0156520881677525	0.0302742854240845	0.0029880662626405	0.00473148796913869	0.0145200783737093	0.0153929630564793	0.0149032962874586	0.00495233746155738	0.0136058410476494	0.00802432258085407
HT29_G1_5C	0.0155465896267802	0.00818919686406413	0.0235884289837877	0.0137465326937917	0.0197041653164274	0.010982768367221	0.0477413378262691	0.0390622956586703	0.0210558153506065	0.01048066865922	0	0.0125078692693971	0.0115806759218432	0.0371208448414917	0.0203657308219351	0.00998595224383986	0.0185474776269865	0.0176430287168042	0.0205095278911329	0.14767206606819	0.0223693490339496	0.0258255580574794	0.0398189735628333	0.0122713229808498	0.015209321316969	0.0248670421353728	0.0256132915710644	0.0251425446222061	0.0148468610483772	0.0240706333211251	0.0167043263970657
HT29_G1_5D	0.00577684873409235	0.0076086910850929	0.0116496874578247	0.00402562304438566	0.00777118361158381	0.00749674161922346	0.0378240304457174	0.0285074013622404	0.0140691586445995	0.00367348981424887	0.0125078692693971	0	0.00277612685276149	0.0253357590418438	0.0126723051550472	0.00449895236930149	0.00659433849302957	0.00560169561730486	0.00800511841072947	0.138134914937338	0.0110471411693859	0.0155973235701816	0.0306644961005998	0.00589063052168654	0.00470384312486538	0.014117743718223	0.0152575194562636	0.0147498568143046	0.00658861122240018	0.0122326079585749	0.0101837684649204
HT29_G1_5E	0.00436716611350707	0.00869390731520922	0.0120108561810181	0.00673529235472702	0.0081382115292388	0.00936850353721193	0.0370951792566819	0.0280153761354204	0.0120854989203943	0.00123282335835696	0.0115806759218432	0.00277612685276149	0	0.0255782154387958	0.0108324311319326	0.00203139939944939	0.00699759085844677	0.0080124489742938	0.00947956940129767	0.137419382352525	0.0108684179546958	0.0148253892717843	0.0296108237593027	0.00318805061882223	0.00372186886317932	0.0136021655242229	0.0145443721083665	0.0140474569163535	0.00451330850120866	0.0124940675619915	0.00789898297052883
HT29_G1_5F	0.0216591827450094	0.0327255858085799	0.0136928242468332	0.0266244039782166	0.0175992694188703	0.0316514348624464	0.0161920166096618	0.00764038428598265	0.0199290299414062	0.0266478004218522	0.0371208448414917	0.0253357590418438	0.0255782154387958	0	0.019373646067633	0.0271634098964611	0.0187825082692914	0.0223247340568983	0.018171968015434	0.114391026177852	0.0147710404768932	0.012559667467021	0.0138986248039258	0.0252243755127628	0.0219197354184912	0.012714651974137	0.0125433889038943	0.0128744068449705	0.0226677561507282	0.0131366968951251	0.0224370950804811
HT29_G2_4G	0.00691095451559115	0.0195109106187796	0.00977185381702076	0.0163540422807337	0.00889455944262961	0.0200748165759931	0.0274620946578984	0.0192455843504963	0.00159632237883973	0.0112189794235738	0.0203657308219351	0.0126723051550472	0.0108324311319326	0.019373646067633	0	0.0112137919323688	0.00903754105002659	0.0147386439198169	0.0125139032877475	0.12749946529449	0.00739092396044638	0.00681526432472247	0.0194613462551953	0.00845171079394456	0.00805377579257491	0.00709585575881796	0.00685918586343576	0.00659338524718867	0.00632190138478506	0.00961062766052963	0.00368075625038587
HT29_G2_4H	0.00556637419476274	0.00857558323529354	0.01374028113715	0.00815699101553114	0.00993835747281841	0.00983262793928547	0.0381095686073645	0.029209916113443	0.0122770037813079	0.000841529212563856	0.00998595224383986	0.00449895236930149	0.00203139939944939	0.0271634098964611	0.0112137919323688	0	0.00883806274667592	0.00996891056210349	0.0114916574359078	0.138353890188346	0.0123971723027551	0.0159597464613509	0.0304282884070125	0.00279054559978548	0.00526741965032357	0.0149079392238552	0.0157194964430716	0.0152372562618459	0.00507949939740297	0.0141801629943826	0.00786968439950726
HT29_G2_5A	0.00428430525440393	0.0141468467207311	0.00509679913363615	0.0088129342129989	0.00118355741375318	0.0135641558131172	0.0314621314719294	0.0220319185014849	0.0106336543410637	0.00817467210123376	0.0185474776269865	0.00659433849302957	0.00699759085844677	0.0187825082692914	0.00903754105002659	0.00883806274667592	0	0.00591518048877668	0.00372860943697119	0.131748420278138	0.00458855887125756	0.00952457600223727	0.0246364052661763	0.00777951115565285	0.00378508690050757	0.00782578131231956	0.00912953015168573	0.00863067776132488	0.005954988253154	0.00565148264384547	0.00856232666884678
HT29_G2_5B	0.00853414001785522	0.0110388319311087	0.00942023906717716	0.00448358105264444	0.00659554632722504	0.00944952113661579	0.036399534037697	0.0268020115611533	0.0163183107281644	0.00912742370226868	0.0176430287168042	0.00560169561730486	0.0080124489742938	0.0223247340568983	0.0147386439198169	0.00996891056210349	0.00591518048877668	0	0.00420460845260512	0.136285656400188	0.0100333707996354	0.0151430296326429	0.0300612867547411	0.0105867984362461	0.00741311525749904	0.0133032870427987	0.0147171297021701	0.0142412993968374	0.0100643682681755	0.010109728844829	0.0134692522187987
HT29_G2_5E	0.00786061662514732	0.0147778409672899	0.00533210359252648	0.00846552199659586	0.00361978517544484	0.0134957949458618	0.0322440930915873	0.0226303872561515	0.0141012501337519	0.0107121656362193	0.0205095278911329	0.00800511841072947	0.00947956940129767	0.018171968015434	0.0125139032877475	0.0114916574359078	0.00372860943697119	0.00420460845260512	0	0.132114987382145	0.00641057532424831	0.0114503503432502	0.0260882598880457	0.0110514627266604	0.00710843839835706	0.00953898477271961	0.0110051462926936	0.0105638276104404	0.00955674825760115	0.00602344405072035	0.0122902433335133
HT29_G2_5F	0.133090281821667	0.145669232447616	0.127087051550551	0.140285890304546	0.13064087075031	0.145164254322887	0.100573534983209	0.109862057122636	0.126821087404687	0.138156614583325	0.14767206606819	0.138134914937338	0.137419382352525	0.114391026177852	0.12749946529449	0.138353890188346	0.131748420278138	0.136285656400188	0.132114987382145	0	0.127216151213448	0.12273922428233	0.108175931857305	0.135743855120549	0.133825450232912	0.12412904173445	0.123045988802396	0.123547287843486	0.13331827334782	0.126425806668003	0.131122440459695
