	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_1B_3	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_2A_3	HT29_G1_3E_3	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4C_3	HT29_G1_4F_1	HT29_G1_4F_2	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5A_3	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5B_3	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5C_3	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5D_3	HT29_G1_5E_1	HT29_G1_5E_3	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_4H_3	HT29_G2_5A_1	HT29_G2_5A_2	HT29_G2_5A_3	HT29_G2_5B_2	HT29_G2_5B_3	HT29_G2_5E_3	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5F_3	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5G_3	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_5H_3	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6B_2	HT29_G2_6B_3	HT29_G2_6C_2	HT29_G2_6C_3	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6D_3	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6E_3	HT29_G2_6F_1	HT29_G2_6F_2	HT29_G2_6G_1	HT29_G2_6G_2	HT29_G2_6G_3	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2	HT29Root2_3
HT29_G1_1B_1	0	0.0228435413487406	0.0237988920237085	0.0481946643520824	0.0378281214842289	0.0246840677312474	0.0462243422863499	0.0186759261100442	0.0830554064909413	0.0230866377479402	0.0368138160048394	0.0192070460305977	0.03316031387466	0.0408334476475735	0.00926401132091472	0.0252596991798346	0.00569089886871169	0.0380049202200996	0.0677521338708244	0.076639105654966	0.0297577534239737	0.0607010377998485	0.0414836017015639	0.0307908901885721	0.0291023593470752	0.0565879176384301	0.044082711253298	0.0395479235754908	0.0645777373974686	0.0174243107835331	0.0232648551831064	0.0326130715672629	0.0254558267903538	0.0359385666737306	0.0405769630654158	0.0482955189424422	0.0179388139549985	0.0457477406852343	0.0320795908003349	0.0211857083435376	0.0484928718449513	0.035570584939355	0.0610059024698227	0.0331891359287744	0.026417550497617	0.0512182383241721	0.0292911034139608	0.0324028399580371	0.037499552204409	0.016224073061796	0.00971580695857196	0.0356496486862322	0.0269976026836564	0.0411196674786392	0.0521492520737093	0.0384296488204588	0.0348194569348075	0.00775413435403971	0.0202925245499738	0.0396734713711478	0.022789916646485	0.0454365387671591	0.0220905904059769	0.0124980423086082	0.0399620026820745	0.0494926058364372	0.0564285226137599	0.0304950421112162	0.04165886278289	0.0238914526278737	0.0233507636306821	0.0280652600603486	0.0264311279329538	0.0309312501873274	0.0175807932212445	0.00334510805917524	0.0149085833737999	0.0179694508870581	0.0138909107636169
HT29_G1_1B_2	0.0228435413487406	0	0.00792839134675186	0.0580356707232418	0.02383878951134	0.0118837098626279	0.0280590148893951	0.020833707069956	0.0741145984696059	0.0227704010968934	0.0315489131957437	0.0066067710253046	0.0144725067533269	0.0295442906628176	0.014331330787528	0.0220268011841307	0.0172239409506084	0.0287758952617152	0.0498991350084986	0.0585273810452873	0.00691674868267014	0.0474099782014532	0.0279407189060349	0.0100124417980454	0.0123682739645528	0.0428253474403996	0.0265049637661827	0.0317454215382458	0.0509518286528807	0.00619038353093956	0.025314636960932	0.0198001071324266	0.00762803320921083	0.0184178465319904	0.0240689673445284	0.0321719177065757	0.0242680210421658	0.0305373276934411	0.0261276618745996	0.0268519423168801	0.0430275301785443	0.0262476633337492	0.0566279702846515	0.0137133174268757	0.0353977523572354	0.0324201790245488	0.026664353379102	0.0170200659868319	0.029350791467196	0.0154842411372975	0.0180816009876051	0.0284361022218116	0.0171703845011673	0.0304251809654262	0.0419471605567759	0.021711908280018	0.0120807430266348	0.0178452593805488	0.00304424431449663	0.020041318785116	0.0121799029131586	0.025468861687111	0.00284898964308721	0.0161436435638011	0.0178487840512443	0.030339307706846	0.0435742799506467	0.0180847447071647	0.0253111325722344	0.00779794881892863	0.0145405266967969	0.0054198412701831	0.0068568880394141	0.0083327902849214	0.00956889184309221	0.0204711724251935	0.030496904228243	0.0325336694417554	0.011176232346496
HT29_G1_1B_3	0.0237988920237085	0.00792839134675186	0	0.064355849493986	0.0166953321849773	0.00398359745959075	0.0229338823759132	0.0152390074392641	0.0666540447697279	0.0160539324090618	0.0236454858904201	0.00486591344673748	0.00940892039512224	0.0219662966021589	0.0173953756604948	0.0294274472703261	0.018921103919438	0.0209335175733988	0.0448726985964513	0.0537071438921787	0.0108253142271355	0.0405915372759075	0.0208114405754113	0.00759381030618039	0.0056847873384841	0.0360756331356833	0.0209930325466137	0.0238510751994363	0.0442686579073328	0.0117446437617833	0.0321048875567072	0.027686774916256	0.0155141685852327	0.0126164409011785	0.0179175247028802	0.0260651811200963	0.0191854938372792	0.0240228545211904	0.0182554859523618	0.0211187482902951	0.035116266804434	0.018374809091102	0.0487276371398148	0.00940086477193317	0.0296528243156097	0.0277752212366106	0.0191212228358242	0.0100115074167431	0.0214513168847382	0.0109494242390081	0.01612264315718	0.0205114556853024	0.00927076903223214	0.0227745655789979	0.0344118058013269	0.0290269868411084	0.0137120902459429	0.0169001831500988	0.00672887252318676	0.0159027449880635	0.00478538796065513	0.0216733383290604	0.0106278099834301	0.0211549917756152	0.0170247678816747	0.0259206416700735	0.0365901008324213	0.0103128852317849	0.0191237675196023	0.000188600351185196	0.0221766329073641	0.0110334578028477	0.0145241504373361	0.0100979667502186	0.00634916015547624	0.020745245772346	0.0346142076549612	0.0370614827241478	0.0161540773963971
HT29_G1_2A_1	0.0481946643520824	0.0580356707232418	0.064355849493986	0	0.080945059990804	0.0673116163167255	0.0859117486387622	0.0662386315085568	0.129544502334904	0.0705572922025638	0.0838882347341486	0.0598729450961775	0.0724383852014269	0.0856675518186741	0.0483981189993054	0.037215544320271	0.049119490467739	0.0837084170154053	0.107394355402435	0.115742844570389	0.0623145583819291	0.104699761358441	0.0850186328870629	0.0678980853693744	0.0698285826690127	0.100224480199598	0.0844150377917338	0.0858987011181527	0.108353087219094	0.0527146846437966	0.0328716545561097	0.0464977074287826	0.0531995877535346	0.0763116704731835	0.0818876320636185	0.0899907785822777	0.0660520296490696	0.0881846532770747	0.078700371339896	0.0693213044586656	0.0958270182068019	0.0811063764535079	0.108689207259773	0.0716819846615655	0.0739180651721305	0.0900329504016024	0.0766792201743465	0.0743148604351511	0.0836277298596153	0.062332894026526	0.0570145395494675	0.0820395921454171	0.0715603892754158	0.086270524536259	0.0978382011973167	0.0528794757398553	0.067135170496381	0.0547671157920756	0.0578315027943625	0.0778005871536476	0.0662066698352925	0.0828534947438507	0.0553335909949329	0.0435024813436872	0.0737165112502989	0.0878919765143059	0.100687740770552	0.074110253028435	0.0831180519664737	0.0643248790958339	0.0446702223149445	0.0600181020338313	0.0550220564669642	0.0648122757366573	0.0603676249601969	0.0509854796682157	0.0333188441340808	0.0302535760294964	0.0483126077803343
HT29_G1_2A_2	0.0378281214842289	0.02383878951134	0.0166953321849773	0.080945059990804	0	0.0138492502622792	0.0107457308960125	0.021788591470754	0.0503854323318914	0.0187881629637204	0.0140476224372775	0.0211988486579148	0.0106399413198761	0.00647053838981479	0.0333701065093923	0.0458293892594	0.0340127147770182	0.0081185125704117	0.0302861501776249	0.0391828341039111	0.0227025262750015	0.023929983872363	0.00412418669087505	0.0156214805743028	0.0114740721452507	0.0194518436856958	0.00839673773496986	0.0113091496398299	0.0276541243743259	0.0284321048849723	0.0487535384139614	0.0423540602872089	0.0307021352016027	0.00709539434580319	0.00481059944530076	0.010627871058102	0.0253720901757202	0.0079365747386131	0.0117595131579989	0.024956414691125	0.0218892964152984	0.00722618808199021	0.0348595520206153	0.0119899934968524	0.031290541182206	0.0155718405525641	0.0159204629773208	0.0068221711920133	0.00967251991147994	0.0217661618938112	0.0284343367594178	0.0105015262426481	0.010926583278544	0.00762237177050648	0.0183289993423796	0.041685550842498	0.0211920784802559	0.0301224363798344	0.0233634605161098	0.0109106190545604	0.0153392397032926	0.0136935241015469	0.0266863367841673	0.0376728873220958	0.0184147487746556	0.0147321725246079	0.019903986681851	0.0073489299851704	0.00513289914586909	0.01673941015724	0.0383646466814148	0.0243454581651638	0.0292421405809904	0.0203232570720124	0.0211788261517625	0.0345013639945265	0.0504689546017118	0.0531043897875146	0.0327619801502675
HT29_G1_2A_3	0.0246840677312474	0.0118837098626279	0.00398359745959075	0.0673116163167255	0.0138492502622792	0	0.0215699298057212	0.0128297163799209	0.0631965191758149	0.0127878739320059	0.0196729309359132	0.00749661666094073	0.0092476942291496	0.0185498804277564	0.0195367555015071	0.0330428034918264	0.0203894998958364	0.0171909891503975	0.0431936455135171	0.0520908583714309	0.0143782213302492	0.0377089412655028	0.0178747098505828	0.00960449888523867	0.00494776638079987	0.0332765204230248	0.0194173642512594	0.0200111219110414	0.0414672141081102	0.0150978935717903	0.0354214897436318	0.0316608870408827	0.0194882038654252	0.0113386399933463	0.015959849188963	0.0238921384842361	0.0169247477029661	0.0215678843536542	0.0142729085808162	0.0183709050222778	0.0312206739369646	0.0145933266773943	0.0448388935830168	0.00982050903086007	0.0267369085986592	0.0265966222022336	0.0152645486753252	0.00775356397535388	0.0176068191976341	0.00977082708248246	0.0159726796773444	0.0165860600793538	0.00529075911507538	0.0192688589817033	0.0309606097012442	0.0329422285826689	0.0164284374937574	0.0172340706541146	0.010362304579068	0.0155976647415238	0.00212766506595732	0.0212458343117254	0.0145244750847303	0.0239010145117451	0.018496807609455	0.0249401576876924	0.0336024384518852	0.00684370746558858	0.0170843243651693	0.00413497686041167	0.0259366062503116	0.0148536600151195	0.0185055017808011	0.0132139279739069	0.00739403119769251	0.0214418605989459	0.0366964883846939	0.039300630124185	0.0190774005146071
HT29_G1_3E_3	0.0462243422863499	0.0280590148893951	0.0229338823759132	0.0859117486387622	0.0107457308960125	0.0215699298057212	0	0.0318920055507074	0.0501638144328618	0.0292964363932195	0.0238614377905413	0.0277967931764319	0.0137772548700635	0.0143036831748113	0.0403062225443188	0.0493956923791995	0.0417209686606685	0.0176491092609936	0.0220024212461305	0.0308118401625921	0.0242229328693177	0.0216317373869666	0.0102628791285588	0.0181144272738101	0.0173037283000734	0.0171902321527814	0.00238557527941138	0.0202234763238928	0.0245243816330459	0.0337733079347636	0.0532153519205882	0.0435222454865064	0.0333354692945404	0.0103524190567769	0.00621397052834595	0.00601011007355535	0.0356859975582997	0.00707117575003075	0.0224307749316045	0.0355447912984409	0.0285289927127254	0.017619789042589	0.0396958490723606	0.0143606344179145	0.0420297097028725	0.00509534818740536	0.0266534375069917	0.0139347014150977	0.0193445670718682	0.0308674231965172	0.0373890911841698	0.0206694614872991	0.0205349819881948	0.0153968772109759	0.0212117069267113	0.0410329643815607	0.0204550624265856	0.0387728425615561	0.0287135084084928	0.00828785063736376	0.0235339351436646	0.00533417128790949	0.03072529987781	0.0436917791142	0.0148611284289872	0.00398862078322385	0.018868769185175	0.0167230934676479	0.0056140007269367	0.0228933920473795	0.0417572002018902	0.0264067465794983	0.031591122046546	0.0216120311920464	0.0287529413699198	0.0429953617780284	0.0574713748126767	0.0598425316193687	0.0386169451146329
HT29_G1_4A_3	0.0186759261100442	0.020833707069956	0.0152390074392641	0.0662386315085568	0.021788591470754	0.0128297163799209	0.0318920055507074	0	0.0644587164450864	0.00441304566911166	0.0181528205175467	0.0142303090427816	0.0217373139669314	0.0231907132823593	0.0189404567733283	0.0369028620182453	0.0172712116748776	0.0199133155343126	0.0519167914746692	0.0607487429398877	0.0258372524710037	0.042888457444194	0.0247389144847325	0.0223348021253409	0.0175880139562114	0.0390485079637091	0.029529106528647	0.0210706556455344	0.0467905846785465	0.0201669716615377	0.0373922899428413	0.0392299298358257	0.0277792440213568	0.0227277156469617	0.0257093334520655	0.0323333270301529	0.00410758537939923	0.029467838355419	0.0136196592582355	0.00602864593523119	0.0298890192589774	0.0177099454616811	0.0426915553520991	0.0225141461891602	0.0146098453436331	0.0369566006379799	0.0106250634337307	0.0185181516549002	0.019171672857424	0.00559023441498776	0.00925843049156267	0.0172272893957994	0.0114174267401507	0.0232550957114494	0.0337650962423233	0.0423528675202514	0.0289039058048677	0.011507055681605	0.0179930159334432	0.0276154256691983	0.0108852600898279	0.0328886409965808	0.022455955175812	0.0245771762691394	0.0313132138935163	0.0356980939700942	0.0385856568369621	0.0151967399769938	0.026527014017172	0.0154252143283651	0.0313593710108686	0.0255408371894754	0.0275071789677702	0.02533225025428	0.0113211151556231	0.0155182587258938	0.0332974496346854	0.0362948987306189	0.0214336690043942
HT29_G1_4B_1	0.0830554064909413	0.0741145984696059	0.0666540447697279	0.129544502334904	0.0503854323318914	0.0631965191758149	0.0501638144328618	0.0644587164450864	0	0.0600593033740666	0.0463605725164541	0.0706382300411309	0.0606148847500745	0.0447345133568203	0.0815634868389309	0.0959304235403263	0.0810340141815805	0.0462810049678467	0.0387474255578505	0.0386153180822339	0.0726600047861053	0.0286332925569062	0.046343665462222	0.0656812793368733	0.061799649481617	0.0329959442549622	0.0503826328463225	0.0440298415809613	0.0264088933000122	0.0782336402164304	0.0984510210574788	0.0923648630569248	0.0809796699679101	0.0566337731315652	0.0512265505324734	0.0443242507305129	0.0657320407099291	0.0447667111586699	0.0513390455445399	0.0630001352536114	0.0348431430067141	0.0489070695384869	0.0246756328722504	0.0618114190618632	0.0623947294270494	0.0488571403961943	0.0538691122839202	0.0571674303106116	0.0463052193401533	0.0677503635953849	0.0735560604705	0.0479193814654141	0.0585531708274428	0.0439667130036694	0.0322955252535703	0.0907903889998039	0.0699995370151519	0.0757322013998262	0.0733567082671841	0.0576900810664141	0.0640166182541239	0.0552653518271038	0.0769470185926317	0.0865917329584779	0.0649544757723965	0.0508032969306752	0.0314694161639552	0.0564184050137034	0.0500681904973524	0.0667305937202185	0.0885850099470977	0.074488077335407	0.0794816548761542	0.0701392064094403	0.0697472088808449	0.0798912848530436	0.0974542914283536	0.100371816334322	0.0820532386097185
HT29_G1_4B_2	0.0230866377479402	0.0227704010968934	0.0160539324090618	0.0705572922025638	0.0187881629637204	0.0127878739320059	0.0292964363932195	0.00441304566911166	0.0600593033740666	0	0.013747829299337	0.0163503155532979	0.0207269725017317	0.0193465561087233	0.02294750153765	0.040477291606632	0.0215369367858389	0.0158690436304367	0.04851687325196	0.0572823368310465	0.0268744214419439	0.038822394075343	0.0213086636310294	0.0223223264728167	0.0169413549485587	0.0351065143835332	0.0269119707681449	0.016784297898259	0.0427217956915337	0.0231442929224049	0.0412970862626817	0.0419345186277376	0.0301151746076724	0.0209409937763528	0.0230882486839478	0.0290918205629121	0.00678498337234971	0.0261465142787219	0.00940744589815009	0.0063064997633787	0.0254927041921509	0.013848597543592	0.0383859327458039	0.0217219495255064	0.0140859953656316	0.0342763853974253	0.00621356184466135	0.0167439564587229	0.0149909659218556	0.00889492758333076	0.0136318139750044	0.0130019488428602	0.00961064852210151	0.0192939366907872	0.0294876183448078	0.0444617824736357	0.0292071945293022	0.0158665379358588	0.0201898857557742	0.0260155390285002	0.0112905604332014	0.0309167585474766	0.0247668290771301	0.0285254351823619	0.030688204201187	0.0332109979767511	0.0345238582312225	0.0130242753318573	0.0237660554398678	0.0162411719992872	0.0345345014912487	0.0269521203609405	0.0296051590414553	0.02595010997167	0.0137503482440091	0.0199266279703978	0.0376879181446706	0.0406767328679622	0.0250302116151314
